alert_available_targetted_decision_name;Special Character Actions Possible;Actions spéciales de personnage possibles;Spezielle Charakteraktionen möglich;;Acciones especiales de personaje posibles;;;;;;;;;x
alert_available_title_decision_delayed;The following Special Title Actions are available:\n$LIST$;Les actions spéciales de titre suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de título: \n$LIST$;;;;;;;;;x
alert_available_title_decision_instant;§YSpecial Title Actions Possible§!;§YActions spéciales de titre possibles§!;§YSpezielle Titelaktionen möglich§!;;¡§YPosibles acciones especiales de título§!;;;;;;;;;x
alert_available_title_decision_name;Special Title Actions Possible;Actions spéciales de titre possibles;Spezielle Titelaktionen möglich;;Acciones especiales del título posibles;;;;;;;;;x
alert_beneficiary_needed_delayed;As a participant in the ongoing Crusade, a beneficiary should be selected so that when the inevitable victory occurs, our dynasty may share in the spoils.;Puisque vous participez à la croisade en cours, un bénéficiaire devrait être choisi afin que lorsque l'inévitable victoire se produira, votre dynastie puisse se partager le butin.;Als Teilnehmer am andauernden Kreuzzug sollte ein Begünstigter ausgewählt werden, damit unsere Dynastie, wenn der unvermeidliche Sieg eintritt, einen Teil der Beute erhalten kann.;;Como participante en la Cruzada en curso, debes seleccionar un beneficiario para que nuestra dinastía pueda compartir el botín cuando llegue la inevitable victoria.;;;;;;;;;x
alert_beneficiary_needed_instant;§YCrusade Beneficiary not Selected§!;§YLe bénéficiaire de la croisade n'a pas été choisi§!;§YKein Begünstigter des Kreuzzugs ausgewählt§!;;§YNo se seleccionó beneficiario de la cruzada§!;;;;;;;;;x
alert_betrothed_should_marry_delayed;The following betrothed characters can get married:\n$LIST$;Les fiancés suivants peuvent se marier : \n$LIST$;Folgende verlobte Charaktere können heiraten:\n$LIST$;;Los siguientes personajes prometidos pueden casarse:\n$LIST$;;;;;;;;;x
alert_betrothed_should_marry_instant;§YBetrothed can Marry§!;§YLes fiancés peuvent se marier§!;§YVerlobte können heiraten§!;;§YLos prometidos pueden casarse§!;;;;;;;;;x
alert_betrothed_should_marry_name;Betrothed can marry;Les fiancés peuvent se marier;Verlobte können heiraten;;Prometido se puede casar;;;;;;;;;x
alert_build_province_improvement_delayed;$LIST$;$LIST$;$LIST$;$LIST$;$LIST$;$LIST$;$LIST$;$LIST$;;;;;;x
alert_build_province_improvement_instant;§YYou can build county improvements!§!;§YVous pouvez procéder à des améliorations comtales !§!;§YIhr könnt Provinzverbesserungen bauen!§!;§YMo¿esz budowaæ ulepszenia w prowincji!§!;§YPodéis construir mejoras de la provincia§!;§YPuoi costruire miglioramenti per la provincia!§!;§YFejlesztheted a tartományaidat!§!;§YMùžete budovat provinciální vylepšení!§!;;;;;;x
alert_build_province_improvement_name;Can build county improvements;Peut contruire des améliorations comtales;Es können Provinzverbesserungen gebaut werden;;Podemos construir mejoras en nuestras provincias;;;;;;;;;x
alert_can_call_vassals_to_arms_delayed;The following vassals can join our war against our former liege:\n$LIST$;Les vassaux suivants peuvent se joindre à notre guerre contre notre ancien seigneur lige : \n$LIST$;Folgende Vasallen können unserem Krieg gegen unseren ehemaligen Lehnsherrn beitreten:\n$LIST$;;Los siguientes vasallos pueden unirse a nuestra guerra contra nuestro antiguo señor:\n$LIST$;;;;;;;;;x
alert_can_call_vassals_to_arms_instant;§YWe can call in vassals of our former liege§!;§YNous pouvons faire appel à des vassaux de notre ancien seigneur lige.§!;§YVasallen unseres ehemaligen Lehnsherrn können uns unterstützen§!;;§YPodemos convocar a los vasallos de nuestro antiguo señor§!;;;;;;;;;x
alert_can_call_vassals_to_arms_name;Can call vassals of former liege;Nous pouvons faire appel à des vassaux de notre ancien seigneur lige;Vasallen unseres früheren Lehnsherrn können um Beistand ersucht werden;;Puedes llamar a los vasallos de tu antiguo señor;;;;;;;;;x
alert_can_imprison_delayed;You can imprison subjects without incurring tyranny. Note that an empowered council might still object.\n$LIST$;Vous pouvez emprisonner des sujets sans passer pour un tyran. Cependant, le Conseil pourrait s'y opposer, s'il y est habilité.\n$LIST$;Ihr könnt Untertanen einkerkern, ohne dabei Tyrannei hervorzurufen. Beachtet, dass ein ermächtigter Rat Einwände erheben könnte.\n$LIST$;;Puedes encarcelar súbditos sin caer en la tiranía. Ten en cuenta que un consejo con poder pude seguir oponiéndose. Lista:\n$LIST$;;;;;;;;;x
alert_can_imprison_instant;§YRighteous Imprisonment§!;§YEmprisonnement justifié§!;§YRechtmäßige Einkerkerung§!;;§YEncarcelamiento justo§!;;;;;;;;;x
alert_can_imprison_name;Righteous imprisonment;Emprisonnement justifié;Rechtmäßige Inhaftierung;;Arresto legítimo;;;;;;;;;x
alert_can_press_weak_claims_delayed;The following Weak Claims can be pressed:\n$LIST$;Les faibles revendications suivantes peuvent être soutenues : \n$LIST$;Die folgenden schwachen Ansprüche können erzwungen werden:\n$LIST$;;Las siguientes reclamaciones débiles pueden presionarse:\n$LIST$;;;;;;;;;x
alert_can_press_weak_claims_instant;§Y$NUM$ Weak Claim(s) can be pressed§!;§YFaibles revendications pouvant être soutenues ($NUM$)§!;§YSchwache Ansprüche, die erzwungen werden können: $NUM$§!;;§Y$NUM$ reclamación(es) débil(es) pueden presionarse§!;;;;;;;;;x
alert_can_press_weak_claims_name;Can press weak claim;Peut appuyer une revendication faible;Kann schwachen Anspruch durchsetzen;;Puede presionar una reclamación débil;;;;;;;;;x
alert_can_reform_religion_delayed;The §Y$RELIGION$§! faith can be reformed into an organized religion;La foi §Y$RELIGION$§! peut être réformée en une religion organisée;Der §Y$RELIGION$§!e-Glauben kann in eine organisierte Religion reformiert werden;;La fe §Y$RELIGION$§! puede ser reformada a una religión organizada;;;;;;;;;x
alert_can_reform_religion_instant;§YReligion can be Reformed§!;§YLa religion peut être réformée§!;§YReligion kann reformiert werden§!;;§YLa Religión puede ser Reformada§!;;;;;;;;;x
alert_can_reform_religion_name;§YReligion can be Reformed§!;§YLa religion peut être réformée§!;§YReligion kann reformiert werden§!;;§YLa Religión puede ser Reformada§!;;;;;;;;;x
alert_can_tech_delayed;You have enough Technology Points in a Technology Group to invest in any of its advances;Vous avez suffisamment de points de technologie dans l'un des groupes de technologie pour investir dans l'une de ses avancées;Ihr habt genug Technologiepunkte in einer Technologie-Gruppe, um in einen ihrer Fortschritte zu investieren;;Tienes suficientes Puntos Tecnológicos en un Grupo Tecnológico para invertir en cualquiera de sus avances;;;;;;;;;x
alert_can_tech_instant;§YYou should Invest in a Technological Advance§!;§YVous devriez investir dans des avancées technologiques§!;§YIhr solltet in einen technologischen Fortschritt investieren§!;;§YDeberías Invertir en un Avance Tecnológico§!;;;;;;;;;x
alert_can_tech_name;You can invest in technology;Vous pouvez investir en technologie.;Du kannst in Technologien investieren;;Puedes invertir en tecnología;;;;;;;;;x
alert_casus_belli_will_expire_delayed;$LIST$.;$LIST$.;$LIST$.;$LIST$.;$LIST$.;$LIST$.;$LIST$ Casus Bellije hamarosan lejár.;$LIST$.;;;;;;x
alert_casus_belli_will_expire_instant;§YTemporary Casus belli against:§!;§YCasus belli temporaire contre : §!;§YTemporärer Kriegsgrund gegen:§!;§YCasus belli§!;§YCasus belli temporal contra§!;§YCasus belli§!;§YA Casus belli lejár:§!;§YDoèasná záminka k válce proti:§!;;;;;;x
alert_casus_belli_will_expire_name;Temporary Casus belli;Casus belli temporaire;Temporärer Casus Belli;;Casus Belli temporal;;;;;;;;;x
alert_child_needs_focus_delayed;The following Children need a Childhood Focus:\n$LIST$;Les enfants suivants ont besoin d'un intérêt d'enfance :\n$LIST$;Folgende Kinder haben noch keinen Kindheitsfokus:\n$LIST$;;A los niños siguientes les falta un Enfoque de Infancia:\n$LIST$;;;;;;;;;x
alert_child_needs_focus_instant;§Y$NUM$ Children Lack a Childhood Focus§!;§YEnfants sans intérêt d'enfance ($NUM$)§!;§YKinder haben noch keinen Kindheitsfokus: $NUM$§!;;§Y$NUM$ al niño le falta un Enfoque de infancia§!;;;;;;;;;x
alert_child_needs_focus_name;Children lack a Childhood Focus;Des enfants n'ont pas d'intérêt d'enfance;Es gibt Kinder ohne Kindheitsfokus;;A los niños le falta un Enfoque de infancia;;;;;;;;;x
alert_close_gates_delayed;When an epidemic is threatening your court, you can shut the gates. Characters in seclusion will have a hard time communicating with the outside world but should avoid infection from outside sources.;Lorsqu'une épidémie menace votre Cour, vous pouvez fermer les portes. Les personnages en réclusion auront du mal à communiquer avec le reste du monde, mais devraient éviter une infection venue de l'extérieur.;Wenn eine Epidemie Euren Hof bedroht, könnt Ihr die Tore schließen lassen. Charaktere in Klausur haben Schwierigkeiten bei der Kommunikation mit der Außenwelt, dürften allerdings vor einer Ansteckung durch Fremde sicher sein.;;Cuando una epidemia amenaza a tu corte, puedes cerrar las puertas. Los personajes en reclusión tienen dificultades de comunicarse con el mundo exterior, pero evitarían la infección de fuentes externas.;;;;;;;;;x
alert_close_gates_instant;§YYou can Shut the Gates§!;§YVous pouvez fermer les portes§!;§YIhr könnt die Tore schließen§!;;§YPuedes Cerrar las puertas§!;;;;;;;;;x
alert_close_gates_name;Close the Gates;Fermer les portes;Tore schließen;;Cerrar las puertas;;;;;;;;;x
alert_coronation_needed_delayed;A [Root.Religion.GetName] ruler who has not been officially crowned by a notable member of the Church will never be fully accepted by [Root.GetHerHis] vassals as legitimate.\nThe more years an adult [Root.Religion.GetName] [Root.GetTitle] wastes before being anointed, the more likely [Root.GetHerHis] vassals will be to doubt the validity of [Root.GetHerHis] divine right to rule.;Un seigneur de foi [Root.Religion.GetName] qui n'a pas été officiellement couronné par un membre notable du clergé ne sera jamais pleinement considéré par ses vassaux comme légitime.\nPlus un[Root.Get_E] [Root.GetTitle] adulte [Root.GetReligionMascFem] passe du temps sans être oint[Root.Get_E], plus ses vassaux douteront de son droit divin à régner.;Ein [Root.Religion.GetName]er Herrscher der nicht offiziell von einem namenhaften Mitglied der Kirche gekrönt wurde, wird von [Root.GetHerHis]en Vasallen niemals als legitim akzeptiert werden.\nJe länger [Root.Geteineine] erwachsene[Root.GetrMale] [Root.Religion.GetName]e[Root.GetrMale] [Root.GetTitle] damit wartet, bevor er gesalbt wird, desto wahrscheinlicher ist es, dass [Root.GetHerHis]e Vasallen die Gültigkeit des göttlichen Rechtsanspruchs anzweifeln.;;Un gobernante [Root.Religion.GetName] no coronado oficialmente por un miembro notable de la Iglesia jamás será totalmente legítimo para sus vasallos.\nCuantos más años pase sin ungir un[Root.GetXA] [Root.GetTitle] [Root.Religion.GetName] adult[Root.GetOA], más dudarán sus vasallos de su derecho divino a reinar.;;;;;;;;;x
alert_coronation_needed_instant;§YRuler Uncrowned§!;§YDirigeant non couronné§!;§YUngekrönter Herrscher§!;;§YGobernante no coronado§!;;;;;;;;;x
alert_council_discontent_delayed;Your Council has been Discontent for $DISCONTENT_DURATION|Y$ month(s), and will be until §Y$DISCONTENT_END_DATE$§!. This means that if Councillors were prohibited by law from forming and joining factions, they may now do so. This could potentially destabilize the realm.;Votre Conseil est insatisfait depuis $DISCONTENT_DURATION|Y$ mois et le sera jusqu'au §Y$DISCONTENT_END_DATE$§!. Cela signifie que les conseillers peuvent dorénavant légalement former et rejoindre des factions, et potentiellement déstabiliser le pays.;Euer Rat ist seit $DISCONTENT_DURATION|Y$ Monat(en) unzufrieden und wird dies bis §Y$DISCONTENT_END_DATE$§! sein. Dies bedeutet, dass Ratsmitglieder Fraktionen gründen und ihnen beitreten können, wodurch sich das Reich eventuell destabilisiert.;;Tu Consejo lleva Descontento desde hace $DISCONTENT_DURATION$ mes(es), y lo estará hasta §Y$DISCONTENT_END_DATE$§!. Esto significa que si consejeros si los consejeros tenían prohibido por ley unirse y formar facciones, ahora pueden. Esto puede potencialmente desestabilizar el reino.;;;;;;;;;x
alert_council_discontent_instant;§YCouncil is Discontent§!;§YLe Conseil est insatisfait§!;Rat ist unzufrieden;;Consejo está descontento;;;;;;;;;x
alert_council_discontent_name;Council Discontent;Insatisfaction du Conseil;Rat unzufrieden;;Consejo Descontento;;;;;;;;;x
alert_councillor_no_job_delayed;The following councillors are currently not on a job:\n$LIST$\n§GClick to go to Court View§!;Les membres du Conseil suivants sont actuellement inoccupés:\n$LIST$\n§GCliquez pour afficher la Vue de la Cour§!;Die folgenden Ratsmitglieder sind derzeit nicht mit einem Auftrag beschäftigt:\n$LIST$\n§GKlickt zum Aufruf der Hofansicht§!;;Los siguientes consejeros no tienen ocupación actualmente:\n$LIST$\n§GHaz clic para ir a la vista de corte§!;;;;;;;;;x
alert_councillor_no_job_instant;§YIdle Council Members§!;§YMembres du Conseil inoccupés§!;§YUntätige Ratsmitglieder§!;;§YMiembros del consejo desocupados§!;;;;;;;;;x
alert_country_at_war_name;Country at war;Pays en guerre;Land befindet sich im Krieg;;País en Guerra;;;;;;;;;x
alert_court_not_filled_delayed;The following spots need to be filled:\n$LIST$\n§GClick to go to Court View§!;Les postes suivants doivent être occupés : \n$LIST$\n§GCliquez pour accéder à la vue Cour.§!;Folgende Posten müssen besetzt werden:\n$LIST$\n§GKlickt zum Aufruf der Hofansicht§!;;Deben cubrirse las siguientes posiciones:\n$LIST$\n§GClic para ir a vista de corte§!;;;;;;;;;x
alert_court_not_filled_instant;§YOpen Council Positions§!;§YPostes vacants au Conseil§!;§YOffene Ratspositionen§!;;§YPuestos en el consejo§!;;;;;;;;;x
alert_court_not_filled_name;Open council positions;Postes vacants au Conseil;Ratspositionen nicht besetzt;;Puestos disponibles en el Consejo;;;;;;;;;x
alert_decadence_delayed;You have decadent relatives. You should ask them to straighten up or in other ways take care of them.;Vous avez des proches parents décadents. Vous devriez leur demander de se reprendre en main, ou bien trouver une autre façon de remédier au problème.;Ihr habt dekadente Verwandte. Ihr müsst dafür sorgen, dass sie sich bessern, oder eine andere Lösung finden.;;¿Tienes parientes decadentes. Debes pedir que se reformen u ocuparte de ellos de otros modos.;;;;;;;;;x
alert_decadence_instant;§YDecadent Relatives§!;§YParents décadents§!;§YDekadente Verwandte§!;;§YParientes decadentes§!;;;;;;;;;x
alert_deficits_delayed;Your coffers are empty and you owe your subjects money. The morale of your armies will suffer, and the longer this goes on, the more corruption and criminals will plague your counties.;Vos coffres sont vides et vous avez contracté des dettes envers vos sujets. Le moral de vos armées en sera affecté. Plus cette situation s'éternisera, plus la corruption et le crime nuiront à vos comtés.;Eure Staatskasse ist leer und Ihr schuldet Euren Untertanen Geld. Die Moral Eurer Truppen wird leiden und je länger das anhält, umso mehr werden Korruption und Kriminalität Eure Ländereien heimsuchen.;;Tus arcas están vacías y debes dinero a tus súbditos. La moral de los ejércitos se verá afectada y, cuanto más tiempo transcurra, más afectarán la corrupción y la delincuencia a tus condados.;;;;;;;;;x
alert_deficits_instant;§YBudget Deficit§!;§YCoffres vides§!;§YHaushaltsdefizit§!;;§YDéficit presupuestario§!;;;;;;;;;x
alert_deficits_name;Deficits;Déficits;Defizite;;Déficits;;;;;;;;;x
alert_dejure_claim_delayed;The following de jure ducal claims can be pressed: $LIST$;Les revendications ducales de jure suivantes peuvent être appuyées : $LIST$;Die folgenden De-jure-Herzogsansprüche können durchgesetzt werden: $LIST$;;Las siguientes reivindicaciones por ducado de iure pueden ser reclamadas: $LIST$;;;;;;;;;x
alert_dejure_claim_instant;§YYou can Press de jure Ducal Claims§!;§YVous pouvez appuyer des revendications ducales de jure§!;§YDe-jure-Herzogsansprüche können durchgesetzt werden§!;;§YPuedes reclamar reivindicaciones por ducado de iure§!;;;;;;;;;x
alert_dejure_claim_name;Can press de jure claim;Peut revendiquer des titres de jure;Es können De-jure-Ansprüche durchgesetzt werden;;Puedes ejercer una reclamación de ducado de iure;;;;;;;;;x
alert_demesne_too_big_delayed;Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.;Votre domaine possède §R$NUM$§!/§Y$MAX$§! propriétés, ce qui affecte le prélèvement de l'impôt et le recrutement des troupes, et cause un ressentiment parmi vos vassaux.;Eure Domäne umfasst §Y$NUM$§!/§Y$MAX$§! Besitztümer, wodurch die Besteuerung und die Truppenaushebung ineffizient sind und Unmut unter Euren Vasallen verursacht wird.;;¡Tu heredad tiene §Y$NUM$§!/§Y$MAX$§! propiedades, causando tributación ineficiente, reclutamiento de tropas y resentimiento entre tus vasallos.;;;;;;;;;x
alert_demesne_too_big_instant;§YDemesne too Big§!;§YDomaine personnel trop vaste§!;§YDomäne zu groß§!;;¡Heredad demasiado grande! ;;;;;;;;;x
alert_demesne_too_big_name;Demesne too big;Domaine trop vaste;Domäne zu groß;;Heredad demasiado grande;;;;;;;;;x
alert_enemy_invasion_planned_delayed;Enemy rulers are preparing invasions against us:\n$LIST$;Des souverains ennemis se préparent à nous envahir :\n$LIST$;Feindliche Herrscher bereiten Invasionen gegen uns vor:\n$LIST$;;Gobernantes enemigos están preparando invasiones contra nosotros:\n$LIST$;;;;;;;;;x
alert_enemy_invasion_planned_instant;§YEnemy Planning to Invade§!;§YL'ennemi prépare une invasion§!;§YFeindliche Invasionsvorbereitung§!;;§YEnemigo Planeando Invadir§!;;;;;;;;;x
alert_has_favor_delayed;The following Characters owe you a Favor:\n$LIST$\n\nFavors can be used for the following:\n$ACTIONS$;Les personnages suivants vous doivent une faveur :\n$LIST$\n\nLes faveurs peuvent être utilisées pour les actions suivantes :\n$ACTIONS$;Folgende Charaktere schulden Euch einen Gefallen:\n$LIST$\n\nGefallen können für folgende Maßnahmen eingesetzt werden:\n$ACTIONS$;;Los siguientes personajeste deben un Favor:\n$LIST$\n\nlos nFavores se pueden utilizar para lo siguiente:\n$ACTIONS$;;;;;;;;;x
alert_has_favor_instant;§Y$NUM$ Characters owe you a Favor§!;§YPersonnages vous devant une faveur ($NUM$)§!;§Y$NUM$ Charaktere schulden Euch einen Gefallen§!;;¡§Y$NUM$ personajes le deben un Favor§!;;;;;;;;;x
alert_has_favor_name;Characters owe you Favors;Personnages vous devant une faveur;Charaktere schulden Euch einen Gefallen;;Personajes te deben favores;;;;;;;;;x
alert_heir_should_marry_delayed;$HEIR$ should get married\n§GClick to go to Character View§!;$HEIR$ devrait se marier.\n§GCliquez pour accéder à la vue Personnage.§!;$HEIR$ sollte heiraten\n§GKlickt zum Aufruf der Charakteransicht§!;;$HEIR$ debería casarse\n§GClic para ir a vista de personajes§!;;;;;;;;;x
alert_heir_should_marry_instant;§YUnmarried Heir§!;§YHéritier non marié§!;§YUnverheirateter Erbe§!;;§YHeredero soltero§!;;;;;;;;;x
alert_heir_should_marry_name;Heir unmarried;Héritier célibataire;Erbe ist nicht vermählt;;Heredero soltero;;;;;;;;;x
