wonder_amphitheater;Grand Amphitheater;Grand amphithéâtre;Großes Amphitheater;;Gran anfiteatro;;;;;;;;;x
wonder_cathedral_hagia_sophia_desc;This great church, the Shrine of the Holy Wisdom of God, is one of the world's largest buildings. It was finished in 562 AD[FromFrom.GetHagiaSophiaUse].;Cette grande église, sanctuaire de la sainte sagesse de Dieu, est l'un des plus grands édifices du monde. Terminée en 562 ap. J-C, [FromFrom.GetHagiaSophiaUse].;Diese große Kirche, das Heiligtum der Weisheit Gottes, ist eines der größten Gebäude der Welt. Der Bau wurde im Jahr 562AD beendet[FromFrom.GetHagiaSophiaUse].;;Esta gran iglesia, el Santuario de la Santa Sabiduría de Dios, es uno de los mayores edificios del mundo. Se terminó en el 562 A.C.[FromFrom.GetHagiaSophiaUse].;;;;;;;;x
wonder_cathedral_notre_dame;Notre Dame;Notre-Dame;Notre-Dame;;Notre Dame;;;;;;;;;x
wonder_cathedral_notre_dame_desc;By many deemed integral to the silhouette of Paris, this grand Cathedral reminds the proud metropolitans of their heritage and accomplishments, while also inspiring hope for future endeavors.;Considérée comme partie intégrante de la silhouette de Paris, cette grande cathédrale rappelle aux citoyens métropolitains leur héritage et leurs accomplissements, tout en suscitant de l’espoir pour l’avenir.;Von vielen als integraler Bestandteil der Silhouette von Paris gesehen, erinnert diese großartige Kathedrale die stolzen Metropoliten an ihr Erbe und ihre Errungenschaften und weckt gleichzeitig Hoffnung für zukünftige Bemühungen.;;Para muchos parte integral de la silueta de París, esta gran catedral recuerda a los metropolitanos orgullosos su herencia y logros, al tiempo que inspira esperanza para proyectos futuros.;;;;;;;;;x
wonder_fortress;Grand Fortress;Grande forteresse;Große Festung;;Gran fortaleza;;;;;;;;;x
wonder_fortress_construction_desc;An imposing construction, it will make the province much harder to conquer. Added Facilities can improve considerably the military capabilities of its owner.;Une construction imposante qui rendra la province beaucoup plus difficile à conquérir. Les installations supplémentaires peuvent améliorer considérablement les capacités militaires de son propriétaire.;Ein imposantes Bauwerk, das die Eroberung der Provinz erheblich erschwert. Zusätzliche Einrichtungen können die militärischen Fähigkeiten ihres Besitzers erheblich verbessern.;;Una construcción imponente, hará que la provincia sea mucho más difícil de conquistar.;;;;;;;;;x
wonder_fortress_desc;The fortress is a safe-haven, a home away from home for many warriors.;Cette forteresse est un havre de paix, un chez-soi pour de nombreux guerriers.;Die Festung ist ein sicherer Hafen und ein Zuhause für viele Krieger.;;La fortaleza es un refugio, un hogar lejos del hogar para muchos guerreros.;;;;;;;;;x
wonder_garden;Magnificent Garden;Magnifique jardin;Riesiger Garten;;Jardín magnífico;;;;;;;;;x
wonder_garden_construction_desc;The garden will be a marvel of both science and beauty, and can help you with matters related to §YHealth§!, love life, or even intrigue.;Le jardin sera une merveille de science et de beauté et pourra vous aider à résoudre des problèmes liés à la §Ysanté§!, la vie amoureuse ou même l’intrigue.;Der Garten ist sowohl ein Wunder der Wissenschaft als auch der Schönheit und kann Euch bei Angelegenheiten helfen, die mit §YGesundheit§!, Liebe oder Intrige zu tun haben.;;Un jardín será una maravilla tanto de ciencia y belleza y te puede ayudar con asuntos relacionados con la §Ysalud§!, la vida amorosa e incluso la intriga.;;;;;;;;;x
wonder_garden_desc;The garden is a marvel of both science and beauty.;Ce jardin est une merveille de science et de beauté.;Der Garten ist ein Wunder der Wissenschaft und Schönheit.;;El jardín es una maravilla de la ciencia y la belleza.;;;;;;;;;x
wonder_harbor;Great Harbor;Grand port;Großer Hafen;;Gran puerto;;;;;;;;;x
wonder_harbor_construction_desc;A Great Harbor with storehouses will dominate trade in the area, thus bringing revenues. It can also increase our maritime military capabilities, including in sieges.;Un grand port avec des entrepôts dominera le commerce dans la région, générant ainsi des revenus. Cela peut également augmenter les capacités militaires maritime et de siège.;Ein großer Hafen mit Lagerhäusern wird den Handel in der Region fördern und so zu neuen Einnahmen führen. Er kann auch unsere maritimen militärischen Fähigkeiten erhöhen, besonders bei Belagerungen.;;Un gran puerto con almacenes dominará el comercio del área, trayendo ingresos. También puede aumentar nuestra capacidad militar marítima, incluyendo asedios.;;;;;;;;;x
wonder_harbor_desc;Heavily trafficked, the magnificent Harbor is bringing both trade and tourism to the area.;Ce port magnifique attire à la fois le commerce et le tourisme dans la région.;Der prachtvolle Hafen ist stark frequentiert und bringt sowohl Handel als auch Tourismus in die Region.;;Este magnífico puerto con muchísimo tráfico trae comercio y turismo al área.;;;;;;;;;x
wonder_house_of_wisdom;House of Wisdom;Maison de la Sagesse;Haus der Weisheit;;Casa de la sabiduría;;;;;;;;x
wonder_house_of_wisdom_desc;A grand library, housing much of the world's knowledge.;Une grande bibliothèque abritant une grande partie de la connaissance du monde.;Eine große Bibliothek, die viel Wissen der Welt beherbergt.;;Una gran biblioteca que alberga gran parte de los conocimientos del mundo.;;;;;;;;x
wonder_library;Great Library;Grande bibliothèque;Große Bibliothek;;Gran biblioteca;;;;;;;;;x
wonder_library_construction_desc;A place to collect, store and reproduce the great written works, it will allow you to find and use many books.;Lieu de stockage et de reproduction des grandes œuvres écrites qui vous permettra de trouver et d’utiliser de nombreux livres.;Ein Ort zum Sammeln, Lagern und Reproduzieren großartiger schriftlicher Werke. Hier können Ihr viele Bücher finden und lesen.;;Un lugar para coleccionar, guardar y copiar las grandes obras escritas, te permitirá encontrar y utilizar muchos libros.;;;;;;;;;x
wonder_library_desc;Books are precious, as the knowledge of things past and new are written in their pages. This beacon of knowledge will have capacity to store thousands of books, and will have reading facilities.;Les livres sont précieux, car la connaissance des choses passées et nouvelles est écrite dans leurs pages. Ce lieu de connaissances aura la capacité de conserver des milliers de livres et des équipements pour la lecture.;Bücher sind wertvoll, da das Wissen über vergangene und neue Dinge in ihre Seiten geschrieben werden. Dieses Fanal des Wissens kann Tausende von Büchern speichern und verfügt über viel Platz zum lesen.;;Los libros son preciosos, pues el conocimiento de cosas nuevas y del pasado está escrito en sus páginas. Este faro del conocimiento tendrá capacidad para albergar miles de libros y puestos de lectura.;;;;;;;;;x
wonder_lighthouse;Great Lighthouse;Grand phare;Großer Leuchtturm;;Gran faro;;;;;;;;;x
wonder_lighthouse_alexandria;Lighthouse of Alexandria;Phare d'Alexandrie;Leuchtturm von Alexandria;;Faro de Alejandría;;;;;;;;;x
wonder_lighthouse_alexandria_desc;For a long time the tallest building in the world, the lighthouse is an impressive construction visible from far away, while also serving its purpose, guiding ships into port.;Pendant longtemps le plus haut bâtiment du monde, ce phare est une construction impressionnante, visible de loin, tout en servant son objectif: guider les navires vers le port.;Der Leuchtturm war lange Zeit das höchste Gebäude der Welt. Er ist ein beeindruckendes Bauwerk, das von weitem sichtbar ist und so gleichzeitig dem Zweck dient, Schiffe in den Hafen zu leiten;;El faro, durante mucho tiempo el edificio más alto del mundo, es una construcción visible desde muy lejos que sirve a su propósito de guiar a los barcos a puerto.;;;;;;;;;x
wonder_lighthouse_construction_desc;Illuminating the darkness and guiding ships to the safety of your port, the Lighthouse can increase trade and tax revenues. It can even be used as a place for you to rest.;Éclairant l'obscurité et guidant les navires vers votre port, le phare peut augmenter les revenus commerciaux et fiscaux. Il peut même être utilisé comme lieu de repos.;Der Leuchtturm vertreibt die Dunkelheit und führt Schiffe in die Sicherheit Ihres Hafens. Er erhöht dabei die Handels- und Steuereinnahmen. und kann sogar als Ort zum Ausruhen genutzt werden.;;Iluminar la oscuridad y guiar a los barcos a la seguridad de tu puerto, el faro puede aumentar los ingresos de comercio e impuestos. Incluso puedes usarlo como lugar de descanso.;;;;;;;;;x
wonder_lighthouse_desc;A tall and visible landmark, the building lends a helping hand to sailors, guiding their ships into port at night.;Un monument haut et visible qui guide les navires jusqu’au port pendant la nuit.;Das Gebäude ist groß und sichtbarund hilft den Seeleuten dabei ihre Schiffe in der Nacht in den Hafen führen.;;El edificio, un punto de referencia alto y visible, presta ayuda a los marineros, guiando en sus barcos a entrar en puerto por la noche.;;;;;;;;;x
wonder_mausoleum;Grand Mausoleum;Grand mausolée;Großes Mausoleum;;Gran mausoleo;;;;;;;;;x
wonder_mausoleum_construction_desc;A testament to the §YPrestige§! of its builder and their successors, it is a place to honor the dead. It can also be used to intimidate friends and foes alike.;Témoignage du §Yprestige§! de son constructeur et de ses successeurs, c’est un lieu pour honorer les morts. Il peut également être utilisé pour intimider amis et ennemis.;Als Zeugnis für das §YPrestige§! seines Erbauers und seiner nachkommen ist dies ein Ort, an dem die Toten geehrt werden. Es kann auch verwendet werden, um Freunde und Feinde gleichermaßen einzuschüchtern.;;Un legado del §Yprestigio§! de su constructor y sus sucesores, es un lugar para honrar a los muertos. También puede usarse para intimidar a amigos y enemigos por igual.;;;;;;;;;x
wonder_mausoleum_desc;A simple tomb is not enough for some rulers.;Une simple tombe ne suffit pas pour certains dirigeants.;Ein einfaches Grab reicht einigen Herrschern nicht aus.;;Una simple tumba no es suficiente para algunos gobernantes.;;;;;;;;;x
wonder_mausoleum_halicarnassus;Mausoleum at Halicarnassus;Mausolée d'Halicarnasse;Mausoleum von Halikarnassos;;Mausoleo de Halicarnaso;;;;;;;;;x
wonder_mausoleum_halicarnassus_desc;A giant above-ground tomb, constructed by Mausolus, a satrap in the Persian Empire, for himself and Artemisia II of Caria.;Un tombeau géant en surface, construit par Mausole, un satrape de l'empire perse, pour lui-même et Artémise II de Carie.;Ein riesiges überirdisches Grab, das von Mausolus, einem Satrapen des Persischen Reich, für sich und Artemisia II. von Karien erbaut wurde.;;Una tumba gigante que se eleva del suelo, construida por Mausolo, sátrapa del Imperio Persa, para sí mismo y Artemisia II de Caria.;;;;;;;;;x
wonder_mosque;Great Mosque;Grande mosquée;Große Moschee;;Gran mezquita;;;;;;;;;x
wonder_mosque_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can help convert the infidels to the true faith, improve opinion, or even help protect the population from diseases.;Témoignage de la §Ypiété§! et du §Yprestige§! de son constructeur, elle peut aider à convertir les infidèles à la vraie foi, améliorer l’opinion ou même protéger la population contre les maladies.;Dies ist ein Zeugnis für die §YPietät§! und §YPrestige§! seines Erbauers. Es kann dabei helfen, die Ungläubigen zum wahren Glauben zu konvertieren, die Meinung verbessern oder sogar die Bevölkerung vor Krankheiten schützen.;;Un legado de la §Ypiedad§! y el §Yprestigio§! de su constructor, puede ayudar a convertir a los infieles a la fe verdadera, mejorar las opiniones o incluso ayudar a proteger a la población de enfermedades.;;;;;;;;;x
wonder_mosque_desc;This building is a testament to the piousness of its builder.;Cet édifice est un témoignage de la piété de son bâtisseur.;Dieses Gebäude ist ein Zeugnis für die Frömmigkeit ihres Erbauers.;;Este edificio es un legado de la piedad de su constructor.;;;;;;;;;x
wonder_pagan_stones;Great Stone Circle;Grand cercle de pierre;Großer Steinkreis;;Gran circulo de piedra;;;;;;;;;x
wonder_pagan_stones_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can also help  improve your subjects's opinion of you.;Témoignage de votre §Ypiété§! et de votre §Yprestige§!, il peut également aider à améliorer l'opinion de vos sujets envers vous.;Als Zeugnis Eurer §YPietät§! und §YPrestige§! verbessert dies die Meinung Eurer Untertanen über Euch.;;Un legado de tu §Ypiedad§! y §Yprestigio§!, también puede ayudar a mejorar la opinión de tus súbditos sobre ti.;;;;;;;;;x
wonder_pagan_stones_desc;Huge standing rocks are placed in a grand circle, with an opening towards the east, where the sun rises.;D'énormes roches érigées sont placées en cercle, avec une ouverture vers l'est, où le soleil se lève.;Riesige stehende Felsen befinden sich in einem großen Kreis mit einer Öffnung nach Osten, wo die Sonne aufgeht.;;Las enormes rocas en pie forman un gran círculo, con una abertura hacia el este, donde sale el sol.;;;;;;;;;x
wonder_pagan_stones_stonehenge;Stonehenge;Stonehenge;Stonehenge;;Stonehenge;;;;;;;;;x
wonder_pagan_stones_stonehenge_desc;Some think the rocks were placed by gods. Others say it's pagan superstition, but refuse to go near them.;Certaines personnes pensent que les roches ont été placées par des dieux. D'autres disent que c'est une superstition païenne, mais refusent de s'en approcher.;Einige denken, dass die Felsen von Göttern platziert wurden. Andere sagen, es sei heidnischer Aberglaube, lehnen es jedoch ab, sich ihnen zu nähern.;;Algunos creen que los dioses pusieron las rocas. Otros dicen que es una superstición pagana, pero se niegan a acercarse a ellas.;;;;;;;;;x
wonder_palace;Royal Palace;Palais royal;Königlicher Palast;;Palacio Real;;;;;;;;;x
wonder_palace_construction_desc;A regal symbol of the Prestigious lineage of its builder, it can also be equipped with a number of facilities that help the builder with their love life or court intrigue.;Symbole royal de la prestigieuse lignée de son constructeur, il peut également être équipé de nombreux équipements qui l’aident dans sa vie amoureuse ou ses intrigues de cour.;Als Symbol der königlichen und prestigeträchtigen Linie seines Erbauers kann es mit einer Reihe von Einrichtungen ausgestattet werden, die dem Erbauer bei seinem Liebesleben oder seiner Intrige helfen.;;Un símbolo real del prestigioso linaje de su constructor, también puede ser equipado con una serie de instalaciones que ayuden al constructor con su vida amorosa o la intriga cortesana.;;;;;;;;;x
wonder_palace_desc;A regal symbol of the prestigious lineage of its builder, this palace is one of its kind.;Symbole majestueux de la prestigieuse lignée de son constructeur, ce palais est unique en son genre.;Dieser Palast ist ein königliches Symbol für die prestigeträchtige Linie seines Erbauers. Er ist einzigartig.;;Un símbolo real del prestigioso linaje de su constructor, este palacio es único en su especie.;;;;;;;;;x
wonder_pyramid;Great Pyramid;Grande pyramide;Große Pyramide;;Gran pirámide;;;;;;;;;x
wonder_pyramid_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can help improve opinion of you and even help protect your treasures.;Témoignage de votre §Ypiété§! et votre §Yprestige§!, elle peut vous aider à améliorer l'opinion envers vous et même à protéger vos trésors.;Als Zeugnis Eurer §YPietät§! und §YPrestige§! kann dies dabei helfen die Meinung über Euch zu verbessern und schützt dabei Eure Schätze.;;Un legado de tu §Ypiedad§! y §Yprestigio§!, puede ayudar a mejorar la opinión sobre ti e incluso ayudar a proteger tus tesoros.;;;;;;;;;x
wonder_pyramid_desc;"Build it taller!", was apparently the last words of its architect.;« Construisons-la plus grande ! », était apparemment le maître-mot de son architecte.;"Baut es höher!", war anscheinend das letzte Wort seines Architekten.;;Al parecer las últimas palabras de su arquitecto fueron ¡hacedla más alta!;;;;;;;;;x
wonder_pyramid_giza;Great Pyramid of Khufu;Grande pyramide de Khoufou;Große Pyramide von Khufu;;Gran pirámide de Keops;;;;;;;;;x
wonder_pyramid_giza_desc;The strangely shaped pyramids have always been there.;Ces pyramides aux formes étranges ont toujours été là.;Die seltsam geformten Pyramiden waren schon immer da.;;La pirámide de forma extraña siempre ha estado ahí.;;;;;;;;;x
wonder_statue_horse;Statue of a Horse;Statue de cheval;Statue eines Pferdes;;Estatua de un caballo;;;;;;;;;;x
wonder_statue_horse_construction_desc;Immortalizing a horse in a grand statue is a testament to the §YPrestige§! of its builder and their successors, and can improve the opinion from horse loving vassals.;Immortaliser un cheval dans une grande statue témoigne du §Yprestige§! de son constructeur et de ses successeurs, et peut améliorer l'opinion des vassaux épris de chevaux.;Ein Pferd in einer großen Statue zu verewigen ist ein Beweis für das §YPrestige§! seines Erbauers und dessen Nachfolgern, und kann die Meinung Eurer pferdeliebenden Vasallen verbessern.;;Inmortalizar a un caballo en una gran estatua es un legado del §Yprestigio§! de su constructor y sus sucesores y puede mejorar la opinión de los vasallos amantes de los caballos.;;;;;;;;;x
wonder_statue_horse_desc;A grand statue of a majestic stallion!;Une grande statue d'un étalon majestueux !;Die große Statue eines majestätischen Hengstes!;;¡Una gran estatua de un semental magnífico!;;;;;;;;;;x
wonder_statue_ruler;Ruler Statue;Statue du dirigeant;Herrscherstatue;;Estatua del gobernante;;;;;;;;;x
wonder_statue_ruler_construction_desc;Immortalizing a ruler in a grand statue is a testament to the §YPrestige§! of its builder and their successors, and can improve the opinion from your family and vassals.;Immortaliser un dirigeant dans une grande statue témoigne du §Yprestige§! de son constructeur et de ses successeurs, et peut améliorer l'opinion de votre famille et de vos vassaux.;Einen Herrscher in einer großen Statue zu verewigen ist ein Beweis für das §YPrestige§! seines Erbauers und dessen Nachfolgern, und kann die Meinung Eurer Familie und Eurer Vasallen verbessern.;;Inmortalizar a un gobernante en una gran estatua es un legado del §Yprestigio§! de su constructor y sus sucesores y puede mejorar la opinión de familia y vasallos.;;;;;;;;;x
wonder_statue_ruler_desc;A ruler is immortalized in this grand statue.;Un dirigeant est immortalisé à travers cette grande statue.;In dieser großen Statue ist ein Herrscher verewigt.;;Un gobernante queda inmortalizado en esta gran estatua.;;;;;;;;;x
wonder_synagogue;Great Synagogue;Grande synagogue;Große Synagoge;;Gran sinagoga;;;;;;;;;x
wonder_synagogue_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can also help improve opinion of you, the morale of the military forces, and reduce revolt risk.;Témoignage de la §Ypiété§! et du §Yprestige§! de son constructeur, elle peut également aider à améliorer l'opinion envers vous et le moral des troupes, ainsi qu'à réduire le risque de révolte.;Dies ist ein Zeugnis für die §YPietät§! und §YPrestige§! seines Erbauers. Es trägt dazu bei, die Meinung über Euch und die Moral der Truppen zu verbessern und reduziert das Revoltenrisiko.;;Un legado de la §Ypiedad§! y el §Yprestigio§! de su constructor, también puede ayudar a mejorar la opinión sobre ti, la moral de las fuerzas militares y reducir el riesgo de revueltas.;;;;;;;;;x
wonder_synagogue_desc;Anyone setting foot in the building will be reminded of the value of a religious community.;Toute personne qui pénétrera dans le bâtiment se souviendra de la valeur d’une communauté religieuse.;Wer das Gebäude betritt, wird an den Wert einer Religionsgemeinschaft erinnert.;;Quien entre en el edificio recordará el valor de una comunidad religiosa.;;;;;;;;;x
wonder_temple_buddhist;Temple;Temple;Tempel;;Templo;;;;;;;;;x
wonder_temple_buddhist_construction_desc;A testament to the §YKarma§! of its builder, it can be used to store relics, and in times of trouble its walls can protect the people from danger.;Témoignage du §Ykarma§! de son constructeur, il peut être utilisé pour conserver des reliques et, en cas de problème, ses murs peuvent protéger les personnes en cas de danger.;Dies ist ein Zeugnis für das §YKarma§! seines Erbauers. Es dient zur Aufbewahrung von Relikten und in schwierigen Zeiten können seine Glocken die Menschen vor Gefahren warnen.;;Un legado del §Ykarma§! de su constructor, se puede usar para guardar reliquias y, en tiempos de problemas, sus muros pueden proteger a la gente del peligro.;;;;;;;;;x
wonder_temple_buddhist_desc;The temple is a holy building, a place of devotion and reflection.;Le temple est un édifice sacré, un lieu de dévotion et de réflexion.;Der Tempel ist ein heiliges Gebäude und ein Ort der Andacht und Besinnung.;;El templo es un edificio sagrado, un lugar de devoción y reflexión.;;;;;;;;;x
wonder_temple_hindu;Hindu Temple;Temple hindouiste;Hindu-Tempel;;Templo hindú;;;;;;;;;x
wonder_temple_hindu_construction_desc;A temple that symbolizes the house, seat and body of a God. It is a sign of its builder §YKarma§! and §YPrestige§!, and can also influence the opinion of some of your subjects.;Un temple qui symbolise la maison, le siège et le corps d'un dieu. C'est un signe du §Ykarma§! et du §Yprestige§! de son constructeur et cela peut influencer l'opinion de certains de vos sujets.;Ein Tempel, der das Haus, den Sitz und den Körper eines Gottes symbolisiert. Er ist ein Zeichen für das §YKarma§! und §YPrestige§! seines Erbauers und kann auch die Meinung einiger Eurer Untertanen beeinflussen.;;Un templo que simboliza el hogar, la sede y el cuerpo de un dios. Es una señal del §Ykarma§! y §Yprestigio§! de su constructor y también puede influir en la opinión de algunos de tus súbditos.;;;;;;;;;x
wonder_temple_hindu_desc;A temple that symbolizes the house, seat and body of a God.;Un temple qui symbolise la maison, le siège et le corps d'un dieu.;Ein Tempel, der das Haus, den Sitz und den Körper eines Gottes symbolisiert.;;Un templo que simboliza el hogar, la sede y el cuerpo de un dios.;;;;;;;;;x
wonder_temple_hindu_konark;Konark Sun Temple;Temple du Soleil de Konârak;Sonnentempel von Konark;;Templo del sol de Konark;;;;;;;;;x
wonder_temple_hindu_konark_desc;This temple was built in the form of a giant ornamented chariot dedicated to the Sun God, Surya.;Ce temple a la forme d'un chariot géant orné dédié au dieu soleil, Surya.;Dieser Tempel wurde in Form eines riesigen verzierten Wagens gebaut, der dem Sonnengott Surya gewidmet ist.;;Este templo se construyó en forma de cuadriga ornamentada gigante dedicada a Suria, dios del Sol.;;;;;;;;;x
wonder_temple_pagan;Great Temple;Grand temple;Großer Tempel;;Gran templo;;;;;;;;;x
wonder_temple_pagan_construction_desc;A testament to the §YPrestige§! of its builder, the temple can improve your subjects' opinion of you, and lower revolt risk.;Témoignage du §Yprestige§! de son constructeur, ce temple peut améliorer l'opinion de vos sujets envers vous et réduire les risques de révolte.;Dies ist ein Zeugnis für das §YPrestige§! seines Erbauers. Der Tempel kann die Meinung Eurer Untertanen über Euch verbessern und reduziert das Revoltenrisiko.;;Un legado del §Yprestigio§! de su constructor, el templo puede ayudar a mejorar la opinión de tus súbditos de ti y reducir el riesgo de revueltas.;;;;;;;;;x
wonder_temple_pagan_desc;The site of the temple is rumored to be the holiest ground in the realm.;La rumeur dit que le site du temple est la terre la plus sainte du pays.;Es wird behauptet, dass der Tempel der heiligste Ort im Reich ist.;;Se rumorea que terreno del templo es el lugar más sagrado del reino.;;;;;;;;;x
wonder_temple_solomon;Temple of Solomon;Temple de Salomon;Solomons Tempel;;Templo de Salomón;;;;;;;;;x
wonder_temple_solomon_desc;A hill, deeply sacred to Jewish worshipers, as it is said to be the location of the ancient Temple of Solomon.;Une colline, profondément sacrée pour les fidèles juifs, serait l'emplacement de l'ancien temple de Salomon.;Ein Hügel, der den jüdischen Gläubigen zutiefst heilig ist, ist angeblich der Ort, auf dem der Tempel Salomos liegt.;;Una colina, muy sagrada para los fieles judíos ya que se dice que es la ubicación del antiguo Templo de Salomón.;;;;;;;;;x
wonder_underground_city;Great Underground City;Grande ville souterraine;Große Untergrundstadt;;Gran ciudad subterránea;;;;;;;;;x
wonder_underground_city_construction_desc;Building an underground city can increase your intrigue capabilities and you can even find a precious metal deposit.;Construire une ville souterraine peut augmenter vos capacités d'intrigue et vous pourriez même trouver un gisement de métal précieux.;Der Bau einer unterirdischen Stadt kann Eure Intrigenfähigkeiten verbessern und Ihr könnt dabei sogar eine Edelmetalllagerstätte finden.;;Construir una ciudad subterránea puede aumentar tu capacidad de intriga y hasta puedes encontrar un yacimiento de metales preciosos.;;;;;;;;;x
wonder_underground_city_desc;Partially carved from the very rock it sits on, only its owner knows exactly how far these tunnels sprawl.;Partiellement taillés dans la roche sur laquelle ils reposent, seul leur propriétaire sait jusqu'où ces tunnels s’étendent.;Teilweise aus dem Felsen gehauen, weiß nur der Besitzer genau, wie weit sich diese Tunnel ausbreiten.;;Parcialmente excavada en la roca sobre la que se asienta, solo su propietario sabe hasta dónde se extienden estos túneles.;;;;;;;;;x
wonder_underground_city_petra;Petra;Pétra;Petra;;Petra;;;;;;;;x
