capital_prospers_custom_tooltip;The §YProsperity§! of your capital county (§Y[This.Capital.GetName]§!) increases slightly\n;La §Yprospérité§! du comté de la capitale augmente légèrement\n;Der §YWohlstand§! Eurer Hauptgrafschaft steigt leicht an.\n;;La §YProsperidad§! de tu condado capital aumenta ligeramente\n;;;;;;;;;x
court_physician_tooltip_1;Must not hold a temporary title\n;Ne doit pas détenir de titre temporaire\n;Darf keinen temporären Titel besitzen\n;;No debe tener un título temporal\n;;;;;;;;;x
court_physician_tooltip_2;Must be male unless your realm accepts women as equals\n;Doit être un homme à moins que votre pays accepte les femmes comme des égales\n;Muss männlich sein, es sei denn, Frauen gelten in Eurem Reich als gleichberechtigt\n;;Debe ser varón a menos que tu reino acepte mujeres como iguales\n;;;;;;;;;x
drink_the_concoction_custom_tooltip;You drink the concoction [physician_target.GetFirstName] has brewed;Vous buvez la préparation de [physician_target.GetFirstName];Ihr trinkt das Gebräu, das [physician_target.GetFirstName] für Euch gemischt hat.;;Bebes el brebaje que [physician_target.GetFirstName] ha preparado;;;;;;;;;x
educated_court_physician;Is an educated Court Physician\n;Est un physicien de la Cour instruit\n;Hat eine hofärztliche Ausbildung durchlaufen\n;;Es un Médico educado en la Corte \n;;;;;;;;;x
employ_court_physician_tooltip;Ensure the entire realm knows you are looking for a candidate for the position of Court Physician.\n;Vous vous assurez que tout le pays sache que vous êtes à la recherche d'un candidat pour le poste de physicien de la Cour.\n;Ihr solltet im gesamten Reich verlauten lassen, dass Ihr nach einem Anwärter für die Stelle des Hofarztes sucht.\n;;Asegúrate de que todo el reino sepa que buscas un candidato al puesto de §YMédico de la corte§!.\n;;;;;;;;;x
EoD_uprising_troops_ARMY;Army;Armée;Armee;;Ejército;;;;;;;;;x
epidemic_present_tooltip;An Epidemic is Active and Close\n;Une épidémie est active et proche\n;Eine Epidemie wütet ganz in der Nähe\n;;Hay una epidemia activa y cerca\n;;;;;;;;;x
eunuch_gift_tooltip;A eunuch named §Y[eunuch_gift.GetFullName]§! arrives at your court;Un eunuque nommé §Y[eunuch_gift.GetFullName]§! arrive à votre Cour;Ein Eunuch namens §Y[eunuch_gift.GetFullName]§! trifft an Eurem Hof ein;;Un eunuco llamado §Y[eunuch_gift.GetFullName]§! llega a la corte;;;;;;;;;x
expelling_holy_order_decision_tooltip;Is NOT already considering to expel the Holy Order;N'envisage pas déjà d'expulser l'ordre sacré;Erwägt noch NICHT, den Heiligen Orden zu verbannen;;NO está considerando la posibilidad de expulsar a la Orden Sagrada;;;;;;;;;x
fertility_treatment_custom_tooltip;[physician_target.GetFirstName] begins looking for ways to increase your fertility;[physician_target.GetFirstName] cherche un moyen d'améliorer votre fertilité;[physician_target.GetFirstName] beginnt mit der Suche nach einem Mittel, um Eure Fruchtbarkeit zu steigern.;;[physician_target.GetFirstName] empieza a buscar modos de aumentar tu fertilidad;;;;;;;;;x
gain_tech_custom_tooltip;Gain §G5.00§! random tech points.\n;Obtient §G5§! points de progrès technologique.\n;Erhaltet §G5.00§! zufällige Technologiepunkte.\n;;Gana §G5.00§! puntos de tecnología al azar.\n;;;;;;;;;x
increase_prosperity_custom_tooltip;The §YProsperity§! of §Y[This.GetName]§! increases slightly\n;La §Yprospérité§! du comté augmente légèrement\n;Der §YWohlstand§! der Grafschaft steigt leicht an.\n;;La §Yprosperidad§! del condado aumenta ligeramente\n;;;;;;;;;x
increase_prosperity_event_custom_tooltip;The §YProsperity§! of §Y[prosperity_target.GetName]§! increases!;La §Yprospérité§! de §Y[prosperity_target.GetName]§! augmente !;Der §YWohlstand§! von §Y[prosperity_target.GetName]§! steigt an!;;¡La §YProsperidad§! de §Y[prosperity_target.GetName]§! aumenta!;;;;;;;;;x
is_at_home_tooltip;Is at Home Court\n;Est à la Cour\n;Ist am heimatlichen Hof\n;;Está en la casa, en la corte\n;;;;;;;;;x
join_in_dance;Join the peasant's dance!\n;Se joint à la danse paysanne !\n;Tanzt mit den Bauern!\n;;¡Unirte al baile de los campesinos!\n;;;;;;;;;x
maimed_effect_tooltip;§Y[This.GetBestName]§! will be §YMaimed§!\n;§Y[This.GetBestName]§! sera §Yinfirme§!\n;§Y[This.GetBestName]§! wird §Yverstümmelt§! sein\n;;§Y[This.GetBestName]§! quedará §YLisiado§!\n;;;;;;;;;x
make_shieldmaiden;Appoint Shieldmaiden;Nommer skjaldmö;Schildmaid ernennen;;Nombrar Doncella escudera;;;;;;;;;x
make_shieldmaiden_custom_tooltip_2;Must be neither §Y'Shy'§!, §Y'Content'§!, §Y'Slothful'§!, §Y'Envious'§!, nor §Y'Gluttonous'§!\n;Ne doit pas avoir comme trait '§YTimidité§!', '§YContentement§!', '§YParesse§!', '§YEnvie§!' ou '§YGourmandise§!'\n;Darf weder §Y"Schüchtern"§!, §Y"Zufrieden"§!, §Y"Faul"§!, §Y"Neidisch"§! noch §Y"Gefräßig"§! sein\n;;No debe ser ni §Y'Tímido'§!, §Y'Contento'§!, §Y'Perezoso'§!, §Y'Envidioso'§!, ni tampoco §Y'Glotón'§!\n';;;;;;;;;x
make_shieldmaiden_custom_tooltip_3;Must NOT have been recently relieved of (or refused to accept) this duty\n;Ne doit pas avoir été récemment relevée de ses fonctions ni avoir refusé de devenir skjaldmö\n;Darf diese Aufgabe in letzter Zeit nicht abgelehnt haben und darf nicht abgesetzt worden sein\n;;No se le debe haber liberado recientemente de (o haber rechazado aceptar) este deber.\n;;;;;;;;;x
make_shieldmaiden_custom_tooltip_4;If [Root.GetTitledFirstName] accepts your offer you will lose §R50§! gold, but gain §G50§! prestige.\n[Root.GetTitledFirstName] will gain §G100§! prestige and the trait §Y'Shieldmaiden'§!.\n;Si [Root.Get_le_TitledFirstName] accepte votre offre, vous perdrez §R50§! pièces d'or, mais obtiendrez §G50§! points en prestige.\n[Root.GetTitledFirstName] obtiendra §G100§! en prestige et le trait §Y'skjaldmö'§!.\n;Wenn [Root.GetTitledFirstName] Euer Angebot akzeptiert, verliert Ihr §R50§! Gold, erhaltet jedoch §G50§! Prestige.\n[Root.GetTitledFirstName] erhält §G100§! Prestige und die Eigenschaft §Y"Schildmaid"§!.\n;;Si [Root.GetTitledFirstName] acepta tu oferta, perderás §R50§! de oro, pero ganarás §G50§! prestigio.\n[Root.GetTitledFirstName] ganará §G100§! prestigio y el rasgo §Y'Doncella escudera'§!.\n;;;;;;;;;x
make_shieldmaiden_desc;A §YShieldmaiden§! is recognized as a woman of remarkable bravery and strength of character. She may also be made a §YCommander§!.;Une §Yskjaldmö§! est reconnue comme une femme d'une remarquable bravoure et de fort caractère. Elle pourrait occuper la fonction de §Ycommandant§!.;Eine §YSchildmaid§! ist als Dame von bemerkenswerter Tapferkeit und Charakterstärke geachtet. Außerdem kann sie zum §YBefehlshaber§! ernannt werden.;;Una §YDoncella escudera§! es una mujer a la que se reconoce una notable valentía y fortaleza de personaje. También puede ser nombrada §YComandante§!.;;;;;;;;;x
mutilate_castrated_tooltip;§Y[From.GetTitledFirstName]§! is castrated.;[From.Get_Le_TitledFirstNameJ] a été castré.;§Y[From.GetTitledFirstName]§! wurde kastriert.;; §Y[From.GetTitledFirstName]§! es castrado.;;;;;;;;;x
mutilate_disfigured_tooltip;§Y[From.GetTitledFirstName]§! becomes disfigured.;[From.Get_Le_TitledFirstNameJ] a le visage défiguré.;§Y[From.GetTitledFirstName]§! wurde entstellt.;;§Y[From.GetTitledFirstName]§! queda desfigurad[From.GetOA].;;;;;;;;;x
mutilate_eye_tooltip;§Y[From.GetTitledFirstName]§! becomes one-eyed.;[From.Get_Le_TitledFirstNameJ] devient borgne.;§Y[From.GetTitledFirstName]§! ist jetzt einäugig.;;§Y[From.GetTitledFirstName]§! queda tuert[From.GetOA].;;;;;;;;;x
mutilate_hand_tooltip;§Y[From.GetTitledFirstName]§! becomes one-handed.;[From.Get_Le_TitledFirstNameJ] devient manchot[From.Get_E].;§Y[From.GetTitledFirstName]§! ist jetzt einhändig.;;§Y[From.GetTitledFirstName]§! queda manc[From.GetOA].;;;;;;;;;x
mutilate_leg_tooltip;§Y[From.GetTitledFirstName]§! becomes one-legged.;[From.Get_Le_TitledFirstNameJ] devient unijambiste.;§Y[From.GetTitledFirstName]§! ist jetzt einbeinig.;;§Y[From.GetTitledFirstName]§! queda coj[From.GetOA].;;;;;;;;;x
open_the_gates_info_tooltip;§Y[Root.GetBestName]§! opens up the gates and comes out of seclusion but the common people will remember [Root.GetHerHis] neglect for some time.\n;[Root.Get_only_Le_Title]§Y[Root.GetBestName]§! ouvre les portes et sort de sa réclusion, mais les roturiers se souviendront de ce manquement pendant un certain temps.\n;§Y[Root.GetBestName]§! öffnet die Tore und verlässt die Klausur, aber das Volk wird sich eine Zeitlang daran erinnern, wie [Root.GetSheHe] sie im Stich gelassen hat.\n;;§Y[Root.GetBestName]§! abre las puertas y sale del aislamiento pero el pueblo recordará su abandono durante algún tiempo.\n;;;;;;;;;x
physician_learning_custom_tooltip;Join [physician_target.GetFirstName] in [physician_target.GetHerHis] lab for a few days;Rejoint [physician_target.GetFirstName] dans son laboratoire pendant quelques jours;Verbringt einige Tage im Labor von [physician_target.GetFirstName].;;Únete a [physician_target.GetFirstName] en su laboratorio durante unos días.;;;;;;;;;x
physician_apothecaries_custom_tooltip;Your §YDemesne Counties§! receive a significant §YProsperity§! boost!;Votre §Ydomaine§! reçoit un bonus important de §Yprospérité§! !;Eure §YDomänengrafschaft§! erhält einen bedeutsamen §YWohlstandsschub§!!;;Los §Ycondados de tu heredad§! reciben un aumento significativo de §YProsperidad§!;;;;;;;;;x
prepare_worship_ancestors;You begin preparations for the sacrifice.;Vous commencez les préparatifs pour le sacrifice.;Ihr beginnt mit den Vorbereitungen für das Opfer.;;Empiezas los preparativos del sacrificio.;;;;;;;;;x
raise_defensive_unit_tooltip;Is the Primary Defender against a Religious Enemy\n;Est le principal défenseur contre un ennemi religieux\n;Ist der Hauptverteidiger gegen einen religiösen Feind\n;;Es el Defensor Principal contra un enemigo religioso.\n;;;;;;;;;x
realm_prospers_custom_tooltip;All §YRealm Provinces§! receive a significant §YProsperity§! boost!;Tous les §Ycomtés du pays§! reçoivent un bonus important de §Yprospérité§! !;Alle §YReichsprovinzen§! erhalten einen bedeutsamen §YWohlstandsschub§!!;;¡Todas las §Yprovincias del Reino§! reciben un aumento significativo de §YProsperidad§! !;;;;;;;;;x
refuse_to_join_in_dance;Get some rest\n;Se repose\n;Ruht Euch aus\n;;Descansar un poco\n;;;;;;;;;x
remaining_food;Remaining Food;Nourriture restante;Verbleibende Nahrung;;La comida restante;;;;;;;;;x
seek_treatment_tooltip_1;Must be ill or show a symptom\n;Doit être malade ou manifester un symptôme\n;Muss krank sein oder ein Symptom aufweisen\n;;Debe estar enfermo o mostrar un síntoma\n;;;;;;;;;x
seek_treatment_tooltip_2;Has not been treated recently\n;N'a pas reçu de traitement récemment\n;Wurde in letzter Zeit nicht behandelt\n;;No ha sido tratado recientemente\n;;;;;;;;;x
seek_treatment_tooltip_3;Does not already have a successful treatment;N'a pas déjà un traitement efficace;Wurde noch nicht erfolgreich behandelt;;No tiene un tratamiento exitoso;;;;;;;;;x
seek_treatment_tooltip_4;Your Court Physician is called\n;Votre physicien de la Cour est appelé\n;Euer Hofarzt wird gerufen\n;;Se llama al tu Médico de la corte\n;;;;;;;;;x
shut_the_gates_info_tooltip;§Y[Root.GetBestName]§! secludes [Root.GetHerselfHimself] with [Root.GetHerHis] courtiers\n;[Root.Get_only_Le_Title]§Y[Root.GetBestName]§! est en réclusion avec ses courtisans\n;§Y[Root.GetBestName]§! geht gemeinsam mit Höflingen in Klausur.\n;;§Y[Root.GetBestName]§! se recluye con sus cortesanos\n;;;;;;;;;x
stop_pillaging_custom_tooltip;Has not decided to Stop Pillaging the holding;N'a pas décidé d'arrêter le pillage de la propriété;Hat sich nicht dazu entschlossen, die Plünderung der Liegenschaft einzustellen;;Ha decidido no Detener el saqueo del asentamiento;;;;;;;;;x
summon_defensive_unit;You summon a band of devout warriors.\n;Vous faites appel à une bande de fervents guerriers.\n;Ihr ruft eine Gruppe ergebener Krieger herbei.\n;;Llamas a una banda de guerrero devotos.;;;;;;;;;x
upgrade_hospital;[From.GetTitledName] has suggested that for a small donation to their holy coffers the hospital in [Root.Capital.GetName] could be expanded.;[From.Get_Le_TitledName] a laissé entendre que pour une petite donation à ses saints coffres l'hôpital à [Root.Capital.GetName] pourrait être agrandi.;[From.GetTitledName] hat angedeutet, dass das Hospital in [Root.Capital.GetName] gegen eine kleine Spende für die Kirche erweitert werden könnte.;;[From.GetTitledName] ha sugerido que, a cambio de una pequeña donación a sus santas arcas, se podría ampliar el hospital de [Root.Capital.GetName].;;;;;;;;;x
worship_cooldown_tooltip;Has not performed a sacrifice to the ancestors in the last 10 years.;N'a pas accompli de sacrifice aux ancêtres durant ces dix dernières années.;Hat den Ahnen in den letzten 10 Jahren keine Opfer dargebracht.;;No ha realizado un sacrificio a los antepasados en los últimos 10 años.;;;;;;;;;x
TOOLTIP_ALLOW_FEMALE_COMMANDERS;Allows female commanders\n;Permet les commandants femmes\n;Duldet weibliche Befehlshaber\n;;Permite mujeres comandantes.\n;;;;;;;;;x
TOOLTIP_DISALLOW_FEMALE_COMMANDERS;Disallows female commanders\n;Ne permet pas les commandants femmes\n;Duldet keine weiblichen Befehlshaber\n;;No permite mujeres comandantes.\n;;;;;;;;;x
tooltip_obj_see_the_realm_prosper;Has ruled the realm in peace for §Y5 years§!;A gouverné le pays dans la paix pendant §Y5 ans§!;Hat den Frieden im Reich §Y5 Jahre§! lang gewahrt;;Gobernó en paz durante §Y5 años§!;;;;;;;;;x
TOOLTIP_ze_administration_laws_0;Disallows additional succession laws\nVassals may refuse liege interference in wars\n;Empêche les lois de succession supplémentaires.\nLes vassaux pourraient refuser que leur seigneur lige n'interfère dans leurs guerres.\n;Verbietet zusätzliche Erbfolgerechte\nVasallen können eine Einmischung des Lehnsherrn in Kriege ablehnen\n;;No permite leyes de sucesión adicionales\nVasallos pueden rechazar interferencia del señor en guerras\n;;;;;;;;;x
TOOLTIP_ze_administration_laws_1;Allows additional succession laws\nVassals who refuse liege interference in wars are seen as traitors\n;Autorise les lois de succession supplémentaires.\nLes vassaux qui refusent que leur seigneur lige interfère dans leurs guerres sont vus comme des traîtres.\n;Erlaubt zusätzliche Erbfolgerechte\nVasallen, die eine Einmischung des Lehnsherrn in Kriege ablehnen, gelten als Verräter\n;;Permite leyes de sucesión adicionales\nVasallos que rechacen la injerencia del señor en guerras son vistos como traidores\n;;;;;;;;;x
