#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8603;Castle of Beit Dejan;Château de Bayt Dajan;Burg Beit Dejan;;Castillo de Beit Dejan;;;;;;;;;x
EVTDESC8607;The Knights Templar have erected the castle of Belfort in [Root.GetName].;Les Templiers ont érigé le château de Belfort à [Root.GetName].;Die Tempelritter haben in [Root.GetName] die Burg Belfort gebaut.;;Los Caballeros Templarios han erigido el castillo de Belfort en [Root.GetName].;;;;;;;;;x
EVTDESC8608;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Belfort.;Les Templiers ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Belfort.;Die Tempelritter haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Belfort bekannt sein.;;Los Caballeros Templarios han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como Belfort.;;;;;;;;;x
EVTDESC8610;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Acre seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté d'Acre semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Akkon scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Acre parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8611;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Acre.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Templiers sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté d'Acre.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Tempelritter möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Akkon eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros Templarios te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Acre.;;;;;;;;;x
EVTDESC8612;The Knights Templar have erected the castle of Athlith in [Root.GetName].;Les Templiers ont érigé le château de Safad à [Root.GetName].;Die Tempelritter haben in [Root.GetName] die Burg Athlith gebaut.;;Los Caballeros Templarios han erigido el castillo de Safad en [Root.GetName].;;;;;;;;;x
EVTDESC8613;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Athlith.;Les Templiers ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom d'Athlith.;Die Tempelritter haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Athlith bekannt sein.;;Los Caballeros Templarios han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como Athlith.;;;;;;;;;x
EVTDESC8615;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tiberias seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté de Tibériade semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Tiberias scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Tiberias parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8616;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tiberias.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Templiers sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté de Tibériade.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Tempelritter möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Tiberias eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros Templarios te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Tiberias.;;;;;;;;;x
EVTDESC8617;The Knights Templar have erected the castle of La Feve in [Root.GetName].;Les Templiers ont érigé le château de La Fève à [Root.GetName].;Die Tempelritter haben in [Root.GetName] die Burg La Feve gebaut.;;Los Caballeros Templarios han erigido el castillo de La Feve en [Root.GetName].;;;;;;;;;x
EVTDESC8618;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as La Feve.;Les Templiers ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de La Fève.;Die Tempelritter haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen La Feve bekannt sein.;;Los Caballeros Templarios han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como la Feve.;;;;;;;;;x
