#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BAPTISM_LOG;A conversion to the [Root.Religion.GetName] demands the adoption of a new name as a proof that I have thoroughly forsaken the old, heathen traditions of my ancestors.;Une conversion à la religion [Root.Religion.GetName] exige l'adoption d'un nouveau nom comme preuve que j'ai complètement abandonné les traditions païennes de mes ancêtres.;Eine Konvertierung zum [Root.Religion.GetName]en Glauben erfordert die Annahme eines neuen Namens als Beweis, dass ich die alten, heidnischen Traditionen vollständig aufgegeben habe.;;Una conversión al [Root.Religion.GetName] exige que adopte un nuevo nombre como prueba de que he abandonado totalmente las antiguas tradiciones paganas de mis antepasados.;;;;;;;;x
BAPTISM_SETUP;Baptism;Baptême;Taufe;;Bautismo;;;;;;;;x
BARBER_TOOLTIP_DELAYED;By going to the Barber you can change the hair and/or beard style of your character.;En allant chez le barbier, vous pouvez changer la coiffure et la barbe de votre personnage.;Mit dem Barbier könnt Ihr den Haar- und/oder Bartstil Eures Charakters ändern.;;Puedes cambiar el estilo de pelo y/o barba de tu personaje yendo al barbero.;;;;;;;;;x
BENEFICIARY_I_GUESS;Your Beneficiary;Votre bénéficiaire;Euer Begünstigter;;Tu beneficiario;;;;;;;;x
BLOOD_OF;Blood of;Sang de;Blut von;;Sangre de;;;;;;;;;x
BLOODLINE_ACTIVE;§GBloodline Active§!;§GLignée active§!;§GBlutlinie aktiv§!;;§GLinaje activo§!;;;;;;;;;x
BLOODLINE_ACTIVE_DELAYED;The Bloodline is active in this character, providing its effects.;La lignée est active pour ce personnage et a donc des effets.;Diese Blutlinie ist bei diesem Charakter aktiv, wodurch die Effekte wirksam sind.;;El linaje está activo en este personaje, proporcionando sus efectos;;;;;;;;;x
BLOODLINE_FOUNDED;§LBloodline Founded on §!$DATE|Y$;§LLignée fondée le §!$DATE|Y$;§LBlutlinie wurde am§! $DATE|Y$ §Lerschaffen§!;;Linaje fundado el $DATE|Y$.;;;;;;;;;x
BLOODLINE_FOUNDED_BY;Bloodline Founded by $OWNER$.;Lignée fondée par $OWNER$.;Blutlinie wurde von $OWNER$ erschaffen.;;Linaje fundado por $OWNER$.;;;;;;;;;x
BLOODLINE_INACTIVE;§RBloodline Inactive§!;§RLignée inactive§!;§RBlutlinie inaktiv§!;;§GLinaje inactivo§!;;;;;;;;;x
BLOODLINE_INACTIVE_DELAYED;The Bloodline is NOT active in this character, providing no effect. They can still pass it on to their descendants.;La lignée n'est pas active pour ce personnage, il n'y a donc pas d'effets. Il peut cependant la transmettre à ses descendants.;Diese Blutlinie ist bei diesem Charakter nicht aktiv und gibt daher keine Effekte. Sie können es weiterhin an ihre Nachkommen weitervererben.;;El linaje NO está activo en este personaje y no proporciona efectos. Se puede seguir pasando a los descendientes.;;;;;;;;;x
BLOODLINE_MATRILINEAL_INHERITANCE;§YMatrilineal Inheritance§!;§YHéritage matrilinéaire§!;§YMatrilineare Erbfolge§!;;§YHerencia materna§!;;;;;;;;;x
BLOODLINE_MATRILINEAL_INHERITANCE_DELAYED;This Bloodline is passed on through the female line. This means that only female characters can pass the bloodline on to their offspring.;Seules les femmes peuvent transmettre la lignée à leur descendance.;Diese Blutlinie wird von der weiblichen Linie weitervererbt. Dies bedeutet, dass nur weibliche Charaktere die Blutlinie an ihre Nachkommen weitergeben können.;;Este linaje se trasmite por la rama femenina. Lo que significa que solo las mujeres podrán trasmitir el linaje a su descendencia.;;;;;;;;;x
BLOODLINE_MATRILINEAL_INVERSION;§YMatrilineal Transfer§!;§YTransfert matrilinéaire§!;§YMatrilineare Übertragung§!;;§YTransferencia matrilineal§!;;;;;;;;;x
BLOODLINE_MATRILINEAL_INVERSION_DELAYED;In addition to normal Bloodline inheritance, if two characters are in a Matrilineal Marriage, their children will inherit Patrilineal Bloodlines from their mother and Matrilineal Bloodlines from their father.\nIf a child has no known father and their mother has a Patrilineal Bloodline, the child will inherit it.;En plus de l'héritage normal de la lignée, si deux personnages sont dans un mariage matrilinéaire, leurs enfants hériteront des lignées patrilinéaires de leur mère et des lignées matrilinéaires de leur père.\nSi un enfant n'a pas de père connu et que sa mère a une lignée patrilinéaire, il en héritera.;Zusätzlich zur normalen Blutlinienvererbung erben bei einer Matrilinearen Ehe die Kinder einer Patrilinearen Blutlinie von ihrer Mutter und die einer Matrilinearen Blutlinie von ihrem Vater.\nWenn ein Kind keinen bekannten Vater hat und ihre Mutter eine patrilineare Blutlinie, wird das Kind diese erben.;;Además de la herencia normal del linaje, si dos personajes están en un matrimonio matrilineal, sus hijos heredarán el linaje patrilineal de la madre y el matrilineal del padre.\nSi un niño no tiene padre conocido y su madre tiene un linaje patrilineal, el niño lo heredará.;;;;;;;;;x
BLOODLINE_NO_BASTARDS_INHERITANCE;§YBastards Cannot Inherit§!;§YLes bâtards ne peuvent pas hériter§!;§YBastarde können nicht erben§!;;§YBastardos no heredan§!;;;;;;;;;x
BLOODLINE_NO_BASTARDS_INHERITANCE_DELAYED;This Bloodline will never be passed on to bastard children.;Cette lignée ne sera jamais transmise aux bâtards.;Diese Blutlinie wird niemals an Bastarde weitervererbt.;;Este linaje nunca podrá pasar a hijos bastardos.;;;;;;;;;x
BLOODLINE_PATRILINEAL_INHERITANCE;§YPatrilineal Inheritance§!;§YHéritage patrilinéaire§!;§YPatrilineare Erbfolge§!;;§YHerencia paterna§!;;;;;;;;;x
BLOODLINE_PATRILINEAL_INHERITANCE_DELAYED;This Bloodline is passed on through the male line. This means that only male characters can pass the bloodline on to their offspring.;Seuls les hommes peuvent transmettre la lignée à leur descendance.;Diese Blutlinie wird von der männlichen Linie weitervererbt. Dies bedeutet, dass nur männliche Charaktere die Blutlinie an ihre Nachkommen weitergeben können.;;Este linaje se trasmite por la rama masculina. Lo que significa que solo los hombres podrán trasmitir el linaje a su descendencia.;;;;;;;;;x
BLOODLINE_SHOW_DESCENDANTS;§GClick to Show Descendants§!;§GCliquer pour afficher les descendants§!;§GKlicken, um Nachkommen zu zeigen§!;;§GClic para mostrar descendientes§!;;;;;;;;;x
BLOODLINES_BUTTON_TOOLTIP_DELAYED;Show a list of any Bloodlines this character is perceived to be a part of. Bloodlines are founded by characters of fame or legend and are passed on through their descendants.;Affiche une liste des lignées auxquelles ce personnage appartient. Elles sont fondées par des personnages de renommée ou de légendes, et sont transmises par les descendants.;Zeigt eine Liste aller Blutlinien an, denen dieser Charakter angehört. Blutlinien werden von Charakteren mit viel Ruhm oder Legende gegründet und an ihre Nachkommen weitergegeben.;;Muestra todos los linajes a los que se cree que pertenece este personaje. Personajes famosos o legendarios crean los linajes y se transmiten entre sus descendientes.;;;;;;;;;x
BLOODLINES_HEADER;§LBloodlines§!;§LLignées§!;§LBlutlinien§!;;§LLinajes§!;;;;;;;;;x
BLOODLINES_INTERFACE_LABEL;§YBloodlines§!;§YLignée§!;§YBlutlinien§!;;§YLinajes§!;;;;;;;;;x
BUILD_PRESTIGE_OR_PIETY_TRADE_POST_DESC;Trade Posts can be built for §Y$COST$§! along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);Les familles patriciennes vivant dans une république marchande peuvent établir des comptoirs au coût de §Y$COST$§!, et ce, même en territoire ennemi. Cependant, tout dirigeant local peut aussi établir des comptoirs dans ses propres comtés si une route commerciale les traverse. (Consultez la carte en mode §YZones marchandes§!.);Ein Handelsposten kann für §Y$COST$§! von den Patrizierfamilien einer Handelsrepublik überall an der Küste gebaut werden, sogar auf fremden Territorium. Lokalen Herrschern können allerdings ebenfalls in ihren Grafschaften Handelsposten errichten, vorausgesetzt, die Handelsroute führt durch die entsprechende Provinz (vgl. Kartenmodus §YHandelszonen§!).;;Las familias patricias de las repúblicas mercantes pueden construir puestos comerciales a lo largo de la costa por §Y$COST$§! incluso en territorio extranjero. Sin embargo, cualquier gobernante local podrá construir puestos comerciales en sus condados si una ruta comercial pasa por ellos. (Ver mapa de §Yzonas comerciales§!.);;;;;;;;;x
BUILD_TRADE_POST_DESC;Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);Les familles patriciennes vivant dans une république marchande peuvent établir des comptoirs au coût de §Y$COST$§!¤, et ce, même en territoire ennemi. Cependant, tout dirigeant local peut aussi établir des comptoirs dans ses propres comtés si une route commerciale les traverse. (Consultez la carte en mode §YZones marchandes§!.);Ein Handelsposten kann für §Y$COST$§!¤ von den Patrizierfamilien einer Handelsrepublik überall an der Küste gebaut werden, sogar auf fremden Territorium. Lokalen Herrschern können allerdings ebenfalls in ihren Grafschaften Handelsposten errichten, vorausgesetzt, die Handelsroute führt durch die entsprechende Provinz (vgl. Kartenmodus §YHandelszonen§!).;;Las familias patricias de las repúblicas mercantes pueden construir puestos comerciales a lo largo de la costa por §Y$COST$§!¤ incluso en territorio extranjero. Sin embargo, cualquier gobernante local podrá construir puestos comerciales en sus condados si por ellos pasa una ruta comercial. (Ver mapa de §Yzonas comerciales§!.);;;;;;;;;x
CANCEL_CRUSADE_EFFECT;The Crusade will be canceled;La croisade sera annulée;Der Kreuzzug wird abgesagt;;Se cancelará la cruzada;;;;;;;;;x
CANNOT_REFORM_DESC;§YUnable to Reform§!:;§YNe peut pas réformer§!:;§YReform nicht möglich§!:;;§Yincapaz de reformar§!:;;;;;;;;;x
CANNOT_REFORM_TWICE;§RReligion has already been reformed§!;§RLa religion a déjà été réformée§!;§RReligion wurde bereits reformiert§!;;§RLa religión ya ha sido reformada§!;;;;;;;;;x
CHANGE_CRUSADE_POT_EFFECT;The Crusade War Chest for $TYPE|Y$ changes by $AMOUNT|+0$;Les coffres de guerre de type '$TYPE|Y$' de la croisade change de $AMOUNT|+0$;Die $TYPE|Y$-Kriegskasse des Kreuzzugs ändert sich um $AMOUNT|+0$;;El cofre de guerra de $TYPE|Y$ de la cruzada cambia en $AMOUNT|+0$;;;;;;;;;x
CHAR_EXCOM_LOG;$REL_HEAD|Y$ has excommunicated $VICTIM|Y$[GetExcomAtBehest]!;$REL_HEAD|Y$ a excommunié $VICTIM|Y$[GetExcomAtBehest]!;$REL_HEAD|Y$ hat $VICTIM|Y$[GetExcomAtBehest] exkommuniziert!;;$REL_HEAD|Y$ ha excomulgado a $VICTIM|Y$[GetExcomAtBehest]!;;;;;;;;;x
CHARACTERS_OF_BLOODLINE;Living Members of Bloodline;Membres vivants de la lignée;Lebende Mitglieder der Blutlinie;;Miembros vivos del linaje;;;;;;;;;x
CHARVIEW_BUTTON_RENAME;§YRename Character§!;§YRebaptiser le personnage§!;§YCharakter umbenennen§!;;§YRenombrar personaje§!;;;;;;;;x
CHARVIEW_BUTTON_RENAME_DELAYED;Change the name of this character to whatever you desire.\nFor as long as they are located within your subrealm, underage kinsmen can be renamed at any point before they reach the age of 11.;Changer le nom de ce personnage.\nVous pouvez changer les noms de parents résidant dans votre pays avant qu'ils aient 11 ans.;Ändert den Namen dieses Charakters zu dem, was auch immer Ihr wünscht.\nSolange sie Teil Eures Reiches sind, können minderjährige Verwandte zu jedem Zeitpunkt umbenannt werden, bevor sie das Alter von 11 Jahren erreichen.;;Cambia el nombre del este personaje por lo que desees.\nMientras estén situados en tu subdominio, los parientes menores de edad pueden ser renombrados en cualquier momento hasta que cumplan 11 años.;;;;;;;;x
CHARVIEW_COMBAT_RATING;§YPersonal Combat Skill§!;§YCompétence de combat personnelle§!;§YPersönliche Kampffertigkeit§!;;§YDestreza de Combate Personal§!;;;;;;;;;x
CHARVIEW_MODIFIERS;§YModifiers§!;§YModificateurs§!;Modifikatoren;;Modificadores;;;;;;;;;x
CHARVIEW_SUZERAIN;Suzerain;Suzerain;Suzerän;;Soberano;;;;;;;;;x
CHARVIEW_TRAITS;§YTraits§!;§YTraits§!;Eigenschaften;;Rasgos;;;;;;;;;x
CHERNOBAN;Chernoban;Chernoban;Chernoban;;Chernoban;;;;;;;;x
CHILDRENS_CRUSADE_TEMPORARY;the Children's Crusade;Croisade des enfants;der Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
CLAIMS_TOOLTIP_DELAYED;These are the titles which this character has a claim on. Claims can either be Strong or Weak, where Weak Claims can only be pressed under certain circumstances. You can press Claims through War or Factions.;Ce sont les titres sur lesquels ce personnage une revendication. Les revendications peuvent être fortes ou faibles, ces dernières ne pouvant être appuyées que dans certaines circonstances. Vous pouvez appuyer une revendication via la guerre ou une faction.;Dies sind die Titel, auf die dieser Charakter einen Anspruch erhebt. Ansprüche können entweder stark oder schwach sein, wobei schwache Ansprüche nur unter bestimmten Umständen geltende gemacht werden können. Ihr könnt Ansprüche durch Krieg oder Fraktionen geltend machen.;;Estos son los títulos sobre los que este personaje tiene derechos. Los derechos pueden ser fuertes o débiles, y los débiles solo se pueden ser reclamar bajo ciertas circunstancias. Puedes reclamar derechos mediante guerras o facciones.;;;;;;;;;x
CLEAR_BANISH_REASONS_EFFECT;No longer has a reason to banish $WHO|Y$;N'a plus de raison de bannir $WHO|Y$;Hat nicht länger einen Grund $WHO|Y$ zu verbannen;;Ya no tiene motivo para desterrar a $WHO|Y$;;;;;;;;;x
CLEAR_EXECUTE_REASONS_EFFECT;No longer has a reason to execute $WHO|Y$;N'a plus de raison d'exécuter $WHO|Y$;Hat nicht länger einen Grund $WHO|Y$ hinzurichten;;Ya no tiene motivo para ejecutar a $WHO|Y$;;;;;;;;;x
CLEAR_INTERMARRY_EFFECT;Religion's intermarriage policy cleared;Politique de mariage interreligieux retirée;Religionspolitik der Mischehe gelöscht;;Despejada la política de matrimonios mixtos de la religión;;;;;;;;;x
CLEAR_PRISON_REASONS_EFFECT;No longer has a reason to imprison $WHO|Y$;N'a plus de raison d'emprisonner $WHO|Y$;Hat nicht länger einen Grund $WHO|Y$ einzusperren;;Ya no tiene motivo para tener en la cárcel a $WHO|Y$;;;;;;;;;x
CLEAR_REVOKE_REASONS_EFFECT;No longer has a reason to revoke titles from $WHO|Y$;N'a plus de raison de révoquer de titres à $WHO|Y$;Hat nicht länger einen Grund $WHO|Y$ Titel zu entziehen;;Ya no tiene motivo para revocar títulos de $WHO|Y$.;;;;;;;;;x
combat_rating_tooltip_info;This option is available due to your high §YCombat Rating§!;Cette option est disponible, car votre §Ycompétence de combat personnelle§! est assez élevée !;Diese Option ist aufgrund Eurer hohen §YKampfwertung§! verfügbar;;Esta opción está disponible por tener una §Ypuntuación de combate§! alta;;;;;;;;;x
completely_control_near_east_TT;Completely controls the region of the §YNear East§!;Contrôle entièrement la région du §YProche-Orient§!;Kontrolliert den gesamten §YNahen Osten§!;;Controla totalmente la región de §YOriente Próximo§!;;;;;x
CONCUBINAGE_MALE;Consort relationship;Concubinage;Konkubinator-Beziehung;;Concubinato;;;;;;;;;x
CONCUBINAGE_MALE_DESC;This is a Consort relationship. Children of consorts, though of slightly lower social status, inherit normally and will be of the mother's Dynasty;C'est du concubinage. Les enfants de concubins, bien que d'un statut social plus bas, héritent toutefois normalement et feront partie de la dynastie de la mère.;Dies ist eine Konkubinator-Beziehung. Kinder von Konkubinatoren, wenn auch von niederem sozialen Status, erben normalerweise und werden von der Dynastie der Mutter sein.;;Es un concubinato. Los hijos de los concubinos, aunque con un estatus social ligeramente menor, normalmente heredarán y pertenecerán a la dinastía de la madre.;;;;;;;;;x
CONDITIONS_HEADER;§YConditions:§!;§YConditions:§!;§YBedingungen:§!;;§YCondiciones:§!;;;;;;;;;x
CONNECTED_PROVINCE_STARTS;Any Connected Province;N'importe quelle province reliée;Beliebige verbundene Provinz;;Cualquier provincia conectada;;;;;;;;;x
CONSORT_DESC_FEMALE;$FIRST_CHAR|Y$ is $SECOND_CHAR|Y$'s concubine and not truly married. However, any children she bears him will be considered legitimate.;$FIRST_CHAR|Y$ est la concubine de $SECOND_CHAR|Y$ et ainsi ils ne sont pas vraiment mariés. Cependant, tout enfant qu'elle porte de lui sera considéré comme légitime.;$FIRST_CHAR|Y$ ist die Konkubine von $SECOND_CHAR|Y$ und nicht in einer Ehe mit diesem. Alle Kinder, die sie für ihn austrägt, werden dennoch als legitim angesehen.;;$FIRST_CHAR|Y$ es la concubina de $SECOND_CHAR|Y$ y no está realmente casada. Sin embargo, todos los hijos que le dé serán considerados legítimos.;;;;;;;;;x
CONSORT_DESC_MALE;$FIRST_CHAR|Y$ is $SECOND_CHAR|Y$'s consort and not truly married. However, any children he's responsible for will be considered legitimate.;$FIRST_CHAR|Y$ est le concubin de $SECOND_CHAR|Y$ et ainsi ils ne sont pas vraiment mariés. Cependant, tout enfant qu'elle porte de lui sera considéré comme légitime.;$FIRST_CHAR|Y$ ist der Konkubinator von $SECOND_CHAR|Y$ und nicht in einer Ehe mit dieser. Alle Kinder, für die er verantwortlich ist, werden dennoch als legitim angesehen.;;$FIRST_CHAR|Y$ es el concubino de $SECOND_CHAR|Y$ y no está realmente casado. Sin embargo, todos los hijos de los que sea responsable serán considerados legítimos.;;;;;;;;;x
CORONATION_CURRENT_EFFECT;§YCurrent effects:§!;§YEffets actuels:§!;§YMomentane Auswirkung:§!;;§YEfectos actuales:§!;;;;;;;;;x
COST_DAYS_PIETY;$AMOUNT|Y$ Piety\nBuildtime: $TIME|Y$ Days;$AMOUNT|Y$ Piété\nTemps de construction: $TIME|Y$;$AMOUNT|Y$ Pietät\nBauzeit: $TIME|Y$ Tage;;$AMOUNT|Y$ Tiempo de creación\npiedad: $TIME|Y$ días;;;;;;;;;x
CREATE_BLOODLINE_EFFECT;Becomes known as the founder of a §YBloodline§!, giving the following effects: \n$EFFECT$\n;Devient connu en tant que fondateur d'une §Ylignée§!, lui accordant les effets suivants: \n$EFFECT$\n;Wird als Begründer der §YBlutlinie§! bekannt, was folgende Auswirkung hat: \n$EFFECT$\n;;Es conocido como fundador del §Ylinaje§!, dando los efectos siguientes: \n$EFFECT$\n;;;;;;;;;x
CRUSADE_BENEFICIARY_DELAYED_TOOLTIP;This is the character you have chosen as your beneficiary. A beneficiary might be made into a ruler in the Crusader Kingdom, should the war be successful. Having a beneficiary in a Crusader Kingdom will convey a piety bonus to your entire dynasty.;C'est le personnage que vous avez choisi comme bénéficiaire. Il pourrait devenir un dirigeant dans le royaume croisé, dans le cas où la guerre serait gagnée. En avoir un dans un royaume croisé octroiera un bonus de piété à votre dynastie.;Dies ist der Charakter, den Ihr als Begünstigter gewählt habt. Ein Begünstigter kann im resultierenden Königreich des Kreuzzugs zum Herrscher gemacht werden, sollte der Krieg erfolgreich sein. Ein Begünstigter in einem solchen Königreich wird Eurer gesamten Dynastie ein gewisses Maß an Pietät einbringen.;;Este es el personaje que has elegido como beneficiario. Este puede ser hecho gobernante del reino cruzado si la guerra tiene éxito. Tener un beneficiario e en un reino cruzado puede darle una bonificación de piedad a toda tu dinastía.;;;;;;;;x
CRUSADE_BENEFICIARY_TOOLTIP;§YYour Beneficiary§!;§YVotre bénéficiaire§!;§YEuer Begünstigter§!;;§YTu beneficiario§!;;;;;;;;x
CRUSADE_CANCELLED_REASON;\nThe Crusade was canceled;\nLa croisade a été annulée;\nDer Kreuzzug wurde abgesagt;;\nSe ha cancelado la cruzada;;;;;;;;;x
CRUSADE_CHANGE_TARGET;Change;Changer;Wechseln;;Cambiar;;;;;;;;x
CRUSADE_CHOOSE_BENEFICIARY;Choose;Choisir;Wählen;;Seleccionar;;;;;;;;x
CRUSADE_CONTRIBUTE_TO_POT;§YContribute to the War Chest§!;§YContribuer à remplir les coffres de guerre§!;§YZur Kriegskasse beitragen§!;;§Contribuye al cofre de guerra§!;;;;;;;;;x
CRUSADE_CONTRIBUTORS_ATTACKER;§YCrusader war contributions:§!;§YContribution des croisés:§!;§YKriegsbeitrag Kreuzritter:§!;;§YContribuciones a la cruzada:§!;;;;;;;;;x
CRUSADE_CONTRIBUTORS_DEFENDER;§YDefender war contributions:§!;§YContribution des défenseurs:§!;§YKriegsbeitrag Verteidiger:§!;;§YContribuciones a la defensa:§!;;;;;;;;;x
CRUSADE_DEFENDERS_HEADER;Defenders;Défenseurs;Verteidiger;;Defensores;;;;;;;;;x
CRUSADE_DEFENDERS_STRENGTH;§LTotal Strength:§! $PERC|Y%0$;§LPuissance totale :§! $PERC|Y%0$;§LGesamtstärke:§! $PERC|Y%0$;;§LFuerza total:§! $PERC|Y%0$;;;;;;;;;x
CRUSADE_DEFENSE_STRENGTH_TRIGGER;Strength of the defenders is $COMPARISON|Y$ $VALUE|Y%$ of the Crusaders;La puissance des défenseurs est $COMPARISON|Y$ $VALUE|Y%$ à celle des croisés;Stärke der Verteidiger ist $COMPARISON|Y$ $VALUE|Y%$ der Stärke der Kreuzritter;;Fuerza de los defensores es $VALUE|Y%$ $COMPARISON|Y$ de los cruzados;;;;;;;;;x
