EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_CM_4309;A new order of Muslim warriors has been founded, claiming descent from the old Haruri traditions and swearing to protect Islam and combat infidels and polytheists of all kinds. It was a Haruri who killed the Caliph Ali with a poisoned sword since they saw him as corrupting Islam, and this new group now vows to show the same courage and detemination in fighting any enemies of the true faith. They call themselves simply 'The Haruriyyah'.;Un nouvel ordre de guerriers musulmans est fondé. Ils disent descendre des anciennes traditions haruri et ont juré de protéger l'islam et de combattre les infidèles et les polythéistes de toutes sortes. C'est un haruri qui a tué le calife Ali avec une épée empoisonnée car il le considérait comme un corrupteur de l'islam. Ce nouveau groupe a fait serment de montrer le même courage et la même détermination dans sa lutte contre contre les ennemis de la vraie foi. Ils se font appeler les Haruriyyah.;Ein neuer Orden muslimischer Krieger wurde gegründet, der sich auf alte Haruri-Traditionen beruft und schwört, den Islam zu schützen sowie Ungläubige und Götzenanbeter aller Art zu bekämpfen. Ein Haruri war es, der Kalif Ali mit einer vergifteten Klinge ermordete, als sie dachten, er beschädige das Ansehen des Islam. Diese neue Gruppe schwört nun, so mutig und entschlossen wie ihre Vorläufer die Feinde des wahren Glaubens zu bekämpfen. Ihr Name ist schlicht "Haruriyyah".;;Se ha fundado una nueva orden de guerreros musulmanes, se proclaman descendientes de las antiguas tradiciones Haruri, y juran proteger el Islam y combatir infieles y politeístas de toda clase. Fue un haruri quien mató al Califa Alí con una espada envenenada, puesto que a su entender corrompía el Islam. Este nuevo grupo ahora promete mostrar el mismo coraje y determinación en la lucha contra todo enemigo de la verdadera fe. Se autodenominan simplemente "Los Haruriyyah".;;;;;;;;;x
EVTDESC_CM_4311;Most righteous [Root.GetTitledFirstName], of course we, the Haruriyyah, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\n[target_grandmaster.GetTitledName];Très vertueux [Root.GetTitledFirstName], les Haruriyyah peuvent bien évidemment vous prêter 300 or. La chose que nous demandons en contrepartie est votre aide future lorsque certains besoins se feront sentir. As-salâm 'aleïkoum,\n\n[target_grandmaster.GetTitledName];Euer Hochwohlgeboren, natürlich können wir, die Haruriyyah, Euch 300 Gold leihen. Als Gegenleistung erbitten wir lediglich Eure künftige Unterstützung in gewissen Angelegenheiten, die sich ergeben könnten. Salaam alaikum\n\n[target_grandmaster.GetFirstName];;El más recto [Root.GetTitledFirstName], desde luego que nosotros, los Haruriyyah, podemos prestarle 300 oros. Todo lo que le pedimos a cambio es vuestro futuro apoyo en ciertas cuestiones que pueden surgir. Salaam alaykum,\n\n[target_grandmaster.GetTitledName];;;;;;;;;x
EVTDESC_CM_4323;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Peace be with you,\n\n[target_grandmaster.GetTitledName];Noble [Root.GetTitledFirstName], l'Ordre a besoin de davantage de châteaux afin d'entraîner des troupes et de générer le revenu nécessaire à son fonctionnement. Je suis prêt à annuler votre dette si vous me permettez d'édifier un château en [target_province.GetName]. Que la paix soit avec vous,\n\n[target_grandmaster.GetTitledName];Euer Hochwohlgeboren, der Orden braucht weitere Burgen zur Ausbildung von Truppen und zum Erwirtschaften von Einnahmen. Ich bin bereit, Euch Eure Schulden zu erlassen, wenn Ihr uns gestattet, in [target_province.GetName] eine Burg zu errichten. Friede sei mit Euch!\n\n[target_grandmaster.GetFirstName];;Gran [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar a los reclutas y generar ganancias en [target_province.GetName]. Estoy dispuesto a saldar vuestra deuda con nosotros simplemente permitiéndonos construir un castillo en [target_province.GetName]. La paz esté contigo,\n\n[target_grandmaster.GetTitledName];;;;;;;;;x
EVTDESC_CM_4331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à joindre les Haruriyyah pour combattre les infifèles ! Ceci le déshéritera pour toujours mais il ne pourra jamais déshonorer la dynastie par sa décadence.;Mein [GetFromRelation] [From.GetTitledFirstName] hat darum gebeten, sich den Haruriyyah anschließen zu dürfen, um die Ungläubigen zu bekämpfen! Dadurch wird er für immer von der Erbfolge ausgeschlossen und er kann der Dynastie durch seine Dekadenz keine Schande bereiten.;;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;x
EVTDESC_CM_4303;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [demanded_child.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\n[From.GetTitledName];La paix soit avec vous, très magnifique [Root.GetTitledFirstName]. Comme vous le savez peut-être, notre ordre a besoin de chefs et, considérant votre dette envers nous, j'aimerais présenter l'opportunité à votre noble et talentueux fils [demanded_child.GetFirstName] de servir dans nos rangs. Naturellement, cette décision le déshériterait. Qu'Allah vous garde.\n\n[From.GetTitledName];Friede sei mit Euch, Eure Erhabenheit. Wie Ihr vielleicht wisst, benötigt unser Orden Anführer und angesichts der Schulden, die Ihr bei uns habt, möchte ich darum bitten, dass Euer tapferer und edler Sohn [demanded_child.GetFirstName] in unseren Reihen diene. Natürlich würde ihn das von der Erbfolge ausschließen. Allah sei mit Euch!\n\n[From.GetFirstName];;Que la paz esté contigo, el más magnífico [Root.GetTitledFirstName]. Como seguramente sabes, nuestra orden necesita líderes y, considerando la deuda contraída con nosotros, me gustaría solicitar que tu hábil y noble hijo [demanded_child.GetFirstName] sirva en nuestras filas. Naturalmente, esto lo desheredaría. Que Alá esté contigo,\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_CM_4309;I am sure we can make use of them.;On peut certainement leur trouver une utilité.;Mit Sicherheit können sie nützlich sein.;;Estoy seguro de que podemos usarlos;;;;;;;;;x
EVTOPTB_CM_4309;Poisoned swords? Hmm...;Des épées empoisonnées ? Hmm...;Vergiftete Klingen? Hmm ...;;¿Espadas envenenadas? Mmm...    ;;;;;;;;;x
EVTTOOLTIP_CM_4003;[This.GetTitledFirstName] becomes a Knight of the Sun.;[This.Get_Le_TitledFirstName] devient un Chevalier du Soleil.;[This.GetTitledFirstName] wird ein Ritter der Sonne.;;[This.GetTitledFirstName] se convierte en un Caballero del Sol.;;;;;;;;;x
EVTTOOLTIP_CM_4332;[This.GetTitledFirstName] becomes a member of the Haruriyyah Order;[This.Get_Le_TitledFirstName] devient membre de l'ordre Haruriyyah;[This.GetTitledFirstName] tritt dem Haruriyyah-Orden bei;;[This.GetTitledFirstName] se convierte en miembro de la orden haruriyyah.;;;;;;;;;x

EVTDESC_SOA_1003;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble son [demanded_child.GetFirstName] to serve in our ranks. Naturally, this would disinherit him. Sincerely Yours in Christ,\n\nGrand Master [demanding_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], j'ai une humble requête à vous soumettre, qui a trait à votre dette envers l'Ordre.\n\nComme vous le savez, notre lutte contre les infidèles ne connaît aucun répit et nous avons grand besoin de chevaliers. Nous présentons donc l'opportunité à votre fils [demanded_child.GetFirstName] de servir dans nos rangs afin de rembourser votre emprunt.\nNotez cependant que cet engagement le déshériterait.;Erhabener [Root.GetTitledFirstName], angesichts der Tatsache, dass Ihr uns Geld schuldet, habe ich einen bescheidenen Wunsch an Euch. Die Abwehr gegen die Ungläubigen beschäftigt uns ständig und wir brauchen dringend Ritter als Anführer unserer Männer. Daher bitte ich um den Beitritt Eures tapferen und edlen Sohns. Gelobt sei Jesus Christus!\n\nGroßmeister [demanding_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], tengo una humilde petición que hacerle a la luz de la deuda que mantiene con nosotros. Nuestra defensa contra los infieles no cesa y necesitamos urgentemente caballeros para dirigir a nuestros hombres. Por lo tanto, me gustaría ofrecer esta oportunidad a su noble y fuerte hijo [demanded_child.GetFirstName] para que se aliste en nuestras filas. Como bien sabe, esta acción le desheredará. Sinceramente suyo en Cristo,\n\nGran Maestre [demanding_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1011;Most virtuous [Root.GetTitledFirstName], of course we, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];Humble [Root.GetTitledFirstName], l'Ordre du Temple peut bien évidemment vous prêter 300 d'or. Cependant, nous vous demanderons en contrepartie votre aide si certains besoins se faisaient sentir.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], selbstverständlich können wir, die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, Euch 300 Gold leihen. Das einzige, was wir als Gegenleistung erwarten, ist Eure künftige Unterstützung im Falle, dass es derer bedarf. Der Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi virtuoso [Root.GetTitledFirstName], por supuesto que nosotros, los Pobres Caballeros de Cristo y del Templo de Salomón, podemos prestarle 300 oros. Todo lo que pedimos a cambio es su futura asistencia en determinados asuntos que puedan surgir. Pax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1016;My liege, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon stand ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];M[Root.GetOnA][Root.GetLordLady], les Pauvres Chevaliers du Christ et du Temple de Salomon sont prêts à servir à vos côtés pour défendre la chrétienté en Terre sainte !\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Mein Lehnsherr, die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem stehen bereit, Euch bei der Verteidigung des Christentums und des Heiligen Landes zu dienen! Der Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi señor, ¡los Pobres Caballeros de Cristo y del Templo de Salomón están dispuestos a servirle en defensa de la Cristiandad y la Tierra Santa! Pax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1023;My dear [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitledFirstName], l'Ordre a besoin de davantage de commanderies afin d'entraîner des troupes et assurer son financement. Nous sommes prêt à annuler votre dette si vous nous permettez de bâtir un château en [target_province.GetName].\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Mein lieber [Root.GetTitledFirstName], der Orden benötigt weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich bin bereit, Euch Eure Schulden zu erlassen, wenn Ihr uns gestattet, in [target_province.GetName] eine Burg zu errichten. Der Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi querido [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Estoy dispuesto a cancelar su deuda con nosotros si nos permite construir un castillo en [target_province.GetName]. Pax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1024;The Knights Templar have constructed a castle in [Root.GetName]!;L'Ordre du Temple a érigé un château en [Root.GetName] !;Die Tempelritter haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros Templarios han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Templar in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les preux chevaliers de l'Ordre du Temple dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich dem Orden der Tempelritter in ihrem Kampf gegen die Ungläubigen anschließen, auch wenn er dadurch auf alle Zeiten enterbt wird.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Caballeros Templarios en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1053;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouvelles commanderies afin d'entraîner des troupes ainsi que pour générer les revenus nécessaires à son fonctionnement. Or, un de nos sergents nous a signalé que vous possédiez un emplacement approprié sur vos terres de [target_province.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], der Orden braucht weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt - nämlich in [target_province.GetName]. Ich will Euch 100 Gold zahlen für das Recht, dort eine Festung zu errichten.\nDer Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\nPax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1054;The Knights Templar have constructed a castle in [Root.GetName]!;Les Templiers ont érigé un château en [Root.GetName] !;Die Tempelritter haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros Templarios han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1061;Your majesty, this antagonism is completely unwarranted! The Order serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [target_grandmaster.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Notre Ordre sert le Christ, et votre acte tend à montrer que vous ne servez que votre propre personne, aux dépends même de votre foi !\n\nEntre colère et tristesse,\nGrand Maître [target_grandmaster.GetFirstName];Eure Majestät, diese Ablehnung ist völlig ungerechtfertigt! Unser Orden dient dem Herrn, doch man muss sich fragen, tut Ihr das auch?\n\nIn Zorn und Trauer,\n\nGroßmeister [target_grandmaster.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! La Orden sirve a Cristo, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1116;My liege, the Order of Saint John - the Knights Hospitaller - stands ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];M[Root.GetOnA][Root.GetLordLady], l'Ordre de Saint-Jean de Jérusalem est prêt à servir à vos côtés pour défendre la chrétienté en Terre sainte !\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Mein Lehnsherr, der Ritterorden St. Johannis vom Spital zu Jerusalem - die Johanniter - stehen bereit, Ihnen bei der der Verteidigung der Christenheit und des Heiligen Landes zu dienen! Der Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Mi señor, ¡la Orden de San Juan —los Caballeros Hospitalarios— está dispuesta a servirle en defensa de la Cristiandad y de la Tierra Santa! Pax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Hospitaller in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les pieux chevaliers de l'Ordre de l'Hospital dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich dem Orden der Johanniter in ihrem Kampf gegen die Ungläubigen anschließen, auch wenn er dadurch auf alle Zeiten enterbt wird.;;Mi [GetFromRelation], [From.GetTitledFirstName] ha solicitado unirse a los Caballeros Hospitalarios en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1141;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPax Christi,\n\nGrand Master [target_grandmaster.GetFirstName];[Root.PrimaryTitle.GetFOA], ce don des plus généreux ne sera pas oublié.\nRecevez notre reconnaissance ainsi que celle de l'Église et vivez avec l'assurance que vous en obtiendrez récompense au paradis, si ce n'est en ce bas monde !\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird unvergessen bleiben! Ihr habt meine Freundschaft, wie auch die der Kirche! Seid versichert, dass Ihr im Himmel belohnt werdet, wenn nicht schon auf Erden!\nDer Friede des Herrn sei mit Euch!\n\nGroßmeister [target_grandmaster.GetFirstName];;Su Alteza, esta donación tan generosa no caerá en el olvido. Tiene mi amistad, así como la de la Iglesia. Tenga por seguro que será recompensado en el cielo, ¡si no en la Tierra!\nPax Christi,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
