#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
SUB_MESSAGES_HEADER;Offers and Gifts;Offres et cadeaux;Angebote und Geschenke;;Ofertas y regalos;;;;;;;;;
DLC_ATTENTION_SCREEN_TEXT;As you may know, Crusader Kings II features a wide variety of DLC. Have you already tried them all?\n\nThis is a fan favourite:\n\n$LEADER_TEXT$;Comme vous le savez peut-être, Crusader Kings II propose une grande variété de DLC. Les avez-vous déjà tous essayés ?\n\nVoici l'un des préférés des fans :\n\n$LEADER_TEXT$;Wie Ihr vielleicht wisst, gibt es für Crusader Kings II eine Vielzahl an DLC. Habt Ihr sie schon alle ausprobiert?\n\nDiese sind bei den Fans besonders beliebt:\n\n$LEADER_TEXT$;;Como ya sabrás, Crusader Kings II presenta una gran variedad de expansiones. ¿Las has probado todas?\n\nEsta le encanta a los aficionados:\n\n$LEADER_TEXT$;;;;;;;;;
DLC_ATTENTION_SCREEN_DISMISS;Close;Fermer;Schließen;;Cerrar;;;;;;;;;
SUGGESTED_CHARACTER_194004;Sigurd Ring of Svíþjóð, 769 - Form the Kingdom of Sweden and offer vassalage to all the independent Norse counts and dukes! A fantastic start for a Viking empire.;Sigurd Hring de Svíþjóð, 769 - Formez le Royaume de Suède et proposez la vassalité à tous les comtes et ducs nordiques indépendants ! Un début idéal pour un empire viking.;Sigurd Ring von Svíþjóð, 769 - Gründet das Königreich Schweden und unterbreitet allen unabhängigen nordischen Grafen und Herzögen das Angebot, Euer Vasall zu werden! Ein fantastischer Start für ein Wikingerreich.;;Sigurd Ring de Svíþjóð, 769 - ¡Forma el Reino de Suecia y ofrece vasallaje a todos los condes y duques nórdicos independientes! Un inicio fantástico para un imperio vikingo.;;;;;;;;;
SUGGESTED_CHARACTER_70012;Aurelio of Asturias, 769 - Play as the Spanish Visigoths and take back Spain in an Early Middle-Age scene!;Aurelio des Asturies, 769 - Incarnez les Wisigoths espagnols et reprenez l'Espagne durant le Haut Moyen Âge !;Aurelio von Asturien, 769 - Spielt als spanische Westgoten und erobert Spanien im frühen Mittelalter zurück!;;Aurelio de Asturias, 769 - ¡Juega como los visigodos y recupera España en la Alta Edad Media!;;;;;;;;;
SUGGESTED_CHARACTER_194074;Bezprzym Wilks of Pruthenia, 769 (Holy Fury) - Start as a Baltic barbarian power and raid your way through higher titles. Subjugate Lithuania, swear fealty to Charlemagne and convert to Catholic-Feudal. Prussia is yours to take!;Bezprzym Wilks des Pruthéniens, 769 (Holy Fury) - Commencez en tant que puissance barbare balte et faites des raids pour obtenir des titres plus élevés. Assujettissez la Lituanie, jurez fidélité à Charlemagne et convertissez-vous à la religion catholique et adoptez le féodalisme. La Prusse est à vous !;Bezprzym Wilks von Pruthenien, 769 (Holy Fury) - Beginnt als baltische Barbarenmacht und bahnt Euch Euren Weg zu einem höheren Titel. Unterwerft Litauen, schwört Karl dem Großen die Treue und konvertiert zum katholischen Feudalsystem. Preußen gehört Euch!;;Bezprzym Wilks de Prutenia, 769 (Holy Fury) - Comienza como un bárbaro báltico y ábrete camino hacia títulos superiores mediante incursiones. Subyuga Lituania, jura lealtad a Carlomagno y conviértete en católico-feudal. ¡Prusia es tuya!;;;;;;;;;
SUGGESTED_CHARACTER_6392;Charlemagne, 769 - Enjoy an iconic character, descendant of Charles Martel. Conquer Saxony, Lombardy and other Germanic lands to eventually become the Holy Roman Emperor!;Charlemagne, 769 - Incarnez un personnage emblématique, descendant de Charles Martel. Conquérez la Saxe, la Lombardie et d'autres terres germaniques et devenez finalement l'empereur du Saint-Empire romain !;Karl der Große, 769 - Spielt eine Ikone der Zeit und den Nachfahren von Karl Martell. Erobert Sachsen, die Lombardei und andere germanische Länder, um schließlich Kaiser des Heiligen Römischen Reiches zu werden!;;Carlomagno, 769 - Disfruta de un personaje histórico, descendiente de Carlos Martel. ¡Conquista Sajonia, Lombardía y otras tierras germánicas hasta convertirte en emperador del Sacro Imperio!;;;;;;;;;
SUGGESTED_CHARACTER_159123;Krum of Bulgaria, 769 - Don't back down, and bring the reigns of many Byzantine Emperors to an end!;Kroum de Bulgarie, 769 - Ne reculez pas et mettez fin aux règnes de nombreux empereurs byzantins !;Krum von Bulgarien, 769 - Gebt nicht klein bei und beendet die Herrschaft vieler byzantinischer Kaiser!;;Krum de Bulgaria, 769 - ¡No te eches atrás, y pon fin al reinado de muchos emperadores bizantinos!;;;;;;;;;
SUGGESTED_CHARACTER_73679;Abd-al-Rahman I, 769 - After he fled Syria because of the Abbasis, Abd-al-Rahman returned east and took his revenge. Set your mark on the history of Spain and establish the rule of his dynasty for centuries to come.;Abd-al-Rahman I, 769 - Après avoir fui la Syrie à cause des Abbassides, Abd-al-Rahman est retourné à l'est et a pris sa revanche. Laissez votre empreinte dans l'Histoire de l'Espagne et assurez le règne de sa dynastie pour les siècles à venir.;Abd-al-Rahman I, 769 - Nachdem er wegen der Abbasiden aus Syrien geflohen war, kehrte Abd-al-Rahman zurück und nahm Rache. Verewigt Euch in den Geschichtsbüchern Spaniens und etabliert die Herrschaft Euer Dynastie für die kommenden Jahrhunderte.;;Abderramán I, 769 - Tras huir de Siria por los abasíes, Abderramán marchó al este y se vengó. Deja huella en la historia de España y funda el gobierno de tu dinastía para los siglos venideros.;;;;;;;;;
SUGGESTED_CHARACTER_6878;Haesteinn, 867 - Play as a true Viking adventurer and establish yourself as a great ruler in foreign lands!;Haesteinn, 867 - Incarnez un véritable aventurier viking et devenez un grand dirigeant sur des terres étrangères !;Hastein, 867 - Spielt als echter Wikinger, geht auf Abenteuerfahrt und etabliert Eure Herrschaft in fremden Ländern!;;Haesteinn, 867 - ¡Juega como un auténtico aventurero vikingo y establécete como gran gobernante en tierras extranjeras!;;;;;;;;;
SUGGESTED_CHARACTER_159529;The Emirate of Crete, Hafsid 867 or 936 - An excellent backstory and a great stronghold for future conquests!;Émirat de Crète, les Hafsides en 867 ou 936 - Une excellente expérience et une grande forteresse pour de futures conquêtes !;Das Emirat von Kreta, Hafsiden 867 oder 936 - Die Hafsiden bieten eine hervorragende Hintergrundgeschichte, und ihre Lage ist ideal für Eroberungen geeignet!;;El emirato de Creta, Hafsid 867 o 936 - ¡Un trasfondo histórico excelente y una gran fortaleza para futuras conquistas!;;;;;;;;;
SUGGESTED_CHARACTER_112600;Otto von Nordheim of Bavaria, 1066 - Lead many battles for your people! May your Legacy live long.;Otto von Nordheim de Bavière, 1066 - Menez de nombreuses batailles pour votre peuple ! Que votre héritage perdure.;Otto von Northeim, Herzog von Bayern, 1066 - Führt im Namen Eures Volkes viele Schlachten! Möge Euer Vermächtnis lange Bestand haben.;;Otto von Nordheim de Bavaria, 1066 - ¡Dirige muchas batallas por tu pueblo! Larga vida a tu legado.;;;;;;;;;
SUGGESTED_CHARACTER_205730;Eleanor of Aquitaine, 1066 (1138 custom) - Play as the Countess of Bordeaux and become one of the most powerful women of the Middle-Age!;Aliénor d'Aquitaine, 1066 (1138 personnalisé) - Incarnez la comtesse de Bordeaux et devenez l'une des femmes les plus puissantes du Moyen-Âge !;Eleonore von Aquitanien, 1066 (1138 benutzerdefiniert) - Spielt als Gräfin von Bordeaux und werdet zu einer der mächtigsten Frauen im Mittelalter!;;Leonor de Aquitania, 1066 (1138 tradicionalmente) - ¡Juega como la condesa de Burdeos y conviértete en una de las mujeres más poderosas de la Edad Media!;;;;;;;;;
SUGGESTED_CHARACTER_7757;Matilda of Tuscany, 1066 - Can you make Matilda the mother of an independent Italy, or will the Italian culture be obliterated by the Germans once and for all?;Mathilde de Toscane, 1066 - Pouvez-vous faire de Mathilde la mère d'une Italie indépendante, ou la culture italienne sera-t-elle anéantie par les Allemands ?;Mathilde von Toskana, 1066 - Könnt Ihr Mathilde zur Mutter eines unabhängigen Italiens machen oder wird die italienische Kultur von den Deutschen ausgelöscht werden?;;Matilde de Toscana, 1066 - ¿Harás de Matilde la madre de una Italia independiente o los alemanes borrarán del mapa la cultura italiana de una vez por todas?;;;;;;;;;
