#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

SET_TITLE_HOLDER_GAIN_EFFECT;$CHAR|Y$ gains the $TITLE|Y$\n;$CHAR|Y$ acquiert : $TITLE|Y$\n;$CHAR|Y$ erhält den Titel $TITLE|Y$\n;;$CHAR|Y$ logra el $TITLE|Y$\n;;;;;;;;;x
SET_TITLE_HOLDER_GRANT_EFFECT;$CHAR|Y$ is granted the $TITLE|Y$\n;$CHAR|Y$ obtient le titre suivant : $TITLE|Y$\n;$CHAR|Y$ bekommt den Titel $TITLE|Y$ gewährt\n;;A $CHAR|Y$ se le concede el $TITLE|Y$\n;;;;;;;;;x
SET_TITLE_HOLDER_INHERIT_EFFECT;$CHAR|Y$ inherits the $TITLE|Y$\n;$CHAR|Y$ hérite du titre suivant $TITLE|Y$\n;$CHAR|Y$ erbt den Titel $TITLE|Y$\n;;$CHAR|Y$ hereda el $TITLE|Y$\n;;;;;;;;;x

START_WAR_EFFECT;$ATTACKER|Y$ declares war on $DEFENDER|Y$\n;$ATTACKER|Y$ déclare la guerre à $DEFENDER|Y$\n;$ATTACKER|Y$ erklärt $DEFENDER|Y$ den Krieg\n;;$ATTACKER|Y$ declara la guerra contra $DEFENDER|Y$\n;;;;;;;;;x

STEWARDSHIPEFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Stewardship\n;$WHO|Y$ $DIRECTION$ $VALUE$ de compétence en intendance\n;$WHO|Y$ $DIRECTION$ $VALUE$ Verwaltung\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Administración\n;;;;;;;;;x

TREASURY_EFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ gold\n;$WHO|Y$ $DIRECTION$ $VALUE$ en or\n;$WHO|Y$ $DIRECTION$ $VALUE$ Gold\n;$WHO|Y$ $DIRECTION$ $VALUE$ dukatów\n;Una $DIRECTION$ de $VALUE$ de oro\n;Oro: $DIRECTION$ $VALUE$\n;$DIRECTION$ $VALUE$ dukát\n;;;;;;;x

COUNCIL_SUCCESSION_VOTE_OFF;Disables council voting on succession\n;Désactive le vote du Conseil sur la succession\n;Deaktiviert Ratsabstimmung über Erbfolge\n;;Desactiva que el consejo vote sobre la sucesión\n;;;;;;;;;x
COUNCIL_SUCCESSION_VOTE_ON;Enables council voting on succession\n;Active le vote du Conseil sur la succession\n;Aktiviert Ratsabstimmung über Erbfolge\n;;Permite el consejo que vota sobre la sucesión\n;;;;;;;;;x

SET_FACTION_JOIN_RESTRICTION_OFF;Vassals can now join factions against their liege\n;Les vassaux peuvent maintenant rejoindre une faction s'opposant à leur seigneur\n;Vasallen können einer Fraktion gegen den Lehnsherr nun beitreten.\n;;Vasallos ya pueden unirse a facciones contra su señor \n;;;;;;;;;x
