#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

adopt_republicanism;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gründen;;Fundar una República Mercante;;;;;;;;;x
CANNOT_PLAY_CHARLEMANGE_BOOKMARK_WITHOUT_DLC;Charlemagne DLC Required;Contenu téléchargeable 'Charlemagne' requis;DLC "Charlemagne" benötigt;;Se necesita la extensión DLC Carlomagno;;;;;;;;;x
CANNOT_PLAY_TOG_BOOKMARK_WITHOUT_DLC;The Old Gods DLC Required;Contenu téléchargeable 'Les Anciens Dieux - The Old Gods' requis;DLC "The Old Gods DLC" benötigt;;Se necesita la expansión DLC Dioses Antiguos;;;;;;;;;x
cb_decadence_usurption_desc;Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.;Les musulmans peuvent utiliser ce casus belli pour usurper des titres aux membres décadents de leur dynastie.;Muslime können diesen Kriegsgrund verwenden, um Titel einer dekadenten Dynastie zu übernehmen.;;Los musulmanes pueden usar este Casus Belli para usurpar títulos de sus miembros dinásticos decadentes.;;;;;;;;;x
CB_NAME_DECADENCE_USURPTION;Decadence Usurption;Usurpation par décadence;Dekadenz-Usurpation;;Usurpación de Decadencia;;;;;;;;;x
CHRONICLE_CRUSADE_LOST_NO_HEAD;The [From.Religion.GetCrusadeName] ended as the [From.Religion.GetName] no longer have a Religious Head.;La [From.Religion.GetCrusadeName] s'achève car le [From.Religion.GetName] n'a plus de chef religieux.;[From.Religion.GetCrusadeName] ist zu Ende, da die [From.Religion.GetName]e Religion kein religiöses Oberhaupt mehr hat.;;[From.Religion.GetCrusadeName] terminó porque el [From.Religion.GetName] se quedó sin Líder Religioso.;;;;;;;;;x
CHRONICLE_FILL0010;People in [Root.GetName] claimed to have seen two suns at the same time.;Des gens à [Root.GetName] disent avoir vu deux soleils en même temps.;Leute in [Root.GetName] behaupteten, zwei Sonnen gleichzeitig gesehen zu haben.;;Gente de [Root.GetName] clama haber visto dos soles al mismo tiempo;;;;;;;;;x
CHRONICLE_FILL0011;A goat with three heads was born in [Root.GetName].;Une chèvre à trois têtes est née en [Root.GetName].;Eine dreiköpfige Ziege wurde in [Root.GetName] geboren.;;Ha nacido una cabra de tres cabezas en [Root.GetName].;;;;;;;;;x
CHRONICLE_FILL0012;Tens of thousands of crows birds invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.;Des dizaines de milliers de corbeaux ont envahi [Root.GetName] juste avant les récoltes, ce qui ravagea les champs.;Zehntausende von Krähen fielen unmittelbar vor der Ernte in [Root.GetName] ein und richteten großen Schaden auf den Feldern der Bauern an.;;Decenas de millares de cuervos invadieron [Root.GetName] justo antes de la cosecha, lo que causó un gran daño a los campos de los granjeros.;;;;;;;;;x
CHRONICLE_FILL0013;An uncommonly great number of children were born this year in [Root.GetName].;Un nombre étonnamment élevé d'enfants sont nés cette année en [Root.GetName].;In [Root.GetName] wurden dieses Jahr ungewöhnlich viele Kinder geboren.;;Un gran -y poco común- número de niños, ha nacido este año en [Root.GetName].;;;;;;;;;x
CHRONICLE_FILL0014;In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].;En [Root.GetName], le peuple célèbre le règne du bienveillant [From.GetTitledFirstName].;In [Root.GetName] feierte das Volk die wohltätige und gütige Herrschaft von [From.GetTitledFirstName].;;En [Root.GetName], la gente celebra el benévolo gobierno de [From.GetTitledFirstName].;;;;;;;;;x
CHRONICLE_FILL0015;A star fell from the sky in [Root.GetName], killing three cows.;Une étoile est tombée du ciel en [Root.GetName] et tua trois corbeaux.;In [Root.GetName] fiel ein Stern vom Himmel und tötete drei Kühe.;;Una estrella cayó del cielo en [Root.GetName], y mató tres vacas.;;;;;;;;;x
CHRONICLE_FILL0016;[Root.PrimaryTitle.GetName] saw an unusually bountiful harvest this year.;Les terres [Root.PrimaryTitle.Get_du_Realm] ont bénéficié d'une moisson exceptionnelle cette année.;[Root.PrimaryTitle.GetName] erlebte in diesem Jahr eine ungewöhnlich reiche Ernte.;; Este año [Root.PrimaryTitle.GetName] presenció una abundante cosecha fuera de lo común.;;;;;;;;;x
CHRONICLE_FOUNDED_NEW_KINGDOM_OR_EMPIRE;[Root.GetDynName] displayed [Root.GetHerHis] great power by founding the new [Root.PrimaryTitle.GetFullName].;[Root.GetDynName] a fait preuve de sa grande puissance en fondant [Root.PrimaryTitle.Get_le_RealmFull].;[Root.GetDynName] zeigte [Root.GetHerHis]e große Macht durch die Gründung des neuen Titels [Root.PrimaryTitle.GetFullName].;;[Root.GetDynName] muestra [Root.GetHerHis] gran poder al fundar el nuevo [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR;[Prev.GetTitledName] supported [From.GetTitledName] in war against [From.GetHerHis] enemies.;[Prev.Get_Le_TitledName] a soutenu [From.Get_le_TitledName] dans la guerre contre ses ennemis.;[Prev.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis]e Feinde.;;[Prev.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [From.GetHerHis] enemigos;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledName] supported [Prev.GetTitledName] in war against [Prev.GetHerHis] enemies.;[From.Get_Le_TitledName] a soutenu [Prev.Get_le_TitledName] dans la guerre contre ses ennemis.;[From.GetTitledName] unterstützte [Prev.GetTitledName] im Krieg gegen [Prev.GetHerHis]e Feinde.;; [From.GetTitledName] apoyó a [Prev.GetTitledName] en la guerra contra [Prev.GetHerHis] enemigos.;;;;;;;;;x
CHRONICLE_LOST_BATTLE_BUT_DIDNT_FIGHT;The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was defeated in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].;L'armée [Root.TopLiege.Get_du_TitledName], menée par [Root.Get_le_TitledName], a perdu la bataille de [Root.Location.GetName] contre les armées [From.TopLiege.PrimaryTitle.Get_du_Realm].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] den Truppen von [From.TopLiege.PrimaryTitle.GetName].;;L'armèe de [Root.TopLiege.GetTitledName], menèe par [Root.GetTitledName], a perdu la bataille de [Root.Location.GetName] contre les armèes de [From.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
CHRONICLE_LOST_BATTLE_FOUGHT;[Root.GetTitledName] lost the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].;[Root.Get_Le_TitledName] a perdu la bataille de [Root.Location.GetName] contre l'armée [From.TopLiege.PrimaryTitle.Get_du_Realm], menée par [From.Get_le_TitledName].;[Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] dem Heer von [From.TopLiege.PrimaryTitle.GetName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledName] a perdu la bataille de [Root.Location.GetName] contre l'armèe de [From.TopLiege.PrimaryTitle.GetName], menèe par [From.GetTitledName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_LANDLESS;On [GetDateText], [From.GetFirstName] lost [From.GetHerHis] titles, and it was decided to pass on the dynasty chronicles to [Root.GetTitledName].;Le [GetDateText], [From.GetFirstName] a perdu ses titres. Il a été décidé de confier la dynastie [Root.Get_au_TitledName].;Am [GetDateText] verlor [From.GetFirstName] [From.GetHerHis]e Titel und es wurde beschlossen, die Chroniken der Dynastie an [Root.GetTitledName] zu übergeben.;;En [GetDateText], [From.GetFirstName] perdió [From.GetHerHis] títulos, y se decidió pasar las crónicas de la dinastía a [Root.GetTitledName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] succeeded to the throne of the [From.PrimaryTitle.GetTier] as [Root.GetTitledFirstName].;[From.Get_Le_TitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetOnA] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName], lui succéda sur le trône de [From.PrimaryTitle.GetTier] en tant qu[Root.Get_e_TitledFirstName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron als [Root.GetTitledFirstName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] subió al trono de [From.PrimaryTitle.GetTier] como [Root.GetTitledFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetSubjectPronounCap] was succeeded to the throne of the [From.PrimaryTitle.GetTier] by [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], a committed [Root.Religion.GetName] [Root.Religion.GetGroupName].;[From.Get_Le_TitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetOnA] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName] et de religion [Root.Religion.GetName], lui succéda sur le trône de [From.PrimaryTitle.GetTier].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. Nachfolger auf dem Thron wird [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], ein überzeugter [Root.Religion.GetName] [Root.Religion.GetGroupName].;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetSubjectPronounCap] fue sucedido en el trono de [From.PrimaryTitle.GetTier] por [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], un [Root.Religion.GetGroupName] [Root.Religion.GetName] comprometido.;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;On [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;[From.Get_Le_TitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetOnA] [GetFromReverseRelation] [Root.GetFirstName], de religion [Root.Religion.GetName], lui succéda.;Am [GetDateText], [From.GetTitledName] [From.GetDeathReason]. Nachfolger wird [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;El [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] fue heredado por [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NORMAL;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], succeeded to the throne of the [From.PrimaryTitle.GetTier] with a grand ceremony in [Root.Capital.Capital.GetName].;[From.Get_Le_TitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetOnA] [GetFromReverseRelation] [Root.GetFirstName] lui succéda sur le trône de [From.PrimaryTitle.GetTier] et une grande cérémonie fut organisée à [Root.Capital.Capital.GetName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron nach feierlicher Zeremonie in [Root.Capital.Capital.GetName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], heredó el trono del [From.PrimaryTitle.GetTier] con una gran ceremonia en [Root.Capital.Capital.GetName].;;;;;;;;;x
CHRONICLE_WON_BATTLE_BUT_DIDNT_FIGHT;The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was victorious in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].;L'armée [Root.TopLiege.Get_du_TitledName], menée par [Root.Get_le_TitledName], a remporté la bataille de [Root.Location.GetName] contre les armées [From.TopLiege.PrimaryTitle.Get_du_Realm].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen die Truppen von [From.TopLiege.PrimaryTitle.GetName].;;L'armèe de [Root.TopLiege.GetTitledName], menèe par [Root.GetTitledName], a gagnè la bataille de [Root.Location.GetName] contre les armèes de [From.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
CHRONICLE_WON_BATTLE_FOUGHT;[Root.GetTitledName] was victorious in the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].;[Root.Get_Le_TitledName] a remporté la bataille de [Root.Location.GetName] contre l'armée [From.TopLiege.PrimaryTitle.Get_du_Realm], menée par [From.Get_le_TitledName].;[Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen das Heer von [From.TopLiege.PrimaryTitle.GetName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledName] a gagnè la bataille de [Root.Location.GetName] contre l'armèe de [From.TopLiege.PrimaryTitle.GetName], menèe par [From.GetTitledName].;;;;;;;;;x
convert_to_parent_religion;Abandon Heresy;Abandonner l'hérésie;Ketzerei aufgeben;;Abandonar Herejía;;;;;;;;;x
convert_to_russian;Embrace Russian Culture;Adopter la culture russe;Nehmt die russische Kultur an;;Abrazar la cultura rusa;;;;;;;;;x
convert_to_russian_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;Plusieurs de nos sujets ont adopté de nouvelles traditions apportées par des étrangers, les intégrant aux coutumes locales. Peut-être devrions-nous faire de même...;Viele Untertanen übernehmen die Gebräuche und Traditionen der Fremden und vermischen sie mit der vorherrschenden Kultur. Vielleicht sollten wir dasselbe tun ...;;Muchos de nuestros súbditos están adoptando nuevas costumbres y tradiciones traídas por extranjeros y las integran con las costumbres locales. Quizá deberíamos hacer lo mismo...;;;;;;;;;x
DIVORCE_INTERACTION_1;The divorce will also cost you §R$COST$§! prestige.;Le divorce vous coûtera également §R$COST$§! en prestige.;Die Scheidung kostet Euch auch §R$COST$§! Prestige.;;Divorciarte de §Y[Actor.Spouse.GetFirstName]§! te costará §R$COST$§! prestigio.;;;;;;;;;x
donate_money_to_haruriyyah;Donate 300¤ to the Haruriyyah;Donner 300¤ aux Haruriyyah;Spendet den Haruriyyah 300¤;;Donar 300¤ a los Haruriyyah;;;;;;;;;x
donate_money_to_haruriyyah_desc;I can donate money to the Haruriyyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Haruriyyah en échange de [Player.Religion.GetPietyName] et du respect permanent du clergé.;Mit einer Geldspende an die Haruriyyah kann ich [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft erlangen.;;Puedo donar dinero a los Haruriyyah a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
donate_money_to_zun_warriors;Donate 300¤ to the Knights of the Sun;Donner 300¤ aux Chevaliers du Soleil;Spendet den Rittern der Sonne 300¤;;Donar 300¤ a los Caballeros del Sol;;;;;;;;;x
donate_money_to_zun_warriors_desc;I can donate money to the Knights of the Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Chevaliers du Soleil en échange de [Player.Religion.GetPietyName] et du respect permanent des prêtres.;Ich kann den Rittern der Sonne Geld spenden, um [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft zu erhalten.;;Puedo donar dinero a los Caballeros del Sol a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
DONT_HAVE_A_X;Have a §Y$X$§!;Possèdent un §Y$X$§!;§Y$X$§! haben;;Tener un §Y$X$§!;;;;;;;;;x
embargo_cb_desc;This Casus Belli allows you to destroy all of §Y$TARGET$§!'s Trade Posts in your entire Realm.;Ce casus belli vous permet de saccager tous les comptoirs de §Y$TARGET$§! présents dans votre pays.;Dieser Kriegsgrund erlaubt es Euch, alle Handelsposten von §Y$TARGET$§! in Eurem Gebiet zu zerstören.;;Este Casus Belli te permite destruir todos los Puestos Comerciales de §Y$TARGET$§! en todo tu Reino.;;;;;;;;;x
ERA_CHAR_INFO_3040;Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.;Alp Arslan, arrière-petit-ils de Seldjouk, naquit sous le nom de Muhammad bin Da'ud Chaghri, mais sa force, son talent au combat et sa valeur lui donnèrent rapidement ce titre honorifique qui signifie 'Lion héroïque'. Très tôt, il succéda à son père en tant que gouverneur du Khorassan. Après la crise de succession de 1064, il s'empara du titre de sultan par les armes et devint le souverain de l'immense Empire seldjouk. Il mena ensuite la guerre à l'Empire byzantin et les battit à plates coutures à la célèbre bataille de Manzikert, lors de laquelle il captura l'empereur. Cette victoire était la première étape de la domination turque en Anatolie et constitua l'un des principaux déclencheurs des croisades. Il mourut fidèle à sa réputation, à l'âge de 42 ans, en refusant que ses gardes viennent l'aider à combattre un prisonnier rebelle qui l'attaquait avec une dague.;Alp Arslan, Urenkel von Seldschuk, wurde als Muhammad bin Dawud Chaghri geboren, aber aufgrund seiner Stärke, Fähigkeit im Zweikampf und Mutes schon bald unter dem Ehrennamen "Heldenhafter Löwe" bekannt. Anfangs folgte er seinem Vater als Gouverneur von Khorasan, doch nach einer Erbfolgekrise im Jahre 1064 übernahm er mit Waffengewalt den Titel des Sultans und war fortan Herrscher des Seldschukenreiches. Danach führte er Krieg gegen Byzanz, das er in der berühmten Schlacht von Manzikert besiegte und den Kaiser gefangen nehmen konnte. Dieser Sieg war ein erster Schritt zur türkischen Vorherrschaft in Anatolien und gleichzeitig einer der Auslöser für Kreuzzüge. Sein Tod ereilte ihn, ganz im Sinne seines Namens, im Alter von 42, als ein gefangener Aufständischer ihn mit einem Dolch angriff und er die Hilfe seiner Wache ausschlug.;;Alp Arslan, bisnieto Selyúcida y nacido con el nombre de Muhammad bin Dawud Chaghri, pronto se ganó este honorable nombre que significa "León Heroico" por su fuerza, sus habilidades de combate y su valor. En etapas tempranas, sucedió a su padre como gobernador de Jorasán, y después de una crisis de sucesión en 1064, se hizo con el título de Sultán por la fuerza y se convirtió en el gobernante del inmenso Imperio Selyúcida. Luego entró en guerra con el Imperio Bizantino y lo derrotó por completo en la batalla de Malazgirt y haciendo prisionero al Emperador. Su victoria fue un primer paso hacia el dominio turco en Anatolia y fue uno de los principales desencadenantes de las cruzadas. Murió fiel a su nombre, a la edad de 42 años, rechazando la ayuda de sus guardas contra un prisionero rebelde que se dirigió a él con un puñal.;;;;;;;;;x
ERA_CHAR_INFO_3096;Born in Cairo, Al-Mustansir became Caliph when he was only 6 years old. During his early years, his mother Ma'd Abu Tamim acted as regent and saw to her son's safety. Once he became an adult, his reign was dominated by strong Viziers, and also plagued by chaos as famine weakened the realm and powerful groups of Turkish mercenaries dominated Egypt and struggled for power. Al-Mustansir never fully took the reins of power, but he was to become the longest-reigning Caliph in history.;Né au Caire, Al-Mustansir devint calife à l'âge de 6 ans. Durant les premières années de son règne, sa mère Ma'd Abu Tamim fut régente et veilla à la sécurité de son fils. Une fois adulte, son règne fut dominé par de puissants vizirs et miné par le chaos. La famine affaiblissait le royaume. Des troupes de mercenaires turcs sévissaient en Égypte et luttaient pour le pouvoir. Al-Mustansir n'eut jamais réellement le pouvoir, mais il allait devenir le calife au plus long règne de l'histoire.;Als der in Kairo geborene Al-Mustansir Kalif wurde, war er erst 6 Jahre alt. In jungen Jahren fungierte seine Mutter Ma'd Abu Tamim als Regentin und kümmerte sich um seine Sicherheit. Sobald er erwachsen war, wurde seine Herrschaft von starken Wesiren geprägt. Auch Hungersnöte und die Machtkämpfe mit mächtigen türkischen Söldnerbanden, die die Vorherrschaft in Ägypten übernommen hatten, belasteten seine Regierungszeit. Bis zuletzt konnte Al-Mustansir die Herrschaft nicht restlos übernehmen. Trotzdem wurde er zu einem der am längsten regierenden Kalifen aller Zeiten.;;Natural de El Cairo, Al-Mustansir se convirtió en Califa con sólo 6 años. Durante sus primeros años, su madre Ma'd Abu Tamim, ejerció la regencia y se encargó de la seguridad de su hijo. Cuando llegó a la edad adulta, su reino fue dominado por poderosos Visires y dominado por el caos. Mientras la hambruna debilitaba el reino, grupos de poderosos mercenarios turcos dominaron Egipto y lucharon por el poder. Al-Mustansir nunca tomó completamente las riendas del poder, pero llegó a ser el califa con el reinado más largo de la historia.;;;;;;;;;x
ERA_CHAR_INFO_74656;Singhana II was a powerful Indian ruler who greatly expanded his realm towards the north, south and east. As a great patron of science and the arts, he established a college of astronomy and founded the city of Singhanapur.;Singhana II était un puissant souverain indien qui étendit grandement son royaume vers le nord, le sud et l'est. Grand mécène des sciences et des arts, il fonda un collège d'astronomie ainsi que la cité de Singhanapur.;Singhana II. war ein mächtiger indischer Herrscher, der sein Reich beträchtlich nach Norden, Süden und Osten ausdehnte. Als großer Patron der Wissenschaft und der Künste förderte er die Astronomie und gründete die Stadt Singhanapur.;;Singhana II fue un poderoso gobernante indio que expandió enormemente su reino hacia el norte, el sur y el este. Como gran mecenas de la ciencia y las artes, estableció una universidad de astronomía y creó la ciudad de Singapur.;;;;;;;;;x
