#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;Compte tenu de la vie qu'il mène, je soupçonne un courtisan sans enfant de préférer les autres hommes !;Die Lebensweise eines kinderlosen Höflings lässt mich vermuten, dass er Männern zugeneigt ist!;;¡Sospecho que un cortesano que no tiene hijos se siente atraído por otros hombres!;;;;;;;;;x
EVTDESC69033;When [From.GetTitledFirstName] told me about my husband [From.GetFirstName]'s little affair with some unknown women I was furious! My rage had subsided a bit when I finally found my cheating husband, but as I saw him admiring the bosom of yet another clueless little strumpet the rage grew once again.;Quand [From.Get_le_TitledFirstName] m'a parlé des petites escapades amoureuses de mon mari, [From.GetFirstName], avec des inconnues, j'étais furieuse ! Ma colère a fini par s'apaiser un peu, jusqu'à ce que je trouve mon mari les yeux rivés sur la poitrine d'une idiote de plus. Ma rage a alors redoublé.;Als mir [From.GetTitledFirstName] vom Techtelmechtel meines Mannes [From.GetFirstName] mit einer unbekannten Frau berichtete, wurde ich rasend vor Wut! Ich hatte mich schon wieder etwas beruhigt, als ich schließlich meinen ehebrecherischen Schuft von Ehemann fand. Doch was tat er? Mit den Augen verschlang er die Brüste irgendeiner kleinen Metze. Mein Blut kochte wieder hoch ...;;¡Cuando [From.GetTitledFirstName] me habló de la aventura de mi esposo [From.GetFirstName] con una desconocida me enfurecí! Mi ira disminuyó un poco cuando encontré por fin a mi esposo infiel, pero cuando le vi mirando los pechos de otra puta despistada mi cólera volvió a aumentar.;;;;;;;;;x
EVTDESC69034;The fury in [From.GetTitledFirstName]'s eyes scared me nearly to death and when [From.GetSheHe] started screaming and cursing at me I wished I was dead.;La colère lue dans les yeux [From.Get_du_TitledFirstName] m'a fait terriblement peur et quand [From.GetIlElle] a commencé à crier et à me maudire, j'aurais voulu rentrer sous terre.;Die Raserei in [From.GetTitledFirstName]s Augen erschreckte mich fast zu Tode, und als [From.GetSheHe] zu schreien und fluchen begann, wünschte ich, ich wäre tot.;;La ira en los ojos de [From.GetTitledFirstName] me asustó mucho y cuando [From.GetSheHe] empezó a gritar y maldecirme deseé estar muerto.;;;;;;;;;x
EVTDESC69035;[From.GetTitledFirstName] forgave me for my little indiscretion but I could see how much it had hurt her. I promised and swore that I would never commit adultery again, ever again.;[From.Get_Le_TitledFirstName] a pardonné mon petit écart de conduite, mais j'ai vu à quel point cela l'avait blessée. J'ai promis de ne plus jamais la tromper.;[From.GetTitledFirstName] vergab mir meinen kleinen Fehltritt, doch ich erkannte, wie sehr ich sie verletzt hatte. Ich schwor, nie wieder Ehebruch zu begehen.;;[From.GetTitledFirstName] me perdonó mi indiscreción pero vi el daño que le había hecho. Le prometí y le juré que nunca volvería a engañarla.;;;;;;;;;x
EVTDESC69036;[From.GetTitledFirstName] was direct: if I did not pay [From.GetHerHim] to keep quiet, [From.GetTitledFirstName] would make sure everyone in the court would know about my little affair with one of the court ladies.;[From.Get_Le_TitledFirstName] a été direct[From.Get_E] : à défaut d'acheter son silence, [From.Get_le_TitledFirstName] révélera à la Cour ma petite aventure avec l'une des courtisanes.;[From.GetTitledFirstName] war direkt: Würde ich nicht für [From.GetHerHim] Schweigen bezahlen, erführe bald jedermann von [From.GetTitledFirstName] über meine kleine Affäre mit einer der Hofdamen.;;[From.GetTitledFirstName] fue directo: si no le pago para que guarde silencio, [From.GetTitledFirstName] le contará a todos mi aventura con una dama de la corte.;;;;;;;;;x
EVTDESC69038;I came home one evening and found that my wife [Root.Spouse.GetTitledFirstName] had told our children about my affair and now they all refuse to speak to me!;Un soir, en rentrant, j'ai découvert que mon épouse, [Root.Spouse.Get_le_TitledFirstName], avait révélé mon aventure à mes enfants et maintenant, ils refusent de me parler !;Als ich eines Abends nach Hause kam, fand ich heraus, dass meine Frau [Root.Spouse.GetTitledFirstName] unseren Kindern von meiner Affäre erzählt hatte. Nun weigerten sich alle, mit mir zu sprechen!;;¡Cuando volví a casa por la tarde me encontré con que mi esposa [Root.Spouse.GetTitledFirstName] le había contado mi aventura a nuestros hijos y ahora no quieren hablarme!;;;;;;;;;x
EVTDESC69039;The voices could be heard through the walls and I recognized them as belonging to my wife and my mistress. My wife [Root.Spouse.GetTitledFirstName] tried to make my mistress break up with me, but she refused so I decided to step in...;Des voix se faisaient entendre de l'autre côté des murs, celles de mon épouse et de ma maîtresse. Mon épouse, [Root.Spouse.Get_le_TitledFirstName], a tenté de contraindre ma maîtresse à rompre avec moi, mais elle a refusé et j'ai décidé d'intervenir...;Man konnte die Stimmen durch die Mauern hören. Ich erkannte sie als die meiner Frau und meiner Geliebten. Meine Frau, [Root.Spouse.GetTitledFirstName], versuchte, meine Geliebte dazu zu bringen, sich von mir zu trennen. Als sie sich weigerte, schritt ich ein ...;;Oí a mi esposa y mi amante discutiendo a gritos. Mi esposa [Root.Spouse.GetTitledFirstName] intentaba que mi amante rompiera conmigo, pero esta se negaba, así que decidí entrar...;;;;;;;;;x
EVTDESC69040;I knocked on the door and heard him swear when something was knocked to the floor and broke, by the sound of it. When he finally called 'Come in!' I opened the door and saw the messy room, filled with weird looking glasses, stuffed exotic animals and the man I was visiting in the middle of the mess with singed eyebrows.;J'ai frappé à la porte et je l'ai entendu jurer, puis quelque chose est tombé par terre avec fracas. Lorsqu'il a finalement dit 'Entrez ! ', j'ai ouvert la porte et vu le désordre qui régnait dans la pièce... Des verres étranges, des animaux exotiques empaillés et l'homme que je venais voir au milieu de tout ce désordre, les sourcilles en bataille.;Ich klopfte an die Tür und hörte ihn fluchen, als den Geräuschen nach etwas auf den Boden fiel und zerbarst. Als er endlich "Herein!" rief, öffnete ich die Tür zu einem chaotischen Raum voller seltsam anmutender Gläser und ausgestopfter Tiere. Der Mann stand mit versengten Augenbrauen inmitten dieses Chaos.;;Llamé a la puerta y le oí blasfemar cuando algo cayó al suelo rompiéndose. Cuando por fin dijo '¡entra!' Abrí la puerta y vi el cuarto desordenado, lleno de espejos extraños y animales exóticos, y al hombre al que visitaba en medio del desorden con las cejas chamuscadas.;;;;;;;;;x
EVTDESC69041;My latest experiment went a bit badly and I was trying to clean up the mess when someone knocked on the door. [From.GetTitledFirstName] entered and saw the mess I was standing in, with my singed eyebrows and the remains of my experiment spread all over the room. It didn't take long before [From.GetSheHe] accused me of dealing with the occult!;Ma dernière expérience ne s'est pas très bien passée et j'essayais de nettoyer tout ce désordre lorsque quelqu'un a frappé à la porte. [From.Get_Le_TitledFirstName] est entré[From.Get_E] et a constaté le désordre qui m'entourait, mes sourcils en bataille ainsi que les restes de mon expérience éparpillés partout. Très vite, [From.GetIlElle] m'a accusé[Root.Get_E] de m'adonner à des sciences occultes !;Mein letztes Experiment ging etwas daneben. Als ich das Durcheinander aufräumen wollte, klopfte jemand an die Tür. [From.GetTitledFirstName] trat ein und sah mich mit versengten Augenbrauen inmitten des Chaos stehen - die Reste meines Experiments waren über den gesamten Raum verteilt. Es dauerte nicht lange, ehe [From.GetSheHe] mich okkulter Machenschaften beschuldigte!;;Mi último experimento salió mal e intentaba limpiar el desorden cuando alguien llamó a la puerta. [From.GetTitledFirstName] entró y vio el desorden en el que estaba, con mis cejas chamuscadas y los restos del experimento esparcidos por todo el cuarto. ¡En seguida me acusó de tratar con lo oculto!;;;;;;;;;x
EVTDESC69042;I could hardly believe my ears when [From.GetTitledFirstName] tried to pressure me into giving [From.GetHerHim] money to keep quiet about my dealings with the occult!;J'ai bien failli tomber à la renverse quand [From.Get_le_TitledFirstName] a essayé de m'extorquer de l'argent pour ne pas révéler mon goût pour les sciences occultes !;Ich konnte kaum meinen Ohren trauen, als [From.GetTitledFirstName] versuchte, von mir für Verschwiegenheit über meine okkulten Machenschaften Geldzahlungen an [From.GetHerHim] zu erpressen!;;¡Apenas podía creer lo que oía cuando [From.GetTitledFirstName] intentó chantajearme para guardar silencio respecto a mis manejos con lo oculto!;;;;;;;;;x
EVTDESC69044;A child has gone missing and it seems as if everyone suspects me to have something to do with that. Apparently being a suspected occultist everyone believes I might use the entrails of children to read the future. Pah!;Un enfant a disparu et, visiblement, tout le monde pense que j'y suis pour quelque chose. Mon soi-disant goût pour les sciences occultes pousserait chacun à me croire capable d'utiliser les entrailles des enfants pour lire l'avenir. Pah !;Ein Kind ist verschwunden, und anscheinend macht jedermann mich dafür verantwortlich. Als vermeintlichem Okkultisten wird mir wohl zugetraut, die Innereien von Kindern zum Lesen der Zukunft zu verwenden. Pfui!;;Un niño ha desaparecido y todos sospechan que yo he tenido algo que ver. Parece que al ser un supuesto ocultista creen que podría usar sus vísceras para leer el futuro. ¡Bah!;;;;;;;;;x
EVTDESC69045;The voice woke me up, whispering about spells to awaken the dead, curses to make your enemy go blind and potions to make anyone fall in love with you...;J'ai été réveillé[Root.Get_E] par une voix qui chuchotait à mon oreille des sorts pour réveiller les morts, des malédictions pour aveugler l'ennemi et des potions pour susciter l'amour...;Die Stimme weckte mich auf. Sie flüsterte etwas über Zauber zum Erwecken der Toten, Flüche zum Erblinden von Feinden und Tränke, die einen unwiderstehlich machen ...;;Me despertó una voz que me susurraba hechizos para despertar a los muertos, maldiciones para cegar a tus enemigos y pociones para enamorar a otra persona...;;;;;;;;;x
EVTDESC69046;My confessor talked sternly to me, clearly avoiding to bring up the occultist rumor but as I just nodded and accepted all he told me without admitting to anything, he lost his patience with me. He scolded me and told me to repent, to stop fiddling with the occult or else...;Mon confesseur m'a parlé sévèrement, évitant clairement d'évoquer cette rumeur à propos des sciences occultes, mais alors que j'acquiesçais à tout ce qu'il disait, il a perdu patience. Il m'a réprimandé[Root.Get_E], m'a demandé de me repentir et de ne plus m'adonner aux sciences occultes...;Mein Beichtvater sprach mit strenger Stimme und versuchte eindeutig, nicht auf die Gerüchte einzugehen, dass ich ein Okkultist sei. Als ich aber nickte und all seine Worte ohne jegliche Zugeständnisse akzeptierte, verlor er die Geduld mit mir: Er schimpfte mich und befahl mir, Buße zu tun und das Manipulieren mit dem Okkulten einzustellen. Sonst, so sagte er, würde es was setzen ...;;Mi confesor me habló con dureza evitando mencionar el rumor sobre el ocultismo, pero cuando me limité a asentir y aceptar lo que me decía sin admitirlo, perdió la paciencia. Me riñó y me dijo que me arrepintiese y dejase de tratar con lo oculto o lo que fuera...;;;;;;;;;x
EVTDESC69047;I had only managed to remember one of the many spells and invocations the voice had whispered to me in the dark. It was long and complicated with many different ingredients, not all easy to acquire...;Je n'ai retenu qu'un des nombreux sorts et invocations murmurés par la voix. Ils étaient longs et compliqués, avec des tas d'ingrédients différents pas faciles à trouver...;Ich hatte mir nur einen der vielen Zauber und Beschwörungen merken können, die mir die Stimme im Dunkeln zugeflüstert hatte. Ein langer und komplizierter Zauber mit vielen Zutaten, die nicht alle einfach zu beschaffen waren ...;;Solo logré recordar uno de los muchos hechizos e invocaciones que me susurró la voz. Era largo y complejo, con muchos ingredientes, y no todos fáciles de conseguir...;;;;;;;;;x
EVTDESC69050;The diplomatic skill of [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] is deplorable! No matter what task I give [Root.job_chancellor.GetHerHim] [Root.job_chancellor.GetSheHe] always manage to disappoint.;Les compétences diplomatiques [Root.job_chancellor.Get_only_du_JobTitle][Root.GetMyChancellorName] [Root.job_chancellor.GetFirstName] sont déplorables ! Quelle que soit la mission que je lui confie, je suis systématiquement déçu[Root.Get_E].;Die Diplomatiefähigkeit von [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] ist bedauernswert! Ungeachtet der [Root.job_chancellor.Getihmihr] zugeteilten Aufgabe schafft [Root.job_chancellor.GetSheHe] es immer wieder, mich zu enttäuschen.;;¡La capacidad diplomática del [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] es deplorable! Le encargue lo que le encargue, [Root.job_chancellor.GetSheHe] siempre se las arregla para decepcionarme.;;;;;;;;;x
EVTDESC69051;[From.GetTitledFirstName] claims my diplomatic skill is deplorable! No matter how hard I work, [From.GetTitledFirstName] is never satisfied and [From.GetHerHis] demands are preposterous!;[From.Get_Le_TitledFirstName] déplore mes piètres compétences diplomatiques ! Quoi que je fasse, [From.Get_le_TitledFirstName] n'en a jamais assez et ses exigences sont grotesques !;[From.GetTitledFirstName] behauptet, meine Diplomatiefähigkeit sei bedauernswert! Ganz gleich wie hart ich arbeite, [From.GetTitledFirstName] ist niemals zufrieden. [From.GetHerHisCap]e Forderungen sind absurd!;;¡[From.GetTitledFirstName] dice que mi capacidad diplomática es deplorable! ¡No importa lo que me esfuerce, [From.GetTitledFirstName] nunca está satisfecho y sus exigencias son ridículas!;;;;;;;;;x
