#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC80000;The peasant army ravaging the county of [Root.GetName] is burning down buildings!;L'armée de paysans qui ravage le comté de [Root.GetName] incendie les édifices !;Die Bauernarmee, die gerade die Provinz [Root.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [Root.GetName] está quemando edificios!;;;;;;;;;x
EVTDESC80058;Tired of their old ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;Lassés de leur vieux souverain, les paysans rebelles de [Root.GetName] ont fait défection et m'ont prêté allégeance !;Der Herrschaft ihres alten Lehnsherren müde geworden, haben die abtrünnigen Bauern in [Root.GetName] Eurer Majestät die Treue geschworen!;;¡Cansados de su antiguo líder, los campesinos rebeldes de [Root.GetName] han desertado y me juran lealtad!;;;;;;;;;x
EVTDESC80060;The people in [Root.GetName] will no longer let themselves be ruled by someone of another religion! The peasant rebels controlling the county have defected and sworn allegiance to another ruler!;La population de [From.GetName] ne veut plus être gouvernée par quelqu'un appartenant à une autre religion ! Les paysans rebelles contrôlant le comté ont fait défection et ont prêté allégeance à un autre souverain !;Die Menschen in [Root.GetName] möchten sich nicht länger der Herrschaft eines ‚ungläubigen‘ Fürsten beugen! Die aufständischen Bauern, welche die Provinz kontrollieren, sind abtrünnig geworden und haben einem anderen Fürsten Gefolgschaft geschworen!;;¡La gente de [Root.GetName] no permitirá que siga gobernándolos un líder que pertenece a otra religión! ¡Los campesinos rebeldes que controlan la provincia han desertado y juran lealtad a otro líder!;;;;;;;;;x
EVTDESC80061;Feeling estranged due to cultural differences in [Root.Holder.Liege.PrimaryTitle.GetName], the peasant rebels of [Root.GetName] have defected and sworn allegiance to another ruler!;Se sentant mis à l'écart à cause de différences culturelles au coeur [FromFrom.Holder.Liege.PrimaryTitle.Get_du_Realm], les paysans rebelles de [FromFrom.GetName] ont fait défection et ont prêté allégeance à un autre souverain !;Aufgrund der unüberbrückbaren kulturellen Unterschiede in [Root.Holder.Liege.PrimaryTitle.GetName] haben die aufständischen Bauern in [Root.GetName] einem neuen Herrscher die Treue geschworen!;;¡Marginados por las diferencias culturales en [Root.Holder.Liege.PrimaryTitle.GetName], los campesinos rebeldes de [Root.GetName] han desertado y juran lealtad a otro líder!;;;;;;;;;x
EVTDESC80062;Feeling little loyalty to their previous far off ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to another ruler!;Se sentant légèrement loyaux envers leur précédent souverain, les paysans rebelles de [Root.GetName] se sont enfuis et ont prêté allégeance à un autre souverain !;Ohne große Loyalität gegenüber ihrem vorherigen, weit entfernten Herrscher, sind die rebellischen Bauern von [Root.GetName] übergelaufen und haben einem anderen Herrscher ihre Treue geschworen!;;La lealtad al lejano gobernante se ha debilitado. ¡Los rebeldes del ejército [FromFrom.GetName] han desertado y jurado lealtad a otro gobernante!;;;;;;;;;x

EVTOPTA80000;Is there anything they won't destroy?;Y a-t-il quelque chose qu'ils comptent épargner ?;Gibt es irgendwas, das sie nicht zerstören würden?;;¿Dejarán algo sin destruir?;;;;;;;;;x
EVTOPTA80005;They killed me?!;Ils m'ont tué[Root.Get_E] ?!;Sie haben mich getötet?!;;¿Me han matado?;;;;;;;;;x
EVTOPTA80050;How dare they execute a subject of mine!;Comment osent-ils exécuter un de nos sujets ?!;Wie können sie es wagen, einen meiner Untergebenen hinzurichten!;;¿Cómo osan ejecutar a un súbdito mío?;;;;;;;;;x
EVTOPTA80051;They sure do...;Oui, il le faut...;In der Tat ...;;Sin duda lo serán...;;;;;;;;;x
EVTOPTA80052;This peasant rabble must be stopped!;Il faut absolument arrêter ces paysans !;Dieser Bauernpöbel muss aufgehalten werden!;;¡Hay que parar a esa chusma!;;;;;;;;;x
EVTOPTA80053;Excellent! Or is it...?;Excellent ! N'est-ce pas... ?;Ausgezeichnet! Oder doch nicht ...?;;¡Excelente! ¿O no...?;;;;;;;;;x
EVTOPTA80054;Damn these peasants!;Maudits soient ces paysans !;Verdammtes Bauerngesindel!;;¡Al diablo con esos campesinos!;;;;;;;;;x
EVTOPTA80058;Excellent! Or is it...?;Excellent ! Quoique, l'est-ce vraiment ?;Vortrefflich! Oder etwa nicht ...?;;¡Excelente! ¿O quizás no...?;;;;;;;;;x

EVTOPTB80000;Bad news, but I am glad it didn't happen to my holdings...;Mauvaise nouvelle, mais heureusement mes propriétés ne sont pas concernées...;Schlechte Nachrichten, aber das betrifft meine Besitztümer nicht ....;;Malas noticias, pero me alegro de que no le pasara a mis posesiones...;;;;;;;;;x
EVTOPTB80005;Damn these rebels!;Maudits rebelles !;Diese verdammten Rebellen ...;;¡Malditos rebeldes!;;;;;;;;;x
