AbrahamDLC;Sons of Abraham;Les Fils d'Abraham (Sons of Abraham);Sons of Abraham;;Hijos de Abraham;;;;;;;;;x
HorseLordsDLC;Horse Lords;Seigneurs de cavalerie (Horse Lords);Horse Lords;;Jinetes;;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Hymns of Abraham;;Himnos de Abraham;;;;;;;;;x
HymnsToTheOldGodsDLC;Hymns to the Old Gods;Hymnes aux Anciens Dieux;Hymns to the Old Gods;;Himnos a los Antiguos Dioses;;;;;;;;;x
IberianPortraitsDLC;Iberian Portraits;Portraits ibériques;Iberian Portraits;;Retratos ibéricos;;;;;;;;;x
IberianUnitPackDLC;Iberian Unit Pack;Pack d'unités ibériques;Iberian Unit Pack;;Pack de Unidades ibéricos;;;;;;;;;x
IndiaDLC;Rajas of India;Rajas d'Inde (Rajas of India);Rajas of India;;Rajás de la India;;;;;;;;;x
JadeDragonDLC;Jade Dragon;Dragon de Jade (Jade Dragon);Jade Dragon;;§YJade Dragon§!;;;;;;;;;x
LegacyOfRomeDLC;Legacy of Rome;L'Héritage de Rome (Legacy of Rome);Legacy of Rome;;Legado de Roma;;;;;;;;;x
MediterraneanPortraitsDLC;Mediterranean Portraits;Portraits Méditerranéens;Mediterranean Portraits;;;;;;;;;;;x
MonksAndMysticsDLC;Monks and Mystics;Moines et mystiques (Monks and Mystics);Monks and Mystics;;Monks and Mystics;;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'unités des ordres militaires;Military Orders Unit Pack;;Pack de Unidades Ordenes Militares;;;;;;;;;x
NorsePortraitsDLC;Norse Portraits;Portraits nordiques;Norse Portraits;;Perfiles Nórdicos;;;;;;;;;x
NorseUnitPackDLC;Norse Unit Pack;Pack d'unités nordiques;Norse Unit Pack;;Pack de Unidades Nórdicas;;;;;;;;;x
ReapersDLC;The Reaper's Due;Notre dû à la Faucheuse (The Reaper's Due);Reaper's Due;;The Reaper's Due (El trabajo del Segador);;;;;;;;;x
RulerDesignerDLC;Ruler Designer;Créateur de personnage (Ruler Designer);Ruler Designer;;Diseñador de las Reglas;;;;;;;;;x
RussianPortraitsDLC;Russian Portraits;Portraits russes;Russian Portraits;;Retratos Rusos;;;;;;;;;x
RussianUnitPackDLC;Russian Unit Pack;Pack d'unités russes;Russian Unit Pack;;Pack de Unidades Rusas;;;;;;;;;x
SongsOfAlbionDLC;Songs of Albion;Chants d'Albion;Songs of Albion;;Canciones de Albion;;;;;;;;;x
SongsOfArabiaDLC;Songs of Arabia;Musiques d'Arabie;Songs of Arabia;;Canciones de Arabia;;;;;;;;;x
SongsOfByzantiumDLC;Songs of Byzantium;Musiques de Byzance;Songs of Byzantium;;;;;;;;;;;x
SongsOfFaithDLC;Songs of Faith;Chants de la Foi;Songs of Faith;;Canciones de la Fe;;;;;;;;;x
SongsOfIndiaDLC;Songs of India;Chants de l'Inde;Songs of India;; Cantos de India;;;;;;;;;x
SongsOfProsperityDLC;Songs of Prosperity;Musiques de la Prospérité;Songs of Prosperity;;;;;;;;;;;x
SongsOfTheCaliphDLC;Songs of the Caliph;Les Chants du Calife;Songs of the Caliph;;Canciones del Califa;;;;;;;;;x
SongsOfTheHolyLandDLC;Songs of the Holy Land;Chants de la Terre sainte;Songs of the Holy Land;;Canciones de la Tierra Santa;;;;;;;;;x
SongsOfTheRusDLC;Songs of the Rus;Musiques de Rus';Songs of the Rus;;Canciones de Rus;;;;;;;;;x
SunsetInvasionDLC;Sunset Invasion;Invasion du Soleil Couchant (Sunset Invasion);Sunset Invasion;;Sunset Invasion;;;;;;;;;x
SwordOfIslamDLC;The Sword of Islam;L'Épée de l'Islam (The Sword of Islam);Sword of Islam;;Espada del Islam;;;;;;;;;x
TheOldGodsDLC;The Old Gods;Les Anciens Dieux (The Old Gods);The Old Gods;;The Old Gods;;;;;;;;;x
TheRepublicDLC;The Republic;La République (The Republic);The Republic;;La República;;;;;;;;;x
TurkishPortraitDLC;Turkish Portraits;Portraits turcs;Turkish Portraits;;Retratos Turcos ;;;;;;;;;x
TurkishUnitPackDLC;Turkish Unit Pack;Pack d'unités turques;Turkish Unit Pack;;Paquete de unidad turco;;;;;;;;;x
WayOfLifeDLC;Way of Life;Mode de vie (Way of Life);Way of Life;;Way of Life;;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'unités des Guerriers de la foi;Warriors of Faith Unit Pack;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
ZeusDLC;Conclave;Le Conseil (Conclave);Conclave;;;;;;;;;;x

DLC_dlc001_EXAMPLE_IMAGE_1_TOOLTIP;King Philippe of France \nDynasty: Capet \nDate: 1066 AD;Roi Philippe de France \nDynastie : Capet \nDate : 1066 ap. J-C;König Philipp von Frankreich \nDynastie: Capet \nDatum: 1066 n. Chr.;;Rey Felipe de Francia. \nDinastía: Capetos\nFecha: 1066 d.C.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_1_TOOLTIP_DELAYED;"Philippe I, nicknamed the Amorous, was King of the Franks from 1060 until his death. After marrying another woman while already married, the pope excommunicated him in 1095. A significant portion of his reign was spent on his power-hungry vassals, putting down their frequent revolts.";Philippe Ier, surnommé l'Amoureux, était roi des Francs de 1060 jusqu'à sa mort. Il a été excommunié en 1095 par le pape après avoir épousé une autre femme alors qu'ils étaient déjà tous deux mariés avec quelqu'un d'autre. Une partie importante de son règne fut consacrée à ses vassaux avides de pouvoir en matant leurs fréquentes révoltes.;"Philipp I war von 1060 bis zu seinem Tod König der Franken. Er wurde 1095 exkommuniziert, nachdem er bereits verheiratet eine andere Frau geheiratet hatte. Ein großer Teil seiner Herrschaft wurde für seine machthungrigen Vasallen aufgewendet, um ihre häufigen Revolten niederzuschlagen.";;Felipe I, apodado el Amoroso, fue rey de los francos de 1060 hasta su muerte. Tras casarse con otra mujer cuando ya estaba casado, fue excomulgado por el papa en 1095. Pasó una parte significativa de su reinado sofocando las frecuentes revueltas de vasallos ávidos de poder.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_2_TOOLTIP;King Boleslaw the Bold \nDynasty: Piast \nDate: 1066 AD;Roi Boleslaw le Téméraire \nDynastie : Piast \nDate : 1066 ap. J-C;König Boleslaw der Kühne \nDynastie: Piast \nDatum: 1066 n. Chr.;;Rey Boleslao el Temerario \nDinastía: Piastas\nFecha: 1066 d.C.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_2_TOOLTIP_DELAYED;"King Boleslaw II of Poland had many nicknames, 'the Generous' and 'the Bold' are two examples. Boleslaw II is considered to be one of the most capable Piast rulers as he was the first Polish monarch to produce his coinage in quantity high enough to replace the foreign coins.";Le roi Boleslaw II de Pologne a eu beaucoup de surnoms, « le Généreux » et « le Téméraire » en sont deux exemples. Il est considéré comme l'un des souverains Piast les plus capables car il fut le premier monarque polonais à produire sa monnaie en quantité suffisante pour remplacer les pièces étrangères.;"König Boleslaw II. von Polen hatte viele Spitznamen. "Der Großzügige" und "Der Kühne" sind zwei Beispiele. Boleslaw II. gilt als einer der fähigsten der Piastenfürsten, da er der erste polnische Monarch war, der seine Münze in solch einer Menge produzierte, die ausreichte, um die ausländischen Münzen zu ersetzen.";;El rey Boleslao II de Polonia tuvo muchos apodos, como el Generoso y el Temerario . Boleslao II es considerado uno de los Piastas más capaces, ya que fue el primer monarca polaco que acuñó suficiente cantidad de moneda como para reemplazar las monedas extranjeras.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_3_TOOLTIP;King Henry of England \nDynasty: Plantagenet \nDate: 1155 AD;Roi Henri d'Angleterre \nDynastie : Plantagenêt \nDate : 1155 ap. J-C;König Heinrich von England \nDynastie: Plantagenet \nDatum: 1155 n. Chr.;;Rey Enrique de Inglaterra \nDinastía: Plantagenet \nFecha: 1155 d.C.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_3_TOOLTIP_DELAYED;"Henry II was a driven man who was involved in many intrigues during his reign. While compelled to restore the lands of his grandfather, his family were plotting on how they would inherit the realm.";Henri II était un homme déterminé impliqué dans de nombreux complots pendant son règne. Tandis qu'il se focalisait sur la restauration des terres de son grand-père Henri Ier, sa famille complotait sur la façon dont elle pourrait hériter du royaume.;"Heinrich II. war ein getriebener Mann, der während seiner Herrschaft in viele Intrigen verwickelt war. Während er sich darauf konzentrierte, wie er das Land seines Großvaters Heinrich I. wiederherstellt, planten seine Familienmitglieder bereits, wie sie das Reich erben würden.";;Enrique II fue un hombre impulsivo que se involucró en muchas intrigas durante su reinado. Mientras se veía obligado a restaurar las tierras de su abuelo, Enrique I, su familia conspiraba sobre cómo heredar el reino.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_4_TOOLTIP;Grand Prince Iziaslav of Kiev \nDynasty: Rurikid \nDate: 1066 AD;Grand Prince Iziaslav de Kiev \nDynastie : Riourikide \nDate : 1066 ap. J-C;Großprinz Iziaslaw von Kiew \nDynastie: Rurikid \nDatum: 1066 n. Chr.;;Gran príncipe Iziaslav de Kiev \nDinastía: Rurikida\nFecha: 1066 d.C.;;;;;;;;;x
DLC_dlc001_EXAMPLE_IMAGE_4_TOOLTIP_DELAYED;"Iziaslav Yaroslavich was a son of Yaroslav I. Iziaslav and his brother succeeded their father, and the realm was divided into three, creating the Yaroslavichi triumvirate that ruled the country for the next 20 years. Iziaslav was deposed twice by his brothers but managed to retake Kiev both times.";Iziaslav Yaroslavich était le fils aîné de Yaroslav Ier. Iziaslav et ses frères ont succédé à leur père et le royaume a été divisé en trois, créant ainsi le triumvirat des Yaroslavichi qui a dirigé le pays pendant les 20 années ont suivi. Iziaslav a été déposé deux fois par ses frères, mais a réussi à reprendre Kiev à chaque fois.;"Iziaslav Yaroslavich war ein Sohn von Yaroslav I. Als Iziaslav und sein Bruder ihrem Vater folgten wurde das Reich in drei Teile geteilt, wodurch das Yaroslavichi Triumvirat entstand, das das Land für die folgenden 20 Jahre regierte. Iziaslav wurde zweimal von seinen Brüdern abgesetzt, schaffte es aber, beide Male Kiew zurückzuerobern.";;Iziaslav Yaroslavich era hijo de Yaroslav I. Iziaslav y su hermano sucedieron a su padre, y el reino fue dividido en tres, creando el triunvirato Yaroslavichi que gobernaría el país durante los siguientes 20 años. Iziaslav fue depuesto dos veces por sus hermanos pero en ambos casos logró reconquistar Kiev.;;;;;;;;;x
DLC_dlc001_RECOMMENDATION_MEDIEVAL_EUROPE;§YThe Dynasty Shields§! pack contains 50 Coat of Arms of the most famous and prestigious families of Medieval Europe.\n;Le pack '§YDynasty Shields§!' (Blasons dynastiques) contient 50 armoiries des familles les plus célèbres et prestigieuses de l'Europe médiévale.\n;Das Paket "§YDynasty Shields§!" enthält 50 Wappenschilde der berühmtesten Familien des mittelalterlichen Europas.\n;;El Pack de §Yescudos dinásticos§! contiene 50 escudos de armas de las familias más famosas de la Europa medieval.\n;;;;;;;;;x
DLC_dlc001_TOOLTIP_DELAYED;- 50 unique dynastic shields for the 50 most famous families of Medieval Europe;- 50 blasons uniques pour les familles les plus célèbres d'Europe médiévale;- 50 einzigartige Wappenschilde für 50 der berühmtesten Familien des mittelalterlichen Europas;;- 50 escudos dinásticos únicos para las 50 familias más famosas de Europa medieval;;;;;;;;;x
DLC_dlc001_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 1§!;§YDynasty Coat of Arms Pack 1§! (Pack d'armoiries 1);§YDynasty Coat of Arms Pack 1§!;;§YEscudos dinásticos 1§!;;;;;;;;;x
DLC_dlc002_RECOMMENDATION_MONGOL;The §Y$DLC_NAME$§! will make the characters of §Y[Root.Culture.GetName]§! culture appear unique in your game, with thousands of face combinations for both male and female characters.\n;Le DLC §Y$DLC_NAME$§! rendra les personnages de culture §Y[Root.Culture.GetName]§! uniques dans votre jeu, avec des milliers de combinaisons de visages pour les personnages hommes et femmes. \n;Der DLC §Y$DLC_NAME$§! verleiht Charakteren der §Y[Root.Culture.GetName]en§! Kultur ein einzigartiges Aussehen im Spiel, mit tausenden von Gesichterkombinationen sowohl für weibliche als auch männliche Charaktere.\n;;El §Y$DLC_NAME$§! dará un aspecto único a los personajes de la cultura §Y[Root.Culture.GetName]§! de tu partida, con miles de combinaciones de rostros para personajes masculinos y femeninos.\n;;;;;;;;;x
DLC_dlc002_TOOLTIP_DELAYED;- Many unique face combinations for characters of Mongol cultures \n- Seven new unit sprites;- De nombreux nouveaux visages uniques pour les personnages des cultures mongoles \n- Sept nouveaux modèles d'unités;- Einzigartige Gesichterkombinationen für Charaktere mongolischer Kulturen\n- Sieben neue Einheitenmodelle;;- Combinaciones únicas de rostros para personajes de culturas mongolas \n- Siete nuevas animaciones de unidades;;;;;;;;;x
DLC_dlc002_TOOLTIP_INSTANT;§YMongol Face Pack§!;§YMongol Face Pack§! (Pack de visages mongols);§YMongol Face Pack§!;;§YRostros mongoles§!;;;;;;;;;x
DLC_dlc003_RECOMMENDATION_SAXON;The songs tracks in §YSongs of Albion§! were composed with the Kingdom of England in mind, and you can listen to the songs when playing as an English ruler.\n;Les morceaux de §YSongs of Albion§! ont été composés en pensant au Royaume d'Angleterre et vous pouvez écouter les chansons du jeu en jouant un dirigeant anglais. \n;Die Musikstücke in §YSongs of Albion§! wurden in Hinblick auf das Königreich England komponiert und können gehört werden, wenn Ihr als englischer Herrscher spielt.\n;;Las pistas de §YCanciones de Albión§! se compusieron pensando en el reino de Inglaterra y podrás escucharlas al jugar con un gobernante inglés.\n;;;;;;;;;x
DLC_dlc003_TOOLTIP_DELAYED;- Four soundtracks for characters in the Kingdom of England;- Quatre bandes sonores pour les personnages du Royaume d'Angleterre;- Vier Musikstücke für Charaktere im Königreich von England;;- Cuatro pistas para personajes del reino de Inglaterra;;;;;;;;;x
DLC_dlc003_TOOLTIP_INSTANT;§YSongs of Albion§!;§YSongs of Albion§! (Musiques d'Albion);§YSongs of Albion§!;;§YCanciones de Albión§!;;;;;;;;;x
DLC_dlc004_RECOMMENDATION_NO_HERETIC;The song tracks in §YSongs of Faith§! play in the background for religious characters. Let these powerful songs guide you when playing as a devout ruler.\n;Les morceaux de §YSongs of Faith§! sont joués en fond sonore pour les personnages religieux. Laissez ces puissantes chansons vous guider lorsque vous jouez un dirigeant dévot.\n;Die Musikstücke von §YSongs of Faith§! spielen bei religiösen Charakteren im Hintergrund. Lasst Euch von diesen kraftvollen Liedern leiten, wenn Ihr als frommer Herrscher spielt.\n;;Las pistas de §YCanciones de fe§! suenan de fondo con personajes religiosos. Que estos poderosos temas te guíen jugando como un gobernante devoto.\n;;;;;;;;;x
DLC_dlc004_TOOLTIP_DELAYED;- Two soundtracks for religious and devout characters;- Deux bandes sonores pour les personnages croyants et pieux;- Zwei Musikstücke für religiöse und fromme Charaktere;;- Dos pistas para personajes religiosos y devotos;;;;;;;;;x
DLC_dlc004_TOOLTIP_INSTANT;§YSongs of Faith§!;§YSongs of Faith§! (Musiques de la Foi);§YSongs of Faith§!;;§YCanciones de fe§!;;;;;;;;;x
DLC_dlc005_TOOLTIP_DELAYED;- Customize your portrait \n- Name your Dynasty and design a Coat of Arms \n- Assign skill points and traits \n- Create a spouse and offspring \n- Replace a historical character with your own;- Personnaliser votre portrait \n- Nommer votre dynastie et concevoir vos armoiries \n- Vous assigner des points de compétence et des traits \n- Se créer un conjoint et une progéniture \n- Remplacer un personnage historique par le vôtre;- Erstellt ein eigenes Porträt\n- Benennt Eure Dynastie und erstellt ein Wappenschild\n- Verteilt Fähigkeitspunkte und Eigenschaften\n- Kreiert Gemahlen und Nachkommen\n- Ersetzt einen historischen Charakter durch Euren eigenen;;- Personaliza tu retrato \n- Da nombre a tu dinastía y diseña un escudo de armas \n- Asigna puntos de destreza y rasgos \n- Crea un cónyuge y descendencia \n- Reemplaza un personaje histórico con el tuyo;;;;;;;;;x
DLC_dlc005_TOOLTIP_INSTANT;§YRuler Designer§!;§YRuler Designer§! (Créateur de personnage);§YRuler Designer§!;;§YDiseñador gobernante§!;;;;;;;;;x
DLC_dlc006_RECOMMENDATION_CRUSADE;The song tracks in §YSongs of the Holy Land§! play in the background for crusading characters or when your land is the crusading target of others. Reclaim or protect the Holy Land!\n;Les morceaux de §YSongs of the Holy Land§! sont joués en fond sonore pour les personnages croisés ou quand votre terre est la cible de croisés. Récupérez ou protégez la Terre sainte ! \n;Die Musikstücke aus §YSongs of the Holy Land§! spielen im Hintergrund, wenn Ihr einen Kreuzritter spielt oder das Ziel eines Kreuzzugs seid. Fordert das Heilige Land zurück oder beschützt es!\n;;Las pistas de §YCanciones de Tierra Santa§! suenan de fondo con cruzados o cuando tu tierra es objetivo de cruzada de otros. ¡Reclama o protege Tierra Santa!\n;;;;;;;;;x
DLC_dlc006_TOOLTIP_DELAYED;- Two soundtracks for characters in the Middle East;- Deux bandes sonores pour les personnages du Moyen-Orient;- Zwei Musikstücke für Charaktere im Nahen Osten;;- Cuatro pistas para personajes en Oriente Medio;;;;;;;;;x
DLC_dlc006_TOOLTIP_INSTANT;§YSongs of the Holy Land§!;§YSongs of the Holy Land§! (Musiques de la Terre sainte);§YSongs of the Holy Land§!;;§YCanciones de Tierra Santa§!;;;;;;;;;x
DLC_dlc007_RECOMMENDATION_REQUIRED;§YThe Sword of Islam§! adds playable Muslim rulers to the game, and with them comes new unique gameplay to the Islamic religions.\n;§YL'Épée de l'Islam§! ajoute des seigneurs musulmans jouables et avec eux, une nouvelle jouabilité. \n;§YSword of Islam§! fügt dem Spiel spielbare muslimische Herrscher hinzu, die gleichzeitig der islamischen Religion neues einzigartiges Gameplay bringen.\n;;§YSword of Islam§! añade gobernantes musulmanes con los que jugar, y con ellos un modo de juego único para la religión islámica.\n;;;;;;;;;x
DLC_dlc007_TOOLTIP_DELAYED;- New playable religious group: Islam \n- Decadence System \n- Polygamy \n- Muslim unique Casus Bellis \n\nAdditional Features: \n- Updated interface for playable Muslim characters \n- 100+ new story events focusing on the region;- Nouveau groupe religieux jouable : musulman \n- Système de décadence \n- Polygamie \n- Casus belli musulmans \n\nCaractéristiques additionnelles : \n- Interface spécifique aux personnages musulmans \n- Plus de cent nouveaux événements focalisés sur la région;- Neue Religionsgruppe: Islam\n- Dekadenz-System\n- Polygamie\n- Einzigartige Kriegsgründe für Muslime\n\nZusätzliche Inhalte:\n- Verbessertes Interface für muslimische Charaktere\n- Über 100 neue Story-Events, die sich auf die Religion fokussieren;;- Nuevo grupo religioso jugable: islam \n- Sistema de decadencia \n- Poligamia \n- Casus belis únicos musulmanes \n\nAdemás: \n- Interfaz actualizado para personajes musulmanes jugables \n- Más de 100 eventos de historia centrados en la región;;;;;;;;;x
DLC_dlc007_TOOLTIP_INSTANT;§YThe Sword of Islam§!;§YThe Sword of Islam§! (L'Épée de l'Islam);§YThe Sword of Islam§!;;§YThe Sword of islam§!;;;;;;;;;x
DLC_dlc008_RECOMMENDATION_AFRICAN;The §Y$DLC_NAME$§! contains exclusive unit models for the §Y[Root.Culture.GetName]§! culture. Now meaning that you can easily distinguish your culture unique armies on the map.\n;Le DLC §Y$DLC_NAME$§! contient des modèles d'unités exclusifs pour la culture §Y[Root.Culture.GetName]§!. Vous pouvez donc facilement distinguer les armées de cette culture des autres sur la carte. \n;Der DLC §Y$DLC_NAME$§! enthält einzigartige Einheitenmodelle für §Y[Root.Culture.GetName]e§! Kulturen. Das bedeutet, dass Ihr jetzt die Armeen Eurer Kultur eindeutig auf der Karte unterscheiden könnt.\n;;El §Y$DLC_NAME$§! contiene modelos de unidades únicas para la cultura §Y[Root.Culture.GetName]§!. Ahora podrás distinguir fácilmente en el mapa a los ejércitos únicos de tu cultura.\n;;;;;;;;;x
DLC_dlc008_TOOLTIP_DELAYED;- Unique graphic units for characters of African cultures;- Des graphiques d'unités pour les personnages des cultures africaines;- Einzigartiger Einheitengrafiken für Charaktere afrikanischer Kulturen;;- Gráficos únicos de unidades para personajes de culturas africanas;;;;;;;;;x
DLC_dlc008_TOOLTIP_INSTANT;§YAfrican Unit Pack§!;§YAfrican Unit Pack§! (Pack d'unités africaines);§YAfrican Unit Pack§!;;§YUnidades africanas§!;;;;;;;;;x
DLC_dlc009_RECOMMENDATION_MUSLIM;The song tracks in Songs of Caliph play in the background for muslim characters. Let these thematic songs immerse you further when playing as a devout ruler.\n;Les morceaux de §YSongs of Caliph§! sont joués en fond sonore pour les personnages musulmans. Laissez ces chansons thématiques vous immerger davantage quand vous jouez un dirigeant dévot. \n;Die Musikstücke von §YSongs of Caliph§! spielen für muslimische Charaktere im Hintergrund. Lasst Euch von diesen thematischen Liedern als frommer Herrscher verzaubern.\n;;Las pistas de Canciones del califa suenan de fondo con personajes musulmanes. Que estas canciones temáticas te sumerjan más al jugar como un gobernante devoto.\n;;;;;;;;;x
DLC_dlc009_TOOLTIP_DELAYED;- Two soundtracks for characters of the Islamic faith;- Deux bandes sonores pour les personnages de la foi islamique;- Zwei Musikstücke für Charaktere des islamischen Glaubens;;- Dos pistas para gobernantes de fe islámica;;;;;;;;;x
DLC_dlc009_TOOLTIP_INSTANT;§YSongs of the Caliph§!;§YSongs of the Caliph§! (Musiques du Calife);§YSongs of the Caliph§!;;§YCanciones del califa§!;;;;;;;;;x
DLC_dlc010_EXAMPLE_IMAGE_1_TOOLTIP;King Charles the Bald \nDynasty: Karling \nDate: 867 AD;Roi Charles le Chauve \nDynastie : Carolingienne \nDate : 867 ap. J-C;König Karl der Kahle \nDynastie: Karling \nDatum: 867 n. Chr.;;Rey Carlos el Calvo \nDinastía: Carolingia\nFecha: 867 d.C.;;;;;;;;;x
DLC_dlc010_EXAMPLE_IMAGE_1_TOOLTIP_DELAYED;"Charles the Bald had many titles, King of West Francia, King of Italy and Holy Roman Emperor. His father, Louis the Pious, had unsuccessfully tried to assign Charles a subkingdom for many years. It's thought that Charles’ nickname was a facetious reference to his landlessness while growing up.";Charles le Chauve a eu de nombreux titres, roi de Francie occidentale, roi d'Italie et empereur romain germanique. Son père, Louis le Pieux, avait essayé sans succès d'attribuer à Charles un sous-royaume pendant de nombreuses années. On pense que son surnom était une référence facétieuse au fait qu'il n'avait pas de terres en grandissant.;"Karl der Kahle hatte viele Titel, König der Westfranken, König von Italien und römisch-deutscher Kaiser. Sein Vater, Louis der Fromme, hatte vergeblich versucht, Karl für viele jahre ein Unterkönigreich zuzuweisen. Es wird vermutet, dass Karls Spitzname eine witzige Anspielung auf seine Landlosigkeit während des Erwachsenenwerdens war.";;Carlos el Calvo tenía muchos títulos, rey de Francia Occidental, rey de Italia y emperador del Sacro Imperio Romano. Su padre, Luis el Piadoso, trató infructuosamente de asignar a Carlos un reino secundario durante muchos años, y se cree que el apodo de Carlos era una referencia burlona a su falta de tierra mientras crecía.;;;;;;;;;x
DLC_dlc010_EXAMPLE_IMAGE_2_TOOLTIP;Kaiser Heinrich of the Holy Roman Empire \nDynasty: Salian \nDate: 1066 AD;Kaiser Heinrich du Saint-Empire romain \nDynastie : Salienne \nDate : 1066 ap. J-C;Kaiser Heinrich des Heiligen Römischen Reiches \nDynastie: Salian \nDatum: 1066 n. Chr.;;Emperador Enrique IV del Sacro Imperio Romano\nDinastía: Salia \nFecha: 1066 d.C..;;;;;;;;;x
DLC_dlc010_EXAMPLE_IMAGE_2_TOOLTIP_DELAYED;"Heinrich IV is considered to be one of the most influential and important figures of the 11th century. One of the most famous events in his reign was the Investiture Controversy with the Papacy which made him unpopular with the church. He was excommunicated five times by three different popes.";Heinrich IV est considéré comme l'une des figures les plus influentes et les plus importantes du XIe siècle. L'un des événements les plus célèbres de son règne fut la controverse de l'investiture dans laquelle la papauté le rendit impopulaire auprès du clergé. Il a été excommunié cinq fois par trois papes différents.;"Heinrich IV. gilt als einer der einflussreichsten und bedeutendsten Persönlichkeiten des 11. Jahrhunderts. Eines der berühmtesten Ereignisse seiner Amtszeit war der Investiturstreit mit dem Papsttum, der ihn bei der Kirche unbeliebt machte. Er wurde fünfmal von drei verschiedenen Päpsten exkommuniziert.";;Enrique IV está considerado como una de las figuras más influyentes e importantes del siglo XI. Uno de los acontecimientos más famosos de su reinado fue la Controversia de la Investidura con el papado, lo que le hizo impopular en la iglesia, y fue excomulgado cinco veces por tres papas distintos.;;;;;;;;;x
DLC_dlc010_EXAMPLE_IMAGE_3_TOOLTIP;Basileus Ioannes of the Byzantine Empire \nDynasty: Batatzes \nDate: 1241 AD;Basileus Ioannes de l'Empire byzantin \nDynastie : Batatzes \nDate : 1241 ap. J-C;Basileus Johannes des Byzantinischen Reiches \nDynastie: Batatzes \nDatum: 1241 n. Chr.;;Basileus Juan del Imperio Bizantino \nDinastía: Vatatzés\nFecha: d.C.;;;;;;;;;x
