order_count_foa_female;My Lady;Votre Grandeur;Meine Fürstin;;Mi Señora;;;;;x
order_duke_foa;My Lord;Votre Grandeur;Mein Fürst;;Mi Señor;;;;;x
order_duke_foa_female;My Lady;Votre Grandeur;Meine Fürstin;;Mi Señora;;;;;x
order_emperor_foa;Your Highness;Votre Altesse;Eure Hoheit;;Su Alteza;;;;;x
order_emperor_foa_female;Your Highness;Votre Altesse;Eure Hoheit;;Su Alteza;;;;;x
order_king_foa;Your Grace;Votre Grâce;Eure Gnaden;;Su Excelencia;;;;;x
order_king_foa_female;Your Grace;Votre Grâce;Eure Gnaden;;Su Excelencia;;;;;x
PAULICIAN_PATRIARCH;Paulician Patriarch;Patriarche paulicien;Paulizianischer Patriarch;;Patriarca Pauliciano;;;;;;;;;x
PATRIARCH_CAP;Patriarch;Patriarche;Patriarch;;Patriarca;;;;;;;;;x
PATRIARCH_IN_THE_EAST;Patriarch of the East;Patriarche d'Orient;Patriarch des Ostens;;Patriarca Oriental;;;;;;;;;x
PONTIFEX_MAXIMA;Pontifex Maxima;Pontifex Maxima;Pontifex Maxima;;Pontifex Máxima;;;;;;;;;x
PONTIFEX_MAXIMUS;Pontifex Maximus;Pontifex Maximus;Pontifex Maximus;;Pontifex maximus;;;;;;;;;x
POPE;Pope;Pape;Papst;;Papa;;;;;;;;;x
POPE_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
PRINCE_BISHOP;Prince-Bishop;Prince-évêque;Bischof;;Príncipe obispo;;;;;;;;;x
PRINCE_BISHOP_FOA;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
principality_foa;Your Majesty;Votre Majesté;Eure Majestät;;Su Majestad;;;;;x
principality_prefix;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;x
principality_title;Prince;Prince;Fürst;;Príncipe;;;;;x
principality_title_female;Princess;Princesse;Fürstin;;Princesa;;;;;x
QUEEN;Queen;Reine;Königin;;Reina;;;;;;;;;x
RECTOR_TITLE;Rector;Recteur;Rektor;;Rector;;;;;x
RECTOR_TITLE_FEMALE;Rector;Rectrice;Rektorin;;Rectora;;;;;x
SAMRAJNI_CHAKRAVARTIN;Samrajni Chakravartin;Samrajni Chakravartin;Samrajni Chakravartin;; Samrajni Chakravartin;;;;;;;;;x
SAMRAT_CHAKRAVARTIN;Samrat Chakravartin;Samrat Chakravartin;Samrat Chakravartin;; Samrat Chakravartin;;;;;;;;;x
SHEIKH;Sheikh;Cheik;Scheich;;Jeque;;;;;;;;;x
SHEIKHA;Sheikha;Cheika;Scheicha;;Jequesa;;;;;;;;;x
temple_baron_foa;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
temple_count_foa;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
temple_duke_foa;Your Eminence;Votre Éminence;Eure Eminenz;;Su Eminencia;;;;;;;;;x
temple_king_foa;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
TENGRIKIZ;Tengrikiz;Tengrikiz;Tengrikiz;;Tengrikiz;;;;;;;;x
TENGRIKUT;Tengrikut;Tengrikut;Tengrikut;;Tengrikut;;;;;;;;x
TIETAJA;Tietaja;Tietaja;Tietaja;;Tietaja;;;;;;;;x
TLATOANI;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;x
VELKY_VOLHV;Velký Volhv;Velký Volhv;Velký Volhv;;Velký Volhv;;;;;;;;;x
WARCHIEF;Warchief;Chef de guerre;Kriegshäuptling;;Jefe de Guerra;;;;;;;;;x
WARCHIEF_FOA;Master;Maître;Meister;;Maestro;;;;;;;;;x
WESTERN_GOVERNOR_FEMALE;Protector General;Générale-Protectrice;Generalprotektorin;;Protectora general;;;;;;;;;x
WESTERN_GOVERNOR_MALE;Protector General;Général-Protecteur;Generalprotektor;;Protector general;;;;;;;;;x
WESTERN_GOVERNOR_TITLE_FOA;Your Illustriousness;Votre Illustre Grandeur;Eure Erhabenheit;;Su Ilustrísima;;;;;;;;;x
YAMAG;Yamag;Yamag;Yamag;;Yamag;;;;;;;;;x
BLESSED_TITLE;Blessed;Bienheureux;Gesegnet;;Bendito;;;;;x
BLESSED_TITLE_FEMALE;Blessed;Bienheureuse;Gesegnet;;Bendita;;;;;x
SAINT_TITLE;Saint;Saint;Heiliger;;San;;;;;x
SAINT_TITLE_FEMALE;Saint;Sainte;Heilige;;Santa;;;;;x
