cheng_china;Cheng;Chine Cheng;Cheng;;Cheng;;;;;;;;;x
china_jurchen_invasion_desc;An enormous horde of Jurchen horse warriors has descended upon China from the cold and unforgiving Northeast. The mighty Chinese armies are preoccupied with a desperate defense against the fierce invaders. The war is disrupting trade along the Silk Road and could cause a mass exodus of refugees. Should the Jurchens triumph, it is possible that scions of the current Dynasty may flee westward with the remnants of their forces.;Une énorme horde de guerriers montés jurchens s'est abattue sur la Chine du nord depuis le nord-est glacial et impitoyable. Les puissantes armées chinoises sont occupées à organiser une défense désespérée contre ces féroces envahisseurs. La guerre perturbe le commerce de la Route de la Soie et peut entraîner un exode massif de réfugiés. Si les Jurchens triomphent, il est possible que les descendants de la dynastie actuelle fuient vers l'ouest avec le reste de leurs forces.;Eine enorme Horde Jurchen-Pferdekrieger ist aus dem kalten und rauen Norden in China eingefallen. Die mächtigen chinesischen Armeen sind mit einer verzweifelten Verteidigung gegen die heftigen Angriffe beschäftigt. Der Krieg stört den Handel entlang der Seidenstraße und könnte zur Massenflucht der Bevölkerung führen. Sollten die Jurchen triumphieren, so ist es möglich, dass sogar Nachkommen der gegenwärtigen Dynastie mit den Resten ihrer Truppen nach Westen fliehen werden.;;Una enorme horda de guerreros montados yurchen ha caído sobre China desde el Norte frío e implacable. Los poderosos ejércitos chinos están dedicados a una defensa desesperada contra los feroces invasores. La guerra está afectando al comercio en la Ruta de la Seda y puede provocar un éxodo masivo de refugiados. Si los yurchen triunfan, es posible que descendientes de la dinastía actual huyan hacia el oeste con los restos de sus fuerzas.;;;;;;;;;x
china_jurchen_invasion_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments\n§Y*§! Chinese refugees might appear in your court\n§Y*§! Might end with China getting a §RNew Dynasty§!, resetting all §YGrace§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Des réfugiés chinois pourraient venir à votre Cour\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Chinesische Flüchtlinge können an Eurem Hof eintreffen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in China enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras\n§Y*§! Puede provocar que China tenga una §RNueva dinastía§!, reseteando todas las §Ygracias§!;;;;;;;;;x
china_mongol_invasion;Being Invaded by the Mongols;Invasion par les Mongols;Wird von Mongolen überfallen;;Invadidos por los mongoles;;;;;;;;;x
china_mongol_invasion_desc;The Mongol hordes of the north pour into China. The mighty Chinese armies are occupied with their desperate defense of the Empire, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;Les hordes mongoles du nord affluent en Chine. Les puissantes armées chinoises sont occupées à défendre désespérément l'Empire, et les combats ont considérablement perturbé le commerce et ont provoqué un exode massif de réfugiés. Les descendants de la dynastie actuelle pourraient bien fuir vers l'ouest si la guerre s'aggrave.;Die mongolischen Horden des Nordens dringen tief nach China ein. Die mächtigen chinesischen Armeen sind mit ihrer verzweifelten Verteidigung des Reiches beschäftigt, die Kämpfe haben den Handel stark gestört und der Krieg hat eine Völkerwanderung von Flüchtlingen ausgelöst. Nachkommen der gegenwärtigen Dynastie könnten ebenfalls nach Westen fliehen, wenn der Krieg sich verschlimmert.;;Las hordas mongolas del norte han invadido China desde el norte. Los poderosos ejércitos chinos están ocupados defendiendo desesperadamente el imperio, y la lucha ha trastocado el comercio, así como provocado un éxodo masivo de refugiados. Si la guerra va lo bastante mal, descendientes de la dinastía actual también podrían huir hacia el oeste.;;;;;;;;;x
china_mongol_invasion_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments\n§Y*§! Chinese refugees might appear in your court\n§Y*§! Might end with China getting a §RNew Dynasty§!, resetting all §YGrace§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Des réfugiés chinois pourraient venir à votre Cour\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Chinesische Flüchtlinge können an Eurem Hof eintreffen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in China enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras\n§Y*§! Pueden aparecer refugiados chinos en tu corte\n§Y*§! Puede provocar que China tenga una §RNueva dinastía§!, reseteando todas las §Ygracias§!;;;;;;;;;x
china_open;Open;Ouverte;Offen;;Abierto;;;;;;;;;x
china_open_desc;China is currently open to trade and interested in acquiring friends and tributaries within its sphere of influence.;La Chine est actuellement ouverte au commerce et cherche à se faire des amis et tributaires dans sa sphère d'influence.;China ist derzeit für den Handel offen und interessiert sich dafür, innerhalb seines Einflussbereiches Freunde zu finden und Tributstaaten zu erwerben.;;China está ahora mismo abierta al comercio e interesada en conseguir amigos y tributarios en su esfera de influencia.;;;;;;;;;x
china_open_effect_desc;§Y*§! The Silk Road is §YOpen§!;§Y*§! La Route de la Soie est §Gouverte§!;§Y*§! Die Seidenstraße ist §Yoffen§!;;§Y*§! La Ruta de la Seda está §Yabierta§!;;;;;;;;;x
china_plague;Devastating Plague;Épidémie dévastatrice;Verheerende Pest;;Peste devastadora;;;;;;;;;x
china_plague_desc;A terrible disease wracks the [Root.GetName], leaving thousands lying dead in its wake. Trade has ground to a halt as the Chinese economy has been forced to its knees, and even the Empire's armies have been decimated to but a shadow of their former glory.;Une maladie terrible fait rage dans l'[Root.GetName], laissant des milliers de personnes mortes dans son sillage. Le commerce a cessé, car l'économie chinoise a été mise à genoux, et même les armées de l'Empire ont été décimées et ne sont plus que l'ombre de leur gloire d'antan.;Eine schreckliche Krankheit wütet im [Root.GetName], die tausende Tote fordert. Der Handel ist zum Stillstand gekommen, als die chinesische Wirtschaft in die Knie gezwungen wurde, und selbst die Armee des Reiches ist nur ein Schatten ihres früheren Ruhmes.;;Una horrible enfermedad golpea el [Root.GetName], dejando miles de muertos a su paso. El comercio se ha detenido y la economía china se encuentra al borde del desastre. E incluso los ejércitos del imperio se han visto diezmados a una sombra de su antigua gloria.;;;;;;;;;x
china_plague_effect_desc;§Y*§! The value of the Silk Road is reduced by §R90%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments;§Y*§! La valeur de la Route de la Soie est réduite de §R90%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres;§Y*§! Der Wert der Seidenstraße ist um §R90%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R90%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras.;;;;;;;;;x
china_stable;Stable;Stable;Stabil;;Estable;;;;;;;;;x
china_stable_desc;The [Root.GetName] is experiencing a period of internal stability, and trade with the East is profitable. Without any large-scale disasters or powerful enemies prosperity is able to spread, and the military might of China stands ready to defend both its own wealth and its loyal tributaries.;L'[Root.GetName] connaît une période de stabilité interne et le commerce avec l'Orient est rentable. Sans catastrophes ni ennemis puissants, la prospérité peut se propager, et les forces militaires de la Chine peuvent défendre à la fois ses propres richesses et ses tributaires loyaux.;[Root.GetName] erlebt eine Zeit der inneren Stabilität und so ist der Handel mit dem Osten rentabel. Ohne großflächige Katastrophe oder mächtige Feinde kann sich der Wohlstand ausbreiten und die militärische Macht Chinas steht bereit, um sowohl den eigenen Reichtum als auch den seiner loyalen Tributstaaten zu verteidigen.;;El [Root.GetName] experimenta un periodo de estabilidad interna y el comercio con Oriente es rentable. Sin grandes desastres ni enemigos poderosos, la prosperidad se extienda y el poder militar de China está listo para defender tanto sus propias riquezas como las de sus fieles tributarios.;;;;;;;;;x
china_stable_effect_desc;§Y*§! The value of the Silk Road is unaffected\n§Y*§! Imperial Tributaries can raise Chinese Regiments to help them in wars;§Y*§! La valeur de la Route de la Soie n'est pas affectée\n§Y*§! Les tributaires impériaux peuvent lever des régiments chinois pour les aider dans les guerres;§Y*§! Der Wert der Seidenstraße bleibt unberührt\n§Y*§! Kaiserliche Tributstaaten können chinesische Regimenter ausheben, die ihnen in Kriegen helfen;;§Y*§! El valor de la Ruta de la Seda no está afectado\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras;;;;;;;;;x
china_unrest;Unrest;Agitation;Unruhe;;Descontento;;;;;;;;;x
china_unrest_desc;Civil unrest runs rampant in the [Root.GetName], and it has thrown the trade routes with the East into disarray. China's armies are occupied internally in an attempt to keep the peace, and unless the unrest is quelled soon a full-blown civil war may well erupt at any moment.;L'agitation civile gronde dans l'[Root.GetName], et les routes commerciales avec l'Orient sont dans la confusion. Les armées de la Chine sont occupées à l'intérieur des frontières pour tenter de préserver la paix et, à moins que les troubles ne soient réprimés, une guerre civile peut très bien éclater à tout moment.;Zivile Unruhen grassieren im [Root.GetName], was die Handelswege mit dem Osten in Unordnung versetzt. Chinas Armeen sind im eigenen Land damit beschäftigt, den Frieden zu halten, und wenn die Unruhen nicht bald niedergeschlagen werden, kann jeden Augenblick ein vollkommener Bürgerkrieg ausbrechen.;;Los disturbios civiles son generalizados en el [Root.GetName] y las rutas comerciales con Oriente se han sumido en el caos. Los ejércitos chinos están ocupados internamente intentando mantener la paz y a menos que los disturbios se sofoquen rápidamente, puede estallar una guerra civil en cualquier momento.;;;;;;;;;x
china_unrest_effect_desc;§Y*§! The value of the Silk Road is reduced by §R25%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments to help them in wars\n§Y*§! This Status might result in a §RCivil War§!;§Y*§! La valeur de la Route de la Soie est réduite de §R25%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Ce statut pourrait finir en §Rguerre civile§!;§Y*§! Der Wert der Seidenstraße ist um §R25%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Dieser Status könnte in einem §RBürgerkrieg§! enden;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R25%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Este estatus puede provocar una §RGuerra civil§!;;;;;;;;;x
chu_china;Chu;Chine Chu;Chu;;Chu;;;;;;;;;x
dai_china;Dai;Chine Dai;Dai;;Dai;;;;;;;;;x
han_china;Han;Chine Han;Han;;Han;;;;;;;;;x
jin_china;Jin;Chine Jin;Jin;;Jin;;;;;;;;;x
liang_china;Liang;Chine Liang;Liang;;Liang;;;;;;;;;x
liao_china;Liao;Chine Liao;Liao;;Liao;;;;;;;;;x
ming_china;Ming;Chine Ming;Ming;;Ming;;;;;;;;;x
qi_china;Qi;Chine Qi;Qi;;Qi;;;;;;;;;x
qin_china;Qin;Chine Qin;Qin;;Qin;;;;;;;;;x
qing_china;Qing;Chine Qing;Qing;;Qing;;;;;;;;;x
shu_china;Shu;Chine Shu;Shu;;Shu;;;;;;;;;x
shun_china;Shun;Chine Shun;Shun;;Shun;;;;;;;;;x
song_china;Song;Chine Song;Song;;Song;;;;;;;;;x
sui_china;Sui;Sui;Sui;;Sui;;;;;;;;;x
tang_china;Tang;Chine Tang;Tang;;Tang;;;;;;;;;x
wei_china;Wei;Chine Wei;Wei;;Wei;;;;;;;;;x
wu_china;Wu;Chine Wu;Wu;;Wu;;;;;;;;;x
xia_china;Xia;Chine Xia;Xia;;Xia;;;;;;;;;x
yan_china;Yan;Chine Yan;Yan;;Yan;;;;;;;;;x
yin_china;Yin;Chine Yin;Yin;;Yin;;;;;;;;;x
yuan_china;Yuan;Chine Yuan;Yuan;;Yuan;;;;;;;;;x
yue_china;Yue;Chine Yue;Yue;;Yue;;;;;;;;;x
zhao_china;Zhao;Chine Zhao;Zhao;;Zhao;;;;;;;;;x
zhou_china;Zhou;Chine Zhou;Zhou;;Zhou;;;;;;;;;x
