# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
a_soldiers_life_desc;A down-to-earth retelling of a young [From.OriginalOwner.GetManWoman] joining the army. Surprisingly moving.;L'histoire d'un[From.OriginalOwner.Get_E] jeune [From.OriginalOwner.GetManWoman] rejoignant l'armée. Étonnement touchant.;Eine bodenständige Nacherzählung [From.OriginalOwner.Geteineseiner] jungen [From.OriginalOwner.GetManWoman], [From.OriginalOwner.Getderdie] der Armee beitritt. Überraschend bewegend.;;La narración realista de un[From.OriginalOwner.GetXA] [From.OriginalOwner.GetManWoman] que se une al ejército. Sorprendentemente conmovedora.;;;;;;;;;x
a_story_about_my_aunt;A Story About My Aunt;Une histoire sur ma tante;Über meine Tante;;Una historia de mi tía;;;;;;;;;x
a_story_about_my_aunt_desc;As [From.OriginalOwner.GetTitledFirstName] never mentions the name of the adventurous spirit portrayed as [From.OriginalOwner.GetHerHis] relative, scholars are unsure as to the origins of this gripping tale.;Puisque [From.OriginalOwner.Get_le_TitledFirstName] n'a jamais mentionné le nom de cet esprit aventureux présenté comme sa parente, les érudits ne savent pas exactement les origines de ce conte palpitant.;Da [From.OriginalOwner.GetTitledFirstName] niemals den Namen des abenteuerlichen Geistes nennt, der als Verwandter beschrieben wird, sind die Gelehrten unsicher hinsichtlich des Ursprungs dieser packenden Geschichte.;;Como [From.OriginalOwner.GetTitledFirstName] no menciona nunca el nombre de este espíritu aventurero que hace pasar por su familiar, los estudiosos no están seguros de los orígenes de esta historia apasionante.;;;;;;;;;x
amber_crown;Amber Crown;Couronne d'ambre;Bernsteinkrone;;Corona de ámbar;;;;;;;;;x
amber_crown_desc;This silver crown is decorated with engravings depicting the gods and decorated with fine pieces of amber.;Cette couronne d'argent est décorée de gravures représentant les dieux, et décorée de beaux morceaux d'ambre.;Diese silberne Krone ist mit Gravuren der Götter und kostbaren Bernsteinbrocken verziert.;;Esta corona plateada está decorada con grabados que representan a los dioses y exquisitas piedras de ámbar.;;;;;;;;;x
andvaranaut;Andvaranaut;Andvaranaut;Andvaranaut;;Andvaranaut;;;;;;;;;x
andvaranaut_desc;This beautiful golden ring seems to make wealth flood to its owner, though all know Andvari's Curse draws ever closer...;Ce bel anneau en or semble faire apporter la richesse à son propriétaire, bien que tous savent que la malédiction d'Andvari se rapproche de plus en plus...;Dieser schöne goldene Ring sorgt offenbar dafür, dass dem Besitzer der Reichtum buchstäblich zufließt, doch jedem ist bekannt, dass dabei auch Andvaris Fluch näher und näher rückt ...;;Este precioso anillo de oro parece inundar a su dueño de fortuna, aunque todos saben que la maldición de Andvari se acerca...;;;;;;;;;x
ark_of_the_covenant;Ark of the Covenant;L'Arche d'Alliance;Bundeslade;;Arca de la alianza;;;;;;;;;x
ark_of_the_covenant_desc;The Ark, crafted out of shittim wood at God's direction, containing the stone tablets of the Ten Commandments and a pot of manna.;L'Arche, fabriquée en bois d'acacia sur les instructions de Dieu, contenant les tablettes en pierre des Dix Commandements et un pot de manne.;Die Bundeslade, die nach Gottes Anweisungen aus Shittim-Holz gefertigt wurde, enthält die Steintafeln mit den Zehn Geboten und einen Krug mit Manna.;;Esta arca, hecha con madera de acacia bajo la dirección de Dios, contiene una jarra de maná y las tablillas de piedra en las que se grabaron los diez mandamientos.;;;;;;;;;x
armor_tier_1;Chain Mail Armor;Armure en cotte de mailles;Kettenrüstung;;Armadura de cota de malla;;;;;;;;;x
armor_tier_1_desc;A basic set of armor made up of many small metal rings linked together.;Une armure basique composée de nombreux petits anneaux en métal reliés entre eux.;Eine einfache Rüstung, die aus vielen kleinen Metallringen, die miteinander verbunden sind, besteht.;;Una armadura básica compuesta por muchos anillitos de metal unidos.;;;;;;;;;x
armor_tier_2;Splint Mail Armor;Brigandine;Verstärkte Kettenrüstung;;Armadura de placa y malla.;;;;;;;;;x
armor_tier_2_desc;More advanced than chain mail, this set of armor has plates of solid metal attached among the metal rings to protect vital weak spots.;Plus avancée que la cotte de mailles, cette armure comporte des plaques de métal solide attachées entre les anneaux métalliques pour protéger les points vitaux.;Fortgeschrittener als die Kettenrüstung besteht diese Rüstung aus massiven Metallplatten, die unter den Metallringen befestigt sind, um wichtige Stellen des Körpers zu schützen.;;Más avanzada que la cota de malla, esta armadura tiene placas de metal unidas con anillos de metal para proteger puntos vitales.;;;;;;;;;x
armor_tier_3_champion;Champion;Champion;Champion-Rüstung;;Campeón;;;;;;;;;x
armor_tier_3_champion_desc;Designed to strike fear into the hearts of men, this suit of armor safeguards its bearer so they can charge into the fields of battle.;Conçue pour instiller la peur dans le coeur des hommes, cette armure protège son porteur pour qu'il puisse charger sur les champs de bataille.;Entworfen, um Angst in die Herzen ihrer Gegner zu schlagen, schützt diese Rüstung ihre Träger, damit sie sich in die Schlacht stürzen können.;;Diseñada para infundir miedo en la gente, esta armadura protege a su portador para que pueda cargar en el campo de batalla.;;;;;;;;;x
armor_tier_3_guardian;Guardian;Gardien;Wächter-Rüstung;;Guardián;;;;;;;;;x
armor_tier_3_guardian_desc;This strong and sturdy set of armor offers unmatched protection in combat. It truly is the guardian of those it encases.;Cette armure robuste offre une protection inégalée au combat. C'est vraiment le gardien de celui qui la porte.;Diese starke und stabile Rüstung bietet einen unübertroffenen Schutz im Kampf. Sie ist wahrlich der Wächter all jener, die sie tragen.;;Esta armadura fuerte y resistente ofrece protección sin igual en el combate. Es ciertamente guardián de lo que recubre.;;;;;;;;;x
armor_tier_3_warden;Warden;Protecteur;Aufseher-Rüstung;;Defensor;;;;;;;;;x
armor_tier_3_warden_desc;Forged out of the finest materials and with expert craftsmanship, this armor turns its owner into a stalwart barrier against any foe.;Forgée avec les meilleurs matériaux et avec un savoir-faire expert, cette armure transforme son propriétaire en une barrière inflexible contre tout ennemi.;Aus den feinsten Materialien geschmiedet und mit fachmännischer Handwerkskunst zusammengesetzt, verwandelt diese Rüstung ihren Besitzer in eine unüberwindbare Barriere gegen jeden Feind.;;Forjada con los mejores materiales y habilidad experta, esta armadura convierte a su dueño en una barrera inquebrantable contra cualquier enemigo.;;;;;;;;;x
armor_tier_4_champion;Green Armor;Armure Verte;Grüne Rüstung;;Armadura verdad;;;;;;;;;x
armor_tier_4_champion_desc;A legendary armor said to be worn by the Green Knight of Arthurian legends.;Une armure légendaire qui aurait été portée par le chevalier vert des légendes du roi Arthur.;Eine legendäre Rüstung, die vom Grünen Ritter der Legende von Arthur getragen worden sei.;;Una armadura legendaria, se dice que la vistió el Caballero verde de las leyendas artúricas.;;;;;;;;;x
armor_tier_4_guardian;Angelic Guardian;Gardienne Angélique;Engelswächter;;Guardián angélico;;;;;;;;;x
armor_tier_4_guardian_desc;A legendary armor rumored to be worn by the Angels.;Une armure légendaire qui aurait été portée par les anges.;Eine legendäre Rüstung, die einst ein Engel getragen haben soll.;;Una armadura legendaria, se rumorea que la vistieron los ángeles.;;;;;;;;;x
armor_tier_4_warden;Immortal;Immortelle;Unbezwingbar;;Inmortal;;;;;;;;;x
armor_tier_4_warden_desc;A legendary armor said to be indestructible by any mortal means.;Une armure légendaire dite indestructible pour les mortels.;Eine legendäre Rüstung, die angeblich mit sterblichen Mitteln unzerstörbar ist.;;Una armadura legendaria, se dice que es indestructible contra todos los medios mortales.;;;;;;;;;x
art_of_war;The Art of War;L'Art de la guerre;Die Kunst des Krieges;;El Arte de la guerra;;;;;;;;;x
art_of_war_desc;This ancient Chinese military text is composed of 13 chapters, each dealing with a different aspect of warfare. It is often considered to be the greatest collection of military tactics and strategy.;Cet ancien texte militaire chinois est composé de 13 chapitres, chacun traitant un aspect de la guerre. C'est souvent considéré comme la plus grande collection de tactiques et stratégies militaires.;Dieser alte chinesische Militärtext besteht aus 13 Kapiteln, die jeweils einen anderen Aspekt des Krieges behandeln. Es wird oft als die größte Sammlung von militärischen Taktiken und Strategien angesehen.;;Este antiguo texto militar chino está compuesto de 13 capítulos, cada uno de ellos trata con un aspecto distinto de la guerra. Se suele considerar la mayor recopilación de táctica y estrategia militar.;;;;;;;;;x
avant_garde_painting;Avant-Garde Painting;Peinture avant-gardiste;Avantgardegemälde;;Pintura de vanguardia;;;;;;;;;x
avant_garde_painting_desc;For good and bad, this painting has its own... unique style.;Pour le meilleur et pour le pire, cette peinture a... un style unique.;Man mag es schön oder grässlich nennen ... stilistisch ist es in jedem Fall ein Unikat.;;Para bien o para mal, este cuadro tiene su propio... estilo.;;;;;;;;;x
axe_of_perkunas;Axe of Perkunas;La hache de Perkunas;Perkunas' Axt;;Hacha de Perkunas;;;;;;;;;x
axe_of_perkunas_desc;This stone axe strongly resembles the axe of Perkunas himself, as described in myth. While a prestigious artifact in itself, merely holding it seems to also instill military confidence and bravado in its wielder...;Cette hache de pierre ressemble fortement à la hache de Perkunas, telle que décrite dans le mythe. Bien qu’il s’agisse d’un prestigieux artefact, le seul fait de la tenir semble également inspirer confiance et bravoure à son détenteur...;Diese Steinaxt ähnelt stark der Axt von Perkunas selbst, wie im Mythos beschrieben. Obwohl es ein prestigeträchtiges Artefakt ist, scheint das bloße Festhalten auch militärisches Selbstbewusstsein und Mut zu erzeugen.;;Esta hacha de piedra recuerda a la del mismo Perkunas, como aparece en los mitos. Aunque es un artefacto prestigioso en sí mismo, el solo hecho de tenerlo también inspira confianza militar y fanfarronería en su poseedor…;;;;;;;;;x
axe_of_perun;Axe of Perun;La hache de Péroun;Peruns Axt;;Hacha de Perún;;;;;;;;;x
axe_of_perun_desc;This exquisite bearded axe is adorned with the symbol of Perun himself: a lightning bolt. It seems to be the Thundergod's very own weapon!;Cette belle hache barbue est ornée du symbole de Péroun: un éclair. Il semble que ce soit l'arme du Dieu du Tonnerre !;Diese vorzügliche Bartaxt ist verziert mit dem persönlichen Symbol Peruns, dem Donnerkeil. Es scheint sich bei ihr um diejenige Waffe zu handeln, die der Gott des Donners selbst führte!;;Este exquisito skeggox está adornado con el símbolo de Perún: un rayo. ¡Parece ser la mismísima arma del dios del trueno!;;;;;;;;;x
axe_of_the_ancestors;Axe of the Ancestors;Hache des Ancêtres;Axt der Ahnen;;Hacha de los ancestros;;;;;;;;;x
axe_of_the_ancestors_2;Axe of the Ancestors;Hache des Ancêtres;Axt der Vorfahren;;Hacha de los antepasados;;;;;;;;;x
axe_of_the_ancestors_2_desc;This gilded axe is engraved with pictures from the ancestral legends. Ambers are set in the handle.;Cette hache dorée est gravée de scènes de légendes ancestrales. Les angles sont placés dans la poignée.;In diese vergoldete Axt sind Bilder aus Legenden der Ahnen eingraviert, und ihr Griff ist mit Bernsteinbrocken besetzt.;;Esta hacha dorada tiene talladas imágenes de leyendas ancestrales. En la empuñadura luce varias piedras de ámbar.;;;;;;;;;x
axe_of_the_ancestors_desc;This gilded axe is engraved with pictures from the ancestral legends. Ambers are set in the handle.;Cette hache dorée est gravée de scènes de légendes ancestrales. Les angles sont placés dans la poignée.;In diese vergoldete Axt sind Bilder aus Legenden der Ahnen eingraviert, und ihr Griff ist mit Bernsteinbrocken besetzt.;;Esta hacha dorada tiene talladas imágenes de leyendas ancestrales. En la empuñadura luce varias piedras de ámbar.;;;;;;;;;x
axe_tier_1;Throwing Axe;Hache de lancer;Wurfbeil;;Hacha arrojadiza;;;;;;;;;x
axe_tier_1_desc;A small and well-crafted axe commonly used in both melee combat and for throwing.;Une petite hache bien conçue couramment utilisée dans le combat de mêlée et pour le lancer.;Eine kleine, fachmännisch hergestellte Axt, die sich für den Nahkampf und zum Werfen eignet.;;Un hacha pequeña y de artesanía de calidad comúnmente usada en combate cuerpo a cuerpo y como arma arrojadiza.;;;;;;;;;x
axe_tier_1_new;Ax;Hache;Axt;;Hacha;;;;;;;;;x
axe_tier_1_new_desc;A well crafted ax.;Une hache bien conçue.;Eine gut verarbeitete Axt.;;Una espada bien hecha.;;;;;;;;;x
axe_tier_2;Battle Axe;Hache d'armes;Streitaxt;;Hacha de guerra;;;;;;;;;x
axe_tier_2_desc;A larger battle axe is able to give more cleaving power, making it more effective against armored foes.;Une hache d'armes plus grande est capable de donner plus de puissance au tranchant, ce qui le rend plus efficace contre les ennemis en armure.;Die etwas größere Streitaxt entfaltet bessere Spalteigenschaften und kann es daher besser mit gepanzerten Feinden aufnehmen.;;Un hacha de guerra de mayor tamaño puede aumentar la capacidad de corte, lo que la vuelve más efectiva contra enemigos con armadura.;;;;;;;;;x
axe_tier_2_new;Ax;Hache;Axt;;Hacha ;;;;;;;;;x
axe_tier_2_new_desc;An ax crafted by a grandmaster.;Une hache conçue par un grand maître.;Eine Axt, die von einem Großmeister gefertigt wurde.;;Un hacha forjada por un gran maestro.;;;;;;;;;x
axe_tier_3_cleaver;Cleaver;Le Fendoir;Der Spalter;;Hoja Carnicera;;;;;;;;;x
axe_tier_3_cleaver_desc;A mighty battle axe named Cleaver. The size alone will make it easy to shred your opponents with a single strike.;Une puissante hache de combat nommée le Fendoir. La taille à elle seule permettra de déchiqueter vos adversaires en un seul coup.;Eine mächtige Streitaxt, die "Der Spalter" getauft wurde. Nur wenige Gegner überleben mehr als einen Treffer.;;Un hacha de guerra llamada Hoja Carnicera. Su tamaño logra que tritures a tus oponentes con un solo ataque.;;;;;;;;;x
axe_tier_3_marauder;Marauder;La Faucheuse;Marodeur;;Saqueadora;;;;;;;;;x
axe_tier_3_marauder_desc;Named Marauder, this exceptionally light weighted and well-crafted battle axe allows you to lay waste to your enemies without getting exhausted yourself.;Cette hache d'arme exceptionnellement légère et bien conçue vous permet de dévaster vos ennemis sans vous épuiser.;Diese leichte und mit großem Sachverstand gefertigte Axt erlaubt es ihrem Träger, den Feind in Schrecken zu versetzen, ohne sich dabei komplett verausgaben zu müssen.;;Esta hacha de guerra llamada Saqueadora es especialmente ligera, está muy bien hecha y te permitirá causar estragos a tus enemigos sin siquiera cansarte.;;;;;;;;;x
axe_tier_3_ravager;Ravager;La Ravageuse;Verwüster;;Aniquiladora;;;;;;;;;x
axe_tier_3_ravager_desc;A long double bladed axe named Ravager. Crafted with high quality steel, the axe will wreak havoc among your enemies.;Une longue hache à double lame nommée la Ravageuse. Fabriquée avec de l'acier de haute qualité, la hache causera des ravages parmi vos ennemis.;Eine lange Axt mit doppelseitiger Klinge, die man "Verwüster" getauft hat. Die Axt wird Chaos und Verwüstung in den Reihen der Feinde verursachen.;;Un hacha de doble hoja llamada Aniquiladora. Esta hacha, forjada con acero de gran calidad, causará estragos entre las filas enemigas.;;;;;;;;;x
axe_tier_4_cleaver;The Dragon Cleaver;Fendoir de Dragon;Drachenspalter;;Destripadragones;;;;;;;;;x
axe_tier_4_cleaver_desc;A legendary ax said to have cleaved through countless dragons.;Une hache légendaire qui aurait fendu d'innombrables dragons.;Eine legendäre Axt, die unzählige Drachen gespaltet haben soll.;;Un hacha legendaria, se dice ha rajado a innumerables dragones.;;;;;;;;;x
axe_tier_4_marauder;Darkbringer;Messager des Ténèbres;Dunkelbringer;;Heraldo de Oscuridad;;;;;;;;;x
axe_tier_4_marauder_desc;A legendary ax rumored to be infused by the very essence of night.;Une hache légendaire qui serait imprégnée par l'essence même de la nuit.;Eine legendäre Axt. die angeblich von der Essenz der Nacht durchdrungen ist.;;Una maza legendaria supuestamente imbuida con la esencia de la noche.;;;;;;;;;x
axe_tier_4_ravager;Heaven's Devastator;Dévastatrice des Cieux;Himmelsverwüster;;Devastadora del Cielo;;;;;;;;;x
axe_tier_4_ravager_desc;A legendary ax rumored to have been wielded by [Root.Religion.GetHighGodName]'s messengers.;Une hache légendaire qui aurait été brandie par les messagers [Root.Get_du_HighGod].;Eine legendäre Axt, die angeblich dem Abgesandten von [Root.Religion.GetHighGodName] gehörte.;;Un hacha legendaria, se rumorea que fue blandida por los mensajeros de [Root.Religion.GetHighGodName].;;;;;;;;;x
axe_whispering;Whispering Axe;Hache chuchotante;Flüsternde Axt;;Hacha susurrante;;;;;;;;;x
axe_whispering_desc;A mysterious axe made of metal tougher than most. Those who wield it say that a voice of a warrior speaks to them.;Une mystérieuse hache en métal particulièrement solide. Ceux qui la manient disent qu'une voix de guerrier leur parle.;Eine geheimnisvolle Axt aus Metall, die härter als die meisten anderen ist. Diejenigen, die ihn führen, sagen, dass die Stimme eines Kriegers zu ihnen spricht.;;Una hacha misteriosa hecha de metal, más dura que la mayoría. Quienes la empuñan dicen oír la voz de un guerrero.;;;;;;;;;x
babr_e_bayan;Babr-e-Bayan;Babr-e-Bayan;Babr-e Bayan;;Babr-e-Bayan;;;;;;;;;x
babr_e_bayan_desc;The legendary hero Rostam's dark leopard-skin coat. Worn above a suit of armor, it is said to be impervious to harm from weapons, fire, and water.;Le manteau en peau de léopard du légendaire Rostam. Porté au-dessus d'une armure, on dit qu'il est imperméable aux dangers des armes, du feu et de l'eau.;Der dunkle Mantel des legendären Helden Rostam aus der Haut eines Leoparden. Er wurde über der Rüstung getragen und soll für Waffen, Feuer und Wasser undurchdringlich sein.;;La capa de piel de pantera negra del legendario héroe Rostam. Sobre una armadura, se dice que es indemne al daño de las armas, al fuego y al agua.;;;;;;;;;x
bad_fishing_book;Fishing with [From.OriginalOwner.GetFirstName];Pêcher avec [From.OriginalOwner.GetFirstName];Fischen mit [From.OriginalOwner.GetFirstName];;Pescando con [From.OriginalOwner.GetFirstName];;;;;;;;;x
bad_fishing_book_desc;Rumor has it [From.OriginalOwner.GetFirstName] was not entirely satisfied with this manuscript. While oddly amusing a read, it is clear that the [From.OriginalOwner.GetTitle] never held a fishing rod in [From.OriginalOwner.GetHerHis] life.;La rumeur veut que [From.OriginalOwner.GetFirstName] n'ait pas été entièrement satisfait[From.OriginalOwner.Get_E] par ce manuscrit. Bien que ce soit une lecture curieusement amusante, il est clair que [From.OriginalOwner.GetLeLa] [From.OriginalOwner.GetTitle] n'a jamais eu de canne à pêche entre ses mains.;Gerüchten zufolge war [From.OriginalOwner.GetFirstName] nicht gänzlich über dieses Manuskript glücklich. Es ist zwar amüsant zu lesen, aber ist auch klar, dass [From.OriginalOwner.GetTitle] niemals eine Angelrute in der Hand hielt.;;Se dice que [From.OriginalOwner.GetFirstName] no quedó satisfech[From.OriginalOwner.GetOA] del todo con este manuscrito. Aunque una lectura extrañamente entretenida, está claro que [From.OriginalOwner.GetElLa] [From.OriginalOwner.GetTitle] nunca ha usado una caña en su vida.;;;;;;;;;x
bejeweled_dagger;Bejeweled Dagger;Dague incrustée de joyaux;Juwelenbesetzter Dolch;;Daga enjoyada;;;;;;;;;x
bejeweled_dagger_desc;The finely crafted dagger has a pommel set with sapphires and amethysts. The hilt is decorated with elaborately embroidered patterns in gold and silver threads.;La dague finement travaillée a un pommeau serti de saphirs et d'améthystes. La poignée est décorée de motifs élaborés brodés en fils d'or et d'argent.;Der meisterhaft angefertigte Dolch hat einen mit Saphiren und Amethysten besetzten Knauf. Das Heft ist mit kunstfertig eingelegten Mustern von Fäden aus Gold und Silber verziert.;;La daga, finamente elaborada, tiene un pomo con zafiros y amatistas engarzados. La empuñadura está decorada con elaborados patrones bordados con hilos de oro y plata.;;;;;;;;;x
big_book_of_meat;The Big Book of Meat;Le grand livre sur la viande;Buch des Fleisches;;El gran libro de la carne;;;;;;;;;x
big_book_of_meat_desc;'There are so many types!' This edition contains illustrations, by [OriginalOwner.GetTrueReligionAdjective] scholars.;« Il y a tant de sortes ! ». Cette édition contient des illustrations, par des érudits de foi [OriginalOwner.GetTrueReligionAdjective].;"Es gibt so viele Arten". Diese Ausgabe enthält Illustrationen von [OriginalOwner.GetTrueReligionAdjective]en Gelehrten.;;'¡Hay tantos tipos!' La edición contiene ilustraciones de expertos [OriginalOwner.GetTrueReligionAdjective].;;;;;;;;;x
blessed_mantle;Blessed Mantle;Saint Manteau;Mantel des Propheten;;Manto bendito;;;;;;;;;x
blessed_mantle_desc;The white mantle of goat's hair given by the Prophet to the poet Ka'b bin Zuhayr. It was later sold by his children to Muawiyah I, the founder of the Umayyad dynasty.;Le manteau blanc de poils de chèvre donné par le Prophète au poète Ka'b bin Zuhayr. Il fut ensuite vendu par ses enfants à Muawiyah Ier, le fondateur de la dynastie omeyyade.;Der weiße Mantel aus Ziegenhaar, den der Prophet dem Dichter Ka'b bin Zuhayr gab. Seine Kinder verkauften den Mantel später an Muawiyah I., den Gründer der Umayyadendynastie.;;El manto blanco de pelo de cabra que el profeta dio al poeta Ka'b bin Zuhayr. Posteriormente, sus hijos se lo vendieron a Muawiyah I, el fundador de la dinastía omeya.;;;;;;;;;x
blessed_sandals;Blessed Sandals;Sandales bénies;Gesegnete Sandalen;;Sandalias benditas;;;;;;;;;x
blessed_sandals_desc;The Prophet's sandals, said to bestow Mohammad's blessings on those who touch them.;Les sandales du Prophète, dont on dit qu'elles apportent les bénédictions de Mahomet à ceux qui les touchent.;Die Sandalen des Propheten, von denen es heißt, dass sie jenen, die sie berühren, den Segen Mohammeds schenken.;;Las sandalias del profeta que, según dicen, otorgan las bendiciones de Mahoma a aquellos que las tocan.;;;;;;;;;x
bones_of_st_peter;Bones of St. Peter;Os de saint Pierre;Knochen des Heiligen Petrus;;Huesos de san Pedro;;;;;;;;;x
bones_of_st_peter_desc;This small iron box contains the remains of the apostle Peter, himself, by some considered to be the First Pope. To possess it is to be the envy of the Christian world.;Cette petite boîte de fer contient les restes de l'apôtre Pierre, considéré par quelques-uns comme le premier pape. La posséder, c'est être envié par le monde chrétien.;Die kleine Eisentruhe enthält die sterblichen Überreste des Apostels Petrus, der vielen als der erste Papst gilt. Um ihren Besitz wird die gesamte christliche Welt den Hüter der Reliquie beneiden.;;Esta pequeña caja de hierro contiene los restos del mismísimo apóstol Pedro, considerado por algunos como el primer papa. Poseerla significa ser la envidia del mundo cristiano.;;;;;;;;;x
bow_tier_1;Self Bow;Arc simple;Einfacher Bogen;;Arco simple;;;;;;;;;x
bow_tier_1_desc;A bow made from a single piece of fine wood.;Un arc fait à partir d'un seul morceau de bois.;Ein Bogen, der aus einem einzigen Stück Holz hergestellt wurde.;;Un arco hecho de una única pieza de madera refinada.;;;;;;;;;x
bow_tier_1_new;Bow;Arc;Bogen;;Arco;;;;;;;;;x
bow_tier_1_new_desc;A well crafted bow.;Un arc bien conçu.;Ein gut verarbeiteter Bogen.;;Un arco bien hecho.;;;;;;;;;x
bow_tier_2;Composite Bow;Arc composite;Kompositbogen;;Arco compuesto;;;;;;;;;x
bow_tier_2_desc;Composite bows are constructed with a wooden core, glued together with horn and sinew. Allowing for a smaller bow with greater power.;Les arcs composites sont conçus avec une base en bois sur laquelle sont collés de la corne et du tendon, et sont plus petits tout en étant plus puissants.;Ein Kompositbogen besteht aus einem Holzkern, der mit Kleber, Horn und Sehnen erweitert wird. Mit dieser Technik sind kleinere Bögen mit höherer Schusskraft möglich.;;Los arcos compuestos se fabrican con un cuerpo de madera encolado con hueso y tendones. Es un arco más pequeño con mayor potencia.;;;;;;;;;x
bow_tier_2_new;Bow;Arc;Bogen;;Arco;;;;;;;;;x
bow_tier_2_new_desc;A bow crafted by a grandmaster.;Un arc conçu par un grand maître.;Ein Bogen, der von einem Großmeister gefertigt wurde.;;Un arco creado por un gran maestro.;;;;;;;;;x
bow_tier_3_eagle;Eagle;L'Aigle;Adler;;Águila;;;;;;;;;x
bow_tier_3_eagle_desc;Known simply as Eagle. This exceptional bow can strike enemies at great distances with considerable precision.;Connu simplement comme l'Aigle. Cet arc exceptionnel peut frapper des ennemis très éloignés avec une précision considérable.;Dieser außerordentliche Bogen schießt mit beträchtlicher Genauigkeit selbst über weiteste Entfernungen.;;Este arco excepcional, conocido como Águila, puede atacar a los enemigos a gran distancia con una precisión considerable.;;;;;;;;;x
bow_tier_3_lightning;Lightning;L'Éclair;Blitz;;Relámpago;;;;;;;;;x
bow_tier_3_lightning_desc;Named Lightning, this bow fire arrows with incredible force. Killing opponents in an instant.;Nommé l'Éclair, cet arc tire des flèches de feu à une vitesse incroyable, tuant les adversaires en un instant.;Trifft sein Ziel mit der Wucht eines Blitzes, daher der Name.;;Este arco, conocido como Relámpago, lanza flechas con una fuerza increíble, lo que mata a los oponentes en un instante.;;;;;;;;;x
bow_tier_3_silent_wind;Silent Wind;Le Vent Silencieux;Stiller Wind;;Viento Silencioso;;;;;;;;;x
bow_tier_3_silent_wind_desc;A composite bow of the highest quality. It is named Silent Wind for being able to silently dispatch enemies.;Un arc composite de la plus haute qualité. Il est nommé Vent Silencieux pour être en mesure d'abattre silencieusement les ennemis.;Ein Kompositbogen der besten Qualität. Der Name "Stiller Wind" deutet auf seine Fähigkeit hin, Feinde lautlos auszuschalten.;;Un arco compuesto de gran calidad. Se llama Viento Silencioso porque es capaz de despachar a los enemigos sin hacer ruido.;;;;;;;;;x
bow_tier_4_eagle;Ice Eagle;Aigle de Glace;Eisadler;;Águila de hielo;;;;;;;;;x
