#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_TITLE_LT_60001;A Town is Born;Une ville est née;Eine Stadt ist geboren;;Nace una ciudad;;;;;;;;x
evt_TITLE_LT_60101;[target_wonder.GetName];[target_wonder.GetName];[target_wonder.GetName];;[target_wonder.GetName];;;;;;;;x
evt_TITLE_LT_60201;Fountain of Youth;Fontaine de jeunesse;Jungbrunnen;;Fuente de la juventud;;;;;x
evt_TITLE_LT_60301;Evening at the Tavern;Un soir à l'auberge;Ein Abend in der Taverne;;Tarde en la taberna;;;;;;;;;x
EVTDESC_LT_60401;While exploring the depths of the [target_wonder.GetName], both [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] were caught in one of the deadly traps spread within the structure. What we recovered was barely enough to recognize them by...;En explorant les profondeurs de [target_wonder.GetName], [target_courtier.Get_le_TitledName] et [target_courtier_2.Get_le_TitledName] ont été pris dans un des pièges mortels répartis dans la structure. Ce que nous avons récupéré était à peine suffisant pour pouvoir les reconnaître...;Bei der Erforschung der Tiefen von [target_wonder.GetName] wurden sowohl [target_courtier.GetTitledName] als auch [target_courtier_2.GetTitledName] in einer der todbringenden Fallen innerhalb der Struktur gefangen. Was wir bergen konnten, war kaum genug, um sie zu identifizieren ...;;Mientras exploraban las profundidades del/de la [target_wonder.GetName], [target_courtier.GetTitledName] y [target_courtier_2.GetTitledName] cayeron en una de las trampas mortales repartidas por toda la estructura. Lo que recuperamos apenas sirvió para identificarlos.;;;;;;;;;x
EVTDESC_LT_60402;Word has reached me that the traps I installed in the depths of the [target_wonder.GetName] have claimed [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] as victims! Apparently they were both mangled almost past recognition.;J'ai appris que les pièges que j'ai installés dans les profondeurs de [target_wonder.GetName] ont pris la vie [target_courtier.Get_du_TitledName] et [target_courtier_2.Get_du_TitledName] ! Apparemment, ils ont été mutilés au point d'être à peine reconnaissables.;Mich hat die Nachricht erreicht, dass die Fallen, die ich in den Tiefen von [target_wonder.GetName] installiert habe, [target_courtier.GetTitledName] und [target_courtier_2.GetTitledName] als Opfer gefordert haben! Anscheinend waren die Körper beiden beinahe nicht mehr zu identifizieren.;;¡Me han dicho que las trampas que instalé en las profundidades de [target_wonder.GetName] se han cobrado las vidas de [target_courtier.GetTitledName] y [target_courtier_2.GetTitledName]! Al parecer quedaron irreconociblemente destrozados.;;;;;;;;;x
EVTDESC_LT_60501;[target_vassal.GetTitledName], I want to express my admiration and satisfaction in your handling of the [target_wonder.GetName]!\n\nSincerely,\n[target_liege.GetBestName];[target_vassal.GetTitledName], je souhaite vous exprimer ma satisfaction et mon admiration pour la gestion de [target_wonder.GetName] !\n\nCordialement,\n[target_liege.GetBestName];[target_vassal.GetTitledName], ich möchte meine Bewunderung und Zufriedenheit bei Eurem Umgang mit dem [target_wonder.GetName] ausdrücken!\n\nHochachtungsvoll,\n[target_liege.GetBestName];;[target_vassal.GetTitledName], quiero expresar mi admiración y satisfacción por cómo gestionaste el/la [target_wonder.GetName]!\n\nAtentamente,\n[target_liege.GetBestName];;;;;;;;;x
EVTDESC_LT_60502;My liege, the [target_wonder.GetName] is bringing prosperity and fame to the area, and I am grateful that you entrusted such a magnificent structure to my province.\n\nSincerely,\n[target_vassal.GetBestName];M[Root.GetOnA][Root.GetLordLady], [target_wonder.GetName] apporte la prospérité et la renommée à la région, et je vous suis reconnaissant[target_vassal.Get_E] d'avoir confié une structure aussi magnifique à ma province.\n\nCordialement,\n[target_vassal.GetBestName];Mein Lehnsherr, das [target_wonder.GetName] bringt Wohlstand und Ruhm in die Region und ich bin dankbar, dass Ihr meiner Provinz ein so großartiges Bauwerk anvertraut habt.\n\nHochachtungsvoll,\n[target_vassal.GetBestName];;Mi señor, el/la [target_wonder.GetName] trae prosperidad y fama al área y os agradezco que confiarais una estructura tan magnífica a mi provincia.\n\nAtentamente,\n[target_vassal.GetBestName];;;;;;;;;x
EVTDESC_LT_60601;A piece of the [target_wonder.GetName] has fallen off – almost hitting a bystander in the head! Certain areas of the magnificent structure seem to be in dire need of upkeep.;Un morceau de [target_wonder.GetName] est tombé – touchant presque une personne passant par là ! Certaines zones de la magnifique structure semblent avoir un besoin urgent d'entretien.;Ein Stück des [target_wonder.GetName] ist heruntergefallen und hat einen Zuschauer fast am Kopf getroffen! Bestimmte Bereiche des großartigen Bauwerks scheinen dringende Instandhaltung zu benötigen.;;Se ha caído un trozo del/de la [target_wonder.GetName] ¡y casi le da a un transeúnte en la cabeza! Parece que algunas zonas de la magnífica estructura necesitan un mantenimiento urgente.;;;;;;;;;x
EVTDESC_LT_60701;The soothing sounds of the [target_wonder.GetName] embrace me as I walk through the greenery. Reportedly some local herbs have sprouted in the garden, but a secluded patch of grass present an alternative end to this excursion.;Les sons apaisants de [target_wonder.GetName] m'entourent alors que je me promène dans la verdure. Certaines herbes locales ont poussé dans le jardin, mais une petite pelouse isolée constitue une fin alternative à cette excursion.;Die beruhigenden Geräusche von [target_wonder.GetName] umarmen mich, während ich durch das Grün gehe. Berichten zufolge sind im Garten einige einheimische Kräuter gesprossen, die untersucht werden könnten. Ein abgelegenes Stück Gras ist jedoch ebenfalls ein alternatives Ende für diesen Ausflug.;;Los sonidos relajantes del/de la [target_wonder.GetName] me rodean según camino entre la vegetación. Al parecer, algunas hierbas locales han brotado en el jardín, pero un pequeña porción de hierba presenta un final alternativo a esta excursión.;;;;;;;;;x

EVTOPTA_LT_60001;They are welcome to stay in [target_province.GetName]!;Ils sont les bienvenus en [target_province.GetName] !;Sie sind in [target_province.GetName] willkommen!;;¡Son bienvenidos a quedarse en [target_province.GetName]!;;;;;;;;x
EVTOPTA_LT_60101;My scribes will shine with this [target_wonder.GetWonderAdj] construction's help!;Mes scribes vont briller grâce à cette magnifique construction !;Meine Schhreiber werden in diesem [target_wonder.GetWonderAdj] aufblühen!;;¡Mis escribanos deslumbrarán con la ayuda esta construcción [target_wonder.GetWonderAdj]!;;;;;;;;x
EVTOPTA_LT_60201;The years fall off me as I drink.;Les années disparaissent tandis que je bois.;Die Jahre fallen mir ab, während ich trinke.;;Los años se desprenden de mí según bebo.;;;;;x
EVTOPTA_LT_60301;Lead the way!;Allons-y !;Geh vorraus!;;¡Tú guías!;;;;;;;;;x
EVTOPTA_LT_60301_TT;There might be consequences to this;Il pourrait y avoir des conséquences à ce choix...;Dies könnte Konsequenzen haben;;Esto puede tener consecuencias;;;;;;;;;x
EVTOPTA_LT_60302;Pour me another one!;Versez-m'en un autre !;Gießt mir noch eins ein!;;¡Ponme otro!;;;;;;;;;x
EVTOPTA_LT_60401;Curse you, [old_owner.GetFirstName]!;Soyez maudit[old_owner.Get_E], [old_owner.GetFirstName] !;Verflucht seist du, [old_owner.GetFirstName]!;;¡Maldit[old_owner.GetOA] seas, [old_owner.GetFirstName]!;;;;;;;;;x
EVTOPTA_LT_60402;Hah! That's what you get!;Hah ! Voilà ce qui arrive !;Ha! So wie ihr es verdient!;;¡Ja! ¡Es lo que os merecéis!;;;;;;;;;x
EVTOPTA_LT_60501;It's all due to your guidance, my liege.;Je n'ai fait que suivre vos conseils, M[target_liege.GetOnA][target_liege.GetLordLady].;Es ist wegen eurer Führung, mein Lehnsherr.;;Todo gracias a vuestro guía, mi señor.;;;;;;;;;x
EVTOPTA_LT_60502;I am glad!;Je suis satisfait[Root.Get_E] !;Das freut mich!;;¡Me alegro!;;;;;;;;;x
EVTOPTA_LT_60601;Repairs will be started at once!;Les réparations vont commencer sur-le-champ !;Die Reparatur wird sofort beginnen!;;¡Las reparaciones comenzarán de inmediato!;;;;;;;;;x
EVTOPTA_LT_60701;I will get the herbs.;Je vais prendre les herbes.;Ich hole die Kräuter.;;Conseguiré las hierbas.;;;;;;;;;x
EVTOPTA_TT_LT_60101;You encourage your scribes to use the [target_wonder.GetName], guaranteeing a better quality of work;Vous encouragez vos scribes à utiliser le [target_wonder.GetName], garantissant une meilleure qualité de travail.;Ihr ermutigt Eure Schreiber zur Verwendung von [target_wonder.GetName], um eine bessere Arbeitsqualität zu gewährleisten.;;Animas a tus escribanos a usar el/la [target_wonder.GetName] para garantizar una mayor calidad del trabajo.;;;;;;;;x

EVTOPTB_LT_60001;Drive out the rabble and confiscate their possessions!;Chasser la populace et confisquer leurs biens !;Vertreibt den Pöbel und konfisziere ihren Besitz!;;¡Echad a la chusma y confiscad sus posesiones!;;;;;;;;x
EVTOPTB_LT_60201;I've never felt this old before!;Je ne me suis jamais senti[Root.Get_E] aussi v[Root.GetIeuxIeille] !;Ich habe mich noch nie so alt gefühlt!;;¡Nunca me había sentido tan mayor!;;;;;x
EVTOPTB_LT_60301;I am more interested in continuing our discussion.;Je suis plus intéressé[Root.Get_E] à poursuivre notre discussion.;Ich bin mehr daran interessiert, unsere Diskussion fortzusetzen.;;Me interesa más continuar la discusión.;;;;;;;;;x
EVTOPTB_LT_60501;I have done good, haven't I!;J'ai bien fait, n'est-ce pas ?;Das habe ich gut gemacht, nicht wahr?;;Lo he hecho bien, ¿verdad?;;;;;;;;;x
EVTOPTB_LT_60601;Hm, I bet these pieces would fetch a decent price...;Hm, je parie que je pourrai tirer un bon prix de ces morceaux...;Hm ... Diese Stücke würden sicher einen guten Preis erzielen ...;;Seguro que estos pedazos sacan un precio decente…;;;;;;;;;x
EVTOPTB_LT_60701;A restful nap is exactly what I need!;Une bonne sieste est exactement ce dont j'ai besoin !;Ein erholsames Nickerchen ist genau das, was ich brauche!;;¡Lo que necesito es dormir la siesta!;;;;;;;;;x
