#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
EVTDESCHF25217;With a loud thud, [wl_arm_wrestling_winner.GetFirstName] slams my fist against the table, earning a shower of cheers from the other warriors gathered around us. Luckily, [wl_arm_wrestling_winner.GetFirstName] decides to not rub in [wl_arm_wrestling_winner.GetHerHis] victory, and gives me a bit of praise for holding on this much against [wl_arm_wrestling_winner.GetHerHim].;[wl_arm_wrestling_winner.GetFirstName] claque mon poing contre la table et reçoit une pluie d'acclamations de la part des autres guerriers rassemblés autour de nous. Heureusement, [wl_arm_wrestling_winner.GetFirstName] se montre magnanime et me complimente pour avoir tenu aussi longtemps contre [wl_arm_wrestling_winner.GetLuiElle].;Mit einem lauten Knall schlägt [wl_arm_wrestling_winner.GetFirstName] meine Faust auf den Tisch und erntet dadurch den Jubel der anderen Krieger, die sich um uns versammelt haben. Glücklicherweise beschließt [wl_arm_wrestling_winner.GetFirstName] mir nicht [wl_arm_wrestling_winner.GetHerHis]en Sieg unter die Nase zu reiben und gibt mir sogar ein wenig Lob dafür, dass ich so lange gegen [wl_arm_wrestling_winner.Getihnsie] durchgehalten habe.;;Con un fuerte golpe, [wl_arm_wrestling_winner.GetFirstName] me estampa el puño contra la mesa, recibiendo aclamaciones de los guerreros que nos rodean. Por suerte, [wl_arm_wrestling_winner.GetFirstName] decide no hurgar en la herida y me elogia un poco por haber aguantado tanto contra [wl_arm_wrestling_winner.GetElElla].;;;;;;;;x
EVTDESCHF25226;A few of my fellow warriors have been spending the night at the Lodge, playing dice games while drinking. Noticing me watching them, they immediately invite me to join them. Initially, I refuse, but then they start teasing me, insinuating I am afraid of a simple betting game.;Quelques-uns de mes compagnons de guerre ont passé la nuit à la loge à jouer aux jeux de dés et à boire. Me voyant en train de les regarder, ils m'invitent immédiatement à les rejoindre. Au début, je refuse, mais ensuite ils commencent à me taquiner, insinuant que j'ai peur d'un simple jeu de pari.;Einige meiner Kriegerbrüder haben die Nacht in der Loge verbracht und Würfelspiele während des Trinkens gespielt. Als sie merkten, dass ich sie beobachtete, luden sie mich sofort ein ihnen beizuwohnen. Anfangs lehnte ich ab, aber dann fingen sie an mich zu ärgern und unterstellten mir, dass ich Angst vor einem einfachen Würfelspiele habe.;;Unos cuantos de mis colegas guerreros han pasado la noche en la logia jugando a los dados y bebiendo. AL ver cómo les miro, me invitan a unirme a ellos. Al principio me niego, pero empiezan a burlarse de mí, insinuando que me da miedo un simple juego de apuestas.;;;;;;;;x
EVTDESCHF25227;As I take the four-sided die inscribed with the intricate faces of the gods, I am asked how much I wish to bet before starting the game.;Tandis que je prends le dé à quatre faces avec les visages des dieux gravés dessus, on me demande combien je souhaite parier avant de commencer la partie.;Als ich den vierseitigen Würfel nahm, der mit den Gesichtern der Göttern bemalt war, werde ich gefragt, wie ich ich wetten möchte bevor das Spiel startet.;;Al tomar el dado de cuatro caras grabado con las intrincadas caras de los dioses, me preguntan cuánto quiero apostar antes de empezar a jugar.;;;;;;;;x
EVTDESCHF25228;As I take the four-sided die inscribed with the intricate faces of the gods, I wonder who should I put my faith in. Some combinations will reward me more than others, yet they are harder to come by.;Tandis que je prends le dé à quatre faces avec les visages des dieux gravés dessus, je me demande à qui je devrais faire confiance. Certaines combinaisons me récompenseront plus que d'autres, mais elles sont plus difficiles à obtenir.;Als ich den vierseitigen Würfel nahm, der mit den Gesichtern der Göttern bemalt war, fragte ich mich, wem ich meinen Glauben schenken sollte. Einige Kombinationen würden mich mehr belohnen als andere, sind aber auch schwerer zu erreichen.;;Al tomar el dado de cuatro caras grabado con las intrincadas caras de los dioses, me pregunto en quién debería confiar. Algunas combinaciones pagarán más que otras, pero son más difícil que ocurran.;;;;;;;;x
EVTDESCHF25229;Having set all the bets, the warriors gathered around the table incite me to throw the die, eager to see what face will come up.;Après avoir pris tous les paris, les guerriers rassemblés autour de la table m'incitent à lancer le dé, impatients de voir quel visage va apparaître.;Nachdem alle ihre Wetten gesetzt hatten, ermutigen mich die Krieger, die sich um den Tisch versammelt hatten, den Würfel zu werfen, begierig darauf zu sehen, welches Gesicht auftauchen wird.;;Tras hacer las apuestas, los guerreros reunidos alrededor de la mesa me incitan a tirar el dado, ansiosos de ver qué cara saldrá.;;;;;;;;x
EVTDESCHF25230;My attempt to change the regular die with a weighted one did not pass unnoticed. After a bit of squabbling, one of the other fighters manages to pick the die away from me and throws it on the table a few times, revealing my intent.;Ma tentative d'échanger le dé avec un dé truqué n'est pas passée inaperçue. Après un moment de vifs échanges, l'un des autres combattants parvient à me prendre le dé et le jette à plusieurs reprises sur la table, dévoilant ainsi ma ruse.;Mein Versuch den regulären Würfel mit einem gezinkten Würfel auszutauschen ist nicht unbemerkt geblieben. Nach ein paar Streitigkeiten schaffte es einer der anderen Kämpfer mir den Würfel wegzunehmen und wirft ihn einige Male auf den Tisch, um meine Absicht zu enthüllen.;;El intento de cambiar el dado normal por otro cargado no pasa desapercibido. Tras reñir un poco, uno de los otros guerreros consigue quitarme el dado y tirarlo sobre la mesa un par de veces, revelando mi intención.;;;;;;;;x
EVTDESCHF25230_B;My attempt to change the regular die with a weighted one did not pass unnoticed. After a bit of squabbling, [random_society_winner.GetBestName] manages to pick the die away from me and throws it on the table a few times, revealing my intent and calling me a cheater.;Ma tentative de remplacer le dé par un dé truqué n'est pas passée inaperçue. Après un moment de vifs échanges, [random_society_winner.Get_only_le_Title][random_society_winner.GetBestName] parvient à me prendre le dé et à le lancer sur la table plusieurs fois, révélant mon intention et me traitant de tricheu[Root.GetRSe].;Mein Versuch den regulären Würfel mit einem Gewichteten zu verändern ist nicht unbemerkt geblieben. Nach einigen Streitigkeiten schaffte es [random_society_winner.GetBestName] mir den Würfel wegzunehmen, ihn einige Male auf den Tisch zu werfen und so meine Absichten als Betrüger zu enthüllen.;;El intento de cambiar el dado normal por otro cargado no pasa desapercibido. Tras reñir un poco, [random_society_winner.GetBestName] consigue quitarme el dado y tirarlo sobre la mesa un par de veces, revelando mi intención y llamándome trampos[Root.GetOA].;;;;;;;;x
EVTDESCHF25231;Was there any doubt that [Root.GetWLDieBetName] would come up when I am using my lucky die? A chorus of cheers and groans accompany the result of the game and money is exchanged.;Y avait-il le moindre doute que [Root.GetWLDieBetName] n'apparaisse pas alors que j'utilise mon dé truqué ? Des hourras et des gémissements accompagnent l'issue du jeu, et de l'argent est échangé.;Gab es auf nur irgendwelche Zweifel, dass [Root.GetWLDieBetName] auftauchen würde, nachdem ich meine Glückswürfel benutzt hatte? Jubel, gefolgt von Stöhnen, begleitet das Ergebnis des Spiels und Geld wechselt seinen Besitzer.;;¿Había alguna duda que aparecería [Root.GetWLDieBetName] usando mi dado de la suerte?;;;;;;;;x
EVTDESCHF25232;Unfortunately, I was too indiscreet with my leg, and several warriors noticed my attempt to move the die after it was cast. After a bit of squabbling, I am forced to accept defeat and pay up.;Malheureusement, je n'ai pas été assez discr[Root.GetEtEte] avec ma jambe, et plusieurs guerriers ont remarqué ma tentative d'orienter le dé après son lancement. Après un moment de vifs échanges, je suis forcé[Root.Get_E] d'accepter la défaite et de payer.;Bedauerlicherweise war ich mit meinem Bein zu indiskret und einige Krieger bemerkten meinen Versuch den Würfel nach dem Wurf noch zu bewegen. Nach einigen Streitigkeiten musste ich mich geschlagen geben und zahlen.;;Por desgracia, no fui lo bastante discret[Root.GetOA] con la pierna y muchos guerreros vieron mi intento de mover el dado después de lanzarlo. Tras reñir un rato, tuve que admitir la derrota y pagar.;;;;;;;;x
EVTDESCHF25232_B;Unfortunately, I was too indiscreet with my leg, and several warriors noticed my attempt to move the die after it was cast. After a bit of squabbling, I am forced to accept defeat and recognize that [random_society_winner.GetBestName] has won the bet.;Malheureusement, je n'ai pas été assez discr[Root.GetEtEte] avec ma jambe, et plusieurs guerriers ont remarqué ma tentative d'orienter le dé après son lancement. Après un moment de vifs échanges, je suis forcé[Root.Get_E] d'accepter la défaite et de reconnaître que [random_society_winner.Get_only_le_Title][random_society_winner.GetBestName] a gagné le pari.;Leider war ich mit meinem Bein zu indiskret und einige Krieger bemerkten meinen Versuch den Würfel noch nach dem Wurf zu bewegen. Nach einigen Streitigkeiten bin ich gezwungen die Niederlage zu akzeptieren und [random_society_winner.GetBestName] als Gewinner anzuerkennen.;;Por desgracia, no fui lo bastante discret[Root.GetOA] con la pierna y muchos guerreros vieron mi intento de mover el dado después de lanzarlo. Tras reñir un rato, tuve que admitir la derrota y reconocer que [random_society_winner.GetBestName] había ganado la apuesta.;;;;;;;;x
EVTDESCHF25233;Despite the other warriors not noticing me kneeing the table, fate played me for a fool and I ended up accidentally pushing the die away from [Root.GetWLDieBetName], much to my disappointment.;Bien que les autres guerriers ne se soient pas aperçus de mes coups de genoux sous sur la table, le destin m'a joué un mauvais tour et j'ai fini par éloigner accidentellement le dé de [Root.GetWLDieBetName], à ma grande déception.;Obwohl die anderen Krieger nicht bemerkt haben, dass ich mit dem Knie unter den Tisch geschlagen habe, hielt mich das Schicksal zum Narren und ich landete zu meiner Enttäuscht auf dem Gesicht von [Root.GetWLDieBetName].;;Aunque los otros guerreros no notaron el golpe a la mesa, el destino me dejó como un idiota porque acabé apartando el dado de [Root.GetWLDieBetName] para mi propia decepción.;;;;;;;;x
EVTDESCHF25233_B;Despite the other warriors not noticing me kneeing the table, fate played me for a fool and I ended up accidentally pushing the die away from [Root.GetWLDieBetName], much to my disappointment. [random_society_winner.GetBestName] smiles triumphantly, crossing [random_society_winner.GetHerHis] arms and demanding me to pay up.;Bien que les autres guerriers ne se soient pas aperçus de mes coups de genoux sous la table, le destin m'a joué un mauvais tour et j'ai fini par éloigner accidentellement le dé de [Root.GetWLDieBetName], à ma grande déception. [random_society_winner.Get_only_Le_Title][random_society_winner.GetBestName] sourit triomphalement, croisant les bras et me demandant de payer.;Obwohl die anderen Krieger nicht bemerkten, dass ich mit meinem Knie unter den Tisch gehauen habe, hielt mich das Schicksal zum Narren und der Würfel drehte sich nach meinem Stoß von [Root.GetWLDieBetName] weg. [random_society_winner.GetBestName] lachte triumphierend und forderte mich auf zu zahlen.;;Aunque los otros guerreros no notaron el golpe a la mesa, el destino me dejó como un idiota porque acabé apartando el dado de [Root.GetWLDieBetName] para mi propia decepción. [random_society_winner.GetBestName] sonríe triunfante, cruza los brazos y me pide que pague.;;;;;;;;x
EVTDESCHF25234;With just a little help, my die rolled exactly as I hoped it would, landing to show [Root.GetWLDieBetName]. A chorus of cheers and groans accompany the result of the game and money is exchanged.;Avec juste un peu d'aide, mon dé a roulé exactement comme je l'espérais, finissant par montrer [Root.GetWLDieBetName]. Des hourras et des gémissements accompagnent l'issue du jeu, et de l'argent est échangé.;Mit ein wenig Hilfe rollte mein Würfel genauso, wie ich es mir erhofft hatte und landete auf [Root.GetWLDieBetName]. Jubel, gefolgt von Stöhnen, begleitet das Ergebnis des Spiels und Geld wechselt seinen Besitzer.;;Con un poquito de ayuda, el dado salió exactamente como esperaba, mostrando a [Root.GetWLDieBetName]. Un coro de vítores y quejas acompañaron el resultado de la partida y el dinero cambia de manos.;;;;;;;;x
EVTDESCHF25235;A moment of silence falls upon our group as the die rolls from my hand and bounces a few times on the table, rolling to a halt to show the face of [Root.GetWLDieName].;Un moment de silence tombe sur notre groupe alors que le dé jaillit de ma main et rebondit quelques fois sur la table, avant de s'arrêter pour montrer le visage de [Root.GetWLDieName].;Ein Moment der Stille tritt ein, als der Würfel aus meiner Hand rollt, ein paar Mal auf dem Tisch springt, schließlich zum Stillstand kommt und das Gesicht von [Root.GetWLDieName] anzeigt.;;Un momento de silencio cae en el grupo cuando el dado sale de mi mano y rebota un par de veces sobre la mesa, rodando hasta mostrar la cara de [Root.GetWLDieName].;;;;;;;;x
EVTDESCHF25235_B;A moment of silence falls upon our group as the die rolls from my hand and bounces a few times on the table, rolling to a halt to show the face of [Root.GetWLDieName]. As the realization catches [random_society_winner.GetHerHim], [random_society_winner.GetBestName] cheers triumphantly, immediately asking me for [random_society_winner.GetHerHis] money.;Un moment de silence tombe sur notre groupe alors que le dé jaillit de ma main et rebondit quelques fois sur la table, avant de s'arrêter pour montrer le visage de [Root.GetWLDieName]. Lorsqu'[random_society_winner.GetIlElle] le réalise, [random_society_winner.Get_only_le_Title][random_society_winner.GetBestName] applaudit triomphalement et me demande immédiatement l'argent.;Stille umgibt unseren Tisch, als der Würfel aus meiner Hand rollt, ein paar Mal auf den Tisch springt und schließlich auf dem Gesicht von [Root.GetWLDieName] zum Stillstand kommt. Als [random_society_winner.GetBestName] schließlich  [random_society_winner.GetHerHis]en Sieg erkannte, jubelte  [random_society_winner.GetSheHe] triumphierend und verlangte sofort [random_society_winner.GetHerHis] Geld.;;Un momento de silencio cae en el grupo cuando el dado sale de mi mano y rebota un par de veces sobre la mesa, rodando hasta mostrar la cara de [Root.GetWLDieName]. Cuando [random_society_winner.GetBestName] se da cuenta, grita triunfante y me pide el dinero de inmediato.;;;;;;;;x
EVTDESCHF25236;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName].;Après que l'argent des premiers paris change de mains, je prends le dé et le jette de nouveau, en essayant de le lancer exactement de la même manière. Le dé roule sur la table et s'arrête finalement, montrant le visage de [Root.GetWLDieName].;Nachdem das Geld aus der ersten Wette die Besitzer gewechselt hatte, hebe ich den Würfel auf und werfe ihn erneut, genauso wie vorher auch. Der Würfel rollt um den Tisch herum und stoppt schließlich auf dem Gesicht von [Root.GetWLDieName].;;Cuando el dinero de las primeras apuestas cambia de manos, tomo el dado y lo vuelvo a tirar, intentando que salga exactamente como la otra vez. El dado rueda por la mesa hasta que para, mostrando la cara de [Root.GetWLDieName].;;;;;;;;x
EVTDESCHF25236_B;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName]. As the realization catches [random_society_winner.GetHerHim], [random_society_winner.GetBestName] cheers triumphantly, immediately asking me for [random_society_winner.GetHerHis] money.;Après que l'argent des premiers paris change de mains, je prends le dé et le jette de nouveau, en essayant de le lancer exactement de la même manière. Le dé roule sur la table et s'arrête finalement, montrant le visage de [Root.GetWLDieName]. Lorsqu'[random_society_winner.GetIlElle] le réalise, [random_society_winner.Get_only_le_Title][random_society_winner.GetBestName] applaudit triomphalement et me demande immédiatement l'argent.;Nachdem das Geld aus der ersten Wette die Hände gewechselt hat, hob ich den Würfel erneut auf und werfe ihn genauso wie beim ersten Mal. Der Würfel rollt um den Tisch herum und hält schließlich auf dem Gesicht von [Root.GetWLDieName] an. Als [random_society_winner.GetBestName] schließlich  [random_society_winner.GetHerHis]en Sieg erkannte, jubelte  [random_society_winner.GetSheHe] triumphierend und verlangte sofort [random_society_winner.GetHerHis] Geld.;;Cuando el dinero de las primeras apuestas cambia de manos, tomo el dado y lo vuelvo a tirar, intentando que salga exactamente como la otra vez. El dado rueda por la mesa hasta que para, mostrando la cara de [Root.GetWLDieName]. Cuando [random_society_winner.GetBestName] se da cuenta, grita triunfante y me pide el dinero de inmediato.;;;;;;;;x
EVTDESCHF25236_C;After the money from the first bets exchanges hands, I pick up the die and cast it again, trying to throw it exactly in the same way. The die rolls around the table and finally stops, showing the face of [Root.GetWLDieName]. As the realization catches him, one of the other warriors cheers triumphantly, immediately asking me for his money.;Après que l'argent des premiers paris change de mains, je prends le dé et le jette de nouveau, en essayant de le lancer exactement de la même manière. Le dé roule sur la table et s'arrête finalement, montrant le visage de [Root.GetWLDieName]. Lorsqu'il le réalise, un des guerriers applaudit triomphalement, me demandant immédiatement son argent.;Als er schließlich seinen Sieg erkannte, jubelte einer der Krieger triumphierend und verlangte sofort sein Geld.;;Cuando el dinero de las primeras apuestas cambia de manos, tomo el dado y lo vuelvo a tirar, intentando que salga exactamente como la otra vez. El dado rueda por la mesa hasta que para, mostrando la cara de [Root.GetWLDieName]. Cuando uno de los guerreros se da cuenta, grita triunfante y me pide el dinero de inmediato.;;;;;;;;x
EVTDESCHF25237;I confidently throw my lucky die a second time and to the chagrin of all the other warriors, collect all bets a second time.;Je lance en toute confiance mon dé truqué une seconde fois et, au grand dam de tous les autres guerriers, ramasse tous les paris une seconde fois.;Ich werfe meinen Glückswürfel mit Zuversicht ein zweites Mal und sammel zum Leidwesen aller anderen Krieger auch alle Wetten ein zweites Mal ein.;;Tiro de nuevo con confianza y, para disgusto de los demás guerreros, gano todas las apuestas por segunda vez.;;;;;;;;x
EVTDESCHF25238;I let the die bounce on the table twice and, just as it is about to stop, I give a little nudge to the table, ensuring my victory a second time.;Je laisse le dé rebondir sur la table deux fois et, juste au moment où il s'arrête, je donne un petit coup de coude à la table, assurant la victoire une seconde fois.;Ich lasse den Würfel zweimal auf den Tisch hüpfen und gerade als er aufhören will, gebe ich dem Tisch einen kleinen Schubs, um meinen Sieg erneut zu sichern.;;Dejo que el dado rebote sobre la mesa y cuando está a punto de parar, le doy un empujoncito a la misma, asegurándome la victoria una segunda vez.;;;;;;;;x
EVTDESCHF25239;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, I had managed to empty [From.GetHerHis] purse quite a bit.;[From.Get_only_Le_Title][From.GetBestName] et moi avons passé hier soir à jouer aux dés avec d'autres guerriers dans la grande salle. La chance ne lui a pas souri, et à la fin de la nuit, j'avais réussi à vider sa bourse.;[From.GetBestName] und ich verbrachten die letzte Nacht mit Würfelspielen mit einigen der anderen Krieger in der Haupthalle. Das Glück war [From.GetFirstName] nicht hold und so schaffte ich es zum Ende der Nacht [From.GetHerHis]en Geldbeutel größtenteils zu leeren.;;[From.GetBestName] y yo pasamos la noche jugando a los dados con otros guerreros en el salón principal. La fortuna no sonríe a [From.GetFirstName] y al acabar la noche he conseguido aligerarle un poco la bolsa.;;;;;;;;x
EVTDESCHF25240;[From.GetBestName] and I spent last evening playing dice games with some of the other warriors in the main hall. Fortune did not smile to [From.GetFirstName], and by the end of the night, [From.GetSheHe] begged me to call in the favor I owned [From.GetHerHim], just to avoid paying all of the debt [From.GetSheHe] had accumulated.;[From.Get_only_Le_Title][From.GetBestName] et moi avons passé hier soir à jouer aux dés avec d'autres guerriers dans la grande salle. La chance ne lui a pas souri, et à la fin de la nuit, [From.GetIlElle] m'a supplié de lui rendre la faveur que je lui devais, afin d'éviter de payer la totalité de la dette qu'[From.GetIlElle] avait accumulée.;[From.GetBestName] und ich verbrachten die letzte Nacht mit Würfelspielen mit einigen der anderen Krieger in der Haupthalle. Das Glück war [From.GetFirstName] nicht hold und so forderte [From.GetSheHe] am Ende der Nacht den Gefallen ein, den ich [From.GetHerHim] schuldete, nur um zu vermeiden, dass [From.GetSheHe] die angehäuften Schulden begleichen muss.;;[From.GetBestName] y yo pasamos la noche jugando a los dados con otros guerreros en el salón principal. La fortuna no sonríe a [From.GetFirstName] y al acabar la noche me ruega cobrarme el favor que le debo, para no tener que pagar la deuda que ha acumulado.;;;;;;;;x
