envious_desc;This character is envious, the sixth deadly sin - 'Invidia'.;L'envie, 'invidia' en latin, est le sixième péché capital.;Dieser Charakter wird vom Neid verzehrt - "Invidia", der sechsten Todsünde;;Este personaje es envidioso y comete el sexto pecado capital: 'invidia'.;;;;;;;;;x
excommunicated;Excommunicated;Excommunication;Exkommuniziert;;Excomulgado;;;;;;;;;x
excommunicated_desc;This character has been excommunicated - excluded from the Church - a terrible stain on honor and respectability.;Ce personnage a été exclu de l'Église, ce qui a sérieusement entaché son honneur et sa respectabilité.;Dieser Charakter wurde exkommuniziert, also aus der Kirche ausgeschlossen. Dies liegt wie ein schwerer Schatten auf seiner Ehre.;;Este personaje ha sido excomulgado (excluido de la Iglesia), una mancha terrible para su honor y reputación.;;;;;;;;;x
fair;Attractive;Beauté;Attraktiv;;Atractivo;;;;;;;;;x
fair_desc;This character has a most pleasing physique, most attractive to the opposite sex.;Ce personnage possède un physique avantageux qui le rend extrêmement attirant pour le sexe opposé.;Dieser Charakter ist gar hübsch anzusehen und erfreut sich beim anderen Geschlecht größter Beliebtheit.;;Este personaje tiene un físico bastante agradable y resulta de lo más atractivo para el sexo opuesto.;;;;;;;;;x
falconer;Falconer;Fauconnier;Falkner;;Cetrero;;;;;;;;;x
falconer_desc;This character is an avid falconer - a well respected pastime.;Ce personnage est un fauconnier passionné, un passe-temps très respecté.;Dieser Charakter ist ein begeisterter Falkner - ein sehr angesehener Zeitvertreib.;;Este personaje es un cetrero incansable, un pasatiempo más que respetado.;;;;;;;;;x
familial_kinslayer;Familial Kinslayer;Parricide familial;Familienmörder;;Matafamiliares;;;;;;;;;x
familial_kinslayer_desc;This character is known to have slain a member of their extended family - they are surely cursed for their disgraceful actions.;Ce personnage est connu pour avoir tué un membre de sa famille élargie - il est sûrement maudit pour son action déshonorante.;Von diesem Charakter ist bekannt, dass er ein Mitglied seiner Familie getötet hat. Er ist wahrlich verflucht für diese schändliche Handlung.;;Este personaje tiene fama de haber matado a un miembro de su clan familiar. Seguro que está maldito por su acción vergonzosa.;;;;;;;;;x
flamboyant_schemer;Flamboyant Schemer;Intrigant flamboyant;Unnachahmlicher Ränkeschmied;;Maquinador brillante;;;;;;;;;x
flamboyant_schemer_desc;Flamboyant Schemers thrive on court intrigue and fancy themselves masters of the trade. However, their lack of secrecy tends to endanger even their best efforts.;Ce personnage se délecte des intrigues de la Cour, mais son manque de discrétion a une fâcheuse tendance à nuire aux efforts qu'il déploie.;Unnachahmliche Ränkeschmieder blühen bei Hofintrigen auf und halten sich selbst für Meister ihres Faches. Ihre fehlende Geheimnishaltung gefährdet aber selbst ihre besten Versuche.;;Las intrigas en la corte son el pan de cada día de los maquinadores brillantes, orgullosos de ser maestros en este arte. Sin embargo, su falta de discreción sabotea incluso sus mejores esfuerzos.;;;;;;;;;x
fortune_builder;Fortune Builder;Bâtisseur de fortunes;Karrierekaufmann ;;Creador de fortuna;;;;;;;;;x
fortune_builder_desc;The Fortune Builder came out of adolescence armed with a well honed business sense, determined to live a life of luxury.;Ce personnage a reçu une éducation axée sur l'administration. Il est doué pour les affaires et pour faire fortune.;Der Karrierekaufmann wuchs mit einem feingeschliffenen Geschäftssinn auf und ist entschlossen, ein luxuriöses Leben zu führen.;;El creador de fortuna despertó de la adolescencia con un buen olfato para los negocios, determinado a vivir una vida de lujos.;;;;;;;;;x
gardener;Gardener;Jardinier;Gärtner;;Jardinero;;;;;;;;;x
gardener_desc;This character likes nothing better than to putter away in the garden, growing herbs and exotic fruit trees.;Ce personnage n'a pas son pareil pour travailler la terre, faire pousser des herbes et des arbres fruitiers exotiques.;Nichts macht dieser Charakter lieber, als im Garten zu werkeln, Kräuter zu pflanzen und exotische Obstbäume zu ziehen.;;A este personaje no hay cosa que le guste más que vagar por el jardín, cultivando plantas y árboles de frutas exóticas.;;;;;;;;;x
genius;Genius;Génie;Genius;;Genio;;;;;;;;;x
genius_desc;This character is blessed with a towering intellect.;Ce personnage est extrêmement intelligent.;Dieser Charakter ist mit überlegenem Intellekt gesegnet.;;A este personaje se le ha bendecido con un intelecto sobresaliente.;;;;;;;;;x
gluttonous;Gluttonous;Gourmandise;Gefräßig;;Glotón;Avidità;;;;;;;;x
gluttonous_desc;Gluttony, or 'Gula', is the second deadly sin and lacks positive effects. The Church despises gluttons, and so do members of the opposite sex.;La gourmandise, 'gula' en latin, est le deuxième péché capital. Aucune vertu ne la rachète puisqu'à la fois les religieux et le sexe opposé la trouvent répugnante.;Völlerei, oder "Gula", ist die zweite Todsünde und hat keine positiven Effekte. Sie wird von der Kirche und vom anderen Geschlecht verachtet.;;La glotonería o 'gula' es el segundo pecado capital y carece de efectos positivos. La Iglesia aborrece a los glotones, así como los miembros del sexo opuesto.;;;;;;;;;x
greedy;Greedy;Avarice;Gierig;;Avaricioso;;;;;;;;;x
greedy_desc;The character is infamously greedy. 'Avaritia', the third deadly sin, while not respected, does help squeeze out some extra tax income.;Ce personnage est notoirement radin. L'avarice, 'avaritia' en latin, est le troisième péché capital. Parfait percepteur, il ne force pas le respect.;Dieser Charakter ist für seine Gier berüchtigt, also "Avaritia", die dritte Todsünde. Er wird zwar nicht geschätzt, kann aber für zusätzliche Steuereinnahmen sorgen.;;El personaje es vergonzosamente codicioso. 'Avaritia' es el tercer pecado capital y, aunque no está bien visto, siempre viene bien para obtener unos ingresos extra.;;;;;;;;;x
gregarious;Gregarious;Sociabilité;Gesellig;;Sociable;;;;;;;;;x
gregarious_desc;This character is gregarious and socially competent.;Ce personnage est sympathique et agréable en société.;Dieser Charakter ist gesellig und sozial kompetent.;;Este personaje es sociable y se desenvuelve bien con la gente.;;;;;;;;;x
grey_eminence;Grey Eminence;Éminence grise;Graue Eminenz;;Eminencia gris;;;;;;;;;x
grey_eminence_desc;The Grey Eminence is the epitome of statesmanship having fully mastered the art of diplomacy.;Ce personnage est un fin politicien doublé d'un expert en diplomatie.;Die graue Eminenz ist der Inbegriff der Staatskunst und beherrscht die Kunst der Diplomatie bis ins letzte Detail.;;Una eminencia gris es el modelo ideal de político que domina el arte de la diplomacia.;;;;;;;;;x
harelip;Harelip;Bec-de-lièvre;Hasenscharte ;;Labio leporino;;;;;;;;;x
harelip_desc;This character was born with a harelip - a less than charming trait.;Ce personnage est né avec un bec-de-lièvre, un trait jugé particulièrement peu attirant.;Dieser Charakter wurde mit einer Hasenscharte geboren, einer nicht besonders reizvollen Eigenschaft.;;Este personaje nació con labio leporino, un rasgo de lo menos encantador.;;;;;;;;;x
has_bubonic_plague;The Plague;Peste;Pest;;Peste;;;;;;;;;x
has_bubonic_plague_death;of the dreaded Plague;de la peste bubonique;an der Pest;;de la temida plaga;;;;;;;;;x
has_bubonic_plague_desc;This character has the dreaded Bubonic Plague.;Ce personnage est atteint d'un terrible mal appelé peste bubonique.;Dieser Charakter hat die gefürchtete Beulenpest.;;Este personaje tiene la temida peste bubónica.;;;;;;;;;x
has_measles;Measles;Rougeole;Masern;;Sarampión;;;;;;;;;x
has_measles_death;of the Measles;de la rougeole;an Masern;;del sarampión;;;;;;;;;x
has_measles_desc;This character has contracted the Measles, a fairly dangerous type of pox.;Ce personnage est atteint d'un terrible mal appelé rougeole.;Dieser Charakter hat die Masern, eine ziemlich gefährliche Pockenart.;;Este personaje ha contraído el sarampión, un tipo de viruela peligroso.;;;;;;;;;x
has_small_pox;Smallpox;Variole;Blattern;;Viruela;;;;;;;;;x
has_small_pox_death;of Smallpox;de la variole;an Pocken;;de la viruela;;;;;;;;;x
has_small_pox_desc;This character has the dreaded Smallpox, which kills almost half of those infected.;Ce personnage est atteint d'un terrible mal appelé variole.;Dieser Charakter hat die gefürchteten Blattern, an denen fast die Hälfte der Erkrankten stirbt.;;Este personaje tiene la temida viruela, enfermedad que ha matado a casi la mitad de los infectados.;;;;;;;;;x
has_tuberculosis;Consumption;Consomption;Schwindsucht;;Tisis;;;;;;;;;x
has_tuberculosis_death;of Consumption;de la consomption;an Schwindsucht;;de tisis;;;;;;;;;x
has_tuberculosis_desc;This character is wracked with the bloody cough known as consumption (i.e. Tuberculosis).;Ce personnage souffre d'une toux sanguinolente appelée la consomption (ou tuberculose).;Dieser Charakter wird vom blutigen Husten geplagt, der Schwindsucht (Tuberkulose).;;Este personaje padece de la tos sangrienta conocida como tisis (tuberculosis).;;;;;;;;;x
has_typhoid_fever;Has Slow Fever;A la fièvre lente;Hat schleichendes Fieber;;Padece de fiebre lenta;;;;;;;;;x
has_typhoid_fever_death;of the Slow Fever;de la fièvre lente;an Mittelmeerfieber;;de la fiebre lenta;;;;;;;;;x
has_typhoid_fever_desc;This character suffers from the terrible disease known as the Slow Fever (Typhoid Fever).;Ce personnage est atteint d'un terrible mal appelé fièvre lente (ou fièvre typhoïde).;Dieser Charakter leidet am fürchterlichen schleichenden Fieber (Typhus).;;Este personaje padece de la terrible enfermedad conocida como la fiebre lenta (fiebre tifoidea).;;;;;;;;;x
has_typhus;Camp Fever;Fièvre des camps;Lagerfieber;;Tifus;;;;;;;;;x
has_typhus_death;of Camp Fever;de la fièvre des camps;an Fleckfieber;;de la fiebre del Campo;;;;;;;;;x
has_typhus_desc;This character is inflicted with the plague known as Camp Fever (Epidemic Typhus).;Ce personnage est atteint d'un terrible mal appelé la fièvre des camps (typhus épidémique);Dieser Charakter ist vom Lagerfieber (Fleckfieber) betroffen.;;Este personaje tiene el tifus, también conocido como tifoidea (tifus endémico.);;;;;;;;;x
hedonist;Hedonist;Hédonisme;Hedonist;;Hedonista;;;;;;;;;x
hedonist_desc;This character has chosen to lead a life of debauchery and sin. The Church is unlikely to approve...;Ce personnage a opté pour une vie de débauche et de péché, ce que l'Église désapprouve.;Dieser Charakter hat sich für ein ausschweifendes und sündiges Leben entschieden. Die Kirche wird ihm nicht wohlgesonnen sein ...;;Este personaje ha elegido llevar una vida de libertinaje y pecado. Es poco probable que la Iglesia lo acepte...;;;;;;;;;x
homosexual;Homosexual;Homosexualité;Homosexuell;;Homosexual;;;;;;;;;x
homosexual_desc;This character is a bit queer...;Ce personnage ne s'intéresse guère au sexe opposé.;Dieser Charakter ist schwul.;;Este personaje es algo extravagante...;;;;;;;;;x
honest;Honest;Honnêteté;Ehrlich;;Honrado;Onestà;;;;;;;;x
honest_desc;Lies do not come easily to this character, who values truth above all else. It is not a good trait for spymasters and plotters, but is respected among diplomats.;Ce personnage ne sait pas mentir et n'aime pas ça. Il fait un piètre maître-espion ou comploteur. En revanche, les diplomates apprécient ce trait.;Lügen kommen diesem Charakter nicht leicht über die Lippen, denn er schätzt die Wahrheit über alles. Dies ist keine gute Eigenschaft für Hofspitzel und Verschwörer, dafür aber unter Diplomaten geschätzt.;;Rara vez mentirá este personaje, ya que valora la verdad ante todo. No es un buen rasgo para un jefe de espías o un complotador, pero se respeta entre los diplomáticos.;;;;;;;;;x
horse_death;horsing around;en galopant;im Galopp;;Haciendo el tonto;;;;;;;;;x
humble;Humble;Humilité;Bescheiden;;Humilde;Umiltà;;;;;;;;x
humble_desc;Humility, or 'Humilitas', is the seventh virtue and the opposite of Pride. Humble characters gain [Player.Religion.GetPietyName] where the proud gain Prestige. Humble characters tend to dislike prideful ones.;L'humilité, 'humilitas' en latin, est la septième vertu. L'humble travaille dur pour améliorer sa [Player.Religion.GetPietyName] et a tendance à ne pas apprécier l'orgueilleux.;Bescheidenheit oder "Humilitas" ist die siebte Tugend und das Gegenteil von Stolz. Bescheidene Charaktere erlangen [Player.Religion.GetPietyName], die stolzen Prestige. Bescheidene Charaktere tendieren zur Verachtung von stolzen Charakteren.;;La humildad o 'humilitas' es la séptima virtud opuesta al orgullo. Los personajes humildes ganan [Player.Religion.GetPietyName], mientras que los orgullosos obtienen prestigio. Los primeros suelen rechazar a los últimos.;;;;;;;;;x
hunchback;Hunchback;Bossu;Bucklig;;Jorobado;Gobba;;;;;;;;x
hunchback_desc;This character is cursed with a humpback, which is despised by vassals and ugly in the eyes of the opposite sex.;Ce personnage possède une grosse bosse dans le dos. Les vassaux méprisent les bossus et ceux-ci n'ont aucun succès auprès du sexe opposé.;Dieser Charakter wird von einem Buckel geplagt, den Vasallen verachten und das andere Geschlecht hässlich findet.;;La condena de este personaje es ser jorobado, algo que los vasallos desprecian y desagrada al sexo opuesto.;;;;;;;;;x
hunter;Hunter;Chasseur;Jäger;;Cazador;;;;;;;;;x
hunter_desc;This character only feels truly alive when killing God's little creatures.;Ce personnage aime par-dessus tout tuer les petites créatures de Dieu.;Dieser Charakter fühlt sich nur dann wirklich lebendig, wenn er Gottes kleine Kreaturen tötet.;;Este personaje solo se siente vivo matando pequeñas criaturas de Dios.;;;;;;;;;x
ill;Ill;Maladie;Krank;;Enfermo;;;;;;;;;x
ill_death;after a period of illness;d'une grave maladie;nach einer Zeit der Krankheit;;después de un período de enfermedad;;;;;;;;;x
ill_desc;Illness plagues this character. It could be serious... or just a nasty cold.;Ce personnage est souffrant. Il peut s'agir d'un mauvais rhume ou d'une maladie beaucoup plus grave.;Dieser Charakter wird von einer Krankheit geplagt. Es könnte ernst sein ... oder einfach nur eine garstige Erkältung.;;La enfermedad se apodera de este personaje. Podría ser algo serio... o algo tan simple como un mal catarro.;;;;;;;;;x
imbecile;Imbecile;Imbécilité;Schwachkopf;;Imbécil;;;;;;;;;x
imbecile_desc;This character is a drooling imbecile.;Ce personnage est un triple idiot.;Dieser Charakter ist ein geifernder Schwachkopf.;;Este personaje es un imbécil de los que babean.;;;;;;;;;x
impaler;Impaler;Empaleur;Pfähler;;Empalador;;;;;;;;;x
impaler_desc;This depraved character likes to spend the nights in the dungeon, inventing new ways of torturing unfortunate victims.;Ce personnage dépravé passe ses nuits dans le donjon à inventer de nouveaux moyens de torturer ses malheureux prisonniers.;Dieser verkommene Charakter bringt die Nächte gerne im Kerker zu und erfindet neue Möglichkeiten zum Foltern seiner unglückseligen Opfer.;;A este personaje depravado le gusta pasar las noches en la mazmorra ideando nuevas forma de torturar a sus desgraciadas víctimas.;;;;;;;;;x
inbred;Inbred;Consanguinité;Inzüchtig;;Endogámico;Tare ereditarie;;;;;;;;x
inbred_death;an inbred freak;de sa consanguinité;als Missgeburt durch Inzucht;;un monstruo de endogamia;;;;;;;;;x
inbred_desc;This poor character suffers from the effects of inbreeding, leading to disfigurement, mental retardation and probable sterility.;Ce personnage est le fruit d'une union consanguine. Il peut s'agir d'une personne défigurée, handicapée mentale ou stérile.;Dieser bemitleidenswerte Charakter leidet an den Effekten der Inzucht, die zu Entstellungen, geistiger Behinderung und wahrscheinlich zu Unfruchtbarkeit führen.;;Este pobre personaje sufre las consecuencias de la endogamia: deformidad, retraso mental y, probablemente, esterilidad.;;;;;;;;;x
incapable;Incapable;Incapacité;Unfähig;;Inútil;Incapacità;;;;;;;;x
incapable_death;comatose in bed;dans un profond coma;komatös im Bett;;en estado de coma en la cama;;;;;;;;;x
incapable_desc;Due to advanced age, head injury or other mental disabilities, this character is not fit for any kind of work. Incapable rulers must employ a regent.;A cause d'un âge avancé, d'une blessure à la tête ou d'une autre incapacité mentale, ce personnage n'est pas capable du moindre travail et doit se faire remplacer par un régent.;Aufgrund fortgeschrittenen Alters, einer Kopfverletzung oder anderen geistigen Behinderungen kann dieser Charakter keinerlei Aufgaben übernehmen. Unfähige Herrscher müssen einen Regenten bestellen.;;La edad avanzada, las lesiones en la cabeza y las enfermedades mentales incapacitan a este personaje para cualquier tipo de trabajo. Los soberanos incapaces deben recurrir a un regente.;;;;;;;;;x
indulgent_wastrel;Indulgent Wastrel;Vaurien indulgent;Ausschweifender Verschwender;;Derrochador indulgente;;;;;;;;;x
indulgent_wastrel_desc;The Indulgent Wastrel was groomed to become good with money, and if good means spending it quickly, the Indulgent Wastrel certainly is.;Ce personnage a reçu une éducation axée sur l'administration, mais n'a rien appris. La seule chose qu'il sache faire avec l'argent, c'est le dilapider.;Der gute Umgang mit Geld wurde dem ausschweifenden Verschwender in die Wiege gelegt. Wenn "gut" bedeutet, es schnell auszugeben, dann ist er ein Meister seines Faches.;;El derrochador indulgente es un especialista en manejar bien el dinero, y si por bien entendemos gastarlo rápidamente, este personaje cumple su cometido.;;;;;;;;;x
infection;Infection;Infection;Infektion;;Infección.;;;;;;;;;x
infection_death;of an infected wound;d'une blessure infectée;an einer entzündeten Wunde;;de una herida infectada;;;;;;;;;x
