obj_amass_wealth_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.Get_Le_TitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_become_king_tip;Is [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Est [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];Ist [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Es [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Devenir [Root.GetKingQueen] [This.Capital.Kingdom.Get_du_Realm];Werdet [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
obj_become_marshal_desc;[This.GetTitledFirstName] dreams of leading troops in the service of [This.GetPossPronoun] liege.;[This.Get_Le_TitledFirstName] rêve de mener des troupes au service de son seigneur lige.;[This.GetTitledFirstName] träumt davon, Truppen im Dienste [This.GetPossPronoun]es Lehnsherrn anzuführen.;;[This.GetTitledFirstName] sueña con dirigir tropas al servicio de su señor.;;;;;;;;;x
obj_become_marshal_title;Become [This.GetMarshalName];Devenir [This.GetMarshalName];[This.GetMarshalName] werden;;Convertirse en [This.GetMarshalName];;;;;;;;;x
obj_become_paragon_of_enlightenment_desc;[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.;[This.Get_Le_TitledFirstName] tente de s'améliorer en [This.Religion.GetPietyName] et d'atteindre la lumière. C'est une source d'inspiration pour tous ceux de sa religion.;[This.GetTitledFirstName] strebt danach, [This.GetHerHis][This.GeteFemale] [This.Religion.GetPietyName] zu verbessern, erleuchtet zu werden und allen [This.GetHerHis]en Glaubensgenossen als Inspiration zu dienen.;;[This.GetTitledFirstName] se esfuerza en mejorar [This.GetHerHis] [This.GetPietyName] y alcanzar el estado de iluminación, una inspiración para [This.GetHerHis] fe.;;;;;;;;;x
obj_become_paragon_of_enlightenment_title;Become Paragon of Enlightenment;Devenir un modèle de spiritualité;Werdet zu einem Symbol der Erleuchtung;;Convertirse en Ejemplo de Iluminación;;;;;;;;;x
obj_become_paragon_of_virtue_desc;[This.GetTitledFirstName] strives to become a beacon of chivalry and honor - a paragon of virtue.;[This.Get_Le_TitledFirstName] use de courtoisie et d'honneur pour devenir un modèle de vertu.;[This.GetTitledFirstName] strebt nach Ritterlichkeit und Ehre - ein Tugendbold.;;[This.GetTitledFirstName] quiere convertirse en un ejemplo de caballerosidad y honor, modelo de virtud.;;;;;;;;;x
obj_become_paragon_of_virtue_title;Become Paragon of Virtue;Devenir un modèle de vertu;Tugendbold werden;;Ser un modelo de virtud;;;;;;;;;x
obj_become_spiritual_desc;[This.GetTitledFirstName] would like to advise [This.GetPossPronoun] liege in spiritual matters.;[This.Get_Le_TitledFirstName] aimerait conseiller son seigneur lige sur les questions religieuses.;[This.GetTitledFirstName] möchte [This.GetPossPronoun]en Lehnsherrn in spirituellen Dingen beraten.;;A [This.GetTitledFirstName] le gustaría asesorar a su señor en cuestiones espirituales.;;;;;;;;;x
obj_become_spiritual_title;Become [This.GetLordSpiritualName];Devenir [This.GetLordSpiritualName];[This.GetLordSpiritualName] werden;;Convertirse en [This.GetLordSpiritualName];;;;;;;;;x
obj_become_spymaster_desc;[This.GetTitledFirstName] loves intrigue and would like to put [This.GetPossPronoun] skills to formal use.;[This.Get_Le_TitledFirstName] adore les intrigues et aimerait employer officiellement ses talents.;[This.GetTitledFirstName] liebt Intrigen und möchte [This.GetPossPronoun]e Fähigkeiten in der Praxis anwenden.;;A [This.GetTitledFirstName] le encanta la intriga y le gustaría usar sus habilidades profesionalmente.;;;;;;;;;x
obj_become_spymaster_title;Become [This.GetSpymasterName];Devenir [This.GetSpymasterName];[This.GetSpymasterName] werden;;Convertirse en [This.GetSpymasterName];;;;;;;;;x
obj_become_treasurer_desc;[This.GetTitledFirstName] thinks [This.GetSubjectPronoun] would make a great [This.GetTreasurerName].;[This.Get_Le_TitledFirstName] pense qu' [This.GetIlElle] serait un excellent intendant.;[This.GetTitledFirstName] glaubt, [This.GetSubjectPronoun] würde einen sehr guten [This.GetTreasurerName] abgeben.;;[This.GetTitledFirstName] piensa que [This.GetSubjectPronoun] podría ser un gran [Root.GetTreasurerName].;;;;;;;;;x
obj_become_treasurer_title;Become [This.GetTreasurerName];Devenir [This.GetTreasurerName];[This.GetTreasurerName] werden;;Convertirse en [This.GetTreasurerName];;;;;;;;;x
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to abstain from excesses of the flesh.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à s'abstenir des excès de la chair.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, fleischlichen Exzessen zu entsagen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a abstenerse de los excesos de la carne.;;;;;;;;;x
obj_buddhist_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;Apprendre à s'abstenir des excès de la chair;Lernt, fleischlichen Exzessen zu entsagen;; Aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à vaincre sa peur du monde et des projets d'autrui.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, [This.GetHerHis]e Furcht vor der Welt und der Hinterhältigkeit anderer Menschen zu besiegen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a vencer el miedo al mundo y los designios de otros.;;;;;;;;;x
obj_buddhist_defeat_fear_title;Defeat Fear;Vaincre la peur;Besiegt die Furcht;; Vencer el Miedo;;;;;;;;;x
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject cruelty.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter la cruauté.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, Grausamkeit abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a rechazar la crueldad.;;;;;;;;;x
obj_buddhist_reject_cruelty_title;Reject Cruelty;Rejeter la cruauté;Lehnt Grausamkeit ab;; Rechazar la crueldad;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject emply pleasures.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter les plaisirs inutiles.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, leere Vergnügungen abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender rechazar los placeres vacuos.;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;Apprendre à rejeter les plaisirs inutiles;Lernt, leere Vergnügungen abzulehnen;;Aprender a Rechazar Placeres Vacíos;;;;;;;;;x
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that envy brings to the mind.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter ce poison de l'esprit qu'est l'envie.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, die Vergiftung des Geistes durch Neid abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a rechazar el veneno para la mente que es la envidia.;;;;;;;;;x
obj_buddhist_reject_envy_title;Learn to Reject Envy;Apprendre à rejeter l'envie;Lernt, Neid abzulehnen;; Aprender a rechazar la envidia;;;;;;;;;x
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that greed brings to the mind.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter ce poison de l'esprit qu'est l'avarice.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, die Vergiftung des Geistes durch Gier abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a rechazar el veneno para la mente que es la codicia.;;;;;;;;;x
obj_buddhist_reject_greed_title;Learn to Reject the Poison of Greed;Apprendre à rejeter le poison de l'avarice;Lernt, das Gift der Gier abzulehnen;;Aprender a rechazar el veneno de la codicia;;;;;;;;;x
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that hate and anger brings to the mind.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter la haine et la colère qui sont des poisons de l'esprit.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, die Vergiftung des Geistes durch Hass und Zorn abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a rechazar el veneno para la mente que son el odio y la ira.;;;;;;;;;x
obj_buddhist_reject_hate_title;Learn to Reject Hate;Apprendre à rejeter la haine;Lernt, Hass abzulehnen;; Aprender a rechazar el odio;;;;;;;;;x
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject pride.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à rejeter l'orgueil.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, den Stolz abzulehnen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a rechazar el orgullo.;;;;;;;;;x
obj_buddhist_reject_pride_title;Learn to Reject Pride;Apprendre à rejeter l'orgueil;Lernt, Stolz abzulehnen;; Aprender a rechazar el orgullo;;;;;;;;;x
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à abandonner son penchant pour la boisson qui lui cause tant de souffrances.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, [This.GetHerHis]e schädlichen Trinkgewohnheiten abzulegen.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a abandonar el dañino hábito de la bebida.;;;;;;;;;x
obj_buddhist_stop_drinking_title;Stop Drinking;Fini la boisson;Entsagt dem Alkohol;; Deja de beber;;;;;;;;;x
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to eat without excess.;[This.Get_Le_TitledFirstName], [buddhist.GetName] zélé[This.Get_E], tente d'apprendre à manger sans excès.;[This.GetTitledFirstName] ist überzeugt [buddhist.GetName] und versucht, beim Essen Maß zu halten.;;[This.GetTitledFirstName], como [buddhist.GetName] devoto, intenta aprender a comer sin excesos.;;;;;;;;;x
obj_buddhist_temperance_food_title;Learn Temperance with Food;Apprendre à modérer son appétit;Lernt Mäßigung beim Essen;; Aprender a ser moderado con la comida;;;;;;;;;x
obj_build_a_war_chest_desc;[This.GetTitledFirstName] wants to build a war chest and prepare [This.GetHerHis] realm for war!;[This.Get_Le_TitledFirstName] veut constituer un trésor de guerre et préparer son pays à la guerre !;[This.GetTitledFirstName] möchte eine Kriegskasse anlegen und [This.GetHerHis] Reich auf einen Krieg vorbereiten!;;[This.GetTitledFirstName] quiere construir un Cofre de guerra y preparar a [This.GetHerHis] reino para la guerra!;;;;;;;;;x
obj_build_a_war_chest_success_custom_tooltip;Has amassed a suitably large amount of money for [This.GetHerHis] realm: 300¤if ruling a County, 500¤if ruling a Duchy, 700¤if ruling a Kingdom or 1000¤if ruling an Empire.;A amassé une somme d'argent considérable dans ses coffres : 300¤pour un comté, 500¤pour un duché, 700¤pour un royaume ou 1000¤pour un empire.;Hat eine ausreichend große Summe für [This.GetHerHis] Reich angehäuft: 300¤ für eine Grafschaft, 500¤ für ein Herzogtum, 700¤ für ein Königreich und 1000¤ für ein Kaiserreich.;;Ha acumulado una adecuada gran cantidad de dinero para [This.GetHerHis] reino: 300¤ gobernando un condado, 500¤ gobernando un ducado, 700¤ gobernando un reino o 1000¤ gobernando un imperio.;;;;;;;;;x
obj_build_a_war_chest_title;Build a War Chest;Constituer un trésor de guerre;Kriegskasse anlegen;;Construir un Cofre de guerra;;;;;;;;;x
obj_create_treasury_desc;[This.GetTitledFirstName] wants to gather artifacts to put in [GetHerHis] empty treasury.;[This.Get_Le_TitledFirstName] veut réunir des artefacts pour son Trésor vide.;[This.GetTitledFirstName] möchte Artefakte sammeln und sie in der leeren Schatzkammer ausstellen.;;[This.GetTitledFirstName] quiere reunir artefactos que poner en su cámara del tesoro vacía.;;;;;x
obj_create_treasury_title;Create a Treasury;Créer un trésor;Sammelt Schätze an;;Crear un tesoro;;;;;x
obj_create_wonder_desc;[This.GetTitledFirstName] wants to build a glorious building of great prestige!;[This.Get_Le_TitledFirstName] veut construire un glorieux bâtiment !;[This.GetTitledFirstName] mächte ein prachtvolles Bauwerk von hohem Prestige errichten!;;¡[This.GetTitledFirstName] quiere construir un edificio glorioso de gran prestigio!;;;;;;;;;x
obj_create_wonder_title;Build a Great Work;Construire un grand ouvrage;Großes Bauwerk errichten;;Construye una gran obra;;;;;;;;;x
obj_forge_bloodline;Forge Bloodline;Se forger une lignée;Blutlinie gründen;;Crear linaje;;;;;;;;x
obj_forge_bloodline_condition_tooltip;In order to complete this ambition you need to perform one of the following tasks, or to found a §YBloodline§! through other means:\n §Y*§! Murder or Execute §Y30§! people. [Root.GetFoundBloodlineKillCounter]\n §Y*§! Win §Y15§! foreign wars. [Root.GetFoundBloodlineWarCounter]\n §Y*§! Rule at peace for §Y30§! years. [Root.GetFoundBloodlinePeaceCounter]\n §Y*§! Build §Y10§! cities. [Root.GetFoundBloodlineCityCounter]\n §Y*§! Build §Y10§! castles. [Root.GetFoundBloodlineCastleCounter]\n §Y*§! Build §Y10§! temples. [Root.GetFoundBloodlineTempleCounter]\n\nNote that pursuing multiple tasks at the same time might result in the creation of a hybridized bloodline.;Afin de compléter cette ambition, vous devez effectuer l'une des tâches suivantes ou fonder une §Ylignée§! par d'autres moyens :\n§Y*§! Assassiner ou exécuter §Y30§! personnes. [Root.GetFoundBloodlineKillCounter]\n§Y*§! Gagner §Y15§! guerres extérieures. [Root.GetFoundBloodlineWarCounter]\n§Y*§! Régner en paix pendant §Y30§! ans. [Root.GetFoundBloodlinePeaceCounter]\n§Y*§! Construire §Y10§! cités. [Root.GetFoundBloodlineCityCounter]\n§Y*§! Construire §Y10§! châteaux. [Root.GetFoundBloodlineCastleCounter]\n§Y*§! Construire §Y10§! temples. [Root.GetFoundBloodlineTempleCounter]\n\nNotez que la poursuite de plusieurs tâches en même temps peut entraîner la création d'une lignée hybride.;Um diese Ambition zu erfüllen, müsst Ihr eine der folgenden Aufgaben erledigen oder die §YBlutlinie§! auf anderem Wege gründen:\n §Y*§! Tötet[Root.GetFoundBloodlineExecTooltip]§Y30§! Leute. [Root.GetFoundBloodlineKillCounter]\n §Y*§! Gewinnt §Y15§! ausländische Kriege. [Root.GetFoundBloodlineWarCounter]\n §Y*§! Herrscht §Y15§! Jahre in Frieden. [Root.GetFoundBloodlinePeaceCounter]\n §Y*§! Baut §Y10§! Städte. [Root.GetFoundBloodlineCityCounter]\n §Y*§! Baut §Y10§! Burgen. [Root.GetFoundBloodlineCastleCounter]\n §Y*§! Baut §Y10§! Tempel. [Root.GetFoundBloodlineTempleCounter]\n\nBeachtet, dass die gleichzeitige Verfolgung mehrerer Aufgaben zur Erstellung einer hybriden Blutlinie führen kann.;;Para cumplir esta ambición debes realizar una de las siguientes tareas o fundar un §Ylinaje§! mediante otros medios:\n §Y*§! Mata[Root.GetFoundBloodlineExecTooltip]a §Y30§! personas. [Root.GetFoundBloodlineKillCounter]\n §Y*§! Gana §Y15§! guerras extranjeras. [Root.GetFoundBloodlineWarCounter]\n §Y*§! Gobierna en paz §Y15§! años. [Root.GetFoundBloodlinePeaceCounter]\n §Y*§! Construye §Y10§! ciudades. [Root.GetFoundBloodlineCityCounter]\n §Y*§! Construye §Y10§! castillos. [Root.GetFoundBloodlineCastleCounter]\n §Y*§! Construye §Y10§! templos. [Root.GetFoundBloodlineTempleCounter]\n\nTen en cuenta que continuar múltiples tareas a la vez puede crear un linaje híbrido.;;;;;;;;x
obj_forge_bloodline_desc;Focus your efforts to immortalize your name and ensure that all your descendants will share in your fame.;Concentrez vos efforts pour immortaliser votre nom et vous assurer que vos descendants profiteront de votre renommée.;Fokussiert Eure Bemühungen darauf Euren Namen in der Geschichte zu verewigen und stellt sicher, dass alle Eure Nachkommen an Eurem Ruhm teilhaben können.;;Centra tus esfuerzos para inmortalizar tu nombre y asegurarte de que tus descendientes compartan tu fama.;;;;;;;;x
obj_forge_bloodline_title;Forge Bloodline;Se forger une lignée;Blutlinie gründen;;Crear linaje;;;;;;;;x
obj_gain_any_title_desc;[This.GetTitledFirstName] wants to acquire more land and another title, increasing [This.GetHerHis] influence and power in the realm.;[This.Get_Le_TitledFirstName] veut acquérir plus de territoires et un autre titre pour augmenter son influence et sa puissance.;[This.GetTitledFirstName] möchte mehr Land und einen weiteren Titel erhalten, wodurch sich Einfluss und Machtposition im Reich vergrößern würden.;;[This.GetTitledFirstName] quiere adquirir más tierras y otro título, aumentando [This.GetHerHis] influencia y poder en el reino.;;;;;;;;;x
obj_gain_any_title_title;Acquire Title;Acquérir un titre;Erhalt eines Titels;;Adquirir un título;;;;;;;;;x
obj_get_married_desc;[This.GetTitledFirstName] desires to get married.;[This.Get_Le_TitledFirstName] souhaite se marier.;[This.GetTitledFirstName] möchte heiraten.;;[This.GetTitledFirstName] quiere casarse.;;;;;;;;;x
obj_get_married_title;Get Married;Se marier;Heiraten;;Casarse;;;;;;;;;x
obj_groom_an_heir_desc;[This.GetTitledFirstName] wants to have a child and see them reach adulthood.\n\nIf [This.GetFirstName]'s Inheritance Law is §YAgnatic§!, only a male child will fulfill this ambition. Similarly, if [This.GetFirstName]'s Inheritance Law is §YEnatic§!, only a female child will do.\n\nWhile active §YFertility§! is increased by §G20%§!, and once your child reaches §Y12§! years, you may choose to §Gright-click§! their portrait and choose to §YIntroduce Heir to Realm§!.;[This.Get_Le_TitledFirstName] veut avoir un enfant et le voir atteindre l'âge adulte.\n\nSi la loi de succession est §Yagnatique§!, seul un garçon réalisera cette ambition. Si elle est utérine, seule une fille le fera.\n\nTant que cette ambition est active, la §Yfécondité§! est augmentée de §G20%§!, et lorsque l'enfant aura §Y12§! ans, vous pourrez choisir de §Yprésenter l'héritier aux vassaux§! (bouton droit de la souris sur son portrait).;[This.GetTitledFirstName] wünscht sich ein Kind, das das Erwachsenenalter erreicht.\nWenn das Erbfolge-Gesetz von [This.GetFirstName] §YAgnatisch§! ist, wird nur ein Sohn die Ambition erfüllen. Gleichermaßen erfüllt eine Tochter die Ambition, wenn die Erbfolge §YEnatisch§! ist.\nWährend diese Ambition aktiv ist, wird die §YFruchtbarkeit§! um §Y20%§! erhöht und sobald das Kind §Y12§! Jahre alt ist, könnt Ihr einen §GRechtsklick§! auf sein Porträt machen und §YErben ins Reich einführen§! auswählen.;;[This.GetTitledFirstName] quiere tener un hijo y que llegue a la edad adulta.\n\nSi la ley de sucesión de [This.GetFirstName] es §Yagnaticia§!, solo un hijo varón podrá cumplir esta ambición. Del mismo modo, si la ley de sucesión de [This.GetFirstName] es §Ymatrilineal§!, solo una hija servirá.\n\nMientras la §Yfertilidad§! esté activa aumenta en un §G20%§!, y cuando tu hijo cumpla §Y12§! años, podrás §Gpinchar§! en su retrato y elegir §Ypresentar heredero al reino§!.;;;;;;;;x
obj_groom_an_heir_title;Groom an Heir;Préparer la succession;Einen Erben heranziehen;;Preparar un heredero;;;;;;;;;x
obj_have_a_daughter_desc;[This.GetTitledFirstName] wants to have a daughter.;[This.Get_Le_TitledFirstName] veut avoir une fille.;[This.GetTitledFirstName] möchte eine Tochter haben.;;[This.GetTitledFirstName] desea tener una hija.;;;;;;;;;x
obj_have_a_daughter_title;Have a Daughter;Avoir une fille;Eine Tochter bekommen;;Tener una hija;;;;;;;;;x
obj_have_a_son_desc;[This.GetTitledFirstName] wants to have a son.;[This.Get_Le_TitledFirstName] veut avoir un fils.;[This.GetTitledFirstName] möchte einen Sohn haben.;;[This.GetTitledFirstName] desea tener un hijo.;;;;;;;;;x
obj_have_a_son_title;Have a Son;Avoir un fils;Einen Sohn bekommen;;Tener un hijo;;;;;;;;;x
obj_improve_diplomacy_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Diplomacy, since it is poor (lower than §Y8§!).;[This.Get_Le_TitledFirstName] souhaite améliorer ses aptitudes trop médiocres en diplomatie (valeur inférieure à §R8§!).;[This.GetTitledFirstName] möchte [This.GetHerHis]e Diplomatie verbessern, da der Wert niedriger als 8 ist.;;[This.GetTitledFirstName] desea mejorar su diplomacia, dado que su valor es inferior a 8.;;;;;;;;;x
obj_improve_diplomacy_title;Improve Diplomacy;Améliorer la compétence diplomatique;Diplomatie verbessern;;Mejorar la diplomacia;;;;;;;;;x
obj_improve_intrigue_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Intrigue, since it is poor (lower than §Y8§!).;[This.Get_Le_TitledFirstName] souhaite améliorer ses aptitudes trop médiocres en intrigue (valeur inférieure à §R8§!).;[This.GetTitledFirstName] möchte [This.GetHerHis]e Intrigenfähigkeit verbessern, da diese unter 8 liegt.;;[This.GetTitledFirstName] quiere mejorar [This.GetHerHis] intriga, ya que tiene un valor menor a 8.;;;;;;;;;x
obj_improve_intrigue_title;Improve Intrigue;Améliorer la compétence en intrigue;Intrigenfähigkeit verbessern;;Mejorar intriga;;;;;;;;;x
obj_improve_learning_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Learning, since it is poor (lower than §Y8§!).;[This.Get_Le_TitledFirstName] souhaite améliorer ses aptitudes trop médiocres en érudition (valeur inférieure à §R8§!).;[This.GetTitledFirstName] möchte [This.GetHerHis]e Bildung erhöhen, da dessen Wert geringer als 8 ist.;;[This.GetTitledFirstName] desea mejorar [This.GetHerHis] aprendizaje, dado que su valor es inferior a 8.;;;;;;;;;x
obj_improve_learning_title;Improve Learning;Améliorer la compétence en érudition;Bildung verbessern;;Mejorar el aprendizaje;;;;;;;;;x
