caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
great_inventor;Great Inventor;Grand inventeur;Großer Erfinder;;Gran inventor;;;;;;;;;x
secret_mil_invention;Secret Military Invention;Invention militaire secrète;Geheime Militärintervention;;Invención militar secreta;;;;;;;;;x
the_idle;Idle;Oisiveté;der Untätige;;Ocioso;;;;;;;;;x
slothful_ruler;Slothful Ruler;Dirigeant paresseux;Fauler Herrscher;;Gobernante perezoso;;;;;;;;;x
levy_reinforcements;Levy Reinforcements;Renforcement de la levée;Aufgebotsverstärkungen;;Refuerzos de leva;;;;;;;;;x
unintentional_saboteur;Unintentional Saboteur;Saboteur involontaire;Unabsichtlicher Saboteur;;Saboteador involuntario;;;;;;;;;x
missing_reinforcements;Lost Reinforcements;Renforts perdus;Verlorene Verstärkungen;;Refuerzos perdidos;;;;;;;;;x
the_perturbed;Perturbed;Perturbé(e);Gestört;;Alterado;;;;;;;;;x
the_apologetic;Apologetic;Apologétique;Apologetisch;;Arrepentido;;;;;;;;;x
the_sincere;Sincere;Sincère;Aufrichtig;;Sincero;;;;;;;;;x
the_regretful;Regretful;Plein(e) de regrets;Bedauernd;;Pesaroso;;;;;;;;;x
the_cruel;Cruel;Cruauté;Grausam;;Cruel;;;;;;;;;x
the_bookaddict;Book Addict;Amateur de livres;Büchersüchtig;;Libroadicto;;;;;;;;;x
the_bibliophage;Bibliophage;Bibliophage;Bücherwurm;;Bibliófago;;;;;;;;;x
flower_power;Power of Flowers;Pouvoir des fleurs;Die Macht der Blumen;;El poder de las flores;;;;;;;;;x
the_naturalist;Naturalist;Naturaliste;Naturforscher;;Naturalista;;;;;;;;;x
the_natural_addict;Nature Addict;Amateur de nature;Natursüchtig;;Adicto a la naturaleza;;;;;;;;;x
magnanimous_person;Magnanimous Person;Personne magnanime;Großherziger Mensch;;Persona magnánima;;;;;;;;;x
the_paranoid;Paranoia;Paranoïaque;Paranoia;;Paranoia;;;;;;;;;x
mod_bloodlust;Bloodlust;Assoiffé(e) de sang;Blutrausch;;Sed de sangre;;;;;;;;;x
intriguing_book;Intriguing Book;Livre mystérieux;Faszinierendes Buch;;Libro intrigante;;;;;;;;;x
esoteric_religion;Esoteric Religion;Religion ésotérique;Esoterische Religion;;Religión esotérica;;;;;;;;;x
the_pious;Pious;Dévotion;Fromm;;Pío;;;;;;;;;x
the_curious;Curious;Curiosité;Neugierig;;Curioso;;;;;;;;;x
the_alchemist;Alchemist;Alchimiste;Alchemist;;Alquimista;;;;;;;;;x
brazen_bull;Brazen Bull;Taureau d'airain;Messingstier;;Toro de bronce;;;;;;;;;x
tortured_prisoner;Tortured;A subi la torture;Gefoltert;;Torturado;;;;;;;;;x
master_impaler;Master Impaler;Maître empaleur;Meisterpfähler;;Maestro empalador;;;;;;;;;x
mother_daughter;Such mother, such daughter;Telle mère, telle fille;Wie die Mutter, so die Tochter;;De tal madre, tal hija;;;;;;;;;x
father_son;Such father, such son;Tel père, tel fils;Wie der Vater, so der Sohn;;De tal padre, tal hijo;;;;;;;;;x
mother_son;Such mother, such son;Telle mère, tel fils;Wie die Mutter, so der Sohn;;De tal madre, tal hijo;;;;;;;;;x
father_daughter;Such father, such daughter;Tel père, telle fille;Wie der Vater, so die Tochter;;De tal padre, tal hija;;;;;;;;;x
master_duelist;Master Duelist;Maître duelliste;Meisterduellant;;Maestro duelista;;;;;;;;;x
averted_duel;Averted Duel;Duel évité;Verhindertes Duell;;Duelo evitado;;;;;;;;;x
the_dour_duellist;Dour Duellist;Duelliste sévère;Mürrischer Duellant;;Duelista lúgubre;;;;;;;;;x
master_hunter;Master Hunter;Maître chasseur;Meisterjäger;;Maestro cazador;;;;;;;;;x
wild_hunter;Wild Hunter;Chasseur sauvage;Wilder Jäger;;Cazador salvaje;;;;;;;;;x
tortured;Tortured;A subi la torture;Gefoltert;;Torturado;;;;;;;;;x
the_ruthless;Ruthless;Inflexible;Unbarmherzig;;Implacable;;;;;;;;;x
the_eager;Eager;Avide;Eifrig;;Ansioso;;;;;;;;;x
the_amiable;Amiable;Aimable;Liebenswürdig;;Afable;;;;;;;;;x
the_naive;Naïve;Naïveté;Naiv;;Ingenuo;;;;;;;;;x
big_spender;Spending Money on Baubles;Dépense de l'argent en babioles;Geld für Glockenmützen ausgebend;;Gastando dinero en baratijas;;;;;;;;;x

# on_action
war_knowledge;War Knowledge;Science de la guerre;Kriegswissen;;Conocimiento de guerra;;;;;;;;;x
war_knowledge_desc;This community is working hard on military technological innovation.;Cette communauté travaille dur sur l'innovation militaire.;Diese Gemeinschaft arbeitet hart an militärischen Innovationen.;;La comunidad trabaja duro para innovar en la tecnología militar.;;;;;;;;;x

# Province
recent_revolt;Recent Revolt;Révolte récente;Kürzliche Revolte;;Revuelta reciente;;;;;;;;;x
religious_tension;Religious Tension;Tensions religieuses;Religiöse Spannungen;;Tensión religiosa;;;;;;;;;x
force_converting;Forced Conversion;Conversion forcée;Erzwungene Bekehrung;;Conversión Forzosa;;;;;;;;;x
heretic_stronghold;Heretic Stronghold;Bastion hérétique;Ketzerische Hochburg;;Fortaleza hereje;;;;;;;;;x
high_taxes;High Taxes;Impôt élevé;Hohe Steuern;;Impuestos elevados;;;;;;;;;x
incompetent_rule;Incompetent Ruler;Incompétence du seigneur;Inkompetenter Herrscher;;Soberano incompetente;;;;;;;;;x
thieves_guild;Thieves' Guild;Guilde des voleurs;Diebesgilde;;Cofradía de ladrones;;;;;;;;;x
thieves_guild_desc;The amount of thieves preying upon the people of this county is enormous.;Le nombre de voleurs qui s'en prennent aux habitants du comté a explosé.;Die Menge der Diebe, die sich an dieser Grafschaft schadlos halten, ist enorm.;;La cantidad de ladrones que atacan a la gente de este condado es enorme.;;;;;;;;;x
smugglers_ring;Smugglers' Ring;Cercles de contrebandiers;Schmugglerring;;Grupo de contrabandistas;;;;;;;;;x
smugglers_ring_desc;Smugglers infest the area.;Des contrebandiers infestent la région.;Schmuggler haben sich in dem Gebiet breitgemacht.;;Contrabandistas infestan la zona.;;;;;;;;;x
highway_robber_band;Highway Robber Band;Bande de voleurs de grands chemins;Wegelagererbande;;Grupo de bandidos;;;;;;;;;x
highway_robber_band_desc;A large band of robbers is prowling the countryside.;Un grand nombre de voleurs rôde dans la campagne.;Eine große Räuberbande macht die Gegend unsicher.;;Una gran banda de bandidos está merodeando por el campo.;;;;;;;;;x

excessive_bureaucracy;Excessive Bureaucracy;Bureaucratie excessive;Exzessive Bürokratie;;Exceso de burocracia;;;;;;;;;x
suspected_impaler;Suspected Impaler;Suspicion d'empalement;Mutmaßlicher Pfähler;;Sospechoso de empalamientos;;;;;;;;;x
student_of_language;Student of Language;Étudie les langues;Sprachstudent;;Estudiante de lengua;;;;;;;;;x
multilingual;Multilingual;Polyglotte;Mehrsprachig;;Políglota;;;;;;;;;x
multilingual_desc;This [GetGirlWomanBoyMan] has mastered many languages.;Ce personnage maîtrise de nombreuses langues.;Diese Person spricht mehrere Sprachen.;;Este personaje domina varios idiomas.;;;;;;;;;x
bad_breath;Bad Breath;Mauvaise haleine;Mundgeruch;;Mal aliento;;;;;;;;;x
sanctuary;Sanctuary;Sanctuaire;Heiliger Ort;;El santuario;;;;;;;;;x
sanctuary_desc;It has been declared that this [GetGirlWomanBoyMan]'s home is built on holy ground.;On a déclaré que la demeure de ce personnage était construite sur une terre sacrée.;Der Standort, an dem sich der Wohnsitz dieser Person befindet, wurde zum heiligen Ort erklärt.;;Se ha declarado que la casa de este personaje está construida sobre Tierra Sangrada.;;;;;;;;;x
harbour_the_homeless;Harboring the homeless;Hébergement des sans-abri;Beherbergt die Obdachlosen;;Albergando a los desamparados;;;;;;;;;x
appeased_religious;Blessed People;Peuple béni;Das gesegnete Volk;;Pueblo bendito;;;;;;;;;x
appeased_religious_desc;The people living in this county feel that they and their ruler are blessed by God. They are therefore less likely to revolt.;Les habitants de ce comté ont le sentiment qu'eux et leur seigneur ont été bénis par Dieu. Ils sont donc moins susceptibles de se révolter.;Die Menschen in dieser Provinz glauben, sie und ihr Herrscher seien von Gott gesegnet. Daher ist es weniger wahrscheinlich, dass sie revoltieren. ;;Las personas que viven en esta provincia sienten que tanto ellos como su gobernante están bendecidos por Dios. Por tanto, son menos propensos a la rebelión.;;;;;;;;;x
prepared_home;Home Defense;Défense domiciliaire;Heimatverteidigung;;Defensa casera;;;;;;;;;x
prepared_home_desc;This [GetGirlWomanBoyMan] has had [GetHerHis] home prepared to make it hard to sneak around unnoticed.;Ce personnage possède une demeure équipée afin qu'il soit impossible de s'y faufiler sans se faire remarquer.;Diese Person hat ihr Zuhause so präpariert, dass es schwer ist, dort unbemerkt herumzuschleichen.;;Este personaje ha dispuesto [GetHerHis] casa de tal modo que sea difícil colarse sin ser descubierto.;;;;;;;;;x
guard_dogs;Guard Dogs;Chiens de garde;Wachhunde;;Perros de Guardia;;;;;;;;;x
guard_dogs_desc;This [GetGirlWomanBoyMan] has acquired dogs trained to identify strangers sneaking around.;Ce personnage a fait l'acquisition de chiens de chasse pour identifier les étrangers qui essaieraient de se faufiler dans son domicile.;Diese Person hat Hunde dazu ausgebildet, herumschleichende Fremde aufzuspüren.;;Este personaje ha adquirido perros entrenados para identificar a los desconocidos que intenten colarse.;;;;;;;;;x
realm_religious_fervor;The entire realm is gripped by religious fervor and an unquestioning belief in the ruler's divine mandate.;Tout le royaume est pris de ferveur religieuse et croit de manière inébranlable dans le caractère divin du mandat de son souverain.;Erfasst von einer Woge religiösen Eifers glaubt das ganze Reich an die göttliche Legitimation seines Herrschers.;;El reino entero está sumido en el fervor religioso y en una fe ciega en la autoridad divina del soberano.;;;;;;;;;x
thugs_rampant;Strange disappearances...;D'étranges disparitions...;Seltsames Verschwinden...;;Extrañas desapariciones...;;;;;;;;x

neglected_development;Neglected development.;Développement négligé.;Entwicklung vernachlässigt.;;Desarrollo desatendido.;;;;;;;;x
peasants_protected;Subjects Are Feeling Protected;Vos sujets se sentent protégés;Eure Untergebenen fühlen sich beschützt;;Tus súbditos se sienten protegidos.;;;;;;;;x
merchants_unhappy;The merchants are unhappy;Les commerçants sont mécontents;Die Händler sind unzufrieden.;; Los comerciantes no están contentos.;;;;;;;;;x
temple_corruption;Temple Corruption;Corruption au temple;Tempelkorruption;;Corrupción del Templo;;;;;;;;;x
local_death_cult;Local Death Cult;Culte de la mort local;Lokaler Totenkult;;Culto local a la muerte ;;;;;;;;;x

pyramid;Pyramid;Pyramide;Pyramide;;Pirámide;;;;;;;;;x
trade_route;Trade Route;Route commerciale;Handelsroute;;Ruta comercial;;;;;;;;;x
trade_route_desc;This county has a thriving trade with a foreign realm bringing in exotic goods.;Ce comté a un commerce prospère grâce aux biens exotiques que lui apporte un pays étranger.;Diese Provinz betreibt florierenden Handel mit einem ausländischen Reich und importiert exotische Waren.;;Esta provincia tiene un floreciente comercio con un reino extranjero que trae mercancías exóticas.;;;;;;;;;x
stone_quarry;Stone Quarry;Carrière de pierres;Steinbruch;;Cantera de piedra;;;;;;;;;x
stone_quarry_desc;A stone quarry in this county produces a surplus of cheap building materials.;Une carrière de pierres située dans ce comté fournit un surplus de matériaux de construction bon marché.;Ein Steinbruch in dieser Provinz produziert einen Überschuss an günstigem Baumaterial.;;Una cantera en esta provincia produce un exceso de materiales de construcción baratos.;;;;;;;;;x
magnificent_maze;Magnificent Maze;Magnifique labyrinthe;Prächtiger Irrgarten;;Laberinto Magnífico;;;;;;;;;x
magnificent_maze_desc;This [GetGirlWomanBoyMan]'s beautiful garden maze is known far beyond the realm for it's beauty.;Le magnifique labyrinthe que possède ce personnage dans son jardin est réputé pour sa beauté même au delà de nos frontières.;Der wunderschöne Irrgarten dieser Person ist weit über die Grenzen des Reiches hinaus für seine Schönheit bekannt.;;El hermoso laberinto jardín de este personaje es famoso en varios reinos por su belleza.;;;;;;;;;x
leaning_tower_bad;Leaning Tower;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
leaning_tower_bad_desc;A leaning tower dominates the landscape shamefully for the founder.;Une tour penchée domine le paysage, à la grande honte de son constructeur.;Ein schiefer Turm bestimmt das Landschaftsbild, zur Schande seines Erbauers.;;Una torre inclinada domina el paisaje, para vergüenza del constructor.;;;;;;;;;x
leaning_tower;Leaning Tower;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
