# GetWonderName
String_special_wonder_name;[GetSpecialWonderName];[GetSpecialWonderName];[GetSpecialWonderName];;[GetSpecialWonderName];;;;;;;;x
String_decades;decades;des décennies;Jahrzehnten;;décadas;;;;;;;;;x
String_almost_a_century;almost a century;presque un siècle;fast einem Jahrhundert;;casi un siglo;;;;;;;;;x
String_ages;ages;une éternité;einer Ewigkeit;;siglos;;;;;;;;;x
String_more_than_a_hundred_years;more than a hundred years;plus de cent ans;mehr als hundert Jahren;;más de cien años;;;;;;;;;x
String_hundreds_of_years;hundreds of years;des centaines d'années;hunderten von Jahren;;cientos de años;;;;;;;;;x
String_as_long_as_anyone_can_remember;as long as anyone can remember;aussi longtemps qu'on puisse se rappeler;sich jemand daran erinnern kann;;más de lo que nadie recuerda;;;;;;;;;x
String_centuries;centuries;des siècles;Jahrhunderten;;una eternidad;;;;;;;;;x
String_time_immemorial;time immemorial;des temps immémoriaux;undenklicher Zeit;;tiempos inmemoriales;;;;;;;;;x
String_a_long_time;a long time;longtemps;einer nicht messbaren Zeit;;muchísimo tiempo;;;;;;;;;x

# GetWonderPurpose
String_inspired_pious;inspired many pious men and women;inspire de nombreux hommes et femmes pieux;viele fromme Männer und Frauen inspiriert;;inspiró a mucha gente piadosa;;;;;;;;;x
String_safe_haven_for_lost_souls;been a safe haven for lost souls;est un refuge pour les âmes égarées;einen sicheren Hafen für verlorene Seelen geboten;;fue un refugio seguro para almas perdidas;;;;;;;;;x
String_a_place_of_comfort_for_believers;been a place of comfort for all [Root.Religion.GetName] followers;est un lieu de bien-être pour tous les fidèles [Root.GetReligionMascPl];einen Ort des Trostes für alle [Root.Religion.GetName]en Anhänger geboten;;fue un lugar de consuelo para todos los seguidores de [Root.Religion.GetName];;;;;;;;;x
String_brought_people_together;brought god-fearing people together;réunit des gens pieux;viele gottesfürchtige Menschen zusammengebracht;;reunió a gente temerosa de Dios;;;;;;;;;x
String_lent_its_protection;lent protection to those in need;protège les gens dans le besoin;den Bedürftigen Schutz geboten;;prestó protección a los necesitados;;;;;;;;;x
String_shielded_its_people;shielded its people from enemies;protège les habitants des ennemis;seine Bewohner vor Feinden beschützt;;defendió al pueblo de sus enemigos;;;;;;;;;x
String_been_impressive_curiosity;been an impressive curiosity;fait forte impression;Neugier geschürt;;fue una curiosidad impresionante;;;;;;;;;x
String_inspired_wonder;inspired wonder in its visitors;émerveille ses visiteurs;bei seinen Besuchern Staunen verursacht;;inspiró maravilla en sus visitantes;;;;;;;;;x
String_been_bringing_traffic;been bringing traffic and tourism to the area;amène du trafic et du tourisme dans la région;Handel und Tourismus in die Gegend gebracht;;trajo tráfico y turismo al área;;;;;;;;;x
String_been_aiding_maritime_matters;been aiding maritime matters;s'occupe des questions maritimes;die maritimen Angelegenheiten unterstützt;;ayudó a los asuntos marítimos;;;;;;;;;x
String_been_guiding_ships_to_port;been guiding ships to port;guide les navires jusqu'au port;Schiffe zum Hafen geführt;;guio a los barcos a puerto;;;;;;;;;x
String_tourist_attraction;been a successful tourist attraction;est une attraction touristique réussie;eine erfolgreiche Toursitenattraktion ausgemacht;;fue una atracción turística exitosa;;;;;;;;;x
String_center_of_leisure;been the nobility's favorite place of leisure and rejuvenation;est le lieu de loisirs et de rajeunissement préféré de la noblesse;als Lieblingsort des Adels gedient;;fue el lugar favorito de ocio y rejuvenecimiento de la nobleza;;;;;;;;;x
String_source_of_veneration;been a source of solemn veneration;est une source de vénération;als Quelle der Verehrung gedient;;fue una fuente de veneración solemne;;;;;;;;;x
String_impressive_feat_of_architecture;been an impressive feat of architecture;est une prouesse d'architecture;als Zeichen beeindruckender Architektur gestanden;;fue una proeza arquitectónica impresionante;;;;;;;;;x
String_inspired_imagination;inspired the imagination of its visitors;inspire ses visiteurs;die Phanatasie seiner Besucher inspiriert;;inspiró la imaginación de sus visitantes;;;;;;;;;x
String_eased_the_burden;eased the burden of every day life for countless people;allège le fardeau de la vie quotidienne pour d'innombrables personnes;den Alltag zahlloser Menschen entlastet;;alivió la carga de la vida diaria de innumerables personas;;;;;;;;;x
String_improved_lives;improved the lives of its residents;améliore la vie de ses résidents;das Leben seiner Bewohner verbessert;;mejoró la vida de sus residentes;;;;;;;;;x
String_hot_spot_for_gossip;been a hot spot for court intrigue and gossip;est un lieu important pour l'intrigue;einen Ort für Intrigen, Klatsch und Tratsch hergegeben;;fue un punto clave para la intriga cortesana y los rumores;;;;;;;;;x
String_house_of_envy;been a house of envy and admiration;est une maison suscitant envie et admiration;einen Ort des Neides und der Bewunderung hergemacht;;fue una casa envidiada y admirada;;;;;;;;;x
String_encouraged_greatness_1;encouraged greatness in both commoner and noble alike;inspire la grandeur chez les roturiers et les nobles;Größe sowohl beim allgemeinen Pöbel als auch im Adel gefördert;;alentó la grandeza tanto en plebeyos como en nobles.;;;;;;;;;x
String_encouraged_greatness_2;been a beacon of greatness;est une source d'inspiration;viele der Besucher zu Größe inspiriert;;fue un faro de grandeza;;;;;;;;;x
String_inspired_students;inspired scholars and hardworking students;inspire des érudits et des étudiants;viele fließige Stundenten inspiriert;;inspiró a eruditos y estudiantes trabajadores;;;;;;;;;x
String_encouraged_learning;encouraged higher learning;encourage l'érudition;einen höheren Bildungsstandard gefördert;;fomentó el aprendizaje superior;;;;;;;;;x

# GetRandomUpgradeDesc
String_upgrade_sends_chills;[This.GetName] sends chills down the spine of even the bravest of souls;[This.GetName] donne des frissons aux âmes même les plus courageuses;[This.GetName] sendet selbst den mutigsten Seelen einen Schauer über den Rücken;;[This.GetName] provoca escalofríos hasta en las almas más valientes.;;;;;;;;;x
String_upgrade_send_chills;[This.GetName] send chills down the spine of even the bravest of souls;[This.GetName] donnent des frissons aux âmes même les plus courageuses;[This.GetName] lässt es auch den mutigsten Seelen kalt den Rücken hinab laufen;;[This.GetName] provoca escalofríos hasta en las almas más valientes;;;;;;;;;x
String_upgrade_promises_safety;[This.GetName] promises safety in times of need;[This.GetName] promet la sécurité en cas de besoin;[This.GetName] verspricht Sicherheit in Zeiten der Not;;[This.GetName] promete seguridad en tiempos de necesidad;;;;;;;;;x
String_upgrade_promise_safety;[This.GetName] are said to guarantee its safety, in times of need;[This.GetName] promettent la sécurité en cas de besoin;[This.GetName] gewährleistet Sicherheit in Zeiten der Not;;Se dice que [This.GetName] garantizan su seguridad en tiempos de necesidad.;;;;;;;;;x
String_upgrade_is_a_work_of_art;[This.GetName] is a work of art;[This.GetName] est un chef d'oeuvre;[This.GetName] ist ein Kunstwerk;;[This.GetName] es una obra de arte;;;;;;;;;x
String_upgrade_are_beautifully_made;[This.GetName] are beautifully crafted;[This.GetName] sont sublimes;[This.GetName] ist besonders schön gestaltet;;[This.GetName] están hermosamente hechos a mano;;;;;;;;;x
String_statues_keep_demons_away;stone [This.GetName] are said to keep demons at bay;On dit que ces statues en pierre gardent les démons à distance;Die Stein-[This.GetName] soll Dämonen in Schach halten;;Se dice que los/las [This.GetName] de piedra mantienen a raya los demonios;;;;;;;;;x
String_dome_is_second_sky;grand dome is a second sky for its worshipers;La grande coupole est un deuxième ciel pour les fidèles;Die große Domkuppel ist ein zweiter Himmel für seine Anbeter;;La gran cúpula es un segundo cielo para los fieles.;;;;;;;;;x
String_said_to_be_the_envy_of_gardeners;[This.GetName] is said to be the envy of any educated gardener;On dit que le [This.GetName] donne envie à tout bon jardinier;[This.GetName] gilt als Neid jedes ausgebildeten Gärtners;;Se dice que [This.GetName] es la envida de cualquier jardinero educado;;;;;;;;;x
String_brings_comfort_to_pet_owners;[This.GetName] brings comfort to bereaved pet owners from all layers of society;[This.GetName] apporte du réconfort aux propriétaires d'animaux de compagnie endeuillés de toutes les couches de la société;[This.GetName] spendet hinterbliebenden Tierbesitzern aller Gesellschaftsschichten Trost;;[This.GetName] trae consuelo a afligidos dueños de mascotas en todas las capas de la sociedad;;;;;;;;;x
String_lends_moral_support;[This.GetName] lends moral support and a watching eye to the surrounding area;[This.GetName] apporte un soutien moral et un œil attentif aux environs;[This.GetName] bietet der Umgebung moralische Unterstützung und ein wachsames Auge;;[This.GetName] presta apoyo moral y mirada vigilante al área que le rodea;;;;;;;;;x
String_keeps_people_on_their_toes;[This.GetName] is rumored to keep people on their toes;[This.GetName] est réputé pour forcer les gens à rester sur leurs gardes;[This.GetName] soll Gerüchten zufolge die Leute auf dem Boden halten;;Se dice que [This.GetName] mantiene al pueblo alerta;;;;;;;;;x
String_improves_accessibility;[This.GetName] improve accessibility in the area;[This.GetName] améliore l'accessibilité dans la région;[This.GetName] fördert die Zugänglichkeit der Region;;[This.GetName] mejora el acceso al área;;;;;;;;;x
String_contribute_to_heightened_security;[This.GetName] contribute[This.GetSingularS] to a heightened security in the area;[This.GetName] contribue à une sécurité accrue dans la zone;[This.GetName] trägt besonders zu einer erhöhten Sicherheit in der Umgebung bei;;[This.GetName] contribuye a una seguridad reforzada en el área;;;;;;;;;x
String_bring_luxury_during_colder_seasons;[This.GetName] bring[This.GetSingularS] an unparalleled feeling of luxury during cold seasons;[This.GetName] apporte un sentiment de luxe sans égal pendant les saisons froides;[This.GetName] bietet in der kalten Jahreszeit ein unvergleichliches Luxusgefühl;;[This.GetName] trae una sensación de lujo sin igual en las estaciones frías;;;;;;;;;x
String_acts_as_entertainment;[This.GetName] act[This.GetSingularS] as a source of rare entertainment in the area;[This.GetName] est une source de divertissement rare dans la région;[This.GetName] dient als Quelle seltener Unterhaltung in der Region;;[This.GetName] funciona como una fuente de entretenimiento inusual en el área;;;;;;;;;x
String_can_be_seen_from_far_away;[This.GetName] can be seen from far away;[This.GetName] peut être vu de loin;[This.GetName] kann von weit her gesehen werden;;[This.GetName] puede verse desde muy lejos;;;;;;;;;x
String_signals_expected_obedience;[This.GetName] installed by the owner signal[This.GetSingularS] a certain expectation of obedience;[This.GetName] signale une certaine attente d'obéissance;[This.GetName] signalisiert eine gewisse Erwartung des Gehorsams gegenüber dem Erbauer;;[This.GetName], instalada por su propietario, indica una cierta expectativa de obediencia;;;;;;;;;x
String_rumored_to_be_the_best;[This.GetName] is rumored to be the best in the realm;[This.GetName] est ce qu'il y a de mieux dans son genre;[This.GetName] soll das Beste seiner Art im Reich sein;;;;;;;;;;;x
String_bring_in_cash;[This.GetName] are bringing in extra finances from the area;[This.GetName] apporte des fonds supplémentaires de la région;[This.GetName] bringt zusätzliche finanzielle Mittel für die Region ein;;[This.GetName] trae recursos extras del área;;;;;;;;;x
String_offers_relaxation;[This.GetName] offer[This.GetSingularS] respite for weary travelers;[This.GetName] accueille les voyageurs fatigués;[This.GetName] bietet Erholung für müde Reisende;;[This.GetName] ofrece respiro a los viajeros cansados;;;;;;;;;x
String_inspires_awe;[This.GetName] inspire[This.GetSingularS] solemn awe;[This.GetName] inspire une grande crainte;[This.GetName] inspiriert Ehrfurcht in allen, die es besuchen;;[This.GetName] inspira un respeto solemne;;;;;;;;;x
String_remains_a_rumor;[This.GetName] remain[This.GetSingularS] a strange rumor;[This.GetName] reste une étrange rumeur;[This.GetName] bleibt ein merkwürdiges Gerücht;;[This.GetName] continúa[This.GetSingularS] siendo un extraño rumor;;;;;;;;;x
String_most_recently_added;splendid [This.GetName] draw[This.GetSingularS] a lot of attention;le splendide [This.GetName] attire l'attention;[This.GetName] zieht besonders viel Aufmerksamkeit auf sich;;el(los)/la(s) espléndido/a(s) [This.GetName] recibe[This.GetSingularS] mucha atención.;;;;;;;;;x

# GetMythologicalBeast
String_Sphinx;Great Sphinx of Giza;Grand sphinx de Gizeh;Große Sphinx von Gizeh;;Gran esfinge de Guiza;;;;;;;;;x
String_MythologicalBeast;Mythological Beast Statue;Statue mythologique de la bête;Statue einer mystischen Bestie;;Estatua de animal mitológico;;;;;;;;;x

# GetWonderTerrain
string_coast;coast;la côte;Küste;;costa;;;;;;;;;x
String_forest;forest;a forêt;Wald;;bosque;;;;;;;;;x

# GetHagiaSophiaUse
string_Hagia_Sophia_Latin; and was converted to the Latin cult after the conquest of Constantinople;elle a été convertie au culte latin après la conquête de Constantinople; und sie wurde nach der Eroberung Konstantinopels vom lateinischen Kult konvertiert;; y se convirtió al culto latino tras la conquista de Constantinopla;;;;;;;;x
string_Hagia_Sophia_Muslim; and was converted to be the Imperial Mosque after the conquest of Constantinople;elle est devenue la mosquée impériale après la conquête de Constantinople; und sie wurde nach der Eroberung Konstantinopels zur Kaisermoschee umfunktioniert;; y se convirtió en mezquita imperial tras la conquista de Constantinopla;;;;;;;;x
string_Hagia_Sophia_Orthodox; and is the seat of the Ecumenical Patriarch of Constantinople;elle est le siège du patriarche œcuménique de Constantinople; und sie ist nun der Sitz des Ökumenischen Patriarchen von Konstantinopel;; y es la sede del patriarca ecuménico de Constantinopla;;;;;;;;x
string_pride_of_constantinople; and is the pride of Constantinople;elle fait la fierté de Constantinople; und sie ist der Stolz von Konstantinopel;; y es el orgullo de Constantinopla;;;;;;;;x

