# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
celibate_mom_dec_desc;I have faced a particularly troublesome pregnancy. The next one could be lethal. Maybe it would be best to abstain rather than risk death.;J'ai vécu une grossesse particulièrement difficile. La prochaine pourrait être mortelle. Peut-être ferais-je mieux de m'abstenir plutôt que de risquer ma vie.;Ich habe eine besonders schwierige Schwangerschaft erlebt. Die nächste könnte tödlich sein. Vielleicht wäre es besser, sich zurückzuhalten, als den Tod zu riskieren.;;Me he enfrentado a un embarazo especialmente problemático. El siguiente podría ser mortal. Puede que sea mejor la abstinencia a la muerte.;;;;;;;;;x
come_out_of_hiding;Come out of Hiding;Sortir de sa cachette;Versteck verlassen;;Salir de la Clandestinidad;;;;;;;;;x
come_out_of_hiding_desc;Once the threatening danger is over, I may go out of hiding and return to public life.;Lorsque plus aucun danger ne me menacera, je pourrai sortir de ma cachette et retourner à la vie publique.;Wenn die ärgste Bedrohung vorüber ist, kann ich aus dem Versteck kommen und ins öffentliche Leben zurückkehren.;;Una vez se ha desvanecido la amenaza, puedo salir de la clandestinidad y volver a la vida pública.;;;;;;;;;x
commit_suicide;Commit Suicide;Se suicider;Selbstmord;;Suicidarse;;;;;;;;;x
commit_suicide_desc;Your depression has gotten the better of you and you have decided to end it all.;La dépression a pris le dessus et vous avez décidé d'en terminer avec la vie.;Ihr habt Eurer Depression nichts mehr entgegenzusetzen und seid zu dem Schluss gekommen, Eurem Elend ein Ende zu setzen.;;Tu depresión te ha vencido y has decidido terminar con todo.;;;;;;;;;x
conscript_merchant_ships;Conscript Merchant Ships;Navire marchand conscrit;Handelsschiffe zwangsverpflichten;; Barcos mercantes conscriptos;;;;;;;;;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;En raison de ses propriétés outre-mer, mon pays possède un bon nombre de navire marchands que je peux mobiliser en temps de guerre. Évidemment, cela a un prix...;Aufgrund von Besitztümern in Übersee gedeiht in meinem Reich die Handelsschifffahrt. Die Schiffe der Händler können in Kriegszeiten zwangsverpflichtet werden - nur gegen Gold, versteht sich...;; Con propiedades en el extranjero, mi reino tiene gran parte de la marina mercante que puede ser reclutada en tiempos de guerra - por una buena suma de oro, por supuestoÉ;;;;;;;;;x
convert_to_andalusian;Embrace Andalusian Culture;Adopter la culture andalouse;Andalusische Kultur;;Acoger la Cultura Andaluza;;;;;;;;;x
convert_to_andalusian_desc;Southern Spain is a melting pot of old and new, Christian and Muslim, Iberian and Arabic. Out of all this, a new Andalusian identity is emerging. Perhaps it is time we recognized it as our own...;Le sud de l'Espagne est un creuset mélangeant l'ancien et le nouveau, le christianisme et l'islam, la culture ibère et la culture arabe. En émerge une nouvelle identité andalouse. Il est peut-être temps que nous la reconnaissions comme telle...;Südspanien ist ein Schmelztiegel von Alt und Neu, von Christentum und Islam, von Iberischem und Arabischem. Daraus entsteht eine neu andalusische Identität. Vielleicht sollten wir sie uns zu eigen machen ...;;El sur de España es una mezcla de lo viejo y lo nuevo, de cristianismo y religión musulmana, de lo ibérico con lo árabe. Con todo esto, está emergiendo una nueva identidad andaluza. Puede que sea el momento de reconocerla como propia...;;;;;;;;;x
convert_to_attacker_religion;Convert to Attacker's Religion;Adopter la religion des attaquants;Zur Religion des Angreifers konvertieren;;Convertir a la Religión del Atacante;;;;;;;;;x
convert_to_attacker_religion_desc;We are currently under attack for religious reasons. If I accept conversion, I can end this war now and protect my people...;Nous sommes présentement attaqués pour des raisons religieuses. Si j'accepte la conversion, je pourrai mettre fin à cette guerre et protéger mon peuple...;Wir werden aus religiösen Gründen angegriffen. Wenn ich der Konvertierung zustimme, kann ich den Krieg sofort beenden und mein Volk schützen...;;En estos momentos estamos bajo ataque por motivos religiosos. Si acepto la conversión, puedo terminar esta guerra y proteger a mi pueblo...;;;;;;;;;x
convert_to_castilian;Embrace Castilian Culture;Adopter la culture castillane;Kastilische Kultur;;Acoger la Cultura Castellana;;;;;;;;;x
convert_to_castilian_desc;As local traditions evolve, many people in our realm are now identifying themselves as Castilian rather than Visigoths. We could do the same...;Tandis que les traditions locales évoluent, plusieurs personnes du royaume s'identifient maintenant comme Castillans plutôt que Wisigoths. Nous pourrions faire de même...;Wie sich die Tradition in unseren Ländern entwickelt, sehen sich nun viele in unserem Reich eher als Kastilier denn als Westgoten. Wir könnten es genauso machen ...;;Con la evolución de las tradiciones locales, en nuestro reino mucha gente se identifica a sí misma como castellana más que como visigoda. Podríamos hacer lo mismo...;;;;;;;;x
convert_to_catalan;Embrace Catalan Culture;Adopter la culture catalane;Katalanische Kultur;;Acoger la Cultura Catalana;;;;;;;;;x
convert_to_catalan_desc;As local traditions evolve, many people in our realm are now identifying themselves as Catalan rather than Visigoths. We could do the same...;Tandis que les traditions locales évoluent, plusieurs personnes du royaume s'identifient maintenant comme Catalans plutôt que Wisigoths. Nous pourrions faire de même...;Wie sich die Tradition in unseren Ländern entwickelt, sehen sich nun viele in unserem Reich eher als Katalanen denn als Westgoten. Wir könnten es genauso machen ...;;Con la evolución de las tradiciones locales, en nuestro reino mucha gente se identifica a sí misma como catalana más que como visigoda. Podríamos hacer lo mismo...;;;;;;;;x
convert_to_danish;Embrace Danish Culture;Adopter la culture danoise;Nehmt die dänische Kultur an;;Adoptar la Cultura Danesa;;;;;;;;;x
convert_to_danish_desc;Our brethren in Norway and Sweden are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Nos frères de Norvège et de Suède ont adopté des coutumes étrangères et parlent avec un accent des plus prononcés. Il est peut-être temps de développer notre propre culture...;Unsere Brüder in Norwegen und Schweden nehmen ausländische Gebräuche an und sprechen mit immer fremderem Akzent. Vielleicht ist es an der Zeit, unsere eigene Kultur zu entwickeln...;;Nuestros hermanos en Noruega y Suecia están adoptando costumbres extrañas y hablan con acento cada vez más fuerte. Tal vez es el momento de desarrollar nuestra propia cultura...;;;;;;;;;x
convert_to_dutch;Embrace Dutch Culture;Adopter la culture hollandaise;Holländische Kultur;;Acoger la Cultura Holandesa;;;;;;;;;x
convert_to_dutch_desc;Distinct cultural traditions are evolving in the Low Countries, with many people now calling themselves Dutch. We could embrace this change ourselves...;Des traditions culturelles distinctes se développent aux Pays-Bas, et plusieurs se considèrent dorénavant comme des Hollandais. Nous pourrions nous aussi adopter ce changement...;In den Niederlanden entstehen neue Traditionen, viele Menschen nennen sich nun Holländer. Wir könnten diese Wandel mitmachen ...;;Diferentes tradiciones culturales están evolucionando en los Países Bajos, ahora mucha gente se autodenomina holandesa. Nosotros también podríamos acoger estos cambios...;;;;;;;;x
convert_to_feudalism_indep;Adopt Feudalism;Adopter le féodalisme;Feudalsystem einführen;;Adoptar feudalismo;;;;;;;;;x
convert_to_feudalism_indep_desc;Adopting Feudalism will convert all my Tribal Holdings into Castles. Where this occurs - if the County is big enough - City and Temple Holdings will also be created if they do not already exist. Your vassals are likely to follow suit if they are of your religion and culture.;Adopter le féodalisme convertira toutes vos propriétés tribales. Là où ce changement se produit, si le comté est assez grand, des cités et des temples apparaîtront également s'ils n'existent pas déjà. Vos vassaux feront probablement de même s'ils partagent votre religion et votre culture.;Durch die Einführung des Feudalsystems werden alle meine Stammesbesitztümer in Burgen umgewandelt. Dabei werden auch Städte- und Tempelbesitztümer geschaffen, vorausgesetzt, in der Provinz ist genug Platz dafür. Bei Vasallen, die Eurer Religion und Kultur angehören, ist es wahrscheinlich, dass sie Eurem Beispiel folgen.;;Al adoptar el feudalismo, todas mis posesiones tribales se convertirán en castillos. Donde esto ocurra (si el condado es lo bastante grande), también se crearán posesiones urbanas y templarias, si todavía no existen. Es probable que tus vasallos hagan lo mismo si son de tu misma religión y cultura.;;;;;;;;;x
convert_to_feudalism_vassal;Adopt Feudalism;Adopter le féodalisme;Feudalsystem einführen;;Adoptar feudalismo;;;;;;;;;x
convert_to_feudalism_vassal_desc;Adopting Feudalism will convert all my Tribal Holdings into Castles. Where this occurs - if the County is big enough - City and Temple Holdings will also be created if they do not already exist. Your vassals are likely to follow suit if they are of your religion and culture.;Adopter le féodalisme convertira toutes vos propriétés tribales. Là où ce changement se produit, si le comté est assez grand, des cités et des temples apparaîtront également s'ils n'existent pas déjà. Vos vassaux feront probablement de même s'ils partagent votre religion et votre culture.;Durch die Einführung des Feudalsystems werden alle meine Stammesbesitztümer in Burgen umgewandelt. Dabei werden auch Städte- und Tempelbestitztümer geschaffen, vorausgesetzt, in der Provinz ist genug Platz dafür. Bei Vasallen, die Eurer Religion und Kultur angehören, ist es wahrscheinlich, dass sie Eurem Beispiel folgen.;;Al adoptar el feudalismo, todas mis posesiones tribales se convertirán en castillos. Donde esto ocurra (si el condado es lo bastante grande), también se crearán posesiones urbanas y templarias, si todavía no existen. Es probable que tus vasallos hagan lo mismo si son de tu misma religión y cultura.;;;;;;;;;x
convert_to_french;Embrace Carolingian Renaissance;Adopter la Renaissance carolingienne;Karolingische Renaissance;;Acoge el Renacimiento Carolingio;;;;;;;;;x
convert_to_french_desc;In our Realm, latin ways and words are increasingly melding in with our Germanic heritage. This tendency is seen above all in learned texts and matters of state and religion. Perhaps we should take the step in earnest and promote this cultural change...;Les manières et les mots latins se mêlent de plus en plus à l'héritage germanique de votre royaume. Cette tendance se retrouve dans tous les écrits et enseignements, tant de l'État que de la religion. Nous pourrions peut-être prendre ceci plus au sérieux et promouvoir ce changement culturel...;In unserem Reich schleichen sich mehr und mehr lateinische Bräuche und Begriffe in unser germanisches Erbe. Dies sieht man vor allem an den Texten der Gelehrten und bei Angelegenheiten von Staat und Religion. Vielleicht sollten wir diese Entwicklung ernst nehmen und den kulturellen Wandel fördern ...;;En nuestro reino, las maneras y palabras latinas están mezclándose cada vez más con nuestra herencia germana. Esta tendencia se puede ver sobretodo en textos, cuestiones de estado y religiosas. Puede que debamos tomar una decisión en serio y promover este cambio cultural...;;;;;;;;;x
convert_to_italian;Embrace Italian Culture;Adopter la culture italienne;Italienische Kultur;;Acoger la Cultura Italiana;;;;;;;;x
convert_to_italian_desc;More and more of our people are becoming completely latinized, adopting Italian customs and speech. Perhaps it is time we did the same...;De plus en plus de personnes sont complètement latinisées, ayant adopté les coutumes et le discours italiens. Il est peut-être temps que nous fassions de même...;Immer mehr von unseren Leuten sind vollständig latinisiert und übernehmen italienische Bräuche und die Sprache. Vielleicht ist es Zeit, es genauso zu machen ...;;Más y más gente de nuestro pueblo se ha latinizado completamente adoptando costumbres y hablares italianos. Quizás sea el momento de que hagamos lo mismo...;;;;;;;;x
convert_to_liege_culture;Convert to Liege's Culture;Adopter la culture [Root.Liege.GetDuDela] [Root.Liege.GetLordLady] lige;Zur Kultur des Lehnsherrn übertreten;;Convertir a la cultura del señor;;;;;;;;;x
convert_to_liege_culture_desc;I am impressed with the language and customs of my liege. I wish I were like that...;La langue et les coutumes de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige m'impressionnent. J'aimerais les adopter...;Ich bin von der Sprache und den Bräuchen meines Lehnsherrn beeindruckt. Ich wünschte, ich wäre auch so ...;;Me impresiona el lenguaje y las costumbres de mi señor. Ojalá yo también pudiera ser así...;;;;;;;;;x
convert_to_liege_religion;Convert to Liege's Religion;Adopter la religion [Root.Liege.GetDuDela] [Root.Liege.GetLordLady] lige;Zur Religion des Lehnsherrn konvertieren;;Convertir a la religión del señor;;;;;;;;;x
convert_to_liege_religion_desc;I am sure my liege would be pleased if we had the same faith...;Nul doute que m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige apprécierait que nous partagions la même foi...;Ich bin sicher, dass mein Lehnsherr erfreut wäre, wenn wir denselben Glauben hätten ...;;Seguro que a mi señor le complacerá que tengamos la misma fe...;;;;;;;;;x
convert_to_norman;Embrace Norman Culture;Adopter la culture normande;Nehmt normannische Kultur an;;Adoptar la Cultura Normanda;;;;;;;;;x
convert_to_norman_desc;The ancestral tongue is spoken by ever fewer of our people, yet the old ways are not forgotten. We are something new - they call us 'Normans'.;Bien que moins de représentants de notre peuple parlent notre langue ancestrale, les anciennes coutumes ne sont point oubliées. Nous sommes un nouveau peuple, on nous appelle les 'Normands'.;Die Zunge unserer Vorväter wird von immer weniger Menschen gesprochen, doch die alten Wege sind noch nicht vergessen. Wir sind etwas Neues - sie nennen uns "Normannen".;;La lengua ancestral cada vez es menos hablada por los nuestros, sin embargo, las viejas costumbres no se olvidan. Somos algo nuevo, nos llaman "Normandos".;;;;;;;;;x
convert_to_norwegian;Embrace Norwegian Culture;Adopter la culture norvégienne;Nehmt die norwegische Kultur an;;Adoptar la Cultura Noruega;;;;;;;;;x
convert_to_norwegian_desc;Our brethren in Sweden and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Nos frères de Suède et du Danemark ont adopté des coutumes étrangères et parlent avec un accent des plus prononcés. Il est peut-être temps de développer notre propre culture...;Unsere Brüder in Dänemark und Schweden nehmen ausländische Gebräuche an und sprechen mit immer fremderem Akzent. Vielleicht ist es an der Zeit, unsere eigene Kultur zu entwickeln...;;Nuestros hermanos en Suecia y Dinamarca están adoptando costumbres extrañas y hablan con acento cada vez más fuerte. Tal vez es el momento de desarrollar nuestra propia cultura...;;;;;;;;;x
convert_to_occitan;Embrace Occitan Culture;Adopter la culture occitane;Okzitanische Kultur;;Acoger la cultura Occitana;;;;;;;;;x
convert_to_occitan_desc;Under the influence of Latin culture, many people in our realm are now adopting Occitan traditions, no longer identifying themselves as Visigoths. We could do the same...;Sous l'influence de la culture latine, plusieurs personnes de notre royaume ont adopté les coutumes occitanes, et ne s'identifient plus du tout comme des Wisigoths. Nous pourrions faire de même...;Unter dem Einfluss der lateinischen Kultur übernehmen immer mehr Menschen in unserem Reich okzitanische Bräuche. Sie sehen sich nicht länger als Westgoten. Wir könnten es genauso machen ...;;Bajo la influencia de la cultura latina, ahora mucha gente de nuestro reino está adoptando tradiciones occitanas y ha dejado de identificarse como visigoda. Podríamos hacer lo mismo...;;;;;;;;;x
convert_to_parent_religion;Abandon Heresy;Abandonner l'hérésie;Ketzerei aufgeben;;Abandonar Herejía;;;;;;;;;x
convert_to_parent_religion_desc;I will rejoin the one true faith.;Je vais rejoindre la seule vraie foi.;Ich werde mich wieder dem einzig wahren Glauben anschließen.;;Un día me reuniré con la única y verdadera fe.;;;;;;;;;x
convert_to_portuguese;Embrace Portugese Culture;Adopter la culture portugaise;Portugiesische Kultur;;Acoger la Cultura Portuguesa;;;;;;;;;x
convert_to_portuguese_desc;As local traditions evolve, many people in our realm are now identifying themselves as Portuguese. We could do the same...;Tandis que les traditions locales évoluent, plusieurs personnes du royaume s'identifient maintenant comme Portugais. Nous pourrions faire de même...;Wie sich die Tradition in unseren Ländern entwickelt, sehen sich nun viele in unserem Reich als Portugiesen. Wir könnten es genauso machen ...;;Con la evolución de las tradiciones, mucha gente en nuestro reino se identifican a sí mismos como portugueses. Podríamos hacer lo mismo...;;;;;;;;x
convert_to_reformed;Convert to Reformed;Adopter la religion réformée;Zu Reformiert konvertieren;;Convertir a Reformado;;;;;;;;;x
convert_to_reformed_desc;I can choose to embrace the Reformed form of the old faith - perhaps better late than never...;Je pourrais choisir d'adopter la forme réformée de la vieille foi, mieux vaut tard que jamais...;Ich kann mich dazu entschließen, die reformierte Form des alten Glaubens anzunehmen – besser spät als nie...;;Puedo elegir abrazar la forma Reformada de la antigua fe quizás mejor tarde que nunca...;;;;;;;;;x
convert_to_republic_indep;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gründen;;Fundar república mercante;;;;;;;;;x
convert_to_republic_indep_desc;Founding a Merchant Republic will convert all my Tribal Holdings into Cities. Where this occurs - if the County is big enough - Castle and Temple Holdings will also be created if they do not already exist. Four suitable vassals will found Patrician families.;Fonder une république marchande convertira toutes vos propriétés tribales en cités. Là où ce changement se produit, si le comté est assez grand, des châteaux et des temples apparaîtront également s'ils n'existent pas déjà. Quatre vassaux qui remplissent les conditions fonderont des familles patriciennes.;Durch die Gründung einer Handelsrepublik werden alle meine Stammesbesitztümer in Städte umgewandelt. Dabei werden auch Burgen- und Tempelliegenschaften geschaffen, vorausgesetzt, in der Provinz ist genug Platz dafür. Vier weitere passende Vasallen werden Patrizierfamilien gründen.;;Al fundar una república mercante, todas mis posesiones tribales se convertirán en ciudades. Donde esto ocurra (si el condado es lo bastante grande), también se crearán posesiones urbanas y templarias, si todavía no existen. Cuatro vasallos adecuados fundarán familias patricias.;;;;;;;;;x
convert_to_russian;Embrace Russian Culture;Adopter la culture russe;Nehmt die russische Kultur an;;Abrazar la cultura rusa;;;;;;;;;x
convert_to_russian_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;Plusieurs de nos sujets ont adopté de nouvelles traditions apportées par des étrangers, les intégrant aux coutumes locales. Peut-être devrions-nous faire de même...;Viele Untertanen übernehmen die Gebräuche und Traditionen der Fremden und vermischen sie mit der vorherrschenden Kultur. Vielleicht sollten wir dasselbe tun ...;;Muchos de nuestros súbditos están adoptando nuevas costumbres y tradiciones traídas por extranjeros y las integran con las costumbres locales. Quizá deberíamos hacer lo mismo...;;;;;;;;;x
convert_to_scottish;Embrace Scottish Culture;Adopter la culture écossaise;Schottische Kultur;;Acoge la Cultura Escocesa;;;;;;;;;x
convert_to_scottish_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;Plusieurs de nos sujets ont adopté de nouvelles traditions apportées par des étrangers, les intégrant aux coutumes locales. Nous pourrions faire de même...;Viele unserer Untertanen nehmen neue, von Fremden eingebrachte Bräuche und Sitten an und verbinden sie mit unseren überlieferten Traditionen. Vielleicht sollten wir es genauso halten ...;;Muchos de nuestros súbditos están adoptando nuevas maneras y tradiciones importadas por extranjeros, integrándolas a las costumbres locales. Quizás deberíamos hacer lo mismo...;;;;;;;;;x
convert_to_swedish;Embrace Swedish Culture;Adopter la culture suédoise;Nehmt die schwedische Kultur an;;Adoptar la Cultura Sueca;;;;;;;;;x
convert_to_swedish_desc;Our brethren in Norway and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Nos frères de Norvège et du Danemark ont adopté des coutumes étrangères et parlent avec un accent des plus prononcés. Il est peut-être temps de développer notre propre culture...;Unsere Brüder in Norwegen und Dänemark nehmen ausländische Gebräuche an und sprechen mit immer fremderem Akzent. Vielleicht ist es an der Zeit, unsere eigene Kultur zu entwickeln...;;Nuestros hermanos en Noruega y Dinamarca están adoptando costumbres extrañas y hablan con acento cada vez más fuerte. Tal vez es el momento de desarrollar nuestra propia cultura...;;;;;;;;;x
convert_tribal_to_castle;Upgrade to Castle;Améliorer en château;Ausbau zur Burg;;Actualización a castillo;;;;;;;;;x
convert_tribal_to_castle_desc;I can upgrade [Root.GetFullName] to a proper Castle. If it is the County capital and the County is big enough, City and Temple Holdings will also be created if they do not already exist.;Je peux faire de cette propriété, [Root.GetFullName], un véritable château. Si c'est la capitale du comté et si le comté est assez grand, des cités et des temples apparaîtront également s'ils n'existent pas déjà.;Ich kann [Root.GetFullName] zu einer regulären Burg ausbauen. Wenn es sich um das Hauptbesitztum der Provinz handelt und die Provinz groß genug ist, werden dabei auch Städte- und Tempelbesitztümer errichtet, falls diese nicht schon vorhanden sind.;;Puedo mejorar [Root.GetFullName] para convertirlo en un castillo. Si es la capital del condado y el condado es lo bastante grande, también se crearán posesiones urbanas y templarias, si todavía no existen.;;;;;;;;;x
convert_tribal_to_castle_named;Upgrade [Root.GetName] to a Castle;Améliorer [Root.GetName] en château;[Root.GetName] zur Burg ausbauen;;Actualizar [Root.GetName] a castillo;;;;;;;;;x
convert_tribal_to_city;Upgrade to City;Améliorer en ville;Ausbau zur Stadt;;Actualización a ciudad;;;;;;;;;x
convert_tribal_to_city_desc;I can upgrade [Root.GetFullName] to a proper City. If it is the County capital and the County is big enough, Castle and Temple Holdings will also be created if they do not already exist.;Je peux faire de cette propriété, [Root.GetFullName], une véritable cité. Si c'est la capitale du comté et si le comté est assez grand, des châteaux et des temples apparaîtront également s'ils n'existent pas déjà.;Ich kann [Root.GetFullName] zu einer regulären Stadt ausbauen. Wenn es sich um das Hauptbesitztum der Provinz handelt und die Provinz groß genug ist, werden dabei auch Burg- und Tempelbesitztümer errichtet, falls diese nicht schon vorhanden sind.;;Puedo mejorar [Root.GetFullName] para convertirlo en una ciudad. Si es la capital del condado y el condado es lo bastante grande, también se crearán posesiones urbanas y templarias, si todavía no existen.;;;;;;;;;x
convert_tribal_to_city_named;Upgrade [Root.GetName] to a City;Améliorer [Root.GetName] en cité;[Root.GetName] zu einer Stadt ausbauen;;Actualizar [Root.GetName] a ciudad;;;;;;;;;x
court_exodus;Ask Courtiers to Leave Court;Demander à des courtisans de quitter la cour;Höflinge darum bitten, den Hof zu verlassen;;Pide a cortesanos que dejen la corte;;;;;;;;;;x
court_exodus_desc;Your court is feeling very crowded. With a small monetary encouragement some of the less influential courtiers could be encouraged to leave court.;Votre cour est très bondée. Avec un petit encouragement monétaire, certains des courtisans les moins influents pourraient être encouragés à la quitter.;Euer Hof fühlt sich sehr voll an. Mit einer kleinen monetären Ermutigung könnten einige der weniger einflussreichen Höflinge dazu ermutigt werden, den Hof zu verlassen.;;La corte parece muy llena. Con un pequeño incentivo económico, se podría animar a algunos de los cortesanos menos influyentes a dejar la corte.;;;;;;;;;;x
create_aragon;Create Aragon;Créer Aragon;Aragon gründen;;Crear Aragón;;;;;;;;;x
create_aragon_desc;I can begin a new era in these lands by founding the Kingdom of Aragon.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume d'Aragon.;Ich kann in diesen Landen eine neue Ära beginnen lassen, indem ich das Königreich Aragon gründe.;;Puedo comenzar una nueva era en estas tierras fundando el Reino de Aragón.;;;;;;;;;x
create_bosnia;Create Kingdom of Bosnia;Former le Royaume de Bosnie;Gründet das Königreich Bosnien;;Crear el Reino de Bosnia;;;;;;;;;x
create_bosnia_desc;For centuries Bosnia has been the battle ground between West and East. No more. It is time for the lords of a united Bosnia to announce their defiance of the regional powers and proclaim themselves as Kings of Bosnia and the Hum at last.;Depuis des siècles la Bosnie sert de champ de bataille entre l’Ouest et l’Est. Cela s’arrête aujourd’hui. Nous, les seigneurs d’une Bosnie unie, défions les pouvoirs régionaux et nous proclamons Rois de la Bosnie et de la terre de Hum.;Jahrhunderte lang war Bosnien ein Schlachtfeld zwischen Orient und Okzident. Genug! Es ist an der Zeit, dass die Fürsten eines vereinten Bosniens den regionalen Mächten die Stirn bieten und sich endlich zu Königen von Bosnien ausrufen.;;Durante siglos, Bosnia ha sido el campo de batalla entre Occidente y Oriente. Se acabó. Es hora de que los señores de una Bosnia unida desafien los poderes regionales y se proclamen finalmente como Reyes de Bosnia y Hum.;;;;;;;;;x
create_castille;Create Castille;Créer Castille;Kastilien gründen;;Crear Castilla;;;;;;;;;x
create_castille_desc;I can begin a new era in these lands by founding the Kingdom of Castille.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume de Castille.;Ich kann in diesen Landen eine neue Ära beginnen lassen, indem ich das Königreich Kastilien gründe.;;Puedo comenzar una nueva era en estas tierras fundando el Reino de Castilla.;;;;;;;;;x
create_portugal;Create Portugal;Créer le Portugal;Portugal gründen;;Crear Portugal;;;;;;;;;x
