heir_flavor_desc_1;Ascending to the throne at age [GetAgeYears] is;Monte sur le trône à l'âge de [GetAgeYears] ans;Thronbesteigung im Alter von [GetAgeYears];;Asciende al trono a los [GetAgeYears] años;;;;;;;;x
heir_flavor_desc_default;Ascending to the throne at age [GetAgeYears] is;Monte sur le trône à l'âge de [GetAgeYears] ans;Thronbesteigung im Alter von [GetAgeYears];;Asciende al trono a los [GetAgeYears] años;;;;;;;;x
heir_text_learning;A wise and learned [GetManWoman], progress and innovation is expected under [GetHerHis] rule;, un[Get_E] [GetManWoman] sage et érudit[Get_E] dont nous attendons des innovations, lui succède;Da [GetSheHe] weise und gebildet ist, versprechen wir uns große Fortschritte und Innovationen.;;[GetManWoman] inteligente e instruid[GetOA], se espera progreso e innovación bajo su reinado.;;;;;;;;;x
heir_text_military;Being a talented military tactician, we expect [GetHerHim] to lead us to many victories on the field of battle; lui succède. Fin tacticien militaire, nous nous attendons à ce qu'[GetIlElle] nous mène à de nombreuses victoires sur le champ de bataille;Da [GetSheHe] über großes militärisches Geschick verfügt, erwarten wir, dass [GetSheHe] uns zu vielen Siegen auf dem Schlachtfeld führen wird.;;Al poseer una talentosa táctica militar, de [GetElElla] esperamos que nos lleve a muchas victorias en el campo de batalla;;;;;;;;;x
heir_text_piety;A godly [GetManWoman], [GetFirstName] is sure to impress the [Religion.GetPriestTitle]s with [GetHerHis] extensive knowledge of the [Religion.GetScriptureName]; lui succède. Un[Get_E] [GetManWoman] dévot[Get_E], [GetIlElle] impressionnera les [Religion.GetPriestTitle]s avec ses connaissances [Get_du_Scripture];[GetFirstName] ist fromm und wird die [Religion.GetPriestTitle]-Gemeinde zweifelsohne mit umfassendem Wissen über [Religion.GetScriptureName] zu beeindrucken wissen.;; [GetManWoman] devot[GetOA], [GetFirstName] acabará por impresionar al [Religion.GetPriestTitle]s con su extenso conocimiento del/la [Religion.GetScriptureName];;;;;;;;;x
heir_text_poor_health;A frail and sickly [GetManWoman], the realm wishes for good health to return to [GetHerHim]; lui succède. Une personne frêle et maladive, le pays lui souhaite de retrouver une bonne santé;Da [GetSheHe] so gebrechlich und kränklich ist, hofft das gesamte Reich darauf, [GetSheHe] möge sich bald besser fühlen.;;[GetManWoman] frágil y enfermiz[GetOA], el reino desea que [GetRleRla] vuelva la buena salud;;;;;;;;;x
heir_text_prestige;A renowned [GetManWoman], dignitaries from far and wide will surely bow before [GetHerHim];, un[Get_E] [GetManWoman] célèbre, lui succède. Des dignitaires venus de loin se courberont devant [GetLuiElle];Da [GetSheHe] äußerst berühmt ist, werden sich Würdenträger aus nah und fern sicherlich unterwürfig zeigen.;;Un[GetXA] [GetManWoman] de renombre, dignatarios de todos los lugares se inclinarán ante [GetElElla];;;;;;;;;x
heir_text_rich;In possession of fabulous riches, only time will tell if [GetSheHe] will make the realm thrive or roost on the gold like a dragon; lui succède. Richissime, nous verrons [GetSilSielle] fera prospérer le pays ou [GetSilSielle] trônera sur l'or tel un dragon;[GetSheHeCap] ist äußerst vermögend, doch es ist noch nicht klar, ob [GetSheHe] das Reich zu noch mehr Wohlstand führt, oder das Gold wie ein Drache hütet.;;Al poseer riquezas fabulosas, solo el tiempo dirá si hará prosperar al reino o se sentará sobre ellas, como si fuera un dragón.;;;;;;;;;x
heir_text_rivals;Surrounded by enemies and rivals, we hope that [GetFirstName]'s rule is not struck short by means of a dagger in the back; lui succède. Entouré[Get_E] d'ennemis et de rivaux, nous espérons que son règne ne soit pas écourté par un poignard planté dans le dos;[GetFirstName] ist von Feinden und Rivalen umgeben. Wir hoffen, dass [GetSheHe] kein vorzeitiges Ende durch einen Dolchstoß erleidet.;;Rodead[GetOA] de enemigos y rivales, ojalá el reinado de [GetFirstName] no dure poco a mediante una puñalada por la espalda;;;;;;;;;x
heir_text_stewardship;Being both thrifty and frugal, the realm will surely prosper under [GetHerHis] rule; lui succède. Son caractère frugal et économe permettra sûrement au pays de prospérer;Da er [GetSheHe] als sparsam und genügsam gilt, sollte [GetSheHe] dem Reich sicher zu Wohlstand verhelfen können.;;Económic[GetOA] y frugal, seguro que el reino prosperará bajo su reinado.;;;;;;;;;x
heir_text_strong_and_smart;Possessing a mighty physique and an exceptionally astute mind, [GetFirstName]'s rule is sure to spawn both song and tale; lui succède. Possédant un physique puissant et un esprit intuitif, son règne se répandra en chansons et en légendes;[GetFirstName] verfügt über beeindruckende körperliche sowie geistige Stärke und es werden sicher Lieder und Legenden über [GetHerHim] verfasst.;;Al poseer un físico poderos y una mente excepcionalmente astuta, el reinado de [GetFirstName] producirá cantares e historias;;;;;;;;;x
heir_text_three_skills;Having mastered many skills, [GetSheHe] is sure to be admired by [GetHerHis] subjects; lui succède. Maîtrisant plusieurs domaines de compétence, [GetIlElle] sera sans doute admiré[Get_E] par ses sujets;Da [GetSheHe] viele Fertigkeiten gemeistert hat, werden die Untertanen [GetHerHim] sicherlich verehren.;;Dominando tantas habilidades, seguro que será admirad[GetOA] por sus súbditos;;;;;;;;;x
heir_text_traits_adventurer;An adventurous [GetManWoman], [GetFirstName]'s life is likely to be filled with glory and excitement; lui succède. Un aventurier dont la vie est remplie de gloire et d'excitations;[GetFirstName] gelüstet es nach Abenteuern, und [GetSheHe] wird sicherlich ein aufregendes und ruhmreiches Leben führen.;;[GetManWoman] aventurer[GetOA], es probable que la vida de [GetFirstName] esté lleno de gloria y emoción;;;;;;;;;x
heir_text_traits_ambitious;Being an ambitious [GetManWoman], we expect the realm to grow and prosper under [GetHerHis] rule; lui succède. Puisque c'est un[Get_E] [GetManWoman] plein[Get_E] d'ambitions, nous nous attendons à ce que le pays grandisse et prospère sous son règne;[GetFirstName] ist ehrgeizig und sollte dem Reich Wachstum und Wohlstand bringen.;;[GetManWoman] ambicios[GetOA], esperamos que el reino crezca y prospere bajo su reinado;;;;;;;;;x
heir_text_traits_arbitrary;A corrupt and unjust [GetManWoman], we do not expect [GetHerHis] vassals to sit idly by if the realm starts crumbling; lui succède. Un[Get_E] [GetManWoman] corrompu[Get_E] et injuste, ses vassaux ne resteront pas les bras croisés si le pays devait s'effondrer;[GetFirstName] ist korrupt und ungerecht. Wenn das Reich zu zerfallen droht, werden die Vasallen wohl kaum untätig zusehen.;;[GetManWoman] corrupt[GetOA] e injust[GetOA], no esperamos que sus vasallos se queden sentados si el reino empieza a venirse abajo;;;;;;;;;x
heir_text_traits_attractive;Beautiful beyond words, [GetFirstName]'s appearance will have foreign dignitaries groveling at [GetHerHis] feet; lui succède. Sa beauté est indescriptible, et les dignitaires étrangers ramperont à ses pieds;[GetFirstName] ist unbeschreiblich schön und wird fremdländische Würdenträger vor sich auf dem Bauche rutschen lassen.;;De una belleza que no puede expresar con palabras, la aparición de [GetFirstName] hará que los dignatarios extranjeros se postren a sus pies;;;;;;;;;x
heir_text_traits_brave;Courageous and willing to rush to action, we hope that [GetFirstName]'s bravery will not see the realm fall into reckless ruin; lui succède. Brave et prêt[Get_E] à l'action, nous espérons qu'[GetIlElle] ne mènera pas le pays à sa ruine;[GetFirstName] ist mutig und voller Tatendrang. Wir hoffen, [GetSheHe] wird das Reich nicht unbesonnen in den Ruin stürzen.;;Valiente y deseando saltar a la acción, esperamos que la bravura de [GetFirstName] no sea imprudencia que lleve al reino a la ruina;;;;;;;;;x
heir_text_traits_charitable;A generous [GetManWoman], we hope that not all the wealth of the realm end up in the pockets of the [Religion.GetPriestTitle]s; lui succède. Enclin[Get_E] à la charité, nous espérons que toute la richesse du pays n'ira pas dans les poches des [Religion.GetPriestTitle]s;Da [GetSheHe] sehr freigiebig ist, hoffen wir, dass nicht das gesamte Reichsvermögen in die Taschen des Klerus wandern wird.;;[GetManWoman] generos[GetOA], esperamos que no toda la riqueza del reino termine en los bolsillos de los [Religion.GetPriestTitle]s;;;;;;;;;x
heir_text_traits_charitable_just;An equitable [GetManWoman], we expect [GetHerHim] to ascertain that everyone gets their fair share; lui succède. Un[Get_E] [GetManWoman] équitable qui s'assurera que chacun est sa part;[GetSheHeCap] gilt als äußerst gerecht und wir gehen davon aus, dass niemand zu kurz kommen wird.;;[GetManWoman] equitativ[GetOA], esperamos de [GetElElla] que se asegure de que todos reciben lo que es justo;;;;;;;;;x
heir_text_traits_chaste;Loyal to [GetHerHis] spouse and family, [GetFirstName]'s dynasty, [GetOnlyDynastyName], is likely to view [GetHerHim] with fond eyes; lui succède. Fidèle à s[GetOnAOpp] [GetHusbandWifeOpp] et à sa famille, la dynastie [GetOnlyDynastyName] [GetLeLa] regarde avec des yeux tendres;[GetFirstName] ist Ehepartner und Familie treu ergeben. Die [GetOnlyDynastyName]-Dynastie wird ihn [GetHerHim] wohlwollend akzeptieren.;;Leal a su consorte y familia, es muy probable que [GetOnlyDynastyName] de [GetFirstName] [GetRleRla] vean con afecto;;;;;;;;;x
heir_text_traits_content;Content with [GetHerHis] lot, [GetFirstName]'s vassals may ridicule [GetHerHim] for [GetHerHis] passive nature; lui succède. Se contentant de ce qu'[GetIlElle] a, ses vassaux pourraient se moquer de sa nature passive;[GetFirstName] ist mit dem Schicksal zufrieden, selbst wenn die Vasallen diese Passivität lächerlich finden mögen.;;Content[GetOA] con su parte, los vasallos de [GetFirstName] puede que le ridiculicen por su naturaleza pasiva;;;;;;;;;x
heir_text_traits_content_arbitrary;A carefree [GetManWoman], [GetSheHe] is perfectly fine with letting things stay as they are; lui succède. Un[Get_E] [GetManWoman] insouciant[Get_E] qui laisse les choses telles qu'elles sont;Da [GetSheHe] völlig sorglos und unbekümmert ist, wird wohl weiterhin alles seinen gewohnten Gang gehen.;;[GetManWoman] despreocupad[GetOA], es perfectamente capaz de dejar las cosas tal como están;;;;;;;;;x
heir_text_traits_craven;A craven coward, it is unlikely that [GetHerHis] subjects will respect [GetHerHim]; lui succède. Sa lâcheté ne sera pas appréciée par ses sujets;So hundsfeige wie [GetSheHe] ist, werden die Untertanen [GetHerHim] wohl kaum respektieren.;;Un[GetXA] vil cobarde, es improbable que su súbditos [GetRleRla] respeten.;;;;;;;;;x
heir_text_traits_craven_honest;Ever willing to admit [GetHerHis] weaknesses of which there are many, it is with great doubt if the realm will confide in their new [PrimaryTitle.GetRulerTitle]; lui succède. Toujours enclin[Get_E] à admettre ses défauts qui sont nombreux, c'est avec un grand doute que le pays se fie à [GetLuiElle];[GetSheHeCap] hat viele Schwächen und gesteht diese auch offen ein. Ob [GetSheHe] auf dem [PrimaryTitle.GetRulerTitle]-Posten das Vertrauen des Reichs erlangen kann, ist mehr als zweifelhaft.;;Siempre dispuest[GetOA] a admitir sus numerosas debilidades, dudamos mucho que el reino llegue a confiar en su nuev[GetOA] [PrimaryTitle.GetRulerTitle];;;;;;;;;x
heir_text_traits_craven_military_ed;Preferring to lead troops from the safety of [GetHerHis] home, [GetFirstName] will have a hard time inspiring the troops; lui succède. Préférant diriger les troupes depuis la sécurité de sa demeure, [GetIlElle] aura du mal à les motiver;Da [GetFirstName] die Truppen lieber aus heimatlicher Sicherheit anführt, wird [GetSheHe] sich schwertun, die Soldaten anzuspornen.;;A [GetFirstName] le costará inspirar a las tropas, ya que prefiere dirigirlas desde la seguridad de su casa;;;;;;;;;x
heir_text_traits_cruel;A mean-spirited [GetManWoman], we expect [GetFirstName]'s court to live in fear of [GetHerHim]; lui succède. Un[Get_E] [GetManWoman] mesquin[Get_E] qui instille la peur chez ses sujets;[GetFirstName] ist niederträchtig und der Hof wird [GetHerHim] sicherlich fürchten.;;[GetManWoman] mezquin[GetOA], esperamos que la corte de [GetFirstName] viva temiéndo[GetRleRla];;;;;;;;;x
heir_text_traits_cruel_wroth;A true sadist, we fear for what the realm will turn into under [GetHerHis] rule; lui succède. Étant un[Get_E] véritable sadique, nous avons peur de ce que deviendra le pays sous son règne;Aufgrund der sadistischen Züge von [GetFirstName] befürchten wir das Schlimmste für das Reich.;;Tod[GetXA] un[GetXA] sádic[GetOA], tememos en qué se convertirá el reino bajo su reinado;;;;;;;;;x
heir_text_traits_cynical;Never caring for the word of the [Religion.GetPriestTitle], many fear [GetFirstName]'s rule will come to an early end as [Religion.GetHighGodName] smites [GetHerHim]; lui succède. Ne se souciant pas des paroles des [Religion.GetPriestTitle]s, beaucoup craignent que [Religion.GetHighGodName] n'écourte son règne en guise de châtiment;[GetFirstName] hatte nie viel für die Predigten der Geistlichen übrig, sodass viele befürchten, dass [Religion.GetHighGodName] [GetFirstName] vorzeitig niederstrecken wird.;;Jamás le han preocupado las palabras del [Religion.GetPriestTitle], muchos temen que el reinado de [GetFirstName] tenga un fin temprano cuando [Religion.GetHighGodName] [GetRleRla] aniquile;;;;;;;;;x
heir_text_traits_cynical_arbitrary;Lacking a moral compass, [GetHerHis] subjects will have to learn whether they should fear or respect [GetHerHim]; lui succède. Manquant de boussole morale, ses sujets apprendront s'ils doivent [GetLeLa] craindre ou [GetLeLa] respecter;Da [GetSheHe] über keinerlei moralischen Kompass verfügt, wird das Volk erst herausfinden müssen, ob es [GetHerHim] fürchten oder respektieren soll.;;Al no tener brújula moral alguna, sus súbditos tendrán que aprender si temer[GetRleRla] o respetar[GetRleRla];;;;;;;;;x
heir_text_traits_cynical_cruel;Never fearing the wrath of [Religion.GetHighGodName], [GetFirstName] is unlikely to spare any subject the punishments [GetSheHe] sees fit; lui succède. Ne craignant pas la colère divine, [GetIlElle] n'épargnera probablement ses châtiments à aucun sujet;Der Zorn von [Religion.GetHighGodName] lässt [GetFirstName] völlig kalt, und kaum ein Untertan wird verschont, wenn [GetSheHe] die Bestrafung für angemessen hält.;;Como jamás ha temido la ira de [Religion.GetHighGodName], es muy improbable que [GetFirstName] no castigue a sus súbditos como se le antoje;;;;;;;;;x
heir_text_traits_cynical_just;Not fearing [Religion.GetHighGodName], [GetSheHe] never lets religion get in the way of justice; lui succède. Ne craignant pas [Religion.GetHighGodName], [GetIlElle] ne laisse jamais la religion faire obstacle à la justice;[GetSheHeCap] fürchtet [Religion.GetHighGodName] nicht und wird niemals zulassen, dass Religion über Gerechtigkeit gestellt wird.;;Al no temer a [Religion.GetHighGodName], no dejará jamás que la religión se interponga en el camino de la justicia;;;;;;;;;x
heir_text_traits_decadent;Decadent and indulgent, [GetSheHe] brings shame upon the [GetOnlyDynastyName] dynasty - an ill spell for the future of the realm; lui succède. Décadent[Get_E] et indulgent[Get_E], [GetIlElle] fait honte à la dynastie [GetOnlyDynastyName] - un mauvais présage pour le pays;[GetSheHeCap] ist dekadent, maßlos und bringt Schande über die [GetOnlyDynastyName]-Dynastie. Schlechte Aussichten für die Zukunft des Reichs.;;Decadente e indulgente, avergüenza a la dinastía [GetOnlyDynastyName], un mal augurio para el futuro del reino;;;;;;;;;x
heir_text_traits_deceitful;Devious and deceptive, [GetFirstName]'s feud with truth itself may also be [GetHerHis] undoing; lui succède. Sa fourberie pourrait bien [GetLeLa] mener à sa perte;[GetFirstName] ist verschlagen und falsch. [GetSheHeCap] nimmt es mit der Wahrheit nicht so genau, was [GetHerHim] letztlich in den Untergang treiben könnte.;;Taimad[GetOA] y engaños[GetOA], la enemistad de [GetFirstName] con la misma verdad puede ser su perdición;;;;;;;;;x
heir_text_traits_deceitful_envious;A devious and discontent soul, [GetHerHis] rule is likely to be filled with spite and intrigue;, un esprit sournois et insatisfait, lui succède. Son règne sera sans doute fait de rancune et d'intrigues;Da [GetSheHe] eine verschlagene und unzufriedene Seele ist, müssen wir uns auf eine Herrschaft voller Tücke und Intrigen gefasst machen.;;De alma taimada y descontenta, es probable que su reinado está lleno de rencor e intriga;;;;;;;;;x
heir_text_traits_diligent;Energetic and collected, [GetFirstName] will surely improve the realm under [GetHerHis] rule; lui succède. Énergique et serein[Get_E], [GetIlElle] améliorera sans doute le pays durant son règne;[GetFirstName] ist energetisch, gefasst und wird das Reich sicherlich verbessern.;;Enérgic[GetOA] y seren[GetOA], [GetFirstName] seguramente mejore el reino bajo su reinado;;;;;;;;;x
heir_text_traits_diligent_greedy;An industrious [GetManWoman], the realm will either be brought to riches or ruin under [GetHerHim]; lui succède. Un[Get_E] [GetManWoman] assidu[Get_E] et avide, dont on ignore si le règne enrichira ou malmènera le pays;[GetFirstName] ist arbeitsam und wird das Reich zur Blüte bringen oder in den Ruin stürzen.;;[GetManWoman] trabajador[GetXA], [GetRleRla] tocará llevar el reino a la riqueza… o a la ruina;;;;;;;;;x
heir_text_traits_envious;Being an envious and distrustful [GetManWoman], the vassals of the realm will have a hard time gaining [GetHerHis] trust; lui succède. Enviant les autres et étant méfiant[Get_E], les vassaux auront du mal à gagner sa confiance;[GetSheHeCap] ist von Neid und Argwohn zerfressen. Die Vasallen des Reichs werden es schwer haben, das Vertrauen von [GetFirstName] zu erlangen.;;[GetManWoman] envidios[GetOA] y desconfiad[GetOA], a los vasallos del reino les costará mucho ganarse su confianza;;;;;;;;;x
heir_text_traits_erudite;A bookish and scholarly [GetManWoman], we fear the [Religion.GetPriestTitle]s will thrive while the Burghers suffer;, un[Get_E] érudit[Get_E], lui succède. Nous craignons que les [Religion.GetPriestTitle]s se portent bien et que les bourgeois ne souffrent de son règne;[GetFirstName] liest und lernt gerne. Wir fürchten, die [Religion.GetPriestTitle]-Gemeinde wird davon profitieren, während das Bürgertum darunter leiden wird.;;[GetManWoman] erudit[GetOA] y aficionad[GetOA] a los libros, tememos que los [Religion.GetPriestTitle]s prosperen mientras los burgueses sufren;;;;;;;;;x
heir_text_traits_falconer;Graceful in [GetHerHis] handling of birds of prey, [GetFirstName] is sure to skillfully impress both visiting vassals and foreign dignitaries; lui succède. Maniant les oiseaux de proie avec grâce, [GetIlElle] saura impressionner les vassaux et les dignitaires étrangers lui rendant visite;[GetFirstName] hat den meisterhaften Umgang mit Greifvögeln erlernt und wird mit Sicherheit durchreisende Vasallen und fremdländische Würdenträger zu beeindrucken wissen.;;Grácil en su manejo sus aves de presa, es muy probable que [GetFirstName] impresione hábilmente tanto a los vasallos de visita como a los dignatarios extranjeros;;;;;;;;;x
heir_text_traits_glutton_greedy;A rotund and selfish [GetManWoman], we are hoping [GetSheHe] will not eat the realm out of house and home; lui succède. Un[Get_E] [GetManWoman] enrobé[Get_E] et égoïste, nous espérons qu'[GetIlElle] n'engloutira pas le pays;[GetSheHeCap] ist dicklich, eigennützig und wird hoffentlich nicht das gesamte Reich arm fressen.;;[GetManWoman] voluminos[GetOA] y egoísta, esperamos que no deje el reino vacío;;;;;;;;;x
heir_text_traits_gluttonous;A large [GetManWoman], we hope that [GetSheHe] puts the realm before [GetHerHis] own hunger; lui succède. Un[Get_E] [GetManWoman] enrobé[Get_E], dont nous espérons qu'[GetIlElle] fera passer le pays avant sa faim;Da [GetFirstName] sehr gut gebaut ist, hoffen wir, dass [GetSheHe] das Reich über den eigenen Appetit stellt.;;[GetManWoman] de gran tamaño, esperamos que ponga el reino por delante de su apetito;;;;;;;;;x
heir_text_traits_greedy;A greedy [GetManWoman], the poor peasantry of the realm is likely to disapprove; lui succède. Un[Get_E] [GetManWoman] avide que n'appréciera pas la paysannerie;Vor allem beim armen Landvolk wird diese gierige Person kaum Erfolg haben.;;[GetManWoman] codicios[GetOA], a quien no apreciarán los campesinos pobres del reino;;;;;;;;;x
heir_text_traits_gregarious;Well-spoken and outgoing, we expect [GetFirstName] to have no problem charming the court to [GetHerHis] side; lui succède. Éloquent[Get_E] et extraverti[Get_E], [GetIlElle] n'aura pas de difficulté à charmer la Cour;Wortgewandtheit und Aufgeschlossenheit sind die Stärken von [GetFirstName], und [GetSheHe] wird den Hof im Nu für sich gewinnen.;;Elocuente y sociable, esperamos que [GetFirstName] no tenga ningún problema para cautiva a la corte y ponerla de su parte;;;;;;;;;x
heir_text_traits_gregarious_honest;Never afraid to speak [GetHerHis] mind, [GetSheHe] will surely charm the realm with [GetHerHis] astute honesty; lui succède. N'ayant pas peur de dire ce qu'[GetIlElle] pense, [GetIlElle] charmera sûrement ses sujets avec son honnêteté;[GetSheHeCap] hält mit Meinungen nie hinter dem Berg und wird das Reich zweifelsohne mit scharfsinniger Ehrlichkeit für sich gewinnen.;;Nunca teme dar su opinión, así que seguramente encandile al reino con su sinceridad astuta;;;;;;;;;x
heir_text_traits_honest;Unable to tell a lie, we fear that there may be those who despise [GetHerHis] honesty; lui succède. Incapable de mentir, nous craignons que certains méprisent son honnêteté;Da [GetSheHe] einfach nicht lügen kann, wird [GetSheHe] wohl bei all jenen in Ungnade fallen, die Aufrichtigkeit verabscheuen.;;Incapaz de mentir, tememos que habrá quienes desprecien su sinceridad;;;;;;;;;x
heir_text_traits_humble;A pious and humble [GetManWoman], we fear that [GetFirstName] may have been better suited for a temple rather than the [PrimaryTitle.GetRulerTitle]'s throne; lui succède. Un[Get_E] [GetManWoman] dévot[Get_E] et humble qui est peut-être plus fait[Get_E] pour un temple que le trône;Da [GetFirstName] fromm und bescheiden ist, wäre [GetSheHe] in einem Tempel leider besser aufgehoben als auf dem [PrimaryTitle.GetRulerTitle]-Thron.;;[GetManWoman] piados[GetOA] y humilde, tememos que [GetFirstName] pueda ser más adecuad[GetOA] para el templo que para el trono de [PrimaryTitle.GetRulerTitle];;;;;;;;;x
heir_text_traits_humble_stubborn;Adamant in [GetHerHis] ways of worship, faith and tradition is likely to be favored under [GetHerHis] rule; lui succède. Inflexible dans ses croyances, [GetIlElle] favorisera sans doute la foi et la tradition lors de son règne;[GetSheHeCap] ist in Fragen der Gottesanbetung unnachgiebig. Wenn [GetSheHe] an die Macht kommt, werden Glaube und Tradition einen hohen Stellenwert einnehmen.;;Inflexible en su manera de adorar, es muy probable que los caminos de la fe y la tradición sean favorecidos en su reinado.;;;;;;;;;x
heir_text_traits_just;Fair and just in all things, we hope that [GetSheHe] will handle any conflicts with grace; lui succède. Juste en toute chose, nous espérons qu'[GetIlElle] gérera les conflits avec grâce;[GetSheHeCap] ist ein Symbol der Gerechtigkeit und wir hoffen, [GetSheHe] wird alle Konflikte anmutig meistern.;;Just[GetOA] e imparcial en todo, esperamos que maneje con gracia cualquier conflicto;;;;;;;;;x
heir_text_traits_kind;A gentle and compassionate soul, the vassals will surely thrive under [GetFirstName]'s reign; lui succède. Une âme faite de gentillesse et de compassion, les vassaux prospéreront sous son règne;Dank der sanften und mitfühlenden Seele von [GetFirstName] wird es den Vasallen sicherlich wohlergehen.;;Un alma gentil y compasiva, seguramente los vasallos prosperen bajo el reinado de [GetFirstName];;;;;;;;;x
