EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];[Root.GetHuntingQuarryCap] blanc;Der Weiße [Root.GetHuntingQuarryCap];;El [Root.GetHuntingQuarry] blanco;;;;;;;;;x
EVTDESC_WoL_5050;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. However, you find that you rather enjoy being out in the wilds. All this daily physical activity, it makes you feel... stronger.;Vous passez des semaines dans les étendues sauvages à la recherche d'un indice vous menant à votre proie, sans succès. Cependant, chevaucher en pleine nature vous apporte un certain plaisir. Après toute cette activité physique, vous vous sentez... plus fort.;Ihr verbringt Wochen in der Wildnis und sucht nach einer Spur Eurer Beute, aber ohne Erfolg. Ihr findet jedoch großen Gefallen an Eurem Aufenthalt in der Wildnis. Die körperliche Betätigung führt dazu, dass Ihr Euch... stärker fühlt.;;Pasas semanas en los páramos buscando algún rastro de tu presa, pero en vano. Sin embargo, encuentras que disfrutas y prefieres estar en la naturaleza. Toda esta actividad física diaria, te hace sentir... ¡más fuerte!;;;;;;;;;x
EVTDESC_WoL_5055;You spend weeks in the wilderness searching for any trace of your prey, but are forced to return emptyhanded. You are sure that no one's impressed by your failed adventure.;Vous passez des semaines dans les étendues sauvages à la recherche d'un indice vous menant à votre proie, mais vous devez rentrer bredouille. Votre aventure infructueuse ne fait pas belle impression.;Ihr verbringt Wochen in der Wildnis und sucht nach einer Spur Eurer Beute, seid aber gezwungen, mit leeren Händen zurückzukehren. Ihr seid sicher, dass Ihr mit Eurem gescheiterten Abenteuer niemanden beeindrucken werdet.;;Pasas semanas en los páramo buscando algún rastro de tu presa, pero la situación te obliga a volver con las manos vacías. Estás seguro que nadie queda impresionado por su fallida aventura.;;;;;;;;;x
EVTDESC_WoL_5060;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, an old crone opens. When she sees you and your hunting party, she cackles eerily and says that she has a powerful potion that will make you a stronger hunter, sure to catch any prey.;Alors que vous parcourez la campagne sans trouver ce que vous cherchez, vous tombez sur une petite ferme. Vous frappez à la porte et une vieille mégère vous ouvre. Vous voyant accompagné de votre suite, elle glousse joyeusement et vous dit posséder une puissante potion qui fera de vous un chasseur qui ne ratera jamais sa cible.;Während Ihr erfolglos die ländliche Gegend durchstreift, stoßt Ihr auf ein kleines Häuschen in der Wildnis. Ihr klopft an und ein altes Weib öffnet die Tür. Als sie Euch und Eure Jagdgesellschaft sieht, keckert sie ein schauderhaftes Lachen und bietet Euch einen mächtigen Trank an, mit dem Ihr angeblich jede Beute fangen könnt.;;Dando una batida sin frutos por el campo, llegas a una pequeña cabaña en el bosque. Al llamar, abre una viaje bruja. Cuando os ve a ti y tu grupo de caza, ríe extraña e inquietantemente y dice que tiene una potente poción que te hará un cazador más fuerte, capaz de atrapar cualquier presa.;;;;;;;;;x
EVTDESC_WoL_5061_bad;You drink the potion down. Soon, you start to feel all queasy, and then you pass out. As you awake, you have a strong headache and no desire to continue your hunting expedition. The old crone has disappeared, your guards don't seem to know how or where to.;Vous engloutissez la potion. Vous sentez bien vite la nausée monter, puis tout devient noir. Vous reprenez conscience avec une forte migraine et aucune envie de continuer votre expédition. La vieille a disparu et votre escorte ne semble pas savoir où elle est.;Ihr kippt den Trank hinunter. Bald fühlt Ihr Übelkeit in Euch aufsteigen und werdet ohnmächtig. Als Ihr erwacht, habt Ihr starke Kopfschmerzen. Ihr habt kein Verlangen mehr danach, Euren Jagdausflug fortzusetzen. Das alte Weib ist verschwunden und Eure Wachen scheinen nicht zu wissen, wie oder wohin.;;Bebes la porción en un trago. Pronto comienzas a sentirte muy mareado, y luego te desmayas. Al despertar, tienes un fuerte dolor de cabeza y ninguna gana de seguir tu expedición de caza. La vieja bruja ha desaparecido, los guardias no parecen saber ni cómo ni dónde.;;;;;;;;;x
EVTDESC_WoL_5061_good;You drink the potion down. Soon, you start to feel all warm inside. The crone whispers: 'See? You know that this will make you stronger, I can see it in your eyes! Now go, great hunter!'.\n\nYou return home, certain in your belief that next time you will find your prey...;Vous engloutissez la potion. Vous sentez bien vite une chaleur vous envahir. La vieille vous chuchote : 'Vous voyez ? Vous savez que cela vous aidera, je le vois dans vos yeux ! Maintenant, en chasse !'\n\nVous rentrez chez vous, convaincu que la prochaine chasse sera la bonne...;Ihr kippt den Trank hinunter. Bald fühlt Ihr Wärme in Euch aufsteigen. Das alte Weib flüstert: "Seht Ihr? Ihr wisst, dass dieser Trank Euch stärker machen wird, ich kann es in Euren Augen sehen! Geht jetzt, großer Jäger!"\n\nIhr geht nach Hause mit dem sicheren Gefühl, dass Ihr nächstes Mal Eure Beute aufspüren werdet...;;Bebe la poción de un trago. Pronto comienzas a sentirte más caliente por dentro. La bruja susurra: '¿Ves? Sabes que esto te hará más fuerte, ¡lo veo en tus ojos! ¡Ahora vete, gran cazador!' \n\n Vuelves a casa, convencido que la próxima vez encontrarás tu presa...;;;;;;;;;x
EVTDESC_WoL_5062;You have returned to your court. The hunt for this elusive white beast seems fruitless, but there are many more things out there in the wilds. Maybe next time you will catch your prey...;Vous êtes de retour à votre cour. La traque de cette insaisissable bête blanche semble infructueuse, mais la nature regorge de choses intéressantes. Peut-être la prochaine fois sera-t-elle la bonne...;Ihr seid zum Hof zurückgekehrt. Die Jagd nach diesem scheuen weißen Tier scheint vergebens zu sein, aber es gibt noch viele andere Dinge da draußen in der Wildnis. Vielleicht erwischt Ihr Eure Beute das nächste Mal...;;Has regresado a tu corte. La caza de esta elusiva bestia blanca parece infructuosa, pero hay muchas cosas más ahí en las regiones salvajes. Quizás la próxima vez cogerás tu presa...;;;;;;;;;x
EVTDESC_WoL_5065_female_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a beautiful young woman opens. She pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';Alors que vous parcourez la campagne sans trouver ce que vous cherchez, vous tombez sur une petite ferme. Vous frappez à la porte et une magnifique jeune femme vous ouvre. Elle marque un temps puis vous lance un regard accueillant et déclare : « Je suis très seule ici, voudriez-vous passer la nuit avec moi ? »;Während Ihr erfolglos die ländliche Gegend durchstreift, stoßt Ihr auf ein kleines Häuschen in der Wildnis. Auf Euer Klopfen hin öffnet eine wunderschöne junge Frau die Tür. Sie hält kurz inne und sieht Euch dann mit warmen, einladenden Augen an. Sie sagt: "Das hier ist eine äußerst einsame Gegend. Möchtet Ihr vielleicht über Nacht hierbleiben?";;Dando una batida sin frutos por el campo, llegas a una pequeña cabaña en el bosque. Al llamar, abre una hermosa joven. Ella hace una pausa, lanzando una mirada cálida, incitante y dice: 'Esto es muy solitario, ¿te quedarías a pasar la noche?';;;;;;;;;x
EVTDESC_WoL_5065_male_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a handsome young man opens. He pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';Alors que vous parcourez la campagne sans trouver ce que vous cherchez, vous tombez sur une petite ferme. Vous frappez et un jeune homme vous ouvre. Il marque un temps puis vous lance un regard accueillant et déclare : « Je suis très seul ici, voudriez-vous passer la nuit avec moi ? »;Während Ihr erfolglos die ländliche Gegend durchstreift, stoßt Ihr auf ein kleines Häuschen in der Wildnis. Auf Euer Klopfen hin öffnet ein hübscher junger Mann die Tür. Er hält kurz inne und sieht Euch dann mit warmen, einladenden Augen an. Er sagt: "Das hier ist eine äußerst einsame Gegend. Möchtet Ihr gerne die Nacht hier verbringen?";;Dando una batida sin frutos por el campo, llegas a una pequeña cabaña en el bosque. Al llamar, abre un hermoso joven. Hace una pausa, lanzando una mirada cálida, incitante y dice: 'Esto es muy solitario, ¿te quedarías a pasar la noche?';;;;;;;;;x
EVTDESC_WoL_5066;The next morning, you awake with a warm body next to you. You spent a long, pleasant night in the cabin but it's time to get back to the world outside. Your companion looks you in the eyes, caresses you and asks you to stay a little longer...;Le matin suivant, vous vous éveillez allongé[Root.Get_E] à côté d'un corps chaud. Vous avez passé une longue et agréable nuit dans la cabane, mais il est temps de partir en chasse. Votre partenaire d'une nuit vous regarde dans les yeux, vous caresse le bras et vous demande de rester un peu plus longtemps...;Am nächsten Morgen spürt Ihr den warmen Körper eines anderen Menschen neben Euch. Ihr habt eine lange Nacht voller Vergnügen in der Hütte verbracht, aber nun ist es an der Zeit, wieder in die Welt da draußen zurückzukehren. Die Person, mit der Ihr das Bett geteilt habt, sieht Euch in die Augen, berührt Euch zärtlich und bittet Euch, noch etwas zu bleiben...;;La mañana siguiente, te despierta con un cuerpo caliente al lado de ti. Pasaste una noche larga y agradable en la cabaña pero es hora de volver al mundo exterior. Tu pareja te mira a los ojos, te acaricia y pide que te quedes un poco más...;;;;;;;;;x
EVTDESC_WoL_5202;Your [puppy_giver.GetRootRelation], [puppy_giver.GetTitledFirstName], has sent you a gift. It is a small puppy, but of the finest pedigree and destined to grow into a great hunting dog.;Votre [puppy_giver.GetRootRelation], [puppy_giver.Get_le_TitledFirstName], vous a envoyé un cadeau. C'est un petit chiot de pure race destiné à devenir un excellent chien de chasse.;[puppy_giver.GetRootRelation] [puppy_giver.GetTitledFirstName] hat Euch ein Geschenk geschickt. Es handelt sich um einen kleinen Welpen, der jedoch einen auserlesenen Stammbaum besitzt und zu einem hervorragenden Jagdhund heranwachsen wird.;;Tu [puppy_giver.GetRootRelation], [puppy_giver.GetTitledFirstName], te ha enviado un regalo. Es un pequeño cachorro, pero del pedigrí más fino y está destinado a convertirse en un gran perro de caza.;;;;;;;;;x
EVTDESC_WoL_5203;Your new puppy has no name yet, my [Root.GetLordLady]. What will you call it?;M[Root.GetOnA][Root.GetLordLady], votre nouveau chiot n'a pas encore de nom. Quel nom voulez-vous choisir ?;Euer neuer Welpe hat noch keinen Namen, oh [Root.GetLordLady]. Wie werdet Ihr ihn nennen?;;Tu nuevo cachorro aún no tiene un nombre, mi [Root.GetLordLady]. ¿Cómo lo llamarás?;;;;;;;;;x
EVTDESC_WoL_5204_bad;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose. He bites hard too, as several of the dog handlers can testify.;Votre chien grandit rapidement. Ce n'est plus un chiot désormais. Il court vite et son flair est excellent. Mais il est agressif, plusieurs dresseurs peuvent en témoigner.;Euer Hund wächst schnell heran und ist kein kleiner Welpe mehr. Er läuft geschwind und hat eine gute Nase. Er kann auch heftig zubeißen, wie mehrere Eurer Hundeführer bestätigen können.;;Tu perro está creciendo rápidamente y ya no es un cachorrito. Corre rápido y tiene un olfato agudo. También muerde con fuerza, como varios de tus adiestradores de perros pueden declarar.;;;;;;;;;x
EVTDESC_WoL_5204_good;Your dog is growing quickly and is no longer a little puppy. He runs fast and has a keen nose, and your dog handlers praise his good character.;Votre chien grandit rapidement. Ce n'est plus un chiot désormais. Il court vite et son flair est excellent. Les dresseurs apprécient son bon tempérament.;Euer Hund wächst schnell heran und ist kein kleiner Welpe mehr. Er läuft geschwind und hat eine gute Nase. Eure Hundeführer loben seinen guten Charakter.;;Tu perro está creciendo rápidamente y ya no es un cachorrito. Corre rápido y tiene un olfato agudo, y tus adiestradores de perros elogian su buen carácter.;;;;;;;;;x
EVTDESC_WoL_5210;Your faithful hunting dog is always around, and always happy to see you. It is good to have such a faithful friend.;Votre chien fidèle est toujours dans vos pattes, toujours heureux de vous voir. Qu'il est bon d'avoir un ami si fidèle.;Euer treuer Jagdhund ist immer da und freut sich immer, Euch zu sehen. Es ist von Vorteil, einen so treuen Freund zu haben.;;Tu fiel perro de caza siempre está cerca y contento de verte. Está bueno tener un amigo tan fiel.;;;;;;;;;x
EVTDESC_WoL_5211;Everyone at court loves your dog. Especially the children find much joy in playing with him.;Toute la cour adore votre chien. En particulier les enfants qui s'amusent beaucoup avec lui.;Jeder bei Hofe liebt Euren Hund. Besonders Kinder haben viel Spaß daran, mit ihm zu spielen.;;Todos en la corte quieren a tu perro. Sobre todo los niños, que se divierten mucho jugando con él.;;;;;;;;;x
EVTDESC_WoL_5220;Your hunting dog needs proper training if he is to perform well during hunts. Perhaps you should take a hand in this yourself?;Votre chien a besoin d'un bon entraînement si vous comptez en faire un bon chien de chasse. Peut-être devriez-vous prendre les choses en main vous-même ?;Euer Jagdhund muss entsprechend abgerichtet werden, um bei der Jagd nützlich zu sein. Vielleicht solltet Ihr Euch persönlich darum kümmern?;;Tu perro de caza necesita entrenamiento apropiado si tiene que actuar bien en las cacerías. ¿Tal vez deberías ocuparte tú mismo?;;;;;;;;;x
EVTDESC_WoL_5221;In the past months you have been spending a lot of time outside, training your trusty hunting dog. You find that the combination of daily physical exercise and fresh air are doing wonders for your health and constitution.;Au cours de ces derniers mois, vous avez passé beaucoup de temps à l'extérieur, à entraîner votre fidèle chien de chasse. Vous trouvez que les exercices physiques quotidiens combinés à l'air pur améliorent considérablement votre santé et votre constitution.;In den vergangenen Monaten habt Ihr viel Zeit an der frischen Luft verbracht und Euren treuen Jagdhund ausgebildet. Ihr stellt fest, dass die Kombination aus täglicher körperlicher Betätigung und frischer Luft wahre Wunder tun für Eure Gesundheit und körperliche Verfassung .;;En los últimos meses has pasado mucho tiempo fuera, entrenando a tu fiel perro de caza. Descubres que la combinación de ejercicio físico diario y el aire fresco está haciendo maravillas en tu salud y constitución.;;;;;;;;;x
EVTDESC_WoL_5230;Your hunting dog ran away and went roaming the castle. He was very aggressive, chasing several servants and sending them fleeing in terror. He then came upon the favorite dog of one of your courtiers and attacked it and killed it.;Votre chien de chasse s'est enfui et a couru dans tout le château. Il était très agressif. Il a attaqué plusieurs domestiques qui se sont enfuis en hurlant. Il a ensuite attaqué le chien préféré d'un de vos courtisans et l'a tué.;Euer Jagdhund riss aus und durchstreifte das Schloss. Er verhielt sich äußerst aggressiv, jagte mehreren Bediensteten nach und ließ sie voller Angst Reißaus nehmen. Er traf dann auf den Lieblingshund eines Eurer Höflinge, griff ihn an und tötete ihn.;;Tu perro de caza se escapó y empezó a vagar por el castillo. Estuvo muy agresivo, persiguiendo a varios criados y haciéndoles huir aterrorizados. Luego se encontró con el perro favorito de uno de tus cortesanos, lo atacó y lo mató.;;;;;;;;;x
EVTDESC_WoL_5231;Today at court, your hunting dog suddenly flew into a rage, tore loose, and attacked one of your courtiers!;Aujourd'hui à la cour, sans crier gare, votre chien est entré dans une rage folle et attaqué l'un de vos courtisans !;Heute bei Hof bekam Euer Jagdhund plötzlich einen Wutanfall, riss sich los und griff einen Eurer Höflinge an!;;¡Hoy en la corte, tu perro de caza empezó a rabiar de repente, se soltó y  atacó a uno de tus cortesanos!;;;;;;;;;x
EVTDESC_WoL_5290;Your faithful and trusted hunting dog has finally taken his last breath. Long has he served you since you first received him as a puppy, but now it's time to bury your old friend.;Votre fidèle chien de chasse a fini par rendre son dernier soupir. Il vous a servi depuis si longtemps, ce n'était qu'un chiot quand vous l'avez reçu, mais il est temps à présent d'enterrer votre vieil ami.;Euer getreuer und zuverlässiger Jagdhund hat schließlich seinen letzten Atemzug getan. Er hat Euch lange gedient, seitdem Ihr ihn als Welpe geschenkt bekommen habt. Doch nun ist es an der Zeit, Euren alten Freund zu Grabe zu tragen.;;Tu fiel perro de caza de confianza dio finalmente su último aliento. Mucho te ha servido, ya que primero lo tuviste como un cachorro, pero ahora es el momento de enterrar a tu viejo amigo.;;;;;;;;;x

EVTOPT_WoL_5221;[Root.GetDogName], catch!;[Root.GetDogName], va chercher !;[Root.GetDogName], fang!;;¡[Root.GetDogName], atrapa!;;;;;;;;;x

EVTOPTA_WoL_5001;I must send people out to find it!;Je dois envoyer mes hommes à sa poursuite !;Ich muss Leute aussenden, um dieses Tier zu finden!;;¡Debo enviar gente a encontrarlo!;;;;;;;;;x
EVTOPTA_WoL_5004;Saddle my horse!;Sellez mon cheval !;Sattelt mein Pferd!;;¡Ensilla mi caballo!;;;;;;;;;x
EVTOPTA_WoL_5010;An epic hunt it shall be!;Ce sera une chasse épique !;Dies verspricht, eine großartige Jagd zu werden!;;¡Será una búsqueda épica!;;;;;;;;;x
EVTOPTA_WoL_5030;Its head will adorn my wall!;Sa tête ira décorer mon mur !;Sein Kopf wird meine Wand schmücken!;;¡Su cabeza adornará mi pared!;;;;;;;;;x
EVTOPTA_WoL_5035;Now I know my purpose in life!;J'ai trouvé mon but dans la vie !;Nun weiß ich, was meine Bestimmung im Leben ist!;;¡Ahora conozco mi objetivo en la vida!;;;;;;;;;x
EVTOPTA_WoL_5040;Please join me at my court!;Je vous invite à ma cour !;Bitte besucht mich an meinem Hofe!;;¡Únete a mi corte, por favor!;;;;;;;;;x
EVTOPTA_WoL_5045;This is pointless...;C'est inutile...;Das hat keinen Sinn...;;Esto no tiene sentido...;;;;;;;;;x
EVTOPTA_WoL_5050;This is great!;Excellent !;Das ist großartig!;;¡Esto es genial!;;;;;;;;;x
EVTOPTA_WoL_5055;It's my own failure.;Je suis responsable de cet échec.;Es ist meine eigene Schuld.;;Es mi propio fracaso.;;;;;;;;;x
EVTOPTA_WoL_5060;Sell it to me!;Vendez-la moi !;Verkauft ihn mir!;;¡Véndemela!;;;;;;;;;x
EVTOPTA_WoL_5061;I don't feel well...;Je ne me sens pas bien...;Es geht mir nicht gut...;;No me siento bien...;;;;;;;;;x
EVTOPTA_WoL_5062;I won't give up.;Je n'abandonnerai pas.;Ich gebe nicht auf.;;No me rendiré.;;;;;;;;;x
EVTOPTA_WoL_5065;Of course...;Bien sûr...;Natürlich...;;Sin duda...;;;;;;;;;x
EVTOPTA_WoL_5066;This was nice, but I have to go.;C'était agréable, mais je dois y aller.;Es war schön, aber ich muss jetzt gehen.;;Fue muy agradable, pero me tengo que ir.;;;;;;;;;x
EVTOPTA_WoL_5202;I will accept this gracious gift.;J'accepte ce généreux cadeau.;Ich nehme dieses nette Geschenk an.;;Aceptaré este gracioso regalo.;;;;;;;;;x
