abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
CB_NAME_DUCHY_ADVENTURE;Adventurer Conquest of [Title.GetBaseName];Conquête de [Title.GetBaseName] par un aventurier;Abenteurer-Eroberung von [Title.GetBaseName];;Conquista Aventurera de [Title.GetBaseName];;;;;;;;;x
CB_NAME_EMBARGO;Embargo;Embargo;Embargo;;Embargo;;;;;;;;;x
CB_NAME_EXCOMMUNICATED_RULER;Excommunicated ruler;Seigneur excommunié;Exkommunizierter Herrscher;;Gobernante excomulgado;;;;;;;;;x
CB_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW;Elective Monarchy Succession Law;Succession de monarchie élective;Wahlmonarchie Nachfolgegesetz;;Ley de sucesión por monarquía electiva;;;;;;;;;x
CB_NAME_FLOWER_WAR;Flower War;Guerre fleurie;Blumenkrieg;;Guerra florida;;;;;;;;x
CB_NAME_FORCE_OPEN_CHINA;Force Open [offmap_china.GetShortName];Imposer la [offmap_china.GetShortName] ouverte;Zwangsöffnung von [offmap_china.GetShortName];;Obligar a la apertura de [offmap_china.GetShortName];;;;;;;;;x
CB_NAME_FORCE_VASSALIZATION;Force Vassalization;Vassalisation forcée;Vasallisierung erzwingen;;Obligar vasallaje;;;;;;;;;x
CB_NAME_FREE_TRIBUTARY;Free Tributary;Libérer le tributaire;Von Tributpflicht befreien;;Liberar tributario;;;;;;;;;x
CB_NAME_GAVELKIND_SUCCESSION_LAW;Gavelkind Succession Law;Succession par partage salique;Erbteilungs-Nachfolgegesetz;;Ley de sucesión por herencia a partes iguales;;;;;;;;;x
CB_NAME_GREATREALMCONFLICT;Great Conquest of [Title.GetBaseName];Grande conquête de [Title.GetBaseName];Großeroberung von [Title.GetBaseName];;Gran conquista de [Title.GetBaseName];;;;;;;;;x
CB_NAME_HERETIC_UPRISING;[Actor.Religion.GetName] Uprising;Révolte [Actor.Religion.GetName];[Actor.Religion.GetName]er Aufstand;;Alzamiento de [Actor.Religion.GetName];;;;;;;;;x
CB_NAME_HOSTAGES;Free Captives;Libération de captifs;Gefangenenbefreiung;;Liberar cautivos;;;;;;;;;x
CB_NAME_HUMILIATE;Humiliate;Humilier;Demütigung;;Humillar;;;;;;;;;x
CB_NAME_IMPERIAL;Imperial Reconquest of [Title.GetBaseName];Reconquête impériale de [Title.GetBaseName];Kaiserliche Rückeroberung von [Title.GetBaseName];;Reconquista imperial del [Title.GetBaseName];;;;;;;;;x
CB_NAME_INCREASE_COUNCIL_POWER;Increase Council Power;Accroître le pouvoir du Conseil;Macht des Rates erhöhen;;Aumentar el Poder del Consejo;;;;;;;;;x
CB_NAME_INDEPENDENCE;Independence;Indépendance;Unabhängigkeit;;Independencia;;;;;;;;;x
CB_NAME_INSTALL_ANTIKING;Install Antiking;Installer l'antiroi;Gegenkönig einsetzen;;Instalar Antirrey;;;;;;;;;x
CB_NAME_INSTALLKHAN;Install Khagan;Instituer un khagan;Khagan einsetzen;;Imponer kagan;;;;;;;;;x
CB_NAME_INVASION;Invasion of [Title.GetBaseName];Invasion de [Title.GetBaseName];Invasion von [Title.GetBaseName];;Invasión de [Title.GetBaseName];;;;;;;;;x
CB_NAME_INVASION_OF_CHINA;Invasion of [offmap_china.GetShortName];Invasion de la [offmap_china.GetShortName];Invasion von [offmap_china.GetShortName];;Invasión de §Y[offmap_china.GetShortName]§!;;;;;;;;;x
CB_NAME_LIBERATE_NOMAD;Liberate [Title.GetBaseName];Libérer [Title.GetBaseName];[Title.GetBaseName] befreien;;Liberar el [Title.GetBaseName] ;;;;;;;;;x
CB_NAME_LIBERATE_RELIGION;Religious Liberation of [Title.GetBaseName];Libération religieuse de [Title.GetBaseName];Religiöse Befreiung von [Title.GetBaseName];;Liberación religiosa de [Title.GetBaseName];;;;;;;;;x
CB_NAME_LIBERATION_REVOLT;Liberation of [Title.GetBaseName];Libération de [Title.GetBaseName];Befreiung von [Title.GetBaseName];;Liberación de [Title.GetBaseName];;;;;;;;;x
CB_NAME_LOWER_CROWN_AUTHORITY_LAW;Lower Crown Authority;Affaiblir l'autorité de la Couronne;Kronautorität reduzieren;;Reducir autoridad de la Corona;;;;;;;;;x
CB_NAME_LOWER_TRIBAL_ORGANIZATION_LAW;Lower Tribal Organization;Réduire l'organisation tribale;Stammesorganisation verringern;;Bajar Organización Tribal;;;;;;;;;x
CB_NAME_MATRIARCHAL_DEPOSITION;Matriarchal Deposition War;Guerre de déposition matriarcale;Matriarchalischer Absetzungskrieg;;Guerra para destronar a la matriarca;;;;;;;;x
CB_NAME_MINOR_CLAN_REVOLT;Minor Clan Revolt;Révolte d'un clan mineur;Revolte der kleineren Stämme;;Rebelión de clan menor;;;;;;;;;x
CB_NAME_NOMAD_EXPANSION;Subordination of [Title.GetBaseName];Subordination de [Title.GetBaseName];Unterwerfung von [Title.GetBaseName];;Subordinación de [Title.GetBaseName];;;;;;;;;x
CB_NAME_NOMAD_TRIBUTARY;Establish Tributary;Établir un tributaire;Tributstaat etablieren;;Establecer tributario;;;;;;;;;x
CB_NAME_NORTHERN_CRUSADE;Teutonic War for [Title.GetBaseName];Guerre teutonne pour [Title.GetBaseName];Teutonischer Krieg um [Title.GetBaseName];;Guerra teutónica por [Title.GetBaseName];;;;;x
CB_NAME_OFFMAP_SUBMISSION;Submission;Soumission;Unterwerfung;;Sumisión;;;;;;;;;x
CB_NAME_OVERTHROWRULER;Overthrow ruler;Renverser le seigneur;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
CB_NAME_OVERTHROWRULER_NC;Overthrow Ruler;Renverser le seigneur;Stürzt den Herrscher;;Derrocar al soberano;;;;;;;;;x
CB_NAME_PAGAN_SUBJUGATION;Subjugation;Assujettissement;Unterwerfung;;Subyugación;;;;;;;;;x
CB_NAME_PAPAL_RELIGIOUS;Papal War for [Title.GetBaseName];Guerre papale pour [Title.GetBaseName];Päpstlicher Krieg um [Title.GetBaseName];;guerra papal por [Title.GetBaseName];;;;;;;;x
CB_NAME_PATRIARCHAL_DEPOSITION;Patriarchal Deposition War;Guerre de déposition patriarcale;Patriarchalischer Absetzungskrieg;;Guerra para destronar al patriarca;;;;;;;;x
CB_NAME_PEASANT_CONQUEST;Peasant Revolt for [Title.GetBaseName];Révolte paysanne pour [Title.GetBaseName];Bauernaufstand in [Title.GetBaseName];;Sublevación de Campesinos para [Title.GetBaseName];;;;;;;;;x
CB_NAME_PERMANENT_TRIBUTARY;Establish Tributary State;Établir un État tributaire;Tributstaat etablieren;;Establecer estado tributario;;;;;;;;;x
CB_NAME_POWERFUL_VASSAL_TAKEOVER;Oust Ruler;Renverser le dirigeant;Herrscher entmachten;;Derrocar al gobernante;;;;;;;;;x
CB_NAME_PRIMOGENITURE_SUCCESSION_LAW;Primogeniture Succession Law;Succession par primogéniture ;Primogenitur Nachfolgegesetz;;Ley de sucesión por primogenitura;;;;;;;;;x
CB_NAME_RECONQUISTA_ARAGON;Reconquest of Aragon;Reconquête d'Aragon;Rückeroberung Aragons;;Reconquista de Aragón;;;;;x
CB_NAME_RECONQUISTA_BALEARIC;Reconquest of the Balearic Islands;Reconquête des îles Baléares;Rückeroberung der Balearen;;Reconquista de las Baleares;;;;;x
CB_NAME_RECONQUISTA_BEJA;Reconquest of Western Coast;Reconquête de la côte ouest;Rückeroberung der Westküste;;Reconquista de Oeste de la Península;;;;;x
CB_NAME_RECONQUISTA_CASTILLE;Reconquest of Castille;Reconquête de Castille;Rückeroberung Kastilliens;;Reconquista de Castilla;;;;;x
CB_NAME_RECONQUISTA_CORDOBA;Reconquest of Central Iberia;Reconquête de l'Ibérie centrale;Rückeroberung Zentraliberiens;;Reconquista de Centro de la Península;;;;;x
CB_NAME_RECONQUISTA_GALICIA;Reconquest of Galicia;Reconquête de la Galice;Rückeroberung Galiciens;;Reconquista de Galicia;;;;;x
CB_NAME_RECONQUISTA_GRANADA;Reconquest of Southern Iberia;Reconquête de l'Ibérie du sud;Rückeroberung Südiberiens;;Reconquista de Sur de la Península;;;;;x
CB_NAME_RECONQUISTA_LEON;Reconquest of Leon;Reconquête de León;Rückeroberung von Leon;;Reconquista de León;;;;;x
CB_NAME_RECONQUISTA_NAVARRA;Reconquest of Navarra;Reconquête de la Navarre;Rückeroberung Navarras;;Reconquista de Navarra;;;;;x
CB_NAME_RECONQUISTA_VALENCIA;Reconquest of the Eastern Coast;Reconquête de la côte est;Rückeroberung der Ostküste;;Reconquista de Este de la Península;;;;;x
CB_NAME_RELIGIOUS;Holy War for [Title.GetBaseName];Guerre sainte pour [Title.GetBaseName];Heiliger Krieg um [Title.GetBaseName];;Guerra Santa por [Title.GetBaseName];;;;;;;;;x
CB_NAME_RELIGIOUS_MINOR;Minor Holy War for [Title.GetBaseName];Guerre sainte mineure pour [Title.GetBaseName];Unwesentlicher Heiliger Krieg um [Title.GetBaseName];;Guerra religiosa menor por [Title.GetBaseName];;;;;;;;;x
CB_NAME_RIVALRY;Rivalry;Rivalité;Rivalität;;rivalidad;;;;;;;;;x
CB_NAME_SEIZE_TRADE_POST;Seize [Title.GetBaseName] Trade Post;S'emparer du comptoir de [Title.GetBaseName];Beschlagnahmt den [Title.GetBaseName]-Handelsposten;;Apoderarse del Puesto Comercial de [Title.GetBaseName];;;;;;;;;x
CB_NAME_SENIORITY_SUCCESSION_LAW;Seniority Succession Law;Succession par ancienneté;Senioratsprinzip Nachfolgegesetz;;Ley de sucesión por antigüedad;;;;;;;;;x
CB_NAME_SHATTERED_COUNTY_CONQUEST;Consolidation of [Title.GetBaseName];Intégration de [Title.GetBaseName];Konsolidierung von [Title.GetBaseName];;Integración de [Title.GetBaseName];;;;;;;;;x
CB_NAME_SHEPHERDS_CRUSADE;Shepherds' Crusade for [Title.GetBaseName];Croisade des pastoureaux pour [Title.GetBaseName];Kreuzzug der Hirten um [Title.GetBaseName];;Cruzada de los pastores por [Title.GetBaseName];;;;;x
CB_NAME_SHIA_CALIPHATE_RISING;Shi'a Caliphate Rising in [Title.GetBaseName];Instauration du califat chiite en [Title.GetBaseName];Aufstieg des Shi'a-Kalifats in [Title.GetBaseName];;Califato Chií subiendo en [Title.GetBaseName];;;;;;;;;x
CB_NAME_SUCCESSION;Dispute Succession;Crise de succession;Thronfolge anfechten;;Conflicto en la sucesión;;;;;;;;;x
CB_NAME_THANKMARS_REBELLION;Thankmar's Rebellion;Rébellion de Thankmar;Thankmars Aufstand;;La rebelión de Thankmar;;;;;x
CB_NAME_TRIBAL_INDEPENDENCE;Pagan Revolt;Révolte païenne;Heidnischer Aufstand;;Revuelta pagana;;;;;;;;;x
CB_NAME_TRIBUTARY;Extort Tribute;Extorquer un tribut;Tribut erzwingen;;Arrancar tributo;;;;;;;;;x
CB_NAME_UNJUST_COUNTY_CONQUEST;Border Dispute over [Title.GetBaseName];Dispute frontalière pour [Title.GetBaseName];Grenzdisput um [Title.GetBaseName];;Disputa fronteriza por [Title.GetBaseName];;;;;;;;;x
CB_NAME_VIKING_INVASION;Prepared Invasion of [Title.GetBaseName];Invasion planifiée de [Title.GetBaseName];Vorbereitete Invasion von [Title.GetBaseName];;Invasión Preparada de [Title.GetBaseName];;;;;;;;;x
CB_NAME_WEAKEN_VASSAL;Claim [Title.GetName];Revendiquer [Title.GetName];[Title.GetName] fordern ;;Reclama [Title.GetName];;;;;;;;;x
change_feudal_elective_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to feudal elective!;§Y$CLAIMANT$§! peut déclarer la guerre pour imposer une loi basée sur la succession élective féodale en §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg erklären, um das Nachfolgerecht für den Titel §Y$TITLE$§! zu Wahlmonarchie zu ändern!;;¡§Y$CLAIMANT$§! puede declarar la guerra para basar la ley de sucesión del §Y$TITLE$§! en el feudalismo electivo!;;;;;;;;;x
change_gavelkind_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to gavelkind!;§Y$CLAIMANT$§! peut déclarer la guerre pour imposer une loi de succession basée sur le partage salique en §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg erklären, um das Nachfolgerecht für den Titel §Y$TITLE$§! zu Erbteilung zu ändern!;;¡§Y$CLAIMANT$§! puede declarar la guerra para basar la ley de sucesión del §Y$TITLE$§! en la herencia a partes iguales!;;;;;;;;;x
change_primogeniture_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to primogeniture!;§Y$CLAIMANT$§! peut déclarer la guerre pour imposer la loi de succession par primogéniture en §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg erklären, um das Nachfolgerecht für den Titel §Y$TITLE$§! zu Primogenitur zu ändern!;;¡§Y$CLAIMANT$§! puede declarar la guerra para basar la ley de sucesión del §Y$TITLE$§! en la primogenitura!;;;;;;;;;x
change_seniority_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to seniority!;§Y$CLAIMANT$§! peut déclarer la guerre pour imposer une loi de succession basée sur l'ancienneté en §Y$TITLE$§!;§Y$CLAIMANT$§! kann einen Krieg erklären, um das Nachfolgerecht für den Titel §Y$TITLE$§! zu Senioratsprinzip zu ändern!;;¡§Y$CLAIMANT$§! puede declarar la guerra para basar la ley de sucesión del §Y$TITLE$§! en la antigüedad!;;;;;;;;;x
childrens_crusade;Children's Crusade;Croisade des enfants;Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
childrens_crusade_desc;A large group of peasants and children, led by a [Root.GetBoyGirl] claiming to hear the voice of Christ, has embarked into a desperate mission to reconquer the Holy Lands from the infidels.;Un groupe important de paysans et d'enfants, dirigé par un[Root.Get_E] [Root.GetBoyGirl] qui affirme entendre la voix du Christ, s'est embarqué dans une mission désespérée pour reconquérir la Terre sainte, actuellement aux mains des infidèles.;Eine große Gruppe von Bauern und Kinder, die von [Root.Geteinemeiner] [Root.GetBoyGirl] angeführt werden, [Root.Getderdie] behauptet die Stimme Christi zu hören, hat sich in eine verzweifelte Mission begeben mit dem Ziel die Heiligen Länder von den Ungläubigen zurückzuerobern.;;Un gran grupo de campesinos y niños dirigidos por un[Root.GetXA] [Root.GetBoyGirl] que dice oír la voz de Cristo, ha emprendido la misión desesperada de reconquistar Tierra Santa a los infieles.;;;;;;;;x
claim_all_desc;§Y$CLAIMANT$§! can declare war on §Y$TARGET$§! with several strong claims (weak claims do not count.);§Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! avec plusieurs fortes revendications (les faibles revendications ne sont pas prises en compte).;§Y$CLAIMANT$§! kann gegen §Y$TARGET$§! mit mehreren starken Ansprüchen einen Krieg erklären (schwache Ansprüche zählen nicht). ;;§Y$CLAIMANT$§! puede declarar la guerra a §Y$TARGET$§! con varias reclamaciones fuertes (las reclamaciones débiles no cuentan.);;;;;;;;;x
claim_desc;This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!;Ce casus belli peut être utilisé par §Y$CLAIMANT$§! pour appuyer sa revendication sur §Y$TITLE$§!;§Y$CLAIMANT$§! kann diesen Kriegsgrund benutzen, um den Anspruch auf den Titel §Y$TITLE$§! voranzutreiben;;Este Casus Belli puede ser usado por §Y$CLAIMANT$§! para instar la reclamación de §Y$TITLE$§!;;;;;;;;;x
claim_on_liege_desc;This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!;Ce casus belli peut être utilisé par §Y$CLAIMANT$§! pour appuyer sa revendication sur §Y$TITLE$§!;§Y$CLAIMANT$§! kann diesen Kriegsgrund benutzen, um den Anspruch auf den Titel §Y$TITLE$§! voranzutreiben;;Este Casus Belli puede ser usado por §Y$CLAIMANT$§! para instar la reclamación de §Y$TITLE$§!;;;;;;;;;x
coastal_county_republic_desc;As a Merchant Republic, §Y$CLAIMANT$§! can declare war to seize control of §Y$TITLE$§! since they already control a city there and the county is within range.;En tant que république marchande, §Y$CLAIMANT$§! peut déclarer la guerre pour prendre le contrôle de §Y$TITLE$§! puisqu'il y contrôle déjà une ville et que le comté est à distance de celle-ci.;Als Handelsrepublik kann §Y$CLAIMANT$§! Krieg erklären, um die Kontrolle über §Y$TITLE$§! zu erlangen, da sie dort bereits eine Stadt kontrollieren und die Provinz in Reichweite ist.;;§Y$CLAIMANT$§! puede declarar la guerra para controlar §Y$TITLE$§! porque ya controla su ciudad y el condado está en nuestra esfera de influencia.;;;;;;;;;x
coastal_republic_desc;§Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§! since he or a vassal Patrician has a Trade Post in place, or the target is a rival merchant republic.;§Y$CLAIMANT$§! peut déclarer la guerre pour prendre possession de §Y$TITLE$§! côtière puisque lui ou un patricien vassal y possède un comptoir ou que la cible est une république marchande rivale.;§Y$CLAIMANT$§! kann Krieg erklären, um die Kontrolle über die Küste von §Y$TITLE$§! zu erlangen, da entweder er oder ein Patriziervasall dort einen Handelsposten besitzt oder das Ziel einer rivalisierenden Handelsrepublik gehört.;;§Y$CLAIMANT$§! puede declarar la guerra para tomar el costero §Y$TITLE$§! porque él o un patricio vasallo tiene un puesto comercial en el, o el objetivo forma parte de una republica mercantil rival.;;;;;;;;;x
crusade_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les titres que possède l'infidèle §Y$TARGET$§! au sein de §Y$TITLE$§! de jure.;§Y$CLAIMANT$§! kann diesen Kriegsgrund dazu benutzen, dem ungläubigen Ziel, §Y$TARGET$§!, sämtliche Titel unter dem De-jure-Titel §Y$TITLE$§! abzunehmen.;;§Y$CLAIMANT$§! puede usar este Casus Belli para apoderarse de todos los títulos que posee el infiel, §Y$TARGET$§!, dentro del §Y$TITLE$§! de iure.;;;;;;;;;x
decadence_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. ;Wir brauchen uns nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!.;;;;;;;;;x
dejure_barony_claim_desc;The Holdings in §Y$TITLE$§! are all, de jure, vassals of §Y$CLAIMANT$'s§!, which is cause enough for war.;Les propriétés de §Y$TITLE$§! sont toutes, de jure, vassales de §Y$CLAIMANT$§!, ce qui est suffisant pour déclencher une guerre.;Die Besitztümer in §Y$TITLE$§! sind, De-jure-Vasallen von §Y$CLAIMANT$§!, was Grund genug für einen Krieg ist.;;Las posesiones de §Y$TITLE$§! Son todas, por ley, vasallos de §Y$CLAIMANT$'s§!, lo que constituye un motivo suficiente de guerra.;;;;;;;;;x
