# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
alienor_of_aquitaine_desc;One of the most powerful women of western Europe. She was a patron of literature and a military commander, as well as a leader in the Second Crusade.;Puissante femme d'Europe occidentale qui fut une patronne de la littérature et un commandant militaire, ainsi qu'un chef de file dans la Deuxième croisade.;Eine der mächtigsten Frauen Westeuropas. Sie war eine Patronin für Literatur und ein militärischer Befehlshaber und Führer im Zweiten Kreuzzug.;;Una de las mujeres más poderosas de Europa Occidental. Mecenas de la literatura, comandante militar y líder de la Segunda cruzada.;;;;;;;;;x
almohad;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
almohad_desc;Leader of the Almohad dynasty, the reign of Abu made both trade and science prosper, with his administrative and military skills being successful in halting the Reconquista.;Chef de la dynastie almohade, le règne d'Abu a fait prospérer le commerce et la science, ses compétences administratives et militaires ayant réussi à arrêter la Reconquista.;Als Führer der Almohad-Dynastie schaffte es Abu sowohl den Handel als auch die Wissenschaft zu fördern und gleichzeitig durch seine administrativen und militärischen Fähigkeiten die Reconquista zum Stillstand zu bringen.;;El reinado de Abu, líder de la dinastía almohade, hizo prosperar el comercio y la ciencia y sus habilidades administrativas y militares consiguieron detener la Reconquista.;;;;;;;;;x
almoravid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
almoravid_desc;Yusuf was invited by the emirs of Andalusia to come to Iberia and stop the Christian onslaught. He won, and established a vast realm extending from Ghana to Toledo.;Youssouf a été invité par les émirs de l'Andalousie à venir en Ibérie et à stopper l'assaut chrétien. Il a gagné et établi un vaste royaume allant du Ghana à Tolède.;Yusuf wurde von den Emiren Andalusien eingeladen, nach Iberien zu kommen und den christlichen Angriff zu stoppen. Er gewann und etablierte ein weites Reich, das sich von Ghana bis nach Toledo erstreckte.;;Yusuf fue invitado por los emires de al-Ándalus a venir a la Península para detener la ofensiva cristiana. Ganó y fundó un reino extenso que iba de Ghana a Toledo.;;;;;;;;;x
arpad;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
arpad_desc;The Kende (sacred ruler) of the Magyar tribes. He went on to conquer the Carpathian Basin, making a new home for the Hungarian people.;Le Kende (souverain sacré) des tribus magyares. Il a continué à conquérir le bassin des Carpates, en donnant ainsi une nouvelle demeure au peuple hongrois.;Der Kende (heiliger Herrscher) der Magyarenstämme. Er eroberte das Karpatenbecken und schaffte so ein neues Zuhause für das ungarische Volk.;;Kende (gobernante sagrado) de las tribus magiares que conquistó la cuenca de los Cárpatos, creando un nuevo hogar para el pueblo húngaro.;;;;;;;;;x
arwa;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
arwa_desc;A powerful woman, Arwa was known for her intelligence and knowledge of both heavenly and earthly affairs. She also engaged in several building projects across Yemen.;Arwa, une femme puissante, était connue pour son intelligence et sa connaissance des affaires célestes et terrestres. Elle a également participé à plusieurs projets de construction au Yémen.;Als mächtige Frau war Arwa für ihre Intelligenz und ihr Wissen über himmlische und irdische Angelegenheiten bekannt. Sie war auch an mehreren Bauprojekten in ganz Jemen beteiligt.;;Arwa, una mujer poderosa, conocida por su inteligencia y conocimiento de los asuntos tanto celestiales como terrenales. También participó en varios proyectos de construcción por todo Yemen.;;;;;;;;;x
ashina;Ashina Blood;Sang d'Ashina;Blut Ashinas;;Sangre de Ashina;;;;;;;;;x
ashina_desc;The Ashina clan rose to prominence after revolting against the Rouran Khaganate. Members of the clan are considered sacred, if not divine, by the people of the steppe.;Le clan Ashina a pris de l'importance après s'être révolté contre le Khaganat de Rouran. Ses membres sont vus comme sacrés, voire divins, par les peuples des steppes.;Der Ashina-Klan wurde berühmt, nachdem er gegen das Rouran-Khaganat revoltierte. Mitglieder des Klans werden von denen der Steppe als heilig oder sogar göttlich betrachtet.;;El clan Ashina se hizo conocido al rebelarse contra el kaganato rouran. Los pueblos de la estepa consideran a los miembros del clan sagrados, si no divinos.;;;;;;;;;x
athelstan;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
athelstan_desc;Famed and respected as the ruler who pushed the vikings out of the British Isles, and the first King of England.;Connu et respecté pour avoir repoussé les vikings hors des îles britanniques et avoir été le premier roi d'Angleterre.;Berühmt und geachtet als der Herrscher, der die Wikinger von den Britischen Inseln vertrieb, und der erste König von England.;;Famoso y respetado como el gobernante que echó a los vikingos de las Islas británicas, el primer rey de Inglaterra.;;;;;x
attila;Blood of Attila;Sang d'Attila;Blut von Atilla;;sangre de Atila;;;;;;;;;x
attila_desc;Kubrat claims descendance from Attila - one of the most feared enemies of ancient Rome, who united numerous tribal clans under his banner.;Koubrat revendique la descendance d'Attila – l'un des ennemis les plus redoutés de la Rome antique, qui a uni de nombreux clans tribaux sous sa bannière.;Kubrat behauptet von Attila abzustammen, einem der gefürchtetsten Feinden des alten Roms, der zahlreiche Klans unser einem Banner vereinigte.;;Kubrat afirma descender de Atila, uno de los enemigos más temibles de la antigua Roma, que unió a numerosos clanes tribales bajo su bandera.;;;;;;;;;x
bagratid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
bagratid_desc;One of the oldest Christian dynasties in the world. The children of Bagrat have made Georgia flourish throughout the centuries.;Une des plus anciennes dynasties chrétiennes du monde. Les enfants de Bagrat ont fait prospérer la Géorgie à travers les siècles.;Als eine der ältesten christlichen Dynastien der Welt haben die Kinder von Bagrat haben Georgien im Laufe der Jahrhunderte aufblühen lassen.;;Una de las dinastías cristianas más antiguas del mundo. Los hijos de Bagrat han hecho florecer a Georgia a lo largo de los siglos.;;;;;;;;;x
baibars;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
baibars_desc;Once sold in a slave market, Baibars would eventually become the man responsible for both defeating the Mongol advance and removing the Crusader States from the Levant.;Jadis vendu dans un marché d'esclaves, Baibars deviendra finalement l'homme qui a contré l'avancée mongole et retiré les États croisés du Levant.;Einst auf einem Sklavenmarkt verkauft wurde Baibars schließlich der Mann, der sowohl den Vormarsch der Mongolen aufhielt als auch die Kreuzritterstaaten aus der Levante zu entfernen.;;Baibars, vendido como esclavo en el pasado, acabaría siendo el responsable tanto de derrotar el avance mongol como de expulsar del Levante a los estados cruzados.;;;;;;;;;x
baldouin;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
baldouin_desc;A leader of the Fourth Crusade, Baldouin fought alongside the Venetians to topple the last remnant of the Roman Empire, becoming the first Latin Emperor of Constantinople.;Chef de la quatrième croisade, il a combattu aux côtés des Vénitiens pour renverser le dernier vestige de l’Empire romain, devenant ainsi le premier empereur latin de Constantinople.;Als einer der Anführer des Vierten Kreuzzugs kämpfte Balduin an der Seite der Venezianer, um die letzten Überreste des Römischen Reiches zu stürzen. Er wurde der erste lateinische Kaiser von Konstantinopel.;;Balduino, un líder de la Cuarta cruzada, luchó con los venecianos para derrocar los últimos restos del Imperio romano, convirtiéndose en el primer emperador latino de Constantinopla.;;;;;;;;;x
barbarossa;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
barbarossa_desc;An able ruler, Frederick 'Barbarossa' was known both as a warrior who sought to control the rebel Italian princes and as a skilled lawmaker.;Frédéric 'Barberousse', un chef capable, était connu à la fois comme un guerrier qui cherchait à contrôler les princes rebelles italiens et comme un législateur qualifié.;Frederick war sowohl ein fähiger Herrscher als auch ein Krieger. Dabei schaffte er es die rebellischen italienischen Prinzen zu kontrollieren und gleichzeitig geschickte Gesetze zu entwerfen.;;Federico, un líder capaz, fue famoso tanto como guerrero que buscó controlar a los príncipes italianos rebeldes como un legislador hábil.;;;;;;;;;x
basil;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
basil_desc;One of the greatest of the East Roman emperors, his rule brought about an era of glory, prosperity, art and imperial might.;Grand empereur romain d'Orient, son règne a provoqué une ère de gloire, de prospérité, d'art et de puissance impériale.;Als einer der größten oströmischen Kaiser führte seine Herrschaft zu einer Zeit des Ruhms, des Wohlstands, der Kunst und imperialer Macht.;;Uno de los más grandes emperadores romanos de Oriente, cuyo gobierno trajo consigo una era de gloria, prosperidad, arte y poder imperial.;;;;;;;;;x
bayajidda_and_magajiva;Blood of Bayajidda and Magajiva;Sang de Bayajidda et Magajiva;Blut von Bayajidda und Magajiva;;Sangre de Bayajidda y Magajiva;;;;;;;;;x
bayajidda_and_magajiva_desc;The Daura claim descent from Bayajidda and Magajiva – the first of whom slew a great serpent, and the second of whom instituted the matriarchal system of the Hausa people.;Les Daura affirment descendre de Bayajidda et de Magajiva – le premier a tué un grand serpent et le second a institué le système matriarcal du peuple haoussa.;Die Dauren behaupten ihre Abstammung von Bayajidda und Magajiva, von denen die ersten eine große Schlange tötete und die zweite das matriachale System der Hausa eingeführt hat.;;Los Daura afirman descender de Bayajidda y Magajiva. El primero mató a una gran serpiente y la segunda instituyó el sistema matriarcal del pueblo hausa.;;;;;;;;;x
bohemond;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
bohemond_desc;A major leader of the First Crusade, Bohemond used his legendary martial skill and political cunning to capture Antioch and establish a kingdom for himself in the Levant.;Chef majeur de la première croisade, Bohémond a utilisé son talent martial légendaire et sa ruse politique pour s'emparer d'Antioche et établir un royaume pour lui-même au Levant.;Als einer der Hauptanführer des Ersten Kreuzzugs nutzte Bohemund seine legendäre Kampfkunst und politische List dazu, um Antiochien zu erobern und ein Königreich in der Levante zu errichten.;;Líder principal de la Primera cruzada, Bohemundo usó sus legendarias habilidades marciales y astucia política para tomar Antioquía y fundar un reino para sí en el Levante.;;;;;;;;;x
boleslaw_the_brave;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
boleslaw_the_brave_desc;A remarkable politician, strategist, and statesman. He successfully turned Poland into a country as powerful as the realms of the west.;Un politicien, stratège et homme d'État remarquable. Il a réussi à faire de la Pologne un pays aussi puissant que les royaumes de l'Ouest.;Ein bemerkenswerter Politiker, Stratege und Staatsmann. Er hat Polen erfolgreich zu etwas verwandelt, das so mächtig wie die westlichen Nationen ist.;;Político, estratega y estadista notable. Consiguió convertir a Polonia en un país tan poderoso como los reinos más al Oeste.;;;;;;;;;x
boudica;The Spirit of Boudica;L'esprit de Boadicée;Geist von Boudica;;El espíritu de Boudica;;;;;;;;;x
boudica_desc;[This.GetTitledFirstName] has been proclaimed by the Bards of Britain to be of the same spirit as the great Warrior Queen Boudica, who led a great revolt against the Romans.;Les gardes de Grande-Bretagne ont déclaré que [This.Get_le_TitledFirstName] a le même esprit que la reine Boadicée, la grande guerrière qui a mené une révolte contre les Romains.;[This.GetTitledFirstName] wurde von den Barden Britanniens als derselbe Geist wie die große Kriegerkönigin Boudica verkündet, die eine große Revolte gegen die Römer anführte.;;Los bardos de Gran Bretaña proclaman que [This.GetTitledFirstName] tiene el mismo espíritu que la reina guerra Boudica, que dirigió una gran revuelta contra los romanos.;;;;;;;;;x
brian_boru;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
brian_boru_desc;An Irish high king of legend. He managed to unify the warring leaders of Ireland and end the Viking occupation of the isle.;Un roi irlandais de légende. Il a réussi à unifier les chefs de guerre de l'Irlande et à mettre fin à l'occupation viking de l'île.;Ein irischer legendärer Hochkönig. Er schaffte es, die Kriegsführer Irlands zu vereinen und die Besatzung der Insel durch die Wikinger zu beenden.;;Célebre gran rey irlandés que logró unir a los caciques de Irlanda y poner fin a la ocupación vikinga de la isla.;;;;;;;;;x
caratacus;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
caratacus_desc;An ancient British warrior. King of the Catuvellauni tribe when the Romans invaded Britain, he led a resistance that nearly prevented them from conquering the island.;Un ancien guerrier britannique. Roi de la tribu des Catuvellauni lorsque les Romains ont envahi la Grande-Bretagne, il a mené une résistance qui les a presque empêchés de conquérir l'île.;Ein alter britischer Krieger. Als König der catuvellaunischen Stämme führte er den Widerstand gegen die Römer, als sie in Großbritannien einmarschierten und hielt sie fast davon ab die Insel zu erobern.;;Antiguo guerrero británico, rey de la tribu de los catuvelaunos cuando los romanos invadieron Britania. Dirigió la resistencia que casi les impidió conquistar la isla.;;;;;;;;;x
carolingian;Carolingian Blood;Sang carolingien;Karolingisches Blut;;Sangre carolingia;;;;;;;;;x
carolingian_desc;A brilliant warrior as well as a great statesman, he established the Franks as undisputed masters of Gaul and led the army that defeated the Muslims in the Battle of Tours.;Guerrier brillant et grand homme d'État, il a établi les Francs en tant que maîtres incontestés de la Gaule et vaincu les musulmans à la Bataille de Tours.;Als brillanter Krieger und großer Staatsmann etablierte er die Franken als unbestrittene Macht Galliens und führte die Armee, die die Muslime in der Schlacht von Tours besiegte.;;Guerrero brillante y gran estadista, hizo a los francos señores indiscutibles de la Galia y dirigió el ejército que venció a los musulmanes en la Batalla de Tours.;;;;;;;;;x
chola;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
chola_desc;One of the greatest rulers India has ever seen. His conquests included the Andamans, Sri Lanka, the Maldives and even territories in Burma, Thailand and Indonesia.;Grand souverain d'Inde, ses conquêtes comprennent les Îles Andaman, Sri Lanka, les Maldives et même des territoires en Birmanie, Thaïlande et Indonésie.;Einer der größten Herrscher Indiens. Zu seinen Eroberungen zählen die Andamanen, Sri Lanka, Malediven und sogar ein Teil von Burma, Thailand und Indonesien.;;Uno de los mayores gobernantes vistos en la India. Llegó a conquistar las Andamán, Sri Lanka, Maldivas e incluso tierras de Birmania, Tailandia e Indonesia.;;;;;;;;;x
dandolo;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
dandolo_desc;The mastermind behind the Fourth Crusade and the sack of Constantinople, Enrico is remembered as one of the most successful and prosperous doges Venice ever had.;Enrico, le cerveau derrière la quatrième croisade et le sac de Constantinople, est considéré comme l'un des doges les plus prospères de Venise.;Als Drahtzieher hinter dem Vierten Kreuzzug und für die Plünderung von Konstantinopel verantwortlich gilt Enrico als einer der erfolgreichsten und wohlhabendsten Dogen Venedigs.;;El cerebro de la Cuarta cruzada y el asedio de Constantinopla, Enrico Dandolo es recordado como uno de los dux más exitosos y prósperos jamás habidos en Venecia.;;;;;;;;;x
dyre;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
dyre_desc;A legendary Varangian warrior. He ruled over the Kiev area, becoming its first king.;Un guerrier varègue légendaire. Il a régné sur la région de Kiev, devenant son premier roi.;Ein legendärer warangischer Krieger. Er regierte über das Gebiet Kiew und wurde sein erster König.;;Legendario guerrero varengo que gobernó el área de Kiev, convirtiéndose en su primer rey.;;;;;;;;;x
el_cid;Blood of El Cid;Sang de [This.GetFirstNameWithNick];Blut von El Cid;;Sangre del Cid;;;;;;;;;x
el_cid_desc;A military leader and hero of great renown. The Moors dubbed him 'El Cid' ('the Lord'), while the Christians called him 'El Campeador' ('Outstanding Warrior').;Chef militaire et héros de grande renommée. Les Maures l'ont surnommé « El Cid » (le Seigneur) et les chrétiens « El Campeador » (le guerrier remarquable).;Ein militärischer Führer und Held von großen Ruhm. Die Mauren nannten ihn "El Cid" (der Herr), während die Christen ihn "El Campeador" (der Kämpfer) nannten.;;Líder militar y héroe de renombre. Los moros le llamaron 'Cid' ('señor') y los cristianos, 'Campeador' ('batallador').;;;;;;;;;x
fatimid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
fatimid_desc;During the tumultuous years of the Abbasid caliphate, the Fatimids rose up in Ifriqiya and established their own Caliphate under [This.GetFullName].;Au cours des années tumultueuses du califat abbasside, les Fatimides se sont élevés en Ifriqiya et ont créé leur propre califat sous [This.GetFullName].;Während der turbulenten Jahre des abbasidischen Kalifats erhoben sich die Fatimiden in Ifriqiya und gründeten unter [This.GetFullName] ein eigenes Kalifat.;;Durante los convulsos años del califato abasida, los fatimíes se levantaron en Ifriqiya y fundaron su propio califato bajo [This.GetFullName].;;;;;x
garcia;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
garcia_desc;Warrior-king of the Basques and a major sponsor of the Reconquista, Garcia restored Basque control over Navarra after a long period of Aragonese domination.;Guerrier-roi des Basques et commanditaire majeur de la Reconquista, Garcia a rétabli le contrôle des Basques sur la Navarre après une longue période de domination aragonaise.;Als Kriegerkönig der Basken und Hauptunterstützer der Reconquista stellte Garcia die baskische Kontrolle über Navarra nach einer langen Periode der aragonesischen Herrschaft wieder her.;;Rey guerrero de navarros y gran apoyo de la Reconquista, García restauró la independencia de Navarra tras pertenecer durante mucho tiempo a Aragón.;;;;;;;;;x
genghis_khan;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
genghis_khan_desc;The founder of the Mongol Empire, proclaimed 'Genghis Khan' (Universal Ruler) by the many subjugated peoples of the steppe. An extremely brutal and efficient leader.;Le fondateur de l'Empire mongol, proclamé « Gengis Khan » (souverain universel) par les nombreux peuples subjugués de la steppe. Un chef extrêmement brutal et efficace.;Der Gründer des mongolischen Reiches und von den vielen unterjochten Völkern der Steppe zum "Dschingis Khan" (Weltherrscher) erklärt. Es ist ein extrem brutaler aber effizienter Führer.;;Fundador del Imperio mongol, proclamado 'Gengis Kan' ('gobernante universal') de los pueblos subyugados de la estepa. Un líder extremadamente brutal y eficiente.;;;;;;;;;x
ghaznavid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
ghaznavid_desc;The founder of the Gahznavid dynasty. In his youth he lived as a slave, but in later life came to rule a mighty kingdom which expanded far towards India.;Le fondateur de la dynastie Ghaznévides. Dans sa jeunesse, il a vécu comme esclave, mais a finalement régné sur un royaume puissant s'étendant vers l'Inde.;Der Gründer der Gahznavid-Dynastie. In seiner Jugend lebte er als Sklave, aber später regierte er ein mächtiges Königreich, das sich bis nach Indien ausdehnte.;;Fundador de la dinastía gaznávida, fue esclavo de joven, pero más tarde llegó a gobernar un poderoso imperio que se extendió hasta la India.;;;;;;;;;x
harald_fairhair;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
harald_fairhair_desc;A legendary ruler who through skill and military might united the Kingdom of Norway and the people therein.;Un dirigeant légendaire qui, par son habileté et sa puissance militaire, a uni le Royaume de Norvège et ses habitants.;Ein legendärer Herrscher, der das Königreich Norwegen und dessen Bewohner durch Geschicklichkeit und Militärfähigkeit vereinen konnte.;;Gobernante legendario que unió el reino de Noruega y su pueblo mediante habilidad y poder militar.;;;;;;;;;x
james;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
james_desc;Known as James the Conqueror, he established dominance over the Mediterranean Sea. He is also remembered as a sponsor of artists and a notorious lawmaker.;Jacques le Conquérant a établi sa domination sur la mer Méditerranée. On se souvient aussi de lui comme patron d'artistes et législateur notoire.;Als Jakob der Eroberer bekannt, etablierte er seine Vorherrschaft über das Mittelmeer. Er wird auch als Unterstützer von Künstlern und notorischer Gesetzgeber in Erinnerung bleiben.;;Llamado Jaime el Conquistador, impuso su dominio sobre el Mediterráneo. También es recordado como mecenas de las artes y un legislador notable.;;;;;;;;;x
jannabid;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
jannabid_desc;He is famed for conquering Bahrein and establishing the Qarmatian Republic. They would go on to haunt their neighbors for many years to come.;Il est connu pour avoir conquis le Bahrein et établi la République qarmate. La peur hantera ses voisins pendant de nombreuses années.;Er ist berühmt dafür, Bahrein erobert und die Qarmatische Republic gegründet zu haben. Sie werden ihre Nachbarn noch viele Jahre verfolgen.;;Es célebre conquistar Baréin y fundar la República cármata. Durante muchos años no dejarían de hostigar a sus vecinos.;;;;;x
mansa_musa;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
mansa_musa_desc;A scholar and conqueror, Musa became a legend in the Islamic world for the vast wealth and majesty of his African kingdom. He also sponsored many construction projects.;À la fois savant et conquérant, Musa est devenu une légende dans le monde islamique pour la richesse et la majesté de son royaume africain. Il a également financé de nombreux projets de construction.;Musa war als Gelehrter und Eroberer bekannt und wurde in der islamischen Welt zu einer Legende für den Reichtum und die Pracht seines afrikanischen Königreichs. Er unterstützte auch viele Bauprojekte.;;Erudito y conquistador, Musa se convirtió en una leyenda en el mundo islámico por la gran riqueza y majestad de su reino africano. También patrocinó muchos proyectos de construcción.;;;;;;;;;x
mardavij;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
mardavij_desc;He was the last Zoroastrian ruler who fought back against the Muslims in Persia, trying to reestablish the Sasanian Empire;Il fut le dernier dirigeant zoroastrien à s'être opposé aux musulmans de Perse, tentant de rétablir l'Empire sassanide.;Er war der letzte zoroastrische Herrscher, der sich in Persien gegen die Muslime wehrte und versuchte, das sasanische Reich wiederherzustellen.;;El último gobernante zoroástrico que luchó contra los musulmanes en Persia, intentando restablecer el Imperio sasánida.;;;;;x
matilde_bloodline;Blood of [This.GetFirstName];Sang de [This.GetFirstName];Blut von [This.GetFirstName];;Sangre de [This.GetFirstName];;;;;x
