administration;Administration;Administration;Verwaltung;;Administración;;;;;;;;;x
city_contract_2_desc;The Burghers are expected to provide almost all their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter la majorité de leurs troupes à la défense du Royaume.;Die Bürger müssen fast alle ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan casi todas sus tropas para defender el reino.;;;;;;;;;x
city_contract_2_option;Large;Forte;Groß;;Numerosa;;;;;;;;;x
city_contract_3;Maximum City Levies;Levée citadine maximale;Maximale Stadtaufgebote;;Leva máxima de la villa;;;;;;;;;x
city_contract_3_desc;The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter toutes leurs troupes à la défense du Royaume.;Die Bürger müssen bis auf ein winziges Kontingent ihre sämtlichen Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan todas sus tropas salvo unas pocas para defender el reino.;;;;;;;;;x
city_contract_3_option;Max;Max.;Max;;Máx.;;;;;;;;;x
city_contract_desc;City Levy laws concern the obligations of cities to provide troops for their liege.;Les lois relatives aux troupes citadines déterminent leur obligation à fournir des troupes à leur seigneur lige.;Das Stadtaufgebotsrecht bezieht sich auf die Verpflichtung von Städten, ihrem Lehnsherrn Truppen zur Verfügung zu stellen.;;Las leyes de levas de villa hacen referencia a la obligación de las villas de proporcionar tropas para el feudo.;;;;;;;;;x
city_tax;City Taxation;Impôt citadin;Stadtbesteuerung;;Impuesto a la villa;;;;;;;;;x
city_tax_0;Minimal City Taxes;Impôt citadin minimal;Minimale Stadtsteuern;;Impuesto mínimo a la villa;;;;;;;;;x
city_tax_0_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une petite contribution financière pour le bien du pays.;Die Bürger müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una pequeña contribución financiera por el bien del reino.;;;;;;;;;x
city_tax_0_option;Min;Min;Min;;Mín.;;;;;;;;;x
city_tax_1;Normal City Taxes;Impôt citadin normal;Normale Stadtsteuern;;Impuesto moderado a la villa;;;;;;;;;x
city_tax_1_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une contribution financière modérée pour le bien du pays.;Die Bürger müssen für das allgemeine Wohl des Reichs einen moderaten finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una contribución financiera moderada por el bien del reino.;;;;;;;;;x
city_tax_1_option;Normal;Normal;Normal;;Moderado;;;;;;;;;x
city_tax_2;Large City Tax;Impôt citadin élevé;Hohe Stadtsteuern;;Impuesto alto a la villa;;;;;;;;;x
city_tax_2_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une contribution financière substantielle pour le bien du pays.;Die Bürger müssen für das allgemeine Wohl des Reichs einen erheblichen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una contribución financiera sustanciosa por el bien del reino.;;;;;;;;;x
city_tax_2_option;Large;Élevé;Hoch;;Alto;;;;;;;;;x
city_tax_3;Harsh City Tax;Impôt citadin lourd;Strenge Stadtsteuern;;Impuesto severo a la villa;;;;;;;;;x
city_tax_3_desc;The Burghers are expected to make a large financial contribution to the greater good of the realm. ;Les bourgeois doivent apporter une très lourde contribution financière pour le bien du pays. ;Die Bürger müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una gran contribución financiera por el bien del reino.;;;;;;;;;x
city_tax_3_option;Harsh;Lourd;Streng;;Severo;;;;;;;;;x
city_tax_desc;The cities are the golden geese of any country, but their taxation can be adjusted through laws.;Les cités sont les poules aux oeufs d'or d'un pays, mais leurs impôts peuvent être ajustés au moyen de lois.;Die Städte sind die goldenen Gänse jedes Landes. Ihre Besteuerung kann über Gesetze angepasst werden.;;Las villas son la gallina de los huevos de oro de cualquier país, aunque se puede modificar la tasación mediante leyes.;;;;;;;;;x
cognatic_succession;Agnatic-Cognatic;Agnatico-cognatique;Agnatisch-kognatisch;;Agnación-cognación;;;;;;;;;x
cognatic_succession_desc;Women can inherit, but only if there are no eligible males.;Les femmes peuvent hériter, mais seulement en l'absence d'hommes.;Frauen können erben, aber nur dann, wenn es keine erbberechtigten Männer gibt.;;Las mujeres pueden heredar, pero solo si no hay varones aptos.;;;;;;;;;x
crown_authority;Crown Authority;Autorité royale;Macht der Krone;;Autoridad de la Corona;;;;;;;;;x
crown_authority_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos independientes;;;;;;;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;Les vassaux n'obéissent qu'à leurs propres règles, dirigeant leurs propriétés comme de petits royaumes. Leurs obligations envers leur seigneur lige sont minimales.;Vasallen sind sich selbst das Gesetz und herrschen in ihren Lehen wie kleine Könige. Ihre Verpflichtungen gegenüber dem Lehnsherrn sind minimal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
crown_authority_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
crown_authority_1;Limited Crown Authority;Autorité royale limitée;Begrenzte Macht der Krone;;Autoridad de la Corona limitada;;;;;;;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;Les vassaux ont une grande autonomie, mais ils doivent remettre à leur seigneur une importante part de leurs levées.;Vasallen genießen weitgehende Autonomie, müssen aber einen nicht unwesentlichen Anteil der von ihnen eingenommenen Abgaben an den Lehnsherrn abgeben.;;Los vasallos gozan de bastante autonomía, pero tienen que proporcionar levas suficientes a su señor.;;;;;;;;;x
crown_authority_1_option;Low;Faible;Gering;;Baja;;;;;;;;;x
crown_authority_2;Medium Crown Authority;Autorité royale moyenne;Mittlere Macht der Krone;;Autoridad de la Corona media;;;;;;;;;x
crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance.;Il y a un équilibre fragile entre les pouvoirs des nobles et du monarque.;Die Macht des Adels und des Monarchen stehen in einem stets gefährdeten Gleichgewicht.;;El poder de la nobleza y el del monarca están en un equilibrio precario.;;;;;;;;;x
crown_authority_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
crown_authority_3;High Crown Authority;Autorité royale forte;Starke Macht der Krone;;Autoridad de la Corona alta;;;;;;;;;x
crown_authority_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;Le monarque limite les droits de la haute noblesse et se fie plutôt à une bureaucratie grandissante dirigée par une noblesse de second rang.;Der Monarch hat die Rechte des Hochadels beschnitten und stützt sich stattdessen auf eine neu entstehende, vom niederen Adel geführte Verwaltung.;;El monarca ha reprimido los derechos de la alta nobleza y, en su lugar, confía en una burocracia incipiente dirigida por la baja nobleza.;;;;;;;;;x
crown_authority_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
crown_authority_4;Absolute Crown Authority;Autorité royale absolue;Absolute Macht der Krone;;Autoridad de la Corona absoluta;;;;;;;;;x
crown_authority_4_desc;The Lords of the Realm are chafing under the unrestricted powers of the absolute monarch.;Les seigneurs du pays sont irrités devant le pouvoir sans limites du monarque absolu.;Die Adligen im Reich ächzen unter der uneingeschränkten Macht des Monarchen.;;Los señores del reino están molestos con los poderes ilimitados del monarca absolutista.;;;;;;;;;x
crown_authority_4_option;Max;Max.;Max;;Máx.;;;;;;;;;x
crown_authority_desc;Medieval kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The nobility, naturally, tended to favor a weak state...;Les rois et empereurs médiévaux livrent une constante bataille avec leurs vassaux au sujet des privilèges, des droits et des obligations. Naturellement, la noblesse a tendance à privilégier un État faible.;Mittelalterliche Könige und Kaiser kämpften stets gegen ihre Vasallen um Privilegien, Rechte und Pflichten. Dem Adel war natürlich ein schwaches Reich lieber ...;;Los reyes y los emperadores medievales lucharon sin cesar con sus vasallos por sus privilegios, derechos y obligaciones. La nobleza, lógicamente, suele preferir un estado débil...;;;;;;;;;x
elder_displeased;Displeased;Insatisfait;Verärgert;;Disgustado;;;;;;;;x
elder_displeased_desc;A §YDispleased§! Elder will actively oppose the candidate of the current ruler, purposefully select unfit dynasty members and occasionally fabricate claims for the ruler's enemies.;Un Ancien §Yinsatisfait§! s'opposera activement au candidat du dirigeant, choisira délibérément des membres de la dynastie inaptes et fabriquera occasionnellement des revendications pour les ennemis du dirigeant.;Ein §Yunzufriedener§! Ältester wird sich aktiv gegen den Kandidaten des derzeitigen Herrschers aussprechen und absichtlich unfähige Dynastiemitglieder auswählen und gelegentlich Ansprüche für die Feinde des Herrschers stellen.;;Un anciano §Ydescontento§! se opondrá activamente al candidato del gobernante actual, elegirá miembros indignos de la dinastía a propósito y de vez en cuando creará derechos para los enemigos del gobernante.;;;;;;;;;x
elder_ecstatic;Ecstatic;Extatique;Verzückt;;Extasiado;;;;;;;;x
elder_ecstatic_desc;An §YEcstatic§! Elder will always vote for the candidate picked by the current ruler and offer occasional support.;Un Ancien §Yextatique§! votera toujours pour le candidat choisi par le dirigeant et offrira un soutien occasionnel.;Ein §Yekstatischer§! Ältester wird immer für den Kandidaten stimmen, der vom derzeitigen Herrscher ausgewählt wurde und bietet gelegentlich Unterstützung an.;;Un anciano §Yentusiasmado§! siempre votará por el candidato elegido por el gobernante actual y le ofrecerá apoyo ocasional.;;;;;;;;;x
elder_pleased;Pleased;Satisfait;Erfreut;;Encantado;;;;;;;;x
elder_pleased_desc;A §YPleased§! Elder will be inclined to vote for the candidate picked by the current ruler, or otherwise pick a good member from his dynasty.;Un Ancien §Ysatisfait§! sera enclin à voter pour le candidat choisi par le dirigeant ou à choisir un bon membre de sa dynastie.;Ein §Yzufriedener§! Ältester ist geneigt dazu entweder für den Kandidaten zu stimmen, der vom aktuellen Herrscher ausgewählt wurde oder einem anderen geeigneten Mitglied seiner Dynastie.;;Un anciano §Yencantado§! se sentirá inclinado a votar por el candidato elegido por el gobernante actual, o si no, elegirá un buen miembro de su dinastía.;;;;;;;;;x
elder_ruler;Ruler;Dirigeant;Herrscher;;Gobernante;;;;;;;;x
elder_ruler_desc;The current ruler will vote as [Root.GetSheHe] pleases.;Le dirigeant actuel votera à sa guise.;Der momentane Herrscher stimmt so, wie [Root.GetSheHe] es will.;;[Root.GetElLa] gobernante actual votará como quiera.;;;;;;;;;x
eldership_rules;Eldership;Conseil des Anciens;Ältestenherrschaft;;Antigüedad;;;;;;x
elective_gavelkind;Elective Gavelkind;Partage salique électif;Wahlweise Erbteilung;;Gavelkind Electiva;;;;;;;;;x
enatic;Enatic;Utérine;Enatisch;;Enática;;;;;;;;;x
enatic_cognatic;Enatic-Cognatic;Utérine-cognatique;Enatisch-kognatisch;;Enática-Cognática;;;;;;;;;x
enatic_cognatic_desc;Men can inherit, but only if there are no eligible females.;Les hommes peuvent hériter, mais uniquement s'il n'y a aucune femme éligible.;Männer können erben, aber nur dann, wenn es keine erbberechtigten Frauen gibt.;;Los hombres pueden heredar, pero sólo si no hay mujeres elegibles.;;;;;;;;;x
enatic_cognatic_succession;Enatic-Cognatic;Utérine-cognatique;Enatisch-kognatisch;;Enática-Cognática;;;;;;;;;x
enatic_cognatic_succession_desc;Men can inherit, but only if there are no eligible females.;Les hommes peuvent hériter, mais uniquement s'il n'y a aucune femme éligible.;Männer können erben, aber nur dann, wenn es keine erbberechtigten Frauen gibt.;;Los hombres pueden heredar, pero sólo si no hay mujeres elegibles.;;;;;;;;;x
enatic_desc;Only women can inherit.;Seules les femmes peuvent hériter.;Nur Frauen können erben.;;Sólo las mujeres pueden heredar.;;;;;;;;;x
enatic_succession;Enatic;Utérine;Enatisch;;Enática;;;;;;;;;x
enatic_succession_desc;Only women can inherit.;Seules les femmes peuvent hériter.;Nur Frauen können erben.;;Sólo las mujeres pueden heredar.;;;;;;;;;x
execution_voting_power;Execution;Exécution;Hinrichtung;;Ejecución;;;;;;;;;x
execution_voting_power_0;Ruler Execution Sovereignty;Souveraineté du dirigeant pour les exécutions;Herrscher entscheidet über Hinrichtungen;;Soberanía de ejecución del gobernador;;;;;;;;;x
execution_voting_power_0_desc;The Ruler has full authority on Executions.\n;Le dirigeant décide seul des exécutions.\n;Der Herrscher hat bei Hinrichtungen die volle Entscheidungsbefugnis.\n;;El gobernante tiene plena autoridad sobre las ejecuciones.\n;;;;;;;;;x
execution_voting_power_0_option;Ruler;Dirigeant;Herrscher;;Gobernante;;;;;;;;;x
execution_voting_power_1;Execution Committee;Comité d'exécution;Hinrichtungskomitee;;Comité de ejecución;;;;;;;;;x
execution_voting_power_1_desc;Council members vote on Executions.\n;Les membres du Conseil votent sur les exécutions.\n;Ratsmitglieder stimmen über Hinrichtungen ab.\n;;Miembros del consejo votan sobre las ejecuciones\n;;;;;;;;;x
execution_voting_power_1_option;Council;Conseil;Rat;;Consejo;;;;;;;;;x
execution_voting_power_desc;The Council's ability to influence executions.;La capacité du Conseil à influencer les exécutions.;Die Möglichkeit des Rates, Hinrichtungen zu beeinflussen.;;Capacidad del Consejo para influir en las ejecuciones.;;;;;;;;;x
feudal_administration;Feudal Administration;Administration féodale;Feudale Verwaltung;;Administración Feudal;;;;;;;;;x
feudal_administration_desc;A feudal society is a hierarchy of landed lords, where each person in the system owes fealty to those directly above and commands those directly below. It is the way most of the medieval world works, and it means that the ruler depends greatly on the loyalty of [Player.GetHerHis] more powerful vassals.;Une société féodale est une hiérarchie de seigneurs terriens. Chaque personne dans ce système jure allégeance à celles qui se trouvent au-dessus d'elle et commande à celles qui se trouvent en dessous. C'est ainsi que la majorité du monde médiéval fonctionne. Cela signifie qu'un souverain dépend grandement de la loyauté de ses plus puissants vassaux.;Eine Feudalgesellschaft bezeichnet ein hierarchisches System von Fürsten mit Landbesitz. Jede Person hat einen Lehnsherrn, dem sie direkt unterstellt ist, sowie Lehnsleute, die dieser Person direkt unterstellt sind. Der Großteil der mittelalterlichen Welt folgte diesem Prinzip. Als Konsequenz davon war der Herrscher stark von der Loyalität [Player.GetHerHis]er einflussreicheren Vasallen abhängig.;;Una sociedad feudal es una jerarquía de terratenientes en la cual cada persona del sistema debe lealtad a sus superiores y dan órdenes a los que tienen por debajo. La mayor parte del mundo medieval funciona de este modo, lo que significa que el gobernante depende, en gran medida, de la lealtad de [Player.GetHerHis] vasallos más poderosos.;;;;;;;;;x
feudal_administration_option;Feudal;Féodal;Feudal;;Feudal;;;;;;;;;x
feudal_contract;Feudal Levies;Levée noble;Feudale Aufgebote;;Leva feudal;;;;;;;;;x
feudal_contract_0;Minimal Feudal Levies;Levée noble minimale;Minimale feudale Aufgebote;;Leva feudal mínima;;;;;;;;;x
feudal_contract_0_desc;Vassal Feudal lords must only provide you with a majority of their levies.;Les seigneurs féodaux doivent mettre à votre disposition une force minimale leurs troupes.;Vasallenfürsten müssen Euch nur einen kleinen Teil ihrer Aufgebote zur Verfügung stellen.;;Los señores vasallos deben proporcionarte la mayoría de sus levas.;;;;;;;;;x
feudal_contract_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
feudal_contract_1;Small Feudal Levies;Levée noble faible;Kleine feudale Aufgebote;;Leva feudal pequeña;;;;;;;;;x
feudal_contract_1_desc;Vassal Feudal lords may retain a significant portion of their levies for themselves.;Les seigneurs féodaux peuvent conserver un nombre important de troupes pour leurs propres usages et.;Vasallenfürsten behalten einen Großteil ihrer Aufgebote für sich selbst.;;Los señores vasallos pueden conservar una parte significativa de sus levas.;;;;;;;;;x
feudal_contract_1_option;Small;Faible;Wenig;;Pequeña;;;;;;;;;x
feudal_contract_2;Normal Feudal Levies;Levée noble normale;Normale feudale Aufgebote;;Leva feudal mediana;;;;;;;;;x
feudal_contract_2_desc;Vassal Feudal lords retain small mobile retinues in addition to their garrisons.;Les seigneurs féodaux ne conservent que de petites escortes mobiles, en plus de leurs garnisons.;Vasallenfürsten behalten zusätzlich zu ihren Garnisonen ein kleines mobiles Gefolge.;;Los señores vasallos conservan pequeño séquito itinerante además de sus tropas.;;;;;;;;;x
feudal_contract_2_option;Normal;Normale;Normal;;Normal;;;;;;;;;x
feudal_contract_3;Maximum Feudal Levies;Levée noble maximale;Maximale feudale Aufgebote;;Leva feudal máxima;;;;;;;;;x
feudal_contract_3_desc;Vassal Feudal lords are obliged to provide their entire levy.;Les seigneurs féodaux sont tenus de mettre à disposition toutes leurs forces.;Vasallenfürsten müssen ihrem Lehnsherrn alle ihre Aufgebote zur Verfügung stellen.;;Los señores vasallos están obligados a proporcionar todas sus levas.;;;;;;;;;x
feudal_contract_3_option;Max;Max.;Max;;Máx.;;;;;;;;;x
feudal_contract_desc;Feudal Levy Laws control the proportion of their levies that vassal lords nominally have to provide their liege.;Les lois relatives aux levées nobles déterminent le pourcentage de troupes que les vassaux doivent fournir à leur seigneur lige.;Das feudale Wehrpflichtigenrecht regelt, welchen Teil ihrer Wehrpflichtigen Vasallenfürsten nominell ihrem Lehnsherrn zur Verfügung stellen müssen.;;La ley de leva feudal determina la proporción de leva que los señores vasallos deben proporcionar a su feudo.;;;;;;;;;x
feudal_elective;Elective;Monarchie élective;Wahlmonarchie;;Elección;;;;;;;;;x
feudal_tax;Feudal Taxation;Impôt noble;Feudalbesteuerung;;Impuesto feudal;;;;;;;;;x
feudal_tax_0;Tax Exemption;Exonération de la noblesse;Steuerbefreiung;;Exención de impuestos;;;;;;;;;x
feudal_tax_0_desc;Feudal lords are exempted from taxation, vassal lords like this state of affairs.;Les seigneurs féodaux ne sont pas tenus de payer des impôts, ce qui plaît aux vassaux.;Feudale Fürsten sind sehr zu ihrer Freude von der Steuer befreit.;;Los señores feudales están exentos de impuestos. A los señores vasallos les gusta este sistema.;;;;;;;;;x
feudal_tax_0_option;None;Aucun;Keine;;Sin impuestos;;;;;;;;;x
feudal_tax_1;Small Feudal Tax;Impôt noble faible;Geringe feudale Abgaben;;Impuesto feudal reducido;;;;;;;;;x
feudal_tax_1_desc;Feudal lords are expected to make a small financial contribution towards the greater good of the realm. They are mildly disappointed in this.;Les seigneurs féodaux sont tenus de verser une petite contribution financière pour le bien du pays, ce qu'ils n'apprécient pas vraiment.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten. Davon sind sie leicht enttäuscht.;;Se espera que los señores feudales realicen una pequeña contribución financiera por el bien del reino. Esta ley no les agrada mucho.;;;;;;;;;x
feudal_tax_1_option;Small;Faible;Gering;;Pequeño;;;;;;;;;x
feudal_tax_2;Large Feudal Tax;Impôt noble élevé;Hohe feudale Abgaben;;Impuesto feudal grande;;;;;;;;;x
feudal_tax_2_desc;Feudal lords are expected to make a substantial financial contribution towards the greater good of the realm. They also wish to express their general disappointment at this state of affairs.;Les seigneurs féodaux sont tenus de verser une importante contribution pour le bien du pays, ce qu'ils n'apprécient absolument pas.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen beträchtlichen finanziellen Beitrag leisten. Außerdem möchten sie ihre allgemeine Enttäuschung über diese Sachlage zum Ausdruck bringen.;;Se espera que los señores feudales realicen una contribución financiera sustanciosa por el bien del reino. También desean expresar su descontento general hacia este sistema.;;;;;;;;;x
feudal_tax_2_option;Large;Élevé;Hoch;;Alto;;;;;;;;;x
feudal_tax_3;Harsh Feudal Tax;Impôt noble lourd;Harte feudale Abgaben;;Impuesto feudal abusivo;;;;;;;;;x
feudal_tax_3_desc;Feudal lords are expected to make a large financial contribution towards the greater good of the realm. They find it hard to fully express their disgust at this state of affairs.;Les seigneurs féodaux sont tenus de verser une lourde contribution financière pour le bien du pays, ce qu'ils désapprouvent catégoriquement.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten. Es fällt ihnen schwer, ihre Empörung über diese Sachlage gebührend zum Ausdruck zu bringen.;;Se espera que los señores feudales realicen una gran contribución financiera por el bien del reino. Tienen dificultades para expresar claramente su disgusto hacia este sistema.;;;;;;;;;x
feudal_tax_3_option;Harsh;Lourd;Streng;;Severo;;;;;;;;;x
feudal_tax_desc;Normally, feudal lords are exempt from paying taxes to their liege. However, other arrangements are fairly common - if not well liked.;Traditionnellement, les seigneurs féodaux ne sont pas tenus de payer un impôt. Mais d'autres dispositions peuvent évidemment être prises.;Normalerweise müssen feudale Fürsten ihrem Lehnsherrn keine Steuern zahlen. Andere Regelungen sind ebenfalls üblich, wenn auch nicht sehr populär.;;Normalmente, los señores feudales están exentos de pagar impuestos a su superior. Pero, es frecuente haya otros acuerdos en caso de disconformidad.;;;;;;;;;x
gavelkind;Gavelkind;Partage salique;Erbteilung;;Partes iguales;;;;;;;;;x
grant_title_voting_power;Grant Titles;Accorder des titres;Titelvergabe;;Conceder títulos;;;;;;;;;x
