BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
BM_FATE_OF_ENGLAND_ERA_INFO;By the late 10th and early 11th centuries the Muslim world was changing, with Turkish dynasties such as the Seljuks and Ghaznavids now dominating Persia. The Byzantine Empire was still holding its own but was to see worse times coming. Central and Western continental Europe was split between France and a strong Holy Roman Empire, while Christian kings were advancing against a fractured and weakened Muslim Spain. Scandinavia was quickly converting to Christianity, and the Norse settlers in Russia and Britain had become assimilated with the local populations. Yet Viking descendants in Normandy and Italy were preparing new conquests, and the time of the First Crusade was approaching...;Vers la fin du Xe et le début du XIe siècles, le monde musulman connaît des changements : les dynasties turques telles que les Seldjoukides et les Ghaznévides dominent à présent la Perse. L'Empire byzantin perdure toujours, mais le pire reste encore à venir. L'Europe centrale et occidentale est divisée entre la France et le puissant Saint-Empire romain tandis que les rois chrétiens gagnent du terrain sur une Espagne musulmane divisée et affaiblie. La Scandinavie se convertit rapidement au christianisme, tandis que les colons nordiques installés en Russie et en Bretagne s'assimilent aux populations locales. Cependant, les descendants des Vikings implantés en Normandie et en Italie se préparent à de nouvelles conquêtes, et le temps de la première croisade approche...;Im späten 10. und frühen 11. Jh. änderten sich die Machtverhältnisse der muslimischen Welt, als türkische Dynastien wie die Seldschuken und Ghaznaviden die Vorherrschaft in Persien übernahmen. Das Byzantinische Reich bestand fort, doch ihm sollten schlimme Zeiten bevorstehen. Frankreich und das Heilige Römische Reich teilten sich die Herrschaft über den Westen und die Mitte des europäischen Festlandes, während christliche Könige gegen ein ungeeintes und geschwächtes muslimisches Spanien vorrückten. In Skandinavien breitete sich das Christentum schnell aus und die Wikinger, die sich in Russland und auf der Britischen Insel niedergelassen hatten, wurden von der dortigen Bevölkerung assimiliert. Ihre Nachkommen jedoch, in der Normandie und in Italien, rüsteten sich für neue Eroberungszüge und das Zeitalter der Kreuzzüge nahte...;;A finales del siglo X y comienzos del XI, el mundo musulmán cambió, con dinastías turcas como los selijúcidas y los gaznávidas ahora dominando Persia. El Imperio bizantino aún se mantenía pero se le acercaban tiempos difíciles. La Europa continental central y occidental estaba escindida entre Francia y un fuerte Sacro Imperio Romano, mientras que los reyes cristianos avanzaban ante una debilitada y fracturada España musulmana. Escandinavia pronto se convirtió a la cristiandad y los colonos nórdicos en Rusia y Bretaña fueron integrados a las poblaciones locales. Además, los descendientes de los vikingos en Normandía e Italia se preparaban para nuevas conquistas, y se acercaba el momento de la Primera Cruzada... ;;;;;;;;;x
BM_KOMNENOS_DYNASTY;The Alexiad;L'Alexiade;Die Alexiade;;La Alexiada;;;;;;;;;x
BM_KOMNENOS_DYNASTY_DESC;After a series of devastating losses to invading Turkish forces, the Byzantine Empire is reeling. But there is hope - the great general Alexios Komnenos has just seized the throne from the corrupt Nikephoros III. Alexios - whose life was documented by his daughter Anna in 'the Alexiad' - and his successors would halt the decline of the Empire and push back the Turkish invaders from western Anatolia, buying more time for the ailing remnants of the old Roman Empire. For now, Anatolia is ruled by Suleyman I, a member of the Seljuk dynasty, who arrogantly calls his new state the 'Sultanate of Rum' (Rome).;Après une série d'échecs consécutifs en tentant d'anéantir les forces turques, l'Empire byzantin est fragilisé. Mais il reste un espoir : le grand général Alexis Ier Comnène vient de s'emparer du trône occupé jusqu'alors par Nicéphore III, un homme d'État corrompu. Alexis, dont la vie a été relatée dans l'Alexiade par sa fille Anne, et ses successeurs ont mis un terme au déclin de l'Empire byzantin et repoussé les envahisseurs turcs de l'Anatolie occidentale, laissant quelque répit à l'ancien Empire romain fort affaibli. À présent, l'Anatolie est dirigée par Soliman Ier, membre de la dynastie seldjoukide, qui a donné le nom arrogant de « Sultanat de Roum » (Rome) à son nouvel état.;Nach einer Reihe von verheerenden Verlusten gegen eindringende türkische Streitkräfte ist das byzantinische Reich ins Wanken geraten. Aber es gibt Hoffnung - der große Feldherr Alexios Komnenos hat gerade den Thron vom korrupten Nikephoros III ergriffen. Alexios - dessen Leben von seiner Tochter Anna in der "Alexiade" dokumentiert wird - und seine Nachfolger wollten den Niedergang des Reiches aufhalten und die türkischen Angreifer aus Westanatolien zurückdrängen, um mehr Zeit für die notleidenden Reste des alten römischen Reiches gewinnen zu können. Derzeit herrscht in Anatolien Suleyman I, ein Mitglied der Seldschuken-Dynastie, der arroganterweise seinen neuen Staat das "Sultanat des Rums" (Rom) nennt.;;Tras sufrir pérdidas devastadoras ante las fuerzas turcas invasoras, el Imperio Bizantino se tambalea. Pero aún hay esperanza: el gran general Alejo Comneno acaba de hacerse con el trono del corrupto Nicéforo III. Alejo, cuya vida documentó su hija Ana en 'La Alexiada', y sus sucesores detendrían la decadencia del imperio y expulsarían a los invasores turcos de la Anatolia occidental, lo que concedería más tiempo a los frágiles vestigios del antiguo Imperio Romano. Por ahora, Anatolia está bajo el mandato de Suleyman I, miembro de la dinastía Seljuk, quien denomina con arrogancia a su nuevo estado 'Sultanato de Rüm' (Roma).;;;;;;;;;x
BM_NORMAN_CONQUEST;William the Conqueror;Guillaume le Conquérant;Wilhelm der Eroberer;;Guillermo el Conquistador;;;;;;;;;x
BM_NORMAN_CONQUEST_DESC;Victorious at the hard-fought Battle of Hastings, William, Duke of Normandy, has proclaimed himself King of England. Displaced Saxon lords rage against the French speaking usurpers as fief after fief is given to William's loyal followers. In Anatolia, the Seljuk Turks under the great sultan Alp Arslan are about to invade the Byzantine Empire in a struggle that will determine the fate of Asia Minor...;Après avoir remporté la redoutable bataille d'Hastings, Guillaume, duc de Normandie, s'est autoproclamé roi d'Angleterre. Les seigneurs saxons sont fous de rage contre ces usurpateurs parlant français en voyant que leurs fiefs sont offerts, les uns après les autres, aux fidèles partisans de Guillaume. En Anatolie, les Turcs seldjoukides, sous l'autorité du grand sultan Alp Arslan, s'apprêtent à envahir l'Empire byzantin et à livrer une bataille qui scellera le destin de l'Asie mineure...;Nach seinem Sieg in der Schlacht von Hastings erklärt Wilhelm II., Herzog der Normandie, sich zum König von England. Vertriebene sächsische Fürsten erheben sich gegen die frankophonen Thronräuber, während Lehen um Lehen Wilhelms loyalen Gefolgsleuten zufällt. In Anatolien machen sich die Seldschuken unter dem großen Sultan Alp Arslan bereit, das Byzantinische Kaiserreich in einen Krieg zu verwickeln, der das Schicksal Kleinasiens bestimmen wird ...;;Guillermo, duque de Normandía, sale victorioso en la Batalla de Hastings y se proclama rey de Inglaterra. Los señores sajones expatriados protestan contra los usurpadores francoparlantes y los feudos se van adjudicando a los fieles seguidores de Guillermo. En Anatolia, los selyúcidas, al mando del gran sultán Alp Arslan, se aprestan a invadir el Imperio Bizantino en lucha decisiva del destino de Asia Menor...;;;;;;;;;x
BM_RISE_OF_THE_HANSA;Rise of the Hansa;L'essor de la Hanse;Aufstieg der Hanse;;Alzamiento de la Hansa;;;;;;;;;x
BM_RISE_OF_THE_HANSA_DESC;The burghers of the Imperial Free Cities of Lübeck and Hamburg in Northern Germany have just formed a trade alliance that will eventually become known as the Hanseatic League. Meanwhile, the terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan.;En Germanie du nord, les citoyens des cités libres de l'Empire, Lübeck et Hambourg, viennent de former une alliance commerciale qui sera par la suite connue sous le nom de Ligue hanséatique. Pendant ce temps, la terrible horde des Mongols a balayé l'est de l'Europe, fauchant toute opposition sans effort. Alors même que le Saint Empereur romain Frédéric II tremblait de peur, la grande invasion s'arrêta inexplicablement. À ce moment, Batu Khan de la Horde d'or et Houlagou Khan des Ilkhanides s'en retournèrent à Karakorum pour élire le nouveau grand khan. ;Die Bürger der Freien Reichsstädte Lübeck und Hamburg in Norddeutschland haben eine Handelsallianz gebildet, die später als die Deutsche Hanse bekannt werden sollte. Zeitgleich streicht die schreckliche mongolische Horde gleich einer Sense durch Osteuropa, jede Gegenwehr hinwegfegend. Als sich selbst der Heilige Römische Kaiser Friedrich II. furchtsam duckt, kommt die große Invasion zu einem plötzlichen Stillstand, als sich sowohl Batu Khan von der Goldenen Horde als auch Hulagu Khan vom Il-Khanat nach Karakorum zurück begeben, um einen neuen Großkhan zu wählen.;;Los burgueses de las Ciudades Imperiales Libres de Lubeca y Hamburgo en el norte de Alemania han formado recientemente una alianza comercial que con el tiempo se conocerá como la Liga Hanseática. Mientras tanto, la terrible Horda Mongola ha cortado como una guadaña a través de Europa del Este, derribando sin esfuerzo toda la oposición. Incluso cuando el Santo Emperador Romano Friedrich II se acobarda de miedo, la gran invasión se para inexplicablemente ya que tanto Batu Khan de la Horda de Oro como Hulagu Khan de Ilkhanate regresan a Karakorum para elegir un nuevo Gran Khan.;;;;;;;;;x
BM_THE_LATIN_EMPIRE;The Latin Empire;L'Empire latin;Lateinisches Reich;;El Imperio Latino;;;;;;;;;x
BM_THE_LATIN_EMPIRE_DESC;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the so called Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;La tristement célèbre Quatrième croisade, censée permettre de récupérer Jérusalem au terme d'une invasion à travers l'Égypte, a été mise en échec par des dirigeants vénitiens corrompus et manipulateurs ainsi que par l'Empereur byzantin déchu Alexis IV, désirant à tout prix reconquérir son trône. Cette croisade a abouti au pillage tragique de Constantinople et à l'établissement ultérieur dudit Empire latin. Quasiment aucun croisé n'est parvenu jusqu'à la Terre sainte. Pendant ce temps, l'infâme roi Jean sans Terre, frère de Richard Coeur de Lion, dirige l'Angleterre et les états chrétiens d'Espagne doivent se défendre contre la puissante dynastie almohade.;Der berüchtigte und unglückselige vierte Kreuzzug, der Jerusalem nach einer Invasion durch Ägypten zurückerobern sollte, schlug stattdessen wegen intriganter Venezianer, korrupter Anführer und des gestürzten byzantinischen Kaisers Alexios IV fehl, der seinen verlorenen Thron zurückgewinnen wollte. Das Ergebnis war die tragische Plünderung von Konstantinopel und die anschließende Gründung des sogenannten lateinischen Kaiserreichs. Fast keiner der Kreuzfahrer erreichte überhaupt das heilige Land. Mittlerweile herrscht der berüchtigte König Johann, der Bruder von Richard Löwenherz, in England und die christlichen Staaten von Spanien kämpfen gegen die mächtige Almohaden-Dynastie.;;La notoria y malograda Cuarta Cruzada, que debía reconquistar Jerusalén tras una invasión a través de Egipto, se desbarató por intrigas venecianas, líderes corruptos y la pretensión del destronado emperador bizantino Alejo IV de recuperar el trono perdido. El resultado fue el trágico saqueo de Constantinopla y el posterior establecimiento del llamado Imperio Latino. Prácticamente ningún Cruzado logró alcanzar Tierra Santa. Mientras tanto, el infame rey Juan, hermano de Ricardo Corazón de León, reina en Inglaterra y los estados cristianos de España se enfrentan a la poderosa dinastía Almohade.;;;;;;;;;x
BM_THE_MONGOLS;The Mongols;Les Mongols;Die Mongolen;;Los Mongoles;;;;;;;;;x
BM_THE_MONGOLS_DESC;After uniting the warring steppe tribes under a single banner for the first time, the great warlord Temujin, or Genghis Khan as he now styles himself, has set out to expand his growing empire further. In Central Asia, Mongolian envoys to Ala ed-Din of Khwarezm have been massacred and this is an insult the Great Khan cannot ignore. He has led his armies west and now stands poised to punish the powerful Muslim realm for its insolence. Like a coiled spring, the massed Mongol armies are ready to be unleashed upon the world. Where will they stop?;Après avoir unifié les tribus adverses de la steppe sous un même étendard pour la première fois, le grand seigneur de la guerre Temujin, ou Genghis Khan comme il se fait lui-même appeler, est déterminé à étendre son empire grandissant encore plus loin. En Asie centrale, les émissaires mongols se rendant chez Ala ed-Din de Khwarezm ont été massacrés et c'est une insulte que le Grand Khan ne peut ignorer. Il a conduit ses armées vers l'ouest et est sur le point de punir le puissant royaume musulman pour son insolence. Tendues comme un ressort, les armées mongoles rassemblées sont prêtes à conquérir le monde. Où s'arrêteront-elles ?;Nachdem zum ersten Mal die unruhigen Stämme der Steppe unter einem einzigen Banner vereinigt wurden, hat der große Kriegsherr Temujin - oder Dschingis Khan, wie er sich jetzt nennt - begonnen, sein Imperium zu erweitern. In Zentralasien wurden mongolische Gesandte auf dem Weg zu Ala ed-Din of Khwarezm massakriert und diese Beleidigung kann der große Khan nicht ignorieren. Er hat seine Armeen gen Westen geführt und ist nun bereit, die starken muslimischen Reiche für ihre Unverschämtheit zu bestrafen. Gleich einer gespannten Feder ist die gewaltige mongolische Armee bereit, auf die Welt losgelassen zu werden. Wer wird sie aufhalten?;;Tras unir a las tribus guerreras de la estepa  bajo el mismo estandarte por primera vez, el gran señor de la guerra Temujin, o Genghis Khan como él ahora se llama a sí mismo, se ha dedicado a expandir su imperio cada vez más lejos. En Asia Central, enviados Mongoles a Ala ed-Din de Khwarezm han sido masacrados y esto es un insulto que el Gran Khan no puede ignorar. Ha dirigido sus ejércitos al oeste y ahora está preparado para castigar al poderoso reino Musulmán por su insolencia. Como un muelle enrollado, el masivo ejército Mongol está listo para ser desatado sobre el mundo. ¿Dónde irán a parar?;;;;;;;;;x
BM_THE_MONGOLS_ERA;Age of the Mongols;L'âge des Mongols;Mongolensturm;;Edad de los Mongoles;;;;;;;;;x
