#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8703;The Teutonic Order;L'Ordre teutonique;Der Deutsche Orden;;La Orden Teutónica;;;;;;;;;x
EVTDESC8725;To the Great [Root.GetTitledFirstName],\nYour bravery is legendary. I wish to support you in your valiant struggle against the heathens, and hereby offer to transfer a County to the order.\n\nSigned,\n[From.GetTitledName];À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre bravoure est légendaire. Je souhaite vous soutenir dans votre valeureuse lutte contre les païens, et vous offre par la présente la cession d'un Comté à l'Ordre.\n\nSigné,\n[From.GetTitledName];An den Großen [Root.GetTitledFirstName],\nEure Tapferkeit ist legendär. Ich möchte Euch in Eurem tapferen Kampf gegen die Heiden unterstützen und biete Eurem Orden hiermit eine Grafschaft an.\n\nGezeichnet,\n[From.GetTitledName];;Al gran [Root.GetTitledFirstName],\nVuestra valentía es legendaria. Deseo apoyaros en vuestra valiente campaña contra los paganos y por la presente os ofrezco un Condado para la orden.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8800;Holy Order or not, I will not let any foreign power establish a hold in my realm.\n\nSigned,\n[From.GetTitledName];Ordre sacré ou non, je ne laisserai aucune puissance étrangère avoir la mainmise sur mon Royaume.\n\nSigné,\n[From.GetTitledName];Glaubensorden oder nicht - ich werde keiner ausländischen Macht gestatten, in meinem Reich einen Stützpunkt zu etablieren.\n\nGezeichnet,\n[From.GetTitledName];;Orden Sagrada o no, no dejaré que ninguna potencia extranjera se establezca en mi reino.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x

EVTOPTA8700;I will send an offer;Je vais envoyer une offre.;Ich werde ein Angebot schicken;;Enviaré una oferta;;;;;;;;;x
EVTOPTA8720;Their precense is most welcome;Leur présence est plus que bienvenue;Ihre Präsenz ist mehr als willkommen;;Su presencia es más que bienvenida;;;;;;;;;x
EVTOPTA8721;I better leave this decision to my liege;Je ferais mieux de laisser cette décision à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige;Ich überlasse diese Entscheidung lieber meinem Lehnsherrn;;Mejor dejo esta decisión a mi señor;;;;;;;;;x
EVTOPTA8722;Excelent proposal!;Excellente proposition !;Hervorragender Vorschlag!;;¡Excelente proposición!;;;;;;;;;x
EVTOPTA8723;Then so it shall be!;Qu'il en soit ainsi !;So soll es sein!;;¡Entonces que así sea!;;;;;;;;;x
EVTOPTA8724;Then I will retract my offer;Je retirerai donc mon offre;Dann werde ich mein Angebot zurückziehen;;Entonces retiro mi oferta;;;;;;;;;x
EVTOPTA8800;Outrageous!;C'est scandaleux !;Ungeheuerlich!;;¡Vergonzoso!;;;;;;;;;x

EVTOPTB8720;I would never give away my land;Je ne donnerai jamais mes terres;Ich würde niemals mein Land weggeben;;Nunca daré una de mis tierras;;;;;;;;;x
EVTOPTB8721;You have my blessing;Vous avez ma bénédiction;Ihr habt meinen Segen;;Tienes mi bendición;;;;;;;;;x
EVTOPTB8722;I will not permit any ceding of land;Je ne permettrai aucune cession de terre;Ich werde keine Landabtretung gestatten;;No permitiré la cesión de ninguna tierra;;;;;;;;;x

EVTOPTC8721;No land is to be ceded;Aucune terre ne sera cédée;Kein Land soll abgetreten werden;;Ninguna tierra será cedida;;;;;;;;;x
