EoD_UPRISING;[Root.Religion.GetName] Reckoning;Jour du Jugement [Root.Religion.GetName];[Root.Religion.GetName] – Abrechnung;;El juicio de [Root.Religion.GetName];;;;;;;;;x
EVTDESC_RIP_11020;Your tumors are no more, and it seems the disease is no longer spreading. It will be a while until you are completely back to normal but the Cancer is gone.;Vos tumeurs ont disparu, et il semble que la maladie ne se répande plus. Cela prendra du temps jusqu'à ce que vous reveniez à un état normal, mais le cancer est parti.;Eure Tumore sind verschwunden, und die Krankheit scheint sich nicht weiter auszubreiten. Bis Ihr wieder völlig auf der Höhe seid, wird es noch eine Weile dauern, aber den Krebs habt Ihr überstanden.;;Ya no tienes tumores y parece que la enfermedad ya no se extiende. Llevará un tiempo hasta que vuelvas completamente a la normalidad, pero el Cáncer ha desaparecido.;;;;;;;;;x
EVTDESC_RIP_11021;Your cough has subsided and the ill-boding fever has left your body. You have survived Pneumonia.;Votre toux a disparu et la fièvre de mauvais augure a quitté votre corps. Vous avez survécu à la pneumonie.;Euer Husten ist verflogen und das bedrohliche Fieber ist abgeklungen. Ihr habt die Pneumonie überlebt.;;Tus toses han disminuido, y esa fiebre amenazadora ha abandonado tu cuerpo. Has sobrevivido a la Neumonía.;;;;;;;;;x
EVTDESC_RIP_11022;The sores on your body have vanished and you are almost back to your regular self. You are rid of the Great Pox.;Les plaies sur votre corps ont disparu et vous êtes presque redevenu vous-même. Vous avez vaincu la grande vérole.;Die Wundstellen an Eurem Körper sind verschwunden und Ihr fühlt Euch fast wieder so wie früher. Ihr habt die Lues überstanden.;;Las llagas de tu cuerpo han desaparecido y casi vuelves a ser el de siempre. Te has librado de la Viruela.;;;;;;;;;x
EVTDESC_RIP_11023;It's a miracle! Feeling has returned to your extremities. You survived Leprosy.;C'est un miracle ! Vous avez retrouvé des sensations dans vos extrémités. Vous avez survécu à la lèpre.;Ein Wunder! Ihr könnt Eure Gliedmaßen wieder spüren. Ihr habt die Lepra besiegt.;;¡Es un milagro! Tus extremidades han recuperado la sensibilidad. Has sobrevivido a la Lepra.;;;;;;;;;x
EVTDESC_RIP_11024;You awake rejuvenated. After some moments of disbelief you realize that your fever has passed and your appetite has returned. You have survived Consumption.;Vous vous réveillez plus jeune. Après des moments d'incrédulité, vous réalisez que votre fièvre a cessé et que vous avez retrouvé votre appétit. Vous avez survécu à la consomption.;Ihr erwacht ausgeruht. Nach einem Augenblick der Ungläubigkeit wird Euch klar, dass Euer Fieber abgeklungen und Euer Appetit zurückgekehrt ist. Ihr habt die Schwindsucht überlebt.;;Despiertas rejuvenecido. Tras unos momentos de incredulidad te das cuenta que la fiebre ha pasado y has recuperado el apetito. Has sobrevivido a la Tisis.;;;;;;;;;x
EVTDESC_RIP_11025;Your delirium has lifted and your temperature is back to normal. You have beaten Slow Fever.;Vous ne délirez plus et votre température est de retour à la normale. Vous avez pris le dessus sur la fièvre lente.;Der Fieberwahn ist verflogen und Eure Körpertemperatur ist wieder im normalen Bereich. Ihr habt das schleichende Fieber überstanden.;;Tus delirios han pasado y la temperatura ha vuelto a la normalidad. Has vencido a la Fiebre tifoidea.;;;;;;;;;x
EVTDESC_RIP_11026;A vigor has returned to you as the aches from your recent disease leaves your body. You have survived Camp Fever.;Vous avez retrouvé votre vigueur depuis que les douleurs de votre récente maladie ont cessé. Vous avez survécu à la fièvre des camps.;Die Schmerzen Eurer Krankheit haben Euren Körper verlassen und Ihr fühlt Euch wieder kräftiger. Ihr habt das Lagerfieber besiegt.;;Has recuperado el vigor de los dolores ahora que los dolores que de tu reciente enfermedad abandona tu cuerpo. Has sobrevivido al Tifus.;;;;;;;;;x
EVTDESC_RIP_11027;You're not sure how it happened, but your skin has returned to a healthy color and the abscesses are gone. It would seem you have survived the Plague.;Vous ignorez encore comment c'est arrivé, mais votre peau est revenue à une couleur saine et les abcès sont partis. Il semblerait que vous ayez survécu à la peste.;Ihr wisst nicht genau, wie es vonstattenging, aber Eure Haut sieht wieder gesund aus und die Abszesse sind verschwunden. Allem Anschein nach habt Ihr die Pest überlebt.;;No estás seguro de cómo ha sucedido, pero tu piel ha recuperado un color saludable y los abscesos desaparecieron. Parece que has sobrevivido a la Peste.;;;;;;;;;x
EVTDESC_RIP_11028;The feverish state you've been stuck in lately is replaced by a new energy. Meanwhile the rashes are gone. Measles, schmeasles.;L'état fébrile dans lequel vous étiez a laissé la place à une nouvelle énergie. Pendant ce temps, la rougeur irritante a disparu. C'en est fini de la rougeole.;Eure Fieberqualen sind verflogen und Euch durchströmt neue Energie. Auch die Ausschläge sind verschwunden. Den Masern habt Ihr es aber gezeigt.;;El estado febril en el que habías caído últimamente ha sido reemplazado por una nueva energía Mientras tanto, el sarpullido ha desaparecido. Sarampión, dimisión.;;;;;;;;;x
EVTDESC_RIP_11029;The many blisters on your body have faded, almost all of them gone now. So much for Smallpox.;Les nombreuses cloques sur votre corps se sont progressivement estompées et ont presque toutes disparu à présent. C'en est fini de la petite vérole.;Die zahllosen Bläschen an Eurem Körper sind zurückgegangen und nahezu vollständig verschwunden. Die Blattern sind Geschichte.;;Las ampollas de tu cuerpo se han esfumado, la mayoría de ellas se han ido. La Viruela no era para tanto.;;;;;;;;;x
EVTDESC_RIP_11030;The many blisters on your... body have faded, almost all of them gone now. So much for Syphilis.;Les nombreuses cloques sur votre corps se sont estompées, presque toutes ont disparu à présent. C'en est fini de la syphilis.;Die zahllosen Bläschen an Eurem ... Körper sind zurückgegangen und nahezu vollständig verschwunden. Die Syphilis ist Geschichte.;;Las ampollas de tu… cuerpo se han esfumado, la mayoría de ellas se han ido. La Sífilis no era para tanto.;;;;;;;;;x
EVTDESC_RIP_11035;Your Court Physician [From.GetBestName] has come to see you and offers treatment for your illness. [From.GetSheHeCap] explains that there are several different types of treatment [From.GetSheHe] can offer.;Votre physicien de la Cour, [From.Get_only_le_Title][From.GetBestName], vient vous voir et vous propose un traitement pour votre maladie. [From.GetIlElleCap] explique qu'il existe plusieurs types de traitements.;Euer Hofarzt [From.GetBestName] ist zur Visite gekommen und bietet Euch eine Behandlung gegen Eure Krankheit an. [From.GetSheHeCap] erklärt, dass [From.GetSheHe] Euch unterschiedliche Behandlungsmethoden anbieten kann.;;El Médico de tu Corte, [From.GetBestName] ha venido a verte y te ofrece tratar tu enfermedad. Te explica que puede ofrecerte diferentes tipos de tratamiento.;;;;;;;;;x
EVTDESC_RIP_11040;[FromFrom.GetBestName] looked me deep in the eyes before he forced me to drink the dirty water he had brought from his office. It was apparently filled with tiny creatures which should drive out the disease demons within me.;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] me regarda au fond des yeux avant de me forcer à boire l'eau sale apportée depuis son bureau. C'était apparemment rempli de petites bêtes qui devraient chasser hors de moi les démons de la maladie.;[FromFrom.GetBestName] blickte mir tief in die Augen und zwang mich dann dazu, das mitgebrachte schmutzige Wasser zu trinken. Angeblich befanden sich darin winzige Kreaturen, welche die Krankheitsdämonen aus meinem Körper vertreiben sollen.;;[From.GetBestName] me mira directamente a los ojos antes de obligarme a beber el agua sucia que trae de su consulta. Al parecer estaba llena de criaturitas que expulsarán de mi interior los demonios de la enfermedad.;;;;;;;;;x
EVTDESC_RIP_11040_1;The pot which [FromFrom.GetBestName] brought with [FromFrom.GetHerHim] to your chambers emitted a strange buzzing sound. Before you could stop [FromFrom.GetHerHim] [FromFrom.GetSheHe] threw it on the floor, where it exploded in a cloud of pottery shards and swarm of furious bees. As your physician fled the room, you remained their only target.;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a amené dans vos appartements un pot émettant un étrange son bourdonnant. Sans avoir eu le temps de l'en empêcher, [FromFrom.GetIlElle] le lança au sol, ce qui le brisa en plusieurs tessons et libéra un essaim d'abeilles furieuses. Puisque votre physicien s'est enfui hors de la pièce, vous devenez leur seule cible.;Aus dem Topf, den [FromFrom.GetBestName] in Eure Gemächer brachte, drang ein seltsames Brummen. Bevor Ihr [FromFrom.GetHerHim] davon abhalten konntet, schleuderte [FromFrom.GetSheHe] ihn zu Boden, sodass er in Tausend Stücke zersplitterte und einen verärgerten Bienenschwarm freisetzte. Da sich [FromFrom.GetBestName] sofort aus dem Staub machte, konzentrierten sich die Bienen ausschließlich auf Euch.;;El orinal que [FromFrom.GetBestName] trajo consigo a tus habitaciones emite un extraño zumbido. Antes de que puedas detener[FromFrom.GetRleRla], lo tira al suelo, donde explota en una nube de fragmentos de cerámica y un enjambre de abejas furiosas. Cuando tu médico abandona la habitación, solo quedas tú como único objetivo.;;;;;;;;;x
EVTDESC_RIP_11040_2;You could not believe your eyes when [FromFrom.GetTitledFirstName] pulled a severed hand from [FromFrom.GetHerHis] satchel. The black spots on its finger sent chills down your spine and you demanded to know where [FromFrom.GetSheHe] got it from. [FromFrom.GetSheHeCap] only hushed you and proceeded to rub the severed hand against your chest.;Vous ne pouviez pas en croire vos yeux lorsque [FromFrom.Get_le_TitledFirstName] a sorti une main coupée de sa sacoche. Les taches noires sur ses doigts vous ont fait froid dans le dos et vous lui avez demandé où [FromFrom.GetIlElle] l'avait obtenue. [FromFrom.GetIlElleCap] vous a seulement demandé de vous taire et a frotté la main coupée sur votre poitrine.;Ihr konntet Euren Augen kaum trauen, als [FromFrom.GetTitledFirstName] eine abgetrennte Hand aus einem Beutel zog. Die schwarzen Flecken auf den Fingern jagten Euch kalte Schauer über den Rücken und Ihr fordertet zu erfahren, wo [FromFrom.GetSheHe] sie aufgetrieben hatte. [FromFrom.GetSheHeCap] beschwichtigte Euch nur und rieb Euch die Brust mit der abgetrennten Hand.;;No que crees lo que ves cuando [FromFrom.GetTitledFirstName] saca una mano cortada de su bolsa. Las motas negras de sus dedos te provocan escalofríos y pides saber de dónde la sacó. [FromFrom.GetElEllaCap] te hace callar y pasa a frotar la mano cortada contra tu pecho.;;;;;;;;;x
EVTDESC_RIP_11040_3;[FromFrom.GetTitledFirstName] presented you with a potion of the most peculiar sorts. It had neither odor nor taste and possessed the appearance of liquid silver. The metallic potion was easy enough to ingest and you could not understand why this was the risky treatment option.;[FromFrom.Get_Le_TitledFirstName] a apporté une potion des plus étranges. Elle n'avait ni odeur ni saveur et avait l'apparence d'un liquide argenté. La potion métallique était assez facile à ingérer et vous n'arrivez toujours pas à comprendre pourquoi c'était le traitement dit risqué.;[FromFrom.GetTitledFirstName] präsentierte Euch einen höchst eigenartigen Trank. Er war sowohl geruch- als auch geschmacklos und erinnerte an flüssiges Silber. Der metallische Trank war leicht einzunehmen und Ihr versteht absolut nicht, warum diese Behandlungsoption die gefährliche sein sollte.;;[FromFrom.GetTitledFirstName] te presenta una poción bastante peculiar. No tiene ni olor ni sabor y se asemeja a la plata líquida. Fue bastante fácil tragar esta poción metálica y no logras entender por qué este era el tratamiento arriesgado.;;;;;;;;;x
EVTDESC_RIP_11040_5;[FromFrom.GetTitledFirstName] insisted that the only cure for your condition was a naked midnight run. During the next full moon [FromFrom.GetSheHe] forced you to undress and sprint through the wilderness. "Do not stop until your legs give out under you!" [FromFrom.GetSheHe] yelled after you. "Expel the evil through your sweat!";[FromFrom.Get_Le_TitledFirstName] affirme que le seul remède à votre condition était de pratiquer une course de minuit totalement nu. Lors de la pleine lune suivante, [FromFrom.GetIlElle] vous a forcé à vous dévêtir et à courir dans un endroit désert. « Continuez jusqu'à ce que vos jambes vous lâchent ! » hurla-t-[FromFrom.GetIlElle]. « Évacuez le démon à travers votre sueur ! »;[FromFrom.GetTitledFirstName] beharrte darauf, dass die einzige Heilmethode für Euer Gebrechen ein nackter Lauf bei Mitternacht sei. Beim nächsten Vollmond zwang [FromFrom.GetSheHe] Euch dazu, Euch zu entkleiden und durch die Wildnis zu laufen. "Haltet erst an, wenn Eure Beine Euch den Dienst versagen!", rief [FromFrom.GetSheHe] Euch hinterher. "Schwitzt das Böse aus Eurem Körper!";;[FromFrom.GetTitledFirstName] insiste que la única cura para tu enfermedad es correr desnud[Root.GetOA] a medianoche. Durante la siguiente luna llena, te obliga a desnudarte y correr por el campo. «¡No paréis hasta que las piernas se venzan!», grita detrás de ti. «¡Expulsad el mal con el sudor!»;;;;;;;;;x
EVTDESC_RIP_11040_6;The powder was yellow and had a delicious scent. You were distraught to see [FromFrom.GetTitledFirstName] mix it with brimstone and sprinkle it over the still tepid gall-bladder of a beaver. The animal had been found rabid, frothing from the mouth, exhibiting clear signs of the illness. "We fight evil with evil, [Root.GetMasterMistress].";La poudre était jaune et avait une odeur délicieuse. Vous étiez désemparé[Root.Get_E] de voir [FromFrom.Get_le_TitledFirstName] la mélanger avec du soufre et la saupoudrer sur la vésicule encore tiède d'un castor. L'animal avait été trouvé enragé, l'écume à la bouche, présentant ainsi des signes évidents de la maladie. « Nous combattrons le mal par le mal, [Root.GetMasterMistress]. »;Das Pulver war gelb und duftete köstlich. Mit Bestürzung werdet Ihr Zeuge, wie [FromFrom.GetTitledFirstName] es mit Schwefel vermengt und es über die noch lauwarme Gallenblase eines Bibers streut. Das Tier war an der Tollwut verendet, am Maul des Kadavers befand sich noch Schaum, die Erkrankung somit unzweifelhaft. "Wir werden Böses mit Bösem bekämpfen, [Root.GetMasterMistress].";;El polvo era amarillo y tenía un aroma delicioso. Quedaste consternad[Root.GetOA]] al ver que [FromFrom.GetTitledFirstName] lo mezclaba con azufre y lo rociaba sobre la vesícula aún tibia de un castor. Se había descubierto que animal estaba rabioso, echando espuma por la boca, mostrando señales evidentes de la enfermedad. «Lucharemos el mal con el mal, [Root.GetMasterMistress]».;;;;;;;;;x
EVTDESC_RIP_11040_8;[FromFrom.GetTitledFirstName] approached you with a small knife. [FromFrom.GetSheHeCap] held your arm steady and made a precise incision, barely breaking your skin. [FromFrom.GetSheHeCap] then proceeded to press something against the wound. It looked like diseased tissue and you shuddered.;[FromFrom.Get_Le_TitledFirstName] s'approche de vous avec un petit couteau. [FromFrom.GetIlElleCap] tient votre bras pour le garder immobile et fait une incision précise, écorchant à peine votre peau. [FromFrom.GetIlElleCap] presse ensuite quelque chose contre la blessure. Cela ressemble à du tissu malade et vous en frissonnez.;[FromFrom.GetTitledFirstName] kommt mit einem kleinen Messer zu Euch. [FromFrom.GetSheHeCap] bringt Euren Arm in eine stabile Position und macht einen kleinen, kaum blutenden Schnitt. [FromFrom.GetSheHeCap] geht anschließend dazu über, etwas in die Wunde zu pressen. Offenbar handelt es sich dabei um infiziertes Gewebe und ein Schaudern überläuft Euch.;;[FromFrom.GetTitledFirstName] se te acerca con un cuchillito. [FromFrom.GetElEllaCap] sostuvo tu brazo con firmeza e hizo una incisión precisa, apenas rompiendo la piel. Entonces pasó a presionar algo contra la herida. Parecía tejido muerto y te estremeciste.;;;;;;;;;x
EVTDESC_RIP_11040_9;[FromFrom.GetTitledFirstName] handed you a plate with a gray powdery substance on it. Apparently it consisted of ground-up scabs from a person in a worse state than you. [FromFrom.GetTitledFirstName] showed no indication of joking as [FromFrom.GetSheHe] told you to lean in and inhale as much as you could though your nose.;[FromFrom.Get_Le_TitledFirstName] vous a tendu une assiette contenant une substance poudreuse grise. Apparemment, il s'agit de croûtes moulues d'une personne dans un état pire que vous. [FromFrom.Get_Le_TitledFirstName] ne semble pas plaisanter lorsqu'[FromFrom.GetIlElle] vous dit de vous pencher et d'en inhaler autant que possible.;[FromFrom.GetTitledFirstName] gibt Euch einen Teller, auf dem sich ein graues Pulver befindet. Offenbar handelt es sich dabei um den Grind einer Person, die sich in einem schlechteren Zustand als Ihr selbst befunden haben muss. [FromFrom.GetTitledFirstName] scheint es ernst zu sein, als Ihr den Befehl bekommt, Euch über den Teller zu beugen und so viel wie möglich des Stoffes durch die Nase zu inhalieren.;;[FromFrom.GetTitledFirstName] te entregó una bandeja con una especie de polvo de color gris. Al parecer estaba compuesto por las costras machacadas de alguien en peor estado que tú. [FromFrom.GetTitledFirstName] no parecía bromear cuando te dijo que te inclinases e inhalases por la nariz tanto cuanto pudieras.;;;;;;;;;x
EVTDESC_RIP_11040_10;[FromFrom.GetTitledFirstName] made you drink a draught of poppy before strapping you down on [FromFrom.GetHerHis] operating table. You almost dozed off while [FromFrom.GetSheHe] prepared [FromFrom.GetHerHis] instruments, but when [FromFrom.GetSheHe] raised a scalpel towards your eye, you felt wide awake. "I am sorry, my [Root.GetLordLady], but we must remove the root of the problem.";[FromFrom.Get_Le_TitledFirstName] vous a fait boire un breuvage de pavot avant de vous attacher sur sa table d'opération. Vous n'étiez pas loin de vous endormir pendant qu'[FromFrom.GetIlElle] préparait ses instruments, mais lorsqu'[FromFrom.GetIlElle] leva un scalpel vers votre oeil, l'endormissement prit soudainement fin. « Je le regrette, M[Root.GetOnA][Root.GetLordLady], mais nous devons retirer la source du problème. »;[FromFrom.GetTitledFirstName] verabreichte Euch einen Mohntrunk und schnallte Euch dann auf dem Operationstisch fest. Beinahe wärt Ihr eingeschlafen, während [FromFrom.GetSheHe] die Instrumente vorbereitete, doch als [FromFrom.GetSheHe] sich mit einem Skalpell Eurem Auge näherte, wart Ihr plötzlich hellwach. Es tut mir leid, aber wir müssen die Ursache des Leidens entfernen.;;[FromFrom.GetTitledFirstName] te hace beber un bebedizo de amapola antes de atarte a la mesa de operaciones. Casi quedas dormid[Root.GetOA] mientras prepara los instrumentos, pero cuando alza un bisturí ante tus ojos, te sientes totalmente despiert[Root.GetOA]. «Lo siento, mi [Root.GetLordLady], pero debemos retirar la raíz del problema».;;;;;;;;;x
