#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME6301;The Turnip Act;La loi du navet;Der Rübenerlass;;La Ley de Nabos;;;;;;;;;x
EVTDESC6020_FEVER;The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?;La fièvre est retombée, ce n'est peut-être que temporaire, mais je vois encore des ombres rôder dans les coins. Sont-elles réelles ?;Das Fieber hat nachgelassen, vielleicht nur vorübergehend, aber trotzdem kann ich immer noch die schemenhaften Gestalten in den Ecken lauern sehen. Existieren sie wirklich?;;La fiebre ha desaparecido - tal vez sólo temporalmente - pero todavía puedo ver las figuras sombrías acechando en los rincones. ¿Son reales?;;;;;;;;;x
EVTDESC6020_PARA;They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.;Ils m'observent tous, ils conspirent... Même mes amis les plus proches. Avec leurs yeux noirs, froids... Mauvais...;Sie alle beobachten mich, verschwören sich gegen mich... selbst meine engsten Freunde. Dunkle Augen, kalte Augen... böse Augen.;;Me observan, conspiran...  incluso mis amigos más cercanos. Ojos oscuros, ojos fríos... ojos malvados.;;;;;;;;;x
EVTDESC6020_PRISON;There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!;Des choses bougent dans les murs. Des choses... Oh, pas des rats, non ! Pas de la vermine... Ça gratte, ça observe, ça cherche à me faire perdre la raison !;Es ist etwas in der Wand. Etwas ... keine Ratten, oh nein! Kein Ungeziefer jeglicher Art ... aber etwas, das kratzt, beobachtet und versucht, mich in den Wahnsinn zu treiben!;;Hay cosas en las paredes. Cosas... ¡No ratas, ah no! ¡No bichos, para nada... pero rasgan, me miran, ¡intentan volverme loco!!;;;;;;;;;x
EVTDESC6020_ZEAL;The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.;La noire souillure de l'hérésie a corrompu tous ceux qui m'entourent. [Root.Religion.GetRandomEvilGodNameCap] est en train de remporter le combat pour la domination de nos âmes. Personne n'est pur... Personne sauf moi.;Der Pesthauch der Ketzerei hat alle um mich herum erfasst. [Root.Religion.GetRandomEvilGodNameCap] gewinnt den Kampf um die Seelen der Menschen. Niemand ist rein... außer mir.;;La mancha oscura de la herejía ha infectado a todo el mundo que me rodea.[Root.Religion.GetRandomEvilGodNameCap] está ganando la guerra por las almas de la humanidad. Nadie es puro... salvo yo.;;;;;;;;;x
EVTDESC6021;I was later told that my strange behavior and fear of the moon was caused by the voices in my head. The [Root.Religion.GetPriestTitle] managed to clear my head of voices and now I have total silence.;Par la suite, on m'a dit que mon comportement étrange et ma peur de la lune étaient dus aux voix que j'entendais. Le [Root.Religion.GetPriestTitle] a réussi à faire disparaître ces voix et je vis maintenant dans le silence total.;Später sagte man mir, dass die Stimmen in meinem Kopf mein seltsames Verhalten und meine Furcht vor dem Mond bewirkt hatten. Der/Die [Root.Religion.GetPriestTitle] räumte die Stimmen aus meinem Kopf und nun herrscht dort komplette Stille.;;Más tarde me dijeron que mi extraño comportamiento y temor a la luna se debían a las voces en mi mente. El [Root.Religion.GetPriestTitle] logró eliminar las voces de mi mente y ahora está en silencio.;;;;;;;;;x
EVTDESC6030;I am speaking in tongues, screaming obscenities at random times, most often when the [Root.Religion.GetPriestTitle] preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;Je souffre de crises de démence. Tout à coup, je me mets à hurler des obscénités, généralement lorsque le [Root.Religion.GetPriestTitle] est en train de prêcher. Et parfois, je m'allonge par terre en me tordant de douleur. Je me souviens rarement de ces crises et les gens me voient comme quelqu'un de possédé.;Meistens spreche ich in fremden Zungen und schreie willkürlich Obszönitäten, wenn der/die [Root.Religion.GetPriestTitle] predigt, und manchmal winde ich mich auf dem Boden in scheinbaren Schmerzen. Ich erinnere mich nur selten an diese Vorfälle und die Menschen denken, ich sei vom Bösen besessen.;;Hablo en lenguas desconocidas, grito obscenidades a veces, especialmente cuando el [Root.Religion.GetPriestTitle] predica, y caigo al suelo retorciéndome de dolor. Apenas recuerdo estas cosas y la gente cree que estoy poseso.;;;;;;;;;x
EVTDESC6030_MUS;I am speaking in tongues, screaming obscenities at random times, most often when the imam is talking and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;Je parle des langues dont j'ignorais même l'existence, il m'arrive de hurler des obscénités, souvent lorsque l'imam est en train de parler, et on me retrouve par terre, en train de me tordre de douleur. Je me souviens à peine de ces épisodes étranges et les gens pensent que je suis possédé.;Ich spreche in anderen Sprachen, schreie Obszönitäten zu willkürlichen Zeiten, besonders dann, wenn der Imam spricht, und manchmal wälze ich mich vor Schmerzen auf dem Boden. Ich erinnere mich kaum an diese Dinge und viele Leute glauben, dass ich besessen bin.;;Hablo en lenguas desconocidas, grito obscenidades de vez en cuando, y mucho más cuando el imam habla y estoy a veces estoy echado en el suelo retorciéndome de un dolor aparente. Pocas veces recuerdo estas ocasiones y las personas creen que estoy poseído.;;;;;;;;;x
EVTDESC6031;Vade retro satana!'\n\nThe priest's exorcism worked beautifully, I haven't spoken in tongues or screamed obscenities for several days!;'Vade retro satana !'\n\nL'exorcisme du prêtre a parfaitement fonctionné. Cela fait plusieurs jours que je n'ai plus de crise de démence et que je ne hurle plus d'obscénités !;Vade retro satana!'\n\nDer Exorzismus des Priesters wirkte Wunder, ich habe schon mehrere Tage lang weder in fremden Zungen gesprochen noch Obszönes geschrien!;;¡Vade retro satanás!'\n\n¡El exorcismo del cura funcionó bien, llevo días sin hablar en lenguas desconocidas ni gritar obscenidades!;;;;;;;;;x
EVTDESC6031_ALL;As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!;Alors que [Root.Religion.GetPriestTitle] me retirait lentement de la fontaine bénie, l'eau s'est mise à bouillir violemment, tandis que la peinture coulait sur les runes arcaniques dessinées sur mon corps nu. Hystérique, je me suis rendu compte que ces voix folles que j'avais en tête s'étaient enfin tues !;Als der/die [Root.Religion.GetPriestTitle] mich langsam aus der heiligen Quelle zog, begann das Wasser zu kochen und zu schäumen. Die arkanen Runen, die auf meinen nackten Körper geschmiert worden waren, verliefen. Voller Verwunderung stellte ich fest, dass die wirren Stimmen in meinem Kopf endlich verstummt waren!;;Cuando el [Root.Religion.GetPriestTitle] me sacó lentamente de la fuente sagrada, el agua comenzó a hervir y espumar, la pintura de las runas arcanas corrió por mi cuerpo desnudo. ¡Maravillado, me di cuenta de que el barullo de voces de mi cabeza había callado definitivamente!;;;;;;;;;x
EVTDESC6031_MUS;By reciting The Throne Verse from the Qur'an and invoking Allah's help the imam managed to repair the damage in me caused by sihr or witchcraft. To be on the safe side, we also recited together the three last suras from the Qur'an: Surat al-Ikhlas (The Fidelity), Surat al-Falaq (The Dawn) and Surat al-Nas (Mankind).;En récitant le verset du Trône du Coran, et en invoquant l'aide d'Allah, l'imam a réussi à réparer les dommages causés par la magie noire dans mon esprit. Et pour écarter tout danger supplémentaire, nous avons récité ensemble les trois dernières sourates du Coran : la sourate al-Ikhlas (la Fidélité), la sourate al-Falaq (l'Aube naissante) et la sourate al-Nas (les Hommes).;Durch das Rezitieren der Thronverse des Korans und Allahs Hilfe, schaffte es der Imam, mich zu heilen. Um auf der sicheren Seite zu sein, rezitierten wir gemeinsam die letzten drei Suren des Korans: Sure Al-Ichlás (Die Aufrichtigkeit), Sure Al-Falaq (Das Frühlicht) und Sure An-Nás (Die Menschheit).;;Recitando el Verso del Trono del Corán e invocando a Alá para que lo ayude, el imam logra enmendar el daño causado en mí por sihr o brujería. Para estar sanos y salvos, también recitamos juntos las tres últimas suras del Corán: Surat al-Ikhlas (La Fidelidad), Surat al-Falaq (El Amanecer) y Surat al-Nas (Humanidad).;;;;;;;;;x
EVTDESC6040;My moodiness and tendency to lash out at people is getting worse. I sleep too little and can't seem to stop worrying.;Ma morosité et ma tendance à fustiger les gens empirent. Je ne dors pas assez et ne peux m'empêcher de m'inquiéter.;Meine Gemütsschwankungen und meine Wutanfälle werden schlimmer. Ich schlafe zu wenig und mache mir andauernd Sorgen.;;Mi mal humor y mi tendencia a atacar a la gente empeora. Duermo poco y no dejo de preocuparme.;;;;;;;;;x
EVTDESC6041;The world will not weigh me down anymore, I have a new spring in my step, joy in my heart and a smile on my face.;Le monde ne m'accablera plus. Je ressens de nouveau de la légèreté et de la joie, et j'ai envie de sourire.;Die Welt wird mir nicht mehr auf dem Gemüt lasten, ich habe zu neuer Lebenslust gefunden und bin allzeit guter Dinge!;;El mundo ya no me abrumará más, mi caminar es más vigoroso, tengo alegría en el corazón y una sonrisa en la cara.;;;;;;;;;x
EVTDESC6050;I find myself lying in bed all day, the act of getting up almost as difficult as that of ruling. Food tastes bland, and my time spent with friends doesn't bring the joy it once did. I don't really understand why, but I hate my life.;Je reste au lit toute la journée, se lever est presque aussi difficile que régner. La nourriture a un goût fade et le temps passé avec des amis n’apporte plus la joie d'autrefois. Je ne comprends pas vraiment pourquoi, mais je déteste ma vie.;Ich liege den ganzen Tag im Bett und der Akt des Aufstehens fällt fast so schwer wie das des Regierens. Das Essen schmeckt langweilig und meine Zeit mit Freunden zu verbringen macht mich nicht glücklich, wie sie es einst getan haben. Ich verstehe wirklich nicht warum, aber ich hasse mein Leben.;;Me encuentro todo el día tumbad[Root.GetOA] en la cama. Levantarme me resulta tan difícil como gobernar. La comida me sabe sosa y el tiempo que paso con mis amigos no me da la misma alegría que antes. No entiendo por qué, pero odio mi vida.;;;;;;;;;x
EVTDESC6051;After a couple of days just spending some time doing things I love, hunting, reading and visiting friends, life does not seem as grey as it did before.;Après plusieurs jours à ne faire que ce que j'aime, c'est-à-dire chasser, lire et rendre visite à des amis, la vie ne me paraît plus aussi triste qu'avant.;Nachdem ich ein paar Tage lang nur Dinge getan hatte, die ich gerne tue - jagen, lesen, Freunde besuchen - erscheint das Leben nicht mehr so grau wie zuvor.;;Tras unos días haciendo lo que me gusta, cazar, leer y visitar amigos, la vida no parece tan gris como antes.;;;;;;;;;x
EVTDESC6060;I don't feel too well, something is wrong with me. I am burning up with fever, my nose is running and my head feels as if someone is banging something hard against it.;Je ne suis pas dans mon assiette. J'ai une fièvre de cheval, mon nez coule et ma tête cogne comme si on la frappait à coups de marteau.;Ich fühle mich nicht gut, irgendetwas stimmt nicht mit mir. Ich brenne vor Fieber, meine Nase läuft und mein Kopf fühlt sich an, als probiere jemand seinen neuen Schmiedehammer daran aus.;;No me siento muy bien, algo va mal en mí. Ardo de fiebre, mi nariz moquea y me estalla la cabeza.;;;;;;;;;x
EVTDESC6061;I woke this morning feeling much better. It seems that my illness has passed.;Je me sentais beaucoup mieux en me réveillant ce matin. Il semble que j'ai vaincu la maladie.;Heute Morgen, als ich erwachte, fühlte ich mich schon wesentlich besser. Wie mir scheint, ist die Krankheit ausgestanden.;;Desperté esta mañana sintiéndome mucho mejor. Parece que mi enfermedad ha pasado.;;;;;;;;x
EVTDESC6062;Nana says I am not sick anymore.;Mémé a dit que je n'étais plus malade.;Nana sagt, ich sei nicht mehr krank.;;Nana dice que la enfermedad ha remitido.;;;;;;;;;x
EVTDESC6070;This cough is killing me! It started as chest pain and shortness of breath, then I started coughing up phlegm and now blood!;Cette toux me tue ! Ça a commencé par une douleur à la poitrine et des difficultés à respirer, puis je me suis mis[Root.Get_E] à tousser gras, et maintenant je crache du sang !;Dieser Husten bringt mich um! Er fing als Brustschmerzen und Kurzatmigkeit an, dann begann ich, Schleim auszuhusten, und jetzt Blut!;;¡Esta tos me esta matando! ¡Me empezó a doler el pecho y a faltarme el aliento, luego empecé a toser flemas y ahora sangre!;;;;;;;;;x
EVTDESC6071;The cough disappeared, thank [Root.Religion.GetRandomGodName]! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.;La toux a disparu grâce à [Root.Religion.GetRandomGodName] ! Je me sens toujours un peu faible mais les quintes de toux, les douleurs thoraciques et le souffle court ne sont plus qu'un lointain souvenir.;Der Husten ist verschwunden, dankt [Root.Religion.GetRandomGodName]! Ich fühle mich noch ein wenig schwach, aber der Husten, die Brustschmerzen und die Kurzatmigkeit sind verschwunden.;;¡La tos ha desaparecido, gracias a [Root.Religion.GetRandomGodName]! Aún me siento un poco débil pero la tos, el dolor de pecho y la falta de aire se han ido.;;;;;;;;;x
EVTDESC6080;When the hot cautery touched the open wound, I couldn't hold the scream back. I cursed the doctor who only laughed, told me to take it easy and not pick on the wound.;Lorsque le cautère brûlant a touché la plaie ouverte, je n'ai pu réprimer un cri. J'ai injurié le médecin qui s'est contenté de rire en me disant de me calmer et de ne pas toucher la blessure.;Als der heiße Kauter die offene Wunde berührte, konnte ich einen Schrei nicht unterdrücken. Ich verfluchte den Arzt, aber der lachte bloß und beschied mir, es nicht so schwer zu nehmen und nicht an der Wunde herumzuknibbeln.;;Cuando el hierro candente tocó la herida no pude reprimir un grito. Maldije al médico, quien se rió diciéndome que me calmase y no me rascase la herida.;;;;;;;;;x
EVTDESC6081;The old wound has finally healed, leaving a pretty grotesque scar behind.;La vieille blessure est enfin guérie, laissant derrière elle une monstrueuse cicatrice.;Die alte Wunde ist endlich verheilt und hat eine ziemlich groteske Narbe hinterlassen.;;La herida se ha curado al fin dejando una cicatriz algo fea.;;;;;;;;;x
EVTDESC6082;An old wound is aggravating and painful;Une vieille blessure s'aggrave et devient douloureuse.;Eine alte Wunde hat sich verschlimmert und schmerzt!;;Una antigua herida es irritante y dolorosa;;;;;;;;;x
EVTDESC6100;My body may be sapless and infirm, but my mind is as healthy as ever!;Mon corps est peut-être desséché et infirme, mais mon esprit est plus vif que jamais !;Mein Körper mag saft- und kraftlos sein, aber mein Geist ist so gesund wie eh und je!;;¡Mi cuerpo puede estar débil y enfermo, pero mi mente está tan sana como siempre!;;;;;;;;;x
EVTDESC6110;Where am I? Who are these people? Oh, pretty colors...;Où suis-je ? Qui sont ces gens ? Oh, les jolies couleurs...;Wo bin ich? Wer sind diese Leute? Oh, schöne Farben ...;;¿Dónde estoy? ¿Quién es esa gente? Oh, qué bonitos colores...;;;;;;;;;x
EVTDESC6111;I haven't coughed for days and the pain is gone. Fate has granted me reprieve.;Cela fait plusieurs jours que je ne tousse plus et la douleur a disparu. Le sort m'a accordé un sursis.;Ich habe schon seit Tagen nicht mehr gehustet, und die Schmerzen sind weg. Das Schicksal hat mir einen Aufschub gewährt.;;Llevo días sin toser y ya no siento dolor. El destino me ha dado un respiro.;;;;;;;;;x
EVTDESC6112;I feel weak as a babe, but the cursed fever has finally broken!;Je me sens aussi faible qu'un nouveau-né, mais cette maudite fièvre est enfin tombée !;Ich fühle mich so schwach wie ein Baby, aber das verfluchte Fieber ist endlich weg!;;¡Estoy débil cual bebé, pero la maldita fiebre ha bajado por fin!;;;;;;;;;x
EVTDESC6113;The spots are receding and the fever has broken. Am I really cured?;Les boutons commencent à disparaître et la fièvre est tombée. Suis-je vraiment guéri[Root.Get_E] ?;Die Flecken gehen zurück, und das Fieber ist abgeklungen. Bin ich wirklich geheilt?;;Las manchas se han reducido y la fiebre ha bajado. ¿De verdad estoy curado?;;;;;;;;;x
EVTDESC6114;I am alive... I AM ALIVE!;Je suis en vie... EN VIE !;Ich bin am Leben ... ICH BIN AM LEBEN!;;Estoy vivo... ¡ESTOY VIVO!;;;;;;;;;x
EVTDESC6115;It takes more to kill me than measly measles!;Ce n'est pas une petite rougeole qui va me tuer !;Ich lass mich doch nicht von popligen Masern umbringen!;;¡Hace falta algo más que un sarampión para matarme!;;;;;;;;;x
EVTDESC6116;I think I made it through this cursed disease.;Je crois que j'ai vaincu cette fichue maladie.;Ich glaube, ich habe diese verfluchte Krankheit überstanden.;;Creo que he superado esta maldita enfermedad.;;;;;;;;;x
EVTDESC6200;This voice calling to me, telling me I was a bad person, telling me how evil I was. I realized that this was no ordinary voice, this was Jesus Christ, our Lord and saviour himself. I knew that I would have to live a better life.;Cette voix qui m'appelait, qui me disait que j'étais quelqu'un de mauvais, l'incarnation du mal... J'ai réalisé que ce n'était pas n'importe quelle voix, mais celle de Jésus Christ, notre Seigneur et Sauveur. J'ai alors compris que je devais changer de vie.;Diese Stimme spricht mich an. Sie sagt mir, ich sei eine schlechte Person, dass ich böse wäre. Mir wurde gewahr, dass dies keine gewöhnliche Stimme war, sondern die von Jesus Christus - unserem Herrn und Heiland! Ich wusste, dass ich von nun an ein besseres Leben würde leben müssen.;;Esa voz llamándome, diciéndome que era mala persona, diciéndome lo malvado que era. Me di cuenta de que no era una voz normal, era el mismísimo Jesucristo, nuestro Señor y Redentor. Supe que debía vivir una vida mejor.;;;;;;;;;x
EVTDESC6201;Jesus Christ our Lord has commanded me to give more to the poor. I cannot ignore his calling.;Jésus Christ notre Seigneur m'a commandé de donner plus aux pauvres. Je ne peux pas ignorer cet appel.;Unser Herr, Jesus Christus, hat mir befohlen, den Armen mehr zu geben. Ich kann seinen Aufruf nicht ignorieren.;;Jesucristo nuestro Señor me ha ordenado que dé más a los pobres. No puedo ignorar su llamada.;;;;;;;;;x
EVTDESC6202;My sin is too great so I must show repentance. I care not what others think Heaven is only for the truly repentant. I will don the cilice to show the depth of my repentance.;Mon péché est trop grave, je dois me repentir. Je me moque que certains pensent que le paradis est réservé aux vrais repentants. Je revêtirai le cilice pour prouver la sincérité de ma repentance.;Da meine Sünde zu schwer wiegt, muss ich Buße tun. Mir ist egal, was andere denken: Der Himmel ist nur für wahrlich reuige Sünder da. Ich werde den Bußgürtel anlegen, um die Tiefe meiner Reue zu zeigen.;;Mi pecado es muy grave, debo mostrar arrepentimiento. No me importa lo que piensen, el cielo es solo para los que se arrepienten. Me pondré el cilicio y mostraré lo arrepentido que estoy.;;;;;;;;;x
EVTDESC6203;I saw a hairy star in the sky, I swear it to be true. 'Twas the color of blood I tell thee. It was if the Lord God himself was bleeding.;J'ai vu une étoile qui m'a donné froid dans le dos. Elle avait la couleur du sang, je vous jure que c'est vrai. On aurait dit que le Seigneur en personne saignait.;Und ich sah einen haarigen Stern am Himmel, ich schwör's dir nackend in die Hand! Und blutrot war er! Als ob Gott selbst bluten würde!;;Vi una estrella de terrible aspecto en el cielo, lo juro. Te digo que era de color sangre. Como si el mismo Dios estuviese sangrando.;;;;;;;;;x
EVTDESC6204;For too long I have pandered to my lustful yearning, Jesus tells me it is a mortal sin, I must stop it now. ;J'ai trop longtemps cédé à la luxure. Jésus m'enseigne qu'il s'agit d'un péché mortel, je dois tout arrêter.;Allzu lang habe ich meinen lüsternen Verlangen willig nachgegeben. Jesus sagt mir, es sei eine Todsünde, daher muss ich nun damit aufhören.;;He consentido mi lujuria demasiado tiempo, Jesús me dice que es un pecado mortal, debo parar ya. ;;;;;;;;;x
EVTDESC6205;The life of virtuous is not easy, but Jesus commands me to resist the carnal urges.;Rester vertueux n'est pas chose facile, mais Jésus me commande de résister aux désirs charnels.;Ein tugendsames Leben ist nicht leicht, aber Jesus befiehlt mir, mich meinem fleischlichen Drängen zu widersetzen.;;La vida virtuosa no es fácil, pero Jesús me ordena resistir los deseos carnales.;;;;;;;;;x
EVTDESC6206;I hear him admonish me, I should not be eating for the sole motive of sensual gratification. I must stop.;Je l'entends m'admonester. Je ne devrais pas manger pour le seul plaisir des sens. Je dois arrêter.;Ich höre, wie er mich mahnt, nicht ausschließlich zur Stillung meines sinnlichen Verlangens zu essen. Ich muss aufhören.;;Le oigo amonestándome, no debería comer solo por placer. Debo parar.;;;;;;;;;x
EVTDESC6207;The road to heaven is hard and demanding. Jesus tells me I must be self controlled and disciplined.;Le chemin qui mène au paradis est semé d'embûches. Jésus me commande de me contrôler et de me discipliner.;Der Pfad in den Himmel ist steil und steinig. Jesus rät mir zu Selbstkontrolle.;;El camino al cielo es duro y exigente Jesús me dice que debo controlarme y ser disciplinado.;;;;;;;;;x
EVTDESC6208;I try to justify it to him, but I know I lie not just to him, but to myself. I condemned things eternal for the sake of temporal things.;Je m'efforce de me justifier auprès de lui, mais je sais que je lui mens, tout comme je me mens à moi-même. J'ai renoncé à l'éternel au profit du temporel.;Ich versuchte, es vor ihm zu rechtfertigen, aber ich weiß, dass ich nicht nur ihn, sondern auch mich selbst damit anlüge. Ich hatte das ewige Leben zugunsten vergänglicher Dinge hintangestellt.;;Trato de justificarme ante él, pero sé que no solo le miento a él sino también a mí mismo. He preferido lo temporal a lo eterno.;;;;;;;;;x
EVTDESC6209;I feel the love of God infuse my soul. Jesus tells me it is only way to truly glorify God.;Je sens l'amour de Dieu pénétrer mon âme. Jésus m'enseigne qu'il s'agit du seul moyen de rendre gloire à Dieu.;Ich fühle, wie Gottes Liebe meine Seele durchtränkt. Jesus sagt mir, es ist der einzige Weg, Gott gebührend zu preisen.;;Siento que el amor de Dios llena mi alma. Jesús me dice que este es el único modo de glorificar a Dios.;;;;;;;;;x
EVTDESC6210;There was a Lion without, I though I would be slain in the Streets, but then the Lion said unto me let go your slothful ways and I realized who the Lion was.;Il y avait un lion dehors, je pensais être tué[Root.Get_E] dans les rues. Mais le lion m'a dit de renoncer à ma paresse et j'ai compris qui il était.;Ein Löwe strich durch die Straßen. Ich dachte schon, er würde mich verschlingen, doch dann sagte der Löwe, ich solle meine Faulheit aufgeben. Da begriff ich, wer der Löwe wirklich war.;;Había fuera un león al que pensé que matarían en las calles, pero me dijo que renunciase a mi pereza y me di cuenta de quién era.;;;;;;;;;x
EVTDESC6211;I hear him whispering to me, that it is for me to glory God, not to leave it unto others. I shall do thus and be more diligent in my tasks.;Je l'entends murmurer à mon oreille que je dois rendre gloire à Dieu et non me reposer sur les autres. Je vais donc faire preuve de davantage de diligence.;Ich höre, wie er mir ins Ohr flüstert, dass auch ich selbst Gott rühmen soll, anstatt es anderen zu überlassen. Dies werde ich tun und meine Aufgaben sorgfältiger ausführen.;;Me susurró que era yo y no los demás quien debía glorificar a Dios. Le obedeceré y seré más diligente.;;;;;;;;;x
EVTDESC6212;My neighbor has quite probably the finest ass around, but then Jesus whispered to me that this was wrong.;J'ai repéré dans mon voisinage la plus belle chute de rein de la région, mais Jésus m'a murmuré que c'était mal.;Meine Nachbarin hat wahrscheinlich das beste Hinterteil weit und breit, aber dann flüsterte mir Jesus zu, dass dies falsch sei.;;Mi vecina tiene probablemente el mejor culo del lugar, pero Jesús me susurró que eso estaba mal.;;;;;;;;;x
EVTDESC6213;For too long I have felt incomplete, that my spirit was somehow lacking. Then the voice reminded me that the true fruit of the spirit was kindness. ;J'ai depuis longtemps l'impression qu'il manque quelque chose à mon esprit. Mais la voix m'a rappelé que le vrai fruit de l'esprit c'est la gentillesse.;Viel zu lange hatte ich mich unvollständig gefühlt, als ob meinem Geist irgendetwas fehlen würde. Dann erinnerte mich die Stimme daran, dass die wahre Frucht des Geistes die Güte ist.;;Llevo demasiado tiempo sintiéndome incompleto, que a mi espíritu le faltaba algo. Entonces la voz me recordó que el verdadero fruto del espíritu era la bondad. ;;;;;;;;;x
EVTDESC6214;For too long I have directed my anger towards those who dimply do not deserve it. Jesus whispered to me and reminded me that I should direct it those who had sinned.;J'ai trop longtemps dirigé ma colère contre ceux qui ne le méritaient pas. Jésus m'a murmuré et rappelé que je devais la diriger contre les pécheurs.;Viel zu lange habe ich jene meinen Zorn spüren lassen, die es nicht verdient hatten. Jesus flüsterte mir zu und erinnerte mich daran, dass ich ihn auf jene richten sollte, die gesündigt hatten.;;Llevo demasiado tiempo haciendo pagar mi ira a quienes no lo merecen. Jesús me susurró que debería dirigirla contra quienes han pecado.;;;;;;;;;x
EVTDESC6215;I have been so quick to judge, I realize it now. The voice reminds me that I should seek what is good for all.;Je me rends compte aujourd'hui que j'ai toujours jugé trop vite. La voix me rappelle que je dois veiller au bien de tous.;Ich habe Urteile zu schnell gefällt, das weiß ich jetzt. Die Stimme erinnert mich daran, dass ich danach streben sollte, was für alle gut ist.;;He sido rápido al juzgar, ahora me doy cuenta. La voz me recuerda que debería buscar lo que es bueno para todos.;;;;;;;;;x
