EVTOPTFUS_FROM_TRUTH_BOMB_TT;§Y[From.GetFirstName]§! might be pleased with you.;§Y[From.GetFirstName]§! pourrait être content[From.Get_E] de vous.;§Y[From.GetFirstName]§! könnte mit Euch zufrieden sein.;;§Y[From.GetFirstName]§! podría estar encantad[From.GetOA] contigo.;;;;;;;;;x
EVTDESCA_ZE_12004;[From.GetTitledFirstName] didn't take kindly to my chiding. [From.GetSheHeCap] caught me and gave me a good beating.;[From.Get_Le_TitledFirstName] n'a pas apprécié que je lui fasse la morale. [From.GetIlElleCap] m'a flanqué une sacrée raclée.;[From.GetTitledFirstName] hat mein Tadel nicht gepasst. [From.GetSheHeCap] hat mich erwischt und mir eine ordentliche Tracht Prügel verpasst.;;[From.GetTitledFirstName] no se tomó bien mi reprimenda. [From.GetSheHeCap] me cogió y me dio una buena paliza.;;;;;;;;;x
EVTDESCA_ZE_12006;[From.GetFirstName], the [GetRootFromInsult], went around and told everyone lies about me, as childish revenge for the deserved beating I gave [From.GetHerHim].;[From.GetFirstName], c[From.GetEEtte] [GetRootFromInsultNounAdj], a raconté des mensonges à tout le monde me concernant pour se venger de la correction reçue.;[From.GetFirstName] erzählte überall Lügen über mich. Das war die kindische Rache für die Tracht Prügel, die ich [From.Getihmihr] verpasst habe.;;[From.GetFirstName], ese [GetRootFromInsult], me rodeó y le contó a todo el mundo mentiras sobre mí, como venganza infantil por la merecida paliza que [From.GetHerHim] di. ;;;;;;;;;x
EVTDESCA_ZE_12010;I have seen [affectionate_events_char_1.GetFirstName] looking at my new wooden toy animals.;J'ai aperçu [affectionate_events_char_1.GetFirstName] qui regardait mes nouveaux jouets, les animaux en bois.;Ich habe gesehen, wie [affectionate_events_char_1.GetFirstName] meine neuen Holzspielsachen anschaut.;;He visto [affectionate_events_char_1.GetFirstName] mirando mis nuevos animales de juguete de madera.;;;;;;;;;x
EVTDESCA_ZE_12012;[From.GetFirstName] has much nicer toys than me, and [From.GetSheHe] asked me if I want to play with them.;[From.GetFirstName] a de bien plus beaux jouets que moi, et [From.GetIlElle] m'a demandé si je voulais jouer avec.;[From.GetFirstName] hat schönere Spielsachen als ich und [From.GetSheHe] fragt mich, ob ich Lust habe, mitzuspielen.;;[From.GetFirstName] tiene juguetes más bonitos que yo, y [From.GetSheHe] me preguntó si quiero jugar con ellos.;;;;;;;;;x
EVTDESCA_ZE_12014;[From.GetFirstName] and me played all day with my toys.;[From.GetFirstName] et moi avons joué toute la journée avec mes jouets.;[From.GetFirstName] und ich haben den ganzen Tag mit meinen Spielsachen gespielt.;;[From.GetFirstName] y yo jugamos todo el día con mis juguetes.;;;;;;;;;x
EVTDESCA_ZE_12016;[From.GetFirstName] let me play with [From.GetHerHis] toys all day and it was so much fun.;[From.GetFirstName] m'a laissé m'amuser avec ses jouets toute la journée, et c'était vraiment divertissant.;[From.GetFirstName] teilte den ganzen Tag alle Spielsachen mit mir und wir hatten jede Menge Spaß.;;[From.GetFirstName] me dejó jugar con [From.GetHerHis] juguetes todo el día y fue muy divertido.;;;;;;;;;x
EVTDESCA_ZE_12020;I saw [timid_events_char_1.GetTitledFirstName] being chided publicly for stealing food from the personal stores of the [Root.Liege.GetTitle], but I know [timid_events_char_1.GetSheHe] was elsewhere at the time.;J'ai vu [timid_events_char_1.Get_le_TitledFirstName] se faire réprimander pour avoir volé de la nourriture dans les réserves personnelles [Root.Liege.Get_only_du_Title][Root.Liege.GetTitle], mais je sais qu'[timid_events_char_1.GetIlElle] était autre part à cette heure-là.;Ich konnte sehen, wie [timid_events_char_1.GetTitledFirstName] öffentlich getadelt wurde, weil [timid_events_char_1.GetSheHe] [Root.Liege.GetTitle] etwas gestohlen hat. Ich weiß allerdings, dass [timid_events_char_1.GetSheHe] zu diesem Zeitpunkt woanders gewesen ist.;;Vi a [timid_events_char_1.GetTitledFirstName] ser reprendió públicamente por robar la comida de las tiendas personales de [Root.Liege.GetTitle], pero sé que [timid_events_char_1.GetSheHe] estaba en otro lugar en el momento.;;;;;;;;;x
EVTDESCA_ZE_12022;I was wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. I also know that young [From.GetFirstName] can confirm I was elsewhere when it happened, but [From.GetSheHe] has refused to step forward and confirm my innocence.;J'ai été accusé à tort de voler de la nourriture raffinée dans les réserves personnelles [Root.Liege.Get_only_du_Title][Root.Liege.GetTitle]. Je sais également que [From.GetFirstName] peut confirmer que j'étais ailleurs lorsque cela s'est produit, mais [From.GetIlElle] a refusé de témoigner pour prouver mon innocence.;Ich wurde zu Unrecht beschuldigt, kulinarische Spezialitäten aus den persönlichen Vorräten von [Root.Liege.GetTitle] gestohlen zu haben. Ich weiß, dass [From.GetFirstName] bestätigen kann, dass ich zum fraglichen Zeitpunkt nicht dort war. Doch [From.GetSheHe] weigerte sich, Partei für mich zu ergreifen.;;Fui injustamente acusado de robar buena comida de las tiendas de [Root.Liege.GetTitle]. También sé que [From.GetElLa] [From.GetFirstName] joven puede confirmar que estaba en otro sitio cuando ocurrió, pero [From.GetSheHe] se ha negado a dar un paso adelante y confirmar mi inocencia.;;;;;;;;;x
EVTDESCA_ZE_12024;[From.GetTitledFirstName] is very angry with me for not speaking up in [From.GetHerHis] defence.;[From.Get_Le_TitledFirstName] est très en colère contre moi de ne pas avoir pris sa défense.;[From.GetTitledFirstName] ist wirklich verärgert, dass ich nichts gesagt habe, um [From.GetHerHim] zu verteidigen.;;[From.GetTitledFirstName] está muy enfadad[From.GetOA] conmigo por no hablar en [From.GetHerHis] defensa.;;;;;;;;;x
EVTDESCA_ZE_12026;Since [From.GetFirstName] refused to defend me, many people think I'm a thief and I have lost prestige at court.;Depuis que [From.GetFirstName] a refusé de prendre ma défense, de nombreuses personnes pensent que je suis cleptomane, et j'ai perdu de mon prestige à la cour.;Weil [From.GetFirstName] sich weigerte, mich zu verteidigen, denken nun viele Leute, ich sei ein Dieb. Mein Ansehen bei Hof hat gelitten.;;Puesto que [From.GetFirstName] se negó a defenderme, mucha gente piensa que soy un[Root.GetXA] ladr[Root.GetOnOna] y he perdido prestigio en la corte.;;;;;;;;;x
EVTDESCA_ZE_12030;[rowdy_events_char_1.GetFirstName] is always so annoying. I think [rowdy_events_char_1.GetSheHe] tries to win against me in games just to spite me!;[rowdy_events_char_1.GetFirstName] m'agace tellement. Je pense qu'[rowdy_events_char_1.GetIlElle] essaie de gagner contre moi dans des jeux uniquement pour me contrarier !;[rowdy_events_char_1.GetFirstName] ist wirklich eine Plage. Ich glaube, [rowdy_events_char_1.GetSheHe] möchte nur deshalb gewinnen, um mich zu ärgern!;;[rowdy_events_char_1.GetFirstName] está siempre molestando. ¡Creo que [rowdy_events_char_1.GetSheHe] me intenta ganar en los juegos solo  para fastidiarme!;;;;;;;;;x
EVTDESCA_ZE_12032;[From.GetFirstName] is angry with me because I am always winning against [From.GetHerHim] in games.;[From.GetFirstName] est en colère contre moi parce que je gagne sans arrêt contre [From.GetLuiElle] aux jeux.;[From.GetFirstName] ist sauer, weil ich immer gegen [From.GetHerHim] gewinne.;;[From.GetFirstName] está enfadad[From.GetOA] conmigo porque siempre [From.GetHerHim] gano en los juegos.;;;;;;;;;x
EVTDESCA_ZE_12034;[From.GetFirstName] got angry and told me to get lost!;[From.GetFirstName] s'est mis en colère et m'a dit d'aller me faire voir !;[From.GetFirstName] wurde sauer und hat mir gesagt, ich solle mich verkrümeln!;;¡[From.GetFirstName] se enfadó y me dijo que me pierda!;;;;;;;;;x
EVTDESCA_ZE_12036;[From.GetFirstName] went crazy and started a fist fight with me!;[From.GetFirstName] a perdu la tête et a commencé à se battre avec moi !;[From.GetFirstName] drehte vollkommen durch und fing einen Faustkampf mit mir an!;;¡[From.GetFirstName] se volvió loco y comenzó a pelearse conmigo!;;;;;;;;;x
EVTDESCA_ZE_12040;[willful_events_char_1.GetFirstName] is frowning at me. 'Waste of time. It will never fit, you've grown out of it.' [willful_events_char_1.GetSheHe] says. But it's my favorite hat!;[willful_events_char_1.GetFirstName] me regarde avec un froncement. « Quelle perte de temps. Ça ne t'ira jamais, ce n'est clairement plus à ta taille », dit-[willful_events_char_1.GetIlElle]. Mais c'est mon chapeau préféré !;[willful_events_char_1.GetFirstName] runzelt die Stirn. "Zeitverschwendung. Du bist schon zu groß dafür", sagt [willful_events_char_1.GetSheHe]. Dabei ist das mein Lieblingshut!;;[willful_events_char_1.GetFirstName] me mira con el ceño fruncido. 'Qué pérdida de tiempo. Nunca cabrá, lo has dejado pequeño'. Dice [willful_events_char_1.GetSheHe]. ¡Pero es mi sombrero favorito!;;;;;;;;;x
EVTDESCA_ZE_12042;[From.GetFirstName] insists that I help [From.GetHerHim] get an old hat to fit. A very futile task as [From.GetSheHe]'s too big for it now as I've already told [From.GetHerHim] several times.;[From.GetFirstName] insiste pour que je l'aide à enfiler un vieux chapeau. Une tâche futile, sa tête étant désormais trop large pour ce couvre-chef – chose que je ne cesse de lui répéter.;[From.GetFirstName] besteht darauf, dass ich [From.Getihmihr] dabei helfe, einen alten Hut passend zu machen. Eine sinnlose Aufgabe, denn der Hut ist zu klein für [From.GetHerHim]. Das habe ich [From.Getihmihr] mehrmals gesagt.;;[From.GetFirstName] insiste que [From.GetHerHim] ayude a ponerse un viejo sombrero. Una tarea muy inútil ya que [From.GetSheHe] es demasiado grande para él, aunque ya se lo he dicho a [From.GetSheHe] varias veces.;;;;;;;;;x
EVTDESCA_ZE_12044;[From.GetFirstName] hit me over the head for not listening to [From.GetHerHim].;[From.GetFirstName] me donne un coup sur le crâne pour ne pas l'avoir écouté.;[From.GetFirstName] gab mir einen Schlag auf den Kopf, weil ich [From.Getihmihr] nicht zugehört habe.;;[From.GetFirstName] me golpeó en la cabeza por no escuchar[From.GetHerHim].;;;;;;;;;x
EVTDESCA_ZE_12046;[From.GetFirstName] thinks I'm mean for not helping. [From.GetSheHeCap] even stuck [From.GetHerHis] tongue out at me.;[From.GetFirstName] me pense injuste, car j'ai refusé de l'aider. [From.GetIlElleCap] m'a même tiré la langue.;[From.GetFirstName] glaubt, dass ich gemein bin, weil ich nicht helfe. [From.GetSheHeCap] hat mir sogar die Zunge herausgestreckt.;;[From.GetFirstName] piensa que soy mal[Root.GetOA] por no ayudar. [From.GetSheHeCap] incluso me sacó la lengua.;;;;;;;;;x
EVTDESCA_ZE_12050;[brooding_events_char_1.GetTitledName] promised to take me riding today, but when I came to see [brooding_events_char_1.GetHerHim] [brooding_events_char_1.GetSheHe] was drunk and half asleep.;[brooding_events_char_1.Get_Le_TitledName] avait promis de m'emmener faire un tour à cheval, mais au moment d'y aller, [brooding_events_char_1.GetIlElle] était ivre et en train de somnoler.;[brooding_events_char_1.GetTitledName] hat mir versprochen, dass wir heute reiten gehen, aber als ich bei [brooding_events_char_1.Getihmihr] ankam, war [brooding_events_char_1.GetSheHe] betrunken und nicht richtig wach.;;[brooding_events_char_1.GetTitledName] hoy prometió llevarme a caballo hoy, pero cuando vine a ver[brooding_events_char_1.GetHerHim],  [brooding_events_char_1.GetSheHe] estaba bebid[brooding_events_char_1.GetOA] y medi[brooding_events_char_1.GetOA] dormid[brooding_events_char_1.GetOA].;;;;;;;;;x
EVTDESCA_ZE_12052;Sure, I forgot about my promise to take [From.GetFirstName] riding. But now... Now [From.GetSheHe] poured water on me when I was resting. I only had a little bit to drink, and and and I am the [Root.PrimaryTitle.GetRulerTitle]!;Certes, j'avais oublié ma promesse d'emmener [From.GetFirstName] faire un tour à cheval. Mais tout de même... [From.GetIlElleCap] m'a renversé de l'eau dessus pendant que je dormais. Je n'avais pas tant bu, et... et il serait bon de respecter mon titre de [Root.PrimaryTitle.GetRulerTitle] !;Sicher, ich habe mein Versprechen, mit [From.GetFirstName] reiten zu gehen, gebrochen. Aber jetzt ... Jetzt hat [From.GetSheHe] mich mit Wasser übergossen, als ich mich ausruhte. Dabei habe ich doch nur ein kleines Schlückchen getrunken und immerhin bin ich [Root.PrimaryTitle.GetRulerTitle]!;;Claro, me olvidé de mi promesa de llevar a [From.GetFirstName] a caballo. Pero ahora... Ahora [From.GetSheHe] me tira agua encima cuando estaba descansando. Solo he bebido un poco, ¡y y y soy [Root.GetElLa] [Root.PrimaryTitle.GetRulerTitle]!;;;;;;;;;x
EVTDESCA_ZE_12054;[From.GetFirstName] tried to say something, but I couldn't hear what it was. Then [From.GetSheHeCap] got up and raised [From.GetHerHis] fist at me before stumbling and falling. Now [From.GetSheHe] is snoring.;[From.GetFirstName] a essayé de me dire quelque chose, mais je n'ai pas réussi à l'entendre. Se levant, [From.GetIlElleCap] m'a alors montré le poing avant de trébucher et de s'effondrer. Et maintenant, voilà qu'[From.GetIlElle] ronfle.;[From.GetFirstName] versuchte, etwas zu sagen, aber ich konnte es nicht deutlich hören. [From.GetSheHeCap] stand auf und drohte mir mit der Faust. Dann fiel [From.GetSheHe] zu Boden und begann zu schnarchen.;;[From.GetFirstName] quiso decir algo, pero no pude escuchar lo que era. [From.GetSheHeCap] se levantó fue con [From.GetHerHis] puño levantado antes de tropezar y caer. Ahora [From.GetSheHe] ronca.;;;;;;;;;x
EVTDESCA_ZE_12056;I have a bad headache, and my episode with [From.GetFirstName] is slowly coming back to me. There is no excuse for my behavior. What's worse is that I even got lectured by a child.;J'ai un sévère mal de crâne, mais ce qui s'est passé avec [From.GetFirstName] me revient peu à peu. Mon comportement était inexcusable, et le pire est sans doute que je me sois fait sermonner par un enfant.;Ich habe schlimme Kopfschmerzen und mein Zwischenfall mit [From.GetFirstName] holt mich ein. Es gibt keine Entschuldigung für mein Verhalten. Das Schlimmste ist, dass ausgerechnet ein Kind mir eine Moralpredigt hält.;;Tengo un mal dolor de cabeza, y mi episodio con [From.GetFirstName] me está volviendo lentamente. No hay excusa para mi comportamiento. Lo que es peor es que hasta un niño me sermoneó.;;;;;;;;;x
EVTDESCA_ZE_12060;[indolent_events_char_1.GetFirstName] has come to get my help, today we are going to cut down some trees. Very hard work [indolent_events_char_1.GetSheHe] says.;[indolent_events_char_1.GetFirstName] est ici pour obtenir mon aide. Nous allons couper des arbres, un travail particulièrement difficile, m'a-t-[indolent_events_char_1.GetIlElle] dit.;[indolent_events_char_1.GetFirstName] möchte, dass ich helfe. Heute gehen wir Bäume fällen, hat [indolent_events_char_1.GetSheHe] gesagt.;;[indolent_events_char_1.GetFirstName] ha venido a pedirme ayuda, hoy vamos a cortar algunos árboles. [indolent_events_char_1.GetSheHe] dice que es trabajo muy duro.;;;;;;;;;x
EVTDESCA_ZE_12062;As soon as I came to pick up [From.GetFirstName] to help me out cutting down some trees [From.GetSheHe] starts complaining. Apparently [From.GetSheHe] has a nasty stomach ache.;[From.GetFirstName] devait m'aider à couper des arbres, mais à peine suis-je sur place que déjà [From.GetIlElle] s'empresse de se plaindre. Apparemment, [From.GetIlElle] a mal au ventre.;Kurz nachdem ich [From.GetFirstName] zum Holzfällen abholte, begann [From.GetSheHe] sich zu beschweren. Offenbar hat [From.GetSheHe] starke Magenschmerzen.;;Tan pronto como escogí a [From.GetFirstName] para que me ayude a cortar algunos árboles [From.GetSheHe] comienza a quejarse. Al parecer [From.GetSheHe] tiene un desagradable dolor de estómago.;;;;;;;;;x
EVTDESCA_ZE_12064;[From.GetFirstName] spanked me when I complained about my stomach ache. Then [From.GetSheHe] grabbed my arm and told me we were going outside.;J'ai reçu une fessée de [From.GetFirstName] pour avoir dit que j'avais mal à l'estomac. Puis [From.GetIlElle] a agrippé mon bras, m'assurant que nous irions dehors.;[From.GetFirstName] verpasste mir Prügel, als ich über Magenschmerzen klagte. Dann griff [From.GetSheHe] mich am Arm und sagte, wir gingen nach draußen.;;[From.GetFirstName] me azotó cuando me quejé de mi dolor de estómago. [From.GetSheHe] me agarró del brazo y me dijo que saldríamos fuera.;;;;;;;;;x
EVTDESCA_ZE_12066;[From.GetFirstName] apparently has pains in [From.GetHerHis] arm now after I grabbed it and 'cannot use it to cut trees'.;Depuis que j'ai saisi le bras de [From.GetFirstName] [From.GetIlElle] a mal et « ne peut plus l'utiliser pour couper des arbres ».;[From.GetFirstName] schmerzt nun der Arm und kann beim Fällen der Bäume nicht mithelfen.;;Al parecer [From.GetFirstName] se duele de [From.GetHerHis] brazo después de agarrarlo y 'no lo puede usar para cortar árboles'.;;;;;;;;;x
EVTDESCA_ZE_12070;It has been a long day outside and [playful_events_char_1.GetTitledName] says it is time to head back home. [playful_events_char_1.GetSheHeCap] is carrying some heavy bags, maybe this time I can beat [playful_events_char_1.GetHerHim].;La journée a été longue au dehors, et [playful_events_char_1.Get_le_TitledName] annonce qu'il est temps de rentrer. [playful_events_char_1.GetIlElleCap] porte des sacs pesants, c'est peut-être le bon moment pour obtenir une victoire.;Wir waren lange im Freien und nun sagt [playful_events_char_1.GetTitledName], es sei Zeit, nach Hause zu gehen. [playful_events_char_1.GetSheHeCap] trägt schwere Taschen. Vielleicht kann ich [playful_events_char_1.GetHerHim] diesmal schlagen.;;Ha sido un largo día fuera y [playful_events_char_1.GetTitledName] dice que es hora de volver a casa. [playful_events_char_1.GetSheHeCap] lleva unas bolsas pesadas, tal vez esta vez puedo vencer[playful_events_char_1.GetHerHim].;;;;;;;;;x
EVTDESCA_ZE_12072;After I told [From.GetFirstName] it was time to head on home, [From.GetSheHe] looked at me with a grin on [From.GetHerHis] face and told me to race [From.GetHerHim] home, leaving me to carry everything on my own.;Quand j'ai dit à [From.GetFirstName] qu'il était temps de rentrer, [From.GetIlElle] a immédiatement souri dans ma direction, me mettant au défi de rentrer en faisant la course. Et en me laissant le soin de tout porter, bien sûr.;Ich sagte zu [From.GetFirstName], dass es Zeit sei, nach Hause zu gehen. [From.GetSheHeCap] schaute mich mit einem Grinsen auf dem Gesicht an und schlug vor, ein Wettrennen zu machen. Dabei sollte ich meine Sachen ganz allein tragen.;;Después le dije a [From.GetFirstName] que era hora de ir a casa. [From.GetSheHeCap] me miró con una sonrisa en [From.GetHerHis] rostro y me dijo que corriese a contra [From.GetSheHe]. Y me deja a mí cargar con todo.;;;;;;;;;x
EVTDESCA_ZE_12074;[From.GetFirstName] chased and caught me. Maybe next time I can run fast enough.;[From.GetFirstName] a filé à ma poursuite, me rattrapant en un rien de temps. La prochaine fois, il me faudra être plus rapide.;[From.GetFirstName] jagte mich und fing mich ein. Vielleicht bin ich beim nächsten Mal schnell genug.;;[From.GetFirstName] me persiguió y atrapó. Tal vez la próxima vez pueda correr  lo bastante  rápido. ;;;;;;;;;x
EVTDESCA_ZE_12076;[From.GetFirstName] never seems to be grumpy, always playing without a care in the world.;[From.GetFirstName] n'a jamais l'air grognon, toujours à jouer dans l'insouciance la plus totale.;[From.GetFirstName] hat niemals schlechte Laune und kennt beim Spielen keinerlei Sorgen.;;[From.GetFirstName] nunca parece un gruñón, siempre jugando sin una sola preocupación.;;;;;;;;;x
