#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_lord_spiritual.txt

#########################
#
#	Lord spiritual events
#
#########################

# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;Conversion religieuse d'un comté;Grafschaftsreligion konvertiert;;Condado convertido;;;;;;;;;x
evt_lordspiritual_103_desc_a;My liege, I am pleased to report that your errant subject, [From.GetTitledName], has converted to the [From.Religion.GetName] faith. Praise [From.Religion.GetRandomGodName]!\n\nYour humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\n\nJ'ai le plaisir de vous informer que votre brebis égarée, [From.Get_le_TitledName], s'est convertie à la foi [From.Religion.GetName]. Louons [From.Get_le_HighGod] !\n\nVotre humble [Root.job_spiritual.GetJobTitle],\n[Root.job_spiritual.GetTitledName];Mein Lehnsherr,\nmit Freuden melde ich Euch, dass Euer vom Wege abgewichener Untertan [From.GetTitledName] zum [From.Religion.GetName]en Glauben übergetreten ist. [From.Religion.GetRandomGodName] sei gepriesen!\n\nEuer ergebener [Root.GetLordSpiritualName]\n[Root.job_spiritual.GetTitledName];;Mi señor, me complace informarte de que tu súbdito errante, [From.GetTitledName], se ha convertido a la fe [From.Religion.GetName]. ¡Alabado sea [From.Religion.GetRandomGodName]!\n\nTu humilde [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;;;;;;;;x

# Inform character's Liege about this
evt_lordspiritual_104_desc_a;My liege, after being convinced by the [From.GetLordSpiritualName] from another county, I have decided to convert to the [From.Religion.GetName] faith!\n\nYour humble servant,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nLe [From.GetLordSpiritualName] d'un autre comté a réussi à me convaincre et j'ai décidé de me convertir à la foi [From.Religion.GetName] !\n\nVotre humble serviteur,\n[From.GetTitledName];Mein Lehnsherr,\nder [From.GetLordSpiritualName] einer anderer Provinz überzeugte mich, zum [From.Religion.GetName]en Glauben überzutreten!\n\nEuer ergebener Diener\n[From.GetTitledName];;Mi señor, tras ser convencido por el [From.GetLordSpiritualName] de otra provincia, he decidido convertirme a la fe [From.Religion.GetName]!\n\nTu humilde servidor,\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_104_option_b;Who dares lead my subjects astray like this!;Qui ose dévoyer mes sujets de la sorte !;Wer wagt es, meine Untertanen so vom rechten Weg abzuleiten!;;¡Quién osa descarriar a mis súbditos de tal forma!;;;;;;;;;x


# The Lord Spiritual is attacked by heathens
evt_lordspiritual_201_title;Heathens Attack the [Root.Liege.GetLordSpiritualName];Les infidèles attaquent notre [Root.Liege.GetLordSpiritualName];Heiden greifen den [Root.Liege.GetLordSpiritualName] an;;Los infieles atacan al [Root.Liege.GetLordSpiritualName];;;;;;;;;x
evt_lordspiritual_201_desc_a;Heathens, aggravated by my preachings in [Root.Location.GetName], are breaking into my room, screaming ungodly curses!;Les païens, exaspérés par mes sermons à [Root.Location.GetName], ont fait irruption dans ma chambre et proféré toutes sortes de malédictions !;Erzürnt über meine Predigten in [Root.Location.GetName] brechen Heiden in meine Kammer ein, wobei sie gottlose Flüche schreien!;;¡Los paganos, molestos por mis sermones en [Root.Location.GetName], irrumpen en mi habitación gritando maldiciones impías!;;;;;;;;;x
evt_lordspiritual_201_option_a;Will I escape with my life?;Que va-t-il advenir de moi ?;Werde ich mit dem Leben davonkommen?;;¿Lograré salir de esta?;;;;;;;;;x
evt_lordspiritual_201_option_a_tooltip_1;[Root.GetTitledName] gets away;[Root.Get_Le_TitledName] s'enfuit;[Root.GetTitledName] kommt davon;;[Root.GetTitledName] huye.;;;;;;;;;x
evt_lordspiritual_201_option_a_tooltip_2;[Root.GetTitledName] gets wounded;[Root.Get_Le_TitledName] a une blessure;[Root.GetTitledName] wird verwundet;;[Root.GetTitledName] huye a pesar de las heridas.;;;;;;;;;x

# Lord Spiritual gets away
evt_lordspiritual_202_desc_a;I managed to flee the heathen savages by escaping through the backdoor.;J'ai réussi à échapper à ces sauvages de païens en empruntant la porte de derrière.;Ich schaffte es, den heidnischen Wilden durch die Hintertür zu entkommen.;;Logré escapar de aquellos paganos salvajes por la puerta trasera.;;;;;;;;;x
evt_lordspiritual_202_option_a;My prestige however did not go unscathed by the incident...;Mais, mon prestige a souffert de cet incident...;Mein Prestige allerdings litt durch diesen Vorfall ...;;Sin embargo, mi prestigio no salió bien parado del incidente...;;;;;;;;;x

# Lord Spiritual gets wounded
evt_lordspiritual_203_desc_a;I did manage to survive the heathens attacking me, but the incident has left me severely wounded.;J'ai réussi à survivre à l'attaque de ces païens, mais j'ai été gravement blessé[Root.Get_E] au cours de l'incident.;Ich schaffte es, den Angriff der Heiden zu überleben, wurde aber schwer verwundet.;;Logré sobrevivir al ataque de esos paganos, pero el incidente me ha provocado graves heridas.;;;;;;;;;x
evt_lordspiritual_203_option_a;I thank the Lord for saving me;Je remercie le Seigneur de m'avoir protégé[Root.Get_E].;Ich danke dem Herrn, dass er mich rettete;;Gracias a Dios por salvarme.;;;;;;;;;x
evt_lordspiritual_203_option_b;These savages must be converted or put to the sword!;Ces sauvages doivent être convertis ou il faudra en passer par les armes !;Diese Wilden müssen entweder konvertiert oder massakriert werden!;;¡Esos salvajes deben convertirse o morir bajo la espada!;;;;;;;;;x
evt_lordspiritual_203_option_c;I thank Allah for saving me;Je remercie Allah de m'avoir sauvé;Ich danke Allah, dass er mich gerettet hat;;Agradezco a Alá por salvarme;;;;;;;;;x
evt_lordspiritual_203_option_a_tooltip;I must send a letter to inform my liege;Je dois envoyer une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Ich muss unverzüglich einen Brief an meinen Lehnsherrn senden;;Debo enviar una carta para informar a mi señor.;;;;;;;;;x

# Inform the Liege about wounding
evt_lordspiritual_204_desc_a;Your [Root.GetMyLordSpiritualName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by heathens in §Y[wounded_location.GetName]§! while trying to spread the faith.;Votre [Root.GetMyLordSpiritualName], [From.Get_only_le_Title]§Y[From.GetTitledFirstNameNoRegnal]§!, a été attaqué[From.Get_E] par des infidèles à §Y[wounded_location.GetName]§! alors qu'[From.GetIlElle] essayait de répandre la foi.;[From.GetEuerEure] [Root.GetMyLordSpiritualName] §Y[From.GetTitledFirstNameNoRegnal]§! wurde bei dem Versuch, den Glauben zu verbreiten, in §Y[wounded_location.GetName]§! von Heiden angegriffen.;;Unos paganos atacaron a tu [Root.GetMyLordSpiritualName] §Y[From.GetTitledFirstNameNoRegnal]§! mientras intentaba difundir la fe en §Y[wounded_location.GetName]§!.;;;;;;;;;x
evt_lordspiritual_204_option_a;How dare they!;Comment osent-ils !;Wie können sie es wagen!;;¡Qué osadía!;;;;;;;;;x

# Inform the Liege about death
evt_lordspiritual_205_desc_a;[Root.GetTitledName], your [Root.GetLordSpiritualName] [From.GetTitledName] was killed by heathens when trying to spread the Holy Faith in [From.Location.GetName].;Votre [Root.GetLordSpiritualName], [From.Get_le_TitledName], a été tué[From.Get_E] par les païens en tentant de répandre la bonne parole à [From.Location.GetName].;[Root.GetTitledName], Euer [Root.GetLordSpiritualName] [From.GetTitledName] wurde von Heiden getötet, als er den Heiligen Glauben in [From.Location.GetName] verbreiten wollte.;;[Root.GetTitledName], tu [Root.GetLordSpiritualName] [From.GetTitledName] fue asesinado por paganos cuando intentaba difundir la fe en [From.Location.GetName].;;;;;;;;;x
evt_lordspiritual_205_option_a;Horrible!;C'est terrible !;Wie schrecklich!;;¡Qué horror!;;;;;;;;;x


# The Lord Spiritual suspects a subject character of heresy
evt_lordspiritual_301_title;Heretic Noble;Noble hérétique;Ketzerischer Edelmann;;Noble hereje;;;;;;;;;x
evt_lordspiritual_301_desc_a;I have found a heretic among the nobles in [Root.Location.GetName]!;J'ai découvert un hérétique parmi les nobles de [Root.Location.GetName]!;Ich fand einen Ketzer unter den Edelleuten in [Root.Location.GetName]!;;¡He descubierto a un hereje en la nobleza de [Root.Location.GetName]!;;;;;;;;;x
evt_lordspiritual_301_option_a;This heresy must be stopped!;Une telle hérésie doit cesser !;Diese Gotteslästerung muss ein Ende finden!;;¡Hay que ponerle fin a esta herejía!;;;;;;;;;x
evt_lordspiritual_301_option_a_tooltip;Send a letter to my liege informing [Root.Liege.GetHerHim] of the heretic!;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'informer de la présence de cet hérétique !;Schickt einen Brief an meinen Lehnsherrn und informiert [Root.Liege.GetHerHim] über die Ketzerei!;;¡Envía una carta a su señoría para informarle de la herejía!;;;;;;;;;x
# No longer used
EVTOPTB903;I better let this particular one off...;Je ferais mieux de laisser tomber pour cette fois...;Diese Person lasse ich besser ungeschoren ...;;Esta vez haré la vista gorda...;;;;;;;;;x

# Noble reacts to the accusations
evt_lordspiritual_302_desc_a;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], accuses me of heresy and have declared me a heretic!;[From.Get_Le_TitledName], [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], m'accuse d'hérésie !;Der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], klagte mich der Ketzerei an und erklärte mich zum Ketzer!;;¡El [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], me acusa de herejía y me ha declarado hereje!;;;;;;;;;x
evt_lordspiritual_302_option_a;I'm a God-fearing [Root.GetManWoman], I won't put up with this!;Je suis fidèle à Dieu et je ne le supporterai pas !;Ich bin [Root.Geteineine] gottesfürchtige[Root.GetrMale] [Root.GetManWoman]. Ich werde dem nicht untätig zusehen!;;¡Como [Root.GetManWoman] de fe, no tengo por qué aguantar esto!;;;;;;;;;x
evt_lordspiritual_302_option_a_tooltip;Send a letter to [From.Host.GetTitledName] explaining [From.Host.GetHerHis] [From.GetLordSpiritualName]'s mistake;J'envoie une lettre [From.Host.Get_au_TitledName] pour lui expliquer la méprise de son [From.GetLordSpiritualName].;Brief an [From.Host.GetTitledName] senden, der den Fehler [From.Host.GetHerHis]es [From.GetLordSpiritualName]s erklärt;;Envía una carta a [From.Host.GetTitledName] explicándole el error de [From.GetLordSpiritualName];;;;;;;;;x
evt_lordspiritual_302_option_b;I am a faithful Muslim, I won't put up with this!;Je suis un fidèle musulman, je ne supporterai pas ça !;Ich bin ein gläubiger Moslem, ich werde mich damit nicht abfinden!;;Soy un musulmán fiel y no voy a tolerar esto.;;;;;;;;;x
evt_lordspiritual_302_option_b_tooltip;An apologetic letter is sent to [This.GetTitledName];Une lettre d'excuse est envoyée [This.Get_au_TitledName].;Ein entschuldigender Brief wird an [This.GetTitledName] gesandt;;Se ha enviado una carta de disculpa a [This.GetTitledName].;;;;;;;;;x

# Liege: The noble complains
evt_lordspiritual_303_desc_a;My [Root.GetTitle], word has reached me that your [Root.GetMyLordSpiritualName] has accused me of heresy! I implore you, as a devout [Root.Religion.GetName] to another devout [Root.Religion.GetName] to believe me when I tell you I am not a heretic!\n\nYour humble [From.GetTitle],\n[From.GetTitledName];M[Root.GetOnA] [Root.GetLordLady], j'ai entendu dire que votre [Root.GetMyLordSpiritualName] m'accuse d'hérésie ! La foi [Root.Religion.GetName] à laquelle je me dévoue me fait adresser une supplique [Root.GetAuAla] fidèle que vous êtes et croyez bien que je ne suis pas un[From.Get_E] hérétique !\n\n Votre humble [From.GetTitle],\n[From.GetTitledName];Mein [Root.GetTitle], mich erreichte die Meldung, dass Euer [Root.GetMyLordSpiritualName] mich der Ketzerei beschuldigt! Ich flehe Euch an, von einem strenggläubig [Root.Religion.GetName]en Menschen zum anderen strenggläubig [Root.Religion.GetName]en Menschen, mir zu glauben, wenn ich Euch sage, dass ich kein Ketzer bin!\n\nEuer demütiger [From.GetTitle],\n[From.GetTitledName];;Mi querido [Root.GetTitle], me ha llegado el rumor de que tu [Root.GetMyLordSpiritualName] me ha acusado de herejía. Te imploro, como devoto/a [Root.Religion.GetName]/a a otro/a devoto/a [Root.Religion.GetName]/a que me creas cuando te digo que no soy hereje. \n\nTu humilde om.GetTitle],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_303_option_a;I am sure [From.GetTitledFirstName] is not a heretic;Il est certain que [From.Get_le_TitledFirstName] n'a pas sombré dans l'hérésie.;Ich bin sicher, [From.GetTitledFirstName] ist kein Ketzer;;Sé con seguridad que [From.GetTitledFirstName] no es culpable de herejía.;;;;;;;;;x
evt_lordspiritual_303_option_a_tooltip_1;An apologetic letter is sent to [This.GetTitledName];Une lettre d'excuse est envoyée [This.Get_au_TitledName].;Ein entschuldigender Brief wird an [This.GetTitledName] gesandt;;Se ha enviado una carta de disculpa a [This.GetTitledName].;;;;;;;;;x
evt_lordspiritual_303_option_a_tooltip_2;A chastising letter is sent to the [Root.GetLordSpiritualName];Une lettre de réprimande est envoyée au [Root.GetLordSpiritualName].;Ein Mahnbrief wird an den [Root.GetLordSpiritualName] gesandt;;Se envía una carta de reprobación al [Root.GetLordSpiritualName];;;;;;;;;x
evt_lordspiritual_303_option_b;Of course [From.GetSheHe] is a heretic!;Bien sûr qu'[From.GetIlElle] a sombré dans l'hérésie !;Natürlich ist [From.GetSheHe] ein Ketzer!;;¡Por supuesto que [From.GetSheHe] ha cometido herejía!;;;;;;;;;x
evt_lordspiritual_303_option_b_tooltip_1;[This.GetTitledName] gets branded heretic;[This.Get_Le_TitledName] passe pour avoir sombré dans l'hérésie.;[This.GetTitledName] wird als Ketzer gebrandmarkt;;Se considera a [This.GetTitledName] como hereje.;;;;;;;;;x
evt_lordspiritual_303_option_b_tooltip_2;A complimentary letter is sent to the [Root.GetLordSpiritualName];Une lettre de félicitations est envoyée au [Root.GetLordSpiritualName].;Ein Lobbrief wird an den [Root.GetLordSpiritualName] gesandt;;Se envía una carta de cortesía al [Root.GetLordSpiritualName];;;;;;;;;x

# Noble: Noble isn't heretic
evt_lordspiritual_304_desc_a;My [Root.GetTitle], I ask for your forgiveness as a pious [From.Religion.GetName]! My [Root.GetLordSpiritualName]'s precipitous conclusion will no longer cause you any more grievance as I personally will make sure your [Player.Religion.GetPietyName] will be known as a fact and not a question.\nYour humble [From.GetTitle],\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJe vous présente mes excuses en tant que pieu[From.GetXSe] [From.GetReligionMascFem] ! Les conclusions hâtives de mon [Root.GetLordSpiritualName] ne vous porteront plus préjudice et je veillerai personnellement à ce que votre [Player.Religion.GetPietyName] ne soit plus remise en question.\nVotre humble [From.GetTitle],\n[From.GetTitledName];Mein [Root.GetTitle], als frommer [From.Religion.GetName]er Gläubiger bitte ich um Eure Vergebung! Die überstürzte Schlussfolgerung meines [Root.GetLordSpiritualName]s wird Euch keinen weiteren Kummer machen, da ich persönlich dafür sorgen werde, dass Eure [Player.Religion.GetPietyName] für die Öffentlichkeit zur Tatsache wird, nicht zur Frage.\n\nEuer ergebener [From.GetTitle],\n[From.GetTitledName];;¡Mi [Root.GetTitle], solicito tu perdón como [From.Religion.GetName] piadoso! La conclusión precipitada de mi [Root.GetLordSpiritualName] ya no te causará más agravios, puesto que me aseguraré personalmente de que se conozca tu [Player.Religion.GetPietyName] y no se cuestione.\nTu humilde [From.GetTitle],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_304_option_a;Thank God;Dieu merci !;Gott sei Dank;;Gracias a Dios.;;;;;;;;;x
evt_lordspiritual_304_option_b;Allah be praised!;Gloire à Allah !;Allah sei gepriesen!;;¡Alabado sea Alá!;;;;;;;;;x

# Lord Spiritual: Noble isn't heretic
evt_lordspiritual_305_desc_a;My [Root.GetLordSpiritualName], after investigating the heretic further I can assure you that [FromFrom.GetTitledFirstName] is a devout [FromFrom.Religion.GetName]. If this mistake recur I will not be as understanding. Make sure the heretic really is a heretic before you falsely accuse anyone.\n\n[From.GetTitledName];Mon [Root.GetLordSpiritualName], après une enquête plus poussée concernant la personne suspectée d'hérésie, je suis en mesure de vous assurer que la dévotion [FromFrom.Get_du_TitledFirstName] à la foi [FromFrom.Religion.GetName] est réelle. Si une telle erreur devait se reproduire, je ne ferai pas preuve d'autant de clémence. Veillez à vérifier vos accusations avant de les proférer de vive voix.\n\n[From.GetTitledName];Mein [Root.GetMyLordSpiritualName], nachdem ich die Ketzerei weiter untersucht habe, kann ich Euch versichern, dass [FromFrom.GetTitledFirstName] strenggläubig [FromFrom.Religion.GetName] ist. Sollte dieser Fehler erneut auftreten, werde ich kein Verständnis dafür zeigen. Stellt sicher, dass der Ketzer tatsächlich ein Ketzer ist, bevor Ihr jemanden fälschlicherweise bezichtigt.\n\n[From.GetTitledName];;Mi querido [Root.GetLordSpiritualName], después de investigar al hereje cuidadosamente, puedo asegurarte que [FromFrom.GetTitledFirstName] es un/a devoto/a [FromFrom.Religion.GetName]/a. No seré tan comprensivo si este error vuelve a ocurrir. Asegúrate de que el hereje sea un hereje antes de levantar falasas acusaciones contra alguien.\n\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_305_option_a;As you wish...;Comme vous voudrez...;Wie Ihr wünscht...;;Como desee...;;;;;;;;;x

# Noble: Noble is heretic
evt_lordspiritual_306_desc_a;[Root.GetTitledName], the evidence against you is abundant and your heresy show no limits! You should embrace the [From.Religion.GetName] faith and ask for your sins to be forgiven.\n\nYour Pious [From.GetTitle],\n[From.GetTitledName];[Root.GetTitledName], les preuves vous accablent et votre hérésie est indéniable ! Vous devriez embrasser la foi [From.Religion.GetName] et vous repentir de vos péchés.\n\nVotre fidèle [From.GetTitle],\n[From.GetTitledName];[Root.GetTitledName], die Beweislast gegen Euch ist erdrückend, und Eure Ketzerei kennt keine Grenzen! Ihr solltet den Glauben des [From.Religion.GetName] annehmen und um Vergebung für Eure Sünden bitten.\n\nEuer frommer [From.GetTitle]\n[From.GetTitledName];;[Root.GetTitledName], hay bastantes pruebas que te incriminan. ¡Tu herejía no tiene límites! Deberías abrazarte al [From.Religion.GetName] y pedir perdón por tus pecados.\n\nTu devoto [From.GetTitle],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_306_option_a;What?!;Quoi ?!;Was?!;;¡¿Qué?!;;;;;;;;;x

# Lord Spiritual: Noble is heretic
evt_lordspiritual_307_desc_a;My [Root.GetLordSpiritualName], the evidence you presented against the noble is convincing and robust enough, there is no doubt in my mind that you have found a real heretic. A work well done!\n\nYour humble [From.GetTitle],\n[From.GetTitledName];À notre [Root.GetLordSpiritualName],\nLes preuves réunies contre cette personne sont accablantes et vous avez, de toute évidence, démasqué une âme tombée dans l'hérésie. Beau travail !\n\nVotre humble [From.GetTitle],\n[From.GetTitledName];Mein [Root.GetLordSpiritualName], Eure Beweise gegen den Adligen sind überzeugend und solide. Ich hege keinerlei Zweifel, dass Ihr einen echten Ketzer gefunden habt. Gute Arbeit!\n\nEuer ergebener [From.GetTitle]\n[From.GetTitledName];;Mi [Root.GetLordSpiritualName], la prueba que presentaste contra el noble es lo bastante sólida, no tengo ninguna duda de que has descubierto a un hereje. ¡Buen trabajo!\n\nTu humilde[From.GetTitle],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_307_option_a;Kind words...;De gentilles paroles...;Freundliche Worte ...;;Amables palabras...;;;;;;;;;x


# Increased revolt risk
evt_lordspiritual_401_desc_a;My efforts to root out heresy and convert the population of [Root.Location.GetName] have met with resistance, and the peasants are arming themselves. I fear we might have a revolt on our hands here soon.;Mes efforts visant à éradiquer l'hérésie et à convertir la population de [Root.Location.GetName] se sont heurtés à une certaine résistance et les paysans s'arment. Je crains que la révolte ne gronde.;Meine Anstrengungen, die Ketzerei auszurotten und die Bevölkerung von [Root.Location.GetName] zu konvertieren, sind auf Widerstand gestoßen und die Bauern bewaffnen sich nun. Ich fürchte, wir könnten hier in Bälde einer Revolte ins Auge sehen.;;Mis esfuerzos por eliminar la herejía y convertir a los habitantes de [Root.Location.GetName] encuentran resistencia, y los campesinos se están organizando. Me temo que pronto tendremos una rebelión entre manos.;;;;;;;;;x
evt_lordspiritual_401_option_a;My liege will not like this...;Cela ne va pas plaire à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige...;Meinem Lehnsherrn wird das nicht gefallen ...;;A mi señor no le va a gustar esto...;;;;;;;;;x

evt_lordspiritual_402_desc_a;News of unrest in [From.Location.GetName]! The [Root.GetLordSpiritualName] of [From.Liege.PrimaryTitle.GetName] has been trying to root out heresy and convert the population, but the peasants have been resisting and are now arming themselves.;[From.Location.GetName] est en proie à des troubles ! Le [Root.GetLordSpiritualName] [From.Liege.PrimaryTitle.Get_du_Realm] tente d'éradiquer l'hérésie et de convertir la population, mais les paysans résistent et prennent les armes.;Nachrichten über Unruhen in [From.Location.GetName]! Der [Root.GetLordSpiritualName] von [From.Liege.PrimaryTitle.GetName] hat versucht, dort die Ketzerei auszutreiben und die Bevölkerung zu konvertieren, aber die Bauern leisten Widerstand und bewaffnen sich nun.;;¡Noticias de disturbios en [From.Location.GetName]! El [Root.GetLordSpiritualName] de [From.Liege.PrimaryTitle.GetName] ha intentado erradicar la herejía y convertir a la población, pero los campesinos se resisten y han tomado las armas.;;;;;;;;;x
evt_lordspiritual_402_option_a;Most worrisome...;C'est très inquiétant...;Höchst beunruhigend ...;;Realmente preocupante...;;;;;;;;;x

evt_lordspiritual_403_desc_a;My liege, I write to you with bad news from [From.Location.GetName]. My efforts to root out heresy and convert the population have met with resistance, and the peasants are arming themselves. I fear we might have a revolt on our hands here soon.\n\nYour humble [Root.GetLordSpiritualName],\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJe vous écris de [From.Location.GetName] pour vous faire part d'une mauvaise nouvelle. Mes efforts visant à éradiquer l'hérésie et à convertir la population se sont heurtés à une certaine résistance et les paysans ont pris les armes. Je crains que la révolte ne gronde.\n\nVotre humble [Root.GetLordSpiritualName],\n[From.GetTitledName];Mein Lehnsherr, ich sende Euch schlechte Nachrichten aus [From.Location.GetName]. Meine Anstrengungen, die Ketzerei auszurotten und die Bevölkerung zu konvertieren, sind auf Widerstand gestoßen und die Bauern bewaffnen sich nun. Ich fürchte, wir könnten hier in Bälde einer Revolte ins Auge sehen.\n\nEuer ergebener [Root.GetLordSpiritualName],\n[From.GetTitledName];;Mi señor, te envío malas noticias de [From.Location.GetName]. Mis esfuerzos para erradicar la herejía y convertir a la población han encontrado resistencia y los campesinos han tomado las armas. Me temo que pronto tendremos una revuelta aquí.\n\nTu humilde [Root.GetLordSpiritualName],\n[From.GetTitledName];;;;;;;;;x
evt_lordspiritual_403_option_a;These troublesome peasants...;Ces paysans, toujours eux...;Diese lästigen Bauern ...;;Qué mal rato me dan estos campesinos...;;;;;;;;;x


# Start event chains continuing in religious_events.txt
