#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;The Anti-Papacy of §Y$ANTIPOPE$§! has ended.;L'Anti-papauté du §Y$ANTIPOPE$§! a pris fin.;Gegenpapsttum von §Y$ANTIPOPE$§! ist beendet.;;El antipapado de §Y$ANTIPOPE$§! ha terminado.;;;;;;;;;x
donate_money_to_knights_templar_desc;Donate money to the Knights Templar in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre du Temple en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Tempelrittern kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a los Caballeros Templarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_saint_anthony_desc;Donate money to the Order of Saint Anthony in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Saint Antoine en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann dem Orden des Heiligen Antonius Geld spenden im Tausch gegen Pietät und den lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a la Orden de San Antonio. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_teutonic_order_desc;Donate money to the Teutonic Order in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre Teutonique en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Deutschritter kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a la Orden Teutónica. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_immortals_desc;Donate money to the Immortals in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent aux Immortels en échange de piété. Cet acte augmentera également le respect de la Grande Prêtrise [Root.Religion.GetName] envers vous.;Ich kann den Unsterblichen Geld spenden im Tausch gegen Pietät und den lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Inmortales. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_zealots_desc;Donate money to the Zealots in exchange for [Root.Religion.GetPietyName] and lifelong respect from the [Root.Religion.GetName] Priesthood.;Je peux donner de l'argent aux Zélotes en échange de [Root.Religion.GetPietyName] et du respect permanent du clergé [Root.Religion.GetName].;Ich kann den Zeloten Geld spenden im Tausch gegen [Root.Religion.GetPietyName] und den lebenslangen Respekt durch die [Root.Religion.GetName]e Priesterschaft;;Puedo hacer una donación a los Zelotes. A cambio obtendré la [Root.Religion.GetPietyName] y el respeto de por vida del sacerdocio [Root.Religion.GetName].;;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Une élection se tient en $TITLE$.\n;In $TITLE$.\n wird gewählt.;;Elección en $TITLE$.\n;;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Hymns of Abraham;;Himnos de Abraham;;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'unités des ordres militaires;Military Orders Unit Pack;;Pack de Unidades Ordenes Militares;;;;;;;;;x
PREVENT_DECADENCE;This character will not contribute to decadence in his dynasty.;Ce personnage ne contribue pas à la décadence de sa dynastie.;Dieser Charakter will nicht zur Dekadenz seiner Dynastie beitragen.;;Este personaje no contribuirá a la decadencia se su dinastía.;;;;;;;;;x
REQUEST_ANSWER_MAYBE;§YThis Request might be Accepted§!;§YCette demande pourrait être acceptée§!;Dieser Anspruch wird vielleicht akzeptiert werden.;;Esta solicitud podría ser aceptada;;;;;;;;;x
REQUEST_ANSWER_NO;§RThis Request would be Denied§!;§RCette demande serait refusée§!;Dieser Anspruch wird abgelehnt werden.;;Esta solicitud será denegada;;;;;;;;;x
REQUEST_ANSWER_YES;§GThis Request would be Accepted§!;§GCette demande serait acceptée§!;Dieser Anspruch würde akzeptiert werden.;;Esta solicitud será aceptada;;;;;;;;;x
restore_pope_in_rome;Restore the Papacy in Rome;Restaurer la Papauté à Rome;Papsttum erneuern;;Restorar el papado;;;;;;;;;x
restore_pope_in_rome_desc;The Holy Father has lost control of his secular domain, but it is within my power to restore the Eternal City to him!;Le Saint-Père a perdu le contrôle de son domaine séculier, mais il est en notre pouvoir de le rétablir dans la Cité Éternelle ! ;Der Heilige Vater hat seine weltlichen Besitztümer verloren, aber es liegt in meiner Macht, ihm die Ewige Stadt wieder zurückzugeben!;;El Santo Padre ha perdido su dominio terrenal, pero yo tengo el poder de devolverle la Ciudad Eterna!;;;;;;;;;x
TITLE_CANNOT_USURP_BARONIES;§RNot possible to Usurp Barony rank Titles§!;§RVous ne pouvez pas usurper un titre du rang d'une baronnie§!;§RBaronien außerhalb Eures Reiches können nicht übernommen werden.§!;;§RNo es posible usurpar títulos de barón§!;;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM;§RNot possible to Usurp County rank Titles outside your Realm§!;§RVous ne pouvez pas usurper un titre comtal hors de votre pays§!;§RGrafschaften außerhalb Eures Reiches können nicht übernommen werden§!;;§RNo es posible usurpar títulos de conde fuera de vuestro reino§!;;;;;;;;;x
TITLE_CANNOT_USURP_OWN;§RCannot Usurp Titles in your own Realm without a Strong Claim!§!;§RVous ne pouvez pas usurper un titre dans votre pays sans revendication forte sur celui-ci§!;§RTitel im eigenen Reich können ohne starken Anspruch nicht übernommen werden!§!;;¡§RNo podéis usurpar títulos en vuestro propio reino sin un derecho de peso!§!;;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;Succession type is not Gavelkind;Le partage salique n'est pas la loi de succession en vigueur;Nachfolgerecht ist nicht Erbteilung;;Tipo de sucesión no es Partes Iguales;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;Can afford to lose §Y$PRESTIGE$§! Prestige;Dispose d'un prestige d'au moins §Y$PRESTIGE$§!;Kann es sich leisten, §Y$PRESTIGE$§! Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$§! prestigio;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;Title is not the Primary Title;N'est pas votre titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§RCannot set your Primary Title to a Patrician Settlement!§!;§RVous ne pouvez pas associer votre titre principal à un comptoir patricien§!;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!§!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!§!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;This is Already your Primary Title!;Ce titre est déjà votre titre principal ! ;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§RThe new Primary Title has to be the same Rank as the previous one!§!;§RLe nouveau titre principal doit être du même niveau que le précédent§!;§RDer neue Primärtitel muss vom gleichen Rang wie der vorherige sein!§!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!§!;;;;;;;;;x
TITLE_REQUEST_CLAIM;Claim;Revendiquer;Anspruch;;Solicitud;;;;;;;;;x
TITLE_REQUEST_CLAIM_TOOLTIP;Request a Claim on this Title;Demander au Pape une revendication sur ce titre;Bittet um Erteilung eines Anspruchs auf diesen Titel.;;Solicitud de derecho sobre este título;;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;Best Claimant;Prétendant le plus légitime;Bester Titelforderer;;Mejor pretendiente;;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'unités des Guerriers de la foi;Warriors of Faith Unit Pack;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
