#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_TITLE_LT_61006;By Any Other Name;Par un autre nom;Ein anderer Name;;Por cualquier otro nombre;;;;;;;;;x
EVTDESC_LT_10103_A;After a long council meeting, my head is filled with the latest expense reports. I let out a sigh, a small feeling of defeat building in me, but [upbeat_courtier.GetFirstName] interrupts my thoughts: "I don't know if it matters to you, my [Root.GetLordLady], but many are grateful for the way you are handling the surplus of men and women here in the [Root.GetCapitalHolding].";Après une longue réunion du Conseil, ma tête est remplie des derniers rapports de dépense. Je laisse échapper un soupir, ayant un léger sentiment de défaite en moi, mais [upbeat_courtier.GetFirstName] m'interrompt : « Je ne sais pas si cela importe pour vous, M[Root.GetOnA][Root.GetLordLady], mais beaucoup de personnes vous sont reconnaissantes de la façon avec laquelle vous gérez le surplus d’hommes et de femmes ici dans [Root.GetCapitalHolding] ».;Nach einer langen Ratssitzung ist mein Kopf mit den neuesten Spesenabrechnungen gefüllt. Ich seufze und ein kleines Gefühl der Niederlage macht sich in mir bemerkbar, aber [upbeat_courtier.GetFirstName] unterbricht meine Gedanken: "Ich weiß nicht, ob es Euch etwas ausmacht, mein[Root.GeteFemale] [Root.GetLordLady], aber viele sind dankbar, wie Ihr mit dem Überschuss an Männern und Frauen hier in der [Root.GetCapitalHolding] umgeht.";;Tras una larga reunión del consejo, tengo la cabeza llena de los últimos informes de gastos. Suspiro y empiezo a sentir una pequeña sensación de derrota, pero [upbeat_courtier.GetFirstName] interrumpe mis pensamientos: "No sé si os importará, mi [Root.GetLordLady], pero muchos os agradecemos el modo en que estáis manejando el excedente de gente aquí en el [Root.GetCapitalHolding]".;;;;;;;;;x
EVTDESC_LT_10103_B;At the end of supper, [upbeat_courtier.GetTitledFirstName] calls me over to [upbeat_courtier.GetHerHis] table, pointing at a tall glass of [Root.GetAlcohol]. "There are many of us who want to personally thank you for your hospitality, my [Root.GetLordLady]. I know space is hard to come by inside the [Root.GetCapitalHolding]." The [upbeat_courtier.GetManWoman] presses my hand and smiles in gratitude.;À la fin du souper, [upbeat_courtier.Get_le_TitledFirstName] m'appelle vers sa table, tendant un grand verre [Root.GetAlcohol]. « Nous sommes nombreux à vouloir vous remercier personnellement pour votre hospitalité, M[Root.GetOnA][Root.GetLordLady]. Je sais qu’il est difficile de trouver de la place dans [Root.GetCapitalHolding] ». [upbeat_courtier.GetIlElleCap] me serre la main et sourit avec gratitude.;Nach dem Abendessen ruft mich [upbeat_courtier.GetTitledFirstName] zu sich und zeigt auf ein hohes Glas [Root.GetAlcohol]. "Es gibt viele von uns, die sich persönlich bei Euch für Eure Gastfreundschaft bedanken möchten, mein[Root.GeteFemale] [Root.GetLordLady]. Ich weiß, dass es schwierig ist, innerhalb der [Root.GetCapitalHolding] Platz zu finden." [Root.GetDerDie] [upbeat_courtier.GetManWoman] drückt meine Hand und lächelt dankbar.;;Al final de la cena, [upbeat_courtier.GetFirstName] me llama a su mesa, señalando un gran vaso de [Root.GetAlcohol]. "Muchos de nosotros queremos agradeceros personalmente vuestra hospitalidad, mi [Root.GetLordLady]. Sé que cuesta encontrar espacio en el [Root.GetCapitalHolding]", dice, estrechándome la mano y sonriendo con gratitud.;;;;;;;;;x
EVTDESC_LT_10103_C;During supper, my [upbeat_courtier.GetRootRelation] [upbeat_courtier.GetTitledFirstName] stands up and clears [upbeat_courtier.GetHerHis] throat. "My [Root.GetLordLady], there are many of us who want to thank you for your hospitality, in these trying times. It is not all who would find lodgings for as many as you have managed to, [Root.GetMasterMistress].";Pendant le souper, m[upbeat_courtier.GetOnA] [upbeat_courtier.GetRootRelation] [upbeat_courtier.GetFirstName] se lève et s'éclaircit la gorge. « M[Root.GetOnA][Root.GetLordLady], nous sommes nombreux à vouloir vous remercier pour votre hospitalité, en ces temps difficiles. Ce n'est pas n'importe qui aurait pu trouver des appartements pour autant de monde ».;Während dem Abendessen steht mein[upbeat_courtier.GeteFemale] [upbeat_courtier.GetRootRelation] [upbeat_courtier.GetTitledFirstName] auf und räuspert sich. "Mein[Root.GeteFemale] [Root.GetLordLady], es gibt viele von uns, die Euch in diesen schwierigen Zeiten für Eure Gastfreundschaft danken möchten. Es gibt nicht viele, die für so viele Menschen Unterkünfte finden würden, wie Ihr es habt, [Root.GetMasterMistress]. ";;Durante la cena, mi [upbeat_courtier.GetRootRelation] [upbeat_courtier.GetTitledFirstName] se levanta y se aclarándose la garganta. "Mi [Root.GetLordLady], muchos de nosotros queremos agradeceros personalmente vuestra hospitalidad en estos momentos difíciles. No todo el mundo encontraría alojamiento para tantos como vos habéis logrado, [Root.GetMasterMistress]".;;;;;;;;;x

EVTOPTA_LT_61006;You deserve a good name!;Vous méritez un bon nom !;Ihr verdient einen guten Namen!;;¡Te mereces un buen nombre!;;;;;;;;;x
EVTOPTA_LT_61008;Yes. May you find luck elsewhere!;Oui. Puissiez-vous trouver bonne fortune ailleurs !;Ja. Möget ihr anderswo euer Glück finden!;;Sí. ¡Ojalá tengáis fortuna en otro lugar!;;;;;;;;;x
EVTOPTA_LT_10103;Aaw, but I actually like sleeping out in the stables sometimes!;Aah, mais j'aime bien dormir dans les écuries parfois !;Danke, manchmal schlafe ich aber gerne draußen im Stall!;;¡Oh, pero si en realidad me gusta dormir de vez en cuando en los establos!;;;;;;;;;x

EVTOPTB_LT_61006;Hm, what about...;Hm, et si...;Hm ... Wie wäre es mit ...;;¿Y qué te parece…?;;;;;;;;;x
EVTOPTB_LT_61008;No, I have changed my mind.;Non, j'ai changé d'avis.;Nein, ich habe meine Meinung geändert.;;No, he cambiado de idea.;;;;;;;;;x
EVTOPTB_LT_10103;Aaah, but there is strength in numbers, my [upbeat_courtier.GetRootRelation].;Aaah, mais le nombre fait la force, m[upbeat_courtier.GetOnA] [upbeat_courtier.GetRootRelation].;Danke, aber es liegt Stärke in der Anzahl, [upbeat_courtier.GetRootRelation].;;¡Ah, pero está la fuerza numérica, [upbeat_courtier.GetRootRelation]!;;;;;;;;;x

EVTOPTC_LT_61006;Oh, you'll get a nickname alright!;Oh, je vais vous trouver un surnom approprié !;Oh, ihr bekommt schon einen Spitznamen, keine Sorge!;;¡Ya conseguirás un apodo!;;;;;;;;;x
EVTOPTC_LT_10103;I simply enjoy everyone's company, dear [upbeat_courtier.GetFirstName]!;J'aime tout simplement la compagnie de chacun, ch[upbeat_courtier.GetErEre] [upbeat_courtier.GetFirstName] !;Ich genieße einfach die Gesellschaft, liebe[upbeat_courtier.GetrMale] [upbeat_courtier.GetFirstName]!;;¡Solo disfruto de la compañía de todos, mi querid[upbeat_courtier.GetOA] [upbeat_courtier.GetFirstName].;;;;;;;;;x
EVTOPTC_LT_10103_cruel;More people means more resources for... Anything we might require.;Plus de gens signifie plus de main-d'oeuvre pour... tout ce dont nous pourrions avoir besoin.;Mehr Menschen bedeuten mehr Ressourcen für ... Alles, was wir brauchen könnten.;;Más gente significa más recursos para… lo que podamos necesitar.;;;;;;;;;x

EVTOPTD_LT_61006;I have more important things to do.;J'ai des choses plus importantes à faire.;Ich habe mich um wichtigere Dinge zu kümmern.;;Tengo cosas más importantes que hacer;;;;;;;;;x
EVTOPTD_LT_10103_A;A toast to you, my good [upbeat_courtier.GetManWoman]! You are all important to me.;Je lève mon verre en votre honneur ! Vous êtes tous importants pour moi.;Ein Hoch auf Euch, mein[upbeat_courtier.GeteFemale] Gute[upbeat_courtier.GetrMale]!;;¡Brindo por ti, buen[upbeat_courtier.GetXA] [upbeat_courtier.GetManWoman]! Todos me importáis.;;;;;;;;;x
EVTOPTD_LT_10103_B;Oh, [upbeat_courtier.GetRootRelation]. You are all important to me, is all.;Oh, m[upbeat_courtier.GetOnA] [upbeat_courtier.GetRootRelation]. Vous êtes tous importants pour moi.;Oh, [upbeat_courtier.GetRootRelation]. Ihr seid mir alle wichtig!;;Oh, [upbeat_courtier.GetRootRelation]. Todos me importáis, nada más.;;;;;;;;;x
