#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;Oh non ! L'épidémie a emporté [GBC_dead_one.Get_le_TitledFirstName] !;[GBC_dead_one.GetTitledFirstName] starb an der Pest. Oh nein!;;[GBC_dead_one.GetTitledFirstName] ha muerto de la peste. ¡Oh, no!;;;;;;;;;x
EVTDESC_GBC_12_B;The two of you haven't spent that much time together recently, so you are a little surprised when [GBC_new_friend.GetTitledName] joins you for breakfast one morning. The expression on [GBC_new_friend.GetHerHis] face is a mixture of joy and embarrassment and [GBC_new_friend.GetSheHe] eats [GBC_new_friend.GetHerHis] food slowly, almost hesitantly, as if [GBC_new_friend.GetSheHe] is about to say something but is having trouble phrasing [GBC_new_friend.GetHerselfHimself]. \n\n"I thought I was dying" [GBC_new_friend.GetSheHe] says finally, making your hand and drink stop mid-air.\n"Dying?" you repeat. \n"Nonsense, of course, it was simply a fever" [GBC_new_friend.GetSheHe] continues, flushing a little. "I'm sorry if I worried you.";Vous n'avez pas passé beaucoup de temps ensemble ces derniers temps, alors vous êtes un peu surpris[Root.Get_E] quand [GBC_new_friend.Get_le_TitledName] vous rejoint pour le petit déjeuner un matin. L'expression sur son visage est un mélange de joie et d'embarras et [GBC_new_friend.GetIlElle] mange sa nourriture lentement, presque avec hésitation, comme [GBC_new_friend.GetSilSielle] était sur le point de dire quelque chose, mais avait du mal à s'exprimer. \n\n « Je pensais que j'étais mourant[GBC_new_friend.Get_E] » dit-[GBC_new_friend.GetIlElle] enfin, arrêtant votre main ainsi que votre verre à mi-chemin de votre bouche. \n« Mourant[GBC_new_friend.Get_E] ?» répétez-vous. \n « C'était absurde, bien sûr, ce n'était qu'une simple fièvre », ajoute-t-[GBC_new_friend.GetIlElle], en rougissant légèrement. « Je suis désolé si je vous ai inquiété »;In letzter Zeit war nur selten Zeit für ein Treffen und so seid Ihr ein wenig überrascht, als [GBC_new_friend.GetTitledName] Euch eines Morgens beim Frühstück Gesellschaft leistet. [GBC_new_friend.GetHerHisCap] Gesichtsausdruck ist eine Mischung aus Bedauern und Freude und [GBC_new_friend.GetSheHe] nimmt [GBC_new_friend.GetHerHis] Frühstück langsam, beinahe zögerlich zu sich, als ob [GBC_new_friend.GetSheHe] Euch etwas sagen wollte, ohne so recht einen Anfang zu finden.\n\n"Ich dachte, ich müsste sterben", sagt [GBC_new_friend.GetSheHe] schließlich.\nÜberrascht haltet Ihr inne. "Sterben?", wiederholt Ihr ungläubig.\n"Natürlich war das Unfug. In Wirklichkeit war es nichts als ein harmloses Fieber", erklärt [GBC_new_friend.GetSheHe] dann, etwas betreten. "Es tut mir leid, dass ich Euch damit beunruhigt habe.";;Últimamente no habéis pasado mucho tiempo juntos, así que te sorprendes un poco cuando una mañana [GBC_new_friend.GetTitledName] se une a ti para desayunar. La expresión en su rostro es una mezcla de alegría y vergüenza, y toma su desayuno lentamente, casi dudando, como si [GBC_new_friend.GetElElla] fuera a decirte algo, pero le costase expresarlo.\n\n«Creí que me moría», dice finalmente, dejándote parado a medio comer.\n «¿Te morías?», repites.\n«Por supuesto, eran bobadas. Solo era una fiebre», continua, enrojeciendo ligeramente. «Siento haberte preocupado».;;;;;;;;;x
EVTDESC_GBC_13_A;For fear of contagion the physician wouldn't let you see [GBC_new_friend.GetTitledName] as [GBC_new_friend.GetSheHe] lay on [GBC_new_friend.GetHerHis] deathbed. Maybe it doesn't matter. Even though [GBC_new_friend.GetFirstName] must have known that [GBC_new_friend.GetSheHe] was on your mind, you ordered every choir in [Root.Capital.GetName] to take up residence in the main hall for an indefinite period of time - they were to perform [GBC_new_friend.GetFirstName]'s favorite hymns until [GBC_new_friend.GetSheHe] had safely passed over to the next world, knowing that [GBC_new_friend.GetSheHe] was loved in this one.;Par crainte de la contagion, votre physicien ne vous laissera pas voir [GBC_new_friend.Get_le_TitledName] alors qu'[GBC_new_friend.GetIlElle] repose sur son lit de mort. Peut-être que cela n'a pas d'importance. Même si [GBC_new_friend.GetFirstName] devait savoir qu'[GBC_new_friend.GetIlElle] occupait vos pensées, vous aviez ordonné à tous les choeurs de [Root.Capital.GetName] de s'installer dans la grande salle pour une durée indéterminée - ils ont chanté les hymnes préférés de [GBC_new_friend.GetFirstName] jusqu'à ce qu'[GBC_new_friend.GetIlElle] passe dans l'autre monde, en sachant qu'[GBC_new_friend.GetIlElle] était aimé[GBC_new_friend.Get_E] dans celui-ci.;Aus Angst vor einer möglichen Ansteckung ließ der Arzt nicht zu, dass Ihr [GBC_new_friend.GetTitledName] am Totenbett besucht. Vielleicht ist das auch gar nicht so wichtig. Auch wenn [GBC_new_friend.GetFirstName] gewusst haben dürfte, dass Ihr an [GBC_new_friend.GetHerHim] denkt, lasst Ihr sämtliche Chöre von [Root.Capital.GetName] für unbestimmte Zeit zu Euch bestellen, damit sie in der großen Halle die Lieblingshymnen von [GBC_new_friend.GetFirstName] singen, bis [GBC_new_friend.GetSheHe] sicher in der anderen Welt eingetroffen ist, begleitet von der Liebe des Diesseits, in dem Ihr zurückbleibt.;;El médico no te deja ver a [GBC_new_friend.GetTitledName] por miedo al contagio mientras [GBC_new_friend.GetElElla] está postrad[GBC_new_friend.GetOA] en su lecho de muerte. Puede que no importe. Aunque [GBC_new_friend.GetFirstName] habrá sabido que estabas pensando en [GBC_new_friend.GetElElla], has ordenado que todos los coros de [Root.Capital.GetName] se instalen en el salón por un periodo indefinido de tiempo -para interpretar los cánticos favoritos de [GBC_new_friend.GetFirstName] hasta que [GBC_new_friend.GetElElla] haya viajado al otro mundo sin problemas, sabiendo lo mucho que se [GBC_new_friend.GetRleRla] quiso en este.;;;;;;;;;x
EVTDESC_GBC_13_B;[GBC_new_friend.GetTitledName] did not ask for you as [GBC_new_friend.GetSheHe] lay on [GBC_new_friend.GetHerHis] deathbed. Maybe it doesn't matter. [GBC_new_friend.GetSheHeCap] probably knew you had important matters to see to, places and meetings to attend. Yet the work in [Root.Location.GetName] could have waited, couldn't it? After all, you were kin and [GBC_new_friend.GetSheHe] should have had somebody by [GBC_new_friend.GetHerHis] side as she ascended into the realm of [Root.Religion.GetHighGodName].\n\nThe physician says [GBC_new_friend.GetSheHe] went quietly, in [GBC_new_friend.GetHerHis] sleep, [GBC_new_friend.GetHerHis] last words uttered simply being: "I'm tired. Let me rest.";[GBC_new_friend.Get_Le_TitledName] n'a pas demandé après vous, alors qu'[GBC_new_friend.GetIlElle] repose sur son lit de mort. Peut-être que cela n'a pas d'importance. [GBC_new_friend.GetIlElleCap] savait probablement que vous aviez d'importantes choses à faire, des lieux où être et des réunions auxquelles assister. Pourtant, le travail à [Root.Location.GetName] aurait pu attendre, n'est-ce pas ? Après tout, vous étiez de la même famille et [GBC_new_friend.GetIlElle] aurait dû avoir quelqu'un à ses côtés lorsqu'elle rejoignit [Root.Get_le_HighGod]. \n\nLe physicien dit qu'[GBC_new_friend.GetIlElle] s'en est allé[GBC_new_friend.Get_E] tranquillement, pendant son sommeil, ses derniers mots furent simplement: « Je suis fatigué[GBC_new_friend.Get_E]. Laissez-moi me reposer ».;[GBC_new_friend.GetTitledName] hatte auf dem Totenbett nicht nach Euch verlangt. Vielleicht spielte das auch keine Rolle. [GBC_new_friend.GetSheHeCap] wusste wahrscheinlich, dass Ihr wichtige Geschäfte zu führen und Termine und Besprechungen hattet. Doch die Arbeit in [Root.Location.GetName] hätte warten können, oder? Schließlich wart Ihr verwandt miteinander und [GBC_new_friend.GetSheHe] hätte jemand zur Seite haben sollen, als [GBC_new_friend.GetSheHe] ins Reich von [Root.Religion.GetHighGodName] emporstieg.\n\nDer Arzt sagt, dass [GBC_new_friend.GetSheHe] still eingeschlafen sei. "Ich bin müde. Ich möchte schlafen", waren die letzten Worte gewesen.;;[GBC_new_friend.GetTitledName] no preguntó por ti cuando yacía en su lecho de muerte. Puede que no importe. [GBC_new_friend.GetElEllaCap] sabía que tenías asuntos importantes que tratar, lugares y reuniones a las que acudir. Pero el trabajo en [Root.Location.GetName] podía haber esperado, ¿verdad? Después de todo, erais familia y [GBC_new_friend.GetElElla] debía haber tenido alguien a su lado cuando ascendiese al reino de [Root.GetHighGodName].\n\nEl médico dice que [GBC_new_friend.GetElElla] falleció en silencio, durmiendo, y las últimas palabras que musitó fueron simplemente «Estoy cansad[GBC_new_friend.GetOA]. Dejadme descansar».;;;;;;;;;x
EVTDESC_GBC_17_A;When [GBC_new_friend.GetTitledFirstName] invited me hunting, I was thrilled! [GBC_new_friend.GetSheHeCap] seemed a little nervous to make eye contact with me at first, but we quickly fell into our old banter. I was also introduced to [Root.GetFirstName], [GBC_new_friend.GetFirstName]'s new falcon! If that [GBC_new_friend.GetManWoman] is ill [GBC_new_friend.GetSheHe]'s hiding it well.;Lorsque [GBC_new_friend.Get_le_TitledFirstName] m'a invité[Root.Get_E] à chasser, j'étais ravi[Root.Get_E]! [GBC_new_friend.GetIlElleCap] semblait ne pas oser croiser mon regard au début, mais nous sommes rapidement revenus à nos vieilles plaisanteries. J'ai fait aussi la connaissance de [Root.GetFirstName], son nouveau faucon ! [GBC_new_friend.GetSilSielleCap] est malade, [GBC_new_friend.GetIlElle] le cache bien.;Als [GBC_new_friend.GetTitledFirstName] mich zur Jagd einlud, war ich begeistert! [GBC_new_friend.GetSheHeCap] schien meinem Blick anfänglich nervös auszuweichen, aber schnell scherzten und redeten wir so wie früher. Auch [Root.GetFirstName], der neue Falke von [GBC_new_friend.GetFirstName], wurde mir vorgeführt! Wenn [GBC_new_friend.GetSheHe] wirklich krank sein sollte, dann weiß [GBC_new_friend.GetSheHe], es gut zu verbergen.;;¡Estuve contentísim[Root.GetOA] cuando [GBC_new_friend.GetTitledFirstName] me invitó a una cacería! Al principio [GBC_new_friend.GetElElla] parecía un poco nervios[GBC_new_friend.GetOA] de mirarme a los ojos, pero muy pronto volvimos a las bromas de siempre. ¡También me presentó a [Root.GetFirstName], el nuevo halcón de [GBC_new_friend.GetFirstName]! Si es[GBC_new_friend.GetEA] [GBC_new_friend.GetManWoman] está enferm[GBC_new_friend.GetOA], lo oculta muy bien.;;;;;;;;;x
EVTDESC_GBC_17_B;When [GBC_new_friend.GetTitledFirstName] invited me hunting, I hesitated. I guess I've sort of been avoiding [GBC_new_friend.GetHerHim] since our last conversation, but my heart said it's time I forgive [GBC_new_friend.GetHerHis] break-down. While it was fun and [GBC_new_friend.GetSheHe] showed me [GBC_new_friend.GetHerHis] new falcon, I wish [GBC_new_friend.GetSheHe]'d talk to me about what is tormenting [GBC_new_friend.GetHerHim].;Lorsque [GBC_new_friend.Get_le_TitledFirstName] m'a invité[Root.Get_E] à la chasse, j'ai hésité. Je l'ai un peu évité[GBC_new_friend.Get_E] depuis notre dernière conversation, mais mon coeur dit qu'il est temps de lui pardonner d'avoir éclaté en sanglots. Alors que c'était plaisant et qu'[GBC_new_friend.GetIlElle] me montrait son nouveau faucon, j'ai eu envie qu'[GBC_new_friend.GetIlElle] me parle de ce qui [GBC_new_friend.GetLeLa] tourmente.;Als [GBC_new_friend.GetTitledFirstName] mich zur Jagd einlud, zögerte ich. Wahrscheinlich war ich [GBC_new_friend.Getihmihr] seit unserer letzten Unterredung lieber aus dem Weg gegangen. Mein Herz allerdings war bereit zu verzeihen. Auch wenn es schön war, den neuen Falken kennenzulernen, so wünschte ich mir doch, wir könnten darüber sprechen, was [GBC_new_friend.GetHerHim] in Wirklichkeit so sehr quälte.;;Cuando [GBC_new_friend.GetTitledFirstName] me invitó a una cacería dudé un poco. Supongo que [GBC_new_friend.GetRleRla] he estado rehuyendo desde nuestra última conversación, pero mi corazón me dice que es hora de perdonar su ataque de nervios. Aunque fue divertido y me mostró su nuevo halcón, ojalá me contase qué le atormenta.;;;;;;;;;x
EVTDESC_GBC_73;My councillor [GBC_nice_councillor.GetFirstName] raised an eyebrow at me during a meeting today. "I've noticed your kins[GBC_new_friend.GetManWoman] [GBC_new_friend.GetFirstName] has been visiting you more often, my [Root.GetLordLady]. I wasn't aware you two were close?";Un conseiller, [GBC_nice_councillor.GetFirstName], me fixa durant la réunion aujourd'hui. « M[Root.GetOnA] [Root.GetLordLady], j'ai remarqué que votre parent[GBC_new_friend.Get_E], [GBC_new_friend.GetFirstName], vous rend visite plus souvent. Je ne savais pas que vous étiez si proches », me dit-[GBC_nice_councillor.GetIlElle].;Ratsmitglied [GBC_nice_councillor.GetFirstName] hob bei der heutigen Besprechung verwundert die Brauen. "Ich stelle fest, dass [GBC_new_friend.GetEuerEure] neue[GBC_new_friend.GetrMale] [GBC_new_friend.GetManWoman] [GBC_new_friend.GetFirstName] Euch in letzter Zeit häufiger besucht. Ich wusste gar nicht, dass ihr euch so gut kennt?";;Mi consejero, [GBC_nice_councillor.GetFirstName] se sorprende durante la reunión de hoy. «He notado que [GBC_new_friend.GetFirstName], vuestr[GBC_new_friend.GetOA] familiar os visita a menudo, mi [Root.GetLordLady]. No sabía que fuerais tan íntimo»;;;;;;;;;x

EVTDSC_GBC_102;Today is the day. The one I've been dreading. While I have kept my appearances up throughout the ceremony, a paralyzing doubt is gnawing at my soul. My new [gbc_spouse.GetHusbandWife], [gbc_spouse.GetFirstName], is certainly a good match - but is that all there is to it? I know people like us never marry for love, but why does the [Root.Religion.GetPriestTitle] talk of such things? I fear dying without ever having known true love. \n\nDuring the following wedding feast I feel as if I am moving through thick fog, mechanically repeating the motions, just as I have been taught. \n\nThat is, until I see [gbc_lover.GetHerHim]. [gbc_lover.GetHerHisCap] pealing laughter and radiating smile breaks through the numbness, like a Cupid's arrow lodging itself deep in my heart. ;Voici venu le jour tant redouté. Même si j'ai sauvé les apparences tout au long de la cérémonie, le doute ronge mon âme. M[gbc_spouse.GetOnA] [gbc_spouse.GetHusbandWife], [gbc_spouse.GetFirstName], est assurément un bon parti - mais est-ce tout ce qu'il y a à faire ? Je sais que les gens comme nous ne se marient jamais par amour, mais alors pourquoi notre [Root.Religion.GetPriestTitle] parle de telles choses ? J'ai peur de mourir sans n'avoir jamais connu de véritable amour. \n\nÀ la fête qui suit la cérémonie, j'ai l'impression de me déplacer à travers un épais brouillard, de répéter mécaniquement les gestes que l'on m'a appris. \n\nDu moins, jusqu'à ce que je l'aperçoive. Ses éclats de rire et son sourire radieux me sortent de mon engourdissement émotionnel, telle une flèche de Cupidon qui transpercerait mon coeur.;Heute ist der Tag, dessen Kommen ich fürchtete. Zwar ließ ich mir während der Zeremonie nichts anmerken, aber ein lähmender Zweifel nagt an meiner Seele. M[gbc_spouse.Geteineine] neue[gbc_spouse.GetrMale] [gbc_spouse.GetHusbandWife], [gbc_spouse.GetFirstName], ist mit Sicherheit eine gute Partie, aber gibt es etwas, das ich nicht weiß? In unseren Kreisen gibt es natürlich keine Liebesheiraten, aber warum spricht der [Root.Religion.GetPriestTitle] von diesen Dingen? Die Vorstellung, ich könnte sterben, ohne echte Liebe erfahren zu haben, ängstigt mich. \n\nWährend der Hochzeit stehe ich neben mir und erfülle mechanisch meine Aufgaben.\n\nJedenfalls bis mein Blick auf [gbc_lover.GetHerHim] fällt. Was für ein herzliches Lachen und strahlendes Lächeln! Schlagartig erwache ich aus meiner Lethargie. Denn Cupidos Pfeil trifft mich mitten ins Herz. ;;Hoy es el día. El que más estaba temiendo. Aunque he mantenido las apariencias toda la ceremonia, una duda paralizante no deja de atormentar mi alma. [gbc_spouse.GetFirstName], mi nuev[gbc_spouse.GetOA] [gbc_spouse.GetHusbandWife] es un buen partido, ¿pero es esto todo? Sé que la gente como nosotros jamás se casa por amor, ¿pero por qué el [Root.Religion.GetPriestTitle] habla de tales cosas? Temo morir sin haber conocido el amor auténtico.\n\nDurante el posterior banquete nupcial, me siento como si estuviera atravesando una niebla densa, repitiendo movimientos mecánicamente, tal como me han enseñado.\n\nEsto es, hasta que [gbc_lover.GetRleRla] veo. Su risa sonora y su sonrisa radiante atraviesan el entumecimiento, como si una flecha de Cupido se clavase con fuerza en mi corazón.;;;;;;;;;x
EVTDSC_GBC_104;While taking a break from dancing I have received the opportunity to converse with [gbc_lover.GetLordLady] [gbc_lover.GetFirstName]. I am not disappointed. [gbc_lover.GetHerHisCap] wit, [gbc_lover.GetHerHis] beauty, [gbc_lover.GetHerHis] charm! I do not want the moment to end, but [gbc_lover.GetHerHis] [gbc_lover.GetHusbandWifeOpp] [gbc_rival.GetTitledFirstName] is approaching...;Entre deux danses, j'ai l'occasion de m'entretenir avec [gbc_lover.GetFirstName]. Je ne le regrette pas, que ce soit pour son esprit, sa beauté ou bien son charme ! Je ne veux pas que ce moment prenne fin, mais s[gbc_lover.GetOnAOpp] [gbc_lover.GetHusbandWifeOpp], [gbc_rival.Get_le_TitledFirstName], s'approche.;Während einer Tanzpause habe ich Gelegenheit zu einem Gespräch mit [gbc_lover.GetLordLady] [gbc_lover.GetFirstName]. Ich werde nicht enttäuscht. Welch Witz, welch Schönheit, und so charmant! Ich wünschte, der Moment währte ewig, aber dann werden wir gestört. Seine/Ihr [gbc_lover.GetHusbandWifeOpp] [gbc_rival.GetTitledFirstName] erscheint auf der Bildfläche ...;;Mientras me tomaba un descanso del baile, he tenido la oportunidad de conversar con [gbc_lover.GetLordLady] [gbc_lover.GetFirstName]. No quedé decepcionad[Root.GetOA]. ¡Qué ingenio el suyo, qué belleza la suya, qué encanto el suyo! No quiero que este momento termine, pero su [gbc_lover.GetHusbandWifeOpp] [gbc_rival.GetTitledFirstName] se está acercando…;;;;;;;;;x
EVTDSC_GBC_106;Tonight I was visited by [gbc_lover.GetFirstName] in my dreams. When I woke up I could still hear [gbc_lover.GetHerHis] velvet voice echo in my ears and feel the comforting weight of [gbc_lover.GetHerHis] hand in mine. Oh, graceful angel! Most [gbc_lover.GetAdultCompliment]. My heart aches for you!;Cette nuit, [gbc_lover.GetFirstName] m'a rendu[Root.Get_E] visite dans mes rêves. Lorsque je me suis réveillé[Root.Get_E] je pouvais encore entendre sa voix de velours résonner dans mes oreilles et sentir le contact de sa main dans la mienne. Oh, ange gracieux, mon coeur souffre pour vous !;Heute Nacht besuchte mich [gbc_lover.GetFirstName] in meinen Träumen. Beim Aufwachen klang [gbc_lover.GetHerHis] samtiges Echo in meinen Ohren und ich fühlte, wie sich unsere Hände berührten. Oh, engelhaftes Wesen! [gbc_lover.GetAdultCompliment]! Mein Herz verzehrt sich nach dir!;;Esta noche me visitó [gbc_lover.GetFirstName] en sueños. Cuando desperté todavía podía oír el eco de su voz aterciopelada en mis oídos y sentir el peso reconfortante de su mano en las mía. ¡Oh, grácil ángel! Cuán [gbc_lover.GetAdultCompliment]. ¡Mi corazón te anhela!;;;;;;;;;x
EVTDSC_GBC_108;By the grace of [Root.Religion.GetHighGodName], [gbc_lover.GetFirstName] had not yet left! I found [gbc_lover.GetHerHim] in the garden, taking a stroll. [gbc_lover.GetSheHeCap] let me join [gbc_lover.GetHerHim] and soon our conversation flowed as easy and pleasant as a leisurely summer's day. In the end, I had to profess my love. [gbc_lover.GetSheHeCap] rejected me most virtuously, but I could tell [gbc_lover.GetSheHe] was moved by my words.;Je remercie [Root.Get_le_HighGod], [gbc_lover.GetFirstName] n'était pas encore parti ! [gbc_lover.GetIlElleCap] était dans le jardin en train de faire une promenade. [gbc_lover.GetIlElleCap] a accepté que je l'accompagne et la conversation qui s'en est suivie fut aussi plaisante et naturelle qu'un tranquille jour d'été. À la fin, j'ai dû confesser mon amour. [gbc_lover.GetIlElleCap] m'a repoussé très courtoisement, mais je sais que mes mots l'ont ému.;Bei [Root.Religion.GetHighGodName], [gbc_lover.GetFirstName] war noch nicht fort! Ich fand [gbc_lover.GetHerHim] im Garten bei einem Spaziergang. [gbc_lover.GetSheHeCap] unterhielt sich mit mir und unser Gespräch floss mit der Leichtigkeit eines Sommertages dahin. Am Ende musste ich meiner Liebe einfach meine Gefühle gestehen. [gbc_lover.GetSheHeCap] erteilte mir eine tugendhafte Absage, aber ich merkte, dass [gbc_lover.GetSheHe] von meinen Worten gerührt war.;;¡Por la gracia de [Root.Religion.GetHighGodName], [gbc_lover.GetFirstName] todavía no se había ido! [gbc_lover.GetRleRlaCap] encontré en el jardín, dando un paseo. [gbc_lover.GetElEllaCap] dejó que acompañar[gbc_lover.GetRleRla] y pronto nuestra conversación fluyó tan fácil y agradable como un día de verano sin prisas. Al final, tuve que confesar mi amor. [gbc_lover.GetElEllaCap] me rechazó virtuosamente, pero vi que le conmovieron mis palabras.;;;;;;;;;x
EVTDSC_GBC_109;I must send [gbc_lover.GetFirstName] something to assure [gbc_lover.GetHerHim] of my ardent feelings. I have understood that a [gbc_lover.GetLordLady] such as [gbc_lover.GetSheHe] appreciates having poems dedicated to them. However, a fine fur never disappointed anyone, either.;Je dois envoyer à [gbc_lover.GetFirstName] quelque chose pour l'assurer de mes sentiments. J'ai compris qu'un[gbc_lover.Get_E] [gbc_lover.GetManWoman] comme [gbc_lover.GetLuiElle] apprécie les poèmes qui lui sont dédiés.;Ich muss [gbc_lover.GetFirstName] etwas schicken, um zu bekräftigen, wie leidenschaftlich ich in Liebe entbrannt bin. Es ist mir bewusst, dass [gbc_lover.Geteineine] [gbc_lover.GetLordLady] wie [gbc_lover.GetSheHe] besonders Gedichte zu schätzen weiß. Allerdings hat auch ein schöner Pelz noch nie jemandem Kummer bereitet.;;Debo enviar a [gbc_lover.GetFirstName] algo que [gbc_lover.GetRleRla] prueben mis sentimientos ardientes. Tengo entendido que un[gbc_lover.GetXA] [gbc_lover.GetLordLady] como [gbc_lover.GetElElla] aprecia que le dediquen poemas. Sin embargo, una prenda de piel fina tampoco ha decepcionado jamás a nadie.;;;;;;;;;x
EVTDSC_GBC_110;I labored throughout the evening and well into the night. However, it did pay off - the poem became even better than I could have hoped for! If anyone read this they would surely know whom it describes, even though I never mentioned [gbc_lover.GetFirstName]'s name.;J'ai travaillé dur pendant la soirée et jusqu'à une heure avancée de la nuit. Cependant, cela a porté ses fruits, le poème est en effet encore meilleur que j'avais espéré ! Si quelqu'un le lit il devrait sûrement deviner qui y est évoqué, bien que je n'ai jamais mentionné son nom.;Ich habe bis in die Nacht daran gearbeitet. Aber die Mühe zahlt sich aus. Das Gedicht ist besser, als ich zu hoffen gewagt habe! Wer es liest, wird wissen, wen es beschreibt, auch wenn ich den Namen [gbc_lover.GetFirstName] nicht darin erwähnt habe.;;Trabajo toda la tarde y parte de la noche. Pero ha dado fruto. ¡El poema es mucho mejor de lo que hubiera esperado! Si alguien lo lee, sabrá a quién describe, aunque nunca menciono el nombre de [gbc_lover.GetFirstName].;;;;;;;;;x
EVTDSC_GBC_111;I labored throughout the evening and well into the night. No matter how I tried, I could not get the verse just right. The prose and structure turned out well, but I am not confident that I have fully captured the delicate nature of [gbc_lover.GetHerHis] qualities and my own feelings.;J'ai travaillé dur pendant la soirée et jusqu'à une heure avancée de la nuit. Peu importe comment je m'y prends, je n'arrive pas à faire en sorte que les vers sonnent juste. La prose et la structure sont bonnes, mais je doute d'avoir correctement dépeint la nature délicate de ses qualités ou même mes propres sentiments.;Ich habe bis in die Nacht daran gearbeitet. Aber trotz aller Mühen habe ich es nicht geschafft, die richtigen Verse zu finden. Inhalt und Struktur sind gut gelungen, aber ich habe Zweifel daran, ob ich das komplexe Gebinde unserer Gefühle und Vorzüge in seiner Gänze darzustellen vermocht habe.;;Trabajo toda la tarde y parte de la noche. No importa cuánto lo intento, no consigo acertar con los versos. La prosa y la estructura están bien, pero no estoy convencid[Root.GetOA] de haber captado la delicada naturaleza de sus cualidades y mis propios sentimientos.;;;;;;;;;x
EVTDSC_GBC_113_A;My dearest [Root.GetLordLady] [Root.GetFirstName], \nI was deeply moved by your most beautiful verse. I thank you from the bottom of my heart. You have proven to be a most noble soul. I dearly hope you will continue to bless me with your correspondence. \n\n Your faithful friend, \n[gbc_lover.GetFirstName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetFirstName], \nVos vers me touchent profondément. Je vous remercie du fond du coeur. Vous avez prouvé avoir un esprit noble. J'espère sincèrement que vous continuerez à me bénir avec votre correspondance. \n\n Votre fidèle ami[gbc_lover.Get_E], \n[gbc_lover.GetFirstName];[Root.GetLordLady] [Root.GetFirstName], \nEure Verse rührten mich zutiefst. Ich danke Euch von Herzen. Ihr seid wahrlich eine noble Seele und ich hoffe, Ihr werdet mich auch in Zukunft mit der Fortsetzung unserer Korrespondenz segnen. \n\n In treuer Freundschaft \n[gbc_lover.GetFirstName];;Mi querid[Root.GetOA] [Root.GetLordLady] [Root.GetFirstName].\nQuedé profundamente conmovid[gbc_lover.GetOA] por vuestros hermosos versos. Gracias de todo corazón. Habéis demostrado tener una alma noble. Espero y deseo que sigáis bendiciéndome con vuestra correspondencia.\n\nVuestr[gbc_lover.GetOA] fiel amig[gbc_lover.GetOA],\n[gbc_lover.GetFirstName];;;;;;;;;x
EVTDSC_GBC_113_B;To the esteemed [Root.GetBestName], \nI am honored by your high regard of me, my [Root.GetLordLady], but I cannot encourage you. I am not the [gbc_lover.GetManWoman] you believe me to be. I am bound by my promise, to my [gbc_lover.GetHusbandWifeOpp] and to [gbc_lover.Religion.GetHighGodName]. If you care for me at all, I wish you would abandon this folly and leave me be. \n\nMy best wishes to you and your beautiful bride, \n[gbc_lover.GetTitledFirstName];À l'attention [Root.Get_only_du_Title][Root.GetBestName], \nLa haute estime dans laquelle vous me portez m'honore, mais je ne peux pas vous encourager. Je ne suis pas la personne que vous croyez que je suis. Ma promesse me lie à m[gbc_lover.GetOnAOpp] [gbc_lover.GetHusbandWifeOpp] et je me soumets à la volonté imposée par [gbc_lover.Get_le_HighGod]. Si vous vous souciez de moi ne serait-ce qu'un peu, abandonnez cette folie et laissez-moi. \n\nMes meilleurs voeux à vous et à la personne que vous épouserez, \n[gbc_lover.GetTitledFirstName];[Root.GetBestName], \nEuer Lob ehrt mich, [Root.GetLordLady], aber ich kann Euch keine Versprechungen machen. Ich bin nicht so, wie Ihr glaubt. Ich bin durch mein Versprechen gebunden, gegenüber meinen ehelichen Pflichten und gegenüber [gbc_lover.Religion.GetHighGodName]. Wenn Euch wirklich etwas an mir liegt, so gebt Eure törichten Absichten auf und gewährt mir meinen Frieden. \n\nMit den besten Wünschen an Euch und Eure schöne Braut\n[gbc_lover.GetTitledFirstName];;Estimad[Root.GetOA] [Root.GetBestName], \neme honra que me tengáis en tan alta estima, mi [Root.GetLordLady], pero no puedo animaros. No soy [gbc_lover.GetElLa] [gbc_lover.GetManWoman] que vos pensáis. Estoy atad[gbc_lover.GetOA] por la promesa a mi [gbc_lover.GetHusbandWifeOpp] y a [gbc_lover.Religion.GetHighGodName]. Si os preocupo lo más mínimo, deseo que abandonéis esta locura y me dejéis en paz.\n\nMis mejores deseos a vos y a vuestr[Root.GetOAOpp] hermos[Root.GetOAOpp] consorte, \n[gbc_lover.GetTitledFirstName];;;;;;;;;x
