#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_marshal.txt

#########################
#
#	Marshal events
#
#########################

# Military Accident
evt_marshal_001_title;Military Drill Accident;Accident militaire;Unfall bei der Militärausbildung;;Accidente en entrenamiento militar;;;;;;;;;x
evt_marshal_003_desc_a;My liege, I implore you to send me to another county! The nitwits of [From.Location.GetName] have already cost me one limb, I don't want to lose any more limbs just because they don't know the back from the front of an arrow!\n\nYour humble Marshal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nJe vous supplie de m'envoyer dans un autre comté ! À cause de ces abrutis à [From.Location.GetName], j'ai déjà perdu un membre et j'ai peur d'en perdre un autre, car ils sont incapables de reconnaître la pointe d'une flèche !\n\nVotre humble maréchal,\n[From.GetTitledName];Mein Lehnsherr, ich flehe Euch an, mich in eine andere Provinz zu schicken! Die Schwachköpfe in [From.Location.GetName] haben mich schon ein Körperteil gekostet, und ich will nicht noch weitere Gliedmaßen verlieren, nur weil sie den vorderen Teil eines Pfeils nicht vom hinteren unterscheiden können!\n\nEuer ergebener Marschall,\n[From.GetTitledName];;¡Mi señor, le suplico que me envíe a otra provincia! ¡Ya me ha costado un brazo instruir a estos cretinos de [From.Location.GetName], no voy a perder más miembros porque no sepan distinguir cuál es la parte trasera y delantera de una flecha!\n\nSu humilde mariscal,\n[From.GetTitledName];;;;;;;;;x
evt_marshal_003_option_a;How can I wage war with these peasants?!;Comment réussir à faire la guerre avec ces paysans ?!;Wie soll ich mit diesen Kartoffelbauern Krieg führen?!;;¡¿Cómo preparo yo a estos campesinos para la guerra?!;;;;;;;;;x


# Military Secrets Revealed!
evt_marshal_101_title;Military Secrets Revealed;Secrets militaires révélés;Militärgeheimnisse enthüllt;;Secretos militares revelados;;;;;;;;;x
evt_marshal_101_desc_a;I had traveled to [Root.Location.GetName] to try and help teach the population about the military equipment they have at their disposal, in case they would ever be besieged or if my liege would need to recruit soldiers from the province. But I feel I am getting nowhere...;J'ai dû me rendre à [Root.Location.GetName] pour apprendre à la population à manier le matériel militaire à sa disposition, au cas où elle venait à être assiégée ou si m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige devait recruter des soldats dans la province. Mais j'ai l'impression que cela ne mènera nulle part...;Ich reiste nach [Root.Location.GetName], um die Bevölkerung im Gebrauch der ihnen zur Verfügung stehenden militärischen Ausrüstung einzuweisen, für den Fall, dass sie jemals belagert werden oder mein Lehnsherr Soldaten aus dieser Provinz rekrutieren will. Ich aber habe das Gefühl, ich erreiche nichts ...;;He viajado hasta [Root.Location.GetName] he intentado enseñar a sus habitantes cómo usar el equipamiento militar del que disponen en caso de que nos veamos bajo un asedio o que mi señor necesite reclutar soldados de la provincia. Pero creo que mis esfuerzos son en vano...;;;;;;;;;x
evt_marshal_101_option_a;If only something would go my way;Si seulement je réussissais.;Wenn doch nur irgendetwas mal klappen würde;;Si viniera un golpe de suerte...;;;;;;;;;x
evt_marshal_101_option_a_tooltip;A chance meeting with a local noble;Rencontre fortuite avec un noble local;Zufallstreffen mit einem örtlichen Adligen;;Un encuentro casual con un noble de la comarca.;;;;;;;;;x

# Noble helps
evt_marshal_102_desc_a;On the road to [From.Location.GetName] I met [From.GetTitledName], the Marshal of [From.Liege.GetTitledName]. I knew [From.GetSheHe] would be interested in the military advancements I have done lately. Should I share them with [From.GetHerHim]?;Alors que je me rendais à [From.Location.GetName], j'ai rencontré [From.Get_le_TitledName], le maréchal [From.Liege.Get_du_TitledName], qui, je le savais, s'intéresserait à mes récents progrès militaires. Dois-je lui en faire part ?;Auf der Straße nach [From.Location.GetName] traf ich [From.GetTitledName], den Marschall von [From.Liege.GetTitledName]. Ich wusste, dass [From.GetSheHe] Interesse an meinen militärischen Fortschritten der letzten Zeit zeigen würde. Soll ich sie [From.Getihmihr] anvertrauen?;;En el camino a [From.Location.GetName] me encontré con [From.GetTitledName], el mariscal de [From.Liege.GetTitledName]. Sabía que [From.GetSheHe] tendría interés en los avances militares en los que he trabajado últimamente. ¿Debería compartirlos con [From.GetHerHim]?;;;;;;;;;x
evt_marshal_102_option_a;I see no reason why not;Je ne vois aucune raison de ne pas le faire.;Warum nicht?;;No veo por qué no.;;;;;;;;;x
evt_marshal_102_option_a_tooltip;Talk to [This.GetTitledName];Je parle [This.Get_au_TitledName].;Mit [This.GetTitledName] sprechen;;Habla con [This.GetTitledName].;;;;;;;;;x
evt_marshal_102_option_b;I better keep it to myself...;Il vaut mieux que je ne dise rien...;Ich behalte es besser für mich ...;;Mejor me lo callo...;;;;;;;;;x

# Inform Marshal
evt_marshal_103_desc_a;I left the soldiers of [Root.Location.GetName] one evening feeling exhausted and world-weary when a local noble, [From.GetTitledName], approached me and told me about the military advancements he had implemented lately. I promised [From.GetHerHim] to use it wisely and not spread the knowledge outside the realm.;Un soir, alors que les soldats de [Root.Location.GetName] étaient exténués, un noble local, [From.Get_le_TitledName], s'est approché de moi et m'a parlé des progrès militaires qu'il avait récemment réalisés. Je lui ai promis de m'en servir à bon escient et de ne pas en parler au-delà du Royaume.;Eines Abends verließ ich die Soldaten von [Root.Location.GetName] müde und der Welt überdrüssig, als ein örtlicher Adliger, [From.GetTitledName], mich ansprach und mir von den militärischen Fortschritten erzählte, die er in letzter Zeit erzielt hatte. Ich versprach [From.Getihmihr], mit diesem Wissen sorgsam umzugehen und es nicht außerhalb des Reichs zu verbreiten.;;Una tarde, al dejar a los soldados de [Root.Location.GetName], exhausto y harto de todo, se me acercó un noble de la región, [From.GetTitledName], y me habló de los avances militares que había estado usando. Le prometí tratar esta información con cautela y no difundir los conocimientos fuera del reino.;;;;;;;;;x
evt_marshal_103_option_a;Such an important discovery must be shared with my liege!;Je dois informer m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige de telles informations !;Von dieser wichtigen Entdeckung muss ich meinem Lehnsherrn erzählen!;;¡Un hallazgo así merece que lo comparta con mi señor!;;;;;;;;;x
evt_marshal_103_option_a_tooltip;Send a letter to [Root.Liege.GetTitledName];J'envoie une lettre [Root.Liege.Get_au_TitledName].;Brief an [Root.Liege.GetTitledName] senden;;Envía una carta a [Root.Liege.GetTitledName].;;;;;;;;;x

# Inform Liege
evt_marshal_104_desc_a;My liege, good news! During my mission to [From.Location.GetName] I happened to meet the noble [FromFrom.GetTitledName]. After promising [FromFrom.GetHerHim] not to divulge any of the information outside the realm, [FromFrom.GetSheHe] decided to share with me some of the military advancements [FromFrom.GetSheHe] had implemented in the last year. Enclosed with this letter is a document describing them in more detail.\n\nYour humble Marshal,\n[From.GetTitledName];Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Au cours de ma mission en [From.Location.GetName], j'ai rencontré [FromFrom.Get_le_TitledName]. Après lui avoir promis de ne divulguer aucune information au-delà du Royaume, [FromFrom.GetIlElle] a accepté de me faire part des progrès militaires qu'il avait réalisés lors de l'année passée. Je joins à cette lettre un document les détaillant.\n\nVotre humble maréchal,\n[From.GetTitledName];Gute Neuigkeiten, mein Lehnsherr! Während meiner Mission in [From.Location.GetName] traf ich [FromFrom.GetTitledName]. Nachdem ich zusicherte, keine der Informationen außerhalb des Reiches zu verbreiten, erzählte [FromFrom.GetSheHe] mir von militärischen Fortschritten, die [FromFrom.GetSheHe] im letzten Jahr erzielt hatte. In diesem Dokument werden sie genau beschrieben.\n\nEuer ergebener Marschall,\n[From.GetTitledName];;¡Mi señor, buenas noticias! Durante mi misión en [From.Location.GetName] me encontré con el noble [FromFrom.GetTitledName]. Tras prometerle no divulgar la información fuera del reino, decidió compartir conmigo algunos avances militares que [FromFrom.GetSheHe] había estado usando este año. Le adjunto con esta carta un documento con información detallada sobre estos.\n\nSu humilde mariscal,\n[From.GetTitledName];;;;;;;;;x
evt_marshal_104_option_a;Exciting!;Passionnant !;Wie aufregend!;;¡Qué emoción!;;;;;;;;;x


# Reinforcements Arrive
evt_marshal_201_title;Levy Reinforcements;Renforcement de la levée;Verstärkung der Aufgebote;;Refuerzos de leva;;;;;;;;;x
evt_marshal_201_desc_a;Since I came to [Root.Location.GetName], we have never had a shortage of soldiers reinforcing our troops.;À aucun moment depuis mon arrivée en [Root.Location.GetName] nous n'avons manqué de soldats pour renforcer nos troupes.;Seit ich in [Root.Location.GetName] bin, haben wir keinen Mangel mehr an Männern zur Verstärkung unserer Truppen.;;Desde que vine a [Root.Location.GetName], nunca habíamos tenido escasez de soldados en nuestras tropas.;;;;;;;;;x
evt_marshal_201_option_a;They know that fame and fortune awaits!;Ils savent que la gloire et la fortune les attendent !;Sie wissen, dass Ruhm und Reichtum sie erwarten!;;¡Saben bien que la fama y la fortuna les espera!;;;;;;;;;x

# Inform Liege
evt_marshal_202_desc_a;Your [Root.GetMyMarshalName] [From.GetTitledFirstNameNoRegnal] has initiated a massive recruitment drive in §Y[From.Location.GetName]§!.;Votre [Root.GetMyMarshalName] [From.Get_only_le_Title][From.GetTitledFirstNameNoRegnal] a amorcé un recrutement massif en §Y[From.Location.GetName]§!.;Euer [Root.GetMyMarshalName] [From.GetTitledFirstNameNoRegnal] hat in §Y[From.Location.GetName]§! einen massiven Andrang von Rekruten ausgelöst.;;[From.GetTitledFirstNameNoRegnal] tu [Root.GetMyMarshalName] ha iniciado una enorme campaña de reclutamiento en §Y[From.Location.GetName]§!.;;;;;;;;;x
evt_marshal_202_option_a;Let us hope so;Espérons qu'il en soit ainsi.;Hoffen wir es;;Esperemos que así sea.;;;;;;;;;x


# Marshal tries to train troops, noble interferes
evt_marshal_301_title;Noble Interferes;Noble interférence;Adliger mischt sich ein;;Un noble se entromete;;;;;;;;;x
evt_marshal_301_desc_a;The levy situation in [Root.Location.GetName] is not entirely hopeless, but close enough. I will do my best to revive the situation and hopefully my liege will see some results soon.;La situation des troupes de [Root.Location.GetName] n'est pas encore désespérée, mais pas loin. Je vais tout faire pour y remédier et j'espère que m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige ne tardera pas à en voir les résultats.;Die Aufgebotssituation in [Root.Location.GetName] ist nicht komplett hoffnungslos, aber nicht weit davon entfernt. Ich werde mein Bestes tun, die Situation wieder auf die Beine zu bringen, und hoffentlich, mein Lehnsherr, werden wir bald Ergebnisse sehen.;;La situación con la leva de [Root.Location.GetName] va camino del desastre total. Haré todo lo posible por arreglar la situación y que mi señor vea resultados pronto.;;;;;;;;;x
evt_marshal_301_option_a;As long as no one meddles with my plans...;Tant que personne ne se mêle de mes plans...;Solange sich niemand in meine Pläne einmischt ...;;Mientras nadie se entrometa en mis planes...;;;;;;;;;x

# Noble reacts
evt_marshal_302_desc_a;[From.Liege.GetTitledName]'s Marshal, [From.GetTitledName], have been trying to raise more and more levies in [From.Location.GetName]. I can't stand [From.GetHerHim]! Perhaps I should pull some strings and see to it that no more peasants show up for his recruiting meetings?;Le maréchal [From.Liege.Get_du_TitledName], [From.Get_le_TitledName], essaie de lever toujours plus de troupes à [From.Location.GetName]. Je ne le supporte pas ! Je devrais peut-être veiller à ce que les paysans ne se portent plus volontaires à ses recrutements ?;[From.Liege.GetTitledName]s Marschall, [From.GetTitledName], hat versucht, mehr und mehr Aufgebote in [From.Location.GetName] auszuheben. Ich kann [From.GetHerHim] nicht ausstehen! Vielleicht sollte ich ein paar Fäden ziehen und sicherstellen, dass keine weiteren Bauern mehr zu den Rekrutierungstreffen kommen?;;El mariscal de [From.Liege.GetTitledName], [From.GetTitledName], ha intentado reclutar cada vez más la leva en [From.Location.GetName]. ¡No le soporto! ¿Y si muevo algunos hilos para que no se presenten más campesinos a las asambleas de reclutamiento?;;;;;;;;;x
evt_marshal_302_option_a;I will take every chance I get!;Je saisirai toutes les opportunités qui se présentent à moi !;Ich werde jede Gelegenheit am Schopfe packen!;;¡Aprovecharé cualquier oportunidad que se me presente!;;;;;;;;;x
evt_marshal_302_option_b;I better not...;Il vaut mieux que je m'abstienne...;Lieber nicht ...;;Mejor no hacer nada...;;;;;;;;;x

# Marshal writes to Liege
evt_marshal_303_desc_a;My liege, I have bad news from [FromFrom.Location.GetName]. My attempts to increase the county levy has met with nothing but failure and the reason behind this is [From.GetTitledName]! [From.GetSheHeCap] has been nothing but trouble since I arrived and has used [From.GetHerHis] wide influence in [FromFrom.Location.GetName] to hinder all my initiatives.\n\nYour humble [Root.GetMarshalName],\n[Root.job_marshal.GetTitledFirstName];M[Root.GetOnA][Root.GetLordLady],\nLes nouvelles en provenance de [FromFrom.Location.GetName] ne sont pas bonnes. À cause [From.Get_du_TitledName], mes tentatives de recrutement de troupes dans le comté ont échoué ! [From.GetIlElleCap] me cause des problèmes depuis son arrivée et joue de son influence pour me mettre des bâtons dans les roues.\n\nVotre humble [Root.GetMarshalName],\n[Root.job_marshal.GetTitledFirstName];Mein Lehnsherr, ich habe schlechte Nachrichten aus [FromFrom.Location.GetName]. Meine Versuche, die Größe des Aufgebots in der Provinz zu erhöhen, sind kläglich gescheitert. [From.GetTitledName] hat seit meiner Ankunft [From.GetHerHis]en Einfluss dazu eingesetzt, mir Steine in den Weg zu legen.\n\nEuer ergebener [Root.GetMarshalName],\n[Root.job_marshal.GetTitledFirstName];;Mi señor, tengo malas noticias de [FromFrom.Location.GetName]. ¡Mis intentos de aumentar el impuesto de la provincia han fracasado y el culpable es [From.GetTitledName]! No ha causado más que problemas desde que llegué y ha usado su gran influencia en [FromFrom.Location.GetName] para entorpecer todas mis iniciativas.\n\nTu humilde [Root.GetMarshalName],\n[Root.job_marshal.GetTitledFirstName];;;;;;;;;x
evt_marshal_303_option_a;Curse [From.GetHerHim]!;Qu'[From.GetIlElle] soit maudit[From.Get_E] !;Verflucht [From.GetHerHim]!;;¡Que le zurzan!;;;;;;;;;x


# The Marshal has managed to raise an eager force of raiders
evt_marshal_401_title;Raid Organized;Pillage organisé;Überfall organisiert;;Asalto Organizado;;;;;;;;;x
evt_marshal_401_desc_a;With enticing words of riches beyond measure, I have gathered up a mighty host in [Root.Location.GetName]. These men do not like to sit idle though...;Parler de grandes richesse attire toujours l'attention : j'ai pu rassembler une puissante armée à [Root.Location.GetName]. Mais ces hommes n'aiment pas rester inactifs...;Durch verlockende Reden von unermesslichen Reichtümern konnte ich ein mächtiges Heer in [Root.Location.GetName] versammeln. Untätigkeit ist diesen Männern allerdings ein Gräuel ...;;Con tentadoras promesas de riquezas sin mesura, en [Root.Location.GetName] he juntado a una poderosa horda. Pero a estos hombre no les gusta quedarse con los brazos cruzados...;;;;;;;;;x
evt_marshal_401_option_a;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x

# The liege is informed
evt_marshal_402_desc_a;My [Root.GetMyMarshalName], [From.GetTitledFirstName], has gathered up a great host of raiders, lusting for plunder and wanton destruction. I must use these men and not allow them to sit idle for too long!;Notre [Root.GetMyMarshalName], [From.Get_le_TitledFirstName], a rassemblé une grande armée de pillards assoiffés de richesses et de destruction. Je dois les utiliser, ils n'aiment pas rester inactifs trop longtemps !;Mein [Root.GetMyMarshalName] [From.GetTitledFirstName] hat ein großes Heer aus Plünderern aufgestellt. Nichts würden sie lieber tun als rauben und brandschatzen! Ich darf sie nicht zu lange untätig herumsitzen lassen!;;Mi [Root.GetMyMarshalName], [From.GetTitledFirstName], ha reunido un buen número de jinetes que ambicionan el botín y la destrucción sin sentido. ¡Tengo que utilizar a estos hombres y no permitir que se estén de brazos cruzados durante demasiado tiempo!;;;;;;;;;x
evt_marshal_402_option_a;Great news indeed!;Une bonne nouvelle en effet !;Wirklich großartige Neuigkeiten!;;De hecho ¡Buenas noticias!;;;;;;;;;x

# The men are displeased and disband
evt_marshal_404_desc_a;The raiding party my [Root.GetMyMarshalName] gathered up to fight for me have grown tired of my effeminate pacifism and gone home to their wives, but not before picking up everything they could find of value!;Les pillards assemblés par notre [Root.GetMyMarshalName] se sont lassés de mon pacifisme efféminé et sont allés rejoindre leurs épouses. Mais avant de partir, ils ont emporté tout ce qu'ils pouvaient !;Die Plünderer, die mein [Root.GetMyLordSpiritualName] für mich angeworben hat, hatten genug von meiner weibischen Kriegsablehnung und sind nach Hause zu ihren Frauen zurückgekehrt. Allerdings nicht, ohne zuvor alles, was nicht niet- und nagelfest war, mitzunehmen!;;El grupo de jinetes que mi [Root.GetMyMarshalName] reunió para luchar para mí se ha cansado de mi afeminado pacifismo y han regresado a casa con sus esposas, ¡pero llevándose todo lo de valor que encontraron!;;;;;;;;;x
evt_marshal_404_option_a;Thieves! Uh, well...;Les voleurs ! C'est la vie...;Diebe! Na, dann ...;;¡Ladrones! ..de hecho..;;;;;;;;;x

EVTTOOLTIP20410;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Brief an meinen Lehnsherrn senden;;Envía una carta a mi señor.;;;;;;;;;x
EVTTOOLTIP20420;A local noble interferes;Un noble local interfère.;Ein örtlicher Adliger mischt sich ein;;Un noble del lugar se entromete.;;;;;;;;;x

# Unused
EVTNAME944;Marshal Discovered;Maréchal démasqué;Marschall ertappt;;Mariscal descubierto;;;;;;;;;x
EVTDESC944;My liege [Root.Liege.GetTitledName] sent me to [Root.Location.GetName] to assist in the arrest of a local noble.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName], m'a demandé de me rendre à [Root.Location.GetName] pour participer à l'arrestation d'un noble local.;Mein Lehnsherr [Root.Liege.GetTitledName] sandte mich nach [Root.Location.GetName], um bei der Verhaftung eines örtlichen Adligen zu helfen.;;Mi señor [Root.Liege.GetTitledName] me ha enviado a [Root.Location.GetName] para ayudar con el arresto de un noble de la región.;;;;;;;;;x
EVTOPTA944;Hope we'll catch the right noble;J'espère que nous arrêterons la bonne personne.;Ich hoffe, wir schnappen den richtigen Adligen;;Esperemos dar con la persona indicada.;;;;;;;;;x

EVTDESC20440;[From.GetTitledName] has been seen in [From.Location.GetName] and I am certain [From.GetSheHe] is here for me!;[From.Get_Le_TitledName] a été vu[From.Get_E] à [From.Location.GetName] et nul doute qu'[From.GetIlElle] est ici pour moi !;[From.GetTitledName] wurde in [From.Location.GetName] gesehen, und ich bin sicher, dass [From.GetSheHe] wegen mir hier ist!;;Han visto a [From.GetTitledName] por [From.Location.GetName]. ¡Seguro que [From.GetSheHe] ha venido a por mí!;;;;;;;;;x
EVTOPTA20440;I can't do anything about this!;Je ne peux rien y faire !;Ich kann daran nichts ändern!;;¡No puedo hacer nada!;;;;;;;;;x
EVTOPTB20440;Minions, prepare for ambush!;Les hommes, préparez une embuscade !;Schergen, bereitet einen Hinterhalt vor!;;¡Mis hombres, preparaos para la emboscada!;;;;;;;;;x

EVTDESC20441;The men attacking me shows no mercy, I try to defend myself as good as I can but there are too many of them!;Les hommes qui m'attaquent sont impitoyables. J'essaie de me défendre au mieux, mais ils sont trop nombreux !;Die Angreifer zeigen keine Gnade. Ich versuche, mich nach Leibeskräften zu verteidigen, aber es sind einfach zu viele!;;Los hombres que me atacaron no muestran piedad alguna. ¡Intento defenderme como puedo pero son demasiados!;;;;;;;;;x
EVTOPTA20441;I managed to fend them off but lost a limb!;J'ai réussi à parer leur attaque, mais j'y ai perdu un membre !;Ich habe sie abgewehrt, aber dabei eine Gliedmaße verloren!;;¡Logré escapar pero me han amputado un miembro!;;;;;;;;;x
EVTOPTB20441;I managed to flee after they severely wounded me!;J'ai réussi à m'enfuir, mais ils m'ont gravement blessé[Root.Get_E] !;Mir gelang die Flucht, aber erst, nachdem sie mich ernsthaft verwundet hatten!;;¡Logré escapar con heridas graves!;;;;;;;;;x

EVTDESC20442;'My liege, I was attacked by...'\nThe blotted paper was nearly unreadable, clearly [From.GetTitledName] wrote the letter just after the attack. As I squinted to try and make out what the Marshal wrote in the letter, some words suddenly becomes clear:;'M[Root.GetOnA] [Root.GetLordLady], J'ai été attaqué[Root.Get_E] par...'\nMaculée de sang, la lettre est quasiment illisible. De toute évidence, [From.Get_le_TitledName] l'a écrite juste après l'attaque. En essayant de déchiffrer la lettre du maréchal, certains mots m'ont sauté aux yeux : ;"Mein Lehnsherr, ich wurde angegriffen von ..."\nDas verschmierte Papier war fast unleserlich, [From.GetTitledName], hatte den Brief offensichtlich kurz nach dem Angriff geschrieben. Ich versuchte mit Mühe, zu erkennen, was der Marschall in seinem Brief geschrieben hatte, und plötzlich erscheinen einige Worte ganz klar:;;Mi señor, me atacaron unos...'\nEl papel manchado era casi ilegible, está claro que [From.GetTitledName] escribió la carta justo después del ataque. En un esfuerzo por averiguar qué escribió el mariscal, al final conseguí leer lo siguiente:;;;;;;;;;x
EVTOPTA20442;...maimed... ...noble named... Good lord!;... estropié[From.Get_E]... ... noble appelé... Seigneur !;... verstümmelt ... ... Adliger genannt ... Grundgütiger!;;...mutilación... ...un noble llamado... ¡Dios mío!;;;;;;;;;x
EVTOPTB20442;...wounded... Only wounded!? Pah!;... blessé[From.Get_E]... Seulement blessé[From.Get_E] !? Pouah !;... verwundet ... Nur verwundet!? Pah!;;...heridas... ¡¿Solo heridas!? ¡Aj!;;;;;;;;;x

EVTDESC20443;My loyal men managed to kill [From.GetTitledName]! [From.Liege.GetTitledName] will never catch me, but I should pretend as nothing happens and send my condolences to make sure [From.Liege.GetSheHe] believes I had nothing to do with it!;Mes hommes ont réussi à tuer [From.Get_le_TitledName] ! [From.Liege.Get_Le_TitledName] ne pourra plus rien contre moi, mais je vais faire comme s'il ne s'était rien passé et envoyer mes condoléances pour me dédouaner de toute cette affaire !;Meine Getreuen schafften es, [From.GetTitledName], zu töten! [From.Liege.GetTitledName] wird mich nie schnappen, aber ich sollte vortäuschen, es sei nichts passiert. Ich sollte mein Beileid übermitteln lassen, um sicherzugehen, dass [From.Liege.GetSheHe] auch glaubt, dass ich nichts damit zu tun hatte!;;¡Mis fieles hombres lograron matar a [From.GetTitledName]! [From.Liege.GetTitledName] nunca me pillará, pero tengo que disimular y enviarle mis condolencias para que [From.Liege.GetSheHe] no crea que tengo algo que ver en todo esto.;;;;;;;;;x
EVTOPTA20443;Splendid!;Magnifique !;Bestens!;;¡Magnífico!;;;;;;;;;x

EVTDESC20444;My [Root.GetTitle], I am sorry to report the death of your Marshal. My condolences.\n\nYour humble [From.GetTitle]\n[From.GetTitledName];M[Root.GetOnA] [Root.GetLordLady],\nJe suis au regret de vous annoncer la mort de votre maréchal. Mes plus sincères condoléances.\n\nVotre humble [From.GetTitle]\n[From.GetTitledName];Mein [Root.GetTitle], mit Trauer melde ich Euch den Tod Eures Marschalls. Mein herzliches Beileid.\n\nEuer ergebener [From.GetTitle]\n[From.GetTitledName];;Mi [Root.GetTitle], lamento mucho la muerte de su mariscal. Mis condolencias.\n\nSu humilde [From.GetTitle]\n[From.GetTitledName];;;;;;;;;x
EVTOPTA20444;Okay;OK;Okay;;Vale.;;;;;;;;;x

EVTTOOLTIP20441;[From.GetTitledName] is ambushed;[From.Get_Le_TitledName] est victime d'une embuscade.;[From.GetTitledName] wird aus dem Hinterhalt überfallen;;[From.GetTitledName] es víctima de una emboscada.;;;;;;;;;x
EVTTOOLTIP20442;My liege must be informed of this!;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige doit en être informé[Root.Liege.Get_E] !;Mein Lehnsherr muss davon erfahren!;;¡Mi señor debe saberlo!;;;;;;;;;x
EVTTOOLTIP20443;[Root.GetTitledName] is killed by the attackers;[Root.Get_Le_TitledName] a été tué[Root.Get_E] par les attaquants.;[Root.GetTitledName] wird von den Angreifern getötet;;Los agresores han matado a [Root.GetTitledName].;;;;;;;;;x
EVTTOOLTIP20444;[Root.GetTitledName] sends a letter to [From.Liege.GetTitledName];[Root.Get_Le_TitledName] envoie une lettre [From.Liege.Get_au_TitledName].;[Root.GetTitledName] schickt einen Brief an [From.Liege.GetTitledName];;[Root.GetTitledName] envía una carta a [From.Liege.GetTitledName].;;;;;;;;;x
