orthodox_DESC;The Orthodox Church is the other main branch of Chalcedonian Christianity that up until 1054 was formally united with the Catholic Church, although the political division can be traced back to the crowning of Charlemagne as Roman Emperor by Pope Leo III in 800, which did not sit well with the Emperor in Constantinople. The nominal head of the Orthodox Church is the Ecumenical Patriarch of Constantinople, but he does not interfere in the affairs of other Patriarchs.;L'Église orthodoxe est une autre des principales branches du christianisme chalcédonien. Jusqu'en 1054, elle était officiellement unifiée à l'Église catholique malgré des divisions politiques dont les traces remontent au couronnement de Charlemagne comme empereur romain par le pape Léon III en 800, chose qui n'a point plu à l'empereur de Constantinople. Le chef officiel de l'Église orthodoxe est le patriarche oecuménique de Constantinople, mais il n'intervient pas vraiment dans les affaires des autres patriarches.;Die Orthodoxe Kirche ist ein weiterer Hauptzweig des Chalzedonischen Christentums und war bis 1054 formal mit der Katholischen Kirche vereint, obwohl die politische Abspaltung zurückverfolgt werden kann bis zur Krönung von Karl dem Großen zum Römischen Kaiser durch Papst Leo III. im Jahr 800, die dem Kaiser in Konstantinopel nicht allzu sehr zusagte. Das formelle Oberhaupt der Orthodoxen Kirche ist der Ökumenische Patriarch von Konstantinopel, aber er mischt sich nicht in die Angelegenheiten anderer Patriarchen ein.;;La Iglesia Ortodoxa es la otra rama principal del Cristianismo de Calcedonia, que hasta 1054 estaba unido formalmente a la Iglesia Católica, aunque la división política se remonta a la coronación de Carlomagno como Emperador Romano por el Papa León III en el año 800, que no se llevaba bien con el emperador de Constantinopla. El jefe oficial de la Iglesia Ortodoxa es el Patriarca Ecuménico de Constantinopla, pero no se inmiscuye en los asuntos de los demás Patriarcas.;;;;;;;;;x

bogomilist;Bogomilist;bogomile;Bogomilisch;;Bogomilo;;;;;;;;;x
bogomilist_DESC;Bogomilism is an originally Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christianity. Bogomilists believe that the world was created by an evil demiurge - the Devil.;Le bogomilisme est à l'origine une hérésie chrétienne orthodoxe incluant des éléments gnostiques rejetant la hiérarchie ecclésiale et prêchant le retour au christianisme primitif. Les bogomiles croient que le monde fut crée par un démiurge démoniaque : le Diable.;Die Bogomilen sind eine orthodoxe Ketzerei mit gnostischen Elementen. Sie lehnen die kirchliche Hierarchie gänzlich ab und arbeiten stattdessen auf eine Rückkehr zur frühen Form des Christentums hin. Sie glauben, dass die Welt vom Teufel geschaffen ist.;;El bogomilismo es una herejía de los cristianos ortodoxos combinada con elementos gnósticos que rechazan totalmente la jerarquía eclesiástica y predican la vuelta al cristianismo original. Los bogomilistas creen que el mundo fue creado por un demiurgo malvado, el Diablo.;;;;;;;;;x

monothelite;Monothelite;monothélite;Monothelitisch;;Monotelista;;;;;;;;;x
monothelite_DESC;Monothelitism is a Christological doctrine that was declared heretical in 681. Monothelites attempted to develop the Miaphysite and Monophysite stance on the single nature of Christ by saying he had both a human and a divine nature but only a single will. The nominal head of the Monothelite Church is the Monothelite Patriarch of Antioch.;Le monothélisme est une doctrine christologique qui a été déclarée hérétique en 681. Les monothélites tentent de développer les énoncés miaphysite et monophysite sur la nature unique du Christ en déclarant qu'il avait une nature à la fois humaine et divine, mais une seule volonté. Le chef officiel de l'Église monothélite est le patriarche d'Antioche.;Der Monothelitismus ist eine christologische Doktrin, die im Jahre 681 als ketzerisch erklärt wurde. Monotheliten versuchten, die miaphysitischen und monophysitischen Ansichten zu vereinen, indem sie erklärten, dass Christus eine göttliche und eine menschliche Natur habe, aber nur einen Willen. Das offizielle Oberhaupt ist der Monothelitische Patriarch von Antiochia.;;El Monotelismo es una doctrina Cristológica que fue declarada como herética el año 681. Los Monotelitas intentaron desarrollar las posturas  Miafisita y Monofisista de la naturaleza única de Cristo diciendo que tenía tanto una naturaleza divina como humana, pero una única voluntad. El jefe nominal de la Iglesia Monotelita es el Patriarca Monotelita de Antioquía.;;;;;;;;;x

iconoclast;Iconoclast;iconoclaste;Ikonoklastisch;;Iconoclasta;;;;;;;;;x
iconoclast_DESC;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors.;L'hérésie iconoclaste empesta l'Empire byzantin en de nombreuses vagues. Les iconoclastes croient que les images religieuses (icônes et représentation des figures sacrées en particulier) constituent une forme d'idolâtrie et doivent être interdites. À leur apogée, les iconoclastes – parfois exhortés par les empereurs iconoclastes – détruisirent d'innombrables décorations et icônes.;Die Bilderstürmer bedrängten das Byzantinische Reich in mehereren Wellen. Sie glauben, dass religiöse Bildnisse - insbesondere Ikonen und Bilder von heiligen Figuren - Götzendienst sind und daher verboten werden müssen. Durch ihren religiösen Eifer wurden unzählige Kunstwerke und Ikonen zerstört, zum Teil mit dem Wohlwollen gleichgesinnter Kaiser.;;La herejía iconoclasta recorrió el Imperio Bizantino en múltiples oleadas. Los iconoclastas consideran que las imágenes religiosas, los iconos y representaciones de los santos en particular, eran una forma de idolatría y debían ser prohibidas. En sus mejores días los iconoclastas destruyeron innumerables iconos y decoraciones religiosas, a veces inducidos por Emperadores iconoclastas.;;;;;;;;;x

paulician;Paulician;paulicienne;Paulizianismus;;Pauliciano;;;;;;;;;x
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia. In the game, it is treated as an Orthodox heresy.;Le paulicianisme est une hérésie gnostique chrétienne influencée par le manichéisme et qui trouve ses origines en Arménie. En jeu, le paulicianisme est traité comme une hérésie orthodoxe.;Der Paulizianismus ist eine christlich-gnostische Häresie, beeinflusst vom Manichäismus, mit Ursprüngen in Armenien. Im Spiel wird er als orthodoxe Ketzerei behandelt.;;El Paulicianismo es una herejía gnóstica cristiana influenciada por el Maniqueísmo, de origen armenio. En el juego, se trata como una herejía ortodoxa.;;;;;;;;;x

miaphysite;Miaphysite;miaphysite;Miaphysitisch;;Miafisita;;;;;;;;;x
miaphysite_DESC;Miaphysite Christianity encompasses the Coptic Church and the Armenian Apostolic Church. Miaphysites stress that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Miaphysite Church is the Pope of Alexandria.;Le christianisme miaphysite englobe l'Église copte et l'Église apostolique arménienne. Les miaphysites insistent sur le fait que le Christ n'avait qu'une seule nature, à la fois humaine et divine. Cette position les a fait se séparer de la principale branche du christianisme après le concile de Chalcédoine en 451. Bien qu'ils ne soient pas vus comme de véritables hérétiques par les chrétiens orthodoxes et catholiques, cette distinction est mince. Le chef officiel de l'Église miaphysite est le pape d'Alexandrie.;Das Miaphysitische Christentum umfasst die Koptische Kirche und die Armenische Apostolische Kirche. Miaphysiten betonen, dass Christus nicht nur eine Natur hatte, sondern eine menschliche und eine göttliche. Diese Haltung hat sie von den Hauptzweigen des Christentums, nach dem Konzil von Chalzedon im Jahre 451, abgespalten. Obschon nicht direkt als Ketzer von Orthodoxer und Katholischer Kirche betrachtet, ist die Trennlinie schmal. Das formelle Oberhaupt ist der Papst von Alexandria.;;El Cristianismo Miafisita abarca a la Iglesia Copta y a la Iglesia Apostólica Armenia. Los Miafisitas recalcan que Cristo sólo tenía una única naturaleza, que era ambas, humana y divina. Esta postura les separó de la rama principal del Cristianismo tras el concilio de Calcedonia en el año 451. Aunque no están vistos como completos herejes por los Cristianos Ortodoxos y Católicos, es una sutil distinción. El jefe nominal de la Iglesia Miafisita es el Papa de Alejandría.;;;;;;;;;x

monophysite;Monophysite;monophysite;Monophysitisch;;Monofisita;;;;;;;;;x
monophysite_DESC;Monophysitism is an early Christian heresy which states that Christ had but a single nature. This is the opposite of the Nestorian position where Christ has two separate natures - one divine and one human. Closely related to Miaphytism, Monophysites are regarded as a Miaphysite heresy in-game. The nominal head of the Monophysite Church is the Monophysite Pope of Alexandria.;Le monophysitisme est une hérésie apparue très tôt dans le christianisme. Contrairement au nestorianisme qui voit dans le Christ deux natures séparées, divine et humaine, les monophysites croient que le Christ possède une nature unique. Le monophysisme est très proche du miaphysisme et est considéré dans le jeu comme une hérésie du miaphysisme. Le chef officiel de l'Église monophysite est le pape monophysite d'Alexandrie.;Der Monophysitismus ist eine frühchristliche Ketzerei, die darlegt, dass Christus nur eine Natur hatte. Dies ist das Gegenstück zur Nestorianischen Position, laut der Christus zwei "Naturen" hatte - eine göttliche und eine menschliche. Dem Miaphysitismus nahestehend, wird Monophysitismus als Miaphysitische Ketzerei im Spiel behandelt. Das offizielle Oberhaupt ist der Monophysitische Papst von Alexandria.;;El Monofisismo es una temprana herejía Cristiana que afirma que Cristo sólo tenía una naturaleza. Esto es lo contrario a la opinión Nestoriana donde Cristo tiene dos naturalezas distintas: una divina y una humana. En estrecha relación con el Miafisismo, los Monofisistas son considerados como una herejía Miafisista dentro del juego. El jefe nominal de la Iglesia Monofisista es el Papa Monofisista de Alejandría.;;;;;;;;;x

nestorian;Nestorian;nestorienne;Nestorianisch;;Nestoriano;;;;;;;;;x
nestorian_DESC;Nestorianism is an early Christian branch which states that Christ has two separate natures - one divine and one human. This is the opposite of the Monophysite position where Christ has but a single nature. The nominal head of the Nestorian Church is the Patriarch of the East.;Le nestorianisme est une branche du christianisme primitif qui professe que le Christ possède deux natures séparées, l'une divine et l'autre humaine. Elle est à l'opposé de la position monophysite pour laquelle le Christ possède une seule et unique nature. La personne à la tête de l'Église nestorienne est le patriarche d'Orient.;Der Nestorianismus ist ein frühchristlicher Zweig, welcher glaubt, dass Christus zwei Naturen hat - eine heilige und eine menschliche. Dies ist das Gegenteil des Monophysitischen Glaubens, laut dem Christus nur eine Natur hat. Das nominelle Oberhaupt ist der Patriarch des Ostens.;;El Nestorianismo es una rama temprana del cristianismo que proclama que Cristo tenía dos naturalezas separadas - una divina y una humana. Es lo contrario al monofisismo, en el que Cristo solo tenía una naturaleza. La cabeza nominal de la Iglesia Nestoriana es el Patriarca del Este.;;;;;;;;;x

messalian;Messalian;messalienne;Messalianismus;;Mesaliano;;;;;;;;;x
messalian_DESC;The Messalians, or Euchites ("Those who Pray"), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy.;Les messaliens, ou euchites (''ceux qui prient'') sont une secte hérétique issue du christianisme qui trouve ses origines en Mésopotamie, influencée par des fois dualistiques comme le zoroastrisme. Les messaliens croient que Dieu peut être perçu par les cinq sens et que cette perception est nécessaire pour atteindre la perfection. Chacun est né avec un démon intérieur et seule la prière intense permet de le chasser. Ils croient également que Lucifer est le fils aîné de Dieu et qu'il est une force bénéfique. Pour eux, l'inceste est sacré car il a été pratiqué par les enfants d'Adam et Eve. Ils ne possèdent ni rites officiels ni structure hiérarchique stricte.;Die Messalianiten oder Euchiten ("Jene, die beten") sind eine christlich-ketzerische Sekte mit Ursprung in Mesopotamien, beeinflusst von dualistischen Glauben wie dem Zoroastrianismus. Messalianiten glauben, dass Gott durch körperliche Sinne wahrgenommen werden kann und dass dies notwendig ist, um Vollkommenheit zu erreichen. Jede Person wird mit einem inneren Dämon geboren und nur intensive Gebete können ihn vertreiben. Sie glauben außerdem, dass Luzifer ein Sohn und eine Kraft Gottes ist und dass Inzest geheiligt ist, da die Kinder von Adam und Eva desgleichen taten. Sie haben keine formellen Riten und keine echte Kirchenhierarchie.;;Los Mesalianos, o Euchitas ('quienes no rezan'), son una secta herética cristiana originaria de Mesopotamia, influenciada por fes dualistas como el Zoroastrismo. Los Mesalianos creen que dios puede percibirse por los sentidos carnales, y que esa percepción es necesaria para la perfección. Cada persona nace con un demonio interior, y sólo con intensa oración puede expulsarse. También creen que Lucifer es el hijo mayor de Dios y una fuerza del bien, y que el incesto es sagrado pues lo practicaron los hijos de Adán y Eva. No tienen ritos formales ni jerarquía eclesiástica.;;;;;;;;;;;x
messalian_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;§Y*§! Les femmes peuvent occuper tous les postes du Conseil\n§Y*§! Les femmes peuvent mener des armées au combat;§Y*§! Frauen können alle Ratspositionen bekleiden\n§Y*§! Frauen können Armeen befehligen;;§Y*§! Las mujeres pueden ocupar todos los puestos de consejero\n§Y*§!Las mujeres pueden dirigir ejércitos;;;;;;;;;x



muslim;Muslim;musulman;Muslimisch;;Musulmán;;;;;;;;;x

sunni;Sunni;sunnite;Sunnitisch;;Suní;;;;;;;;;x
sunni_DESC;Sunni Islam is by far the most widespread form of the religion. It is the more orthodox of the two main branches of Islam but the origin of the Sunni-Shia schism was largely political in nature. The Sunnis accepted the first Caliph, Abu Bakr, whereas the Shiites rejected him in favor of Ali. Sunni Muslims hold strictly to the Sunnah - the sayings and actions of Muhammad - as collected in the Hadiths, which form the basis for Sunni jurisprudence. The formal head of Sunni Islam is the (Sunni) Caliph.;Le sunnisme est de loin la religion la plus répandue. C'est la plus orthodoxe des deux branches de l'islam bien que le schisme sunnisme-chiisme est d'abord d'origine politique. Les sunnites reconnaissent le premier calife, Abu Bakr, alors que les chiites le rejettent en faveur d'Ali. Les musulmans sunnites s'en tiennent strictement à la Sunna (les dires et les actes de Mahomet) qui est la base de la jurisprudence des sunnites. Le chef officiel de l'islam sunnite est le calife (sunnite).;Der Sunni-Islam ist bei weitem die verbreitetste Form der Religion. Es ist der orthodoxere der beiden Hauptzweige des Islam, aber der Ursprung des Sunni-Shia Schisma war größtenteils politischer Natur. Die Sunniten akzeptierten den ersten Kaliphen Abu Bakr, wohingegen die Shiiten Ali bevorzugen. Sunnitische Muslime halten sich strikt an die Sunnah - die Sprüche und Taten Mohammeds - wie sie in den Hadithen gesammelt wurden, die die Basis sunnitischer Rechtsprechung bilden. Das offizielle Oberhaupt ist der sunnitische Kaliph.;;El Islam Sunita es por mucho la forma más extendida de la religión. Es la más ortodoxa de las dos ramas principales del Islam, pero el origen del cisma entre Sunitas y Chiítas fue principalmente político. Los Sunitas aceptaron al primer Califa, Abu Bakr, mientras que los Chiítas lo rechazaron, favoreciendo a Alí. Los Musulmanes Sunitas se ciñen estrictamente a la Sunnah (los dichos y hechos de Mahoma) recogidos en los Hadices, que forman la base de la jurisprudencia Suní. El jefe formal del Islam Suní es el Califa (Suní).;;;;;;;;;x

zikri;Zikri;zikrie;Zikrisch;;Zikri;;;;;;;;;x
zikri_DESC;Zikri Islam is a Sunni heresy in-game. Zikris are the followers of the Imam Akhar Zaman Hazrat Syed Muhammad Jaunpuri (Imam Mehdi.);Le zikrisme est dans le jeu une hérésie sunnite. Les zikris suivent l'imam Akhar Zaman Hazrat Syed Muhammad Jaunpuri (Imam Mehdi).;Der Zikri-Islam ist im Spiel eine sunnitische Ketzerei. Zikris sind die Jünger des Imams Akhar Zaman Hazrat Syed Muhammad Jaunpuri (Imam Mehdi).;;El Islam Zikri es una herejía Sunita en el juego. Los Zikris son los seguidores del Imán Zaman Akhar Hazrat Syed Muhammad Jaunpuri (Imán Mehdi).;;;;;;;;;x

yazidi;Yazidi;yézidie;Yazidisch;;Yazidí;;;;;;;;;x
yazidi_DESC;The Yazidi religion is properly a distinct religion but is treated as a Sunni heresy in the game. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan.;La religion yézidie est une religion distincte traitée comme hérésie sunnite dans le jeu. Les yézidis croient que Dieu a crée le monde et y a laissé sept anges pour l'administrer. Leur chef est l'ange-paon, Malek Taous ou Chaïtan : un être habituellement identifié par les chrétiens et les musulmans comme étant Satan.;Der Yazidi-Islam ist in Wirklichkeit eine separate Religion, wird im Spiel jedoch als eine Ketzerei des Sunni-Islam dargestellt. Seine Anhänger glauben, dass Gott die Welt aus einer Perle erschuf und dann sieben heilige Engel damit beauftragte, die Welt zu versorgen.;;La religión Yazidí es propiamente en una religión por si misma, pero es tratada como una herejía suní por el juego. Los Yazidíes creen que Dios creó el mundo y dejó a siete ángeles al mando, liderados por el Ángel del Pavo Real, Malek Taus o Shaytan, un ser muchas veces identificado por los cristianos y musulmanes como Satán.;;;;;;;;;x

shiite;Shia;chiite;Schiitisch;;Chía;;;;;;;;;x
shiite_DESC;Shi'a is the short form of Shi'atul Ali, or the Party of Ali, which rejected the first Caliph Abu Bakr in favor of Ali. Shi'a Islam is the less orthodox of the two main branches of Islam and accepts the idea of intercession by dead Imams on behalf of the living. The formal head of Shi'a Islam is the (Shiite) Caliph.;L'origine du chiisme vient de Shi'atul Ali, les partisans d'Ali, ceux qui ont rejeté le premier calife Abu Bakr en faveur d'Ali. Le chiisme est la moins orthodoxe des deux branches islamiques, acceptant l'intercession des imams morts au nom des survivants. Le chef officiel de l'islam chiite est le calife (chiite).;Shi'a ist die Abkürzung von Shi'atul Ali oder die Partei von Ali, die den ersten Kaliph Abu Bakr abgelehnt und Ali bevorzugt hat. Der Shiitischer Islam ist der weniger orthodoxe Zweig der beiden Hauptströme des Islam und akzeptiert die Idee der Fürsprache toter Imame für die Lebenden. Das offizielle Oberhaupt des Shi'a Islam ist der schiitische Kaliph.;;Chií es la abreviación de Shi'atul Alí, o el Partido de Alí, que rechazó al primer califa Abu Bakr en favor de Alí. El Islam Chiíta es la menos ortodoxa de las dos ramas principales del Islam y acepta la idea de interceder por imanes muertos en nombre de los vivos. El jefe formal del Islam Chiíta es el Califa (Chiíta).;;;;;;;;;x

qarmatian;Qarmatian;qarmate;Qarmatisch;;Cármata;;;;;x
qarmatian_DESC;The Qarmatians were a heterodox branch of Shi’a Islam that combined elements of Zoroastrianism. They rejected the mainstream succession of the Shi’ite rulers, and instead established a theocratic republic in eastern Arabia in the 10th Century. They are remembered for their brutal sacking of Mecca and rejection of the Hajj pilgrimage.;Les qarmates étaient une branche hétérodoxe de l’islam chiite qui combinait des éléments du zoroastrisme. Ils ont rejeté la succession traditionnelle des dirigeants chiites et ont créé une république théocratique en Arabie orientale au 10ème siècle. On se souvient d’eux pour le pillage brutal de la Mecque et le rejet du pèlerinage du Hadj.;Die Qarmaten waren ein heterodoxer Zweig des schiitischen Islam, der Elemente des Zoroastrismus verband. Sie lehnten die Nachfolgeregelung der schiitischen Herrscher ab und gründeten stattdessen im 10. Jahrhundert eine theokratische Republik in Ostarabien. Sie werden für ihre brutale Plünderung von Mekka und die Ablehnung des Hadsch in Erinnerung bleiben.;;Los cármatas eran una rama heterodoxa del islam chií que combinaba elementos del zoroastrismo. Rechazaban la sucesión tradicional de los gobernantes chiíes y en su lugar establecieron una república teocrática en el este de Arabia en el siglo X. Se les recuerda por su brutal saqueo de La Meca y su rechazo a la peregrinación del hach.;;;;;x

druze;Druze;druze;Drusisch;;Druso;;;;;;;;;x
druze_DESC;The Druze religion originated in the Ismaili sect of Shi'a Islam, but has many features of gnosticism and neoplatonism in addition to those of the Abrahamic religions.;La religion druze, qui tire son origine de l'ismaélisme, secte de l'islam chiite, a plusieurs caractéristiques communes au gnosticisme, au néo-platonisme ainsi qu'aux religions abrahamiques.;Die drusische Religion hat ihren Ursprung in der Ismailitischen Sekte des Shi"a Islam, besitzt aber zusätzlich viele Eigenheiten des Gnostizismus und Neoplatonismus.;;La religión Drusa se originó en la secta Ismaelita del Islam Chií, pero tiene muchas características del gnosticismo, el neoplatonismo, además de las religiones Abrahámicas.;;;;;;;;;x

hurufi;Hurufi;hurufite;Hurufisch;;Hurufi;;;;;;;;;x
hurufi_DESC;The Hurufi faith is a mystical, kabbalistic, Sufi sect within Islam, regarded as a heresy.;La foi hurufite celle d'une secte mystique et kabbalistique soufie que l'Islam considère comme une hérésie.;Der Hurufismus ist eine mystische, kabbalistische Sekte im Islam.;;La fe hurufí es una secta  mística, kabalística y sufí dentro del Islam, es considerada una herejía.;;;;;;;;;x

ibadi;Ibadi;ibadite;Ibadisch;;Ibadí;;;;;;;;;x
ibadi_DESC;Ibadism is distinct from both Shi'a and Sunni Islam. Ibadis believe that souls condemned to Hell will stay there forever. Ibadis also reject the notion that Muslims will get to see Allah on the Day of Judgment.;L'ibadisme est distinct de l'islam chiite et sunnite. Les ibadites croient que les âmes condamnées à l'Enfer y resteront à jamais. Ils rejettent aussi la notion que les musulmans verront Allah au jour du Jugement dernier.;Der Ibadi-Islam unterscheidet sich sowohl vom Shia-Islam als auch vom Sunni-Islam. Die Ibadi glauben dass die Seelen in der Hölle dort für die Ewigkeit bleiben. Sie glauben auch nicht, dass Muslime am Tag des Letzten Gerichtes Allah sehen werden.;;El Ibadismo es distinto tanto del islamismo suní como del chií. Los ibadíes creen que las almas están condenadas al Infierno y estarán allí por toda la eternidad. Los ibadías también rechazan que los musulmanes verán a Alá en el Día del Juicio.;;;;;;;;;x

kharijite;Kharijite;kharidjite;Charidschiten;;Jariyismo;;;;;;;;;x
kharijite_DESC;The Kharijites are a branch of Islam that was marginalized and repressed early in the 7th century. They believe that any unrepentant sinner is a Kafir, also rejecting the notion of infallibility of the Caliphs.;Les kharidjites forment une branche de l'islam marginalisée et opprimée dès le début du 7e siècle. D'après les kharidjites, les pécheurs non repentants sont des Kafirs, et rejettent également la notion d'infaillibilité des califes.;Die Charidschiten sind eine Splittergruppe des Islam, die im frühen 7. Jahrhundert ausgegrenzt und unterdrückt wurde. Ihrem Glauben nach ist jeder unreuige Sünder ein Kafir, der auch die Lehre von der Unfehlbarkeit des Kalifen ablehnt.;;Los Jariyitas son una rama del Islam que fue marginada y reprimida a principios del siglo VII. Creen que un pecador impenitente es un Kafir (Infiel), también rechazan la condición de infalibilidad de los califas.;;;;;;;;;x



jewish_group;Israelite;israélite;Israelitisch;;Israelita;;;;;;;;;x

jewish;Jewish;juive;Jüdisch;;Judío;;;;;;;;;x
