# GetDharmic
string_Dharmic;Dharmic;dharmique;Dharmisch;;dhármico;;;;;;;;;x
string_jew_random_like;[jewish_group.GetGroupName];;;;los [jewish_group.GetGroupName]s;;;;;;;;;x

# GetChristName
string_christ;Christ;;Christus;;Cristo;;;;;;;;;x
string_christ_random;[catholic.GetHighGodName];;;;;;;;;;;;;x

# GetDevilWorshiperRecruitBlockDesc
cold_ones_recruit_block_tooltip;[GetColdOnesRecruitBlockDesc];;;;;;;;;;;;;x
cold_ones_recruit_block_tooltip_real;Has not been approached by the Cold Ones before.;N'a pas déjà été approché par les Sangs Froids.;Wurde noch nicht von den Kalten angesprochen.;;Nunca ha tenido contacto con Los Gélidos.;;;;;;;;;x
cult_of_kali_recruit_block_tooltip;[GetKaliRecruitBlockDesc];;;;;;;;;;;;;x
cult_of_kali_recruit_block_tooltip_real;Has not been approached by the Cult of Kali before.;N'a pas déjà été approché par les Adeptes de Kâli Purusha.;Wurde noch nicht vom Kult der Kali angesprochen.;;Nunca ha tenido contacto con los Adoradores de Kali.;;;;;;;;;x
devil_worshipers_recruit_block_tooltip_random;Has not been approached by your Society before\n;N'a pas été approché par votre société auparavant\n;Wurde noch nicht von Eurem Zirkel kontaktiert.\n;;Nunca ha tenido contacto con tu sociedad.\n;;;;;;;;;x
devil_worshiper_desc_random;Those who serve [Root.Religion.GetRandomEvilGodNameCap] hide in our midst, dedicating their depravities and perfidies to nefarious gods and spirits. Every transgression is a hymn, every murder a roar of defiance against the word of [Root.Religion.GetHighGodName]. Such dark sacraments are rewarded handsomely – cultists are said to be gifted with unnatural lifespans and all manner of otherworldly powers.;Ceux qui servent le [Root.Religion.GetRandomEvilGodName] se cachent parmi nous et consacrent leurs dépravations et perfidies aux dieux et esprits infâmes. Chaque transgression est un hymne, chaque meurtre un rugissement de défi contre la parole [Root.Get_du_HighGod]. Ces sombres sacrements sont récompensés grassement – les adeptes sont dits dotés d'une durée de vie anormale et de pouvoirs démoniaques.;Diejenigen, die [Root.Religion.GetRandomEvilGodNameCap] dienen, verstecken sich in unserer Mitte und widmen ihre perfider Verderbtheit ruchlosen Göttern und Geistern. Jede Sünde ist ihnen Hymnus, jeder Mord ein Aufschrei gegen das Wort von [Root.Religion.GetHighGodName]. Solch dunkle Sakramente werden fürstlich belohnt. So heißt es, dass er Hexen ein unnatürlich langes Leben schenkt und ihnen alle möglichen dämonischen Kräfte verleiht.;;Aquellos que sirven al [Root.Religion.GetRandomEvilGodNameCap] se ocultan entre nosotros, dedicando sus depravaciones y perfidias a sus nefastos dioses y espíritus. Cada transgresión es un himno, cada asesinato es un rugido de desafío contra la palabra de [Root.Religion.GetHighGodNameCap]. Esos sacramentos oscuros se ven recompensados generosamente: se dice que los miembros del culto tienen una vida antinatural y toda clase de poderes sobrenaturales.;;;;;;;;;x
plaguebringers_recruit_block_tooltip;[GetPlaguebringersRecruitBlockDesc];;;;;;;;;;;;;x
plaguebringers_recruit_block_tooltip_real;Has not been approached by the Plaguebringers before.;N'a pas déjà été approché par les Porteurs de la Peste.;Wurde noch nicht von den Seuchenbringern angesprochen.;;Nunca ha tenido contacto con los Portadores de la Plaga.;;;;;;;;;x
satanists_recruit_block_tooltip;[GetLucifersOwnRecruitBlockDesc];;;;;;;;;;;;;x
satanists_recruit_block_tooltip_real;Has not been approached by Lucifer's Own before\n;N'a pas déjà été approché par les Adeptes de Lucifer\n;Wurde noch nicht vom Zirkel der "Kinder Luzifers" kontaktiert.\n;;Nunca ha tenido contacto con los siervos de Lucifer.\n;;;;;;;;;x
trollcrafters_recruit_block_tooltip;[GetHelRecruitBlockDesc];;;;;;;;;;;;;x
trollcrafters_recruit_block_tooltip_real;Has not been approached by the Fellowship of Hel before.;N'a pas déjà été approché par la Confrérie de Hel.;Wurde noch nicht von den Gefährten von Hel kontaktiert.;;Nunca ha tenido contacto con la hermandad de Hela.;;;;;;;;;x

# GetBrahminDesc
brahmin_desc_real;This [GetGirlWomanBoyMan] belongs to the Brahmin caste. It is the Indian caste of priests and scholars, highest in the caste hierarchy.;Ce personnage appartient à la caste des brahmanes. En Inde, c'est la caste des prêtres et des érudits, la plus haute caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Brahmanen an. Es handelt sich dabei um die indische Kaste der Priester und Gelehrten, die in der Kastenhierarchie ganz oben steht.;;Este personaje pertenece a la casta de los brahmanes. Es la casta hindú de sacerdotes y eruditos, la más alta en la jerarquía de castas.;;;;;;;;;x
brahmin_desc_random;This [GetGirlWomanBoyMan] belongs to the Brahmin caste. It is the [hindu.GetName] caste of priests and scholars, highest in the caste hierarchy.;Ce personnage appartient à la caste des brahmanes. C'est la caste [hindu.GetName] des prêtres et des érudits, la plus haute caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Brahmanen an. Es handelt sich dabei um die [hindu.GetName]e Kaste der Priester und Gelehrten, die in der Kastenhierarchie ganz oben steht.;;Este personaje pertenece a la casta de los brahmanes. Es la casta [hindu.GetName] de sacerdotes y eruditos, la más alta en la jerarquía de castas.;;;;;;;;;x

# GetKshatriyaDesc
kshatriya_desc_real;This [GetGirlWomanBoyMan] belongs to the Kshatriya caste. It is the Indian caste of warriors and kings, second in the caste hierarchy.;Ce personnage appartient à la caste des kshatriya. En Inde, c'est la caste des guerriers et des rois, la deuxième caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Kshatriya an. Es handelt sich dabei um die indische Kaste der Krieger und Könige, die in der Kastenhierarchie an zweiter Stelle steht.;;Este personaje pertenece a la casta de Kshatriya. Es la casta hindú de guerreros y reyes, segunda en la jerarquía de castas.;;;;;;;;;x
kshatriya_desc_random;This [GetGirlWomanBoyMan] belongs to the Kshatriya caste. It is the [hindu.GetName] caste of warriors and kings, second in the caste hierarchy.;Ce personnage appartient à la caste des kshatriya. C'est la caste [hindu.GetName] des guerriers et des rois, la deuxième caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Kshatriya an. Es handelt sich dabei um die [hindu.GetName] Kaste der Krieger und Könige, die in der Kastenhierarchie an zweiter Stelle steht.;;Este personaje pertenece a la casta de Kshatriya. Es la casta [hindu.GetName] de guerreros y reyes, segunda en la jerarquía de castas.;;;;;;;;;x

# GetVaishyaDesc
vaishya_desc_real;This [GetGirlWomanBoyMan] belongs to the Vaishya caste. It is the Indian caste of traders and artisans, third in the caste hierarchy.;Ce personnage appartient à la caste des vaishya. En Inde, c'est la caste des marchands et des artisans, la troisième caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Vaishya an. Es handelt sich dabei um die Kaste der Händler und Handwerker, die in der Kastenhierarchie an dritter Stelle steht.;;Este personaje pertenece a la casta Vaishya. Es la casta hindú de comerciantes y artesanos, tercera en la jerarquía de castas.;;;;;;;;;x
vaishya_desc_random;This [GetGirlWomanBoyMan] belongs to the Vaishya caste. It is the [hindu.GetName] caste of traders and artisans, third in the caste hierarchy.;Ce personnage appartient à la caste des vaishya. C'est la caste [hindu.GetName] des marchands et des artisans, la troisième caste dans la hiérarchie.;Dieser Charakter gehört der Kaste der Vaishya an. Es handelt sich dabei um die [hindu.GetName]e Kaste der Händler und Handwerker, die in der Kastenhierarchie an dritter Stelle steht.;;Este personaje pertenece a la casta Vaishya. Es la casta [hindu.GetName] de comerciantes y artesanos, tercera en la jerarquía de castas.;;;;;;;;;x
