# Unused and/or EU3 holdovers ?

CH_LEARNING_CHANGE;Learning $DIRECTION$ by $CHANGE$;Érudition $DIRECTION$ de $CHANGE$;Bildung $DIRECTION$ um $CHANGE$;;Aprendizaje: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_LOSE_FRIEND;Lost the friendship with $WHO$.;N'est plus ami avec $WHO$.;Verlor die Freundschaft zu $WHO$.;;Rompe su amistad con $WHO$.;Ha perso l'amicizia di $WHO$.;;;;;;;;x
CH_LOST_RIVAL;Reconciled with $WHO$.;S'est réconcilié(e) avec $WHO$.;Versöhnte sich mit $WHO$.;;Se reconcilia con $WHO$.;Ha fatto pace con $WHO$.;;;;;;;;x
CH_LOST_TITLE;No longer $TITLE$;N'est plus $TITLE$;Nicht mehr $TITLE$;;Ya no hay $TITLE$;;;;;;;;;x
CH_LOST_TRAIT;Lost '$TRAIT$';N'a plus le trait '$TRAIT$';Verlor "$TRAIT$";;Pierde el rasgo '$TRAIT$';Ha perso '$TRAIT$';;;;;;;;x
CH_LOYALTY_CHANGE;Loyalty $DIRECTION$ by $CHANGE$;Loyauté $DIRECTION$ de $CHANGE$;Loyalität $DIRECTION$ um $CHANGE$;;$DIRECTION$ $CHANGE$ de Lealtad;Lealtà $DIRECTION$ di $CHANGE$;;;;;;;;x
CH_MARRIED;Married $WHO$;Est marié(e) à $WHO$;Heiratete $WHO$;;Se casa con $WHO$;Ha sposato $WHO$;;;;;;;;x
CH_MARTIAL_CHANGE;Martial $DIRECTION$ by $CHANGE$;Martial $DIRECTION$ de $CHANGE$;Kriegskunst $DIRECTION$ um $CHANGE$;;Marcial: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_NBATTLE_RESULT_LONG;He had §Y$US$§! ships and faced §Y$THEM$§! under §Y$ENEMY$§!. He lost §Y$OUR_LOSSES$§!, while inflicting §Y$THEIR_LOSSES$§! on the enemy.;Il avait §Y$US$§! navires et a affronté §Y$THEM$§! sous §Y$ENEMY$§!. Il a perdu §Y$OUR_LOSSES$§!, tout en infligeant §Y$THEIR_LOSSES$§! à l'ennemi.; Er hatte §Y$US$§! Schiffe und stand §Y$THEM$§! unter §Y$ENEMY$§! gegenüber. Er verlor §Y$OUR_LOSSES$§!, während er dem Gegner Verluste von §Y$THEIR_LOSSES$§! beibrachte.;;Tenía §Y$US$§! barcos y enfrentó §Y$THEM$§! con §Y$ENEMY$§!. Perdió §Y$OUR_LOSSES$§!, causando §Y$THEIR_LOSSES$§! bajas al enemigo.;Aveva §Y$US$§! navi e affrontato §Y$THEM$§! di §Y$ENEMY$§!. Ha perso §Y$OUR_LOSSES$§!, facendo perdere §Y$THEIR_LOSSES$§! al nemico.;;;;;;;;x
CH_PIETY_CHANGE;[Player.Religion.GetPietyName] $DIRECTION$ by $CHANGE$;[Player.Religion.GetPietyName] $DIRECTION$ de $CHANGE$;[Player.Religion.GetPietyName] $DIRECTION$ um $CHANGE$;;[Player.Religion.GetPietyName]: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_POPULARITY_CHANGE;Popularity $DIRECTION$ by $CHANGE$.;Popularité $DIRECTION$ de $CHANGE$.;Beliebtheit $DIRECTION$ um $CHANGE$.;;$DIRECTION$ $CHANGE$ de Popularidad.;Popolarità $DIRECTION$ di $CHANGE$.;;;;;;;;x
CH_PRESTIGE_CHANGE;Prestige $DIRECTION$ by $CHANGE$;Prestige $DIRECTION$ de $CHANGE$;Prestige $DIRECTION$ um $CHANGE$;;Prestigio: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_RELIGION_CHANGE;Converted to $RELIGION$;A adopté la religion $RELIGION$;Konvertierte zu $RELIGION$;;Se ha convertido al $RELIGION$;Convertito a: $RELIGION$;;;;;;;;x
CH_RULER;Became $WHERE$;Est devenu(e) $WHERE$;Wurde $WHERE$;;Se convierte en $WHERE$;È diventato $WHERE$;;;;;;;;x
CH_STEWARDSHIP_CHANGE;Stewardship $DIRECTION$ by $CHANGE$;Intendance $DIRECTION$ de $CHANGE$;Verwaltung $DIRECTION$ um $CHANGE$;;Administración: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_WEALTH_CHANGE;Wealth $DIRECTION$ by $CHANGE$¤;Richesse $DIRECTION$ de $CHANGE$¤;Reichtum $DIRECTION$ um $CHANGE$¤;;$DIRECTION$ $CHANGE$ de Riqueza;Ricchezza $DIRECTION$ di $CHANGE$¤;;;;;;;;x
CHANGERELIGIONEFFECT;$WHO$ will become a $TRAIT$.\n;$WHO$ deviendra $TRAIT$.\n;$WHO$ wird ein $TRAIT$.\n werden;;$WHO$ tendrá el rasgo $TRAIT$.\n;$WHO$ assumerà il tratto: $TRAIT$.\n;;;;;;;;x
city_baron_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
city_barracks;Militia Barracks;Quartiers de la milice;Milizkaserne;;Cuartel de la milicia;;;;;;;;;x
city_barracks_2;Enlarged Militia Barracks;Quartiers de la milice;Vergrößerte Milizkaserne;;Cuartel de la milicia ampliado;;;;;;;;;x
city_count_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
city_duke_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
city_emperor_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
city_king_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
city_stable;Militia Stable;Écurie de la milice;Milizstall;;Establo de la milicia;;;;;;;;;x
CITYSIZE;$DIRECTION$ $VALUE$ population in $WHERE$.\n;$DIRECTION$ $VALUE$ de population à $WHERE$.\n;$DIRECTION$ $VALUE$ Bevölkerung in $WHERE$.\n;$DIRECTION$ $VALUE$ ludnoœci w $WHERE$.\n;Una $DIRECTION$ de $VALUE$ en la población de $WHERE$.\n;$WHERE$: popolazione $DIRECTION$ $VALUE$.\n;$WHERE$ népessége $DIRECTION$ $VALUE$.\n;;;;;;;x
CIV_VALUE;$DIRECTION$ $VALUE$ Civilization in $WHERE$.\n;$DIRECTION$ $VALUE$ en civilisation à : $WHERE$.\n;$DIRECTION$ $VALUE$ Zivilisation in $WHERE$.\n;;$WHERE$ tiene una $DIRECTION$ de $VALUE$ de civilización.\n;$WHERE$: $DIRECTION$ $VALUE$ civiltà.\n;;;;;;;;x
COLONISTS;$DIRECTION$ $VALUE$ colonists.\n;$DIRECTION$ $VALUE$ de colons.\n;$DIRECTION$ $VALUE$ Kolonisten.\n;$DIRECTION$ $VALUE$ kolonistów.\n;Una $DIRECTION$ de $VALUE$ colonos.\n;Coloni: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ gyarmatosító.\n;;;;;;;x
COLONISTS_ENROUTE;Colonists;Colons;Kolonisten;Koloniœci;Colonos;Coloni;Gyarmatosok;Kolonisté;;;;;;x
CONFIRM_NEW_IDEA;Select new idea?;Choisir une nouvelle idée ?;Neue Idee auswählen?;;¿Seleccionar nueva idea?;Selezioni una nuova idea?;;;;;;;;x
CONFIRM_NEW_IDEA_DESC;Are you sure you want to select $IDEA$? Replacing this idea later might incur a stability penalty.;Voulez-vous vraiment choisir $IDEA$ ? Remplacer cette idée plus tard entraînera une pénalité de stabilité.;Seid Ihr sicher, dass Ihr $IDEA$ auswählen wollt? Sie später zu ersetzen, wird einen Stabilitätsabzug mit sich ziehen.;;¿Seguro que queréis seleccionar la idea $IDEA$? Cambiar esta idea más adelante nos dará una penalización en estabilidad.;Vuoi selezionare $IDEA$? Un'eventuale sostituzione di questa idea provocherà una riduzione della stabilità.;;;;;;;;x
CONFIRM_REPLACE_IDEA;Replace idea?;Changer d'idée ?;Idee ersetzen?;;¿Cambiar idea?;Sostituisci l'idea?;;;;;;;;x
CORE_GIVEUP;$WHO$ will renounce their claims on $WHAT$. ;$WHO$ renoncera à ses prétentions sur $WHAT$. ;$WHO$ verzichtet auf seine Forderungen hinsichtlich $WHAT$. ;$WHO$ zrezygnuje z roszczeñ do prowincji $WHAT$. ;$WHO$ renunciará a sus pretensiones sobre $WHAT$.;$WHO$ rinuncerà a ogni pretesa su: $WHAT$. ;$WHO$ le fog mondani a(z) $WHAT$ követelésrõl.;$WHO$ se vzdá svých požadavkù na $WHAT$.;;;;;;x
CORRUPTION;Corruption;Corruption;Korruption;;Corrupción;Corruzione;;;;;;;;x
CORRUPTION_EFFECT;$WHO$ $DIRECTION$ $VALUE$ corruption.\n;$WHO$ $DIRECTION$ $VALUE$ en corruption.\n;$WHO$ $DIRECTION$ $VALUE$ Korruption.\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en corrupción.\n;$WHO$: $DIRECTION$ $VALUE$ corruzione.\n;;;;;;;;x
COT_CHANGE;$DIRECTION$ centre of trade in $WHERE$.\n;$DIRECTION$ centre de commerce à $WHERE$.\n;$DIRECTION$ Handelszentrum in $WHERE$.\n;$DIRECTION$ oœrodek handlu w $WHERE$.\n;Una $DIRECTION$ de un centro de comercio en $WHERE$.\n;$WHERE$: $DIRECTION$ centro di commercio.\n;$WHERE$ kereskedelmi központja $DIRECTION$.\n;;;;;;;x
COTS;Centres of Trade;Centre de commerce;Handelszentren;Oœrodki handlu;Centros de comercio;Centri di commercio;Kereskedelmi központ;Obchodní centra;;;;;;x
COUNTRY_MODIFIER;Country Modifier;Modificateur de pays;Landesmodifikator;;Modificador de país;;;;;;;;;x
CRBBREACH;Breach! With a breach in the walls the besieging armies have a much better chance of storming this fortification!;Une brèche ! Lorsqu'une brèche est créée dans les murs, les armées assaillantes ont bien plus de chance d'enfoncer ces fortifications !;Durchbruch! Mit einer Bresche in den Mauern haben unsere mächtigen Armeen eine weit bessere Chance, diese erbärmliche Festung zu stürmen!;Wy³om w murach! Teraz szturmuj¹ce wojska bêd¹ mia³y wiêksze szanse, atakuj¹c tê fortyfikacjê!;¡Brecha abierta! Ahora que la muralla ha caído, nuestros poderosos ejércitos podrán acabar con esta fortificación con más facilidad.;Una breccia! Aprendo una breccia nelle mura i nostri potenti eserciti avranno possibilità maggiori di conquistare questa ridicola fortificazione!;Rés! Hatalmas seregünk nagyobb eséllyel tudja lerohanni ezt a szánalmas erõdítményt, ha rést üt a falakon.;Zdi proraženy! Nyní mají naše mocná vojska vìtší šanci na dobytí této smìšné pevnùstky!;;;;;;x
CRBSIEGE1;The city can hold out for years.;La cité peut tenir des années.;Die Stadt kann jahrelang aushalten.;Miasto mo¿e broniæ siê przez lata.;La villa puede aguantar durante años.;La città può resistere per anni.;A város évekig ki fog tartani.;Mìsto mùže odolávat roky.;;;;;;x
