#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANY_FORT_STARTS;Any Fort;Tout fort;Beliebige Festung;;Cualquier fortaleza;;;;;;;;x
hoarse_desc;This character has overexerted [GetHerHis] voice and can hardly speak.;Ce personnage a poussé sa voix dans ses derniers retranchements et peut à peine parler.;Diese Person hat seine/ihre Stimme stark beansprucht und kann kaum sprechen.;;Este personaje ha hecho un esfuerzo excesivo con [GetHerHis] voz y apenas puede hablar. ;;;;;;;;;x
INCOME_EXTRA_HOLDING;Income from this $TYPE$;Revenus provenant de cette propriété ($TYPE$);Einkommen aus $TYPE$;;Ingresos de este $TYPE$;;;;;;;;;x
IRONMAN_MODE_CHECKSUM_DESC;The game data files have been altered in some way, disabling achievements in Ironman mode. Check so you don't have a mod loaded or verify your game files. Using the Ruler Designer will also disable achievments.;Les fichiers du jeu ont été modifiés, les accomplissements en mode Iron Man ont été désactivés. Assurez-vous de n'avoir activé aucun mode ou vérifiez les fichiers du jeu. Utiliser le créateur de personnage désactive aussi les accomplissements.;Die Spieldateien wurden verändert und die Errungenschaften aus dem Ironman-Modus deaktiviert. Überprüfen Sie die Integrität der Installation oder deaktivieren Sie etwaige Mods. Auch durch die Verwendung des Herrscher-Baukastens werden Errungenschaften deaktiviert.;;Los archivos de datos del juego han sido alterados de alguna manera, desactivando los logros en el modo Ironman. Verifica si no tienes mods cargados, o tus archivos de juego. Utilizar el diseñador del gobernante también desactivará logros.;;;;;;;;;x
lycanthropy;Werewolf;Lycanthropie;Lykanthropie;;Licantropía;;;;;;;;;x
lycanthropy_desc;Strange things happen around this character on some full moons.;Cela fait plusieurs pleines lunes que ce personnage se comporte de manière étrange.;Manchmal, bei Vollmond, geschehen seltsame Dinge in der Nähe dieser Person.;;Suceden cosas extrañas entorno a este personaje en algunas lunas llenas.;;;;;;;;;x
manly_skill_wrestling;Wrestling Master;Maître lutteur;Meisterringer;;Maestro de lucha.;;;;;;;;;x
manly_skill_wrestling_desc;This character has mastered the skill of wrestling.;Ce personnage maîtrise l'art de la lutte.;Diese Person beherrscht das Ringen meisterhaft.;;Este personaje ha dominado la habilidad de la lucha libre.;;;;;;;;;x
MATCHMAKING_SERVER_DENIED;Denied;Refusé;Verweigert;;Denegado;;;;;;;;;x
MODIFIER_GLOBAL_MOVEMENT_SPEED;Global Movement Speed;Vitesse de déplacement globale;Allgemeine Bewegungsgeschwindigkeit;;Velocidad de movimiento global;;;;;;;;;x
NAND_TRIGGER_STARTS;All of the following must NOT be true;Toutes ces conditions doivent être invalides;KEINE der folgenden Bedingungen darf erfüllt sein;;Todo lo siguiente NO debe ser verdad;;;;;;;;;x
NO_EXTRA_HOLDING_BUILT;No $TYPE$ Built;Aucune propriété de type '$TYPE$' établie;$TYPE$ wurde noch nicht gebaut;;No $TYPE$ construido/a;;;;;;;;;x
NOMAD_TAX_MODIFIER;Nomad Tax;Impôt nomade;Nomadensteuer;;Impuesto de nómadas;;;;;;;;x
NOT_HAS_SETTLEMENT;Does NOT have a $TYPE$;Ne possède pas de '$TYPE$';$TYPE$ NICHT vorhanden;;No tiene un $TYPE$;;;;;;;;;x
NOT_HAS_SETTLEMENT_CONSTRUCTION;Does NOT have a settlement construction;Ne possède pas de construction coloniale;Siedlungsbau NICHT im Gange;;NO tiene una construcción de asentamientos;;;;;;;;;x
num_fort_diff_at_least;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts at least §Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$§! et de §Y$SECOND$§! est d'au moins §Y$VAL$§!;Unterschied zwischen der Anzahl der Festungen von §Y$FIRST$§! und §Y$SECOND$§! mindestens §Y$VAL$§!;;Diferencia entre las fortalezas §Y$FIRST$§! y §Y$SECOND$§! por lo menos §Y$VAL$§!;;;;;;;;x
num_fort_diff_lower_than;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts lower than §Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$§! et de §Y$SECOND$§! est inférieure à §Y$VAL$§!;Unterschied zwischen der Anzahl der Festungen von §Y$FIRST$§! und §Y$SECOND$§! kleiner als §Y$VAL$§!;;Diferencia entre las fortalezas §Y$FIRST$§! y §Y$SECOND$§! menor que §Y$VAL$§!;;;;;;;;x
ONLY_ONE_TRIBAL;Only one tribe can live in each county.;Chaque comté ne peut héberger qu'une seule tribu.;In jeder Provinz kann nur ein Stamm leben.;;Sólo una tribu puede vivir en cada provincia.;;;;;;;;;x
PROVINCE_EXTEND;Extend;Étendu;Erweiterung;;Ampliar;;;;;;;;;x
SEIZE_EXTRA_HOLDING_EFFECT;§Y$TAKER$§! seizes the §Y$PROV$§! $TYPE$;§Y$TAKER$§! s'empare de la propriété de type '$TYPE$' en §Y$PROV$§!;§Y$TAKER$§! beschlagnahmt $TYPE$ in §Y$PROV$§!;;§Y$TAKER$§! toma §Y$PROV$§! $TYPE$;;;;;;;;x
SELECT_FLANKLEADER_CENTER;Choose a Commander to lead the Center Flank;Choisissez un commandant pour diriger le centre;Wählt einen Befehlshaber für die mittlere Flanke;;Elige un comandante para liderar el centro;;;;;;;;;x
SELECT_FLANKLEADER_LEFT;Choose a Commander to lead the Left Flank;Choisissez un commandant pour diriger le flanc gauche;Wählt einen Befehlshaber für die linke Flanke;;Elige un comandante para liderar el flanco izquierdo;;;;;;;;;x
SELECT_FLANKLEADER_RIGHT;Choose a Commander to lead the Right Flank;Choisissez un commandant pour diriger le flanc droit;Wählt einen Befehlshaber für die rechte Flanke;;Elige un comandante para liderar el flanco derecho;;;;;;;;;x
SELECT_SUBUNIT_LEADER;Choose a Commander to lead this Subunit;Choisissez un commandant pour diriger cette sous-unité;Wählt einen Befehlshaber für diese Untergruppe;;Elige un comandante para liderar esta subunidad;;;;;;;;;x
sky_burial_custom_tooltip;Perform a sky burial.;Organiser des funérailles célestes.;Führt ein Himmelsbegräbnis durch.;;Realiza un entierro celestial.;;;;;;;;;x
sleep_deprivation;Not Sleeping Well;Insomniaque;Schlechter Schlaf;;No duerme bien;;;;;;;;;x
sleep_deprivation_desc;This character isn't getting much sleep lately.;Ce personnage souffre d'insomnie ces derniers temps.;Diese Person schlief in letzter Zeit nicht viel.;;Este personaje últimamente no duerme mucho.;;;;;;;;;x
TRIGGER_FORT_OWNER;Fort Owner;Propriétaire du fort;Eigentümer der Festung;;Dueño de Fortaleza ;;;;;;;;x
werewolf_killed;Full Moon Fever;Fièvre lunaire;Vollmondfieber;;Fiebre de la luna llena;;;;;;;;;x
werewolf_killed_cow_tooltip;Killed a cow.;Vous avez tué une vache.;Kuh getötet.;;Mató a una vaca. ;;;;;;;;;x
werewolf_killed_desc;This character recently drew blood under the full moon.;Ce personnage a récemment tué lors de la pleine lune.;Diese Person hat vor kurzem bei Vollmond für Blutvergießen gesorgt.;;Este personaje recientemente vertió sangre bajo la luna llena. ;;;;;;;;;x
werewolf_killed_dog_tooltip;Killed a dog.;Vous avez tué un chien.;Hund getötet.;;Mató a un perro. ;;;;;;;;;x
werewolf_killed_pig_tooltip;Killed a pig.;Vous avez tué un cochon.;Schwein getötet.;;Mató a un cerdo. ;;;;;;;;;x
werewolf_killed_someone_tooltip;Killed someone.;Vous avez tué quelqu'un.;Unbekannten getötet.;;Mató a alguien. ;;;;;;;;;x
wolf_blood;Wolf's Blood;Sang de loup;Wolfsblut;;La sangre del lobo;;;;;;;;;x
wolf_blood_desc;This character is rumored to have the blood of wolves running through [GetHerHis] veins.;On raconte que dans les veines de cet enfant coule le sang des loups.;Diese Person hat angeblich Wolfsblut in den Adern.;;Corre un rumor sobre este personaje, se dice que por [GetHerHis] venas corre sangre de lobo.;;;;;;;;;x
wolf_child;Wolf Child;Enfant-loup;Wolfskind;;Niño Lobo;;;;;;;;;x
wolf_child_desc;There is something strange about this child...;Cet enfant a quelque chose d'étrange...;Irgendetwas stimmt mit diesem Kind nicht ...;;Hay algo extraño con este niño...;;;;;;;;;x
wolves_continue_alone_tooltip;You press forward to meet the beasts alone.;Vous accélérez le pas afin afin de ne pas rencontrer les bêtes.;Ihr geht voran, um Euch den Wölfen alleine zu nähern.;;Avanzas para ver a las bestias a solas.;;;;;;;;;x
wolves_go_out_alone_tooltip;A wolf among wolves.;Loup parmi les loups.;Ein Wolf unter Wölfen.;;Un lobo entre los lobos.;;;;;;;;;x
wolves_go_out_with_guards_tooltip;A large group of armed and armored men set out.;Un important détachement d'hommes en armes a pris la route.;Eine gut bewaffnete Eskorte zieht los.;;Sale un gran grupo de hombres armados y protegidos.;;;;;;;;;x
wolves_ignore_tooltip;You ignore the wolves from now on.;Désormais, vous ne faites plus attention aux loups.;Ihr ignoriert die Wölfe von nun an.;;No haces caso de los lobos de aquí en adelante.;;;;;;;;;x
wolves_run_with_wolves_tooltip;You join the wolfpack.;Vous rejoignez la meute.;Ihr schließt Euch dem Wolfsrudel an.;;Te unes a la manada de lobos.;;;;;;;;;x
wrestling_win_vs_horse;You win!;Victoire !;Ihr seid der Sieger!;;¡Has ganado!;;;;;;;;;x
