#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME88000;Birth of the Assassins;Naissance des Assassins;Die Geburt der Assassinen;;El nacimiento de los Asesinos;;;;;;;;;x
EVTDESC88004;The Hashshashin are no more. As their fortresses and mountain hideouts burn, the last members of the once feared Assassin Order are hunted like animals and cut down without mercy or compassion when found. Their legacy now survives only in the legends and stories spawned from their exploits.;Les Hashshashin ne sont plus. Tandis que leurs cachettes dans les montagnes et leurs forteresses brûlent, les derniers membres de l'ordre autrefois craint sont traqués comme des bêtes et abattus sans pitié dès que découverts. Leur héritage ne survit qu'au travers de légendes contant leurs exploits.;Die Hashshashin gibt es nicht mehr. Während ihre Festungen und Verstecke in den Bergen brennen, werden die letzten Mitglieder der einst gefürchteten Assassinen wie Tiere gejagt, denen weder Gnade noch Barmherzigkeit geschenkt wird, wenn sie gefunden werden. Ihr Vermächtnis überlebt nur noch in Geschichten und Legenden, die aus ihren Großtaten hervorgehen.;;Se acabaron los Hassasin. Mientras arde su escondite en las montañas, los últimos miembros de la otrora temida orden de asesinos son cazados como animales, sin piedad ni compasión. Su legado ya solo perdura en las leyendas e historias creadas por sus proezas.;;;;;;;;;x
EVTDESC88004_ASSASSIN;This is a dark day, indeed. Our righteous order has suffered an enormous setback. All of our mountain fortresses and hideouts have been found and burnt to the ground. The few members who survived the infidels' onslaught are hiding amongst enemies, always in danger. While an era has ended and even though our former glory might never be restored, we shall never give up.;C'est un jour sombre, en effet. Notre Ordre a subi un énorme revers. Toutes nos forteresses de montagne et nos cachettes ont été trouvées et réduites en cendres. Les quelques membres qui ont survécu à l'assaut des infidèles se cachent parmi les ennemis, et sont toujours en danger. Bien qu'une époque ait pris fin, et que notre ancienne gloire pourrait ne jamais être restaurée, nous n'abandonnerons jamais.;Ein schwarzer Tag, fürwahr. Unser Orden hat einen schweren Rückschlag erlitten. All unsere Bergfestungen und Geheimlager wurden eingenommen oder niedergebrannt. Die wenigen Mitglieder, die den Ansturm der Ungläubigen überlebten, sind untergetaucht und leben im Exil. Doch selbst wenn eine Ära zu Ende ist und wir vielleicht nie wieder zu früherer Größe zurückfinden, werden wir niemals aufgeben!;;Este es, sin duda, un día funesto. Nuestra justa orden ha sufrido un duro revés. Han encontrado todas nuestras fortalezas y escondites y los han reducido a cenizas. Los pocos miembros que sobrevivieron al violento ataque de los infieles se ocultan entre los enemigos y están en peligro constante. Aunque una era ha terminado y nuestra antigua gloria puede que no se recupere nunca, jamás nos rendiremos.;;;;;;;;;x
EVTDESC88007;The word is spreading like wildfire across the lands of the East! Members of the Hashshashin have killed the great warlord [From.GetTitledName]. They stabbed him at his camp in full view of his men, and though the assassins outlived the [From.GetTitle] by only a few seconds, their mission was accomplished. His men swear vengeance against the Assassin Order!;Un incendie ravageant les terres d'Orient est en train de se propager ! Les membres de l'Ordre des Hashshashin ont tué le grand seigneur de guerre [From.GetTitledName]. Ils l'ont poignardé dans son campement devant tous ses hommes et même si les meurtriers n'ont pas survécu plus de quelques secondes après la mort [From.Get_only_du_Title][From.GetTitle], leur mission a été accomplie. Ses hommes jurent de tirer vengeance contre l'Ordre Hashshashin !;Die Nachricht breitet sich wie ein Lauffeuer über die Länder des Ostens aus! Die Mitglieder der Hashshashin haben den großen Kriegsherrn [From.GetTitledName] getötet. Er wurde in seinem Lager vor den Augen seiner Männer erstochen und obwohl die Attentäter den [From.GetTitle] nur wenige Sekunden überlebten, war ihre Mission erfüllt. Seine Männer schwören Vergeltung gegen die Assassinen.;;¡La noticia se extiende como la pólvora por todo Oriente! Miembros de los Hassasin han matado al gran señor de la guerra [From.GetTitledName]. Le apuñalaron en su campamento ante sus propios hombres y, aunque los asesinos sobrevivieron al [From.GetTitle] solo unos segundos, cumplieron su cometido. ¡Sus hombres han jurado venganza contra los Asesinos!;;;;;;;;;x
EVTDESC88009;Not even the dreaded Hashshashin have been able to give pause to the Mongols in their bid to conquer the world. Several of their members have been killed in a failed attempt on the life of [From.GetTitledName]. He and his men now swear revenge against the hated Order of Assassins.;Les redoutables Hashshashin sont parvenus à stopper les Mongols dans leur processus de conquête. Plusieurs de leurs membres ont été tués alors qu'ils assassinaient [From.Get_le_TitledName]. Tous ses hommes ont juré de se venger de l'Ordre honni des Hashshashins;Nicht einmal die gefürchteten Hashshashin konnten die Mongolen, die auf ihrem Weg sind, die Welt zu erobern, aufhalten. Mehrere ihrer Mitglieder sind in einem gescheiterten Anschlag auf das Leben von [From.GetTitledName] getötet worden. Er und seine Männer schwören jetzt Rache gegen die Assassinen.;;Ni siquiera los terroríficos Hassasin son capaces de detener a los mongoles en su apuesta por conquistar el mundo. Varios de sus miembros han sido asesinados en un intento fallido de atentar contra la vida del [From.GetTitledName]. Sus hombres y él han jurado venganza contra la odiada orden de asesinos.;;;;;;;;;x
EVTDESC88010;You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: "Mend your decadent ways before it is too late, [Root.GetFirstName]. The Hashshashin are watching.";Vous vous réveillez dans un sursaut, pris d'une sueur froide et avec la sensation que quelque chose ne tourne pas rond. La lueur vacillante de la bougie dans votre tente éclaire une assiette de biscuits tout juste sortis du four, ainsi qu'une note épinglée par un poignard empoisonné à côté de votre lit. Il se lit comme suit : « Amendez votre chemin décadent avant qu'il ne soit trop tard, [Root.GetFirstName]. Les Hashshashins te regardent. »;Ihr wacht plötzlich schweißgebadet mit einem starken Gefühl auf, dass etwas nicht stimmt. Das flackernde Kerzenlicht im Zelt beleuchtet einen Teller mit Keksen und eine Notiz, die mit einem vergifteten Dolch an das Bett geheftet wurde. Sie lautet: "Korrigiert Eure dekadenten Gepflogenheiten, bevor es zu spät ist, [Root.GetFirstName]. Die Hashshashin beobachten Euch.";;Te despiertas con sudores fríos y la fuerte sensación de que algo ocurre. La trémula vela de tu tienda deja ver un plato de bollos calientes y una nota clavada en una daga envenenada junto a tu cama, que dice: 'Endereza tu decadente camino antes de que sea demasiado tarde, [Root.GetFirstName]. Los Hasassin te vigilan.';;;;;;;;;x
EVTDESC88011;Master, terrible news! Your faithful servant, [From.GetTitledName], has been found dead in [From.GetHerHis] home, no doubt at the hands of the vile Hashshashin. Carved by knife into [From.GetHerHis] chest were the words: "[Root.GetFirstName] - You were warned.";Maître, j'ai de terribles nouvelles ! Votre fidèle serviteur, [From.Get_le_TitledName], a été retrouvé mort chez lui. Il ne fait aucun doute qu'il s'agit là de l'oeuvre des odieux Hashshashin. Des mots ont été gravés au couteau sur sa poitrine : '[Root.GetFirstName] - on t'avais prévenu...';Meister, schreckliche Nachrichten! Euer treuer Diener, [From.GetTitledName], wurde in [From.GetHerHis]em Heim tot aufgefunden. Ohne Zweifel sind das die gemeinen Assassinen gewesen. In [From.GetHerHis]er Brust waren die folgenden Worte eingeritzt: "[Root.GetFirstName]"!;;¡Amo, terribles noticias! Tu fiel sirviente, [From.GetTitledName], ha sido hallado muerto en su casa, no hay duda de que ha sido a manos de los Hasassin. Escrito a cuchillo en su pecho podía leerse: '[Root.GetFirstName], te avisamos.';;;;;;;;;x
EVTDESC88012;As you turn a street corner in [Root.Location.GetName], a strange whistling sound swishes past your ear. Your bodyguards topple over, knives in their throats, and before you can react you are surrounded by robed Hashshashin. Their leader approaches you with a sad look on his face. "May you find what you seek in the life hereafter, friend.";Tandis que vous tournez au coin d'une rue de [Root.Location.GetName], vous entendez un étrange sifflement vous frôler l'oreille. Vos gardes du corps s'effondrent, un couteau dans la gorge, et avant que vous puissiez réagir, vous vous retrouvez encerclé par des Hashshashins en bure. Leur chef s'approche de vous avec un regard triste sur son visage. 'Puissiez-vous trouver ce que vous cherchez dans une autre vie, mon ami.';Als Ihr um eine Straßenecke in [Root.Location.GetName] geht, saust ein seltsam pfeifendes Geräusch an Eurem Ohr vorbei. Eure Leibwächter kippen um, jeder mit einem Messer in der Kehle, und bevor Ihr reagieren könnt, werdet Ihr von vermummten Hashshashin umstellt. Ihr Anführer tritt zu Euch hin mit traurigem Blick im Gesicht. "Mögest Du finden, was Du suchst im Leben danach, Freund.";;Al doblar una esquina en [Root.Location.GetName], un extraño silbido roza tu oreja. Tus guardaespaldas caen, con cuchillos en la garganta y, antes de que puedas reaccionar, estás rodeado de Hassasin envueltos en túnicas. Su líder se acerca a ti con un aire triste en su rostro. 'Que encuentres lo que buscas en la otra vida, amigo'.;;;;;;;;;x
EVTDESC88016;[assassin_target.GetTitledName] staggers past your guards, bleeding profusely from a dozen stab-wounds. As [assassin_target.GetSheHe] collapses in a pool of blood at your feet, [assassin_target.GetSheHe] gasps with [assassin_target.GetHerHis] last breath: "The H-Hashshashin...";[assassin_target.Get_Le_TitledName] passe près de vos gardes en chancelant, du sang s'écoulant d'une dizaine de blessures. Alors qu'[assassin_target.GetIlElle] s'écroule dans une mare de sang à vos pieds, [assassin_target.GetIlElle] prononce un mot dans son dernier râle : 'H-Hashshashin...';[assassin_target.GetTitledName] taumelt an Euren Wachen vorbei aus einem Dutzend Stichwunden blutend. Als [assassin_target.GetSheHe] in einer Blutlache zu Euren Füßen zusammenbricht, keucht [assassin_target.GetSheHe] mit [assassin_target.GetHerHis]em letzten Atemzug: "Die H-Hashshashin...";;[assassin_target.GetTitledName] se tambalea a través de tus guardias, sangrando profusamente debido a una docena de puñaladas. Mientras cae en un charco de sangre a tus pies, balbucea con su último aliento: 'Los H-Hasassin...';;;;;;;;;x
EVTDESC88017;Your guards bring in a covered basket left just outside your palace. Believing it to be confections from one of your subjects, you hungrily pull away the covering blanket only to reveal the severed, gaping head of [assassin_target.GetTitledName]. The mark of the Hashshashin has been carved into the forehead.;Vos gardes rapportent un panier recouvert qu'ils ont trouvé à l'extérieur du palais. Pensant qu'il s'agit d'un cadeau offert par l'un de vos sujets, vous retirez à la hâte le chiffon pour dévoiler la tête tranchée [assassin_target.Get_du_TitledName]. La marque des Hashshashin a été taillée sur son front.;Eure Wachen holen einen abgedeckten Korb herein, der direkt vor Eurem Palast stand. Im Glauben, dass einer Eurer Untertanen Euch Speisen gebracht hat, hebt Ihr die Decke mit großem Hunger hoch, nur um den abgehackten und klaffenden Kopf von [assassin_target.GetTitledName] zu erblicken. Das Zeichen der Assassinen prangt unübersehbar auf seiner Stirn.;;Tus guardas traen una cesta tapada que alguien ha dejado frente a tu palacio. Creyendo que son viandas de uno de tus súbditos, retiras con hambre la manta y descubres la cabeza cercenada de [assassin_target.GetTitledName]. La marca de los Hasassin se muestra tallada en su frente.;;;;;;;;;x
EVTDESC88018;As you stroll through your palace garden with [assassin_target.GetTitledFirstName], you see the brief glint of reflected sunlight on metal as a thrown dagger flashes past and buries itself in your friend's throat. Your bodyguards rush you to safety, but you glimpse a robed assassin scurrying over the palace walls...;Alors que vous vous promenez dans le jardin de votre palais en compagnie [assassin_target.Get_du_TitledFirstName], vous apercevez un fugace reflet scintillant. Une dague file à toute vitesse vers vous pour finir sa course dans la gorge de votre ami. Vos gardes vous mettent précipitamment en sûreté, mais vous apercevez la robe d'un assassin se précipiter vers les murs du palais...;Während Ihr mit [assassin_target.GetTitledFirstName] durch Euren Schlossgarten schlendert, seht Ihr das kurze Aufblitzen von reflektiertem Sonnenlicht auf Metall, als plötzlich ein Dolch vorbeifliegt und die Kehle Eures Freundes durchbohrt. Eure Leibwächter bringen Euch sofort in Sicherheit, aber es gelingt Euch zuvor, einen flüchtigen Blick auf den vermummten Assassinen zu erhaschen, der flink über die Palastmauern huscht...;;Mientras paseas por el jardín de palacio con [assassin_target.GetTitledFirstName], ves el leve destello de sol reflejarse en el metal... Una daga vuela y se clava en la garganta de tu amigo. Tus guardaespaldas te llevan a lugar seguro, mientras un asesino con túnica pasa a toda velocidad sobre las murallas de palacio...;;;;;;;;;x
EVTDESC88019;You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: "There are a thousand ways to kill a [Root.GetManWoman], [Root.GetFirstName]. The Hashshashin know them all.";Vous vous réveillez dans un sursaut, pris d'une sueur froide et avec la sensation que quelque chose ne tourne pas rond. La lueur vacillante de la bougie dans votre tente éclaire une assiette de biscuits tout juste sortis du four, ainsi qu'une note épinglé par un poignard empoisonné à côté de votre lit. Vous lisez ceci : 'Il y a mille manières de tuer un[Root.Get_E] [Root.GetManWoman], [Root.GetFirstName]. Nous, les Hashshashins, nous les connaissons toutes.';Ihr wacht plötzlich schweißgebadet mit einem starken Gefühl auf, dass etwas nicht stimmt. Das flackernde Kerzenlicht im Zelt beleuchtet einen Teller mit Keksen und eine Notiz, die mit einem vergifteten Dolch an das Bett geheftet wurde. Sie lautet: "Es gibt tausend Wege, einen [Root.GetManWoman] zu töten, [Root.GetFirstName]. Die Hashshashin kennen sie alle.";;Te despiertas con sudores fríos y la fuerte sensación de que algo ocurre. La trémula vela de tu tienda deja ver un plato de bollos calientes y una nota clavada en una daga envenenada junto a tu cama, que dice: 'Hay miles de formas de matar a una persona, [Root.GetFirstName]. Los Hasassin las conocen todas.';;;;;;;;;x

EVTOPTA88000;These hashish smokers are harmless...;Les fumeurs de haschisch sont inoffensifs...;Diese Haschischraucher sind harmlos...;;Estos fumadores de hachís son inofensivos...;;;;;;;;;x
EVTOPTA88001;Perhaps these Hashshashin should be taken seriously...;Peut-être que ces Assassins devraient être pris au sérieux, finalement.;Vielleicht sollte man diese Haschaschin ernst nehmen...;;Quizás estos Hassasin debieran ser tomados en serio...;;;;;;;;;x
EVTOPTA88002;Their demise was inevitable.;Leur chute était prévisible.;Ihr Untergang war unvermeidlich.;;Su desaparición era inevitable.;;;;;;;;;x
EVTOPTA88002_ASSASSIN;This setback will not be the end of The Assassins!;Ce revers ne sera pas la fin des Assassins !;Es ist ein Rückschlag, aber mitnichten das Ende der Assassinen!;;¡Este revés no significará el fin de los Asesinos!;;;;;;;;;x
EVTOPTA88003;Surely they wouldn't dare strike at me.;Ils n'oseront jamais s'en prendre à moi !;Sicherlich würden sie es nicht wagen, mich anzugreifen.;;Seguro que no les importaría acabar conmigo.;;;;;;;;;x
EVTOPTA88004;Good riddance!;Bon débarras !;Die wären wir los!;;¡Ya era hora!;;;;;;;;;x
EVTOPTA88007;By the Prophet!;Par le Prophète !;Beim allmächtigen Propheten!;;¡Por el Profeta!;;;;;;;;;x
EVTOPTA88009;By the Prophet!;Par le Prophète !;Beim allmächtigen Propheten!;;¡Por el Profeta!;;;;;;;;;x
EVTOPTA88010;Perhaps the time for change has come...;L'heure du changement a peut-être sonné...;Vielleicht ist jetzt eine gute Zeit für Veränderungen...;;Puede que haya llegado la hora de cambiar...;;;;;;;;;x
EVTOPTA88011;How dare they?!;Comment ont-ils osé ?!;Wie können sie es nur wagen?!;;¡¿Cómo se atreven?!;;;;;;;;;x
EVTOPTA88012;But... but I am not ready!;Mais... Mais je ne suis pas prêt !;Aber...aber ich bin nicht bereit!;;¡Pero... pero no estoy preparado!;;;;;;;;;x
EVTOPTA88016;Oh my.;Malédiction.;Meine Güte.;;Oh, cielos.;;;;;;;;;x
EVTOPTA88017;I think I've lost my appetite...;Je crois que je vais me sentir mal...;Ich denke, mir ist der Appetit vergangen...;;Creo que he perdido el hambre...;;;;;;;;;x
EVTOPTA88018;The Hashshashin! Was I the intended target?;Les Hashshashins ! Cette dague m'était-elle destinée ?;Die Hashshashin! War ich das beabsichtigte Ziel?;;¡Los Hassasin! ¿Se supone que yo era el objetivo?;;;;;;;;;x
EVTOPTA88019;Guards! Search the area!;Gardes ! Fouillez l'enceinte du palais !;Wache! Sucht die Umgebung ab!;;¡Guardas! ¡Registrad la zona!;;;;;;;;;x
