#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COMBATVIEW_FLANK_MORALE;Average morale in this flank: $MORALE$ (§Y+$DELTA$§! / week)\nTotal Morale: §Y$TOTAL_MORALE$§!;Moral moyen de ce flanc : $MORALE$ (§Y+$DELTA$§!/semaine)\n Moral total : §Y$TOTAL_MORALE$§!;Durchschnittsmoral dieser Flanke: $MORALE$ (§Y+$DELTA$§! / Woche)\nGesamtmoral: §Y$TOTAL_MORALE$§!;;Moral media en este flanco: $MORALE$ (§Y+$DELTA$§! / semana)\nMoral total: §Y$TOTAL_MORALE$§!;;;;;;;;;x
COMBATVIEW_MORALE;Average morale: §Y$MORALE$§! (§Y+$DELTA$§! / week)\nTotal Morale: §Y$TOTAL_MORALE$§!;Moral moyen : §Y$MORALE$§! (§Y+$DELTA$§!/semaine)\n Moral total : §Y$TOTAL_MORALE$§!;Durchschnittsmoral: §Y$MORALE$§! (§Y+$DELTA$§! / Woche)\nGesamtmoral: §Y$TOTAL_MORALE$§!;;Moral media:§Y$MORALE$§! (§Y+$DELTA$§! / semana)\nMoral total: §Y$TOTAL_MORALE$§! ;;;;;;;;;x
COMBATVIEW_TOTALTROOPS;Total Remaining Troops\n§GClick to show composition of Flanks§!;Total des troupes restantes\n§GCliquez pour afficher la composition des flancs§!;Gesamtzahl verbleibender Truppen\n§GKlickt für Details der Flanken§!;;Total de tropas restantes\n§G¡Haz clic para mostrar composición de flancos§!;;;;;;;;;x
create_title_interaction_LONG_DESC;Create this title.;Créez ce titre.;Diesen Titel erschaffen.;;Crear este título.;;;;;;;;;x
create_title_interaction_TITLE;Create Title;Créer;Erstellen;Stwórz;Crear;Creare;Új játék;Vytvoøit;;;;;;x
DECISION_ALLOWED;Can take §Y$DECISION$§! decision;Peut prendre la décision de §Y$DECISION$§!;Kann den Beschluss §Y$DECISION$§! durchsetzen;;Puede tomar decisión §Y$DECISION$§!;;;;;;;;;x
DECISION_NOT_ALLOWED;Can NOT take §Y$DECISION$§! decision;Ne peut pas prendre la décision de §Y$DECISION$§!;Kann NICHT den Beschluss §Y$DECISION$§! durchsetzen;;No puede tomar decisión §Y$DECISION$§!;;;;;;;;;x
DECISION_NOT_POTENTIAL;NOT eligible to take §Y$DECISION$§! decision;N'est pas en droit de prendre la décision de §Y$DECISION$§!;NICHT berechtigt, den Beschluss §Y$DECISION$§! durchzusetzen;;Incapaz de tomar decisión §Y$DECISION$§!;;;;;;;;;x
DECISION_POTENTIAL;Eligible to take §Y$DECISION$§! decision;Est en droit de prendre la décision de §Y$DECISION$§!;Berechtigt, den Beschluss §Y$DECISION$§! durchzusetzen;;Capaz de tomar decisión §Y$DECISION$§!;;;;;;;;;x
DEFACTO_LIEGE_STARTS;De Facto Liege;Seigneur lige de facto;De-facto-Lehnsherr;;Señor de hecho;;;;;;;;;x
DEJURE_LIEGE_STARTS;De Jure Liege;Seigneur lige de jure;De-jure-Lehnsherr;;Señor de derecho;;;;;;;;;x
DEMESNE_GARRISON_LESS_THAN;Garrison of entire demesne is less than ;La garnison du domaine est inférieure à  ;Garnison des gesamten Herrschaftsgebiets weniger als ;;La guarnición de todo el ducado es menos que;;;;;;;;;x
DEMESNE_GARRISON_MORE_THAN;Garrison of entire demesne is more or equal to ;La garnison du domaine est supérieure ou égale à  ;Garnison des gesamten Herrschaftsgebiets mindestens ;;La guarnición de todo el ducado es más o igual a;;;;;;;;;x
destroy_settlement;§Y$SETTLEMENT$§! will be destroyed.;La propriété '§Y$SETTLEMENT$§!' sera détruite.;§Y$SETTLEMENT$§! wird zerstört.;;§Y$SETTLEMENT$§!serán destruidos.;;;;;;;;;x
destroy_title_interaction_LONG_DESC;Destroy this title.;Détruisez ce titre.;Diesen Titel vernichten.;;Destruye este título.;;;;;;;;;x
destroy_title_interaction_TITLE;Destroy;Détruire;Vernichten;;Destruir;;;;;;;;;x
disables_tribal_levy_laws;Disables Tribal Levy Laws\n;Désactive les lois sur l'impôt tribal\n;Deaktiviert Stammeslehnstruppengesetze.\n;;Desactiva leyes de reclutamiento tribal;;;;;;;;;x
disables_tribal_tax_laws;Disables Tribal Tax Laws\n;Désactive les lois sur l'impôt tribal\n;Deaktiviert Stammessteuergesetze.\n;;Desactiva leyes de impuestos tribales;;;;;;;;;x
DISTANCE_FROM_REALM_AT_LEAST;Distance from realm at least ;Distance du pays supérieure à  ;Entfernung zum Reich mindestens ;;Distancia del reino al menos;;;;;;;;;x
DISTANCE_FROM_REALM_LESS_THAN;Distance from realm less than ;Distance du pays inférieure à  ;Entfernung zum Reich weniger als ;;Distancia del reino menos de;;;;;;;;;x
DONT_HAVE_GOVERNMENT;Does NOT have government §Y$GOVERNMENT$§!;N'a pas un gouvernement de type '§Y$GOVERNMENT$§!';Hat NICHT die Regierungsform §Y$GOVERNMENT$§!;;No tiene gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
DYNAMIC_MERCENARY_COMPANY;[Root.GetFirstName]'s [Root.Culture.GetName] Band;Bande [Root.Culture.GetName] de [Root.GetFirstName];[Root.Culture.GetName]er Trupp von [Root.GetFirstName];;Compañía de [Root.GetFirstName] el/la [Root.Culture.GetName] ;;;;;;;;;x
EMPTY_HOLDINGS;Empty Holdings;Propriétés vides;Freie Besitztümer;;Posesiones vacías;;;;;;;;;x
EMPTY_HOLDINGS_BY_CLAN;§YEmpty Holdings by Clan§!:;§YPropriétés vides par clan§! :;§YFreie Besitztümer nach Klans§!:;;§YPosesiones vacías por clan§!;;;;;;;;;x
EMPTY_HOLDINGS_LIEGE_CAPITAL;Empty holdings in nomad capital are not included when calculating clan satisfaction.;Les propriétés vides de la capitale nomade n'entrent pas dans le calcul de la satisfaction du clan.;Freie Besitztümer in der Nomadenhauptstadt werden bei der Berechnung der Klanzufriedenheit nicht berücksichtigt.;;Las posesiones vacías en la capital nómada no se incluyen al calcular la satisfacción del clan.;;;;;;;;;x
enables_tribal_levy_laws;Enables Tribal Levy Laws.\n;Active les lois sur l'impôt tribal\n;Aktiviert Stammeslehnstruppengesetze.\n;;Activa leyes de reclutamiento tribal.\n;;;;;;;;;x
enables_tribal_tax_laws;Enables Tribal Tax Laws\n;Active les lois sur l'impôt tribal\n;Aktiviert Stammessteuergesetze.\n;;Activa leyes de impuestos tribales;;;;;;;;;x
FIND_PROVINCE;Find Title or Region;Trouver un titre ou une région;Titel oder Region suchen;;Encuentra título o región;;;;;;;;;x
FLANK_DAMAGE_FINAL;Final Damage Values: §Y$DAMAGE$§! Damage (£1£), §Y$MORALE_DAMAGE$§! Morale Damage (£2£);Valeur finale de dégâts : §Y$DAMAGE$§! Dégâts (£1£), §Y$MORALE_DAMAGE$§! Dégâts moraux (£2£);Abschließende Schadenswerte: §Y$DAMAGE$§! Schaden (£1£), §Y$MORALE_DAMAGE$§! Moralschaden (£2£);;Valores de daño final: §Y$DAMAGE$§! Daño (£1£), §Y$MORALE_DAMAGE$§! Daño moral (£2£);;;;;;;;;x
FLANK_DESIGNER_SHOW_TROOPS;Show Troops;Afficher les troupes;Truppen anzeigen;;Mostrar tropas;;;;;;;;;x
FLANK_DESIGNER_SHOW_VALUES;Show Values;Afficher les valeurs;Werte anzeigen;;Mostrar valores;;;;;;;;;x
GAME_STATE_WAS_CORRUPTED;Game State is corrupted. Please restart the game.;La partie est endommagée. Veuillez redémarrer le jeu.;Spieldaten fehlerhaft. Bitte Spiel neu starten.;;El estado del juego se ha corrompido. Por favor, reinicia el juego.;;;;;;;;;x
GLORY;Glory!;Gloire !;Ehre!;;¡Gloria!;;;;;;;;;x
GOOD_RIDDANCE;Good riddance!;Bon débarras !;Auf Nimmerwiedersehen!;;¡Que le vaya bien!;;;;;;;;;x
GOVERNMENT_ALLOWED;Can enact §Y$GOVERNMENT$§! government;Peut promulguer le gouvernement §Y$GOVERNMENT$§!;Kann die Regierungsform §Y$GOVERNMENT$§! einführen;;Puede promulgar un gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;Theocracies, Holy Orders and Mercenaries cannot create kingdoms!;Les théocraties, ordre sacrés et mercenaires ne peuvent pas créer de royaumes !;Theokratien, Orden und Söldner können keine Königreiche gründen!;;¡Teocracias, órdenes sagradas y mercenarios no pueden crear reinos!;;;;;;;;;x
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;Merchant Republics and Patricians cannot usurp kingdoms or empires;Les républiques marchandes et les patriciens ne peuvent pas usurper de royaumes ou d'empires;Handelsrepubliken und Patrizier können keine Königreiche oder Reiche übernehmen;;Repúblicas mercantes y patricios no pueden usurpar reinos o imperios.;;;;;;;;;x
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$ rulers Cannot Build new Holdings§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas construire de nouvelles propriétés§!;Herrscher der Regierungsform §R$GOVERNMENT$ können keine neuen Besitztümer errichten§!;;¡Los gobernantes de §R$GOVERNMENT$ no pueden construir nuevas Posesiones§!;;;;;;;;;x
GOVERNMENT_NO_LIEGE_LEVY;Independent Tribal or Nomadic Rulers do not get liege levies from their vassal tribes;Les dirigeants tribaux et nomades indépendants ne peuvent pas percevoir de levées seigneuriales de leurs tribus vassales;Unabhängige Stammesherrscher oder Nomaden erhalten von ihren Vasallen keine Lehnstruppen.;;Los dirigentes tribales independientes no puede reclutar levas de sus vasallos tribales.;;;;;;;;;x
GOVERNMENT_NOT_ALLOWED;Can NOT enact §Y$GOVERNMENT$§! government;Ne peut pas promulguer le gouvernement §Y$GOVERNMENT$§!;Kann die Regierungsform §Y$GOVERNMENT$§! NICHT einführen;;No puede promulgar un gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
GOVERNMENT_NOT_POTENTIAL;NOT eligible to enact §Y$GOVERNMENT$§! government;N'est pas en droit de promulguer le gouvernement §Y$GOVERNMENT$§!;NICHT berechtigt, die Regierungsform §Y$GOVERNMENT$§! einzuführen;;Incapaz de promulgar un gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
GOVERNMENT_POTENTIAL;Eligible to enact §Y$GOVERNMENT$§! government;Est en droit de promulguer le gouvernement §Y$GOVERNMENT$§!;Berechtigt, die Regierungsform §Y$GOVERNMENT$§! einzuführen;;Capaz de promulgar un gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
GREAT;Great!;Excellent !;Großartig!;;¡Fantástico!;;;;;;;;;x
HAS_CONTROL_PROVINCE;Occupation of §Y$PROVINCE$§!;Occupation de §Y$PROVINCE$§!;Besetzung von §Y$PROVINCE$§!;;Ocupación de §Y$PROVINCE$§!;;;;;;;;;x
has_fewer_trade_post_than;Has fewer than §Y$NUM$§! Trade Posts;Possède moins de §Y$NUM$§! comptoirs commerciaux;Besitzt weniger als §Y$NUM$§! Handelsposten;;Tiene menos de §Y$NUM$§! Puestos Comerciales;;;;;;;;;x
HAS_HIGHER_CLAN_SATISFACTION_THAN;Have higher Clan Satisfaction than ;Avoir une satisfaction de clan supérieure à  ;Höhere Klanzufriedenheit als ;;Tiene una mayor satisfacción del clan que;;;;;;;;;x
HAS_HIGHER_MANPOWER_GROWTH_THAN;Have higher Manpower Growth than ;Avoir une croissance des effectifs supérieure à   ;Höherer Mannstärkezuwachs als ;;Tiene mayor crecimiento de la mano de obra que;;;;;;;;;x
HAS_HIGHER_MANPOWER_THAN;Have higher Manpower than ;Avoir un total d'effectifs supérieur à  ;Höhere Mannstärke als ;;Tiene mayor mano de obra que;;;;;;;;;x
HAS_HIGHER_MAX_MANPOWER_THAN;Have higher Max Manpower than ;Avoir un effectif maximal supérieur à  ;Höhere maximale Mannstärke als ;;Tiene mayor máximo de mano de obra que;;;;;;;;;x
HAS_HIGHER_MAX_POPULATION_THAN;Have higher Max Population than ;Avoir une population maximale supérieure à  ;Höhere Maximalbevölkerung als ;;Tiene mayor máximo de población que;;;;;;;;;x
HAS_HIGHER_POPULATION_GROWTH_THAN;Have higher Population Growth than ;Avoir une croissance de population supérieure à  ;Höheres Bevölkerungswachstum als ;;Tiene un mayor crecimiento de la población de;;;;;;;;;x
HAS_HIGHER_POPULATION_THAN;Have higher Population than ;Avoir une population supérieure à  ;Höhere Bevölkerung als ;;Tiene mayor población que;;;;;;;;;x
HAS_LOWER_CLAN_SATISFACTION_THAN;Have lower Clan Satisfaction than ;Avoir une satisfaction de clan inférieure à  ;Geringere Klanzufriedenheit als ;;Tiene menor satisfacción del clan que;;;;;;;;;x
HAS_LOWER_MANPOWER_GROWTH_THAN;Have lower Manpower Growth than ;Avoir une croissance des effectifs inférieure à  ;Geringerer Mannstärkezuwachs als ;;Tiene menor crecimiento de la mano de obra que;;;;;;;;;x
HAS_LOWER_MANPOWER_THAN;Have lower Manpower than ;Avoir un total d'effectifs inférieur à  ;Geringere Mannstärke als ;;Tiene menor mano de obra que;;;;;;;;;x
HAS_LOWER_MAX_MANPOWER_THAN;Have lower Max Manpower than ;Avoir un effectif maximal inférieur à  ;Geringere maximale Mannstärke als ;;Tiene menor máximo de mano de obra que;;;;;;;;;x
HAS_LOWER_MAX_POPULATION_THAN;Have lower Max Population than ;Avoir une population maximale inférieure à  ;Niedrigere Maximalbevölkerung als ;;Tiene menor máximo de población que;;;;;;;;;x
HAS_LOWER_POPULATION_GROWTH_THAN;Have lower Population Growth than ;Avoir une croissance de population inférieure à  ;Geringeres Bevölkerungswachstum als ;;Tiene menor crecimiento de la población que;;;;;;;;;x
HAS_LOWER_POPULATION_THAN;Have lower Population than ;Avoir une population inférieure à  ;Niedrigere Bevölkerung als ;;Tiene menor población que;;;;;;;;;x
has_more_trade_post_than;Has at least §Y$NUM$§! Trade Posts;Possède au moins §Y$NUM$§! comptoirs commerciaux;Besitzt mindestens §Y$NUM$§! Handelsposten;;Tiene al menos §Y$NUM$§! Puestos Comerciales;;;;;;;;;x
HAS_NOT_RAISED_STANDING_TROOPS;Has not raised standing troops;N'a pas levé de troupes permanentes;Hat kein stehendes Heer aufgestellt;;No ha reclutado tropas permanentes;;;;;;;;;x
HAS_RAISED_STANDING_TROOPS;Has raised standing troops;A levé des troupes permanentes;Hat ein stehendes Heer aufgestellt;;Ha reclutado tropas permanentes;;;;;;;;;x
HAVE_GOVERNMENT;Has government §Y$GOVERNMENT$§!;A un gouvernement de type '§Y$GOVERNMENT$§!';Hat Regierungsform §Y$GOVERNMENT$§!;;Tiene gobierno §Y$GOVERNMENT$§!;;;;;;;;;x
HIGH_DECADENCE;Your dynasty is seen as hopelessly decadent. There is a risk of a massive revolt.;Votre dynastie est perçue comme une maison décadente. Une révolte massive est à craindre.;Eure Dynastie wird als hoffnungslos dekadent angesehen. Es besteht die Gefahr eines massiven Aufstandes.;;Tu dinastía es vista como decadente sin remedio. Hay riesgo de revuelta masiva. ;;;;;;;;;x
HINT_DIPLO_VIEW_TITLE;The Diplomacy Menu;Le menu diplomatique;Das Diplomatiemenü;;Menú de diplomacia;;;;;;;;;x
HOLY_SITE_NO_SETTLEMENT;(not settled);(pas établi);(unbesiedelt);;(no poblado);;;;;;;;;x
HORDE_BUY_RETINUE;Create a §Y$NAME$§! horde, this will start out almost empty but reinforce up to the specified size.;Créer une horde '§Y$NAME$§!'. Au départ, elle ne comportera que quelques hommes mais se renforcera jusqu'à la taille spécifiée.;Die Horde §Y$NAME$§! erstellen. Zunächst ist sie beinahe leer, bis sie durch Verstärkungen auf die angegebene Sollstärke gebracht wird.;;Crear una horda §Y$NAME$§!, esta comenzará casi vacío, pero se reforzará hasta el tamaño especificado.;;;;;;;;;x
HORDE_CAN_BUY_RETINUE_TRIGGER;$WHO$ has at least §Y$NEED$§! unused manpower;$WHO$ possède au moins §Y$NEED$§! d'effectifs inexploités.;$WHO$ hat mindestens §Y$NEED$§! freie Mannstärke;;$WHO$ tiene al menos §Y$NEED$§! mano de obra sin usar.;;;;;;;;;x
HORDE_CAN_BUY_RETINUE_TRIGGER_NOT;$WHO$ does not have at least §Y$NEED$§! unused manpower;$WHO$ ne possède pas au moins §Y$NEED$§! d'effectifs inexploités;Die freie Mannstärke von $WHO$ beträgt weniger als das Minimum von §Y$NEED$§!;;$WHO$ no tiene por lo menos §Y$NEED$§! mano de obra sin usar.;;;;;;;;;x
HORDE_CANNOT_BUY_RET_ROOM;\nYou cannot create this Horde, your §YMaximum Manpower§! size has been reached.;\nVous ne pouvez pas créer cette horde, l'§Yeffectif maximum§! a été atteint.;\nIhr könnt diese Horde nicht gründen, da Eure §Ymaximale Mannstärke§! erreicht wurde.;;\nNo puedes crear esta horda, has alcanzado el tamaño del §YMaximum Manpower§!.;;;;;;;;;x
HORDE_CANNOT_BUY_RET_WEALTH;\nYou cannot create this Horde, you cannot afford it.;\nVous ne pouvez pas créer cette horde, vous n'avez pas assez d'argent.;\nIhr könnt die Horde nicht erstellen. Euch fehlen die Mittel.;;\nNo puedes crear esta horda, no puedes permitírtelo.;;;;;;;;;x
HORDE_CONFIRM_DISBAND_NO_RET;\nNo Horde will be disbanded.;\nAucune horde ne sera dissoute.;\nEs werden keine Horden aufgelöst;;\nNinguna horda será desmantelada.;;;;;;;;;x
HORDE_CONFIRM_DISBAND_RET;\n§RAll Horde troops will be disbanded!§!;\nToutes les troupes de horde seront dissoutes !§!;\n§RAlle Horden werden aufgelöst!§!;;\n§R¡Todas las tropas de la horda serán desmanteladas!§!;;;;;;;;;x
HORDE_CREATE_RETINUE_EFFECT;$WHO$ gets a §Y$RETINUE$§! Horde;$WHO$ acquiert une horde de type '§Y$RETINUE$§!';$WHO$ erhält eine Horde: §Y$RETINUE$§!;;$WHO$ consigue una horda §Y$RETINUE$§!;;;;;;;;;x
HORDE_MIL_RETINUES;Horde;Horde;Horde;;Horda;;;;;;;;;x
HORDE_RETINUE_EXPL;§YHorde§!\nThese numbers are the current size of your Horde and the maintenance you pay for it.;§YHorde§!\nCes chiffres indiquent la taille actuelle de votre horde et le coût de maintenance qu'elle engendre.;§YHorde§!\nDie Zahlen geben an, wie groß die Horde aktuell ist und wie hoch der Unterhalt für sie ist.;;§YHorde§!\nEstos números son el tamaño actual de la horda y el mantenimiento que pagas.;;;;;;;;;x
HORDE_RETINUE_EXPL_DEL;Your Horde is your personal professional and standing army ready to do as you order at all times. Your Horde is always on the map and reinforce slowly. The maximum number of Horde regiments you can field depends on your §YMaximum Manpower§!, which is determined by your §YMaximum Population§!.;Votre horde est votre armée personnelle composée de soldats de métier prêts à obéir à tous vos ordres. Votre horde est toujours affichée sur la carte et reçoit des renforts lentement. Le nombre maximum de régiments que peut contenir votre horde dépend de vos §Yeffectifs maximaux§! qui sont déterminés par votre §Ypopulation maximale§!.;Eure Horde ist Euer stehendes Berufsheer, das Euch jederzeit zur Verfügung steht. Sie befindet sich ständig auf der Karte und erhält kontinuierlich Nachschub. Wie viele Regimenter Ihr maximal aufstellen könnt, richtet sich nach der §Ymaximalen Mannstärke§!, die abhängig von Eurer §Ymaximalen Bevölkerung§! ist.;;La horda es tu ejército personal profesional y permanente dispuesto a cumplir tus órdenes en todo momento. La horda siempre está en el mapa y se refuerza lentamente. El número máximo de regimientos de la horda que puedes disponer en el campo depende de tu §YPoblación máxima§!.;;;;;;;;;x
HORDE_RETINUE_OF;Horde of $CHARACTER$;Horde de $CHARACTER$;Horde von $CHARACTER$;;Horda de $CHARACTER$;;;;;;;;;x
HORDE_RETINUE_UPKEEP;Horde Upkeep;Entretien de la horde;Hordenunterhalt;;Mantenimiento de la horda;;;;;;;;;x
