#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_spymaster.txt

#########################
#
#	Spymaster events
#
#########################

# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;Complot déjoué;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;;x
evt_spymaster_004_desc_a;My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJe vous écris pour vous annoncer une nouvelle confondante. [FromFrom.Get_Le_TitledName] a tenté de me faire assassiner afin que je ne dévoile pas au grand jour son plan visant à [FromFrom.GetPlot].\n\nVotre humble maître-espion,\n[From.GetTitledName];Meine Hoheit,\nich schreibe Euch und bringe schockierende Nachrichten! [FromFrom.GetTitledName] hat versucht, mich zu beseitigen, um zu verhindern, dass ich [FromFrom.GetHerHis]en Plan entdecke: [FromFrom.GetPlot].\n\nEuer untergebener Hofspitzel\n[From.GetTitledName];;Mi señor, \n¡Me dirijo a usted con una horribles noticias! [FromFrom.GetTitledName] intentó asesinarme para asegurarse de que no descubriría [FromFrom.GetHerHis] complot para [FromFrom.GetPlot]. \n\nVuestro humilde maestro de espías, \n[From.GetTitledName];;;;;x
evt_spymaster_004_option_a;Expose [FromFrom.GetHerHim] immediately!;Dénonçons la chose immédiatement !;Meldet [FromFrom.GetHerHim] unverzüglich!;;¡Exponed[FromFrom.GetHerHim] inmediatamente!;;;;;;;;;x
evt_spymaster_004_option_b;I will keep this information to myself...;Je vais garder ces informations pour moi...;Ich werde diese Information für mich behalten ...;;Prefiero guardarme esta información...;;;;;;;;;x

# Liege writes to plotter
evt_spymaster_005_desc_a;I am shocked and appalled to find out that you have not only tried to assassinate my spymaster [FromFrom.GetTitledName], but are also plotting to [Root.GetPlot]!;J'ai appris avec effroi qu'en plus d'avoir essayé d'éliminer mon maître-espion, [FromFrom.Get_le_TitledName], vous tramez un complot visant à [Root.GetPlot]!;Ich bin schockiert und angewidert, dass Ihr nicht nur meinen Hofspitzel [FromFrom.GetTitledName] ermorden wolltet, sondern auch eine Verschwörung bezüglich [Root.GetPlot] plantet!;;¡Sorprendido y horrorizado me hallo al ver que no solo has intentado asesinar a mi jefe de espías [FromFrom.GetTitledName], sino que estás conspirando contra [Root.GetPlot]!;;;;;;;;;x
evt_spymaster_005_option_a;Most unfortunate...;C'est très regrettable...;Höchst bedauerlich ...;;Qué desgracia...;;;;;;;;;x


# The Spymaster is attacked by a Noble's thugs (Gets away, Is wounded, Is maimed, Is killed)
evt_spymaster_101_title;Thugs Attack the Spymaster;Des brutes attaquent le maître-espion;Schläger greifen den Hofspitzel an;;Matones atacan al jefe de espías;;;;;;;;;x
evt_spymaster_101_desc_a;My investigation into the rumor of a plot in [Root.Location.GetName] must have alerted someone. Armed thugs are breaking into my room!;L'enquête que je mène suite aux rumeurs d'un complot à [Root.Location.GetName] doit susciter des inquiétudes. Des brutes armées ont pénétré dans ma chambre !;Meine Untersuchung der Verschwörung in [Root.Location.GetName] muss jemanden alarmiert haben. Bewaffnete Schläger brechen in meine Kammer ein!;;Mi investigación de los rumores de complot en [Root.Location.GetName] debe de haber alertado a alguien. ¡Unos matones armados intentan entrar en mi cuarto!;;;;;;;;;x
evt_spymaster_101_option;Will I escape with my life?;Que va-t-il advenir de moi ?;Werde ich mit dem Leben davonkommen?;;¿Lograré salir de esta?;;;;;;;;;x
evt_spymaster_101_option_tooltip_1;[Root.GetTitledName] gets away;[Root.Get_Le_TitledName] s'enfuit;[Root.GetTitledName] kommt davon;;[Root.GetTitledName] huye.;;;;;;;;;x
evt_spymaster_101_option_tooltip_2;[Root.GetTitledName] gets wounded;[Root.Get_Le_TitledName] a une blessure;[Root.GetTitledName] wird verwundet;;[Root.GetTitledName] huye a pesar de las heridas.;;;;;;;;;x

# Spymaster gets away
evt_spymaster_102_desc_a;I managed to flee the thugs by escaping through the backdoor.;J'ai réussi à échapper aux brutes en m'enfuyant par la porte de derrière.;Ich schaffte es, den Ganoven durch die Hintertür zu entkommen.;;Logré escapar de aquellos matones por la puerta trasera.;;;;;;;;;x
evt_spymaster_102_option_a;My prestige however did not go unscathed by the incident...;Mais, mon prestige a souffert de cet incident...;Mein Prestige allerdings litt durch diesen Vorfall ...;;Pero, mi prestigio no salió bien parado del incidente...;;;;;;;;;x

# Spymaster gets wounded
evt_spymaster_103_desc_a;I did manage to survive the thugs attacking me, but the incident has left me severely wounded.;J'ai réussi à survivre à l'attaque de ces brutes, mais j'ai été gravement blessé[Root.Get_E] au cours de l'incident.;Ich schaffte es, den Angriff der Gauner zu überleben, wurde aber schwer verwundet.;;Logré sobrevivir al ataque de esos matones, pero el incidente me ha provocado graves heridas.;;;;;;;;;x
evt_spymaster_103_option_a;I am lucky to be alive...;J'ai de la chance d'être toujours en vie...;Ich habe Glück, noch am Leben zu sein ...;;Tengo suerte de seguir con vida...;;;;;;;;;x
evt_spymaster_103_option_a_tooltip;I must send a letter to inform my liege;Je dois envoyer une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Ich muss einen Brief an meinen Lehnsherrn senden;;Debo enviar una carta para informar a mi señor.;;;;;;;;;x

# Inform the Liege about wounding
evt_spymaster_104_desc_a;My liege,\nArmed thugs attacked me while investigating the rumor of a plot in [From.Location.GetName]! I barely escaped with my life and am now severely wounded.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nDes bandits armés s'en sont pris à moi alors que j'enquêtais sur un possible complot à [From.Location.GetName] ! J'ai réussi à leur échapper, mais je suis blessé[From.Get_E].\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr,\n bewaffnete Schurken griffen mich an, als ich die Gerüchte um eine Verschwörung in [From.Location.GetName] untersuchen wollte! Ich kam gerade so mit dem Leben davon und bin schwer verwundet.\n\nEuer Ergebener Hofspitzel,\n[From.GetTitledName];;Mi señor:\n¡Unos matones armados me atacaron mientras investigaba los rumores de complot en [From.Location.GetName]! A duras penas pude escapar con vida y ahora sufro graves heridas.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_104_option_a;Sinister forces are at work!;Des forces maléfiques sont à l'oeuvre !;Finstere Mächte am Werk!;;¡Siniestras fuerzas conspiran!;;;;;;;;;x

# Inform the Liege about death
evt_spymaster_105_desc_a;[Root.GetTitledName], your Spymaster [From.GetTitledName] was killed by armed thugs when investigating a rumor about a plot in [From.Location.GetName].;[Root.GetTitledName],\n\nVotre maître-espio[From.GetNNne], [From.Get_le_TitledName], a été tué[From.Get_E] par des brutes armées alors qu'[From.GetIlElle] enquêtait sur un possible complot à [From.Location.GetName].;[Root.GetTitledName], Euer Hofspitzel [From.GetTitledName] wurde von Schurken getötet, als er ein Gerücht über eine Verschwörung in [From.Location.GetName] untersuchen wollte.;;[Root.GetTitledName], una panda de matones armados ha asesinado al jefe de espías [From.GetTitledName] cuando investigaba los rumores de complot en [From.Location.GetName].;;;;;;;;;x
evt_spymaster_105_option_a;Horrible!;C'est horrible !;Wie schrecklich!;;¡Qué horror!;;;;;;;;;x




# Faction Prevention - Spymaster finds Faction Member
evt_spymaster_201_title;Vassal Discouraged from Joining Factions;Vassal découragé de rejoindre une faction;Vasall wurde daran gehindert, sich einer Verschwörung anzuschließen.;;Vasallo convencido de no unirse a facciones;;;;;;;;;x
evt_spymaster_201_desc_a;You have spent some time investigating one of your liege's vassals in [Root.Location.GetName], and you feel that you have gathered enough information to gain a leverage that would discourage the vassal from supporting conspiratorial factions in the future.;Vous avez espionné l'un des vassaux de votre [Root.Liege.GetLordLady] lige dans la ville de [Root.Location.GetName]. Grâce aux informations que vous avez réunies à son sujet, vous pensez disposer de suffisamment d'influence pour le décourager d'intégrer une faction de conspirateurs dans le futur.;Ihr habt in [Root.Location.GetName] einige Zeit mit der Beobachtung eines Vasallen Eures Lehnsherren verbracht und denkt, dass Ihr nun genug Informationen habt, um den Vasallen von seinen konspirativen Aktivitäten abzubringen.;;Has pasado algún tiempo investigando a uno de los vasallos de tu señor en [Root.Location.GetName], y crees haber recogido suficiente información para ponerte en una posición que haga desistir al vasallo de apoyar facciones conspiratorias  en el futuro.;;;;;;;;;x
evt_spymaster_201_option_a;My liege must be informed.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige doit être informé.;Mein Lehnsherr muss davon erfahren!;;Mi señor debe ser informado.;;;;;;;;;x
evt_spymaster_201_option_a_tooltip;Your liege is informed.;Votre [Root.Liege.GetLordLady] lige a été averti[Root.Liege.Get_E].;Euer Lehnsherr wurde informiert.;;Tu señor es informado.;;;;;;;;;x

# Liege is informed
evt_spymaster_202_desc_a;My liege,\n\nI believe that one of your vassals can be discouraged from associating with conspiratorial factions if the proper leverage is obtained. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nIl me semble que l'un de vos vassaux peut être dissuadé d'intégrer une faction de conspirateurs à condition de faire montre de l'influence nécessaire. Comment souhaitez-vous procéder ?\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr,\n\nich denke, dass wir mit den nötigen Druckmitteln einen Eurer Vasallen von der Teilnahme an Verschwörungen abhalten können. Wie wünscht Ihr nun weiter zu verfahren?\n\nEuer getreuer Hofspitzel,\n[From.GetTitledName];;Mi señor,\n\nCreo que se puede persuadir a uno de tus vasallos para que no se asocie con facciones conspiratorias si obtenemos la palanca adecuada. ¿Cómo desea actuar?\n\nTu humilde Maestro de Espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_202_option_a;Blackmail the vassal.;Faire chanter le vassal.;Den Vasallen erpressen.;;Chantajear al vasallo.;;;;;;;;;x
evt_spymaster_202_option_a_tooltip;You use blackmail to gain a leverage on your vassal.;Vous faites chanter le vassal pour avoir une prise sur lui.;Ihr macht den Vasallen durch Erpressung gefügig.;;Usas el chantaje para obtener ventaja sobre tu vasallo.;;;;;;;;;x
evt_spymaster_202_option_b;Obligate the vassal.;Contraindre le vassal.;Den Vasallen einbinden.;;Obligar al vasallo.;;;;;;;;;x
evt_spymaster_202_option_b_tooltip;You use legalism to gain a leverage on your vassal.;Vous utilisez une argutie juridique pour avoir une prise sur votre vassal.;Ihr macht den Vasallen durch Statuten gefügig.;;Usas el legalismo para obtener ventaja sobre tu vasallo.;;;;;;;;;x
evt_spymaster_202_option_c;Threaten the vassal.;Menacer le vassal.;Den Vasallen bedrohen.;;Amenazar al vasallo.;;;;;;;;;x
evt_spymaster_202_option_c_tooltip;You use threats to gain a leverage on your vassal.;Vous menacez le vassal pour avoir prise sur lui.;Ihr macht den Vasallen durch Drohungen gefügig.;;Usas amenazas para obtener ventaja sobre tu vasallo.;;;;;;;;;x
evt_spymaster_202_option_d;Ask politely.;Demander poliment;Höflich anfragen.;;Pedir educadamente.;;;;;;;;;x
evt_spymaster_202_option_d_tooltip;You forward a polite request.;Vous tentez une requête polie.;Ihr verschickt eine höfliche Aufforderung.;;Envías una educada respuesta.;;;;;;;;;x
evt_spymaster_202_option_e;We will do nothing for now.;Nous n'allons rien faire, pour l'instant.;Wir wünschen momentan nichts zu unternehmen.;;No haremos nada por ahora.;;;;;;;;;x

# Faction Member Confronted: Blackmail
evt_spymaster_203_desc_a;My dear [Root.GetTitle],\n\nI regret that events have forced me to sully my hands in this manner, but unless you swear not to form new factions conspiring against me, I shall have to spread your unsavory secrets to anyone willing to listen.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle],\n\nJe regrette que la situation m'ait obligé de m'abaisser de cette façon, mais à moins que vous me promettiez de ne pas mettre sur pied une nouvelle faction conspirant contre moi, je me verrai dans l'obligation de répandre sur la place publique vos plus inavouables secrets.\n\nSigné,[From.GetTitledName];Verehrter [Root.GetTitle],\n\nich bedauere, dass Euer Tun mich dazu zwingt, Euer Verhalten allgemein publik machen zu müssen.\n\nUnterzeichnet\n[From.GetTitledName];;Mi leal [Root.GetTitle],\n\nLamento que los hechos me obliguen a ensuciarme las manos de esta manera, pero a no ser que jures no formar nuevas facciones que conspiren contra mí, tendré que divulgar tus secretos más vergonzosos a quién quiera oírlos.\n\nFi;;;;;;;;;x
evt_spymaster_203_option_a;My preferences in bed must not be revealed...;Mes inclinations sexuelles ne doivent pas êtres révélées !;Wie es in meinen Gemächern zugeht, darf keinesfalls nach außen dringen ...;;Mis preferencias en la cama deben permanecer en secreto...;;;;;;;;;x
evt_spymaster_203_option_b;Others may not understand the wonders of impalement...;Les autres ne comprendraient pas les merveilles d'un empalement...;Nicht jedem erschließt sich die Faszination des Pfählens ...;;Hay quienes podrían no entender las maravillas del empalamiento...;;;;;;;;;x
evt_spymaster_203_option_c;My desires might make others think less of me...;Mes phantasmes pourraient me rabaisser dans l'estime de mes proches...;Meine Leidenschaften könnten dazu führen, dass ich in der Wertschätzung einiger sinke ...;;Mis deseos pueden hacer que otros piensen mal de mí...;;;;;;;;;x
evt_spymaster_203_option_d;If the full extent of my drinking problem became known...;Si ma passion pour la boisson venait à être découverte...;Wenn allgemein bekannt würde, wie viel ich täglich trinke ...;;Si se llegaran a saber los detalles mi problema con la bebida...;;;;;;;;;x
evt_spymaster_203_option_e;I have not exactly led the most pious life...;Je n'ai pas mené une vie que l'on pourrait qualifier de pieuse...;Eine Ausgeburt an Frömmigkeit kann man mich nicht gerade nennen ...;;No he llevado la más pía de todas las vidas...;;;;;;;;;x
evt_spymaster_203_option_f;My little problem must not be revealed...;Mes petits problèmes personnels ne doivent pas être révélés...;Mein kleines Problem darf nicht nach außen dringen ...;;Mi pequeño problema debe permanecer en secreto...;;;;;;;;;x
evt_spymaster_203_option_tooltip;You decide it would be in your best interest to comply with this demand.;Vous décidez qu'il est de votre intérêt de vous plier à cette requête.;Ihr beschließt, dass es in Eurem besten Interesse ist, dem Ersuchen Gehör zu schenken.;;Decides que te interesa cumplir esta demanda.;;;;;;;;;x

# Liege Informed: Successful Blackmail
evt_spymaster_204_desc_a;Honoured [Root.GetTitle],\n\nThough I curse your name, I will comply with your unfair demand. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nMême si je maudis votre nom, je vais me soumettre à votre requête injuste. Toutefois, je vous demanderais de garder pour vous toute information sensible.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nSchande über Eure Sippe und Euren Namen, Euer Anliegen sei Euch bewilligt. Sorgt aber dafür, dass kein Dritter von dem, was Ihr in Erfahrung gebracht habt, erfährt.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nAunque maldigo tu nombre, cumpliré tu injusta demanda. Eso sí... Conserva esa sensible información sólo para ti.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x

# Faction Member Confronted: Legalism
evt_spymaster_205_desc_a;My dear [Root.GetTitle],\n\nPermit me to remind you of your obligations and duties as my sworn vassal. To form a conspiratorial faction would be in direct violation of these, and I must ask for your promise never to do so.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle],\n\nPermettez-moi de vous rappeler vos obligations et devoirs en tant que vassal. Créer une faction de conspirateurs contre moi, votre [From.GetLordLady] lige, constituerait une violation directe de vos devoirs, c'est pourquoi je veux votre promesse de ne jamais vous amuser à ce genre de petits jeux.\n\nSigné,\n[From.GetTitledName];Verehrter [Root.GetTitle],\n\nerlaubt mir, dass ich Euch Eure Pflichten als mein Vasall in Erinnerung rufe. Die Beteiligung an einer Verschwörung wäre eine direkte Verletzung Eures Vasallenschwurs und ich muss Euch auffordern, dies heute und für alle Zeit einzustellen.\n\nUnterzeichnet\n[From.GetTitledName];;Mi leal [Root.GetTitle],\n\nPermíteme recordarte las obligaciones y deberes de tu vasallaje. Formar una facción conspiratoria sería una violación directa de ellos, por lo que exijo prometas no hacerlo jamás.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_205_option_a;True. Scheming is not the honorable way of doing things.;C'est vrai. Le complot n'a pas sa place pour un vassal digne et vertueux.;So sei es. Ränke sind wirklich nicht der ehrenhafteste Weg zum Erfolg.;;Tiene razón. Conspirar no es la mejor forma de hacer las cosas.;;;;;;;;;x
evt_spymaster_205_option_b;Yes, enough lies and scheming.;Oui, finis les mensonges et les complots.;Ja, es soll Schluss sein mit den Lügen und Intrigen.;;Sí, basta de mentiras y conspiraciones.;;;;;;;;;x
evt_spymaster_205_option_c;Perhaps you are right, my liege.;Vous avez peut-être raison, M[From.GetOnA][From.GetLordLady].;Vielleicht habt Ihr recht, mein Fürst.;;Es probable que tenga razón, mi señor.;;;;;;;;;x
evt_spymaster_205_option_d;Oh well. I wasn't planning on doing that anyway.;D'accord... De toutes façons, je ne projetais pas de faire quoi que ce soit.;Nun, gut. Ich hätte es sowieso nicht ernsthaft umsetzen wollen.;;En fin. De cualquier modo no tenía planeado hacelo.;;;;;;;;;x
evt_spymaster_205_option_e;True. Founding such a faction wouldn't be very nice of me.;C'est vrai. Monter une faction de ce genre ne serait pas très gentil de ma part.;So sei es. Eine solche Fraktion zu gründen, wäre wirklich nicht nett von mir.;;Tiene razón. No sería bueno para mí formar esa facción.;;;;;;;;;x

# Liege Informed: Successful Legalism
evt_spymaster_206_desc_a;Honoured [Root.GetTitle],\n\nThank you for reminding me of my duties and obligations as your vassal. You are right, of course. For the foreseeable future, you have my promise not to support factions conspiring against you.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nJe vous remercie de me rappeler quels sont mes devoirs et obligations en tant que vassal. Vous avez raison, évidemment. Dans un avenir prévisible, je vous fais la promesse de ne rejoindre aucune faction conspirant contre vous.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nhabt Dank, dass Ihr mich gnädigerweise an meine Pflichten erinnert. Ihr habt recht, selbstredend! Für die nahe und auch ferne Zukunft kann ich Euch versichern, dass ich mich an keiner Verschwörung gegen Euch beteiligen werde.\n\nGezeichnet,\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nLe agradezco que me recuerde los deberes y obligaciones de mi vasallaje. Por supuesto, tiene razón En el futuro cercano, tiene mi palabra de no apoyar facciones que conspiren en su contra.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_206_option_a;Very good.;Très bien.;Sehr gut.;;Muy bien.;;;;;;;;;x

# Faction Member Confronted: Threaten
evt_spymaster_207_desc_a;My dear [Root.GetTitle],\n\nIf you think I let any vassal of mine support factions conspiring against me without taking action, you are sorely mistaken. If you value your wretched life, you will swear not to form any such faction.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle],\n\nSi vous pensez que je vais laisser l'un de mes vassaux intégrer une faction conspirant contre moi, vous vous trompez lourdement. Si vous tenez un tant soit peu à la vie, alors je vous recommande de ne pas rejoindre une telle faction.\n\nSigné,\n[From.GetTitledName];Verehrter [Root.GetTitle],\n\nwenn Ihr glaubt, ich würde es irgendeinem meiner Vasallen gestatten, sich an Verschwörungen gegen mich zu beteiligen, dann seid Ihr einem tragischen Irrtum unterlegen. Wenn Euch Euer erbärmliches Leben lieb ist, werdet Ihr diesem Aufbegehren unverzüglich abschwören.\n\nUnterzeichnet\n[From.GetTitledName];;Mi leal [Root.GetTitle],\n\nSi crees que dejaré que cualquier vasallo mío se una impunemente a facciones conspiratorias, estás muy equivocado. Si valoras tu miserable vida, jurarás no volver a formar dichas facciones.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_207_option_a;Oh my! I swear it! I swear it!!;Oh non ! Je jure de ne rien en faire !;Oh weh ... Ich schwöre! Ich schwöre!!;;¡Oh cielos! ¡Lo juro! ¡Lo juro!;;;;;;;;;x
evt_spymaster_207_option_b;I know [From.GetSheHe] isn't bluffing...;Je sais qu'[From.GetIlElle] ne bluffe pas...;Ich glaube, [From.GetSheHe] meint es ernst ...;;Se que [From.GetSheHe] no miente...;;;;;;;;;x
evt_spymaster_207_option_c;It's not worth dying for if there's no afterlife...;Aucune cause ne vaut la peine de mourir s'il n'y a pas d'au-delà...;Da das Heil bestimmt nicht im Jenseits liegt, gibt es nichts, wofür zu sterben sich lohnen würde ...;;No vale la pena morir por ello sin que haya otra vida...;;;;;;;;;x
evt_spymaster_207_option_d;There is no shame in backing down over this...;Il n'y a pas de honte à revenir sur sa position...;Es liegt keine Schande darin, sich aus dieser Angelegenheit zurückzuziehen ...;;No tiene nada de malo dar marcha atrás en este caso...;;;;;;;;;x
evt_spymaster_207_option_e;Forming a faction is too much work anyway...;Former une faction représente trop de travail, de toute façon...;Ein Fraktion zu bilden, ist sowieso ein viel zu kraftraubendes Unterfangen...;;De cualquier manera, crear una facción es demasiado trabajo...;;;;;;;;;x

# Liege Informed: Successful Threat
evt_spymaster_208_desc_a;Honoured [Root.GetTitle],\n\nI ask your forgiveness if I have done something to offend. I obviously wouldn't dream of associating with any faction conspiring against you or your enlightened rule.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nJe demande votre pardon si mes actes vous ont offensé. Jamais je ne rejoindrai une faction conspirant contre vous ou contre votre règne éclairé.\n\nSigné,\n[From.GetTitledName];Ehrenwerter [Root.GetTitle],\n\nich bitte um Eure Vergebung, falls ich Euer Missfallen erregt haben sollte. Natürlich würde ich mich nicht einmal im Traum einer Verschwörung gegen Euch und Eure erleuchtete Herrschaft anschließen.\n\nUnterzeichnet\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\nImploro tu perdón si he hecho algo ofensivo. Jamás pensaría en asociarme con cualquier facción que conspire en contra tuya o de tu ilustrado poder\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_208_option_a;You are forgiven.;Je vous accorde mon pardon.;Es sei Euch verziehen.;;Te perdono.;;;;;;;;;x

# Faction Member Confronted: Ask Nicely
evt_spymaster_209_desc_a;My dear [Root.GetTitle],\n\nI have learned that there are certain factions within the realm working to undermine my rule. If you are involved or planning to become so, I trust that your complicity in these matters ends now.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle],\n\nJ'ai appris l'existence dans le Royaume de certaines factions oeuvrant à déstabiliser mon pouvoir. Si vous êtes engagé[Root.Get_E] ou comptez vous engagez dans une telle entreprise, je ne peux que vous prier de cesser immédiatement de vous compromettre dans de telles affaires.\n\nSigné,\n[From.GetTitledName];Geschätzter [Root.GetTitle],\n\nich habe erfahren, dass es innerhalb meines Reiches Fraktionen gibt, die danach trachten, meine Herrschaft zu untergraben. Solltet Ihr Euch einer solchen Fraktion anzuschließen wollen oder es bereits getan haben, so erwarte ich, dass Ihr diese Ambitionen sofort einstellt.\n\nGezeichnet,\n[From.GetTitledName];;Mi estimado [Root.GetTitle],\n\nHa llegado a mis oídos que hay ciertas facciones en el reino trabajando para acabar con mi gobierno. Si estás envuelto en ellas, o te lo estás pensando, confió en que tu complicidad con estos hechos termine ya mismo.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_209_option_a;Best not to risk it...;Mieux vaut ne pas s'y risquer...;Es ist wohl besser, nichts zu riskieren...;;Mejor no arriesgarse...;;;;;;;;;x
evt_spymaster_209_option_b;Ha! This letter was an act of desperation.;Ha ! Cette lettre était un acte de désespoir.;Ha! Dieser Brief war ein Akt der Verzweiflung.;;¡Ja! Esta carta demuestra su desesperación.;;;;;;;;;x
evt_spymaster_209_option_b_tooltip;You refuse this outrageous demand.;Vous repousser cette demande scandaleuse !;Ihr lehnt die unverschämte Forderung ab.;;Rechazas tan indignante exigencia.;;;;;;;;;x

# Liege Informed: Failed Request
