RULE_AI_SEDUCTION_ON_DESC;AI rulers with the Seduction Focus will attempt to seduce other characters.;Les dirigeants gérés par l'IA ayant comme intérêt la séduction tenteront de séduire d'autres personnages.;KI-Herrscher mit dem Verführungsfokus versuchen, andere Personen zu verführen.;;Los gobernantes IA con el Enfoque Seducción intentarán seducir a otros personajes.;;;;;;;;;x
RULE_ANYONE_DESC;Any character in the world can use Grace Actions.;Tout personnage du monde peut utiliser les actions de Grâce.;Jeder Charakter auf der Welt kann Gunst-Aktionen benutzen;;Cualquier personaje del mundo puede usar acciones de gracia;;;;;;;;;x
RULE_AZTEC_13TH;13th Century;XIIIe siècle;13. Jahrhundert;;Siglo XIII;;;;;;;;;x
RULE_AZTEC_INVASION;§BSunset Invasion:§! Aztec Invasion;Invasion aztèque (§BSunset Invasion§! - Invasion du Soleil Couchant);§BSunset Invasion:§! Aztekische Invasion;;§BSunset Invasion:§! Invasión azteca;;;;;;;;;x
RULE_AZTEC_INVASION_DELAYED_RANDOM_DESC;The Aztec Invasion will occur at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt en l'an 1000 et 50 ans après le début de la partie.;Die aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens ab dem Jahr 1000, und 50 Jahre nach Spielstart.;;La invasión azteca tendrá lugar en una fecha aleatoria, aunque no antes del año 1000 y 50 años después del comienzo de la partida.;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;The Aztec Invasion will occur at the very earliest in the 13th century.;L'invasion aztèque se produira au plus tôt au XIIIe siècle.;Die Aztekische Invasion findet frühestens im 13. Jahrhundert statt.;;La invasión azteca ocurrirá como muy pronto en el siglo XIII.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;The Aztec Invasion will not occur.;L'invasion aztèque ne se produira pas.;Die Aztekische Invasion findet nicht statt.;;La invasión azteca no tendrá lugar.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;The Aztec Invasion will occur at a random date, though at the earliest 50 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die Aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión azteca ocurrirá en una fecha al azar, aunque como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_BLOOD_SPLATTER;Blood Splatter;Éclaboussures de sang;Blut;;Salpicasangre;;;;;;;;;x
RULE_BLOOD_SPLATTER_OFF;Character portraits never use the blood splatter effect.;Les portraits de personnages n'utilisent jamais l'effet d'éclaboussure de sang.;Charakterporträts erhalten niemals den Effekt von Blutspritzern.;;Los retratos de personajes nunca usan el efecto salpicasangre.;;;;;;;;;x
RULE_BLOOD_SPLATTER_ON;Characters can get blood on them from time to time.;Les personnages peuvent avoir du sang sur eux de temps en temps.;Charaktere können von Zeit zu Zeit mit Blut bespritzt sein.;;Personajes pueden recibir sangre de vez en cuando.;;;;;;;;;x
RULE_CHARLEMAGNE_STORY;§BCharlemagne:§! Story Events;Événements historiques (§BCharlemagne§!);§BCharlemagne:§! Handlungsereignisse;;Eventos de historia de §BCharlemagne:§!;;;;;;;;;x
RULE_CHARLEMAGNE_STORY_OFF_DESC;The various story events surrounding Charlemagne and his brother Karloman will be disabled.;Les événements historiques au sujet de Charlemagne et son frère Carloman sont désactivés;Die Handlungsereignisse rund um Karl den Großen und seinen Bruder Karlmann werden deaktiviert.;;Los diferentes eventos de historia entorno a Carlomagno y su hermano Carlomán serán desactivados.;;;;;;;;;x
RULE_CHARLEMAGNE_STORY_ON_DESC;The various story events surrounding Charlemagne and his brother Karloman will be enabled.;Les événements historiques au sujet de Charlemagne et son frère Carloman sont activés.;Die Handlungsereignisse rund um Karl den Großen und seinen Bruder Karlmann werden aktiviert.;;Los diferentes eventos de historia entorno a Carlomagno y su hermano Carlomán serán activados.;;;;;;;;;x
RULE_CHILD_OF_DESTINY;§BHoly Fury:§! Child of Destiny;Enfant du destin (§BHoly Fury§! - Fureur Sacrée);§BHoly Fury:§! Kind des Schicksals;;§BHoly Fury:§! Niño del destino;;;;;;x
RULE_CHILD_OF_DESTINY_OFF;No Children of Destiny will ever be born.;Aucun enfant du destin ne naîtra.;Es werden niemals Kinder des Schicksals geboren.;;No nacerá jamás ningún Niño del destino;;;;;;x
RULE_CHILD_OF_DESTINY_ON;There is a rare chance of characters growing to become great conquerors with higher attributes and special casus belli.;Il y a une faible probabilité que les personnages deviennent de grands conquérants avec des compétences plus élevées et des casus belli spéciaux.;Es gibt eine geringe Chance, dass Charaktere zu großen Erobern mit höheren Attributen und besonderen Kriegsgründen werden.;;Existe la rara posibilidad de personajes convirtiéndose en grandes conquistadores con mayores atributos y un casus belli especial.;;;;;;x
RULE_CHILDRENS_CRUSADE;§BHoly Fury:§! Children's Crusade;Croisade des enfants (§BHoly Fury§! - Fureur Sacrée);§BHoly Fury:§! Kinderkreuzzug;;§BHoly Fury:§! Cruzada de los niños;;;;;x
RULE_CHILDRENS_CRUSADE_OFF;The Children's Crusade is disabled.;La Croisade des enfants est désactivée.;Kinderkreuzzug ist deaktiviert;;La Cruzada de los niños está desactivada;;;;x
RULE_CHILDRENS_CRUSADE_ON;The Children's Crusade is enabled.;La Croisade des enfants est activée.;Kinderkreuzzug ist aktiviert.;;La Cruzada de los niños está activada;;;;x
RULE_CHINESE_INTERACTIONS;§BJade Dragon:§! Chinese Interactions;Interactions chinoises (§BJade Dragon§! - Dragon de Jade);§BJade Dragon:§! Chinesische Interaktion;;§BJade Dragon:§! Interacciones chinas;;;;;;;;;x
RULE_CHINESE_INVASIONS;§BJade Dragon:§! Chinese Invasions;Invasions chinoises (§BJade Dragon§! - Dragon de Jade);§BJade Dragon:§! Chinesische Invasion;;§BJade Dragon:§! Invasiones chinas;;;;;;;;;x
RULE_CHINESE_INVASIONS_ALL_DESC;China will launch both Tributary wars and Major Invasions. Chinese Adventurers can spawn.;La Chine déclarera des guerres tributaires et des invasions majeures. Les aventuriers chinois peuvent advenir.;China wird sowohl Tributkriege als auch große Invasionen beginnen. Chinesische Abenteurer können auftauchen.;;China iniciará guerras tributarias y grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x
RULE_CHINESE_INVASIONS_NONE_DESC;China will NOT launch Tributary wars or Major Invasions. Chinese Adventurers can NOT spawn.;La Chine ne déclarera pas de guerres tributaires ni d'invasions majeures. Les aventuriers chinois ne peuvent pas advenir.;China wird KEINE Tributkriege und KEINE großen Invasionen beginnen. Chinesische Abenteurer können NICHT auftauchen.;;China NO iniciará guerras tributarias n grandes invasiones. NO pueden aparecer aventureros chinos;;;;;;;;;x
RULE_COURT_LIMIT;Court Size Limit;Taille limite de la cour;Hofgrößenbegrenzung;;Límite del tamaño de corte;;;;;;;;;x
RULE_COURT_LIMIT_OFF;The number of courtiers allowed in each court is unlimited, and events tied to the mechanic are disabled.;Le nombre de courtisans admis dans chaque cour est illimité et les événements liés à cette mécanique sont désactivés.;Die Anzahl an Höflingen in einem Hof ist unbegrenzt und damit zusammenhängende Ereignisse sind deaktiviert.;;El número de cortesanos en la corte es ilimitado y los eventos unidos a la mecánica están desactivados.;;;;;;;;;x
RULE_COURT_LIMIT_ON;The number of courtiers allowed in each court is limited.;Le nombre de courtisans admis dans chaque cour est limité.;Die Anzahl an Höflingen in einem Hof ist begrenzt;;El número de cortesanos en la corte es limitado.;;;;;;;;;x
RULE_CRUSADER_STATES;Crusader States;États croisés;Kreuzritter-Staaten;;Estados cruzados;;;;;x
RULE_CULTURAL_TITLE_NAMES;Cultural Title Names;Titres nommés selon la culture;Kulturelle Titelnamen;;Nombres de títulos culturales;;;;;x
RULE_CULTURAL_TITLE_NAMES_OFF_DESC;The English name is used for all titles regardless of the ruling culture.;Le nom français est utilisé pour tous les titres, peu importe la culture dirigeante.;Ungeachtet der Herrscherkultur wird die deutsche Bezeichnung für alle Titel verwendet.;;Se usará el nombre en español para todos los títulos, sin importar la cultura predominante.;;;;;x
RULE_CULTURAL_TITLE_NAMES_ON_DESC;The names of titles may change depending on the ruling culture (e.g. 'Sviþjod' instead of Sweden.);Les noms des titres peuvent changer en fonction de la culture du dirigeant (exemple: 'Sviþjod' plutôt que Suède).;Je nach Herrscherkultur kann sich die Titelbezeichnung ändern (z. B. "Sviþjod" anstelle von Schweden.);;"Los nombres de los títulos pueden cambiar dependiendo de la cultura predominante (p. ej. ""Sviþjod"" en lugar de Suecia.)";;;;;x
RULE_CULTURE_CONVERSION;Culture Conversion;Conversion culturelle;Kulturumwandlung;;Conversión cultural;;;;;;;;;x
RULE_CULTURE_CONVERSION_DEFAULT_DESC;Culture will convert at the default rate.;Les cultures évoluent au taux par défaut.;Kultur wird mit Standardgeschwindigkeit umgewandelt.;;La cultura se convertirá a la velocidad por defecto.;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS;Faster Melting Pots;Creuset plus rapide;Schnellere Schmelztiegel;;Crisoles más rápidos;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL;Combination;Combinaison;Kombination;;Combinación;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL_DESC;Melting Pot cultures will appear at an increased rate, spread is restricted AND base Culture Conversion chance is reduced.;Les cultures issues d'un creuset apparaîtront à un taux plus élevé. Par ailleurs, la propagation est restreinte et la probabilité de base de conversion culturelle est réduite.;Schmelztiegelkulturen erscheinen häufiger, die Ausbreitung ist eingeschränkt UND die Basiswahrscheinlichkeit von Kulturumwandlung ist reduziert.;;Las culturas de crisol aparecerán a un ritmo mayor, la expansión está restringida Y se reduce la posibilidad de conversión de la cultura base.;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_DESC;Melting Pot cultures will appear at an increased rate, i.e. English, Swedish and Russian.;Les cultures issues d'un creuset (à savoir anglaise, suédoise et russe) apparaîtront à un taux plus élevé.;Schmelztiegelkulturen erscheinen häufiger, d.h. Englisch, Schwedisch und Russisch.;;Las culturas de crisol aparecerán a un ritmo mayor, p.ej., inglesa, sueca y rusa.;;;;;;;;;x
RULE_CULTURE_CONVERSION_RESTRICTED_DESC;Culture will not spread into counties which do not border a county of the same culture, unless it is a port.;Les cultures ne se répandront pas dans les comtés qui ne bordent pas un comté de même culture, à moins qu'il y ait un port.;Kultur breitet sich nicht in Provinzen aus, die nicht an Provinzen derselben Kultur angrenzen, es sei denn, es handelt sich um einen Hafen.;;La cultura no se extenderá a las provincias que no tengan por frontera una provincia de la misma cultura, a menos que sea un puerto.;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL;Slower Conversion;Conversion plus lente;Langsamere Umwandlung;;Conversión más lenta;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL_DESC;Base Culture Conversion chance is reduced by a factor of three.;La probabilité de base de conversion culturelle est divisée par trois.;Basiswahrscheinlichkeit von Kulturumwandlung wird um das Dreifache reduziert.;;La posibilidad de conversión de la cultura base se reduce en un factor de tres.;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT;De Jure Requirement;Conditions de jure;De-Jure-Anforderung;;Requisito de iure;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT_DEFAULT_DESC;Titles with De Jure land will be kept regardless of the circumstances.;Les titres avec des terres de jure seront conservés, quelles que soient les circonstances.;Titel von De-jure-Ländereien werden ungeachtet der Umstände behalten.;;Se mantendrán los títulos con tierras de iure independientemente de las circunstancias.;;;;;;;;;x
RULE_DEF_ATTRITION;Defensive Attrition;Attrition défensive;Defensivzermürbung;;Desgaste defensivo;;;;;;;;;x
RULE_DEF_ATTRITION_OFF_DESC;There is no special defensive attrition in Pagan lands.;Il n'y a pas d'attrition défensive propre aux terres païennes.;In heidnischen Ländern gibt es keine spezielle Defensivzermürbung.;;No hay un desgaste defensivo especial en tierras paganas.;;;;;;;;;x
RULE_DEF_ATTRITION_ON_DESC;Invaders suffer harsh attrition in the lands of many Pagan religions if their Military Organization tech level is too low.;Les envahisseurs subissent une sévère attrition sur les terres de nombreuses religions païennes si leur niveau technologique en organisation militaire est trop faible.;Invasoren leiden in den Ländern vieler heidnischer Religionen unter starker Zermürbung, wenn die Technologiestufe ihrer militärischen Organisation zu niedrig ist.;;Los invasores sufrirán fuerte desgaste en las tierras de muchas religiones Paganas si el nivel tecnológico de su Organización militar es demasiado bajo.;;;;;;;;;x
RULE_DEF_ATTRITION_TRIBAL;Tribal Only;Tribaux uniquement;Nur Stämme;;Solo tribal;;;;;;;;;x
RULE_DEF_ATTRITION_TRIBAL_DESC;Invaders suffer harsh attrition in the lands of many Pagan religions, but only if they are also Tribal.;Les envahisseurs subissent une sévère attrition sur les terres de nombreuses religions païennes, mais seulement si ce sont aussi des personnages tribaux.;Invasoren leiden in den Ländern vieler heidnischer Religionen unter starker Zermürbung, aber nur, wenn sie ebenfalls Stämme sind.;;Los invasores sufrirán fuerte desgaste en las tierras de muchas religiones Paganas, pero solo si también son tribales.;;;;;;;;;x
RULE_DEFENSIVE_PACTS;Defensive Pacts;Pactes défensifs;Verteidigungspakte;;Pactos defensivos;;;;;;;;;x
RULE_DEFENSIVE_PACTS_OFF_DESC;Characters are not allowed to join Defensive Pacts against realms who are Threatening. This tends to make the game easier.;Les personnages ne sont pas autorisés à rejoindre des pactes défensifs contre des pays qui représentent une menace. Ceci a tendance à rendre le jeu plus facile.;Personen dürfen keinen Verteidigungspakten gegen andere Reiche, die bedrohlich sind, beitreten. Dadurch wird das Spiel für gewöhnlich einfacher.;;Los personajes no podrán unirse a Pactos defensivos contra reinos Amenazantes. Esto suele hacer el juego más fácil.;;;;;;;;;x
RULE_DEFENSIVE_PACTS_ON_DESC;Characters are allowed to join Defensive Pacts against realms who are Threatening. If a member is attacked by the target, all other members will defend them.;Les personnages sont autorisés à rejoindre des pactes défensifs contre des pays qui représentent une menace. Si un membre est attaqué par la cible, tous les autres membres le défendront.;Personen dürfen Verteidigungspakten gegen andere Reiche, die bedrohlich sind, beitreten. Wird ein Mitglied vom Ziel angegriffen, helfen alle anderen Mitglieder bei der Verteidigung.;;Los personajes podrán unirse a Pactos defensivos contra reinos Amenazantes. Si un miembro es atacado por el objetivo, todos los demás miembros lo defenderán.;;;;;;;;;x
RULE_DEJURE;Dynamic De Jure Drift;Autorité de jure dynamique;Dynamische De-jure-Anpassung;;Dinámica de desviación de jure;;;;;;;;;x
RULE_DEJURE_DEFAULT_DESC;The dynamic De Jure drift of titles is allowed and unrestricted.;Le changement dynamique du territoire de jure des titres est permis et sans restriction.;Die dynamische De-jure-Anpassung für Titel ist erlaubt und unbeschränkt.;;Se permite la deriva dinámica de títulos De Jure y sin restricciones.;;;;;;;;;x
RULE_DEJURE_DURATION;De Jure Assimilation Duration;Durée d'assimilation de jure;De-jure-Assimilationsdauer;;Duración de la Asimilación De Jure;;;;;;;;;x
RULE_DEJURE_DURATION_DEFAULT_DESC;Sub-realms take 100 years to integrate into a De Jure Realm.;Les territoires vassaux prennent 100 ans pour faire partie du territoire de jure du pays.;Untergeordnete Reiche brauchen 100 Jahre, um sich in De-jure-Reiche zu integrieren.;;A los subrreinos les lleva 100 años integrarse en un reino de Jure.;;;;;;;;;x
RULE_DEJURE_DURATION_LONGER_DESC;Sub-realms take 300 years to integrate into a De Jure Realm.;Les territoires vassaux prennent 300 ans pour faire partie du territoire de jure du pays.;Untergeordnete Reiche brauchen 300 Jahre, um sich in De-jure-Reiche zu integrieren.;;A los subrreinos les lleva 300 años integrarse en un reino de Jure.;;;;;;;;;x
RULE_DEJURE_DURATION_SHORTER_DESC;Sub-realms take 50 years to integrate into a De Jure Realm.;Les territoires vassaux prennent 50 ans pour faire partie du territoire de jure du pays.;Untergeordnete Reiche brauchen 50 Jahre, um sich in De-jure-Reiche zu integrieren.;;A los subrreinos les lleva 50 años integrarse en un reino de Jure.;;;;;;;;;x
RULE_DEJURE_DURATION_SHORTEST_DESC;Sub-realms take 10 years to integrate into a De Jure Realm.;Les territoires vassaux prennent 10 ans pour faire partie du territoire de jure du pays.;Untergeordnete Reiche brauchen 10 Jahre, um sich in De-jure-Reiche zu integrieren.;;A los subrreinos les lleva 10 años integrarse en un reino de Jure.;;;;;;;;;x
RULE_DEJURE_OFF_DESC;Dynamic De Jure drift is disabled.;Le changement dynamique du territoire de jure des titres est désactivé.;Die dynamische De-jure-Anpassung ist deaktiviert.;;La deriva dinámica De Jure está desactivada.;;;;;;;;;x
RULE_DEJURE_RESTRICTED_DESC;The dynamic De Jure drift of titles is allowed, but restricted. Drift can only happen if titles border each other.;Le changement dynamique du territoire de jure des titres est permis, mais restreint.;Die dynamische De-jure-Anpassung für Titel ist erlaubt, aber beschränkt. Anpassungen finden nur statt, wenn Titel aneinander angrenzen.;;Se permite la deriva dinámica de títulos De Jure, pero restringida. Solo se permite la deriva si los títulos lindan entre sí.;;;;;;;;;x
RULE_DEMESNE_SIZE;Demesne Size;Taille du domaine;Domänengröße;;Tamaño de la heredad;;;;;;;;;x
RULE_DEMESNE_SIZE_DEFAULT_DESC;The Demesne Size and amount of land a ruler can control is at the default level.;La taille de domaine est au niveau par défaut.;Die Domänengröße und das Herrschaftsgebiet, das ein Herrscher kontrollieren kann, ist auf der Standardstufe.;;El tamaño de la heredad y la cantidad de vasallos que un gobernante puede controlar sin penalizaciones está en el nivel por defecto.;;;;;;;;;x
RULE_DEMESNE_SIZE_HALF_DESC;The Demesne Size is reduced to a half the default level.;La taille de domaine est réduite à la moitié du taux par défaut.;Die Domänengröße ist auf die Hälfte der Standardstufe reduziert.;;El tamaño de la heredad se reduce a la mitad del nivel por defecto.;;;;;;;;;x
RULE_DEMESNE_SIZE_QUARTERED_DESC;The Demesne Size is reduced to a fourth of the default level.;La taille de domaine est réduite au quart du niveau par défaut.;Die Domänengröße ist auf ein Viertel der Standardstufe reduziert.;;El tamaño de la heredad se reduce a un cuarto del nivel por defecto.;;;;;;;;;x
RULE_DEMESNE_SIZE_UNLIMITED_DESC;There is no limit to the amount of land a ruler can control.;La taille de domaine est illimitée.;Das Herrschaftsgebiet, das ein Herrscher kontrollieren kann, ist unbegrenzt.;;No hay límite en la cantidad de tierras que puede controlar un gobernante.;;;;;;;;;x
RULE_DEVIL_WORSHIPERS;§BMonks and Mystics:§! Devil Worshipers;Les adorateurs du démon (§BMonks and Mystics§! - Moines et mystiques);§BMonks and Mystics:§! Teufelsanbeter;;§BMonks and Mystics:§! Adoradores del diablo;;;;;;;;;x
RULE_DEVIL_WORSHIPERS_DEFAULT_DESC;Devil Worshipers will practice their foul magic across the world.;Les adorateurs du démon pratiqueront leur magie démoniaque.;Teufelsanbeter werden ihren faulen Zauber in der ganzen Welt ausüben.;;Los adoradores del diablo practicarán su magia oscura en todo el mundo.;;;;;;;;;x
RULE_DEVIL_WORSHIPERS_NONE_DESC;There will be no Devil Worshipers.;Il n'y aura pas d'adorateurs du démon.;Es wird keine Teufelsanbeter geben.;;No habrá ningún adorador del diablo.;;;;;;;;;x
RULE_DIPLO_ASSASSINATION;Assassination;Assassinat;Ermordung;;Asesinatos;;;;;;;;;x
RULE_DIPLO_ASSASSINATION_OFF;Plots Only;Complots seulement;Nur Verschwörungen;;Solo complots;;;;;;;;;x
RULE_DIPLO_ASSASSINATION_OFF_DESC;You can only assassinate people through Plots.;Vous pouvez seulement assassiner un personnage via un complot.;Personen können nur durch Verschwörungen ermordet werden.;;Solo podrás asesinar gente mediante complots;;;;;;;;;x
RULE_DIPLO_ASSASSINATION_ON;Direct Action;Action directe;Direkte Handlungen;;Acción directa;;;;;;;;;x
RULE_DIPLO_ASSASSINATION_ON_DESC;In addition to murder plots, there is also a diplomatic action to have people assassinated.;En plus des assassinats par complot, il y a aussi une action diplomatique pour assassiner un personnage.;Neben Mordkomplotten können Personen auch durch diplomatische Handlungen ausgeschaltet werden.;;Además de los asesinatos por complot, también hay una acción diplomática para asesinar gente.;;;;;;;;;x
RULE_DIPLO_RANGE;Diplomatic Range;Portée diplomatique;Diplomatische Reichweite;;Alcance diplomático;;;;;;;;;x
RULE_DIPLO_RANGE_OFF_DESC;Diplomatic Range will not be enforced, allowing characters to interact fully regardless of their distance to each other.;La portée diplomatique n'est pas appliquée, permettant aux personnages d'interagir pleinement malgré la distance les séparant.;Diplomatische Reichweite wird nicht erzwungen, sodass Personen unabhängig von der Entfernung uneingeschränkt miteinander interagieren können.;;No se impondrá el Alcance diplomático, permitiendo que los personajes interactúen por completo, sin importar su distancia.;;;;;;;;;x
RULE_DIPLO_RANGE_ON_DESC;Diplomatic Range will be enforced, limiting the distance in which characters might interact.;La portée diplomatique est appliquée, limitant ainsi la distance à laquelle les personnages peuvent interagir.;Diplomatische Reichweite wird erzwungen, was die Entfernung, über welche Personen interagieren könnten, einschränkt.;;Se impondrá el Alcance diplomático, limitando la distancia a la cual los personajes pueden interactuar.;;;;;;;;;x
RULE_DIPLO_RANGE_RESTRICTED_DESC;Diplomatic Range will be further restricted, halving the distance in which characters can interact.;La portée diplomatique est réduite de moitié.;Diplomatische Reichweite wird noch weiter eingeschränkt, sodass die Entfernung, zwischen der Personen interagieren können, halbiert wird.;;Alcance diplomático será aún más restringido, reduciendo a la mitad la distancia a la cual los personajes pueden interactuar.;;;;;;;;;x
RULE_DUELING;§BWay of Life:§! Dueling;Duels (§BWay of Life§! - Mode de vie);§BWay of Life:§! Duellieren;;§BWay of Life:§! Duelos;;;;;;x
RULE_DUELING_DEFAULT_DESC;Default restrictions for dueling applies.;Les restrictions par défaut pour les duels sont appliquées.;Standardbeschränkungen für Duellieren gelten.;;Se aplican las restricciones predeterminadas para los duelos.;;;;;;x
RULE_DUELING_RESTRICTED_DESC;You no longer need a reason to duel someone, but they must still be healthy and a valid target in your culture and religion.;Vous n'avez plus besoin d'une raison pour défier en duel quelqu'un, mais il doit être en bonne santé et une cible valide pour votre culture et votre religion.;Ihr braucht keinen Grund, um mit jemandem zu duellieren, aber Euer Gegner muss gesund und ein würdiger Gegner in Ihrer Kultur und Religion sein.;;Ya no necesitas motivos para retar a alguien en duelo, pero deben estar en condición saludable y ser un objetivo válido para tu cultura y tu religión.;;;;;;x
RULE_DUELING_UNRESTRICTED_DESC;Almost anyone can be dueled. Penalties in regards to gender or religion are no longer applied.;Presque quiconque peut être défié. Les pénalités concernant le sexe et la religion ne sont pas appliquées.;Fast jeder kann duelliert werden. Keine Strafen in Bezug auf Geschlecht oder Religion.;;Puede batirse con cualquiera. No se aplican ya penalizaciones por género o religión.;;;;;;;;x
RULE_DYNAMIC_CRUSADER_STATES_LIMITED;Only players will be able to form dynamic Crusader States.;Seuls les joueurs peuvent former des États croisés.;Nur Spieler können dynamische Kreuzritter-Staaten gründen.;;Solo los jugadores pueden formar estados cruzados dinámicos.;;;;;x
RULE_DYNAMIC_CRUSADER_STATES_OFF;Neither players nor AI will form Crusader States.;Ni les joueurs ni l'IA ne peuvent former des États croisés.;Weder Spieler als auch die KI können dynamische Kreuzritter-Staaten gründen.;;Ni jugadores de ni IA pueden formar estados cruzados;;;;;x
RULE_DYNAMIC_CRUSADER_STATES_ON;Both players and AI will be able to form dynamic Crusader States.;Les joueurs et l'IA peuvent former des États croisés.;Sowohl Spieler als auch die KI können dynamische Kreuzritter-Staaten gründen.;;Tanto jugadores como IA pueden formar estados cruzados dinámicos.;;;;;x
RULE_DYNAMIC_REALMS;§BCharlemagne:§! Custom Realms;Pays personnalisés (§BCharlemagne§!);§BCharlemagne:§! Benutzerdefinierte Reiche;;§BCharlemagne:§! Reinos personalizados;;;;;;;;;x
RULE_DYNAMIC_REALMS_OFF_DESC;The creation of custom non-historical Kingdoms and Empires is disallowed.;La création de royaumes et empires anhistoriques personnalisés n'est pas permise.;Das Erstellen von benutzerdefinierten, nicht-historischen König- und Kaiserreichen ist nicht erlaubt.;;No se permite la creación de Reinos y de Imperios no históricos personalizados.;;;;;;;;;x
RULE_DYNAMIC_REALMS_ON_DESC;The creation of custom non-historical Kingdoms and Empires is allowed.;La création de royaumes et empires anhistoriques personnalisés est permise.;Das Erstellen von benutzerdefinierten, nicht-historischen König- und Kaiserreichen ist erlaubt.;;Se permite la creación de Reinos y de Imperios no históricos personalizados.;;;;;;;;;x
RULE_DYNASTY_TITLE_NAMES;Titles Named After Dynasties;Titres nommés selon la dynastie;Nach Dynastien benannte Titel;;Nombres de títulos según las dinastías;;;;;x
