#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
ca_stable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;Cet enclos proche du château abrite les destriers de l'armée.;Dieser Stall, direkt außerhalb der Burgmauern, beherbergt alle Rösser des Heeres.;;Este establo situado junto a las murallas del castillo alberga las monturas de la leva. ;;;;;;;;;x
ca_town_1_desc;A small village has formed around the castle, as local peasants flock to its walls for protection.;Un petit village fortifié s'est formé autour du château. Les paysans des environs affluent vers ces murs pour bénéficier de protection.;Ein kleines Dorf hat sich um die Burg herum gebildet, da ansässige Bauern für Schutz zu den Burgmauern strömen.;;Una pequeña aldea se ha formado alrededor del castillo, pues los campesinos locales acuden a sus murallas en busca de protección. ;;;;;;;;;x
ca_town_2_desc;A town has formed around the castle, as local peasants flock to its walls for protection.;Un petit bourg fortifié s'est formé autour du château. Les paysans des environs affluent vers ces murs pour bénéficier de protection.;Eine Kleinstadt hat sich um die Burg herum gebildet, da ansässige Bauern für Schutz zu den Burgmauern strömen.;;Un pueblo se ha formado alrededor del castillo, pues los campesinos locales acuden a sus murallas en busca de protección. ;;;;;;;;;x
ca_town_3_desc;A city has formed around the castle, as local peasants flock to its walls for protection.;Une petite ville fortifiée s'est formée autour du château. Les paysans des environs affluent vers ces murs pour bénéficier de protection.;Eine Stadt hat sich um die Burg herum gebildet, da ansässige Bauern für Schutz zu den Burgmauern strömen.;;Una ciudad se ha formado alrededor del castillo, pues los campesinos locales acuden a sus murallas en busca de protección. ;;;;;;;;;x
ca_town_4_desc;The small village that once surrounded this castle has turned into a large city, with thousands of inhabitants calling it their home.;Le petit village qui jadis fut construit autour du château est devenu une belle cité où des milliers d'habitants ont trouvé leur bien-être.;Das kleine Dorf, das diese Burg einmal umgeben hat, hat sich zu einer großen Stadt mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen. ;;La pequeña aldea que una vez rodeó el castillo se ha convertido en una gran ciudad, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
ca_town_5_desc;The small village that once surrounded this castle has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;Le petit village qui jadis fut construit autour du château est devenu une puissante et vaste cité où des milliers d'habitants ont trouvé leur confort.;Das kleine Dorf, das diese Burg einmal umgeben hat, hat sich zu einer geschäftigen Metropole mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen. ;;La pequeña aldea que una vez rodeó el castillo se ha convertido en una bulliciosa metrópoli, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
ca_wall_1_desc;A simple palisade to keep out riff-raff, but it will not delay a determined attacker for very long.;Une simple palissade qui peut éloigner la piétaille, mais qui ne retiendra jamais très longtemps un assaillant déterminé.;Einfache Palisaden, die Gesindel fernhalten, allerdings werden sie keinem entschlossenen Angreifer lange standhalten.;;Empalizada sencilla para impedir el paso a los alborotadores, aunque no resistirá mucho tiempo ante un atacante resuelto. ;;;;;;;;;x
ca_wall_2_desc;These low walls provide some protection, but they can still easily be scaled.;Ces murs bas offrent une certaine protection, mais peuvent être facilement escaladés.;Diese niedrigen Mauern bieten einen gewissen Schutz, allerdings können sie leicht niedergerissen werden.;;Estas murallas bajas proporcionan cierta protección, pero pueden escalarse fácilmente. ;;;;;;;;;x
ca_wall_3_desc;These stone walls surround the castle and must be overcome by any attacker.;Ces remparts qui entourent le château contraignent les attaquants à tenter de les surmonter.;Diese Steinmauern umgeben die Burg und müssen von jedem Angreifer überwunden werden.;;Estas murallas de piedra rodean el castillo y deben ser superadas por cualquier atacante.;;;;;;;;;x
ca_wall_4_desc;These large walls surround the castle and must be overcome by any attacker.;Ces murailles qui entourent le château sont difficilement surmontable par un assaillant.;Diese großen Mauern umgeben die Burg und müssen erst von jedem Angreifer überwunden werden.;;Estas grandes murallas rodean el castillo y deben ser superadas por cualquier atacante.;;;;;;;;;x
ca_wall_5_desc;These massive walls surround the castle and must be overcome by any attacker.;Ces murailles massives qui entourent le château sont presque insurmontable pour les assaillants.;Diese massiven Mauern umgeben die Burg und müssen erst von jedem Angreifer überwunden werden.;;Estas enormes murallas rodean el castillo y deben ser superadas por cualquier atacante.;;;;;;;;;x
ca_wall_q_1_desc;This shallow moat surrounding the castle provides another obstacle for attackers to overcome.;Ces douves peu profondes qui entourent le château sont pour l'attaquant un obstacle supplémentaire à franchir.;Dieser seichte Burggraben, der die Burg umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen.;;El poco profundo foso que rodea el castillo es un obstáculo más que los atacantes deben superar.;;;;;;;;;x
ca_wall_q_2_desc;These narrow slits allow the defenders to rain down arrows on any attacker without being hit in turn.;Ces étroites meurtrières permettent aux défenseurs de tirer une pluie de flèches sur l'attaquant sans trop de risque.;Diese schmalen Schlitze erlauben es den Verteidigern, Pfeile auf jeden Angreifer herabregnen zu lassen, ohne selbst getroffen zu werden.;;Estas estrechas hendiduras permiten a los defensores lanzar una lluvia de flechas sobre cualquier enemigo sin ser contraatacados.;;;;;;;;;x
ca_wall_q_3_desc;A fortified portcullis that can quickly be raised or lowered as the situation demands.;Une herse renforcée qui peut être rapidement levée ou baissée selon les besoins.;Ein befestigtes Fallgatter, das schnell geöffnet oder geschlossen werden kann, ganz wie es die Situation verlangt.;;Un rastrillo fortificado que puede alzarse o bajarse rápidamente, según la situación lo requiera. ;;;;;;;;;x
ca_wall_q_4_desc;A deep moat filled with unsanitary water. A formidable obstacle for any attacker.;Un pont-levis fortifié offre un formidable obstacle à tout assaillant.;Ein tiefer Burggraben, gefüllt mit verschmutztem Wasser. Ein hervorragendes Hindernis gegen jegliche Angreifer.;;Profundo foso lleno de agua insalubre. Un obstáculo formidable contra cualquier atacante.;;;;;;;;;x
ca_wall_q_5_desc;This outer network of barbicans ensures that attackers come under fire before they can even approach the main walls.;Les barbacanes protégent un passage ou une porte. Elle expose les attaquants à des tirs avant même qu'ils ne puissent s'approcher des murs principaux.;Dieses Außennetzwerk an Wachtürmen stellt sicher, dass Angreifer bereits unter Beschuss stehen, bevor sie auch nur die Hauptmauern erreicht haben.;;Esta red exterior de barbacanas asegura que los atacantes sean atacados antes de que tan siquiera logren acercarse a las murallas principales. ;;;;;;;;;x
ca_warrior_cult_desc;Pagan warriors from all nearby tribes gather here and work themselves into a blood frenzy before they set out for battle.;Des guerriers païens des tribus environnantes se rassemblent ici et s'excitent dans une frénésie sanglante avant de se préparer à la bataille.;Heidnische Krieger von allen nahegelegenen Stämmen haben sich hier versammelt und treiben sich gegenseitig in einen Blutrausch, bevor sie in den Kampf ziehen. ;;Guerreros paganos de todas las tribus cercanas se reúnen aquí y se entrenan en un frenesí de sangre antes de partir para la batalla. ;;;;;;;;;x
CAMPAIGN_FUND;Campaign Fund;Fonds de campagne;Wahlkampffonds;;Fondos de Campaña;;;;;;;;;x
CAMPAIGN_FUND_DESC;Money in the Campaign Fund will increase your Respect in the senate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the current $RULER_TITLE$ dies, when the Fund will be used up in the election campaign.;L'argent que vous placez dans le fonds de campagne augmentera votre côte de respect auprès du Sénat ainsi que les chances de votre candidat d'être élu comme $RULER_TITLE$. Vous pouvez librement ajuster le montant investi, jusqu'au décès du $RULER_TITLE$ actuel. Ensuite, ce fond sera utilisé pour la campagne électorale.;Geld des Wahlkampffonds wird Euren Respekt im Senat erhöhen und die Wahrscheinlichkeit erhöhen, dass Euer Kandidat zum nächsten $RULER_TITLE$ gewählt wird. Ihr könnt den Betrag frei anpassen, bis der gegenwärtige $RULER_TITLE$ stirbt, dann wird Euer Fond für den Wahlkampf verbraucht.;;El Dinero en los Fondos de Campaña incrementará tu Respeto en el senado y hará que tu candidato tenga más posibilidades de ser elegido el próximo $RULER_TITLE$. Puedes ajustar libremente la cantidad hasta que el actual $RULER_TITLE$ muera, entonces los Fondos se utilizarán en la campaña de elección.;;;;;;;;;x
CANT_BUILD_TRADEPOST_COASTAL;Is Coastal;La province est côtière;An der Küste gelegen;;Es Costero;;;;;;;;;x
CANT_BUILD_TRADEPOST_EMBARGO;Is not Embargoed by $WHO$;Ne subit pas l'embargo de $WHO$;Nicht von $WHO$ unter Embargo;;No está embargado por $WHO$;;;;;;;;;x
CB_NAME_COASTAL_COUNTY_REPUBLIC;Seize [Title.GetBaseName];S'emparer des côtes de [Title.GetBaseName];Erobert [Title.GetBaseName];;Arrasar [Title.GetBaseName];;;;;;;;;x
CB_NAME_COASTAL_REPUBLIC;Seize the City of [Title.GetBaseName];S'emparer de la cité de [Title.GetBaseName];Erobert die Stadt von [Title.GetBaseName];;Arrasar la ciudad de [Title.GetBaseName];;;;;;;;;x
CB_NAME_EMBARGO;Embargo;Embargo;Embargo;;Embargo;;;;;;;;;x
CB_NAME_SEIZE_TRADE_POST;Seize [Title.GetBaseName] Trade Post;S'emparer du comptoir de [Title.GetBaseName];Beschlagnahmt den [Title.GetBaseName]-Handelsposten;;Apoderarse del Puesto Comercial de [Title.GetBaseName];;;;;;;;;x
continue_feud_tooltip;You blame the rival family for the death of your child.;Vous reprochez la mort de votre fils à la famille rivale.;Ihr macht die rivalisierende Familie für den Tod Eures Kindes verantwortlich.;;Culpas a la familia rival de la muerte de tu hijo.;;;;;;;;;x
ct_barracks_2_desc;This range lets the city inhabitants practise their archery and provides skilled bowmen for the militia.;Les citadins peuvent s'exercer au tir à l'arc dans cette archerie. La milice peut ainsi disposer d'habiles archers.;Dieser Bereich erlaubt es den Bewohnern der Stadt, sich in der Bogenkunst zu üben, und bietet der Miliz sachkundige Bogenschützen.;;Este campo de entrenamiento permite a los habitantes de la ciudad practicar el tiro con arco y proporciona arqueros cualificados a la milicia. ;;;;;;;;;x
ct_guard_1_desc;The city guard are headquartered here, constantly on watch for those who would break the law or upset the peace.;Le quartier général des gardes de la cité sont ici. Ils patrouillent constamment dans les rues, prêts à arrêter quiconque contrevient à la loi ou trouble la paix.;Die Stadtwache hat hier ihren Hauptsitz und hält rund um die Uhr nach denen Ausschau, die das Gesetz brechen oder den Frieden stören würden. ;;La guardia de la ciudad, siempre atenta para descubrir a quienes violen la ley o alteren el orden público, tiene su sede aquí. ;;;;;;;;;x
ct_marketplace_1_desc;A small market in the center of town where merchants peddle their wares.;Une petite place de marché au centre de la ville où les marchands locaux concluent leurs petites transactions.;Ein kleiner Markt im Zentrum der Stadt, wo die Kaufleute ihre Waren feilbieten. ;;Pequeño mercado en el centro de la ciudad donde los mercaderes venden sus mercancías. ;;;;;;;;;x
ct_marketplace_1_desc_muslim;A small bazaar in the center of town where merchants peddle their wares.;Un petit souk logé au coeur de la ville où les marchands locaux mènent leurs petites affaires.;Ein kleiner Basar im Zentrum der Stadt, wo die Kaufleute ihre Waren feilbieten.;;Pequeño bazar del centro de la ciudad donde los mercaderes venden sus mercancías. ;;;;;;;;;x
ct_marketplace_2_desc;This is where the city's guilds meet and organize their activities.;C'est là que les guildes de la cité se rencontrent et organisent leurs activités.;An diesem Ort treffen sich die Gilden der Stadt und organisieren ihre Aktivitäten.;;Aquí es donde los gremios de la ciudad se reúnen y organizan sus actividades. ;;;;;;;;;x
ct_marketplace_2_desc_muslim;A large bazaar in the center of town where merchants peddle their wares.;Un souk situé au centre de la ville où les marchands de la région concluent leurs affaires.;Ein großer Basar im Zentrum der Stadt, wo die Kaufleute ihre Waren feilbieten.;;Gran bazar del centro de la ciudad donde los mercaderes venden sus mercancías. ;;;;;;;;;x
ct_marketplace_3_desc;Toll booths provide a welcome boost to any city's income, as traveling merchants are forced to part with some of their wealth while passing through.;Les barrières de péages augmentent considérablement les revenus de la cité car les marchands qui passent par là doivent se délester d'une partie de leurs richesses.;Mauthäuschen bieten dem städtischen Einkommen einen willkommenen Schub, da reisende Kaufleute bei ihrer Durchreise einen Teil ihres Reichtums abgeben müssen.;;Los controles de peaje favorecen los ingresos de cualquier ciudad, puesto que los mercaderes ambulantes se ven obligados a desprenderse de parte de su riqueza al pasar.;;;;;;;;;x
ct_marketplace_3_desc_muslim;This open-air marketplace is filled with merchant stands where almost anything can be bought.;Ce marché à ciel ouvert est rempli de kiosques de marchands où on peut acheter à peu près tout.;Dieser Marktplatz im Freien ist gefüllt mit den Ständen der Kaufleute, an denen man fast alles kaufen kann.;;Este mercado al aire libre está lleno de puestos de mercaderes que venden prácticamente de todo.;;;;;;;;;x
ct_marketplace_4_desc;Legal disputes in the city are adjucated here, ensuring that trade and commerce continues to flow as smoothly as possible.;Dans la cité, les disputes finissent par être réglées ici, en respectant le code juridique, ce qui assure la sérénité des affaires commerciales.;Rechtliche Streitigkeiten in der Stadt werden hier verhandelt und stellen sicher, dass der Handel weiterhin so reibungslos wie möglich weitergehen kann.;;Las disputas legales de la ciudad se deliberan aquí, lo que garantiza que el comercio y los negocios fluyan de la mejor forma posible. ;;;;;;;;;x
ct_marketplace_4_desc_muslim;This walled and highly populated quarter of the city is a complex maze of narrow streets and alleyways.;Ce bazar à l'intérieur de l'enceinte de la cité est très peuplé. Ses rues étroites et ses ruelles forment un complexe labyrinthe.;Dieses von Mauern umgebene und stark bewohnte Stadtviertel ist ein komplexes Labyrinth aus engen Straßen und Gassen.;;Este barrio amurallado de la ciudad, densamente poblado, es un complejo laberinto de callejuelas y pasadizos.;;;;;;;;;x
ct_marketplace_5_desc;Assay offices test the purity of precious metals, and the assayer provides those certified as pure with a master's mark as proof of their quality. This helps to promote fair and honest trade.;On teste la pureté des métaux précieux dans ces hôtels. Les analystes apposent leur marque sur les métaux qui sont certifiés purs, preuve de leur qualité. Ceci assure un commerce honnête et juste. ;In Metallprobenbüros wird die Reinheit wertvoller Metalle überprüft und der Prüfer vergibt an all jene, die als unverfälscht gelten, die Meistermarke als Zeichen für ihre Qualität. Dies hilft dabei, einen gerechten und ehrlichen Handel voranzutreiben.;;Las oficinas de tasación analizan la pureza de los metales preciosos. El tasador agrega a los metales certificados como puros una marca maestra que garantiza su calidad. Esto ayuda a promover el comercio justo y honesto. ;;;;;;;;;x
ct_marketplace_5_desc_muslim;This walled and highly populated quarter forms the heart of the city, and it is a complex maze of narrow streets and alleyways.;Ce bazar couvert est très peuplé et se greffe au coeur de la cité. Ses rues étroites et ses ruelles forment un complexe labyrinthe.;Dieses von Mauern umgebene und stark bewohnte Stadtviertel bildet das Herz der Stadt und ist ein komplexes Labyrinth aus engen Straßen und Gassen.;;Este barrio amurallado constituye el corazón de la ciudad, densamente poblado, y es un complejo laberinto de callejuelas y pasadizos.;;;;;;;;;x
ct_marketplace_6_desc;These fairgrounds are large enough to host a magnificent fair, bringing in traders and entertainers from all over the realm.;Ces grandes Foires sont assez importants qu'ils nécessitent d'immenses champs, afin d'accueillir des marchands et des artistes venus de tout le Royaume.;Dieser Festplatz ist groß genug, um einen prächtigen Jahrmarkt abzuhalten, der Händler und Unterhaltungskünstler aus dem ganzen Reich anlockt.;;Estos terrenos son lo suficientemente amplios como para albergar una magnífica feria, que convoca a mercaderes y artistas de todo el territorio.;;;;;;;;;x
ct_marketplace_6_desc_muslim;A great bazaar that seems filled with merchants from all over the known world. If an item can't be found for sale here, it likely doesn't exist.;Un grand bazar qui accueille les marchands provenant de tous les coins du monde connu. Si vous ne trouvez pas ce que vous cherchez ici, c'est probablement que cela n'existe pas.;Ein großer Basar, der mit Kaufleuten aus der ganzen Welt gefüllt ist. Wenn ein Gegenstand hier nicht zum Verkauf feilgeboten wird, ist es sehr wahrscheinlich, dass er gar nicht existiert.;;Este gran bazar parece reunir a mercaderes de todo el mundo conocido. Lo que no está a la venta aquí, probablemente ni existe. ;;;;;;;;;x
ct_port_1_desc;A port that services ships coming in to load or unload cargo.;Un petit embarcadère où apontent les bateaux venant charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen, dazu dient, ihre Fracht zu be- oder entladen.;;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;;;;;x
ct_rep_wall_1;Inner City Walls;Murs intra-muros;Innere Stadtmauern;;Murallas interiores de la ciudad;;;;;;;;;x
ct_rep_wall_1_desc;These inner defensive walls protects the heart of the city from attackers, but outlying districts are left to fend for themselves.;Ces murs défensifs construis à l'intérieur de la ville protègent le coeur de la cité en cas d'attaque, mais les quartiers périphériques devront se défendre eux-mêmes.;Diese inneren Verteidigungsmauern beschützen das Herz der Stadt vor Angreifern, doch abseits gelegene Viertel müssen sich selbst verteidigen. ;;Estas murallas interiores protegen el corazón de la ciudad de los atacantes, pero los barrios periféricos tienen que defenderse por sí mismos.;;;;;;;;;x
ct_rep_wall_2;Outer City Walls;Enceinte citadine;Äußere Stadtmauern;;Murallas exteriores de la ciudad;;;;;;;;;x
ct_rep_wall_2_desc;These outer defensive walls surround the entire city, and still offer defenders the opportunity to fall back to the inner walls in case of a breach.;Ces murs défensifs extérieurs englobent la cité tout entière et permettent toujours aux défenseurs de se replier vers les murs intérieurs en cas de brèche. ;Diese äußeren Verteidigungsmauern umgeben die gesamte Stadt und bieten Verteidigern immer noch die Möglichkeit, sich im Falle eines Durchbruchs hinter die inneren Mauern zurückzuziehen.;;Estas murallas exteriores rodean toda la ciudad y además ofrecen a los defensores la posibilidad de recurrir a las murallas interiores en caso de ser rebasadas.;;;;;;;;;x
ct_rep_wall_3;Fortified Gates;Portes fortifiées;Verstärkte Tore;;Puertas fortificadas;;;;;;;;;x
ct_rep_wall_3_desc;Several massive, fortified gates have been constructed at strategic points along the city walls to allow easy passage for visiting merchants.;Plusieurs portes fortifiées massives ont été construites à des points stratégiques le long des murs de la cité pour permettre aux marchands étrangers d'entrer dans la ville tout en protégeant les accès.;Mehrere massive, verstärkte Tore wurden an strategischen Punkten entlang der Stadtmauern gebaut, um besuchenden Kaufleuten einen einfachen Durchgang zu gewähren. ;;Se han construido varias puertas fortificadas de enorme tamaño en puntos estratégicos de las murallas para permitir el paso a los mercaderes que visitan la ciudad.;;;;;;;;;x
ct_rep_wall_4;Harbor Forts;Forts portuaires;Hafenfestungen;;Fortalezas del puerto;;;;;;;;;x
ct_rep_wall_4_desc;The city harbor is guarded by these imposing forts, and several massive chains on the sea floor can be quickly raised to deny access to and from the port.;Le port de la cité est protégé par ces imposantes fortifications et de nombreuses chaînes massives ancrées au fond de la mer peuvent être relevées rapidement pour bloquer l'accès au port et pour empêcher qu'on le quitte.;Der Stadthafen wird von diesen imposanten Festungen bewacht und mehrere Ketten auf dem Meeresboden können schnell hochgezogen werden, um den Zugang zu und aus dem Hafen zu verbieten. ;;El puerto de la ciudad está custodiado por estas fortalezas imponentes, que permiten elevar rápidamente unas inmensas cadenas desde el fondo del mar e impedir la entrada y salida del puerto.;;;;;;;;;x
