#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC24500;A Loving Marriage ends with my death.;Un mariage d'amour qui se termine par ma mort.;Eine Ehe voller Liebe endet mit meinem Tod.;;Un matrimonio feliz acaba con mi muerte.;;;;;;;;;x
EVTOPTA24501;Wenching might make me forget her!;Courir la gueuse m'aiderait peut-être à l'oublier !;Huren sollten mich von ihr ablenken!;;¡Ir con prostitutas podría ayudarme a olvidarla!;;;;;;;;;x
EVTOPTA24502;I'm dead;Je suis mort[Root.Get_E].;Ich bin tot;;Estoy muerto;;;;;;;;;x
EVTOPTA24503;Maybe my wife can give me another son?;Et si ma femme me donnait un autre fils ?;Vielleicht kann meine Gattin mir einen weiteren Sohn schenken?;;Quizá mi mujer me dé otro hijo.;;;;;;;;;x
EVTOPTA24504;I know it was nothing wrong with ME;Je sais que JE n'ai aucun problème.;Ich weiß, dass es nicht an MIR lag;;Sé que no había nada malo en MÍ;;;;;;;;;x
EVTOPTA24505;Someone suspects I did not die naturally!;Quelqu'un soupçonne que je ne suis pas mort de mort naturelle !;Jemand hat den Verdacht, dass ich keines natürlichen Todes starb!;;¡Alguien sospecha que mi muerte no fue natural!;;;;;;;;;x
EVTOPTA24506;I will keep my grudge;Je vais garder ma rancune pour moi.;Ich werde meinen Groll pflegen;;Me guardaré el rencor;;;;;;;;;x
EVTOPTA24507;[From.GetTitledFirstName] must be delusional!;[From.Get_Le_TitledFirstName] doit délirer !;[From.GetTitledFirstName] muss verrückt sein!;;¡[From.GetTitledFirstName] imagina cosas!;;;;;;;;;x
EVTOPTA24510;Keep your promise or I will haunt you, forever!;Tenez votre promesse ou je vous hanterai pour l'éternité !;Haltet Euer Versprechen oder ich werde Euch für immer heimsuchen!;;¡Cumplid vuestra promesa u os perseguiré eternamente!;;;;;;;;;x

EVTOPTB24501;I will never forget [From.GetTitledFirstName]!;Je n'oublierai jamais [From.Get_le_TitledFirstName] !;Ich werde [From.GetTitledFirstName] nie vergessen!;;¡Nunca olvidaré a [From.GetTitledFirstName]!;;;;;;;;;x
EVTOPTB24503;I have other sons, maybe one of them can be worthy;J'ai d'autres fils. L'un d'eux fera peut-être l'affaire.;Ich habe noch andere Söhne, vielleicht ist einer von ihnen geeignet;;Tengo más hijos, quizá sirva alguno;;;;;;;;;x
EVTOPTB24506;There's no doubt in my mind, the murderer will be imprisoned!;Pour moi, il n'y a aucun doute : le meurtrier doit être emprisonné !;Ich habe keinerlei Zweifel, der Mörder kommt ins Gefängnis!;;¡No tengo ninguna duda, el asesino debe ser encerrado! ;;;;;;;;;x
EVTOPTB24507;[From.GetTitledFirstName], your friend's murderer will be imprisoned!;[From.Get_Le_TitledFirstName], l'assassin va être emprisonné !;[From.GetTitledFirstName], der Mörder Eures Freundes wird eingekerkert!;;¡[From.GetTitledFirstName], encerraré al asesino de tu amigo!;;;;;;;;;x

EVTOPTC24506;[Root.Liege.GetTitledFirstName] must listen to reason!;[Root.Liege.Get_Le_TitledFirstName] doit entendre raison !;[Root.Liege.GetTitledFirstName] muss auf die Vernunft hören!;;¡[Root.Liege.GetTitledFirstName] debe atender a razones!;;;;;;;;;x

EVTTOOLTIP24501;He will mourn us;Il va nous pleurer.;Er wird uns betrauern;;Él nos llorará;;;;;;;;;x
EVTTOOLTIP24503;[Root.Father.GetTitledFirstName] will have to deal with it.;[Root.Father.Get_Le_TitledFirstName] va devoir s'y faire.;[Root.Father.GetTitledFirstName] muss damit leben.;;[Root.Father.GetTitledFirstName] deberá ocuparse de ello.;;;;;;;;;x
EVTTOOLTIP24504;Visit [Root.Spouse.GetTitledFirstName] in her bedchamber.;Rendez visite [Root.Spouse.Get_au_TitledFirstName] dans sa chambre à coucher.;[Root.Spouse.GetTitledFirstName] in ihrem Schlafgemach besuchen.;;Ve al dormitorio de [Root.Spouse.GetTitledFirstName].;;;;;;;;;x
EVTTOOLTIP24506;[This.GetTitledFirstName] reacts to the strange circumstances of [Root.GetTitledFirstName]'s death;[This.Get_Le_TitledFirstName] réagit au circonstances étranges de la mort [Root.Get_du_TitledFirstName];[This.GetTitledFirstName] reagiert auf die merkwürdigen Todesumstände von [Root.GetTitledFirstName];;[This.GetTitledFirstName] reacciona ante las extrañas circunstancias que rodean a la muerte de [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP24507;[Root.Liege.GetTitledFirstName] is told about [Root.GetTitledFirstName]'s suspicions;On informe [Root.Liege.Get_le_TitledFirstName] des soupçons [Root.Get_du_TitledFirstName].;[Root.Liege.GetTitledFirstName] erfährt von [Root.GetTitledFirstName]s Verdacht;;A [Root.Liege.GetTitledFirstName] le cuentan las sospechas de [Root.GetTitledFirstName];;;;;;;;;x

EVTDESC4140;[From.GetTitledFirstName] had made me promise I would bury [From.GetHerHim] properly and I keep my promises. I walked beside [From.GetHerHis] coffin to [From.GetTitledFirstName]'s last rest and the wailing of the mourners was almost more than I could bear. [From.GetSheHeCap] died too young!;[From.Get_Le_TitledFirstName] m'a fait promettre que je l'enterrerais dignement et je suis une personne de parole. Je me suis dirigé vers son cercueil et les lamentations des pleureuses étaient difficiles à supporter. Si jeune pour mourir !;[From.GetTitledFirstName] ließ mich versprechen, ich würde [From.GetHerHim] ordentlich begraben und mein Versprechen halten. Ich lief neben [From.GetHerHis]em Sarg zu [From.GetTitledFirstName]s letzter Ruhestätte und die Wehklagen der Trauernden waren für mich kaum zu ertragen. [From.GetSheHeCap] starb zu jung!;;[From.GetTitledFirstName] me hizo prometer que [From.GetHerHim] enterraría adecuadamente y yo soy fiel a mis promesas. Caminé junto a [From.GetHerHis] ataúd de [From.GetTitledFirstName] hasta su última morada y casi no pude soportar los lamentos de las plañideras. ¡[From.GetSheHeCap] murió demasiado joven!;;;;;;;;;x
EVTOPTA4140;Requiescat in pace;Requiescat in pace !;Ruhe in Frieden;;Requiescat in pace;;;;;;;;;x
EVTOPTB4140;One less mouth to feed;Une bouche de moins à nourrir !;Ein Maul weniger zu stopfen;;Una boca menos que alimentar;;;;;;;;;x
EVTOPTC4140;I should help [From.GetHerHis] widow;Je devrais aider sa veuve.;Ich sollte [From.GetHerHis]er Witwe helfen;;Debería ayudar a [From.GetHerHis] viuda;;;;;;;;;x
EVTOPTD4140;Inna Lillahi wa inna ilaihi raji'un;Inna Lillahi wa inna ilaihi raji'un;Inna Lillahi wa inna ilaihi raji'un;;Inna Lillahi wa inna ilaihi raji'un;;;;;;;;;x
EVTOPTE4140;You will not be forgotten;On ne vous oubliera pas;Man wird Euch nicht vergessen;;No caeréis en el olvido;;;;;;;;;x
EVTTOOLTIP4140;[This.GetTitledFirstName] keeps [This.GetHerHis] promise to [Root.GetTitledFirstName];[This.Get_Le_TitledFirstName] tient la promesse qu'il a faite [Root.Get_au_TitledFirstName].;[This.GetTitledFirstName] hält [This.GetHerHis] Versprechen an [Root.GetTitledFirstName];;[This.GetTitledFirstName] cumple con [This.GetHerHis] promesa a [Root.GetTitledFirstName];;;;;;;;;x
