RIP.11704.a;Invite them in!;Invitons-les !;Ladet sie ein!;;¡Invitémoslos!;;;;;;;;;x
RIP.11707.d;People are flocking to [Root.GetName], and they should know your name! By constructing a great monument there, you can be assured that everyone will know who to credit.;Les gens viennent en masse en [Root.GetName], et ils devraient connaître votre nom ! En construisant un grand monument, vous vous assureriez que chacun saura à qui attribuer ce mérite.;Die Leute strömen nach [Root.GetName], und sie sollten wissen, wer Ihr seid! Wenn Ihr dort ein großes Denkmal errichten lasst, wird jeder wissen, wem er zu danken hat.;;¡La gente acude a [Root.GetName] y deberían saber tu nombre! Si construyes un gran monumento allí, puedes estar seguros de que todos sabrán a quién atribuírselo.;;;;;;;;;x
RIP.11708.a;Indeed they could!;En effet, ils le pourraient !;Ganz recht!;;¡Seguro que sí!;;;;;;;;;x
RIP.11708.b;[Root.Owner.PrimaryTitle.GetName] is a land power!;Nous sommes une puissance terrestre !;[Root.Owner.PrimaryTitle.GetName] ist eine Landmacht!;;¡[Root.Owner.PrimaryTitle.GetName] es una potencia terrestre!;;;;;;;;;x
RIP.11708.d;Due to the great number of merchant ships docking in the ports of [Root.GetName], there is increased demand for expanded harbor space. Of course, larger harbors could also service more warships...;En raison du grand nombre de navires marchands qui accostent dans les ports de [Root.GetName], il y a une demande accrue pour un espace portuaire élargi. Bien sûr, de plus grands ports pourraient également réparer plus de navires de guerre...;Aufgrund der großen Anzahl an Handelsschiffen, die im Hafen von [Root.GetName] vor Anker gehen, wird der Ruf nach einer Hafenerweiterung immer lauter. Ein großer Hafen würde natürlich auch mehr Platz für Kriegsschiffe bieten ...;;Debido al gran número de buques mercantes que atracan en los puertos de [Root.GetName], aumenta la demanda de un mayor espacio de puerto. Por supuesto, puertos mayores también podrían atender más barcos de guerra…;;;;;;;;;x
RIP.11709.a;Knowledge is power!;Savoir, c'est pouvoir !;Wissen ist Macht!;;¡El conocimiento es poder!;;;;;;;;;x
RIP.11709.b;Money is power!;Avoir de l'argent, c'est pouvoir !;Geld ist Macht!;;¡El dinero es poder!;;;;;;;;;x
RIP.11709.d;The prosperity of [Root.GetName] has attracted a number of scholars who are now looking for a patron. Organizing them into a foundation for learning could result in useful new discoveries.;La prospérité en [Root.GetName] a attiré des érudits qui cherchent à présent un mécène. Établir une fondation pour la science pourrait nous permettre de faire d'utiles découvertes.;Der Wohlstand von [Root.GetName] hat einige Gelehrte angelockt, die nun nach einem Mäzen suchen. Sie dabei zu unterstützen, eine Stiftung für Bildung zu errichten, könnte nützliche Entdeckungen mit sich bringen.;;La prosperidad de [Root.GetName] ha atraído a un número de sabios que buscan un mecenas. Organizarlos en una fundación de conocimiento que podría resultar a nuevos útiles descubrimientos.;;;;;;;;;x
RIP.11710.d;The prosperity of [Root.GetName] has prompted an increasing desire for a Great Library in the country so that learned people there can always find entertainment.;La prospérité de [Root.GetName] suscite un désir croissant d'avoir une grande bibliothèque afin que les personnes savantes puissent toujours avoir de quoi étudier.;Der Wohlstand von [Root.GetName] lässt den Ruf nach einer großen Bibliothek im Land lauter werden, damit belesene Bürger stets Unterhaltung finden können.;;La prosperidad de [Root.GetName] ha dado lugar a un deseo mayor de una Gran Biblioteca en el país para que la gente instruida siempre pueda encontrar entretenimiento.;;;;;;;;;x
RIP.11711.a;[Root.Religion.GetHighGodNameCap] wills it!;[Root.Religion.GetHighGodNameCap] le veut !;[Root.Religion.GetHighGodNameCap] will es!;;¡[Root.Religion.GetHighGodNameCap] lo desea!;;;;;;;;;x
RIP.11711.b;Will [Root.Religion.GetHighGodNameCap] pay for it?;Sera-ce [Root.Religion.GetHighGodNameCap] qui paiera pour ceci ?;Wird [Root.Religion.GetHighGodNameCap] für die Kosten aufkommen?;;¿[Root.Religion.GetHighGodNameCap] lo pagará?;;;;;;;;;x
RIP.11711.d;As people flock to [Root.GetName], so too do the clergy. In fact, so many have arrived that with a donation to get them started, [Root.GetName] could become a notable center of worship.;Puisque des gens affluent en [Root.GetName], alors des religieux aussi. En fait, plusieurs sont arrivés avec une donation pour les aider à démarrer. [Root.GetName] pourrait ainsi devenir un centre religieux notable.;Je mehr Menschen nach [Root.GetName] kommen, desto mehr Geistliche finden sich dort ein. Es fänden sich sogar genügend, um [Root.GetName] mithilfe einer Spende zu einem bedeutsamen Zentrum des Glaubens zu machen.;;Según acude la gente a [Root.GetName], también lo hace el clero. De hecho, han llegado tantos que con una donación para ponerlos en marcha, [Root.GetName] podría ser un centro notable de culto.;;;;;;;;;x
RIP.11712.a;[Root.GetName] prospers!;C'est une période de prospérité !;[Root.GetName] wächst und gedeiht!;;¡[Root.GetName] prospera!;;;;;;;;;x
RIP.11712.d;I am pleased to hear that after a period of peace and shrewd management the county of [Root.GetName] is doing very well. People are happy and the tax collectors are reporting record intakes.;Apprendre que le comté de [Root.GetName] se porte bien après une période de paix et une gestion judicieuse me fait plaisir. Le peuple est heureux et les percepteurs rapportent que les recettes sont sans précédent.;Es freut mich zu hören, dass die Grafschaft von [Root.GetName] nach einer Zeit des Friedens und gewandter Verwaltung regelrecht aufblüht. Die Einwohner sind zufrieden und die Steuereintreiber vermelden Rekorderträge.;;Estoy encantado de saber que tras un periodo de paz y dirección inteligente, al condado de [Root.GetName] le va muy bien. La gente es feliz y los recaudadores de impuestos informan de ingresos de impuestos récord.;;;;;;;;;x
RIP.11713.d;Some buffoon has built a big statue of themselves here. Tearing it down and selling the gold-plating should fetch a few coins.;Un certain bouffon a construit une grande statue à son effigie. Sa démolition et la vente de la couche d'or devraient rapporter un peu d'argent.;Irgendein Schaumschläger hat hier eine große Statue nach seinem Abbild errichten lassen. Sie niederzureißen und die Goldbeschichtung zu verkaufen, sollte ein paar Münzen einbringen.;;Algún bufón ha plantado aquí una gran estatua de sí mismo. Derribarla y vender el chapado de oro nos daría algunas monedas.;;;;;;;;;x
RIP.11716.a;They should work towards the betterment of the realm!;Ils devraient travailler pour améliorer le pays !;Sie sollten für die Verbesserung des Reichs arbeiten!;;¡Que trabajen para mejorar el reino!;;;;;;;;;x
RIP.11716.b;I will banish them and seize their assets.;Je vais les bannir et m'emparer de leurs biens.;Ich werde sie verstoßen und ihre Besitztümer beschlagnahmen.;;Los desterraré y me apoderaré de sus bienes.;;;;;;;;;x
RIP.11716.d;The prime quality wood found in the forests of [Root.GetName] has attracted the attention of a group of elite artisans. These renowned individuals have set up a concern where they offer their services for a hefty price. For the right price you could acquire their services and put them to work for the crown!;Le bois de premier choix trouvé dans les forêts de [Root.GetName] a attiré l'attention d'un groupe d'artisans d'élite. Ces individus réputés ont mis en place une affaire où ils proposent leurs services pour un prix élevé. Pour un bon prix, vous pourriez les faire travailler pour la Couronne !;Das qualitativ hochwertige Holz in den Wäldern von [Root.GetName] hat die Aufmerksamkeit einer Gruppe ausgezeichneter Kunsthandwerker geweckt. Diese renommierten Arbeiter haben ein Unternehmen gegründet, über welches sie ihre Dienste gegen saftige Gebühren anbieten. Für den richtigen Preis könntet Ihr Euch ihre Dienste sichern und sie für die Krone arbeiten lassen!;;La madera de primera calidad que se encuentra en los bosques de [Root.GetName] ha llamado la atención de un grupo de selectos artesanos. Estos individuos renombrados han fundado una compañía en la que ofrecen sus servicios por una gran suma. ¡Por el precio adecuado podrías adquirir sus servicios y ponerlos a trabajar para la corona!;;;;;;;;;x
RIP.11717.a;They shall serve me and the people of [Root.GetName]!;Ils travailleront pour moi et le peuple de [Root.GetName] !;Sie werden mir und dem Volk von [Root.GetName] gute Dienste leisten!;;¡Deben servirme a mí y al pueblo de [Root.GetName]!;;;;;;;;;x
RIP.11717.b;They are clearly trespassing, get rid of them and seize their tools!;Ils sont entrés sans autorisation. Emparons-nous de leurs biens !;Sie halten sich unerlaubt in diesem Gebiet auf. Scheucht sie fort und beschlagnahmt ihre Werkzeuge!;;Es obvio que han entrado sin permiso, ¡me desharé de ellos y me quedaré sus herramientas!;;;;;;;;;x
RIP.11717.d;For quite some time now, more and more miners have started mining for ore and breaking stone in the mountains of [Root.GetName]. It has come to the point where there is a massive network of them, all organized into various interconnected guilds. For a hefty sum you could bring these guilds into the employ of the crown!;Depuis un certain temps, de plus en plus de mineurs ont commencé à extraire du minerai et casser la pierre dans les montagnes de [Root.GetName]. Au point où il y a à présent un énorme réseau de guildes. En échange d'une lourde somme, vous pourriez faire en sorte qu'ils travaillent pour la Couronne !;Schon seit geraumer Zeit arbeiten mehr und mehr Bergarbeiter in den Bergen von [Root.GetName], wo sie nach Erzen graben und Gestein abbauen. Inzwischen hat sich ein ganzes Netzwerk gebildet, und sie alle sind in unterschiedlichen, miteinander verbundenen Gilden organisiert. Gegen eine ordentliche Summe könntet Ihr diese Gilden unter die Kontrolle der Krone bringen!;;Desde hace ya bastante tiempo, más y más mineros han comenzado a excavar buscando minerales y partir piedras en las montañas de [Root.GetName]. Ha llegado al punto en que hay una red masiva de ellos, todos organizados en diferentes gremios interconectados. ¡Por una gran suma podrías poner estos gremios al servicio de la corona!;;;;;;;;;x
RIP.11718.a;Invite them in!;Invitons-les à entrer !;Ladet sie ein!;;¡Invítales!;;;;;;;;;x
RIP.11718.b;Begone!;Partez !;Hinfort!;;¡Fuera!;;;;;;;;;x
RIP.11718.d;A large number of people from a religious minority has petitioned you for permission to settle in [Root.GetName]. This would likely lead to increased tax revenues, but local religious authorities will disapprove.;Un grand nombre de personnes d'une minorité religieuse vous demande la permission de s'installer en [Root.GetName]. Cela mènerait probablement à une augmentation du revenu d'impôt, mais les autorités religieuses locales désapprouveraient.;Eine große Anzahl von Anhängern einer religiösen Minderheit bittet Euch um Erlaubnis, sich in [Root.GetName] niederzulassen. Dies würde höchstwahrscheinlich zu höheren Steuereinnahmen führen, doch den ansässigen religiösen Autoritäten wäre es ein Dorn im Auge.;;Un gran número de personas de una minoría religiosa te han pedido permiso para instalarse en [Root.GetName]. Es probable que esto aumente los ingresos fiscales, pero las autoridades religiosas locales no lo aprobarán.;;;;;;;;;x
RIP.11721.a;That sounds like an excellent suggestion!;Cela a l'air d'une excellente suggestion !;Das klingt nach einem exzellenten Vorschlag!;;¡Parece una sugerencia excelente!;;;;;;;;;x
RIP.11721.b;Having it easy would just make them weaker.;Avoir la vie facile les rendrait juste plus faibles.;Das würde ihnen das Leben erleichtern und sie somit verweichlichen.;;Ponérselo fácil les ablandará.;;;;;;;;;x
RIP.11721.d;For some time now, the county of [Root.GetName] has served as an unofficial training ground for your armies as there is plenty of open space on which to train and abundant food to feed the troops. A group of senior officers are now petitioning you for money in order to erect an official regimental camp in the county!;Depuis quelque temps, le comté de [Root.GetName] a servi de terrain d'entraînement non officiel pour vos armées, alors qu'il y a beaucoup de lieux libres sur lesquels s'entraîner et de la nourriture abondante pour nourrir les troupes. Un groupe d'officiers supérieurs sont vous demande à présent de l'argent dans le but d'ériger un camp de régiment officiel dans le comté !;Die Grafschaft von [Root.GetName] dient schon seit geraumer Zeit als inoffizielles Übungsgelände für Eure Armeen, da es dort ausreichend freie Flächen für Truppenmanöver sowie Nahrung im Überfluss gibt. Eine Gruppe altgedienter Offiziere bitten Euch nun um Geldmittel für den Bau eines offiziellen Regimentslagers in der Grafschaft!;;Durante ya algún tiempo, el condado de [Root.GetName] ha servido como terreno de entrenamiento no oficial de tus ejércitos, ya que hay muchos espacios abiertos en los que entrenarse y comida abundante para alimentar a las tropas. ¡Ahora un grupo de oficiales veteranos te solicitan dinero para construir un campo de regimiento oficial en el condado!;;;;;;;;;x
