EVTTITLEHF25800;The Children's Crusade;La croisade des enfants;Der Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
EVTDESCAHF25805;With the untimely capture of [From.GetFirstName] by [FromFrom.GetTitledFirstName], the [From.GetBoyGirl]'s attempt to lead a horde of zealots to recapture the Holy Land for Christendom has been foiled. The child's followers have swiftly scattered to the four winds after the loss of their beloved leader, unable to comprehend why God would allow [From.GetFirstName] to be stopped so easily before succeeding in [From.GetHerHis] divine quest.;Avec la capture prématurée de [From.GetFirstName] par [FromFrom.Get_le_TitledFirstName], la tentative [From.GetDuDela] jeune [From.GetBoyGirl] d'entraîner une horde de zélateurs à reprendre la Terre sainte pour la chrétienté a été déjouée. Les partisans de l'enfant se sont rapidement dispersés aux quatre vents après la perte de leur chef bien-aimé, incapables de comprendre pourquoi Dieu permettrait que [From.GetFirstName] soit arrêté[From.Get_E] avant d'achever sa mission divine.;Mit der vorzeitigen Gefangennahme von [From.GetFirstName] durch [FromFrom.GetTitledFirstName] wurde der Versuch eine Horde von Fanatikern ins Heilige Land der Christenheit zu führen, um dies zurückzuerobern, vereitelt. Die Anhänger des Kindes haben sich bereits in alle Himmelsrichtungen verstreut, unfähig zu begreifen, warum Gott ist zulassen würde, dass ihr geliebter Anführer so leicht gestoppt würde.;;Con la inoportuna captura de [From.GetFirstName] por parte de [FromFrom.GetTitledFirstName], se ha frustrado los intentos de est[From.GetEA] [From.GetBoyGirl] de dirigir una horda de fanáticos para recapturar Tierra Santa para la Cristiandad. Tras la pérdida de su líder, sus seguidores se han dispersado a los cuatro vientos, incapaces de comprender por qué Dios permitió que su amado líder fuera detenido tan fácilmente. antes de triunfar en su misión divina.;;;;;;;;x
EVTDESCAHF25806;Something has happened to my beloved [GetFromRelation] [From.GetFirstName].\n\n[From.GetSheHeCap] claims that the Holy Ghost visited [From.GetHerHim] last night, ordering [From.GetHerHim] to take up arms, gather all the true followers and lead a Crusade against the infidels who are desecrating the hallowed soil of Jerusalem.\n\n[From.GetSheHeCap] has even had the gall to demand money, weapons and troops from me to show my support to this sacred quest of [From.GetHersHis]. [From.GetSheHeCap] will not listen to reason and is very determined to leave [Root.Capital.GetName] immediately.;Quelque chose est arrivé à m[From.GetOnA] ch[From.GetErEre] [GetFromRelation] [From.GetFirstName].\n\n[From.GetIlElleCap] dit que le Saint-Esprit lui a rendu visite la nuit dernière, lui ordonnant de prendre les armes, de rassembler tous les vrais fidèles et mener une croisade contre les infidèles qui profanent le sol sacré de Jérusalem.\n\n[From.GetIlElleCap] a même osé exiger de l'argent, des armes et des troupes de ma part pour que je montre mon soutien à sa quête sacrée. [From.GetIlElleCap] n'entendra pas raison et est déterminé[From.Get_E] à quitter [Root.Capital.GetName] sur-le-champ.;Etwas ist mit m[From.Geteinemeiner] geliebten [GetFromRelation], [From.GetFirstName], passiert.\n\n[From.GetSheHeCap] behauptet, dass [From.Getihnsie] letzte Nacht der Heilige Geist besucht habe und [From.Getihnsie] dazu aufgefordert habe, die Waffen zu ergreifen und alle wahren Anhänger zu versammeln, um einen Kreuzzug gegen die Ungläubigen, die den heiligen Boden Jerusalems entweihen, zu beginnen.\n\n[From.GetSheHeCap] besitzt sogar die Frechheit, Geld, Waffen und Truppen von mir zu verlangen, um meine Unterstützung bei dieser heiligen Mission zu zeigen. [From.GetSheHeCap] lässt sich nichts sagen und ist entschlossen [Root.Capital.GetName] unverzüglich zu verlassen.;;Algo le ha pasado a mi querid[From.GetOA] [GetFromRelation] [From.GetFirstName].\n\nAfirma que anoche se le apareció el Espíritu Santo en sueños y le ordenó tomar las armas, reunir a los auténticos creyentes y dirigir una cruzada contra los infieles que profanan el terreno sagrado de Jerusalén.\n\nHasta ha tenido el valor de pedir dinero, armas y hombres para mostrar que apoyo esta misión santa suya. No atiende a razones y está muy decidid[From.GetOA] a partir de [Root.Capital.GetName] inmediatamente.;;;;;;;;x
EVTDESCAHF25807;News have reached us that a [FromFrom.GetBoyGirl] from [FromFrom.Capital.GetName] has received a vision from the Holy Ghost, compelling [FromFrom.GetHerHim] to pick up arms, gather the true followers of Christ and lead a Crusade against the infidels who desecrate the sacred soil of Jerusalem.\nThe [FromFrom.GetBoyGirl] has gathered many followers amongst the peasantry and has embarked on great journey to reach the Holy Land, claiming that the sea itself will open at [FromFrom.GetHerHis] passage.;Nous avons appris qu'un[FromFrom.Get_E] [FromFrom.GetBoyGirl] de [FromFrom.Capital.GetName] a eu une vision du Saint-Esprit le poussant à prendre les armes, à rassembler les vrais disciples du Christ et à mener une croisade contre les infidèles qui profanent le sol sacré de Jérusalem.\n[FromFrom.GetLeLaCap] jeune [FromFrom.GetBoyGirl] a trouvé de nombreux partisans parmi la paysannerie et ils sont partis pour un long voyage vers la Terre sainte, affirmant que la mer elle-même s'ouvrira à son passage.;Uns hat die Nachricht erreicht, dass ein [From.GetBoyGirl] aus [From.Capital.GetName] eine Vision vom Heiligen Geist erhalten hatte, die [From.Getihnsie] dazu zwingt, die Waffen zu ergreifen und die wahren Nachfolger Christi zu versammeln, um einen Kreuzzug gegen die Ungläubigen zu führen, die den heiligen Boden Jerusalems entweihen.\n[From.GetDerDas] [From.GetBoyGirl] hat viele Anhänger unter einem Banner versammelt und behauptet, dass das Meer sich öffnen wird, damit sie das Heilige Land erreichen.;;Nos han informado que un[From.GetXA] [From.GetBoyGirl] de [From.Capital.GetName] ha tenido una visión del Espíritu Santo que le impulsa a tomar las armas, reunir a los verdaderos creyentes de Cristo y lanzar una cruzada contra los infieles que profanan el terreno sagrado de Jerusalén.\n[From.GetElLaCap] [From.GetBoyGirl] ha reunido muchos seguidores entre el campesinado y se ha lanzado a un gran viaje para llegar a Tierra Santa, afirmando que el mismo mar se abrirá a su paso.;;;;;;;;x
EVTDESCAHF25810;The ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName]. As if the parade of dirty peasants and screeching children hadn't already caused enough problems, their unlikely leader has requested an audience with me, claiming that I should provide supplies and lodging for [childrens_crusade_leader.GetHerHis] holy warriors.;L'armée populaire de [childrens_crusade_leader.GetFirstName] a atteint [Root.Capital.GetName]. Comme si le défilé de paysans sales et d'enfants hurlants n'avait pas déjà causé assez de problèmes, leur improbable chef m'a demandé audience, affirmant que je devais offrir le vivre et le couvert à ses guerriers saints.;Die bunt zusammengewürfelte Armee von [childrens_crusade_leader.GetFirstName] hat [Root.Capital.GetName] erreicht. Als ob die Parade von dreckigen Bauern und kreischenden Kindern nicht schon genug Probleme verursachen würde, hat ihr unglaubwürdiger Anführer auch noch um Audienz bei mir gebeten und beansprucht nun Vorräte und Unterkünfte für [childrens_crusade_leader.GetHerHis]e heiligen Krieger.;;El improvisado ejército de [childrens_crusade_leader.GetFirstName] ha llegado a [Root.Capital.GetName], Como si la procesión de campesinos sucios y críos chillones no hubiese causado ya bastantes problemas, su insólito líder me ha pedido audiencia, afirmando que debo proporcionar suministros y alojamiento a sus guerreros santos.;;;;;;;;x
EVTDESCAHF25811;The ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName]. As if the parade of dirty peasants and screeching children hadn't already caused enough problems, their unlikely leader has requested an audience with me, claiming that I should provide troops and armaments for [childrens_crusade_leader.GetHerHis] holy quest.;L'armée populaire de [childrens_crusade_leader.GetFirstName] a atteint [Root.Capital.GetName]. Comme si le défilé de paysans sales et d'enfants hurlants n'avait pas déjà causé assez de problèmes, leur improbable chef m'a demandé audience, affirmant que je devais offrir des troupes et de l'armement pour sa quête sacrée.;Die bunt zusammengewürfelte Armee von [childrens_crusade_leader.GetFirstName] hat [Root.Capital.GetName] erreicht. Als ob die Parade von dreckigen Bauern und kreischenden Kindern nicht schon genug Probleme verursachen würde, hat ihr unglaubwürdiger Anführer auch noch um Audienz bei mir gebeten und beansprucht nun Truppen und Waffen für [childrens_crusade_leader.GetHerHis]e heilige Mission.;;El improvisado ejército de [childrens_crusade_leader.GetFirstName] ha llegado a [Root.Capital.GetName], Como si la procesión de campesinos sucios y críos chillones no hubiese causado ya bastantes problemas, su insólito líder me ha pedido audiencia, afirmando que debo proporcionar tropas y armamento para su misión santa.;;;;;;;;x
EVTDESCAHF25812;Ever since the ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName], I have received no shortage of complaints from [child_outraged_priest.GetTitledFirstName] regarding how heretical this Crusade is, and how I should make an example of its young leader to prevent my subjects from falling to [childrens_crusade_leader.GetHerHis] sinful words.;Depuis que l'armée populaire de [childrens_crusade_leader.GetFirstName] a atteint [Root.Capital.GetName], je reçois sans cesse des plaintes [child_outraged_priest.Get_du_TitledFirstName] disant à quel point cette croisade est hérétique et que je devrais faire un exemple de son jeune chef pour empêcher mes sujets de succomber à ses paroles pécheresses.;Seit die bunt zusammengewürfelte Armee von [From.GetFirstName] [Root.Capital.GetName] erreicht hat, ist keine Minute vergangen in dem ich keine Beschwerde von [child_outraged_priest.GetTitledFirstName] erhalten habe in Bezug darauf, wie ketzerisch dieser Kreuzzug ist und ich an dem jungen ANführer ein Beispiel setzen sollte, um zu verhindern, dass meine Untertanen [childrens_crusade_leader.GetHerHis]en sündigen Worten Gehör schenken.;;Desde que el improvisado ejército de [childrens_crusade_leader.GetFirstName] llegó a [Root.Capital.GetName], no he dejado de recibir quejas de [child_outraged_priest.GetTitledFirstName] sobre lo herético de esta cruzada y que debería dar ejemplo con su joven líder para impedir que mis súbditos se pierdan con sus palabras pecaminosas.;;;;;;;;x
EVTDESCAHF25813;Ever since the ragtag army of [childrens_crusade_leader.GetFirstName] has reached [Root.Capital.GetName], I felt drawn to the words of its leader. Jesus surely speaks for [childrens_crusade_leader.GetHerHim].;Depuis que l'armée populaire de [childrens_crusade_leader.GetFirstName] a atteint [Root.Capital.GetName], je me sens intrigué[Root.Get_E] par les mots de son chef. Jésus parle sûrement à travers [childrens_crusade_leader.GetLuiElle].;Seit die bunt zusammengewürfelte Armee von [childrens_crusade_leader.GetFirstName] [Root.Capital.GetName] erreicht hat, fühle ich mich zu den Worten ihres Anführers hingezogen. Jesus spricht sicherlich durch [childrens_crusade_leader.Getihnsie].;;Desde que el improvisado ejército de [childrens_crusade_leader.GetFirstName] llegó a [Root.Capital.GetName], cada vez me atraen más las palabras de su líder. Es obvio que Jesús habla a través de [childrens_crusade_leader.GetElElla].;;;;;;;;x
EVTDESCAHF25814;Tragedy has struck me! My [GetFromRelation] [From.GetFirstName], swayed by the words of [childrens_crusade_leader.GetFirstName], has decided to flee [From.GetHerHis] home to join the Children's Crusade.;M[From.GetOnA] [GetFromRelation] [From.GetFirstName], influencé[From.Get_E] par les mots de [childrens_crusade_leader.GetFirstName], a décidé de partir rejoindre la Croisade des Enfants.;Eine Tragödie hat mich getroffen! M[From.Geteineine] [GetFromRelation], [From.GetFirstName], wurde von den Worten von [childrens_crusade_leader.GetFirstName] beeinflusst und hat beschlossen zu fliehen, um dem Kinderkreuzzug beizutreten.;;¡La tragedia ha caído sobre mí! Mi [GetFromRelation] [From.GetFirstName], ganad[From.GetOA] por las palabras de [childrens_crusade_leader.GetFirstName], ha decidido abandonar su hogar para unirse a la Cruzada de los niños.;;;;;;;;x
EVTDESCAHF25815;[From.GetFirstName] claimed that the tides of the Mediterranean Sea would split open at the arrival of [From.GetHerHis] army, allowing [From.GetHerHis] warriors to cross unscathed and march all the way to the Holy Land.\nUnfortunately, the Lord did not fulfill the promise made to the young Crusader, and now the large force of peasants and children languishes in Genoa, looking for a way to travel to Asia.\nSome of the less determined members of the Crusade have already lost their faith, but [From.GetFirstName] remains strong in [From.GetHerHis] conviction, persuading new, hopeless recruits every day.;[From.GetFirstName] disait que la mer Méditerranée s'ouvrirait à l'arrivée de son armée, permettant à ses guerriers de la traverser indemnes et de marcher jusqu'en Terre sainte.\nMalheureusement, le Seigneur n'a pas tenu la promesse faite [From.GetAuAla] jeune croisé[From.Get_E] et maintenant la grande force de paysans et d'enfants se languit à Gênes, à la recherche d'un moyen de voyager jusqu'au Moyen-Orient. Certains des membres les moins déterminés de la croisade n'y croient plus, mais [From.GetFirstName] reste convaincu[From.Get_E], persuadant chaque jour de nouvelles recrues désespérées.;[From.GetFirstName] behauptete, dass sich die Gezeiten des Mittelmeers bei der Ankunft [From.GetHerHis]er Armee teilen würden und [From.GetHerHis]e Krieger so unversehrt bis ins Heilige Land marschieren könnten.\nBedauerlicherweise hat der Herr diese Verheißung nicht erfüllt und nun sitzt die große Armee aus Bauern und Kindern in Genua, auf der Suche nach einer Möglichkeit, die sie nach Asien bringt.\nEinige der weniger entschlossenen Mitglieder des Kreuzzugs haben bereits ihren Glauben verloren, aber [From.GetFirstName] bleibt in [From.GetHerHis]er Überzeugung stark und findet jeden Tag neue hoffnungslose Rekruten.;;[From.GetFirstName] afirmó que las aguas del Mediterráneo se abrirían cuando llegase su ejército, para que sus guerreros cruzasen ilesos y marchasen hasta Tierra Santa.\nDesgraciadamente, el Señor no cumplió la promesa hecha [From.GetAlAla] joven cruzad[From.GetOA] y ahora la gran fuerza de campesinos y niños languidece en Génova, buscando transporte a Asia.\nAlgunos de los miembros menos decididos de la cruzada ya han empezado a perder la fe, pero [From.GetFirstName] se mantiene firme en su convicción y cada día persuade a nuevos reclutas desesperados.;;;;;;;;x
EVTDESCAHF25816;After having finally managed to book a passage through the Mediterranean Sea in order to reach the Holy Land, the Children's Crusade has been forced to an unfortunate detour to Greece after their ships crashed on the coasts of Achaia after a terrible storm. Reports from the army are scant, although there are rumors saying that many have started to doubt [From.GetFirstName]'s leadership. \n\nAnd yet, this unlikely horde of youths and peasants is still marching on towards Jerusalem.;Après avoir finalement réussi à payer des embarcations pour traverser la Méditerranée et atteindre la Terre sainte, la Croisade des Enfants a été forcée de faire un détour malheureux par la Grèce après que leurs navires se sont échoués sur les côtes d'Achaïe lors d'une terrible tempête. Les rapports à ce sujet sont peu nombreux, bien qu'il y ait des rumeurs disant que nombreux sont ceux parmi les troupes à commencer à douter du commandement de [From.GetFirstName].\n\nEt pourtant, cette horde improbable de jeunes et de paysans continue à marcher vers Jérusalem.;Nachdem sie es schließlich geschafft hatten eine Überfahrt übers Mittelmeer zu finden, um das Heilige Land zu erreichen, wurde der Kinderkreuzzug nach einem schrecklichen Sturm zu einem Abstecher nach Griechenland gezwungen, wo ihre Schiffe an den Küsten von Achaia gestrandet waren. Berichte von der Armee sind spärlich, es gibt aber Gerüchte, dass viele an der Führung von [From.GetFirstName] zweifeln.\n\nTrotzt all dieser Umstände marschiert die bunte Horde aus Kindern und Bauern weiter in Richtung Jerusalem.;;Tras conseguir al fin pasaje para atravesar el Mediterráneo y llegar a Tierra Santa, la Cruzada de los niños se ha visto obligada a hacer un desgraciado desvío a Grecia, ya que sus barcos se estrellaron contra las costas de Acaya tras una terrible tormenta. Los informes del ejército son escasos, aunque los rumores dicen que muchos han empezado a dudar del liderazgo de [From.GetFirstName].\n\nY sin embargo, esta insólita horda de jóvenes y campesinos sigue marchando hacia Jerusalén.;;;;;;;;x
EVTDESCAHF25817;Despite all adversities and many attempts to undermine [From.GetHerHis] divinely-inspired leadership, [From.GetFirstName] has been able to march [From.GetHerHis] army all the way to Nikaea. \nWith the Holy Land finally within reach, the Crusaders' resolve has been strengthened. Their leader is certain that the infidels will not dare to raise their arms against them once they realize their holy mandate, and instead will open the doors of Jerusalem at their very arrival.;En dépit de toutes les adversités et de nombreuses tentatives pour saper son commandement inspiré par Dieu, [From.GetFirstName] a été capable d'amener son armée jusqu'à Nicée.\nLa Terre sainte n'est plus très loin, ce qui renforce la détermination des Croisés. Leur chef est certain que les infidèles n'oseront pas lever les armes contre eux une fois qu'ils auront réalisé leur saint mandat et ouvriront même les portes de Jérusalem à leur arrivée.;Trotzt aller Widrigkeiten und vieler Versuche die göttlich inspirierte Führung von [From.GetFirstName] zu untergraben, war [From.GetSheHe] in der Lage, mit [From.GetHerHis]en Armeen bis nach Nikäa zu marschieren.\nJetzt, wo das Heilige Land endlich in Reichweite ist, wurde die Entschlossenheit der Kreuzritter gestärkt. Ihr Anführer ist sich sicher, dass die Ungläubigen nicht die Waffen gegen sie erheben werden, sobald sie ihren heiligen Auftrag erkannt haben und stattdessen die Türen von Jerusalem bei ihrer Ankunft öffnen werden.;;Pese a todas las adversidades y muchos intentos para socavar su liderazgo inspirado por los Cielos, [From.GetFirstName] ha logrado de llevar su ejército hasta Nicea. \nAhora que los cruzados tenían Tierra Santa al alcance de la mano, su resolución se había reforzado. Su líder está seguro que los infieles no se atreverán a levantar las armas en cuando se den cuenta de su mandato sagrado, sino que abrirán las puertas de Jerusalén en cuanto lleguen.;;;;;;;;x
EVTDESCAHF25818;After receiving a vision of the Archangel Gabriel, who helped [From.GetHerHim] lead [From.GetHerHis] army through the treacherous path leading to Outremer, the children of [From.GetFirstName] have miraculously managed to reach Antioch before being spotted by the infidels.\nIn spite of the [From.GetBoyGirl]'s claim that the infidels would forsake the Devil upon their very arrival without the need for a fight, the heathens occupying Jerusalem have begun mobilizing their army, ready and eager to slaughter the innocent souls marching against them, in order to protect their ill-gotten land.\nThe world will soon see whether [From.GetFirstName] was truly blessed by the Lord.;Après avoir eu une vision de l'archange Gabriel, qui l'a aidé à mener son armée sur le chemin dangereux menant à l'Outremer, les enfants de [From.GetFirstName] ont miraculeusement réussi à atteindre Antioche avant d'être repérés par les infidèles.\nMalgré l'affirmation [From.GetDuDela] [From.GetBoyGirl] selon laquelle les infidèles se détourneraient du diable dès leur arrivée et qu'il n'y aurait nul besoin de combattre, les infidèles qui occupent Jérusalem ont commencé à mobiliser leurs troupes, prêts à massacrer les âmes innocentes qui marchent vers eux, afin de protéger leur terre mal acquise.\nLe monde verra bientôt si [From.GetFirstName] a été vraiment béni[From.Get_E] par le Seigneur.;Nachdem sie eine Vision vom Erzengel Gabriel erhalten hatten, die [From.GetHerHim]er Armee dabei geholfen hat die tückischen Pfade nach Outremer zu durchstreifen, haben die Kinder, die von [From.GetFirstName] angeführt werden, es auf wundersame Weise geschafft Antiochia zu erreichen, noch bevor sie von den Ungläubigen entdeckt wurden.\nTrotzt der Behauptung, dass die Ungläubigen bei ihrer Ankunft dem Teufel lossagen und Jerusalem ohne Kampf verlassen würden, haben die Heiden begonnen ihre Armee zu mobilisieren und warten nun bereit und begierig darauf all die unschuldigen Seelen abzuschlachten, die ihr unrechtmäßig erworbenes Land zurückerobern wollen.\nDie Welt wird schon bald sehen, ob [From.GetFirstName] wirklich vom Herrn gesegnet wurde.;;Tras recibir la visión del arcángel Gabriel, que le ayudó a dirigir el ejército por un camino traicionero hasta llegar a Ultramar, los niños de [From.GetFirstName] lograron llegar milagrosamente a Antioquía antes de que los infieles los descubrieran.\nPese a lo que afirmó de que los infieles renunciarían al Diablo cuando llegasen y no habría necesidad de pelear, los paganos que ocupan Jerusalén han empezado a movilizar su ejército, listos y ansiosos de aniquilar a las almas inocentes que marchan contra ellos para defender sus tierras mal adquiridas.\nEl mundo verá muy pronto si el Señor ha bendecido de verdad a [From.GetFirstName].;;;;;;;;x
EVTDESCAHF25819;It appears that whatever impetus had driven so many to follow [From.GetFirstName] has dissipated. The Children's Crusade is no more, its army scattered and broken, its main supporters dead or missing.\nThe leader [From.GetHerselfHimself], [From.GetFirstName], still convinced to be the messenger of the Lord, is now derided by most as a raving lunatic who spends most of [From.GetHerHis] days yelling at people from street corners, lamenting about the depravity of the Church and the nearing end of our world.;Il semble que tout ce qui a poussé tant de gens à suivre [From.GetFirstName] s'est dissipé. La croisade des enfants n'est plus, son armée s'est dispersée, ses principaux partisans sont morts ou ont disparu.\n[From.GetLeLaCap] chef [From.GetLuiElle]-même, [From.GetFirstName], toujours convaincu[From.Get_E] d'être [From.GetLeLa] messag[From.GetErEre] du Seigneur, est maintenant tourné[From.Get_E] en dérision par la plupart des gens, décrit[From.Get_E] comme un[From.Get_E] lunatique qui passe la plupart de ses journées à crier aux coins des rues, à se lamenter sur la dépravation de l'Église et la fin proche de notre monde.;Es scheint, dass der Impuls, der so viele dazu gebracht hat, [From.GetFirstName] zu folgen, sich aufgelöst hat. Der Kinderkreuzzug existiert nicht länger, die Armee ist verstreut und seine Anführer tot oder vermisst.\nIhr Anführer [From.GetFirstName] glaubt noch immer ein Botschafter des Herrn zu sein, wird jetzt aber von den meisten als wahnsinniger Irrer verspottet und verbringt den Großteil [From.GetHerHis]er Zeit damit Leute auf den Straßen anzuschreien und über die Verderbtheit der Kirche und das Ende unserer Welt zu jammern.;;Parece que el ímpetu que impulsó a tantos a seguir a [From.GetFirstName] se ha esfumado. La Cruzada de los niños ha acabado, su ejército está roto y deshecho, sus principales seguidores, muertos o desaparecidos.\nLa mayoría considera a su mismo líder, [From.GetFirstName], un loco de atar, aún convencid[From.GetOA] de ser [From.GetXA] mensajer[From.GetOA] del Señor, que se pasa los días gritando a la gente de la calle, lamentando la depravación de la Iglesia y afirmando que el Fin del mundo está cerca.;;;;;;;;x
