EVTDESCA_ZE_14100;I have finished my education in diplomacy. I found the lessons rather tedious.;J'ai terminé ma formation en diplomatie. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios de diplomacia. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best to study diplomacy, unfortunately to no avail.;[From.GetLeLaCap] jeune [From.GetFirstName] a terminé son instruction. En l'absence de conseils, [From.GetIlElle] a fait de son mieux pour étudier la diplomatie, avec de piètres résultats.;[From.GetFirstName] hat die Ausbildung abgeschlossen. Ohne Hilfe hat [From.GetSheHe] [From.GetHerHis] Bestes gegeben, um Kenntnisse im Bereich der Diplomatie zu erwerben, aber ohne Ergebnis.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] educación. Aun con una completa falta de guía, [From.GetSheHe] hizo [From.GetHerHis] mejor intento por estudiar diplomacia, lamentablemente, en vano.;;;;;;;;;x

EVTDESCB_ZE_14100;I have finished my education in diplomacy. It is a fascinating subject.;J'ai terminé ma formation en diplomatie. C'est vraiment un domaine fascinant.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Was für ein faszinierendes Gebiet.;;He terminado mis estudios de diplomacia. Es un tema fascinante.;;;;;;;;;x
EVTDESCB_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It seems [From.GetSheHe] has learned all the basic skills required.;[From.GetFirstName] a terminé sa formation en diplomatie. On dirait qu'[From.GetIlElle] a appris toutes les techniques de base requises.;Die diplomatische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Es scheint, [From.GetSheHe] hat die grundlegenden Kenntnisse erworben.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de diplomacia. Al parecer [From.GetSheHe] ha aprendido todas las habilidades básicas requeridas.;;;;;;;;;x
EVTDESCB_ZE_14200;I have finished my education in the ways of war. It is a fascinating subject.;J'ai terminé ma formation en stratégie militaire. C'est vraiment un domaine fascinant.;Ich habe meine militärische Lehrzeit abgeschlossen. Was für ein faszinierendes Gebiet.;;He terminado mi educación en los asuntos bélicos. Es un tema fascinante.;;;;;;;;;x
EVTDESCB_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It seems [From.GetSheHe] has learned all the basic skills required.;[From.GetFirstName] a terminé sa formation en stratégie militaire. On dirait qu'[From.GetIlElle] a appris toutes les techniques de base requises.;Die militärische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Es scheint, [From.GetSheHe] hat die grundlegenden Kenntnisse erworben.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos bélicos. Al parecer [From.GetSheHe] ha aprendido todas las habilidades básicas requeridas.;;;;;;;;;x
EVTDESCB_ZE_14300;I have finished my education in stewardship. It is a fascinating subject.;J'ai terminé ma formation en intendance. C'est vraiment un domaine fascinant.;Ich habe meine verwalterische Lehrzeit abgeschlossen. Was für ein faszinierendes Gebiet.;;He terminado mis estudios de administración. Es un tema fascinante.;;;;;;;;;x
EVTDESCB_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It seems [From.GetSheHe] has learned all the basic skills required.;[From.GetFirstName] a terminé sa formation en intendance. On dirait qu'[From.GetIlElle] a appris toutes les techniques de base requises.;Die verwalterische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Es scheint, [From.GetSheHe] hat die grundlegenden Kenntnisse erworben.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en estudios de administración. Al parecer [From.GetSheHe] ha aprendido todas las habilidades básicas requeridas.;;;;;;;;;x
EVTDESCB_ZE_14400;I have finished my education in the ways of intrigue. It is a fascinating subject.;J'ai terminé ma formation en intrigues. C'est vraiment un domaine fascinant.;Ich habe meine Lehrzeit im Bereich der Intrige abgeschlossen. Was für ein faszinierendes Gebiet.;;He terminado mis estudios en los asuntos de intriga. Es un tema fascinante.;;;;;;;;;x
EVTDESCB_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It seems [From.GetSheHe] has learned all the basic skills required.;[From.GetFirstName] a terminé sa formation en intrigues. On dirait qu'[From.GetIlElle] a appris toutes les techniques de base requises.;Die Lehrzeit von Klein [From.GetFirstName] im Bereich der Intrige ist abgeschlossen. Es scheint, [From.GetSheHe] hat die grundlegenden Kenntnisse erworben.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos de intriga. Al parecer [From.GetSheHe] ha aprendido todas las habilidades básicas requeridas.;;;;;;;;;x
EVTDESCB_ZE_14500;I have finished my education in the ways of faith and learning. It is a fascinating subject.;J'ai terminé ma formation en foi et érudition. C'est vraiment un domaine fascinant.;Ich habe meine religiöse Lehrzeit abgeschlossen. Was für ein faszinierendes Gebiet.;;He terminado mis estudios en los caminos de la fe y conocimiento. Es un tema fascinante.;;;;;;;;;x
EVTDESCB_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It seems [From.GetSheHe] has learned all the basic skills required.;[From.GetFirstName] a terminé sa formation en foi et érudition. On dirait qu'[From.GetIlElle] a appris toutes les techniques de base requises.;Die Lehrzeit in Religion und Bildung von Klein [From.GetFirstName] ist abgeschlossen. Es scheint, [From.GetSheHe] hat die grundlegenden Kenntnisse erworben.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis]  estudios en los caminos de la fe y conocimiento. Al parecer [From.GetSheHe] ha aprendido todas las habilidades básicas requeridas.;;;;;;;;;x
EVTDESCB_ZE_14700;I have finished my education but without any clear purpose. I found some joy in studying military arts but without guidance I didn't do very well.;J'achève mon instruction sans avoir au préalable choisi un domaine précis. J'ai certes eu une affinité pour la stratégie militaire, mais faute de conseils, le résultat n'est pas bon.;Ich habe meine Ausbildung ohne klare Aufgabe abgeschlossen. Das Studium des Militärwesens war phasenweise anregend, aber wenn ich keine Hilfe hatte, waren meine Ergebnisse nicht besonders gut.;;He terminado mi educación, pero sin ninguna finalidad clara. Encontré alguna alegría en el estudio de las artes bélicas pero sin guía no lo hago muy bien.;;;;;;;;;x
EVTDESCB_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best to study military arts, unfortunately to no avail.;[From.GetLeLaCap] jeune [From.GetFirstName] a terminé son instruction. En l'absence de conseils, [From.GetIlElle] a fait de son mieux pour étudier la stratégie militaire, avec de piètres résultats.;[From.GetFirstName] hat die Ausbildung abgeschlossen. Ohne Hilfe hat [From.GetSheHe] [From.GetHerHis] Bestes gegeben, um Kenntnisse im Bereich des Militärwesens zu erwerben, aber ohne Ergebnis.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] educación. Aun con una completa falta de guía, [From.GetSheHe] hizo [From.GetHerHis] mejor intento por estudiar artes bélicas, lamentablemente, en vano.;;;;;;;;;x
EVTDESCC_ZE_14100;I have finished my education in diplomacy. I find that I have some talent for it.;J'ai terminé ma formation en diplomatie. Je trouve que j'ai un certain talent pour ça.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Ich glaube, ich habe Talent.;;He terminado mis estudios de diplomacia. Me parece que tengo un poco de talento.;;;;;;;;;x
EVTDESCC_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;[From.GetFirstName] a terminé sa formation en diplomatie. Il est indéniable qu'[From.GetIlElle] a brillé.;Die diplomatische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen, und das mit ausgezeichneten Resultaten.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de diplomacia. S evidente que ha destacado en [From.GetHerHis] estudios.;;;;;;;;;x
EVTDESCC_ZE_14200;I have finished my education in the ways of war. I find that I have some talent for it.;J'ai terminé ma formation en stratégie militaire. Je trouve que j'ai un certain talent pour ça.;Ich habe meine militärische Lehrzeit abgeschlossen. Ich glaube, ich habe Talent.;;He terminado mi educación en los asuntos bélicos. Me parece que tengo un poco de talento.;;;;;;;;;x
EVTDESCC_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;[From.GetFirstName] a terminé sa formation en stratégie militaire. Il est indéniable qu'[From.GetIlElle] a brillé.;Die militärische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen, und das mit ausgezeichneten Resultaten.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos bélicos. Es evidente que ha destacado en [From.GetHerHis] estudios.;;;;;;;;;x
EVTDESCC_ZE_14300;I have finished my education in stewardship. I find that I have some talent for it.;J'ai terminé ma formation en intendance. Je trouve que j'ai un certain talent pour ça.;Ich habe meine verwalterische Lehrzeit abgeschlossen. Ich glaube, ich habe Talent.;;He terminado mis estudios de administración. Me parece que tengo un poco de talento.;;;;;;;;;x
EVTDESCC_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;[From.GetFirstName] a terminé sa formation en intendance. Il est indéniable qu'[From.GetIlElle] a brillé.;Die verwalterische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen, und das mit ausgezeichneten Resultaten.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de administración. Es evidente que ha destacado en [From.GetHerHis] estudios.;;;;;;;;;x
EVTDESCC_ZE_14400;I have finished my education in the ways of intrigue. I find that I have some talent for it.;J'ai terminé ma formation en intrigues. Je trouve que j'ai un certain talent pour ça.;Ich habe meine Lehrzeit im Bereich der Intrige abgeschlossen. Ich glaube, ich habe Talent.;;He terminado mis estudios en los asuntos de intriga. Me parece que tengo un poco de talento.;;;;;;;;;x
EVTDESCC_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;[From.GetFirstName] a terminé sa formation en intrigues. Il est indéniable qu'[From.GetIlElle] a brillé.;Die Lehrzeit von Klein [From.GetFirstName] im Bereich der Intrige ist abgeschlossen, und das mit ausgezeichneten Resultaten.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos de intriga.Es evidente que ha destacado en [From.GetHerHis] estudios.;;;;;;;;;x
EVTDESCC_ZE_14500;I have finished my education in the ways of faith and learning. I find that I have some talent for it.;J'ai terminé ma formation en foi et érudition. Je trouve que j'ai un certain talent pour ça.;Ich habe meine religiöse Lehrzeit abgeschlossen. Ich glaube, ich habe Talent.;;He terminado mis estudios en los caminos de la fe y conocimiento. Me parece que tengo un poco de talento.;;;;;;;;;x
EVTDESCC_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;[From.GetFirstName] a terminé sa formation en foi et érudition. Il est indéniable qu'[From.GetIlElle] a brillé.;Die Lehrzeit in Religion und Bildung von Klein [From.GetFirstName] ist abgeschlossen, und das mit ausgezeichneten Resultaten.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis]  estudios en los caminos de la fe y conocimiento.  Es evidente que ha destacado en [From.GetHerHis] estudios.;;;;;;;;;x
EVTDESCC_ZE_14700;I have finished my education but without any clear purpose. I found some joy in studying stewardship but without guidance I didn't do very well.;J'achève mon instruction sans avoir au préalable choisi un domaine précis. J'ai certes eu une affinité pour l'intendance, mais faute de conseils, le résultat n'est pas bon.;Ich habe meine Ausbildung ohne klare Aufgabe abgeschlossen. Das Studium der Verwaltung war phasenweise anregend, aber wenn ich keine Hilfe hatte, waren meine Ergebnisse nicht besonders gut.;;He terminado mi educación, pero sin ninguna finalidad clara. Encontré alguna alegría en el estudio de la administración pero sin guía no lo hago muy bien.;;;;;;;;;x
EVTDESCC_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best to study stewardship, unfortunately to no avail.;[From.GetLeLaCap] jeune [From.GetFirstName] a terminé son instruction. En l'absence de conseils, [From.GetIlElle] a fait de son mieux pour étudier l'intendance, avec de piètres résultats.;[From.GetFirstName] hat die Ausbildung abgeschlossen. Ohne Hilfe hat [From.GetSheHe] [From.GetHerHis] Bestes gegeben, um Kenntnisse im Bereich der Verwaltung zu erwerben, aber ohne Ergebnis.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] educación. Aun con una completa falta de guía, [From.GetSheHe] hizo [From.GetHerHis] mejor intento por estudiar administración, lamentablemente, en vano.;;;;;;;;;x
EVTDESCD_ZE_14100;I have finished my education in diplomacy. I feel that I have truly found my calling.;J'ai terminé ma formation en diplomatie. J'ai véritablement l'impression d'avoir trouvé ma vocation.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Dort liegt meine Berufung.;;He terminado mis estudios de diplomacia. Siento que realmente he encontrado mi vocación.;;;;;;;;;x
EVTDESCD_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;[From.GetFirstName] a terminé ses études en diplomatie. Je constate avec fierté qu'[From.GetIlElle] a atteint un niveau magistral de connaissance.;Die diplomatische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Voller Stolz stelle ich fest, dass [From.GetSheHe] ein wahrhaft meisterhaftes Niveau erreicht hat.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de diplomacia. Veo con orgullo que [From.GetSheHe] ha alcanzado nada menos que un nivel magistral de conocimiento.;;;;;;;;;x
EVTDESCD_ZE_14200;I have finished my education in the ways of war. I feel that I have truly found my calling.;J'ai terminé ma formation en diplomatie. J'ai véritablement l'impression d'avoir trouvé ma vocation.;Ich habe meine militärische Lehrzeit abgeschlossen. Dort liegt meine Berufung.;;He terminado mi educación en los asuntos bélicos. Siento que realmente he encontrado mi vocación.;;;;;;;;;x
EVTDESCD_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;[From.GetFirstName] a terminé sa formation en stratégie militaire. Je constate avec fierté qu'[From.GetIlElle] a atteint un niveau magistral de connaissance.;Die militärische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Voller Stolz stelle ich fest, dass [From.GetSheHe] ein wahrhaft meisterhaftes Niveau erreicht hat.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos bélicos. Veo con orgullo que [From.GetSheHe] ha alcanzado nada menos que un nivel magistral de conocimiento.;;;;;;;;;x
EVTDESCD_ZE_14300;I have finished my education in stewardship. I feel that I have truly found my calling.;J'ai terminé ma formation en intendance. J'ai véritablement l'impression d'avoir trouvé ma vocation.;Ich habe meine verwalterische Lehrzeit abgeschlossen. Dort liegt meine Berufung.;;He terminado mis estudios de administración. Siento que he encontrado realmente mi vocación.;;;;;;;;;x
EVTDESCD_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;[From.GetFirstName] a terminé ses études en intendance. Je constate avec fierté qu'[From.GetIlElle] a atteint un niveau magistral de connaissance.;Die verwalterische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Voller Stolz stelle ich fest, dass [From.GetSheHe] ein wahrhaft meisterhaftes Niveau erreicht hat.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de administración. Veo con orgullo que [From.GetSheHe] ha alcanzado nada menos que un nivel magistral de conocimiento.;;;;;;;;;x
EVTDESCD_ZE_14400;I have finished my education in the ways of intrigue. I feel that I have truly found my calling.;J'ai terminé ma formation en intrigues. J'ai véritablement l'impression d'avoir trouvé ma vocation.;Ich habe meine Lehrzeit im Bereich der Intrige abgeschlossen. Dort liegt meine Berufung.;;He terminado mis estudios en los asuntos de intriga. Siento que he encontrado realmente mi vocación.;;;;;;;;;x
EVTDESCD_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;[From.GetFirstName] a terminé sa formation en intrigues. Je constate avec fierté qu'[From.GetIlElle] a atteint un niveau magistral de connaissance.;Die Lehrzeit von Klein [From.GetFirstName] im Bereich der Intrige ist abgeschlossen. Voller Stolz stelle ich fest, dass [From.GetSheHe] ein wahrhaft meisterhaftes Niveau erreicht hat.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos de intriga. Veo con orgullo que [From.GetSheHe] ha alcanzado nada menos que un nivel magistral de conocimiento.;;;;;;;;;x
EVTDESCD_ZE_14500;I have finished my education in the ways of faith and learning. I feel that I have truly found my calling.;J'ai terminé ma formation en foi et érudition. J'ai véritablement l'impression d'avoir trouvé ma vocation.;Ich habe meine religiöse Lehrzeit abgeschlossen. Dort liegt meine Berufung.;;He terminado mis estudios en los caminos de la fe y conocimiento. Siento que he encontrado realmente mi vocación.;;;;;;;;;x
EVTDESCD_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;[From.GetFirstName] a terminé sa formation en foi et érudition. Je constate avec fierté qu'[From.GetIlElle] a atteint un niveau magistral de connaissance.;Die Lehrzeit in Religion und Bildung von Klein [From.GetFirstName] ist abgeschlossen. Voller Stolz stelle ich fest, dass [From.GetSheHe] ein wahrhaft meisterhaftes Niveau erreicht hat.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis]  estudios en los caminos de la fe y conocimiento. Veo con orgullo que [From.GetSheHe] ha alcanzado nada menos que un nivel magistral de conocimiento.;;;;;;;;;x
EVTDESCD_ZE_14700;I have finished my education but without any clear purpose. I found some joy in studying intrigue but without guidance I didn't do very well.;J'achève mon instruction sans avoir au préalable choisi un domaine précis. J'ai certes eu une affinité pour l'intrigue, mais faute de conseils, le résultat n'est pas bon.;Ich habe meine Ausbildung ohne klare Aufgabe abgeschlossen. Das Studium der Intrige war phasenweise anregend, aber wenn ich keine Hilfe hatte, waren meine Ergebnisse nicht besonders gut.;;He terminado mi educación, pero sin ninguna finalidad clara. Encontré alguna alegría en el estudio de la intriga pero sin guía no lo hago muy bien.;;;;;;;;;x
EVTDESCD_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best to study intrigue, unfortunately to no avail.;[From.GetLeLaCap] jeune [From.GetFirstName] a terminé son instruction. En l'absence de conseils, [From.GetIlElle] a fait de son mieux pour étudier l'intrigue, avec de piètres résultats.;[From.GetFirstName] hat die Ausbildung abgeschlossen. Ohne Hilfe hat [From.GetSheHe] [From.GetHerHis] Bestes gegeben, um Kenntnisse im Bereich der Intrige zu erwerben, aber ohne Ergebnis.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] educación. Aun con una completa falta de guía, [From.GetSheHe] hizo [From.GetHerHis] mejor intento por estudiar intriga, lamentablemente, en vano.;;;;;;;;;x
EVTDESCE_ZE_14700;I have finished my education but without any clear purpose. I found some joy in studying learning but without guidance I didn't do very well.;J'achève mon instruction sans avoir au préalable choisi un domaine précis. J'ai certes eu une affinité pour l'érudition, mais faute de conseils, le résultat n'est pas bon.;Ich habe meine Ausbildung ohne klare Aufgabe abgeschlossen. Das Studium der Gelehrsamkeit war phasenweise anregend, aber wenn ich keine Hilfe hatte, waren meine Ergebnisse nicht besonders gut.;;He terminado mi educación, pero sin ninguna finalidad clara. Encontré alguna alegría en el estudio del conocimiento pero sin guía no lo hago muy bien.;;;;;;;;;x
EVTDESCE_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best to study learning, unfortunately to no avail.;[From.GetLeLaCap] jeune [From.GetFirstName] a terminé son instruction. En l'absence de conseils, [From.GetIlElle] a fait de son mieux pour étudier l'érudition, avec de piètres résultats.;[From.GetFirstName] hat die Ausbildung abgeschlossen. Ohne Hilfe hat [From.GetSheHe] [From.GetHerHis] Bestes gegeben, um Gelehrsamkeit zu erwerben, aber ohne Ergebnis.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] educación. Aun con una completa falta de guía, [From.GetSheHe] hizo [From.GetHerHis] mejor intento por estudiar conocimiento, lamentablemente, en vano.;;;;;;;;;x

EVTOPTA_ZE_14100;Speak frankly and all will love you.;Parle avec franchise, et tout le monde t'aimera.;Wer offen spricht, den werden alle lieben.;;Habla con franqueza y todos te querrán.;;;;;;;;;x
EVTOPTA_ZE_14110;Oh well.;C'est la vie.;Ach, was soll's.;;Oh, vaya.;;;;;;;;;x
EVTOPTA_ZE_14200;Courage is all a soldier needs.;Le courage est tout ce dont a besoin un soldat.;Mut ist das Einzige, worauf es ankommt bei einem Soldaten.;;Lo único que necesita un soldado es valor.;;;;;;;;;x
EVTOPTA_ZE_14300;How hard can it be?;Est-ce vraiment si difficile ?;Kann das denn wirklich so schwer sein?;;¿Cuán difícil puede ser?;;;;;;;;;x
EVTOPTA_ZE_14400;Intrigue must be conducted with honor.;Les intrigues doivent être menées avec honneur.;Intrigen müssen mit Ehre durchgeführt werden.;;La intriga debe ser conducida con honor.;;;;;;;;;x
EVTOPTA_ZE_14500;Learning is dull but important.;L'érudition est ennuyeuse, mais tellement importante.;Gelehrsamkeit ist langweilig, aber wichtig.;;Aprender es aburrido pero importante.;;;;;;;;;x
EVTOPTA_ZE_14700;No one told me it was important.;Personne ne m'avait dit à quel point c'est important.;Niemand hat mir gesagt, dass das wichtig wäre.;;Nadie me dijo que era importante.;;;;;;;;;x
EVTOPTA_ZE_14710;I have failed [From.GetHerHim].;J'ai manqué à mon devoir.;Es ist meine Schuld. Ich hätte [From.Getihmihr] helfen müssen.;;[From.GetHerHim] he fallado.;;;;;;;;;x

EVTOPTB_ZE_14100;Never hate your enemies. It affects your judgment.;Ne ressens jamais de haine pour tes ennemis. Ton jugement s'en trouverait faussé.;Hasse deine Feinde nicht, denn Hass ist ein schlechter Ratgeber.;;No odies a tus enemigos. Afecta tu juicio.;;;;;;;;;x
EVTOPTB_ZE_14110;Very good.;Très bien.;Sehr gut.;;¡Muy bien!;;;;;;;;;x
EVTOPTB_ZE_14200;Know your enemy.;Connaissez votre ennemi.;Kenne deinen Feind.;;Conoce a tu enemigo ;;;;;;;;;x
