#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8503;Castle of Krak des Chevaliers;Château de Krak des Chevaliers;Burg Krak des Chevaliers;;Castillo del Krak de los Caballeros;;;;;;;;;x
EVTDESC8516;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Hebron.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Chevaliers de Saint Jean sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté d'Hébron.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Ritter des Johanniterordens möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Hebron eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros de San Juan te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Hebron.;;;;;;;;;x
EVTDESC8517;The Knights of St. John have erected the castle of Beth Gibelin in [Root.GetName].;Les Chevaliers de Saint Jean ont érigé le château de Beth Gibelin à [Root.GetName].;Die Ritter des Johanniterordens haben in [Root.GetName] die Burg Beth Gibelin gebaut.;;Los Caballeros de San Juan han erigido el castillo de Beth Gibelin en [Root.GetName].;;;;;;;;;x
EVTDESC8518;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Beth Gibelin.;Les Chevaliers de Saint Jean ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Beth Gibelin.;Die Ritter des Johanniterordens haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Beth Gibelin bekannt sein.;;Los Caballeros de San Juan han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante Beth Gibelin.;;;;;;;;;x

EVTOPTA8500;I will write a letter at once.;Je vais immédiatement lui écrire une lettre.;Ich werde sofort einen Brief aufsetzen.;;Le escribiré enseguida.;;;;;;;;;x
EVTOPTA8501;Excellent! You have my blessing;Excellent ! Vous avez ma bénédiction.;Hervorragend! Ich habt meinen Segen!;;¡Excelente! ¡Tienes mi bendición!;;;;;;;;;x
EVTOPTA8502;Let it be known to the world!;Annonçons-le au monde !;Die ganze Welt soll davon erfahren;;¡Hagamos que el mundo lo conozca!;;;;;;;;;x
EVTOPTA8503;I really am a good Christian;Je suis digne de ma chrétienté.;Ich bin wahrlich ein guter Christ;;Soy un buen cristiano;;;;;;;;;x

EVTOPTB8501;An intriguing idea, but not at this time...;Bonne idée, mais pas tout de suite...;Eine faszinierende Idee, aber nicht dieses Mal ...;;Una idea interesante, pero no en este momento...;;;;;;;;;x
EVTOPTB8503;The infidels should tremble!;Tremblez, infidèles !;Die Ungläubigen sollen erzittern!;;¡Los infieles deberían temblar!;;;;;;;;;x

EVTOPTC8501;No religious orders in my territory!;Aucun ordre religieux sur mon territoire !;Keine religiösen Orden auf meinem Territorium!;;¡No permito órdenes religiosas en mi territorio!;;;;;;;;;x
EVTOPTC8503;Curse these infidels!;Maudits soient ces infidèles !;Verflucht seien diese Ungläubigen!;;¡Maldice a los infieles!;;;;;;;;;x
EVTOPTD8503;Worrisome...;Inquiétant...;Beunruhigend ...;;Inquietante...;;;;;;;;;x
