#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#text1.csv

CAN_MARRY;Cannot get married;Ne peut pas se marier;Kann nicht heiraten;;No puede casarse;;;;;;;;;x

CONTESTED_TITLE_IS;Contested title is §Y$TITLE$§!;Le titre contesté est §Y$TITLE$§!;Umstrittener Titel ist §Y$TITLE$§!;;El título disputado es §Y$TITLE$§!;;;;;;;;;x
CONTESTED_TITLE_IS_NOT;Contested title is NOT §Y$TITLE$§!;Le titre contesté n'est pas §Y$TITLE$§!;Umstrittener Titel ist NICHT §Y$TITLE$§!;;El título disputado NO es §Y$TITLE$§!;;;;;;;;;x

CONTROLLED_BY;Is controlled by ;Controlé(e) par ;Kontrolliert von;;Bajo control de ;controllato da;;;;;;;;x
NOT_CONTROLLED_BY;Is NOT controlled by ;Non controlé(e) par ;Nicht kontrolliert von;;No bajo control de ;non controllato da ;;;;;;;;x

CONTROLS;Controls ;Contrôle ;Kontrolliert ;;Controla;Controlla;;;;;;;;x
DO_NOT_CONTROL;Does not control ;Ne contrôle pas ;Keine Kontrolle über ;;No controla;Non controlla;;;;;;;;x

CONTROLS_RELIGION;Controls a Religion;Contrôle une religion;Kontrolliert eine Religion;;Dirige una religión;;;;;;;;;x
DOESNT_CONTROL_RELIGION;Does NOT control a Religion;Ne contrôle pas de religion;Kontrolliert KEINE Religion;;NO dirige una religión;;;;;;;;;x

EXISTS; exists; existe; existiert;; existe; esiste;;;;;;;;x
DOSNT_EXIST; doesn't exist; n'existe pas; existiert nicht;; no existe; non esiste;;;;;;;;x

HIGHER_TECH_LEVEL_THAN;§Y$TECH$§! level at least §Y$NUM$§!;Niveau de la technologie §Y$TECH$§! supérieur ou égal à §Y$NUM$§!;§Y$TECH$§!-Stufe mindestens: §Y$NUM$§!;;El nivel de §Y$TECH$§! es como mínimo de §Y$NUM$§!;;;;;;;;;x
LOWER_TECH_LEVEL_THAN;§Y$TECH$§! level lower than §Y$NUM$§!;Niveau de la technologie §Y$TECH$§! inférieur à §Y$NUM$§!;§Y$TECH$§!-Stufe geringer als §Y$NUM$§!;;El nivel de §Y$TECH$§! es inferior a §Y$NUM$§!;;;;;;;;;x

HAS_ACTIVE_PLOT;Has Active Plot;Complot en cours;Hat eine aktive Verschwörung;;Tiene un complot activo;;;;;;;;;x
HAS_NOT_ACTIVE_PLOT;Does NOT have an active Plot;Aucun complot en cours;Hat KEINE aktive Verschwörung;;NO tiene un complot activo;;;;;;;;;x

HAS_COUNCIL;Has a council;A un conseil;Hat einen Rat;;Tiene un consejo;;;;;;;;;x
HAS_NO_COUNCIL;Has no council;N'a pas de conseil;Hat keinen Rat;;No tiene consejo;;;;;;;;;x

HAS_CROWN_LAW_TITLE;Affected by a Crown Law title;Affecté par une Loi de la Couronne;Betroffen von einem Titel mit Krongesetz;;Afectado por un título legal de la Corona;;;;;;;;;x
HAS_NOT_CROWN_LAW_TITLE;NOT Affected by a Crown Law title;NON affecté par un titre de décret royal;NICHT betroffen von einem Titel mit Krongesetz;;NO afectado por un título de ley de la Corona;;;;;;;;;x

HAS_RAISED_MY_LEVIES;Has raised my levies;A levé mes troupes;Hat mein bewaffnetes Aufgebot zur Heerfolge mitgenommen;;ha aumentado mis impuestos;;;;;;;;;x
HAS_NOT_RAISED_MY_LEVIES;Has NOT Raised my Levies;N'a pas levé mes troupes;Hat mein bewaffnetes Aufgebot NICHT zur Heerfolge mitgenommen;;NO ha aumentado mis impuestos;;;;;;;;;x

HAS_A_PLOT;Has a Plot;A un complot;Verschwört sich;;Tiene una conspiración;;;;;;;;;x
HAS_NO_PLOT;Has no Plot;N'a pas de complot;Verschwört sich nicht;;No tiene conspiración;;;;;;;;;x
HAS_PLOT;Has Plot;A un complot;Verschwört sich;;Ha conspirado;;;;;;;;;x

HAVE_RACE;Ethnicity is ;L'ethnie est ;Ethnie ist ;;Origen es ;;;;;;;;;x
HAVNT_RACE;Ethnicity is NOT ;L'ethnie n'est pas ;Ethnie ist NICHT ;;Origen NO es ;;;;;;;;;x

HAS_A_FRIEND;Has friends;A des amis;Hat Freunde;;Tiene amigos;Ha degli amici;;;;;;;;x
DOESNT_HAVE_ANY_FRIENDS;Does NOT have any Friends;N'a aucun ami;Hat KEINE Freunde;;No tiene ningún amigo;Non ha amici;;;;;;;;x

HAS_A_NICK;Has a nickname;A un surnom;Hat einen Spitznamen;;Tiene sobrenombre;;;;;;;;;x
DOES_NOT_HAVE_A_NICK;Does NOT have a nickname;N'a pas de surnom;Hat KEINEN Spitznamen;;NO tiene sobrenombre;;;;;;;;;x

HAS_CLAIM;Has a Claim on $TITLE|Y$;Peut prétendre au titre de $TITLE|Y$;Hat Anspruch auf $TITLE|Y$;;Tiene derecho a reclamar el título de $TITLE|Y$;;;;;;;;;x
DOES_NOT_HAVE_CLAIM;Does NOT have a Claim on $TITLE|Y$;Ne peut prétendre au titre de $TITLE|Y$;Hat KEINEN Anspruch auf $TITLE|Y$;;NO tiene derecho a reclamar el título de $TITLE|Y$;;;;;;;;;x

HAS_GUARDIAN;Has a Guardian;A un tuteur;Hat einen Vormund;;Tiene tutor;;;;;;;;;x
DOES_NOT_HAVE_GUARDIAN;Does NOT have a Guardian;N'a pas de tuteur;Hat KEINEN Vormund;;NO tiene tutor;;;;;;;;;x

HAS_LANDED_TITLE;Is $RULERTITLE|Y$ of $TITLE|Y$;Est $RULERTITLE|Y$ de $TITLE|Y$;Ist $RULERTITLE|Y$ von $TITLE|Y$;;Es $RULERTITLE|Y$ de $TITLE|Y$;;;;;;;;;x
DOES_NOT_HAVE_LANDED_TITLE;Is NOT $RULERTITLE|Y$ of $TITLE|Y$;N'est pas le $RULERTITLE|Y$ de $TITLE|Y$;Ist NICHT $RULERTITLE|Y$ von $TITLE|Y$;;NO es $RULERTITLE|Y$ de $TITLE|Y$;;;;;;;;;x

HAS_LAW;Has the Law ;Loi en vigueur : ;Hat das Gesetz: ;;Tiene la Ley;;;;;;;;;x
DOES_NOT_HAVE_LAW;Does NOT have the Law ;N'a pas la loi ;Hat NICHT das Gesetz: ;;No tiene la Ley;;;;;;;;;x

HAS_THE_NICK;Is known as ;Est connu(e) en tant que ;Ist bekannt als ;;Es conocido como;;;;;;;;;x
DOES_NOT_HAVE_THE_NICK;Is NOT known as ;N'est pas connu(e) en tant que ;Ist NICHT bekannt als ;;NO se conoce como;;;;;;;;;x

HAS_A_RIVAL;Has rivals;A des rivaux;Hat Rivalen;;Tiene rivales;Ha dei rivali;;;;;;;;x
DOESNT_HAVE_ANY_RIVALS;Does NOT have any Rivals;N'a aucun rival;Hat KEINE Rivalen;;No tiene ningún rival;Non ha rivali;;;;;;;;x

HAS_TRAIT;Has the trait ;A le trait ;Hat die Eigenschaft ;;Tiene el rasgo de ;Ha il tratto ;;;;;;;;x
DOESNT_HAVE_TRAIT;Does NOT have the trait ;N'a pas le trait : ;Hat NICHT die Eigenschaft ;;NO tiene el rasgo de ;Non ha il tratto ;;;;;;;;x

HAS_EMPTY_SETTLEMENTSLOT;Have room for new holding;Peut accueillir une nouvelle propriété;Hat Platz für neues Besitztum;Tiene sitio para una nueva propiedad;;;;;;;;x
HAS_NOT_EMPTY_SETTLEMENTSLOT;Does NOT have room for new holding;Ne peut pas accueillir de nouvelle propriété;Hat KEINEN Platz für neues Besitztum;NO tiene sitio para una nueva propiedad;;;;;;;;x

HAS_EPIDEMIC;Has an epidemic disease;Est victime d'une maladie épidémique;Hat eine Seuchenkrankheit;;Tiene una enfermedad epidémica;;;;;;;;;x
HASNT_EPIDEMIC;Does NOT have an epidemic disease;N'est pas victime d'une maladie épidémique;Hat KEINE Seuchenkrankheit;;NO tiene ninguna enfermedad epidémica;;;;;;;;;x

HAS_HOLDER;Title has a holder;Le titre a un détenteur;Titel hat einen Träger;;El título tiene un propietario;;;;;;;;;x
HAS_NO_HOLDER;Title has NO holder;Le titre n'a pas de détenteur;Titel hat KEINEN Träger;;El título NO tiene propietario;;;;;;;;;x

HAS_OPINION_MOD;Has the opinion ;A l'opinion ;Hat die Meinung ;;Tiene la opinión;;;;;;;;;x
HAS_NOT_OPINION_MOD;Does NOT have the opinion ;N'a pas l'opinion ;Hat NICHT die Meinung ;;NO tiene la opinión;;;;;;;;;x

IS;Is ;Est ;Ist ;;Es ;;;;;;;;;x
IS_NOT;Is NOT ;N'est pas ;Ist NICHT ;;No es ;;;;;;;;;x

HAS_TRUCE_WITH;Has a Truce with §Y$OTHER$§!;A signé une trêve avec §Y$OTHER$§!;Hat Waffenstillstand mit §Y$OTHER$§!;;Tiene una tregua con §Y$OTHER$§!;;;;;;;;;x
NO_TRUCE_WITH;Does NOT have a Truce with §Y$OTHER$§!;N'a pas signé de trêve avec §Y$OTHER$§!;Hat KEINEN Waffenstillstand mit §Y$OTHER$§!;;NO tiene una tregua con §Y$OTHER$§!;;;;;;;;;x

HAVE_A_PORT_IN;Have a port in ;A un port à ;Hat einen Hafen in ;;Tiene un puerto en;Ha un porto in;;;;;;;;x
HAVE_NOT_A_PORT_IN;Haven't a port in ;N'a pas de port à ;Hat keinen Hafen in ;;No tiene un puerto en;Non ha un porto in;;;;;;;;x

HAVE_A_X_INY;Has a §Y$X$§! in §Y$Y$§!;A '§Y$X$§!' à §Y$Y$§!;Hat §Y$X$§! in §Y$Y$§!;;Tiene un(a) §Y$X$§! en §Y$Y$§!;Ha §Y$X$§! in §Y$Y$§!;;;;;;;;x
DONT_HAVE_A_X_INY;Has no §Y$X$§! in §Y$Y$§!;N'a pas de '§Y$X$§!' en §Y$Y$§!;Hat nicht §Y$X$§! in §Y$Y$§!;;No tiene un(a) §Y$X$§! en §Y$Y$§!;Non ha§Y$X$§! in §Y$Y$§!;;;;;;;;x

HAVE_CHARACTER_FLAG;Has character flag;A le sceau du personnage;Hat Charakterflagge;;Tiene bandera de personaje;Ha una bandiera del personaggio;;;;;;;;x
HAVE_NOT_CHARACTER_FLAG;Does NOT have the character flag;N'a pas le sceau du personnage;Hat NICHT Charakterflagge;;No tiene bandera de personaje;Non ha una bandiera del personaggio;;;;;;;;x

HAVE_CULTURE;Has culture ;Est de culture ;Hat Kultur: ;;Tiene cultura ;Ha cultura ;;;;;;;;x
HAVNT_CULTURE;Does NOT have culture ;N'est pas de culture ;Hat nicht Kultur ;;No tiene cultura ;Non ha una cultura ;;;;;;;;x

HAVE_CULTURE_GROUP;Has culture group ;Est du groupe culturel ;Hat Kulturgruppe: ;;Tiene grupo cultural ;Ha gruppo culturale ;;;;;;;;x
HAVE_NOT_CULTURE_GROUP;Does NOT have culture group ;N'est pas du groupe culturel ;Hat nicht Kulturgruppe: ;;No tiene grupo cultural ;Non ha un gruppo culturale ;;;;;;;;x

HAVE_GLOBAL_FLAG;Has the global flag ;Dispose du sceau global ;Hat globale Flagge;;Tiene la bandera global;;;;;;;;;x
HAVE_NOT_GLOBAL_FLAG;Do NOT have the global flag ;Ne dispose pas du sceau global ;Hat globale Flagge NICHT;;NO tiene la bandera global;;;;;;;;;x

HAVE_PROVINCE_FLAG;Has province flag;Possède un sceau de comté;Hat Provinzfahne;;Tiene bandera de provincia;Ha una bandiera provinciale;;;;;;;;x
HAVE_NOT_PROVINCE_FLAG;Does NOT have province flag;Ne possède pas de sceau de comté;Hat keine Provinzfahne;;No tiene bandera de provincia;Non ha una bandiera provinciale;;;;;;;;x

HOLDING_TYPE_IS;Holding Type is ;Le type de propriété est ;Besitztumstyp ist ;;Tipo de posesión es;;;;;;;;;x
HOLDING_TYPE_IS_NOT;Holding Type is NOT ;Le type de propriété n'est pas ;Besitztumstyp ist NICHT ;;Tipo de posesión no es;;;;;;;;;x

IS_PRIMARY_HOLDER_TITLE_TIER;Is same tier as primary title;Est de même rang que le titre principal;Ist in der gleichen Kategorie wie der Haupttitel;;Es de la misma rama que el título principal;;;;;;;;;x
ISNT_PRIMARY_HOLDER_TITLE_TIER;Is NOT same tier as primary title;N'est pas de même rang que le Titre Principal;Ist in einer anderen Kategorie als der Haupttitel;;no es de la misma rama que el título principal;;;;;;;;;x

IS_A_FRIEND_OF;Is a Friend of ;Est un ami de ;Ist ein Freund von ;;Es amigo(a) de ;È amico di ;;;;;;;;x
IS_NOT_A_FRIEND_OF;Is NOT a Friend of ;N'est pas un ami de ;Ist kein Freund von ;;No es amigo(a) de ;Non è amico di ;;;;;;;;x

IS_A_RIVAL_OF;Is a Rival of ;Est un rival de;Ist ein Rivale von ;;Es rival de ;È un rivale di ;;;;;;;;x
IS_NOT_A_RIVAL_OF;Is NOT a Rival of ;N'est pas un rival de ;Ist kein Rivale von ;;No es rival de ;Non è un rivale di ;;;;;;;;x

IS_A_SIBLING;Is a sibling of ;Est un frère ou une soeur de ;Ist ein Geschwister von;;Es hermano(a) de ;È un fratello/una sorella di ;;;;;;;;x
IS_NOT_A_SIBLING;Is NOT a sibling of ;N'est pas un frère ou une soeur de ;Ist KEIN Geschwister von;;No es hermano(a) de ;Non è un fratello/una sorella di ;;;;;;;;x

IS_ABROAD;Is Abroad;Est à une autre Cour;Ist außer Landes;;Está en el extranjero;;;;;;;;;x
ISNT_ABROAD;Is NOT Abroad;N'est pas à une autre Cour;Ist NICHT außer Landes;;NO está en el extranjero;;;;;;;;;x

IS_AI_CONTROLLED;Is AI controlled;Est sous contrôle de l'IA;Ist KI-gesteuert;;Lo(a) controla la IA;È controllato dall'IA;;;;;;;;x
IS_PLAYER_CONTROLLED;Is player controlled;Est sous contrôle du joueur;Ist spielergesteuert;;Lo(a) controla el jugador;È controllato dal giocatore;;;;;;;;x

IS_ALIVE;Is Alive;Est en vie;Ist am Leben;;Sigue vivo;;;;;;;;;x
ISNT_ALIVE;Is Dead;N'est plus en vie;Ist tot;;Ha muerto;;;;;;;;;x

IS_AT_WAR_WITH;Is at war with ;Est en guerre contre ;Ist im Krieg mit ;;Está en guerra con ;È in guerra con ;;;;;;;;x
IS_AT_PEACE_WITH;Is at peace with ;Est en paix avec ;Ist im Frieden mit;;Está en paz con ;È in pace con ;;;;;;;;x

IS_BASTARD;Was born a bastard;A vu le jour comme enfant naturel;Wurde als Bastard geboren;;Nació como bastardo;;;;;;;;;x
ISNT_BASTARD;Was NOT born a bastard;N'a pas vu le jour comme enfant naturel;Wurde NICHT als Bastard geboren;;NO nació como bastardo;;;;;;;;;x

IS_BETROTHED;Is betrothed;Est fiancé(e);Ist verlobt;;Se ha comprometido;;;;;;;;;x
IS_NOT_BETROTHED;Is NOT betrothed;N'est pas fiancé(e);Ist NICHT verlobt;;NO se ha comprometido;;;;;;;;;x

HAS_COUNTY_CAPITAL;Has a County Capital;Possède une capitale de comté;Hat eine Hauptstadt;;Tiene una capital de condado;;;;;;;;x
HASNT_COUNTY_CAPITAL;Does NOT have a County Capital;Ne possède pas de capitale de comté;Hat KEINE Hauptstadt;;NO tiene una capital de condado;;;;;;;;x

IS_COUNTY_CAPITAL;Is the county capital;Est la capitale du comté;Ist die Hauptstadt;;Es la capital del condado;;;;;;;;;x
ISNT_COUNTY_CAPITAL;Is NOT the county capital;N'est pas la capitale du comté;Ist NICHT die Hauptstadt;;NO es la capital del condado;;;;;;;;;x

IS_CAPITAL;Is NOT the capital;N'est pas une capitale;Ist NICHT die Hauptstadt;;NO es la capital;NON è la capitale;;;;;;;;x
ISNT_CAPITAL;Is the capital;Est la capitale;Ist die Hauptstadt;;Es la capital;È la capitale;;;;;;;;x

IS_CHILD_OF;Is Child of §Y[GetBestName]§!;Est un enfant [Get_only_du_Title]§Y[GetBestName]§!;Ist Kind von §Y[GetBestName]§!;;Es hijo de §Y[GetBestName]§!;;;;;;;;;x
IS_NOT_CHILD_OF;Is NOT Child of §Y[GetBestName]§!;N'est pas un enfant [Get_only_du_Title]§Y[GetBestName]§!;Ist NICHT Kind von §Y[GetBestName]§!;;NO es hijo de §Y[GetBestName]§!;;;;;;;;;x

IS_COMMANDER;Is a Commander;Est un commandant;Ist ein Kommandeur;;Es comandante;È un comandante;;;;;;;;x
IS_NOT_COMMANDER;Is NOT a Commander;N'est pas un commandant;Ist kein Kommandeur;;No es comandante;Non è un comandante;;;;;;;;x

IS_COURTIER;Is a Councillor;Est conseiller;Ist Ratsmitglied;;Es consejero;;;;;;;;;x
ISNT_COURTIER;Is NOT a Councillor;N'est pas conseiller;Ist kein Ratsmitglied;;NO es consejero;;;;;;;;;x

IS_CURRENT_HEIR;Is the current heir;Est le successeur actuel;Ist der derzeitige Nachfolger;;Es el heredero actual;;;;;;;;;x
IS_NOT_CURRENT_HEIR;Is NOT the current heir;N'est pas le successeur actuel;Ist NICHT der derzeitige Nachfolger;;No es el heredero actual;;;;;;;;;x
IS_CURRENT_HEIR_TO;Is the current heir to the §Y[GetFullName]§!;Est l'héritier actuel de §Y[GetFullName]§!;Ist der aktuelle Erbe auf den §Y[GetFullName]§!;;Es el heredero actual de §Y[GetFullName]§!;;;;;;;;;x

IS_DE_JURE_LIEGE;Is de jure liege;Est seigneur de jure;Ist De-jure-Lehnsherr;;Es señor de iure;;;;;;;;;x
IS_NOT_DE_JURE_LIEGE;Is NOT de jure liege;N'est pas seigneur de jure;Ist NICHT De-jure-Lehnsherr;;No es señor de iure;;;;;;;;;x

IS_EXCOMMUNICATED_FOR;Is excommunicated for $CHARACTER|Y$;Est excommunié(e) pour $CHARACTER|Y$;Ist exkommuniziert für $CHARACTER|Y$;;Ha sido excomulgado por $CHARACTER|Y$;;;;;;;;;x
IS_EXCOMMUNICATED_FOR_NOT;Is NOT excommunicated for $CHARACTER|Y$;N'est pas excommunié(e) pour $CHARACTER|Y$;Ist NICHT exkommuniziert für $CHARACTER|Y$;;NO ha sido excomulgado por $CHARACTER|Y$;;;;;;;;;x

IS_FATHER_OF;Is Father of §Y[GetBestName]§!;Est le père [Get_only_du_Title]§Y[GetBestName]§!;Ist Vater von §Y[GetBestName]§!;;Es padre de §Y[GetBestName]§!;;;;;;;;;x
IS_NOT_FATHER_OF;Is NOT Father of §Y[GetBestName]§!;N'est pas le père [Get_only_du_Title]§Y[GetBestName]§!;Ist NICHT Vater von §Y[GetBestName]§!;;NO es padre de §Y[GetBestName]§!;;;;;;;;;x

IS_FEMALE;Is female;Est une femme;Ist weiblich;;Es mujer;È femmina;;;;;;;;x
IS_MALE;Is male;Est un homme;Ist männlich;;Es hombre;È maschio;;;;;;;;x

IS_FEUDAL;Government is Feudal;Le gouvernement est féodal;Regierung ist feudal;;El gobierno es feudal;;;;;;;;;x
ISNT_FEUDAL;Government is NOT Feudal;Le gouvernement n'est pas féodal;Regierung ist NICHT feudal;;El gobierno NO es feudal;;;;;;;;;x

IS_FROM_RULER_FAMILY;Is of the ruling dynasty;Fait partie de la dynastie régnante;Ist aus der regierenden Dynastie;;Es de la dinastía gobernante;;;;;;;;;x
IS_NOT_FROM_RULER_FAMILY;Is NOT of the ruling dynasty;Ne fait pas partie de la dynastie régnante;Ist nicht aus der regierenden Dynastie;;NO es de la dinastía gobernante;;;;;;;;;x

IS_GUARDIAN_OF;Is Guardian of §Y[GetBestName]§!;Est le tuteur [Get_only_du_Title]§Y[GetBestName]§!;Ist Vormund von §Y[GetBestName]§!;;Es tutor de §Y[GetBestName]§!;;;;;;;;;x
IS_NOT_GUARDIAN_OF;Is NOT Guardian of §Y[GetBestName]§!;N'est pas le tuteur [Get_only_du_Title]§Y[GetBestName]§!;Ist NICHT Vormund von §Y[GetBestName]§!;;NO es tutor de §Y[GetBestName]§!;;;;;;;;;x

IS_HERESY_OF;Is a §Y$RELIGION$§! heresy;Est une hérésie §Y$RELIGION$§!;Hängt einer §Y$RELIGION$en§! Ketzerei an;;Es una herejía del §Y$RELIGION$§!;;;;;;;;;x
IS_NOT_HERESY_OF;Is NOT a §Y$RELIGION$§! heresy;N'est pas une hérésie §Y$RELIGION$§!;Hängt KEINER §Y$RELIGION$en§! Ketzerei an;;NO es una herejía del §Y$RELIGION$§!;;;;;;;;;x

IS_HERETIC;Is a heretic;Est hérétique;Ist ein Ketzer;;Es hereje;;;;;;;;;x
ISNT_HERETIC;Is NOT a heretic;N'est pas hérétique;Ist KEIN Ketzer;;NO es hereje;;;;;;;;;x

IS_HISTORICAL;Is an important character or a character in an ongoing chain of events;Est un personnage important ou un personnage dans une chaîne d'événements en cours;Ist ein wichtiger Charakter oder ein Charakter in einer laufenden Ereigniskette;;Es un personaje importante o está en la serie de acontecimientos en curso;;;;;;;;;x
IS_NOT_HISTORICAL;Is NOT an important character or a character in an ongoing chain of events;N'est pas un personnage important ou un personnage dans une chaîne d'événements en cours;Ist KEIN wichtiger Charakter und KEIN Charakter einer laufenden Ereigniskette;;NO es un personaje importante o está en la serie de acontecimientos en curso;;;;;;;;;x

IS_HOLDER;Is held by ;Est possédé par ;Ist Träger: ;;Es propietario:;;;;;;;;;x
IS_NOT_HOLDER;Is NOT held by ;Ne possède pas : ;Ist NICHT Träger: ;;NO es propietario:;;;;;;;;;x

IS_ILL;Is ill;Est malade;Ist krank;;Padece una enfermedad;;;;;;;;;x
IS_NOT_ILL;Is NOT ill;N'est pas malade;Ist NICHT krank;;NO padece ninguna enfermedad;;;;;;;;;x

IS_IMPORTANT_CHARACTER_TO;Is an important character to $CHAR|Y$\n;Est un personnage important pour $CHAR|Y$\n;Ist ein wichtiger Charakter für $CHAR|Y$\n;;Es un personaje importante para $CHAR|Y$\n;;;;;;;;;x
IS_NOT_IMPORTANT_CHARACTER_TO;Is NOT an important character to $CHAR|Y$\n;N’est pas un personnage important pour $CHAR|Y$\n;Ist KEIN wichtiger Charakter für $CHAR|Y$\n;;NO es un personaje importante para $CHAR|Y$\n;;;;;;;;;x

IS_IN_BATTLE;Is in a Battle;Est dans une bataille;Ist in einem Gefecht;;Está en una batalla;;;;;;;;;x
IS_NOT_IN_BATTLE;Is NOT in a Battle;Ne livre pas bataille;Ist NICHT in einem Gefecht;;NO está en una batalla;;;;;;;;;x

IS_IN_SIEGE;Is in a Siege;Participe à un siège;Ist in einer Belagerung;;Está en un feudo;;;;;;;;;x
IS_NOT_IN_SIEGE;Is NOT in a Siege;Ne participe pas à un siège;Ist NICHT in einer Belagerung;;NO está en un feudo;;;;;;;;;x

IS_INDEPENDENT;Is an Independent Ruler;Est un souverain indépendant;Ist unabhängiger Herrscher;;Es soberano independiente;;;;;;;;;x
IS_NOT_INDEPENDENT;Is NOT an independent ruler;N'est pas un souverain indépendant;Ist KEIN unabhängiger Herrscher;;NO es soberano independiente;;;;;;;;;x

IS_LAND;Is Land;Est doté en terres;Ist Land;;Es tierra;;;;;;;;;x
IS_NOT_LAND;Is NOT Land;N'est pas doté en terres;Ist KEIN Land;;No es tierra;;;;;;;;;x

IS_LANDLESS_TYPE_TITLE;Can persist without holdings;Peut continuer sans propriétés;Kann ohne Besitztümer fortbestehen;;Puede mantenerse sin propiedades;;;;;;;;;x
ISNT_LANDLESS_TYPE_TITLE;Cannot persist without holdings;Ne peut continuer sans propriétés;Kann ohne Besitztümer nicht fortbestehen;;No puede mantenerse sin propiedades;;;;;;;;;x

IS_LIEGE_OF;Is Liege of §Y[GetBestName]§!;Est le seigneur lige [Get_only_du_Title]§Y[GetBestName]§!;Ist Lehnsherr von §Y[GetBestName]§!;;Es señor de §Y[GetBestName]§!;;;;;;;;;x
IS_NOT_LIEGE_OF;Is NOT Liege of §Y[GetBestName]§!;N'est pas le seigneur lige [Get_only_du_Title]§Y[GetBestName]§!;Ist NICHT Lehnsherr von §Y[GetBestName]§!;;NO es señor de §Y[GetBestName]§!;;;;;;;;;x

IS_LOCAL_HUMAN_OBSERVER;The local player is an observer;Le joueur local est un observateur;Der lokale Spieler ist Zuschauer;;El jugador local es un observador;;;;;;;;;x
IS_NOT_LOCAL_HUMAN_OBSERVER;The local player is NOT an observer;Le joueur local n'est pas un observateur;Der lokale Spieler ist KEIN Zuschauer;;El jugador local NO es un observador;;;;;;;;;x

IS_LOCATED_IN;Is located in;Se situe en;Befindet sich in;;Se encuentra en;È situato in;;;;;;;;x
IS_NOT_LOCATED_IN;Is NOT located in;Ne se situe pas en;Befindet sich NICHT in;;No se encuentra en;NON è situato in;;;;;;;;x

IS_MARRIED;Is married;Est marié(e);Ist verheiratet;;Está casado(a);È sposato;;;;;;;;x
IS_NOT_MARRIED;Is NOT married;N'est pas marié(e);Ist nicht verheiratet;;No está casado(a);Non è sposato;;;;;;;;x

IS_MOTHER_OF;Is Mother of §Y[GetBestName]§!;Est la mère [Get_only_du_Title]§Y[GetBestName]§!;Ist Mutter von §Y[GetBestName]§!;;Es madre de §Y[GetBestName]§!;;;;;;;;;x
IS_NOT_MOTHER_OF;Is NOT Mother of §Y[GetBestName]§!;N'est pas la mère [Get_only_du_Title]§Y[GetBestName]§!;Ist NICHT Mutter von §Y[GetBestName]§!;;NO es madre de §Y[GetBestName]§!;;;;;;;;;x

IS_NEIGHBOUR_WITH;Is neighbor with ;Est voisin avec ;Ist Nachbar von;;Es vecino de ;Confina con ;;;;;;;;x
IS_NOT_NEIGHBOUR_WITH;Is NOT neighbor with ;N'est pas voisin avec ;Ist KEIN Nachbar von;;No es vecino de ;Non confina con ;;;;;;;;x

IS_NOMAD;Is a clan;Est un clan;Ist ein Clan;;Es un clan;;;;;;;;;x
IS_NOT_NOMAD;Is not a clan;N'est pas un clan;Ist kein Clan;;No es un clan;;;;;;;;;x

IS_OCCUPIED;Is Occupied;Est occupé;Ist besetzt;;Se encuentra ocupado;;;;;;;;;x
