action_administer_realm;Administer Realm;Administrer le pays;Reich verwalten;;Administrar el reino;;;;;;;;;x
action_collect_tribute_desc;Send your [GetTreasurerName] to collect extra contributions from vassals and tributary rulers. This will not please them much...;Envoyez votre [GetTreasurerName] pour collecter les contributions supplémentaires auprès de vos vassaux et seigneurs tributaires. Ceci risque de fortement leur déplaire...;Sendet Euren [GetTreasurerName] aus, um zusätzliche Mittel von Vasallen und tributpflichtigen Herrschern einzutreiben. Dies wird nicht gerade für Begeisterung sorgen ...;;Envía tu [GetTreasurerName] para recoger las contribuciones adicionales de los gobernantes vasallos y tributarios. Esto no les gustará mucho...;;;;;;;;;x
action_fabricate_claims;Fabricate Claims;Fabriquer des revendications;Ansprüche fingieren;;Hacer reclamaciones;;;;;;;;;x
action_fabricate_claims_desc;Send your [GetChancellorName] to fabricate claims on landed titles held by local rulers. A highly skilled [GetChancellorName] may even fabricate a claim on a duchy. Only with the Become King ambition is it possible to fabricate a claim on a kingdom.;Envoyez votre [GetChancellorName] fabriquer des revendications sur des titres fonciers détenus par des seigneurs locaux. Si sa compétence est suffisamment élevée cela pourra même se faire sur un duché. Par contre, il est uniquement possible de fabriquer une revendication pour un royaume avec l'ambition de « devenir roi ».;Sendet Euren [GetChancellorName] aus, um Besitzansprüche auf die Titel von Ländereien der lokalen Machthaber anzumelden. Hochbegabte [GetChancellorName] schaffen es sogar, Ansprüche auf Herzogtümer anzumelden. Nur mit der Zielsetzung "König werden" ist es möglich, einen Anspruch auf ein ganzes Königreich zu fingieren.;;Envía a tu [GetChancellorName] para fabricación derechos  sobre títulos de tierras que poseen los gobernantes locales. Un [GetChancellorName] altamente calificado puede incluso fabricar una reclamación sobre un ducado. Sólo con la ambición Convertirse en Rey es posible fabricar una reclamación sobre un reino.;;;;;;;;;x
action_hunt_heretics;Hunt Apostates;Chasser les apostats;Ketzer jagen;;Perseguir a los herejes;;;;;;;;;x
action_hunt_heretics_desc;The [GetLordSpiritualName] will hunt down blaspheming and heretical Societies and drag their members into the light.;Votre [GetLordSpiritualName] de la Cour oeuvrera à extirper les sociétés blasphématoires et hérétiques, et à guider leurs membres vers la lumière.;Der Hofprediger wird versuchen, ketzerische Zirkel aufzuspüren.;;El [GetLordSpiritualName] de la corte tratará de acabar con las sociedades que promuevan la herejía.;;;;;;;;;x
action_improve_rel_relations;Improve Religious Relations;Améliorer les relations religieuses;Klerus beeinflussen;;Mejorar relaciones religiosas;;;;;;;;;x
action_improve_rel_relations_desc;Have your [GetMyLordSpiritualName] lead a religious delegation to discuss matters of the faith with the local clergy (especially useful towards the official head of a religion).;Demander à votre [GetMyLordSpiritualName] de prendre la tête d'une délégation religieuse afin de discuter des problèmes de foi avec le clergé local (particulièrement utile avec le chef officiel d'une religion).;Lasst Euren [GetMyLordSpiritualName] eine religiöse Delegation führen, die Glaubensangelegenheiten mit dem örtlichen Klerus diskutiert (besonders nützlich im Hinblick auf den offiziellen Anführer einer Religion).;;Que el capellán de tu corte encabece una delegación religiosa para discutir asuntos de fe con el clero local (especialmente útil frente a la cabeza oficial de una religión).;;;;;;;;;x
action_improve_relations;Improve Diplomatic Relations;Améliorer les relations féodales;Beziehungen verbessern;;Mejorar relaciones;;;;;;;;;x
action_improve_relations_desc;Send your [GetChancellorName] on a diplomatic mission to improve relations with your vassals or the ruler of a county.;Envoyez votre [GetChancellorName] en mission diplomatique pour améliorer vos relations avec vos vassaux ou avec le dirigeant d'un pays.;Entsendet [GetChancellorName] zu einer diplomatischen Mission, um die Beziehungen zu einem Vasallen oder dem Herrscher einer Provinz zu verbessern.;;Envía a tu [GetChancellorName] en misión diplomática para mejorar relaciones con vasallos o con el señor de un condado.;;;;;;;;;x
action_inquisition;Proselytize;Faire du prosélytisme;Bekehren;;Hacer proselitismo;;;;;;;;;x
action_inquisition_desc;Send your [GetMyLordSpiritualName] to tend to the lost souls in a county, converting heretics and infidels.;Envoyez votre [GetMyLordSpiritualName] s'occuper des âmes perdues d'un comté, afin de convertir les hérétiques et les infidèles.;Entsendet Euren [GetMyLordSpiritualName], um die verlorenen Seelen in einer Provinz zu versorgen und die Häretiker und Ungläubigen zu konvertieren.;;Enviar al capellán de tu corte a atender a las almas perdidas en una provincia, convirtiendo herejes e infieles.;;;;;;;;;x
action_organize_army;Organize the Army;Organiser l'armée;Armee organisieren;;Organizar el ejército;;;;;;;;;x
action_organize_army_desc;The [GetMarshalName] will strive to organize your armies and drill your commanders. Reduces retinue monthly cost.;Votre [GetMarshalName] s'efforcera d'organiser vos armées et d'entraîner vos commandants, et ceci réduira le coût mensuel de l'escorte.;[GetMarshalName] wird sich darum bemühen, Eure Armeen zu organisieren und Eure Befehlshaber auszubilden. Senkt die monatlichen Kosten für Gefolge.;;Tu [GetMarshalName] se esforzará por organizar a tus tropas y adiestrar a tus comandantes. Reduce el coste mensual del séquito.;;;;;;;;;x
action_organize_raid;Organize Raid;Organiser un pillage;Überfall organisieren;;Asalto Organizado;;;;;;;;;x
action_organize_raid_desc;Have your [GetMarshalName] gather men for a great raid, for plunder and glory! If you don't use these troops for raiding, they will get angry at you and take your gold instead.;Demander à votre [GetMarshalName] d'organiser un grand pillage. Butin et gloire sont au menu ! Si vous n'utilisez pas ces troupes pour vos pillages, elles perdront le moral et s'attaqueront à vous et à votre or.;Beauftragt Euren [GetMarshalName], Männer für einen großen Raubzug zu sammeln. Für Beute und Ruhm! Wenn Ihr diese Truppen nicht bei Raubzügen einsetzt, werden sie wütend auf Euch sein und Euer Gold stehlen.;;¡Que tu [GetMarshalName] reclute hombres para una gran incursión en busca de botín y gloria! Si no usas estas tropas una incursión, se enfadarán contigo y en su lugar se llevarán tu oro.;;;;;;;;;x
action_organize_spies;Build Spy Network;Tisser un réseau d'espionnage;Spitzelnetz aufbauen;;Crear una red de espías;;;;;;;;;x
action_organize_spies_desc;Have your [GetSpymasterName] focus his attention on the local nobles in a county, increasing the likelihood of intrigue events against them.;Demander à votre maître-espion de se concentrer sur les nobles locaux d'un comté afin d'augmenter les intrigues initiées contre eux.;Lasst Euren [GetSpymasterName] sich auf die hiesigen Adligen in einer Grafschaft konzentrieren, was die Chance auf Intrigen-Ereignisse gegen sie erhöht.;;Haz que tu jefe de espías centre su atención en los nobles de un condado, lo que aumenta la probabilidad de eventos de intriga contra ellos.;;;;;;;;;x
action_organize_spies_mystics;Build Spy Network;Tisser un réseau d'espionnage;Agentennetzwerk aufbauen;;Crear una red de espías;;;;;;;;;x
action_organize_spies_mystics_desc;Have your [GetSpymasterName] focus his attention on the local nobles in a county, increasing the likelihood of intrigue events against them. This will also discourage vassals from associating with Factions, or give you the opportunity to recruit new members for your own.;Demander à votre [GetSpymasterName] de concentrer son attention sur les nobles locaux dans un comté, ce qui augmente la probabilité d'événements d'intrigue contre eux. Cela dissuadera également les vassaux de rejoindre des factions, ou vous donnera la possibilité de recruter de nouveaux membres pour les vôtres.;Befehlt Eurem [GetSpymasterName], sich in einer Grafschaft auf die ansässigen Adligen zu konzentrieren, um die Chance auf Intrigen-Ereignisse gegen sie zu erhöhen. Dies wird auch Vasallen davon abbringen, sich einer Faktion anzuschließen, oder Euch die Gelegenheit bieten, neue Mitglieder für Euch selbst zu gewinnen.;;Haz que tu [GetSpymasterName] centre su atención en los nobles de un condado para aumentar la posibilidad de desatar intrigas contra ellos. Esto también convencerá a los vasallos de que no se asocien con facciones, o de que recluten a nuevos miembros para las tuyas.;;;;;;;;;x
action_oversee_construction;Oversee Construction;Superviser la construction;Bauaufsicht;;Supervisar la construcción;;;;;;;;;x
action_oversee_construction_desc;Send your [GetTreasurerName] to speed up the construction of buildings and holdings in a county.;Demander à votre [GetTreasurerName] d'accélérer la construction de bâtiments et de propriétés dans un comté.;Entsendet Euren [GetTreasurerName], um den Bau von Gebäuden und Besitztümern in einer Grafschaft zu beschleunigen.;;Envía a tu mayordomo para que acelere la construcción de edificios y propiedades en un condado.;;;;;;;;;x
action_sabotage_province;Sabotage Province;Saboter l'exploitation du comté;Provinz sabotieren;;Sabotear provincia;;;;;;;;;x
action_sabotage_province_desc;The [GetSpymasterName] is sent to infiltrate a province and sabotage its operations.;Votre [GetSpymasterName] est envoyé pour infiltrer un comté et saboter son exploitation.;Der [GetSpymasterName] wird entsandt, um eine Provinz zu infiltrieren und deren Abläufe zu sabotieren.;;Envía al jefe de espías a que se infiltre en una provincia y sabotee sus operaciones.;;;;;;;;;x
action_settle_tribe;Settle Tribe;Implanter une tribu;Stamm ansiedeln;;Establezca el Tribu;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetMyTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.;Assigner votre [GetMyTreasurerName] à l'implantation de membres de votre tribu dans un comté, ce qui augmente les chances que sa culture devienne §Y[Culture.GetName]§!.;Beauftragt Euren [GetTreasurerName], Angehörige Eures Stammes in der Grafschaft anzusiedeln, damit die Chance einer Kulturänderung zur §Y[Culture.GetName]en Kultur§! ansteigt.;;Nombrar a tu [GetMyTreasurerName] para que establezca miembros de tu clan en el país, de modo que aumenten las oportunidades de que su cultura cambie a §Y[Culture.GetName]§!.;;;;;;;;;x
action_sow_dissent;Sow Dissent;Semer la discorde;Unmut säen;;Sembrar disensión;;;;;;;;;x
action_sow_dissent_desc;Have your [GetMyChancellorName] sow dissent between local nobles and their lieges.;Demander à votre [GetMyChancellorName] de semer la discorde entre les nobles locaux et leurs seigneur lige.;Lasst Euren [GetMyChancellorName] Unmut zwischen lokalen Adligen und ihren Lehnsherrn säen.;;Haz que tu [GetMyChancellorName] siembre disensión entre los nobles locales y sus señores.;;;;;;;;;x
action_squeeze_peasants;Collect Taxes;Percevoir l'impôt;Steuern eintreiben;;Recaudar impuestos;;;;;;;;;x
action_squeeze_peasants_desc;Send your [GetTreasurerName] to ensure efficient taxation in the county.;Demander à votre intendant de percevoir suffisamment d'impôts dans le comté.;Entsendet Euren [GetTreasurerName], um effiziente Besteuerung in der Grafschaft sicherzustellen.;;Envía a tu mayordomo para garantizar recaudación de impuestos eficaz en el condado.;;;;;;;;;x
action_statecraft;Perform Statecraft;Faire preuve d'habileté politique;Staatskunst verrichten;;Gobernar;;;;;;;;;x
action_statecraft_desc;Work to improve relations with random vassals, neighboring rulers, and your liege – and lower threat.;Oeuvrer à améliorer les relations avec des vassaux, des dirigeants voisins et votre seigneur lige, ainsi que réduire la menace que vous représentez.;Verbessert die Beziehungen mit zufälligen Vasallen, benachbarten Herrschern und Eurem Lehnsherrn – und senkt die Bedrohung.;;Esfuérzate por mejorar las relaciones con vasallos, con gobernantes de provincias limítrofes y con tu señor para neutralizar posibles amenazas.;;;;;;;;;x
action_study_technology;Study Technology;Étudier une technologie;Technologie studieren;;Estudiar tecnología;;;;;;;;;x
action_study_technology_desc;Send your [GetSpymasterName] to study technological marvels in a county, increasing the chance of spreading them to your capital.;Demander à votre maître-espion d'étudier les prouesses technologiques d'un comté afin d'augmenter vos chances d'en faire profiter votre capitale.;Entsendet Euren [GetSpymasterName], um die technologischen Wunder in einer Grafschaft zu studieren. Dies erhöht die Chance, dass sie sich bis zu Eurer Hauptstadt ausbreiten.;;Envía a tu jefe de espías para estudiar los portentos tecnológicos de un condado, lo que aumenta la probabilidad de llevarlas a tu capital.;;;;;;;;;x
action_train_troops;Train Troops;Former des troupes;Truppen ausbilden;;Entrenar tropas;;;;;;;;;x
action_train_troops_desc;Send your [GetMarshalName] to increase the size of your levies in a county.;Demander à votre maréchal d'augmenter la taille de vos troupes dans un comté.;Entsendet Euren [GetMarshalName], um die Größe der Aufgebote in einer Provinz zu erhöhen.;;Envía a tu mariscal para aumentar el tamaño de tus levas en una provincia.;;;;;;;;;x
action_train_troops_nomadic;Train Warriors;Entraîner des guerriers;Krieger ausbilden;;Adiestrar guerreros;;;;;;;;;x
action_train_troops_nomadic_desc;Send your [GetMarshalName] to increase your manpower regrowth.;Envoyez votre [GetMarshalName] pour augmenter votre développement de nouvelles recrues.;Sendet Euren [GetMarshalName] aus, um die Mannstärke schneller wiederherzustellen.;;Envía a tu [GetMarshalName] para aumentar a regeneración de tu mano de obra.;;;;;;;;;x
action_uncover_plots;Scheme;Intriguer;Intrigieren;;Estratagema;;;;;;;;;x
action_uncover_plots_desc;Dispatch your [GetSpymasterName] to discourage vassals from associating with Factions, or to recruit new members for your own. This will also increase the likelihood of uncovering the plots of local nobles.;Envoyez votre [GetSpymasterName] en mission, afin de décourager vos vassaux de rejoindre des factions ou de recruter de nouveaux hommes pour votre faction. Ce faisant, vous augmentez également la probabilité de mettre au jour des complots mis sur pied par la noblesse locale.;Entsendet Euren [GetSpymasterName], um Eure Vasallen daran zu hindern, sich einer Fraktion anzuschließen, oder um neue Mitglieder für Eure eigene Fraktion zu gewinnen. Außerdem können hierdurch die Verschwörungen von Charakteren, die sich in der Provinz aufhalten, aufgedeckt werden.;;Enviar a [GetSpymasterName] para convencer a vasallos de no asociarse con facciones o para reclutar a nuevos miembros para las tuyas. Esto aumentará las posibilidades de desvelar conspiraciones de nobles locales.;;;;;;;;;x
action_uncover_plots_offmap;Scheme;Intriguer;Intrigieren;;Estratagema;;;;;;;;;x
action_uncover_plots_offmap_desc;Order your [GetSpymasterName] to uncover plots and discourage vassals from associating with Factions.;Ordonner à votre [GetSpymasterName] de découvrir des complots et décourager les vassaux de rejoindre des factions.;Befehlt Eurem [GetSpymasterName], Verschwörungen aufzudecken und Vasallen davon abzubringen, sich einer Faktion anzuschließen.;;Ordena a tu [GetSpymasterName] que descubra complots y convenza a los vasallos de que no se asocien con ninguna facción.;;;;;;;;;x
