#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
EVTDESC201;His Holiness, [Root.GetTitledFirstName], is worried about the state of the souls in the [crusade_title.GetFullBaseName]. The heathens under [crusade_character.GetTitledName] have no hope for salvation and will suffer the eternal fires unless they can be brought to Christ in this life. Any Christian so willing is offered complete absolution of sins in the armed mission against the [crusade_character.Religion.GetName] barbarians!;Sa Sainteté [Root.Get_le_TitledFirstName] s'inquiète du salut des âmes au [crusade_title.GetFullBaseName]. Les païens aux ordres [crusade_character.Get_du_TitledName] n'ont aucun espoir de salut et connaîtront la damnation éternelle, à moins qu'ils s'en remettent au Christ dans cette vie. Tout chrétien faisant preuve de bonne volonté recevra l'absolution totale de ses péchés en participant à la mission armée contre les barbares de la religion [crusade_character.Religion.GetName] !;Seine Heiligkeit, [Root.GetTitledFirstName], ist über den Seelenzustand von [crusade_title.GetFullBaseName] besorgt. Die Heiden unter [crusade_character.GetTitledName] haben keine Hoffnung auf Erlösung und werden im ewigen Feuer leiden, außer sie können in diesem Leben zu Christus gebracht werden. Jedem Christ wird vollständige Absolution der Sünden in der bewaffneten Mission gegen die [crusade_character.Religion.GetName]en Barbaren angeboten!;;Su Santidad, [Root.GetTitledFirstName], está preocupado por el estado de las almas en el [crusade_title.GetFullBaseName]. Los paganos en [crusade_character.GetTitledName] no tienen esperanza en la salvación y sufrirán el fuego eterno a menos que puedan ser llevados a Cristo en esta vida. ¡Se ofrece la absolución total de culpas a cualquier Cristiano dispuesto en la misión armada contra los bárbaros [crusade_character.Religion.GetName]!;;;;;;;;;x
EVTDESC202;I submit to your wise counsel and will convert to the [This.Religion.GetName] faith forthwith.;Je me soumets à votre sage conseil et me convertis immédiatement à la foi [This.Religion.GetName].;Ich nehme Euren weisen Rat an und werde sofort zum [This.Religion.GetName]en Glauben konvertieren.;;Lo someto a tu sabio consejo y me convertiré a la fe [This.Religion.GetName] de inmediato.;;;;;;;;;x
EVTDESC203;I refuse to convert to your false religion, the [From.Religion.GetName] faith is the true faith.;Je refuse de me convertir à votre fausse religion. La foi [From.Religion.GetName] est la vraie foi.;Ich weigere mich, zu Eurer falschen Religion zu konvertieren - Der [From.Religion.GetName]e Glaube ist der wahre Glaube!;;Me niego a convertirme a tu religión falsa, la fe [From.Religion.GetName] es la auténtica.;;;;;;;;;x
EVTDESC204;I humbly accept your decision to revoke the [Root.GetFullName], though it grieves me deeply.;J'accepte humblement votre décision d'annuler mon titre de [Root.GetFullName], même si cela me peine énormément.;Ich akzeptiere Eure Entscheidung, [Root.GetFullName] zu entziehen, auch wenn es mich sehr schmerzt.;;Acepto humildemente tu decisión de anular el [Root.GetFullName], aunque me aflige profundamente.;;;;;;;;;x
EVTDESC205;I will not allow you to steal my titles without a fight! You are no longer my liege lord.;Je ne vous laisserai pas vous emparer de mes titres sans me battre ! Vous n'êtes plus m[FromFrom.GetOnA] [FromFrom.GetLordLady] lige.;Ich werde Euch meine Titel nicht kampflos überlassen! Ihr seid nicht länger mein Lehnsherr.;;¡No dejaré que me robes mis títulos sin luchar! Ya no eres mi señor.;;;;;;;;;x
EVTDESC206;I accept your offer of peace.;J'accepte votre offre de paix.;Ich nehme Euer Friedensangebot an.;;Acepto tu oferta de paz.;;;;;;;;;x
EVTDESC207;I reject your offer of peace.;Je rejette votre offre de paix.;Ich weise Euer Friedensangebot zurück.;;Rechazo tu oferta de paz.;;;;;;;;;x
EVTDESC208;Please accept this humble gift of §Y[GetDiploGiftSize]§!¤.;Veuillez accepter cet humble présent de §Y[GetDiploGiftSize]§!¤.;Bitte nehmt dieses bescheidene Geschenk von §Y[GetDiploGiftSize]§!¤ an.;;Por favor, acepta este humilde regalo de §Y[GetDiploGiftSize]§!¤.;;;;;;;;;x
EVTDESC209;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
EVTDESC210;I accept to swear fealty to you and to serve as your vassal lord.;J'accepte de vous jurer fidélité et de vous servir en tant que vassal.;Ich schwöre Euch die Treue und werde Euch als Euer Vasall dienen.;;Acepto jurarte fidelidad y servirte como vasallo, señor.;;;;;;;;;x
EVTDESC211;I reject your offer of vassalization. I do not need your 'protection'.;Je rejette votre offre de vassalisation. Je n'ai pas besoin de votre 'protection'.;Ich weise Euer Angebot auf Vasallisierung zurück. Ich brauche Euren "Schutz" nicht.;;Rechazo tu oferta de ser tu vasallo. No necesito tu 'protección'.;;;;;;;;;x
EVTDESC212;I have decided to accept your suggestion of a betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;J'ai décidé d'accepter votre proposition de fiançailles entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName].;Ich habe beschlossen, Euren Vorschlag für eine Ehe zwischen [Root.GetTitledFirstName] und [New.GetTitledFirstName] anzunehmen.;;He decidido aceptar tu sugerencia de un matrimonio entre [Root.GetTitledFirstName] y [New.GetTitledFirstName].;;;;;;;;;x
EVTDESC213;I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName].;Je rejette votre insultante proposition. [New.Get_Le_TitledFirstName] n'épousera jamais [Root.Get_le_TitledFirstName].;Ich weise Euren beleidigenden Vorschlag zurück. [New.GetTitledFirstName] wird [Root.GetTitledFirstName] nie ehelichen.;;Rechazo tu insultante sugerencia. [New.GetTitledFirstName] nunca se casará con [Root.GetTitledFirstName].;;;;;;;;;x
EVTDESC214;I have decided to accept your suggestion that [Root.GetTitledFirstName] and [New.GetTitledFirstName] get married. All children of the union will be of her Dynasty.;J'ai décidé d'accepter votre proposition de mariage entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName]. Tous les enfants qui naîtront de cette union appartiendront à la dynastie de la mariée.;Ich habe beschlossen, Euren Vorschlag zu akzeptieren, dass [Root.GetTitledFirstName] und [New.GetTitledFirstName] heiraten sollen. Alle Kinder aus dieser Ehe werden zu ihrer Dynastie gehören.;;He decidido aceptar tu sugerencia de que [Root.GetTitledFirstName] y [New.GetTitledFirstName] se casen. Los hijos del matrimonio pertenecerán a la dinastía de ella.;;;;;;;;;x
EVTDESC215;Regrettably, I feel it would not be in my best interests for [Root.GetTitledFirstName] to marry [New.GetTitledFirstName] under those terms.;Malheureusement, je n'ai aucun intérêt à voir [Root.Get_le_TitledFirstName] épouser [New.Get_le_TitledFirstName] selon ces termes.;Leider ist es meiner Ansicht nach nicht in meinem besten Interesse für [Root.GetTitledFirstName], [New.GetTitledFirstName] zu diesen Bedingungen zu heiraten.;;Lo lamento, pero que se casen [Root.GetTitledFirstName] y [New.GetTitledFirstName] bajo esas condiciones no es lo que más me conviene.;;;;;;;;;x
EVTDESC216;I accept your suggestion that [Root.GetTitledFirstName] and [New.GetTitledFirstName] get married.;J'accepte votre proposition de mariage entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName].;Ich akzeptiere Euren Vorschlag, dass [Root.GetTitledFirstName] und [New.GetTitledFirstName] heiraten sollten.;;Acepto tu sugerencia de que [Root.GetTitledFirstName] y [New.GetTitledFirstName] se casen.;;;;;;;;;x
EVTDESC217;Regrettably, I feel it would not be in my best interests for [Root.GetTitledFirstName] to marry [New.GetTitledFirstName].;Malheureusement, je n'ai aucun intérêt à voir [Root.Get_le_TitledFirstName] épouser [New.Get_le_TitledFirstName].;Leider ist es meiner Ansicht nach nicht in meinem besten Interesse für [Root.GetTitledFirstName], [New.GetTitledFirstName] zu heiraten.;;Lo lamento, pero que se casen [Root.GetTitledFirstName] y [New.GetTitledFirstName] no es lo que más me conviene.;;;;;;;;;x
EVTDESC218;I accept paying your ransom for the safe return of [Root.GetTitledFirstName].;J'accepte de payer la rançon pour le retour [Root.Get_du_TitledFirstName].;Ich willige ein, Euer Lösegeld für die sichere Rückkehr von [Root.GetTitledFirstName] zu zahlen.;;Acepto pagar tu rescate para que vuelva sano y salvo [Root.GetTitledFirstName].;;;;;;;;;x
EVTDESC219;I refuse to pay your extortionate ransom demand for [Root.GetTitledFirstName].;Je refuse de payer l'exorbitante demande de rançon pour [Root.Get_le_TitledFirstName].;Ich weigere mich, Euer astronomisches Lösegeld für [Root.GetTitledFirstName] zu zahlen.;;Me niego a pagar tu rescate por [Root.GetTitledFirstName].;;;;;;;;;x
EVTDESC220;I gladly accept the Guardianship contract between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;J'accepte avec joie le contrat de tutelle entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName].;Gerne akzeptiere ich den Vormundschaftskontrakt zwischen [Root.GetTitledFirstName] und [New.GetTitledFirstName].;;Acepto con gusto el contrato de custodia entre [Root.GetTitledFirstName] y [New.GetTitledFirstName].;;;;;;;;;x
EVTDESC221;I fear that I cannot accept accept the Guardianship contract between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;Je crains de ne pouvoir accepter le contrat de tutelle entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName].;Ich fürchte, dass ich den Vormundschaftskontrakt zwischen [Root.GetTitledFirstName] und [New.GetTitledFirstName] nicht akzeptieren kann.;;Me temo que no puedo aceptar el contrato de custodia entre [Root.GetTitledFirstName] y [New.GetTitledFirstName].;;;;;;;;;x
EVTDESC222;Your demand is just. My scheming was obviously misdirected. I hope you will find it in you to forgive me.;Votre demande est juste. J'avais manifestement tort d'intriguer contre vous. J'espère que vous me pardonnerez.\n\nSigné, [From.Get_le_TitledName];Eure Forderung ist fair. Meine Ränkeschmiederei war offensichtlich fehlgeleitet. Ich hoffe, Ihr werdet mir vergeben können.;;Tu petición es justa. Obviamente mi plan estaba mal orientado. Espero que puedas perdonarme.;;;;;;;;;x
EVTDESC223;I will eventually [From.GetPlot]! You cannot stop me.;Finalement, je vais [From.GetPlot] ! Vous ne pouvez pas m'arrêter.;Ich werde irgendwann [From.GetPlot]! Ihr könnt mich nicht aufhalten.;;¡Al final lograré mi [From.GetPlot]! No puedes pararme.;;;;;;;;;x
EVTDESC224;I accept your demand. I will no longer back [Root.GetTitledFirstName]'s dubious plot to [Root.GetPlot].;J'accepte votre demande. Je ne soutiendrai plus le complot douteux [Root.Get_du_TitledFirstName] visant à [Root.GetPlot].\n\nSigné, [From.Get_le_TitledName];Ich nehme Eure Forderung an. Ich werde [Root.GetTitledFirstName]'s zweifelhaften Plan für [Root.GetPlot] nicht länger unterstützen.;;Acepto tu petición. Ya no retomaré el cuestionable complot de [Root.GetTitledFirstName] para [Root.GetPlot].;;;;;;;;;x
EVTDESC225;I will not withdraw my support for [Root.GetTitledFirstName]'s plan to [Root.GetPlot].;Je ne retirerai pas mon soutien pour le plan [Root.Get_du_TitledFirstName] visant à [Root.GetPlot].;Ich werde meine Unterstützung für [Root.GetTitledFirstName]'s Plan für [Root.GetPlot] nicht zurückziehen.;;Seguiré apoyando el plan de [Root.GetTitledFirstName] para [Root.GetPlot].;;;;;;;;;x
EVTDESC226;An intriguing scheme! I believe I will indeed back your plot to [This.GetPlot].;Quel plan fascinant ! Je vais soutenir votre complot visant à [This.GetPlot].;Ein faszinierender Plan! Ich denke, ich werde in der Tat Euren Plan für [This.GetPlot] unterstützen.;;¡Un plan interesante! Creo que apoyaré tu plan para [This.GetPlot].;;;;;;;;;x
EVTDESC227;I refuse to back your foolish plot to [This.GetPlot].;Je refuse de soutenir votre complot insensé visant à [This.GetPlot].;Ich weigere mich, Euren tolldreisten Plan für [This.GetPlot] zu unterstützen.;;Me niego a apoyar tu absurdo complot para [This.GetPlot].;;;;;;;;;x
EVTDESC228;I have decided to grant you the [Root.GetFullName] in recognition of your service and your nobility of spirit.;J'ai décidé de vous accorder le [Root.GetFullName] en reconnaissance de vos services et de votre noblesse d'esprit.;Ich habe beschlossen, Euch in Anerkennung Eurer Dienste und Eures noblen Geistes den [Root.GetFullName] zu gewähren.;;He decidido concederte el [Root.GetFullName] como reconocimiento a tu servicio y tu nobleza de espíritu.;;;;;;;;;x
EVTDESC229;REMOVED;SUPPRIMÉ;REMOVED;;BORRADO;;;;;;;;;x
EVTDESC230;I would be honored to serve on your Council!;Ce serait un honneur de servir au sein de votre Conseil !;Es wäre eine große Ehre, in Eurem Rat dienen zu dürfen!;;¡Sería un honor servir en tu Consejo!;;;;;;;;;x
EVTDESC231;Regrettably, I must decline your gracious offer to serve on your Council.;Malheureusement, je dois décliner votre gracieuse offre. Je ne puis servir au sein de votre Conseil.;Leider muss ich Euer großzügiges Angebot zurückweisen, in Eurem Rat zu dienen.;;Lamento tener que declinar tu gentil oferta de servir en tu Consejo.;;;;;;;;;x
EVTDESC232;Your request has merit. In the name of [From.Religion.GetRandomGodName], I grant you the right to invade the [Root.PrimaryTitle.GetFullName]!;Votre demande est fondée. Au nom [From.Get_du_HighGod], je vous autorise à envahir [Root.PrimaryTitle.Get_le_RealmFull] !;Eure Bitte ist gerechtfertigt. Im Namen von [From.Religion.GetRandomGodName] gewähre ich Euch das Recht, in [Root.PrimaryTitle.GetFullName] einzufallen!;;Tu petición es digna. ¡En el nombre de [From.Religion.GetRandomGodName], te concedo el derecho a invadir el [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC233;I fear I must refuse your request to invade [Root.GetTitledFirstName]'s lands.;Je crains de devoir refuser votre demande d'invasion du territoire [Root.Get_du_TitledFirstName].;Ich fürchte, ich muss Eure Bitte zurückweisen, in [Root.GetTitledFirstName]s Ländereien einzufallen.;;Me temo que debo denegar tu petición de invadir las tierras de [Root.GetTitledFirstName].;;;;;;;;;x
EVTDESC234;After much prayer and meditation, I have decided to grant your request to divorce your spouse on the grounds of consanguinity.;Après avoir beaucoup prié et médité, j'ai décidé de vous autoriser à répudier votre [Root.GetHusbandWifeOpp] pour cause de consanguinité.;Nach viel Gebet und Meditation habe ich beschlossen, Euch das Recht zu gewähren, Euch von Eurem Ehepartner aufgrund Blutsverwandtschaft scheiden zu lassen.;;Tras mucho rezo y meditación, he decidido concederte tu petición de divorciarte de tu cónyuge por motivos de consanguinidad.;;;;;;;;;x
