#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_chancellor.txt

#########################
#
#	Chancellor events
#
#########################

# Attempt to improve relations with lord
evt_chancellor_001_title;Improved Relations with Lord;Meilleures relations avec le seigneur;Verbesserte Beziehungen zu Fürst;;La relación con el obispo mejora;;;;;;;;;x
# Attempt to improve relations is sabotaged
evt_chancellor_101_title;Sabotaged Relations with Lord;Sabotage des relations avec le seigneur;Sabotierte Beziehungen zu Fürst;;Relación con el señor saboteada;;;;;;;;;x
evt_chancellor_101_desc_a;During my stay at the court of a noble in [Root.Location.GetName], I have done my utmost to present my liege in a more favourable light. But sinister forces around me seem to conspire to twist and turn my every action into something dubious and every word spoken into an insult.;Lors de mon séjour à la Cour d'un noble de [Root.Location.GetName], j'ai tout mis en oeuvre pour présenter m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige sous un jour des plus flatteurs. Mais je suis en proie à des forces maléfiques qui conspirent pour remettre en doute chacune de mes actions et transformer mes mots en insultes.;Während meines Besuchs am Hofe eines Adligen in [Root.Location.GetName] tat ich mein Möglichstes, meinen Lehnsherrn in einem günstigeren Licht erscheinen zu lassen. Doch dunkle Mächte um mich herum scheinen sich verschworen zu haben, sie lassen jede meiner Handlungen anrüchig klingen und verdrehen jedes meiner Worte zu einer Beleidigung.;;Durante mi estancia en la corte de un noble en [Root.Location.GetName] hice todo lo posible por hablar bien de mi señor. Pero perversas fuerzas parecían conspirar contra mí convirtiendo cada uno de mis actos en sospecha y cada palabra en insulto.;;;;;;;;;x
evt_chancellor_101_option_a;It seems I have failed miserably...;Je pense avoir lamentablement échoué...;Es scheint, ich habe kläglich versagt ...;;Diría que he fallado miserablemente...;;;;;;;;;x

evt_chancellor_102_desc_a;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been going on and on about what a benevolent and peaceful ruler [From.GetHerHis] liege [From.Host.GetTitledName] is. But other members of the court have informed me of what a shameless and deceitful liar both [From.GetSheHe] and [From.GetHerHis] liege are.;Lors de sa visite à ma Cour, [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], a tout mis en oeuvre pour faire ressortir la nature bienveillante et pieuse de s[From.Host.GetOnA] [From.Host.GetLordLady] lige, [From.Host.Get_le_TitledName]. Mais d'autres courtisans m'ont bien fait comprendre qu'il s'agissait là d'un tissu de mensonges.;Während [From.GetHerHis]es Besuchs schwallte der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], mir die Ohren voll, was ein gütiger und friedliebender Herrscher [From.GetHerHis] Lehnsherr [From.Host.GetTitledName] sei. Aber andere Mitglieder des Hofes deuteten an, welch schamlose Lügner sowohl [From.GetSheHe] also auch [From.GetHerHis] Lehnsherr sind.;;Durante su visita a la corte, el [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], mencionó una y otra vez la benevolencia y el carácter pacífico que caracterizan a su monarca [From.Host.GetTitledName]. Pero otros miembros de la corte ya me han dicho lo sinvergüenzas y embusteros que son los dos, [From.GetSheHe] y su monarca.;;;;;;;;;x
evt_chancellor_102_desc_b;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been going on and on about what a benevolent and peaceful ruler our liege [From.Host.GetTitledName] is. But other members of the court have informed me of what a shameless and deceitful liar both [From.GetSheHe] and our liege are.;Lors de sa visite à ma cour, [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm] a répété encore et encore combien m[From.Host.GetOnA] [From.Host.GetLordLady] lige est bienveillant[From.Host.Get_E]. Cependant, d'autres membres de la Cour m'ont mis en garde contre les mensonges éhontés et la fourberie à la fois [From.Get_du_JobTitle] et de m[From.Host.GetOnA] [From.Host.GetLordLady] lige.;Während [From.GetHerHis]es Besuchs an meinen Hof hat [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName] immer mehr und mehr davon geredet, was für ein wohlwollender und friedlicher Herrscher unser Lehnsherr [From.Host.GetTitledName] ist. Andere Mitglieder des Hofes haben mir allerdings mitgeteilt, was für ein schamloser und betrügerischer Lügner sowohl [From.GetSheHe] als auch unser Lehnsherr sei.;;Durante su visita a la corte, el [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], ha estado hablando sobre lo benevolente y pacífico que es nuestro señor [From.Host.GetTitledName]. Pero otros miembros de la corte me han informado de cómo tanto [From.GetSheHe] como nuestro señor son unos mentirosos descarados y tramposos.;;;;;;;;;x
evt_chancellor_102_option_a;This certainly won't increase my opinion of them!;Cela n'améliorera certainement pas l'opinion que j'avais d'eux !;Das macht meine Meinung von ihnen nicht gerade sonniger!;;¡Está claro que mi opinión sobre ellos no va a mejorar!;;;;;;;;;x

evt_chancellor_103_desc_a;My liege, I have tried to make [From.GetBestName] realize what a benevolent and peaceful ruler you really are, but sinister forces at [From.GetHerHis] court have been hard at work to discredit my every move and distort my every word. I am afraid that in the end the visit seems to have done more harm than good.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai tenté de faire comprendre [From.Get_only_au_Title][From.GetBestName] combien vous régnez avec bienveillance, mais des forces malveillantes de sa Cour ont vite discrédité chacune de mes actions et déformé chacune de mes paroles. Je crains que la visite n'ait fait plus de mal que de bien.\n\nVotre humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];Mein Lehnsherr, ich habe versucht, [From.GetBestName] klarzumachen, was für ein friedlicher Herrscher Ihr seid, aber leider sind meine Taten und meine Worte in Verruf gebracht worden. Ich fürchte, dass der Besuch Euch am Ende eher geschadet hat.\n\nEuer ergebener [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;Mi señor, he tratado de conseguir que [From.GetBestName] se dé cuenta de lo benevolente y pacífico que sois como gobernador, pero las fuerzas siniestras de [From.GetHerHis] corte se han esforzado en desacreditar todos mis movimientos y en distorsionar cada una de mis palabras. Me temo que, al final, mi visita ha hecho más mal que bien.\n\nVuestro humilde [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
evt_chancellor_103_option_a;Harm indeed...;Plus de mal, en effet...;Aber wirklich ...;;Empeorar es poco...;;;;;;;;;x
# Unused
EVTTOOLTIP20111;Send a letter to inform my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Einen Brief an meinen Lehnsherrn senden;;Envía una carta para informar a mi señor.;;;;;;;;;x

# Chancellor fabricates a claim
evt_chancellor_201_title;Claim Fabricated;Revendication fabriquée;Falscher Anspruch;;Falso alegato;;;;;;;;;x
evt_chancellor_201_desc_a;According to my liege's order, I have done my best to fabricate a claim on the title of a local landed noble in [Root.Location.GetName].;Sur ordre de mon seigneur lige, j'ai tout fait pour fabriquer une revendication sur le titre d'un noble de [Root.Location.GetName].;Gemäß dem Befehl meines Lehnsherrn habe ich mein Bestes getan, einen Anspruch auf den Titel eines landbesitzenden Adligen in [Root.Location.GetName] zu fingieren.;;Siguiendo las ordenes de mi señor, he hecho todo lo posible por urdir un alegato contra el título de un noble hacendado de [Root.Location.GetName].;;;;;;;;;x
evt_chancellor_201_option_a;This better work...;Beau travail...;Ich hoffe stark, das funktioniert ...;;Será mejor que funcione...;;;;;;;;;x

# The noble is informed about the claim
evt_chancellor_202_desc_a;It has come to my attention that the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has bribed and threatened [From.GetHerHis] way through my domain trying to get enough people to recognize a claim on my title that [From.GetSheHe] has fabricated for [From.GetHerHis] liege, [From.Liege.GetTitledName].;J'ai appris que [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], a eu recours à la corruption et aux menaces pour rallier suffisamment de soutiens et revendiquer un titre qu'[From.GetIlElle] a fabriqué pour s[From.Liege.GetOnA] [From.Liege.GetLordLady] lige, [From.Liege.Get_le_TitledName].;Es ist mir zu Ohren gekommen, dass der [From.GetJobTitle] der [From.Host.PrimaryTitle.GetName], [From.GetTitledName], mit Drohungen und Bestechungen durch meine Domäne gezogen ist, um genug Leute zur Anerkennung eines Anspruchs auf meinen Titel zu bringen. Einen Anspruch, den [From.GetSheHe] für [From.Liege.GetTitledName], [From.GetHerHis]en Lehnsherrn, fingiert hat.;;Se me ha llamado la atención de que [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], ha sobornado y amenazado por todos mis dominios para conseguir que bastante gente reconozca unos derechos que ha inventado para su señor, [From.Liege.GetTitledName], sobre mi título.;;;;;;;;;x
evt_chancellor_202_option_a;They better not use it!;Qu'ils prennent garde !;Das sollten sie besser nicht zu Ende führen wollen!;;¡Será mejor que esto no siga adelante!;;;;;;;;;x
# Unused
EVTTOOLTIP20131;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Einen Brief an meinen Lehnsherrn schicken;;Envía una carta a mi señor;;;;;;;;;x

# The liege is informed and has a choice to press the claim or not
evt_chancellor_203_desc_a;My liege, my work in [FromFrom.Location.GetName] seems to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.County.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to use it or not.\n\nYour humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nMon travail à [FromFrom.Location.GetName] a porté ses fruits. Par corruption, flatteries, extorsions, menaces et faux documents, j'ai réussi à vous fabriquer une revendication sur [FromFrom.Location.County.Get_le_RealmFull], actuellement entre les mains [From.Get_du_TitledName]. Vous êtes libre de vous en servir ou non.\n\nVotre humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];Mein Lehnsherr, wie es scheint, trägt meine Arbeit in [FromFrom.Location.GetName] allmählich Früchte. Es ist mir gelungen, einen Herrschaftsanspruch auf den Titel [FromFrom.Location.County.GetFullName] zusammenzuspinnen. Die Entscheidung, ob Ihr diesen Anspruch geltend zu machen wünscht, liegt nun ganz bei Euch.\n\nUntertänigst Euer [Root.GetChancellorName],\n[FromFrom.GetTitledName];;Señor, parece que mi labor en [FromFrom.Location.GetName] ha rendido frutos. Mediante soborno, adulación, extorsiones, amenazas y falsificación de documentos he conseguido fraguar una reclamación contra el [FromFrom.Location.County.GetFullName], actualmente regido por  [From.GetTitledName]. Dejo en vuestras manos el formular o no esta reclamación.\n\nVuestro humilde [Root.GetChancellorName],\n[FromFrom.GetTitledName];;;;;;;;;x
evt_chancellor_203_desc_b;My liege, my work in [FromFrom.Location.GetName] seem to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.Duchy.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to press it or not.\n\nYour humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nMon travail à [FromFrom.Location.GetName] a porté ses fruits. Par corruption, flatteries, extorsions, menaces et faux documents, j'ai réussi à obtenir pour vous le droit de revendiquer [FromFrom.Location.Duchy.Get_le_RealmFull], actuellement entre les mains [From.Get_du_TitledName]. Vous êtes libre de vous en servir ou non.\n\nVotre humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];Mein Lehnsherr, meine Arbeit in [FromFrom.Location.GetName] hat sich wohl erfüllt. Durch Bestechung, Überredung, Erpressung, Drohung und Fälschung von Dokumenten konnte ich es bewerkstelligen, einen Besitzanspruch auf das [FromFrom.Location.Duchy.GetFullName], das derzeit von [From.GetTitledName] gehalten wird, anzumelden. Ich überlasse es Euch, ob Ihr Druck ausübt oder nicht.\nEuer ergebener [Root.GetChancellorName],[FromFrom.GetTitledName];;Mi señor, mi trabajo en [FromFrom.Location.GetName] parece haber dado fruto. A base de sobornos, adulaciones, extorsiones, amenazas y falsificaciones de documentos, he conseguido elevar una reclamación sobre [From.Location.Duchy.GetFullName], actualmente perteneciente a [From.GetTitledName]. Dejo en vuestras manos la decisión de ejecutarla o no.\nVuestro humilde [Root.GetChancellorName], [From.GetTitledName];;;;;;;;;x
evt_chancellor_203_desc_c;My liege, my work in [FromFrom.Location.GetName] seem to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.Kingdom.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to press it or not.\n\nYour humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nMon travail à [FromFrom.Location.GetName] a porté ses fruits. Par corruption, flatteries, extorsions, menaces et faux documents, j'ai réussi à obtenir pour vous le droit de revendiquer [FromFrom.Location.Kingdom.Get_le_RealmFull], actuellement entre les mains [From.Get_du_TitledName]. Vous êtes libre de vous en servir ou non.\n\nVotre humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];Mein Lehnsherr, meine Arbeit in [FromFrom.Location.GetName] hat sich wohl erfüllt. Durch Bestechung, Überredung, Erpressung, Drohung und Fälschung von Dokumenten konnte ich es bewerkstelligen, einen Besitzanspruch auf das [FromFrom.Location.Kingdom.GetFullName], das derzeit von [From.GetTitledName] gehalten wird, anzumelden. Ich überlasse es Euch, ob Ihr Druck ausübt oder nicht.\nEuer ergebener [Root.GetChancellorName],[FromFrom.GetTitledName];;Mi señor, mi trabajo en [FromFrom.Location.GetName] parece haber dado fruto. A base de sobornos, adulaciones, extorsiones, amenazas y falsificaciones de documentos, he conseguido crear una reclamación sobre [From.Location.Duchy.GetFullName], actualmente perteneciente a [From.GetTitledName]. Dejo en vuestras manos la decisión de ejecutarla o no.\nVuestro humilde [Root.GetChancellorName], [From.GetTitledName];;;;;;;;;x
evt_chancellor_203_option_a;Use it!;Allez plus en avant dans cette revendication !;Anspruch durchsetzen!;;¡Presenta el alegato!;;;;;;;;;x
evt_chancellor_203_option_b;Let it go;Laissons tomber;Sein lassen;;Mejor déjalo.;;;;;;;;;x

# The noble is informed if the claim is pressed, and is insulted
evt_chancellor_204_desc_a;[From.GetFullName] has decided to go ahead and use a claim on my title despite having nothing more than a laughable and obviously fabricated document to back it up.;[From.GetFullName] a décidé d'aller plus en avant dans cette revendication sur mon titre et cela, grâce à un document fabriqué de toutes pièces des plus ridicules.;[From.GetFullName] hat sich entschieden, Anspruch auf meinen Titel zu erheben, obwohl er dafür bloß ein lächerliches und ganz offensichtlich gefälschtes Dokument vorzeigen kann.;;[From.GetFullName] ha decidido seguir adelante con el alegato contra mi título a pesar de no tener más que un documento irrisorio y evidentemente falso en el que apoyarse.;;;;;;;;;x
evt_chancellor_204_option_a;That bastard!;Quelle ordure !;Solch ein Bastard!;;¡Ese malnacido!;;;;;;;;;x


# A Noble finds out that the Chancellor is trying to fabricate claims
evt_chancellor_301_title;Noble Infuriated;Noble en colère;Adliger erzürnt;;Noble enfurecido;;;;;;;;;x
evt_chancellor_301_desc_a;A local noble in [Root.Location.GetName] became suspicious after I asked a couple of brash questions and I fear he might have figured out that I am trying to fabricate a claim to his title!;Un noble de [Root.Location.GetName] s'est montré soupçonneux face à mes questions impertinentes et je crains qu'il ait deviné que j'essaie de fabriquer une revendication sur son titre !;Ein hiesiger Adliger in [Root.Location.GetName] wurde hellhörig, als ich einige freche Fragen stellte. Ich fürchte, er hat sich nun zusammengereimt, dass ich versuche, einen Anspruch auf seinen Titel zu fingieren!;;Un noble de la región de [Root.Location.GetName] sospecha de mí tras hacerle un par de preguntas descaradas. ¡Creo que sabe que intento falsificar un alegato contra su título!;;;;;;;;;x
evt_chancellor_301_option_a;I got a little careless;J'ai fait preuve d'insouciance.;Ich wurde etwas leichtsinnig;;No he tenido mucho cuidado.;;;;;;;;;x
evt_chancellor_301_option_a_tooltip;The noble knows...;Le noble sait...;Der Adlige weiß, was gespielt wird ...;;El noble lo sabe...;;;;;;;;;x

# The noble knows about the fabricated claims
evt_chancellor_302_desc_a;[From.Host.GetTitledName] is trying to usurp my title! [From.Host.GetHerHisCap] [Root.GetChancellorName] [From.GetTitledName] is supposedly traveling around [From.Location.GetName] trying to find both documents and supporters to help him legitimize a claim on the title. I need to do something about it!;[From.Host.Get_Le_TitledName] tente d'usurper mon titre ! Son [Root.GetChancellorName], [From.Get_le_TitledName], se trouverait en [From.Location.GetName] pour trouver des documents et des soutiens afin de l'aider à légitimer une revendication. Je dois faire quelque chose !;[From.Host.GetTitledName] versucht, mir meinen Titel zu entreißen! [From.Host.GetHerHisCap] [Root.GetChancellorName] [From.GetTitledName] soll in der Gegend von [From.Location.GetName] herumreisen, auf der Suche nach Dokumenten und Unterstützern, die ihm helfen, einen Anspruch auf den Titel zu legitimieren. Ich muss etwas dagegen unternehmen!;;¡[From.Host.GetTitledName] intenta usurpar mi título! su [Root.GetChancellorName] [From.GetTitledName] supuestamente se mueve por [From.Location.GetName] buscando documentos y gente que lo apoye para presentar legalmente un alegato contra el título. ¡Tengo que hacer algo!;;;;;;;;;x
evt_chancellor_302_option_a;Make him disappear...;Je le fais disparaître...;Ihn verschwinden lassen ...;;Hazlo desaparecer...;;;;;;;;;x
evt_chancellor_302_option_a_tooltip_1;An attempt on [This.GetHerHis] life is made;Sa vie est en danger !;Ein Anschlag auf [This.GetHerHis] Leben wird verübt;;Se ha atentado contra su vida.;;;;;;;;;x
evt_chancellor_302_option_a_tooltip_2;The assassination attempt fails;La tentative d'assassinat a échoué;Der Mordanschlag ist fehlgeschlagen ;;Falla el intento de asesinato;;;;;;;;;x
evt_chancellor_302_option_b;Try to bribe him;J'essaie de le soudoyer.;Versuchen, ihn zu bestechen;;Intenta sobornarlo.;;;;;;;;;x
evt_chancellor_302_option_b_tooltip;Send him an offer;Je lui fais une proposition.;Ihm ein Angebot senden;;Hazle una oferta.;;;;;;;;;x
evt_chancellor_302_option_c;I better let it be for now;Il vaut mieux que j'en reste là pour le moment.;Ich lasse es besser erstmal gut sein;;Mejor pasar del tema por ahora.;;;;;;;;;x

# Chancellor is assassinated...
evt_chancellor_303_desc_a;The attempt to fabricate a claim on a title held by [From.GetTitledName] did not pass unnoticed, and rumors say that [From.GetSheHe] was so angry that [From.GetSheHe] ordered to have me assassinated.;La tentative visant à fabriquer une revendication sur un titre détenu par [From.Get_le_TitledName] n'est pas passée inaperçue et d'après les rumeurs [From.GetIlElle] était tellement en colère qu'[From.GetIlElle] a ordonné qu'on m'assassine.;Der Versuch, einen Anspruch auf einen Titel von [From.GetTitledName] zu erheben, blieb nicht unbemerkt, und Gerüchten zufolge war [From.GetSheHe] so wütend, dass [From.GetSheHe] befahl, mich zu ermorden.;;El intento de falsificar un alegato contra un título de [From.GetTitledName] no ha pasado desapercibido. Dicen los rumores que [From.GetSheHe] tenía tal enfado que dio órdenes de asesinarme.;;;;;;;;;x
evt_chancellor_303_option_a;I am not too worried...;Cela ne m'inquiète pas outre mesure...;Ich sorge mich nicht allzu sehr ...;;No me preocupa demasiado...;;;;;;;;;x

# Noble is informed that the assassination attempt succeeded
evt_chancellor_304_desc_a;The assassins succeeded! The troublesome [Root.GetChancellorName] who was roaming around the county trying to fabricate a claim on my title is no more... And there is no trace leading back to me.;Les assassins ont réussi ! L'inquiétant [Root.GetChancellorName] qui rôdait dans la province pour essayer de fabriquer une revendication sur mon titre n'est plus... Et rien ne peut me mêler à tout cela.;Der Anschlag gelang! Der umtriebige [Root.GetChancellorName], der durch die Provinz streifte und versuchte, einen Anspruch auf meinen Titel zu fingieren, weilt nicht mehr unter uns ... und es gibt keine Spur, die zu mir führt.;;¡Los asesinos lo han conseguido! El problemático [Root.GetChancellorName] que merodeaba por la provincia preparando un falso alegato contra mi título dejará de molestar... Y no hay ninguna prueba que me incrimine.;;;;;;;;;x

# The liege is informed about the Chancellor's death
evt_chancellor_305_desc_a;During a mission to try and fabricate a claim to a title in [From.Location.GetName], my [Root.GetChancellorName] has been murdered!;Au cours d'une mission visant à essayer de fabriquer une revendication sur un titre de [From.Location.GetName], mon [Root.GetChancellorName] a été tué !;Während einer Mission, um einen Titelanspruch in [From.Location.GetName] zu fingieren, wurde mein [Root.GetChancellorName] ermordet!;;Durante mi ausencia, y en una misión para tratar de reclamar mi título en [From.Location.GetName], ¡han asesinado a mi [Root.GetChancellorName]!;;;;;;;;;x
evt_chancellor_305_option_a;How terrible!;C'est terrible !;Wie schrecklich!;;¡Es terrible!;;;;;;;;;x

# Noble is informed that the assassination attempt failed
evt_chancellor_306_desc_a;The assassins I sent failed miserably and the troublesome [FromFrom.GetMyChancellorName], [FromFrom.GetTitledName], continues his work to fabricate a claim on my title.;Les assassins que j'ai envoyés ont lamentablement échoué et l'inquiétant [FromFrom.GetMyChancellorName], [FromFrom.Get_le_TitledName], tente toujours de fabriquer une revendication sur mon titre.;Die Mörder, die ich aussandte, versagten kläglich bei dem Versuch, den umtriebigen [FromFrom.GetMyChancellorName] zu beseitigen. [FromFrom.GetTitledName] arbeitet weiter an einem fingierten Anspruch auf meinen Titel.;;Los asesinos que envié han fallado miserablemente y el problemático [Root.GetMyChancellorName], [From.GetTitledName], sigue preparando un alegato contra mi título.;;;;;;;;;x
evt_chancellor_306_option_a;Damn!;Bon sang !;Verdammt!;;¡Maldita sea!;;;;;;;;;x

# Noble tries to bribe Chancellor
evt_chancellor_307_desc_a;It has come to my attention that your work in [Root.Location.GetName] is aimed to fabricate a claim on my title. This is of course unacceptable but I am willing to offer you a small contribution to encourage you to 'forget' about this for some time.\n\nSincerely,\n[From.GetTitledName];J'ai appris que vous étiez à [Root.Location.GetName] pour fabriquer une revendication sur mon titre. C'est inacceptable, mais je veux bien vous offrir une petite contribution pour 'oublier' cela quelque temps.\n\nCordialement,\n[From.GetTitledName];Es ist mir zu Ohren gekommen, dass Eure Arbeit in [Root.Location.GetName] zum Ziel hat, einen Anspruch auf meinen Titel zu fingieren. Dies ist natürlich völlig inakzeptabel, aber ich bin gewillt, Euch eine kleine Spende zukommen zu lassen, um Euch zu ermutigen, die Angelegenheit für eine Weile zu "vergessen".\n\nErgebenst,\n[From.GetTitledName];;Ha llegado a mis oídos que el propósito de tu trabajo en [Root.Location.GetName] es falsificar un alegato contra mi título. Obviamente, esto es inaceptable, pero estoy dispuesto a ofrecerte una pequeña compensación para que olvidemos el asunto por un tiempo.\n\nAtentamente,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_307_option_a;I guess that could be arranged;Je suppose que cela peut s'arranger.;Ich denke, das könnte sich arrangieren lassen;;De acuerdo, por qué no.;;;;;;;;;x
evt_chancellor_307_option_a_tooltip;Send [From.GetHerHim] a letter;Je lui envoie une lettre.;[From.GetIhmIhr] einen Brief schicken;;Envíale una carta.;;;;;;;;;x
evt_chancellor_307_option_b;I would never betray my liege!;Je ne trahirai jamais m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich würde nie meinen Lehnsherrn verraten!;;¡Jamás traicionaría a mi señor!;;;;;;;;;x
evt_chancellor_307_option_b_tooltip;Send the money back;Je renvoie l'argent.;Geld zurückschicken;;Devuelve el dinero.;;;;;;;;;x

# Noble is informed that the Chancellor accepted the bribe
