monastic_order_benedictine;[GetBenedictineSocietyName];[GetBenedictineSocietyName];[GetBenedictineSocietyName];;;;;;;;;;;x
monastic_order_buddhist_real;The Savaka-Sangha;Savaka-Sangha;Savaka-Sangha;;Los Savaka-sangha;;;;;;;;;x
monastic_order_dominican;[GetDominicanSocietyName];[GetDominicanSocietyName];[GetDominicanSocietyName];;[GetDominicanSocietyName];;;;;;;;;x
monastic_order_dominican_desc;[GetDominicanSocietyDesc];[GetDominicanSocietyDesc];[GetDominicanSocietyDesc];;[GetDominicanSocietyDesc];;;;;;;;;x
monastic_order_dominican_desc_random;The Inquisitors are able to listen to the confessions of any [christian.GetGroupName] – dressed in white and black, they lead the holy inquisition, charged with a mission to identify heretics. As a lay member of their Order you are expected to not pursue material wealth, but strive to be a seeker of truth.;Les Inquisiteurs sont capables d'écouter les confessions de n'importe quel [christian.GetGroupName]. Habillés en noir et blanc, ils mènent la sainte inquisition en identifiant les hérétiques. En tant que membre de cet ordre, il est attendu de vous de ne pas rechercher l'enrichissement matériel, mais la vérité.;Die Inquisitoren sind in schwarz und weiß gekleidet und lauschen den Beichten aller [christian.GetGroupName]en Gläubigen. Ihnen obliegt die Führung der Heiligen Inquisition, deren Aufgabe es ist, Ketzer aufzuspüren. Von Angehörigen des Ordens wird verlangt, allen materiellen Gütern abzuschwören und nach wahrer Erkenntnis zu streben.;;Los Inquisidores pueden confesar a cualquier [christian.GetGroupName]. Visten de blanco y negro, están al mando de la Santa Inquisición y su misión consiste en desenmascarar a los herejes. Sus miembros deben perseguir la verdad y no acumular bienes materiales.;;;;;;;;;x
monastic_order_dominican_desc_real;The Dominican Order are able to listen to the confessions of any Christian – dressed in white and black, they lead the holy inquisition, charged with a mission to identify heretics. As a lay member of their Order you are expected to not pursue material wealth, but strive to be a seeker of truth.;Les Dominicains sont capables d'écouter les confessions de n'importe quel chrétien. Habillés en noir et blanc, ils mènent la sainte inquisition en identifiant les hérétiques. En tant que membre de cet ordre, il est attendu de vous de ne pas rechercher l'enrichissement matériel, mais la vérité.;Die Mitglieder des Dominikanerordens sind in schwarz und weiß gekleidet und lauschen den Beichten aller Christen. Ihnen obliegt die Führung der Heiligen Inquisition, deren Aufgabe es ist, Ketzer aufzuspüren. Von Angehörigen des Ordens wird verlangt, allen materiellen Gütern abzuschwören und nach wahrer Erkenntnis zu streben.;;Los miembros de la Orden dominica pueden confesar a cualquier cristiano. Visten de blanco y negro, están al mando de la Santa Inquisición y su misión consiste en desenmascarar a los herejes. Sus miembros deben perseguir la verdad y no acumular bienes materiales.;;;;;;;;;x
monastic_order_dominican_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
monastic_order_dominican_random;The Inquisitors;Inquisiteurs;Die Inquisitoren;;Los Inquisidores;;;;;;;;;x
monastic_order_dominican_real;The Dominican Order;Ordre des Dominicains;Dominikanerorden;;La Orden dominica;;;;;;;;;x
monastic_order_hindu;[GetAdvaitaMathaSocietyName];[GetAdvaitaMathaSocietyName];[GetAdvaitaMathaSocietyName];;[GetAdvaitaMathaSocietyName];;;;;;;;;x
monastic_order_hindu_desc;[GetAdvaitaMathaSocietyDesc];[GetAdvaitaMathaSocietyDesc];[GetAdvaitaMathaSocietyDesc];;[GetAdvaitaMathaSocietyDesc];;;;;;;;;x
monastic_order_hindu_desc_random;The Monks of the [hindu.GetName] Mathas aim to be an integrative and supporting force in society. Monks can seek to achieve spiritual enlightenment through meditation and scriptural studies or through charity and participating in the local economy. The Mathas are honored and often patronized rulers.;Les moines des matha [hindu.GetName]s visent à être une force d'intégration et de soutien dans la société. Les moines peuvent chercher à atteindre l'illumination spirituelle par la méditation et l'étude des textes sacrés, ou par la charité et la participation à l'économie locale. Les matha sont respectés et fréquemment patronnés par les dirigeants.;Die Mönche der [hindu.GetName]en Matha versuchen in der Gesellschaft eine integrative, fördernde Kraft zu sein. Die Mönche streben nach spiritueller Erleuchtung durch Meditation und das Studium der Schriften oder durch karitative Handlungen als Teil des Wirtschaftskreislaufs. Die Mathas sind oft hoch angesehen.;;Los monjes de los mathas [hindu.GetName]s pretenden ser una fuerza integradora y de apoyo en la sociedad. Los monjes pueden tratar de alcanzar la iluminación espiritual mediante la meditación y los estudios de las escrituras, o por medio de la caridad y participando en la economía local. Los mathas son honrados y a menudos favorecidos por los gobernantes.;;;;;;;;;x
monastic_order_hindu_desc_real;The Monks of the Hindu Mathas aim to be an integrative and supporting force in society. Monks can seek to achieve spiritual enlightenment through meditation and scriptural studies or through charity and participating in the local economy. The Mathas are honored and often patronized by the rulers of India.;Les moines des matha hindouistes visent à être une force d'intégration et de soutien dans la société. Les moines peuvent chercher à atteindre l'illumination spirituelle par la méditation et l'étude des textes sacrés, ou par la charité et la participation à l'économie locale. Les matha sont respectés et fréquemment patronnés par les dirigeants de l'Inde.;Die Mönche des Hindu Mathas versuchen in der Gesellschaft eine integrative, fördernde Kraft zu sein. Die Mönche streben nach spiritueller Erleuchtung durch Meditation und das Studium der Schriften oder durch karitative Handlungen als Teil des Wirtschaftskreislaufs. Die Mathas sind hoch angesehen und werden häufig von den Herrschern Indiens unterstützt.;;Los monjes de los mathas hindúes pretenden ser una fuerza integradora y de apoyo en la sociedad. Los monjes pueden tratar de alcanzar la iluminación espiritual mediante la meditación y los estudios de las escrituras, o por medio de la caridad y participando en la economía local. Los mathas son honrados y a menudos favorecidos por los gobernantes de la India.;;;;;;;;;x
monastic_order_hindu_random;The Enlightened Fellowship;Confrérie Éclairée;Die erleuchtete Gemeinschaft;;la Comunión ilustrada;;;;;;;;;x
monastic_order_hindu_real;The Advaita Matha;Advaita Matha;Advaita Matha;;La orden matha advaita;;;;;;;;;x
monastic_order_jain;[GetSravakaSamghaSocietyName];[GetSravakaSamghaSocietyName];[GetSravakaSamghaSocietyName];;[GetSravakaSamghaSocietyName];;;;;;;;;x
monastic_order_jain_desc;[GetSravakaSamghaSocietyDesc];[GetSravakaSamghaSocietyDesc];[GetSravakaSamghaSocietyDesc];;[GetSravakaSamghaSocietyDesc];;;;;;;;;x
monastic_order_jain_desc_random;[jain.GetName] monks swear to abide by a number of vows, regulations, essential duties and restrictions. They dispose of all personal property, seeking purification and self-realization.;Les moines de la religion [jain.GetName] jurent de se conformer à un certain nombre de voeux, de règlements, de droits essentiels et de restrictions. Ils se défont de tous leurs biens, recherchant la purification et la réalisation de soi.;[jain.GetName]e Mönche versprechen die Einhaltung von Schwüren, Regeln, Pflichten und Einschränkungen. Sie verzichten auf persönliches Eigentum und streben nach Läuterung und Erkenntnis ihres Selbst.;;Los monjes [jain.GetName] prometen respetar una serie de juramentos, normas, deberes esenciales y restricciones. Se despojan de todas sus propiedades personales en busca de la purificación y la superación personal.;;;;;;;;;x
monastic_order_jain_desc_real;Jain monks swear to abide by a number of vows, regulations, essential duties and restrictions. They dispose of all personal property, seeking purification and self-realization.;Les moines jaïns jurent de se conformer à un certain nombre de voeux, de règlements, de droits essentiels et de restrictions. Ils se défont de tous leurs biens, recherchant la purification et la réalisation de soi.;Jainmönche versprechen die Einhaltung von Schwüren, Regeln, Pflichten und Einschränkungen. Sie verzichten auf persönliches Eigentum und streben nach Läuterung und Erkenntnis ihres Selbst.;;Los monjes jainistas prometen respetar una serie de juramentos, normas, deberes esenciales y restricciones. Se despojan de todas sus propiedades personales en busca de la purificación y la superación personal.;;;;;;;;;x
monastic_order_jain_random;The Peaceful Ones;Paisibles;Die Friedlichen;;Los Pacíficos;;;;;;;;;x
monastic_order_jain_real;The Sravaka-Samgha;Sravaka-Samgha;Sravaka-Samgha;;Los Sravaka-samgha;;;;;;;;;x
monastic_order_monophysite;[GetSaintAnthonySocietyName];[GetSaintAnthonySocietyName];[GetSaintAnthonySocietyName];;[GetSaintAnthonySocietyName];;;;;;;;;x
monastic_order_monophysite_desc;[GetSaintAnthonySocietyDesc];[GetSaintAnthonySocietyDesc];[GetSaintAnthonySocietyDesc];;[GetSaintAnthonySocietyDesc];;;;;;;;;x
monastic_order_monophysite_desc_random;The Pious Following follows the oldest of monastic rules, set originally by the hallowed martyr. In the spirit of the deserts we value simplicity, submission and humility. It is the duty of [miaphysite.GetName] monks to work to spread the word, building on the oldest [christian.GetName] monastic tradition in the world.;Les Pieux Adeptes suivent les plus anciennes règles monastiques, établies à l'origine par le martyr sanctifié. Ce qu'ils apprécient dans les esprits du désert, c'est la simplicité, la soumission et l'humilité. Il est du devoir des moines [miaphysite.GetName]s d'oeuvrer à répandre la sainte parole, en s'appuyant sur la plus ancienne tradition monastique [christian.GetName] du monde.;Die frommen Anhänger folgen den ältesten Mönchsregeln, die auf den Heiligen Märtyrer zurückgehen. Im Geiste der großen Väter der ägyptischen Wüste legen wir Wert auf Schlichtheit, Gehorsam und Demut. Es ist die Pflicht der [miaphysite.GetName]en Mönche, das Wort zu verbreiten und die älteste [christian.GetName]e Mönchstradition weiterzuführen.;;Los Seguidores píos siguen las reglas monásticas más antiguas, establecidas por el santo mártir. En consonancia con su espíritu valoramos la sencillez, la sumisión y la humildad. El deber de los monjes [miaphysite.GetName] es trabajar para difundir la palabra, basándose en la tradición monástica [christian.GetName] más antigua del mundo.;;;;;;;;;x
monastic_order_monophysite_desc_real;The Community of Saint Anthony follows the oldest of monastic rules, set originally by Saint Anthony of Egypt, Saint Paul of Thebes, Saint Macarius and Saint Pachomius. In the spirit of the Great Fathers of Egypt's deserts we value simplicity, submission and humility. It is the duty of Miaphysite monks to work to spread the word of Christ, building on the oldest Christian monastic tradition in the world.;La Communauté de saint Antoine suit les plus anciennes règles monastiques, établies à l'origine par saint Antoine d'Égypte, saint Paul de Thèbes, saint Macaire et saint Pacôme. Dans l'esprit des Grands Pères d'Égypte, ils valorisent la simplicité, la soumission et l'humilité. Il est du devoir des miaphysites de travailler à répandre la parole du Christ, en s'appuyant sur la plus ancienne tradition monastique chrétienne du monde.;Der Orden des Heiligen Antonius folgt den ältesten Mönchsregeln, die auf den Heiligen Antonius, St. Paul von Theben, St. Macarius und St. Pachomius zurückgehen. Im Geiste der großen Väter der ägyptischen Wüste legen wir Wert auf Schlichtheit, Gehorsam und Demut. Es ist die Pflicht der miaphysitischen Mönche, das Wort Christus zu verbreiten und die älteste christliche Mönchstradition weiterzuführen.;;La congregación de san Antonio sigue las reglas monásticas más antiguas, establecidas originalmente por san Antonio de Egipto, san Pablo de Tebas, san Macario y san Pacomio. En consonancia con los Padres del Desierto de Egipto valoramos la sencillez, la sumisión y la humildad. El deber de los monjes miafisitas es trabajar para difundir la palabra de Cristo, basándose en la tradición monástica cristiana más antigua del mundo.;;;;;;;;;x
monastic_order_monophysite_random;The Pious Following;Pieux Adeptes;Die Frommen Anhänger;;Los Seguidores píos;;;;;;;;;x
monastic_order_monophysite_real;The Community of Saint Anthony;Communauté de saint Antoine;Gemeinde des Heiligen Antonius;;La Congregación de san Antonio;;;;;;;;;x
monastic_order_nestorian;[GetSaintAbrahamSocietyName];[GetSaintAbrahamSocietyName];[GetSaintAbrahamSocietyName];;[GetSaintAbrahamSocietyName];;;;;;;;;x
monastic_order_nestorian_desc;[GetSaintAbrahamSocietyDesc];[GetSaintAbrahamSocietyDesc];[GetSaintAbrahamSocietyDesc];;[GetSaintAbrahamSocietyDesc];;;;;;;;;x
monastic_order_nestorian_desc_random;The Devout Worshipers follow the monastic rules set by the hallowed martyr. Members swear to observe to strict obedience and to spread the word of the three great [nestorian.GetName] doctors. Only the literate may join the order and strict celibacy is required. Study and proselytism are the corner pillars of the order and as a member you are expected to spread the [nestorian.GetName] faith.;Les Fervents Adorateurs suivent les règles monastiques établies par le martyr sanctifié. Les membres jurent d'observer l'obéissance stricte et de répandre la parole des trois grands docteurs de la foi [nestorian.GetName]. Seuls les lettrés peuvent se joindre à l'ordre et un célibat strict est requis. L'étude et le prosélytisme sont les piliers de l'ordre et en tant que membre, vous devez répandre la foi [nestorian.GetName].;Die frommen Gläubigen folgen den Klosterregeln, die von dem heiligen Märtyrer verfasst wurden. Die Mitglieder versprechen unbedingten Gehorsam und die Verbreitung der Lehren der drei [nestorian.GetName]en Ärzte. Die Mitglieder müssen lesen und schreiben können und zölibatär leben. Neben der Gelehrsamkeit spielt die missionarische Tätigkeit eine tragende Rolle und als Mitglied wird von Euch erwartet, die [nestorian.GetName]e Lehre weiter nach Osten zu tragen.;;Los Adoradores devotos siguen las reglas monásticas establecidas por Abraham de Kashkar. Sus miembros juran rendir obediencia incondicional y difundir la palabra de los tres grandes doctores [nestorian.GetName]s. Solo los alfabetizados pueden unirse a la orden y se requiere el celibato estricto. El estudio y el proselitismo son los pilares de la orden y como uno de sus miembros se espera que difundas la fe [nestorian.GetName].;;;;;;;;;x
monastic_order_nestorian_desc_real;The order of Abraham the Great follow the monastic rules set by Abraham of Kashkar. Members swear to observe to strict obedience and to spread the word of the three great Nestorian doctors, Nestorius, Diodore of Tarsus, and Theodore of Mopsuestia. Only the literate may join the order and strict celibacy is required. Study and proselytism are the corner pillars of the order and as a member you are expected to spread the Nestorian faith ever eastwards.;L'ordre d'Abraham le Grand suit les règles monastiques fixées par Abraham de Kashkar. Les membres jurent d'obéir rigoureusement et de répandre la parole des trois grands médecins nestoriens, Nestorius, Diodore de Tarsus et Théodore de Mopsuestia. Seuls les lettrés peuvent rejoindre l'ordre, et le célibat strict est nécessaire. Étudier et faire du prosélytisme sont les piliers de l'ordre et les membres doivent faire en sorte que la foi nestorienne s'étende vers l'est.;Der Orden von Abraham dem Großen folgt den Klosterregeln von Abraham von Kashkar. Die Mitglieder versprechen unbedingten Gehorsam und die Verbreitung der Lehren der drei großen Ärzte Nestorius, Diodore von Tarsus und Theodore von Mopsuestia. Die Mitglieder müssen lesen und schreiben können und zölibatär leben. Neben der Gelehrsamkeit spielt die missionarische Tätigkeit eine tragende Rolle und als Mitglied wird von Euch erwartet, die nestorianische Lehre weiter nach Osten zu tragen.;;La orden de Abraham el Grande sigue las reglas monásticas establecidas por Abraham de Kashkar. Sus miembros juran rendir obediencia incondicional y difundir la palabra de los tres grandes doctores nestorianos: Nestorio, Diodoro de Tarso y Teodoro de Mopsuestia. Solo los alfabetizados pueden unirse a la orden y se requiere el celibato estricto. El estudio y el proselitismo son los pilares de la orden y como uno de sus miembros se espera que difundas la fe nestoriana hacia el Este.;;;;;;;;;x
monastic_order_nestorian_random;The Devout Worshipers;Fervents Adorateurs;Die frommen Gläubigen;;Los Adoradores devotos;;;;;;;;;x
monastic_order_nestorian_real;The Community of Saint Abraham;Communauté de saint Abraham;Gemeinde des Heiligen Abraham;;La Congregación de san Abraham;;;;;;;;;x
monastic_order_orthodox;[GetSaintBasilSocietyName];[GetSaintBasilSocietyName];[GetSaintBasilSocietyName];;[GetSaintBasilSocietyName];;;;;;;;;x
monastic_order_orthodox_desc;[GetSaintBasilSocietyDesc];[GetSaintBasilSocietyDesc];[GetSaintBasilSocietyDesc];;[GetSaintBasilSocietyDesc];;;;;;;;;x
monastic_order_orthodox_desc_random;The Faithful Ones lead an ascetic life, finding purpose in prayer as well as work, often in the name of aiding their fellow men and women. A lay member of the Order is not required to take on the life of a hermit – instead focus should be placed on helping the members of your community.;Les Fidèles mènent une vie ascétique, trouvant un but dans la prière aussi bien que dans le travail, souvent pour aider leurs semblables. Un membre lai de l'Ordre n'est pas obligé de vivre en ermite – l'accent est plutôt mis sur l'aide aux membres de la communauté.;Die Gläubigen führen ein asketisches Leben und finden Erfüllung im Gebet und in der Arbeit, die oft dazu dient, ihren Mitmenschen zu helfen. Ein Laienmitglied des Ordens ist nicht dazu verpflichtet, ein Einsiedlerleben zu führen. Ihr solltet Euch stattdessen darauf konzentrieren, den Mitgliedern Eurer Gemeinde zu helfen.;;Los Fieles llevan vidas de ascetismo y se dedican a la oración y al trabajo, a menudo en nombre de la ayuda a sus semejantes. A los miembros laicos de la orden no se les exige que adopten la vida ermitaña, sino que se centren en ayudar a los miembros de su comunidad.;;;;;;;;;x
monastic_order_orthodox_desc_real;The followers of Saint Basil lead an ascetic life, finding purpose in prayer as well as work, often in the name of aiding their fellow men and women. A lay member of the Order is not required to take on the life of a hermit – instead focus should be placed on helping the members of your community.;Les disciples de saint Basile mènent une vie ascétique, trouvant un but dans la prière aussi bien que dans le travail, souvent pour aider leurs semblables. Un membre lai de l'Ordre n'est pas tenu de vivre en ermite, mais l'accent devrait alors être mis sur l'aide aux membres de la communauté.;Die Anhänger des Heiligen Basilius führen ein asketisches Leben und finden Erfüllung im Gebet und in der Arbeit, die oft dazu dient, ihren Mitmenschen zu helfen. Ein Laienmitglied des Ordens ist nicht dazu verpflichtet, ein Einsiedlerleben zu führen. Ihr solltet Euch stattdessen darauf konzentrieren, den Mitgliedern Eurer Gemeinde zu helfen.;;Los seguidores de san Basilio llevan vidas de ascetismo y se dedican a la oración y al trabajo, a menudo en nombre de la ayuda a sus semejantes. A los miembros laicos de la orden no se les exige que adopten la vida ermitaña, sino que se centren en ayudar a los miembros de su comunidad.;;;;;;;;;x
monastic_order_orthodox_random;The Faithful Ones;Fidèles;Die Gläubigen;;Los Fieles;;;;;;;;;x
monastic_order_orthodox_real;The Community of Saint Basil;Communauté de saint Basile;Gemeinde des Heiligen Basilius;;La Congregación de san Basilio;;;;;;;;;x
monastic_order_stoics;Stoic Intelligentsia;Intelligentsia stoïcienne;Stoische Intelligenz;;Intelectualidad estoica;;;;;;;;x
monastic_order_stoics_desc;The Hellenic School of Stoicism is based on the shunning of excesses and passions in favor of a balanced and rational approach to life, centered around the virtues of Wisdom, Courage, Temperance, and Justice. Most Stoics believe that happiness can be achieved by studying philosophy and leading a virtuous life.;L'école hellénique de stoïcisme repose sur l'évitement des excès et des passions en faveur d'une approche équilibrée et rationnelle de la vie, centrée sur les vertus de la sagesse, du courage, de la tempérance et de la justice. La plupart des stoïciens croient que le bonheur peut être atteint en étudiant la philosophie et en menant une vie vertueuse.;Die hellenische Schule des Stoizismus basiert auf dem Verzicht von Exzessen und Leidenschaft zugunsten einer ausgewogenen und rationaleren Herangehensweise an das Leben und konzentriert sich auf die Tugenden Weisheit, Mut, Mäßigkeit und Gerechtigkeit. Die meisten Stoiker glauben, dass Glück durch das Studium der Philosophie und der Einhaltung eines Tugendhaften Lebens erreicht werden kann.;;El estoicismo helénico se basa en el rechazo de excesos y pasiones en favor de un enfoque equilibrado y racional de la vida, centrado en las virtudes de la Sabiduría, Valor, Templanza y Justicia. La mayoría de los estoicos creen que se puede alcanzar la felicidad estudiando filosofía y llevando una vida virtuosa.;;;;;;;;x
monastic_order_stoics_rank_1_female;Student;Étudiante;Studentin;;Estudiante;;;;;;;;x
monastic_order_stoics_rank_1_male;Student;Étudiant;Student;;Estudiante;;;;;;;;x
monastic_order_stoics_rank_2_female;Thinker;Penseuse;Denkerin;;Pensadora;;;;;;;;x
monastic_order_stoics_rank_2_male;Thinker;Penseur;Denker;;Pensador;;;;;;;;x
monastic_order_stoics_rank_3_female;Philosopher;Philosophe;Philosophin;;Filósofa;;;;;;;;x
monastic_order_stoics_rank_3_male;Philosopher;Philosophe;Philosoph;;Filósofo;;;;;;;;x
monastic_order_stoics_rank_4_female;Logoarch;Logoarche;Logoarchin;;Logoarca;;;;;;;;x
monastic_order_stoics_rank_4_male;Logoarch;Logoarche;Logoarch;;Logoarca;;;;;;;;x
monastic_saintly_bloodline_currency_gain;Monastic Saintly Bloodline;Sainte lignée monastique;Monastische Heilige Blutlinie;;Linaje santo monástico;;;;;x

secret_religious_society_aztec_pagan;[GetReligiousCommunityName_aztec_pagan];[GetReligiousCommunityName_aztec_pagan];[GetReligiousCommunityName_aztec_pagan];;[GetReligiousCommunityName_aztec_pagan];;;;;;;;;x
secret_religious_society_aztec_pagan_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_aztec_pagan_desc;[GetReligiousSocietyDesc_aztec_pagan];[GetReligiousSocietyDesc_aztec_pagan];[GetReligiousSocietyDesc_aztec_pagan];;[GetReligiousSocietyDesc_aztec_pagan];;;;;;;;;x
secret_religious_society_aztec_pagan_desc_REAL;The faithful Aztecs bravely worship their high God, the warrior Huitzilopochtli, despite being surrounded by enemies on every side. If they stay true and send him human sacrifices as gifts, he will lead them to a new dawn, a glorious conquest of fire and blood.;Les fidèles aztèques adorent courageusement leur grand Dieu, le guerrier Huitzilopochtli, bien qu'entourés d'ennemis. S'ils lui restent fidèles et envoient des sacrifices humains, il les conduira à une nouvelle aurore, une conquête glorieuse du feu et du sang.;Die gläubigen Azteken verehren tapfer ihren höchsten Gott, den Krieger Huitzilopochtli, obwohl sie auf allen Seiten von Feinden bedrängt werden. Wenn sie ihrem Glauben treu sind und ihm Menschenopfer darbringen, wird er sie zu einer neuen Morgendämmerung führen, einer glorreichen Eroberung von Feuer und Blut.;;Los fervientes aztecas veneran valerosamente a su dios, el guerrero Huitzilopochtli, a pesar de verse completamente rodeados por sus enemigos. Si mantienen su fe y le envían sacrificios humanos como obsequio, los liderará hasta un nuevo comienzo, una conquista gloriosa de fuego y sangre.;;;;;;;;;x
secret_religious_society_aztec_pagan_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_aztec_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_aztec_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_aztec_pagan_reformed;[GetReligiousCommunityName_aztec_pagan_reformed];[GetReligiousCommunityName_aztec_pagan_reformed];[GetReligiousCommunityName_aztec_pagan_reformed];;[GetReligiousCommunityName_aztec_pagan_reformed];;;;;;;;;x
secret_religious_society_aztec_pagan_reformed_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_aztec_pagan_reformed_desc;[GetReligiousSocietyDesc_aztec_pagan_reformed];[GetReligiousSocietyDesc_aztec_pagan_reformed];[GetReligiousSocietyDesc_aztec_pagan_reformed];;[GetReligiousSocietyDesc_aztec_pagan_reformed];;;;;;;;;x
