From;To;Type;Through;Xfrom;Yfrom;Xto;Yto;Comment
427;426;sea;1925;-1;-1;-1;-1;Menorca - Mallorca
1557;1564;sea;1988;-1;-1;-1;-1;Aden - Tadjoura
1555;1564;sea;1988;-1;-1;-1;-1;Zabid - Tadjoura
1544;1543;sea;1993;-1;-1;-1;-1;Bahrein - Uwal
1541;1543;sea;1993;-1;-1;-1;-1;Qatif - Uwal
1371;1372;sea;2001;-1;-1;-1;-1;Kutch - Sonda
1459;1545;sea;1995;-1;-1;-1;-1;Hormuz - Julfar
178;727;major_river;1803;-1;-1;-1;-1;Bremen - Hamburg			# Elbe
186;727;major_river;1803;-1;-1;-1;-1;Lüneburg - Hamburg
187;727;major_river;1803;-1;-1;-1;-1;Werben - Hamburg
187;728;major_river;1803;-1;-1;-1;-1;Werben - Lübeck
187;729;major_river;1804;-1;-1;-1;-1;Werben - Mecklenburg
187;726;major_river;1804;-1;-1;-1;-1;Werben - Havelberg
188;726;major_river;1805;-1;-1;-1;-1;Magdeburg - Havelberg
188;723;major_river;1805;-1;-1;-1;-1;Magdeburg - Zerbst
722;724;major_river;1805;-1;-1;-1;-1;Merseburg - Lausitz
722;723;major_river;1805;-1;-1;-1;-1;Merseburg - Zerbst
721;724;major_river;1806;-1;-1;-1;-1;Meissen - Lausitz
721;720;major_river;1806;-1;-1;-1;-1;Meissen - Gorlitz
720;717;major_river;1806;-1;-1;-1;-1;Gorlitz - Zatec
719;717;major_river;1806;-1;-1;-1;-1;Litomerice - Zatec
261;264;major_river;1800;-1;-1;-1;-1;Holland - Breda			# Rhine
263;264;major_river;1800;-1;-1;-1;-1;Sticht - Breda
255;264;major_river;1800;-1;-1;-1;-1;Kleve - Breda
255;251;major_river;1800;-1;-1;-1;-1;Kleve - Loon
253;255;major_river;1801;-1;-1;-1;-1;Köln - Kleve
253;254;major_river;1801;-1;-1;-1;-1;Köln - Berg
243;254;major_river;1802;-1;-1;-1;-1;Trier - Berg
193;243;major_river;1802;-1;-1;-1;-1;Frankfurt - Trier
298;295;major_river;1798;-1;-1;-1;-1;Rouen - Evreux				# Sine
296;295;major_river;1798;-1;-1;-1;-1;Vexin - Evreux
274;295;major_river;1798;-1;-1;-1;-1;Clermont - Evreux
274;281;major_river;1799;-1;-1;-1;-1;Clermont - Paris
308;309;major_river;1796;-1;-1;-1;-1;Nantes - Retz			# Loire
308;290;major_river;1796;-1;-1;-1;-1;Nantes - Saumur
291;290;major_river;1796;-1;-1;-1;-1;Anjou - Saumur
291;289;major_river;1797;-1;-1;-1;-1;Anjou - Tours
293;289;major_river;1797;-1;-1;-1;-1;Vendome - Tours
313;317;major_river;1794;-1;-1;-1;-1;Saintonge - Bordeaux		# Garonne
315;317;major_river;1794;-1;-1;-1;-1;Perigord - Bordeaux
315;316;major_river;1795;-1;-1;-1;-1;Perigord - Agen
327;316;major_river;1795;-1;-1;-1;-1;Toulouse - Agen
738;762;major_river;1808;-1;-1;-1;-1;Danzig - Marienburg		# Vistula
738;761;major_river;1808;-1;-1;-1;-1;Danzig - Chelmno
738;755;major_river;1809;-1;-1;-1;-1;Danzig - Dobrzyn
755;739;major_river;1809;-1;-1;-1;-1;Dobrzyn - Naklo
755;754;major_river;1809;-1;-1;-1;-1;Dobrzyn - Kujawy
756;754;major_river;1810;-1;-1;-1;-1;Plock - Kujawy
757;756;major_river;1810;-1;-1;-1;-1;Gostynin - Plock
757;758;major_river;1811;-1;-1;-1;-1;Gostynin - Liw
757;750;major_river;1811;-1;-1;-1;-1;Gostynin - Stezyca
751;758;major_river;1811;-1;-1;-1;-1;Sandomierz - Liw
751;750;major_river;1811;-1;-1;-1;-1;Sandomierz - Stezyca
751;749;major_river;1811;-1;-1;-1;-1;Sandomierz - Lublin
751;748;major_river;1812;-1;-1;-1;-1;Sandomierz - Sacz
777;775;major_river;1813;-1;-1;-1;-1;Riga - Tukums			# Daugava
777;776;major_river;1813;-1;-1;-1;-1;Riga - Zemgale
778;776;major_river;1813;-1;-1;-1;-1;Jersika - Zemgale
778;779;major_river;1813;-1;-1;-1;-1;Jersika - Selija
780;779;major_river;1814;-1;-1;-1;-1;Latgale - Selija
780;849;major_river;1814;-1;-1;-1;-1;Latgale - Lukoml
848;849;major_river;1814;-1;-1;-1;-1;Polotsk - Lukoml
848;850;major_river;1819;-1;-1;-1;-1;Polotsk - Vitebsk		# Dwina
848;846;major_river;1819;-1;-1;-1;-1;Polotsk - Smolensk
847;846;major_river;1819;-1;-1;-1;-1;Toropets - Smolensk
128;789;major_river;1815;-1;-1;-1;-1;Käkisalmi - Ingria		# Neva
128;798;major_river;1815;-1;-1;-1;-1;Käkisalmi - Ladoga
126;799;major_river;1820;-1;-1;-1;-1;Olonets - Chlisselbourg	# Svir
126;800;major_river;1820;-1;-1;-1;-1;Olonets - Zaozerye
799;798;major_river;1817;-1;-1;-1;-1;Chlisselbourg - Ladoga	# Volkhov
796;798;major_river;1817;-1;-1;-1;-1;Borovichi - Ladoga
796;797;major_river;1817;-1;-1;-1;-1;Borovichi - Novgorod
795;794;major_river;1822;-1;-1;-1;-1;Kholm - Rusa			# Lovat
847;794;major_river;1822;-1;-1;-1;-1;Toropets - Rusa
847;793;major_river;1822;-1;-1;-1;-1;Toropets - Luki
651;645;major_river;1760;-1;-1;-1;-1;Lower Dnieper - Oleshye	# Dnieper
651;644;major_river;1760;-1;-1;-1;-1;Lower Dnieper - Lukomorie
651;641;major_river;1761;-1;-1;-1;-1;Lower Dnieper - Chortitza
651;861;major_river;1761;-1;-1;-1;-1;Lower Dnieper - Hradyzk
652;861;major_river;1761;-1;-1;-1;-1;Korsun - Hradyzk
652;862;major_river;1762;-1;-1;-1;-1;Korsun - Voin
863;862;major_river;1762;-1;-1;-1;-1;Kiev - Voin
863;859;major_river;1762;-1;-1;-1;-1;Kiev - Pereyaslavl
863;842;major_river;1762;-1;-1;-1;-1;Kiev - Chernigov
858;842;major_river;1763;-1;-1;-1;-1;Slutsk - Chernigov
852;841;major_river;1763;-1;-1;-1;-1;Drutsk - Lyubech
852;843;major_river;1764;-1;-1;-1;-1;Drutsk - Mstislavl
851;843;major_river;1764;-1;-1;-1;-1;Orsha - Mstislavl
850;843;major_river;1765;-1;-1;-1;-1;Vitebsk - Mstislavl
846;843;major_river;1765;-1;-1;-1;-1;Smolensk - Mstislavl
846;845;major_river;1765;-1;-1;-1;-1;Smolensk - Vyazma
858;857;major_river;1769;-1;-1;-1;-1;Slutsk - Turov			# Pripyat
858;864;major_river;1769;-1;-1;-1;-1;Slutsk - Korosten
856;857;major_river;1770;-1;-1;-1;-1;Pinsk - Turov
856;873;major_river;1770;-1;-1;-1;-1;Pinsk - Vladimir Volynsky
842;859;major_river;1766;-1;-1;-1;-1;Chernigov - Pereyaslavl	# Desna
842;860;major_river;1766;-1;-1;-1;-1;Chernigov - Priluk
840;839;major_river;1767;-1;-1;-1;-1;Starodub - Novgorod Seversky
835;836;major_river;1767;-1;-1;-1;-1;Bryansk - Kromy
835;834;major_river;1767;-1;-1;-1;-1;Bryansk - Karachev
844;834;major_river;1767;-1;-1;-1;-1;Roslavl - Karachev
615;614;major_river;1756;-1;-1;-1;-1;Tana - Azov				# Don
615;613;major_river;1756;-1;-1;-1;-1;Tana - Kuban
615;616;major_river;1756;-1;-1;-1;-1;Tana - Sarpa
638;616;major_river;1756;-1;-1;-1;-1;Sarkel - Sarpa
638;620;major_river;1757;-1;-1;-1;-1;Sarkel - Manych
638;637;major_river;1758;-1;-1;-1;-1;Sarkel - Don-Portage
638;890;major_river;1758;-1;-1;-1;-1;Sarkel - Khopyor
639;890;major_river;1759;-1;-1;-1;-1;Sugrov - Khopyor
639;891;major_river;1759;-1;-1;-1;-1;Sugrov - Mordva
828;891;major_river;1759;-1;-1;-1;-1;Yelets - Mordva
828;827;major_river;1759;-1;-1;-1;-1;Yelets - Pronsk
623;619;major_river;1823;-1;-1;-1;-1;Itil - Kuma				# Volga
622;619;major_river;1823;-1;-1;-1;-1;Saray - Kuma
622;620;major_river;1824;-1;-1;-1;-1;Saray - Manych
621;620;major_river;1824;-1;-1;-1;-1;Saqsin - Manych
621;637;major_river;1825;-1;-1;-1;-1;Saqsin - Don-Portage
636;637;major_river;1825;-1;-1;-1;-1;Uvek - Don-Portage
636;889;major_river;1825;-1;-1;-1;-1;Uvek - Burtasy
636;888;major_river;1826;-1;-1;-1;-1;Uvek - Syrt
634;888;major_river;1827;-1;-1;-1;-1;Bandja - Syrt
635;888;major_river;1827;-1;-1;-1;-1;Lower Volga - Syrt
886;888;major_river;1828;-1;-1;-1;-1;Bolghar - Syrt
886;887;major_river;1828;-1;-1;-1;-1;Bolghar - Ashli
881;887;major_river;1828;-1;-1;-1;-1;Qazan - Ashli
894;887;major_river;1828;-1;-1;-1;-1;Kerzhenets - Ashli
894;893;major_river;1829;-1;-1;-1;-1;Kerzhenets - Chuvash
894;812;major_river;1829;-1;-1;-1;-1;Kerzhenets - Nizhny Novgorod
811;812;major_river;1830;-1;-1;-1;-1;Gorodets - Nizhny Novgorod
811;813;major_river;1830;-1;-1;-1;-1;Gorodets - Vladimir
810;813;major_river;1831;-1;-1;-1;-1;Kostroma - Vladimir
810;814;major_river;1831;-1;-1;-1;-1;Kostroma - Suzdal
810;805;major_river;1831;-1;-1;-1;-1;Kostroma - Yaroslavl
810;806;major_river;1832;-1;-1;-1;-1;Kostroma - Uglich
810;807;major_river;1832;-1;-1;-1;-1;Kostroma - Belo Ozero
809;807;major_river;1833;-1;-1;-1;-1;Vologda - Belo Ozero
808;807;major_river;1833;-1;-1;-1;-1;Chud - Belo Ozero
898;807;major_river;1833;-1;-1;-1;-1;Romny - Belo Ozero
898;800;major_river;1833;-1;-1;-1;-1;Romny - Zaozerye
812;813;major_river;1834;-1;-1;-1;-1;Nizhny Novgorod - Vladimir	# Oka
812;825;major_river;1834;-1;-1;-1;-1;Nizhny Novgorod - Murom
892;825;major_river;1834;-1;-1;-1;-1;Cheremisa - Murom
826;825;major_river;1835;-1;-1;-1;-1;Ryazan - Murom
826;824;major_river;1835;-1;-1;-1;-1;Ryazan - Orekhovo Zuyevo
829;824;major_river;1835;-1;-1;-1;-1;Tula - Orekhovo Zuyevo
830;822;major_river;1836;-1;-1;-1;-1;Serpukhov - Naro-Fominsk
830;821;major_river;1836;-1;-1;-1;-1;Serpukhov - Mozhaysk
831;821;major_river;1836;-1;-1;-1;-1;Vorotynsk - Mozhaysk
831;833;major_river;1837;-1;-1;-1;-1;Vorotynsk - Kozelsk
831;834;major_river;1837;-1;-1;-1;-1;Vorotynsk - Karachev
822;824;major_river;1838;-1;-1;-1;-1;Naro-Fominsk - Orekhovo Zuyevo # Moskva
822;823;major_river;1838;-1;-1;-1;-1;Naro-Fominsk - Moskva
822;817;major_river;1838;-1;-1;-1;-1;Naro-Fominsk - Kashin
819;817;major_river;1839;-1;-1;-1;-1;Tver - Kashin
819;818;major_river;1839;-1;-1;-1;-1;Tver - Rzheva
820;818;major_river;1839;-1;-1;-1;-1;Zubtsov - Rzheva
847;818;major_river;1839;-1;-1;-1;-1;Toropets - Rzheva
847;802;major_river;1839;-1;-1;-1;-1;Toropets - Torzhok
886;881;major_river;1840;-1;-1;-1;-1;Bolghar - Qazan			# Kama
886;882;major_river;1840;-1;-1;-1;-1;Bolghar - Kremenchuk
885;882;major_river;1840;-1;-1;-1;-1;Bilyar - Kremenchuk
885;883;major_river;1840;-1;-1;-1;-1;Bilyar - Alabuga
884;883;major_river;1840;-1;-1;-1;-1;Naberezhnye - Alabuga
656;661;major_river;1771;-1;-1;-1;-1;Odessa - Belgorod		# Dniester
656;657;major_river;1771;-1;-1;-1;-1;Odessa - Peresechen
654;657;major_river;1772;-1;-1;-1;-1;Bratslav - Peresechen
867;657;major_river;1772;-1;-1;-1;-1;Ushytsia - Peresechen
867;658;major_river;1772;-1;-1;-1;-1;Ushytsia - Iasi
867;868;major_river;1773;-1;-1;-1;-1;Ushytsia - Galich
870;868;major_river;1773;-1;-1;-1;-1;Terebovl - Galich
532;662;major_river;1774;-1;-1;-1;-1;Constantia - Chilia		# Danube
532;663;major_river;1774;-1;-1;-1;-1;Constantia - Galati
532;666;major_river;1774;-1;-1;-1;-1;Constantia - Calarasi
533;666;major_river;1775;-1;-1;-1;-1;Karvuna - Calarasi
533;667;major_river;1775;-1;-1;-1;-1;Karvuna - Turnu
531;667;major_river;1775;-1;-1;-1;-1;Dorostotum - Turnu
529;667;major_river;1776;-1;-1;-1;-1;Nikopolis - Turnu
529;669;major_river;1776;-1;-1;-1;-1;Nikopolis - Craiova
524;669;major_river;1777;-1;-1;-1;-1;Vidin - Craiova
524;670;major_river;1777;-1;-1;-1;-1;Vidin - Targu Jiu
524;671;major_river;1777;-1;-1;-1;-1;Vidin - Severin
523;671;major_river;1777;-1;-1;-1;-1;Belgrade - Severin
523;692;major_river;1778;-1;-1;-1;-1;Belgrade - Temes
523;691;major_river;1778;-1;-1;-1;-1;Belgrade - Bacs
672;692;major_river;1778;-1;-1;-1;-1;Syrmia - Temes
672;691;major_river;1778;-1;-1;-1;-1;Syrmia - Bacs
691;673;major_river;1778;-1;-1;-1;-1;Bacs - Vukovar
690;691;major_river;1779;-1;-1;-1;-1;Pecs - Bacs
690;693;major_river;1779;-1;-1;-1;-1;Pecs - Csanad
690;694;major_river;1779;-1;-1;-1;-1;Pecs - Pest
689;694;major_river;1780;-1;-1;-1;-1;Fejer - Pest
689;707;major_river;1780;-1;-1;-1;-1;Fejer - Esztergom
708;707;major_river;1781;-1;-1;-1;-1;Sopron - Esztergom
708;709;major_river;1781;-1;-1;-1;-1;Sopron - Pressburg
213;709;major_river;1781;-1;-1;-1;-1;Wien - Pressburg
213;211;major_river;1781;-1;-1;-1;-1;Wien - Chremis
212;211;major_river;1781;-1;-1;-1;-1;Medelike - Chremis
212;210;major_river;1781;-1;-1;-1;-1;Medelike - Freistadt
207;203;major_river;1782;-1;-1;-1;-1;Salzburg - Passau
208;210;major_river;1782;-1;-1;-1;-1;Traungau - Freistadt
208;203;major_river;1782;-1;-1;-1;-1;Traungau - Passau
204;203;major_river;1782;-1;-1;-1;-1;Regensburg - Passau
204;202;major_river;1782;-1;-1;-1;-1;Regensburg - Cham
204;201;major_river;1783;-1;-1;-1;-1;Regensburg - Eichstadt
204;235;major_river;1783;-1;-1;-1;-1;Regensburg - Ulm
234;235;major_river;1783;-1;-1;-1;-1;Augsburg - Ulm
233;235;major_river;1783;-1;-1;-1;-1;Schwaben - Ulm
233;236;major_river;1783;-1;-1;-1;-1;Schwaben - Württenberg
1373;1372;major_river;1843;-1;-1;-1;-1;Debul - Sonda			# Indus
1374;1372;major_river;1843;-1;-1;-1;-1;Ranikot - Sonda
1374;1375;major_river;1843;-1;-1;-1;-1;Ranikot - Mansura
1374;1376;major_river;1844;-1;-1;-1;-1;Ranikot - Siwistan
1378;1376;major_river;1844;-1;-1;-1;-1;Bhakkar - Siwistan
1378;1377;major_river;1845;-1;-1;-1;-1;Bhakkar - Aror
1382;1377;major_river;1845;-1;-1;-1;-1;Rajanpur - Aror
1382;1357;major_river;1845;-1;-1;-1;-1;Rajanpur - Vijnot
1382;1383;major_river;1846;-1;-1;-1;-1;Rajanpur - Uch
1384;1383;major_river;1846;-1;-1;-1;-1;Kafirkot - Uch
1384;1387;major_river;1846;-1;-1;-1;-1;Kafirkot - Multan
1384;1386;major_river;1846;-1;-1;-1;-1;Kafirkot - Karor
1399;1386;major_river;1846;-1;-1;-1;-1;Bannu - Karor
1195;1194;major_river;1847;-1;-1;-1;-1;Candradvipa - Samatata	# Ganges
1195;1192;major_river;1847;-1;-1;-1;-1;Candradvipa - Bikrampur
1191;1192;major_river;1847;-1;-1;-1;-1;Kumara Mandala - Bikrampur
1191;1182;major_river;1848;-1;-1;-1;-1;Kumara Mandala - Madhupur
1191;1185;major_river;1848;-1;-1;-1;-1;Kumara Mandala - Laksmanavati
1186;1185;major_river;1848;-1;-1;-1;-1;Gauda - Laksmanavati
1186;1184;major_river;1849;-1;-1;-1;-1;Gauda - Kotivarsa
1207;1184;major_river;1849;-1;-1;-1;-1;Mudgagiri - Kotivarsa
1207;1208;major_river;1849;-1;-1;-1;-1;Mudgagiri - Mithila
1206;1208;major_river;1849;-1;-1;-1;-1;Magadha - Mithila
1206;1210;major_river;1849;-1;-1;-1;-1;Magadha - Kusinagara
1205;1210;major_river;1850;-1;-1;-1;-1;Sasaram - Kusinagara
1205;1211;major_river;1850;-1;-1;-1;-1;Sasaram - Jaunpur
1205;1212;major_river;1850;-1;-1;-1;-1;Sasaram - Varanasi
1213;1212;major_river;1850;-1;-1;-1;-1;Chunar - Varanasi
1322;1212;major_river;1850;-1;-1;-1;-1;Prayaga - Varanasi
1322;1327;major_river;1850;-1;-1;-1;-1;Prayaga - Bharauli
1323;1327;major_river;1850;-1;-1;-1;-1;Asni - Bharauli
1325;1327;major_river;1851;-1;-1;-1;-1;Kanyakubja - Bharauli
1325;1326;major_river;1851;-1;-1;-1;-1;Kanyakubja - Lakhnau
1325;1332;major_river;1851;-1;-1;-1;-1;Kanyakubja - Vodamayutja
1340;1332;major_river;1851;-1;-1;-1;-1;Kol - Vodamayutja
1340;1333;major_river;1851;-1;-1;-1;-1;Kol - Sambhal
1335;1333;major_river;1851;-1;-1;-1;-1;Delhi - Sambhal
1182;1192;major_river;1852;-1;-1;-1;-1;Madhupur - Bikrampur	# Brahmaputra
1182;1181;major_river;1852;-1;-1;-1;-1;Madhupur - Suvarnagram
1183;1181;major_river;1852;-1;-1;-1;-1;Pundravardhana - Suvarnagram
1178;1177;major_river;1853;-1;-1;-1;-1;Kamarupanagara - Goalpara
1617;1619;major_river;1784;-1;-1;-1;-1;Damietta - Rasheed 	# Nile
1618;1619;major_river;1784;-1;-1;-1;-1;El-Malhalla - Rasheed
1618;1622;major_river;1784;-1;-1;-1;-1;El-Malhalla - Kharibta
1609;1622;major_river;1785;-1;-1;-1;-1;Cairo - Kharibta
1609;1621;major_river;1786;-1;-1;-1;-1;Cairo - Giza
1609;1607;major_river;1787;-1;-1;-1;-1;Cairo - Faiyum
1608;1607;major_river;1787;-1;-1;-1;-1;Akhmim - Faiyum
1608;1604;major_river;1788;-1;-1;-1;-1;Akhmim - Asyut
1601;1604;major_river;1788;-1;-1;-1;-1;Quena - Asyut
1601;1603;major_river;1788;-1;-1;-1;-1;Quena - Esna
1599;1603;major_river;1789;-1;-1;-1;-1;Aswan - Esna
402;401;major_river;1790;-1;-1;-1;-1;Cadiz - Niebla			# al-Wadi al-Kabir/Guadalquivir
402;405;major_river;1791;-1;-1;-1;-1;Cadiz - Aracena
404;405;major_river;1791;-1;-1;-1;-1;Seville - Aracena
393;392;major_river;1792;-1;-1;-1;-1;Almada - Lisboa		# Tago
395;392;major_river;1793;-1;-1;-1;-1;Évora - Lisboa
395;394;major_river;1793;-1;-1;-1;-1;Évora - Egitanea
1765;1819;portage;846;-1;-1;-1;-1;Dnieper - Dwina (across Smolensk)				# Portages
1757;1824;portage;637;-1;-1;-1;-1;Don - Volga (across Don-Portage)
1822;1819;portage;848;-1;-1;-1;-1;Lovat - Dwina (across Polotsk)
2006;2009;portage;1261;-1;-1;-1;-1;Gulf of Mannar - Palk Strait (across Pihiti)
